3poke_walk.dat
3poke_walk_kusa_01	[~ 0]
ajito_aku_010_sitappa_a_06	啥！真是囂張的傢伙！\n看我痛扁[VAR 1100(00FF,0101)]你妳，讓[VAR 1100(00FF,0101)]你妳嚐嚐我的厲害！[VAR 0114(002D)]
ajito_aku_010_sitappa_a_07	啊～！太不甘心了～！[VAR 0114(002D)]
ajito_aku_010_sitappa_a_08	接下來就拜託前輩了！[VAR 0114(002D)]
ajito_aku_010_sitappa_a_09	那今天星苦了～！[VAR 0114(002D)]
ajito_aku_010_sitappa_b_06	今天星苦了……[VAR 0114(002E)]
ajito_aku_010_sitappa_b_07	…………[VAR 0114(002E)]
ajito_aku_010_sitappa_b_08	她是最近剛加入的成員，\n態度實在是很差……[VAR 0114(002E)]
ajito_aku_010_sitappa_b_09	……唉。[VAR 0114(002E)]
ajito_aku_010_sitappa_b_10	我現在要回去基地\n通知其他的夥伴。[VAR 0114(002E)]
ajito_aku_010_sitappa_b_11	我們會全員出動來攻擊[VAR 1100(00FF,0101)]你妳的。\n所以不管[VAR 1100(00FF,0101)]你妳是要逃要戰，總之加油吧。[VAR 0114(002E)]
ajito_aku_010_sitappa_b_12	今天星苦了～！[VAR 0114(002E)]
ajito_aku_020.tbl
ajito_aku_020_system_01	洛托洛托洛托……
ajito_aku_020_cassiopeia_01	……[VAR 1100(00FF,0101)]你妳搞定看門的了嗎？[VAR 0114(0009)]
ajito_aku_020_cassiopeia_02	以那個地方為據點的是\n天星隊惡幫班……\r\n閣道二小隊。[VAR 0114(0009)]
ajito_aku_020_cassiopeia_03	老大皮拿是整合天星隊的要角，\n同時也負責ＢＧＭ。[VAR 0114(0009)]
ajito_aku_020_cassiopeia_04	即使有人宣戰，\n腦筋靈活的皮拿想必是不會動搖的。[VAR 0114(0009)]
ajito_aku_020_cassiopeia_05	我想他會派出手下們來消耗[VAR 1100(00FF,0101)]你妳的戰力，\n之後才襲擊過來。[VAR 0114(0009)]
ajito_aku_020_cassiopeia_06	要對付善於算計的類型，\n採取正面攻擊就對了。[VAR 0114(0009)]
ajito_aku_020_cassiopeia_07	也就是說在皮拿現身之前，\n[VAR 1100(00FF,0101)]你妳要不斷地打倒手下的寶可夢們。[VAR 0114(0009)]
ajito_aku_020_cassiopeia_08	[~ 8]
ajito_aku_020_cassiopeia_09	[VAR 1100(00FF,0101)]你妳準備好的話，\n就去敲響鑼來展開大作戰！\r\n到閣道二小隊踢館吧。[VAR 0114(0009)]
ajito_aku_020_select_01	[~ 10]
ajito_aku_020_select_02	[~ 11]
ajito_aku_020_cassiopeia_09_old	[~ 12]
ajito_aku_020_cassiopeia_10_old	[~ 13]
ajito_aku_020_kari_01	[~ 14]
ajito_aku_030.tbl
ajito_aku_030_akuboss_01	[VAR 1100(00FF,0101)]你妳倒是鬧得很不客氣嘛！\n入侵者[VAR 0100(0000)]！[VAR 0114(0021)]
ajito_aku_030_akuboss_02	我是皮拿！\n人稱我ＤＪ惡事！\r\n隨[VAR 1100(00FF,0101)]你妳開心愛怎麼叫我都行！[VAR 0114(0021)]
ajito_aku_030_akuboss_03	廢話不多說，[VAR 1100(00FF,0101)]你妳就在這裡潰敗吧。\n我會為[VAR 1100(00FF,0101)]你妳播放安魂曲的。[VAR 0114(0021)]
ajito_aku_030_akuboss_04	來吧！派對準備就緒！\n看我讓[VAR 1100(00FF,0101)]你妳永遠chill out！[VAR 0114(0021)]
ajito_aku_040.tbl
ajito_aku_040_akuboss_01	嗯，差不多就這樣吧……[VAR 0114(0021)]
ajito_aku_040_system_01	大約１年多前……
ajito_aku_040_fairyboss_01	怎麼了？皮拿。[VAR 0114(0020)]
ajito_aku_040_akuboss_02	真老大找我商量的事，\n我整理得差不多了。[VAR 0114(0021)]
ajito_aku_040_honooboss_01	商量？商量什麼了？[VAR 0114(001F)]
ajito_aku_040_akuboss_03	首先是天星大作戰的事。\n……還有天星隊的隊規。[VAR 0114(0021)]
ajito_aku_040_akuboss_04	最近夥伴變多了不是嗎？\n所以我們在討論隊裡需要個規則，\r\n就是該有個隊規。[VAR 0114(0021)]
ajito_aku_040_kakutouboss_01	哦～！是皮拿你的話，\n應該會有好主意吧？[VAR 0114(0022)]
ajito_aku_040_akuboss_05	哪有，這件事讓我壓力超大的。[VAR 0114(0021)]
ajito_aku_040_akuboss_06	我以前會惹人反感，\n是因為當時我是學生會長……你們都知道吧？[VAR 0114(0021)]
ajito_aku_040_honooboss_02	你制定了一堆囉嗦的校規，\n讓學生們都反感到不行對吧。\r\n之後就立刻換其他人當了。[VAR 0114(001F)]
ajito_aku_040_dokuboss_01	在下表示同意……\n後髮際的頭髮長度最多３公分等等。\r\n老實說，真是囉嗦透頂……[VAR 0114(0023)]
ajito_aku_040_akuboss_07	是吧？\n所以我根本就不適合去訂什麼隊規。[VAR 0114(0021)]
ajito_aku_040_fairyboss_02	可是啊，平時幾乎都是\n皮拿在照顧隊員不是嗎？[VAR 0114(0020)]
ajito_aku_040_kakutouboss_02	大家都很依靠皮拿，\n而且都很信賴你。[VAR 0114(0022)]
ajito_aku_040_honooboss_03	如果是現在的皮拿想出的隊規，\n我也覺得遵守倒是無妨。[VAR 0114(001F)]
ajito_aku_040_dokuboss_02	……同意！[VAR 0114(0023)]
ajito_aku_040_akuboss_08	好啦好啦，我知道了。\n隊規我來訂……我來訂就是了。[VAR 0114(0021)]
ajito_aku_040_akuboss_09	能做的事……\n我已經做得夠多了吧……[VAR 0114(0021)]
ajito_aku_040_akuboss_10	何況這是我自己訂的隊規，\n我會瀟灑地離開天星隊的。\r\n[VAR 1100(00FF,0101)]你妳能收下這個老大之證團隊徽章嗎？[VAR 0114(0021)]
ajito_aku_040_waza_01	還有這個超酷的\n招式學習器也拿去吧。[VAR 0114(0021)]
ajito_aku_040_akuboss_11	啊～啊～\n這麼看來派對也the end了……[VAR 0114(0021)]
ajito_aku_040_akuboss_12	話說回來，\n[VAR 1100(00FF,0101)]你妳的每一隻寶可夢都太猛了吧。[VAR 0114(0021)]
ajito_aku_040_akuboss_13	[VAR 1100(00FF,0101)]你妳那是在學院裡學的嗎？\n讓寶可夢學會的招式或培育方法之類的。[VAR 0114(0021)]
ajito_aku_040_select_01	是的
ajito_aku_040_select_02	不是
ajito_aku_040_akuboss_14	哦……\n[VAR 1100(00FF,0101)]你妳到學院上學，覺得快樂嗎？[VAR 0114(0021)]
ajito_aku_040_select_03	很快樂
ajito_aku_040_select_04	不快樂
ajito_aku_040_akuboss_15	哦～這樣啊……[VAR 0114(0021)]
ajito_aku_040_nelke_01	你就是皮拿嗎？[VAR 0114(001E)]
ajito_aku_040_akuboss_16	髮型酷炫的不速之客？\n以寶可夢的招式來說，就像是惡意追擊？[VAR 0114(0021)]
ajito_aku_040_nelke_02	我想和你稍微談談。[VAR 0114(001E)]
ajito_aku_040_akuboss_17	……總覺得怪麻煩的。\n但反正我閒下來了，ＯＫ喔。[VAR 0114(0021)]
ajito_aku_040_nelke_03	[~ 34]
ajito_aku_040_akuboss_18	[~ 35]
ajito_aku_040_akuboss_19	[~ 36]
ajito_aku_040_nelke_04	[~ 37]
ajito_aku_040_nelke_05	[~ 38]
ajito_aku_040_nelke_06	[~ 39]
ajito_aku_040_akuboss_20	[~ 40]
ajito_aku_040_akuboss_21	[~ 41]
ajito_aku_040_nelke_07	[~ 42]
ajito_aku_040_akuboss_22	[~ 43]
ajito_aku_040_nelke_08	好的。\n我就開門見山地問。[VAR 0114(001E)]
ajito_aku_040_nelke_09	這樣下去的話，\n你們所有人都會受到退學處分吧。[VAR 0114(001E)]
ajito_aku_040_nelke_10	為什麼不解散天星隊，\n到學院上學呢？[VAR 0114(001E)]
ajito_aku_040_akuboss_23	你偏要問這個？\n我們只是在等同伴而已。\r\n……雖然不知道這個同伴會不會回來。[VAR 0114(0021)]
ajito_aku_040_nelke_11	同伴……是很重要的夥伴嗎？[VAR 0114(001E)]
ajito_aku_040_akuboss_24	[~ 49]
ajito_aku_040_nelke_12	[~ 50]
ajito_aku_040_akuboss_25	這個同伴就是天星隊最強的老大。\n以訓練家來說，就像是首席冠軍？[VAR 0114(0021)]
ajito_aku_040_akuboss_26	這個人邀請大家一起建立天星隊，\n被稱為真老大。[VAR 0114(0021)]
ajito_aku_040_nelke_13	這個真老大，現在人在哪裡？[VAR 0114(001E)]
ajito_aku_040_akuboss_27	我要是知道就不會頭痛了。\n有一年半左右了吧？想聯絡都聯絡不上。[VAR 0114(0021)]
ajito_aku_040_nelke_14	[~ 55]
ajito_aku_040_akuboss_28	我一直以為只要我不退出天星隊，\n或許哪一天真老大就會聯絡我了。[VAR 0114(0021)]
ajito_aku_040_akuboss_29	老師們一直囉嗦著要我退出天星隊，\n還出現了像你們這樣的傢伙……[VAR 0114(0021)]
ajito_aku_040_nelke_15	…………[VAR 0114(001E)]
ajito_aku_040_akuboss_30	反而是我被拋下了嗎……\n說起來真老大以前就想解散天星隊……[VAR 0114(0021)]
ajito_aku_040_nelke_16	真老大和天星隊\n真的有那麼重要嗎？[VAR 0114(001E)]
ajito_aku_040_akuboss_31	那還用說。\n如果用學院常說的話，就像是……\r\n寶物？[VAR 0114(0021)]
ajito_doku_010.tbl
ajito_doku_010_sitappa_01	……行行好，你能不能快點回去？[VAR 0114(002F)]
ajito_doku_010_student_01	我不走！\n我想見毒幫班老大秋明閣下！
ajito_doku_010_sitappa_02	我說過了，他本人有吩咐我！\n除了隊員以外，不准放行任何人！[VAR 0114(002F)]
ajito_doku_010_student_02	我一定要見他！\n我有話要和秋明閣下說！
ajito_doku_010_sitappa_03	你就饒了我吧……[VAR 0114(002F)]
ajito_doku_010_system_01	似乎有人起了爭執。\n……要怎麼辦？
ajito_doku_010_select_01	搭話
ajito_doku_010_select_02	靠近看看
ajito_doku_010_student_03	咦？
ajito_doku_010_sitappa_04	啊～啊～\n又來了一個麻煩。[VAR 0114(002F)]
ajito_doku_010_sitappa_05	天星隊的新人\n原來這麼難當……[VAR 0114(002F)]
ajito_doku_010_student_04	……等等，這位手下！\n這個人不是[VAR 0100(0000)]嗎？
ajito_doku_010_sitappa_06	[VAR 0100(0000)]……\n那個挑釁天星隊的傢伙？[VAR 0114(002F)]
ajito_doku_010_select_03	沒錯
ajito_doku_010_select_04	我來踢館的
ajito_doku_010_student_05	……果然沒錯！
ajito_doku_010_sitappa_07	哇～糟糕～！[VAR 0114(002F)]
ajito_doku_010_sitappa_08	基地的那幫人昨天打電動打通宵，\n現在一定還在睡……[VAR 0114(002F)]
ajito_doku_010_student_06	……這裡就交給我！\n這位手下，你快去叫醒夥伴吧！
ajito_doku_010_sitappa_09	欸？你為什麼要幫忙？[VAR 0114(002F)]
ajito_doku_010_student_07	要是基地毫無防備的話，\n秋明閣下也會很危險不是嘛！
ajito_doku_010_student_08	秋明閣下是我的恩人，\n也是我的同胞……！
ajito_doku_010_student_09	有危機的時候，\n排除萬難火速前往是理所當然！！
ajito_doku_010_sitappa_10	雖然我不太懂你在說什麼，\n但你幫了我一個大忙！[VAR 0114(002F)]
ajito_doku_010_student_10	想對我同胞不利的奸詐之徒，\n就由我來當[VAR 1100(00FF,0101)]你妳的對手！
ajito_doku_010_select_05	沒問題
ajito_doku_010_select_06	等等！
ajito_doku_010_student_11	君子不立於危牆之下。\n真是非常明智的判斷！
ajito_doku_010_student_12	看招呀呀呀啊！
ajito_doku_010_student_13	秋明閣下……對不起……
ajito_doku_010_nelke_01	[VAR 0100(0000)]，[VAR 1100(00FF,0101)]你妳沒事吧！？[VAR 0114(001E)]
ajito_doku_010_nelke_02	我一直監視著基地，\n但突然騷動了起來。[VAR 0114(001E)]
ajito_doku_010_nelke_03	我擔心是不是發生了什麼事，\n所以趕來這裡……[VAR 0114(001E)]
ajito_doku_010_student_14	嗚嗚……！\n竟然在這時候出現生力軍……！！
ajito_doku_010_nelke_04	他是……我們學校的學生？\n看起來不像是天星隊的人……[VAR 0114(001E)]
ajito_doku_010_student_15	我不是天星隊的人……\n但是秋明閣下是我的同胞！
ajito_doku_010_student_16	我無論如何都得見到他！
ajito_doku_010_nelke_05	……看來背後有些理由。[VAR 0114(001E)]
ajito_doku_010_nelke_06	我來聽聽他怎麼說。\n[VAR 0100(0000)]，基地就先交給[VAR 1100(00FF,0101)]你妳了。[VAR 0114(001E)]
ajito_doku_010_nelke_07	好，我們走吧。\n放心，我不會讓你吃虧的。[VAR 0114(001E)]
ajito_doku_020.tbl
ajito_doku_020_system_01	洛托洛托洛托……
ajito_doku_020_cassiopeia_01	……[VAR 1100(00FF,0101)]你妳搞定看門的了嗎？[VAR 0114(0009)]
ajito_doku_020_cassiopeia_02	聚集在這個基地的是\n天星隊毒幫班……\r\n策星小隊。[VAR 0114(0009)]
ajito_doku_020_cassiopeia_03	老大秋明手藝靈巧，\n負責天星隊的服裝。\r\n他是個……獨具一格的男人。[VAR 0114(0009)]
ajito_doku_020_cassiopeia_04	沒有人預測得了他的行動……[VAR 0114(0009)]
ajito_doku_020_cassiopeia_05	雖然不清楚他會如何\n來應對我們的宣戰……[VAR 0114(0009)]
ajito_doku_020_cassiopeia_06	但在秋明現身之前，\n盡可能地削減天星隊的寶可夢吧。[VAR 0114(0009)]
ajito_doku_020_cassiopeia_07	[~ 7]
ajito_doku_020_cassiopeia_08	[VAR 1100(00FF,0101)]你妳準備好的話，\n就去敲響鑼來展開大作戰！\r\n到策星小隊踢館吧。[VAR 0114(0009)]
ajito_doku_020_select_01	[~ 9]
ajito_doku_020_select_02	[~ 10]
ajito_doku_020_cassiopeia_08_old	[~ 11]
ajito_doku_020_cassiopeia_09_old	[~ 12]
ajito_doku_020_kari_01	[~ 13]
ajito_doku_030.tbl
ajito_doku_030_dokuboss_01	……秋明來也。[VAR 0114(0023)]
ajito_doku_030_dokuboss_02	You就是[VAR 0100(0000)]啊。[VAR 0114(0023)]
ajito_doku_030_dokuboss_03	與天星隊為敵的無禮之徒，\n等著被在下的毒侵蝕吧。[VAR 0114(0023)]
ajito_doku_030_dokuboss_04	秋明！來也！！[VAR 0114(0023)]
ajito_doku_040.tbl
ajito_doku_040_dokuboss_00	大家，抱歉……[VAR 0114(0023)]
ajito_doku_040_system_01	大約１年多前……
ajito_doku_040_dokuboss_01	抱歉……\n因為布料的採購延遲了……[VAR 0114(0023)]
ajito_doku_040_honooboss_01	太酷了……\n特別是這個靴子太酷了……[VAR 0114(001F)]
ajito_doku_040_dokuboss_02	靴子的靈感是來自蓄能焰襲……[VAR 0114(0023)]
ajito_doku_040_kakutouboss_01	我的制服也和我想像的一樣，\n真是太謝謝你了。[VAR 0114(0022)]
ajito_doku_040_dokuboss_03	如果能實現地獄偶像枇琶閣下的構想，\n在下三生有幸。[VAR 0114(0023)]
ajito_doku_040_akuboss_01	這麼一來所有人的制服都改造完畢。\n真是太thank you了，秋明。[VAR 0114(0021)]
ajito_doku_040_akuboss_02	妳們兩個看起來那麼酷的話，\n一定可以帶來很強的壓迫感。[VAR 0114(0021)]
ajito_doku_040_fairyboss_01	不過，秋明你的手還真是巧～[VAR 0114(0020)]
ajito_doku_040_fairyboss_02	那些只因為你是阿宅就霸凌你的傢伙們，\n真的很傻啊～[VAR 0114(0020)]
ajito_doku_040_dokuboss_04	阿宅走的路是修羅相伴的荊棘之路。\n在下不奢望凡人能夠理解。[VAR 0114(0023)]
ajito_doku_040_honooboss_02	喲喲！怎麼了，秋明！\n你說的話很有氣勢嘛！[VAR 0114(001F)]
ajito_doku_040_kakutouboss_02	是呀，秋明。\n我覺得你很酷喔～[VAR 0114(0022)]
ajito_doku_040_akuboss_03	那麼，作為天星大作戰的準備，\n接下來我們來做戰鬥的訓練吧。[VAR 0114(0021)]
ajito_doku_040_akuboss_04	身為老大的我們可不能\n比其他成員來得弱。[VAR 0114(0021)]
ajito_doku_040_dokuboss_05	明白……\n在下會全心全力不斷修練……！[VAR 0114(0023)]
ajito_doku_040_dokuboss_06	在下雖全心全力，\n但最高原則是不能違抗的……[VAR 0114(0023)]
ajito_doku_040_dokuboss_07	這個最高原則就是隊規……[VAR 0114(0023)]
ajito_doku_040_dokuboss_08	因為是隊規，這個you請拿去吧……\n是you的話，在下相信可以託付的。[VAR 0114(0023)]
ajito_doku_040_waza_01	還有這個機關也請收下。\n裡面記錄了發射垃圾的招式。[VAR 0114(0023)]
ajito_doku_040_dokuboss_09	You的名字是……\n[VAR 0100(0000)]啊。[VAR 0114(0023)]
ajito_doku_040_dokuboss_10	在下是輸得如此徹底，\n甚至沒有一絲怨恨和痛苦……[VAR 0114(0023)]
ajito_doku_040_student_01	秋明閣下！！
ajito_doku_040_dokuboss_11	同、同胞？[VAR 0114(0023)]
ajito_doku_040_nelke_01	他似乎無論如何都要見到你，\n想直接和你說話。[VAR 0114(001E)]
ajito_doku_040_student_02	秋明閣下聽我說！\n只要一下下就好了！！
ajito_doku_040_dokuboss_12	[~ 27]
ajito_doku_040_nelke_02	[~ 28]
ajito_doku_040_dokuboss_13	……閣下為什麼會來這裡？[VAR 0114(0023)]
ajito_doku_040_student_03	因為我想幫幫我的同胞！
ajito_doku_040_student_04	像現在這樣一直不去上學的話，\n秋明閣下會受到退學處分不是嗎……？
ajito_doku_040_dokuboss_14	…………[VAR 0114(0023)]
ajito_doku_040_student_05	以前總是被霸凌的我們，\n現在能去上學……
ajito_doku_040_student_06	都要歸功於天星隊為了大家\n而努力執行的那個大作戰！
ajito_doku_040_student_07	你們這些人要是退學，\n我絕對不能接受！
ajito_doku_040_dokuboss_15	……抱歉。[VAR 0114(0023)]
ajito_doku_040_student_08	現在還是聯絡不上\n那個叫真老大的人嗎……？
ajito_doku_040_dokuboss_16	嗯，自從那天以來……[VAR 0114(0023)]
ajito_doku_040_dokuboss_17	沒有真老大，就沒有天星隊……\n沒有天星隊的話，\r\n就沒有青春洋溢的學院生活！[VAR 0114(0023)]
ajito_doku_040_dokuboss_18	在真老大回歸之前，\n在下等人只能繼續守護基地，別無他選！[VAR 0114(0023)]
ajito_doku_040_student_09	你們如此信賴的真老大，\n究竟是何方神聖？[VAR 0114(001E)]
ajito_doku_040_dokuboss_19	[~ 42]
ajito_doku_040_student_10	[~ 43]
ajito_doku_040_dokuboss_20	在下等人從未實際見過真老大。[VAR 0114(0023)]
ajito_doku_040_student_11	[~ 45]
ajito_doku_040_dokuboss_21	就本人的說法，真老大一直宅在家裡……\n聽說與在下等人一樣，起因都是霸凌……[VAR 0114(0023)]
ajito_doku_040_student_12	好可憐……
ajito_doku_040_dokuboss_22	雖然在下等人不知道真老大的真名和樣貌，\n但那不會改變真老大是夥伴的事實。\c\n在下等人要做的就只有\n在基地等待真老大come back！[VAR 0114(0023)]
ajito_doku_040_student_13	所以秋明閣下你才不去上學啊……
ajito_doku_040_student_14	……但是不要忘記！\n秋明閣下你除了天星隊以外，\r\n還有我這個同胞在啊！
ajito_doku_040_dokuboss_23	同胞……[VAR 0114(0023)]
ajito_doku_040_student_15	[~ 52]
ajito_doku_040_student_16	[~ 53]
ajito_doku_040_dokuboss_24	……在下感激不盡。[VAR 0114(0023)]
ajito_doku_040_nelke_03	霸凌……不上學……\n我又離真相更近一步了。\r\n不，比起這件事……[VAR 0114(001E)]
ajito_doku_040_nelke_04	學生們面對的問題……\n行動的理由……\r\n以及重要的牽絆……[VAR 0114(001E)]
ajito_doku_040_nelke_05	我竟然絲毫沒有察覺到這些事情，\n實在太羞愧了。[VAR 0114(001E)]
ajito_doku_040_student_17	[~ 58]
ajito_doku_040_dokuboss_25	呼……在下一直以來都\n相信只有天星隊是至寶……[VAR 0114(0023)]
ajito_doku_040_dokuboss_26	……或許在下錯了呢。[VAR 0114(0023)]
ajito_fairy_010.tbl
ajito_fairy_010_jentle_01	……那麼，等稍後到了練習鋼琴的時間，\n我會再來的。[VAR 0114(002C)]
ajito_fairy_010_jentle_02	請幫我把這句話轉達給少爺。[VAR 0114(002C)]
ajito_fairy_010_sitappa_01	我、我知道了！\n木非！[VAR 0114(002F)]
ajito_fairy_010_jentle_03	……哦？[VAR 0114(003C)]
ajito_fairy_010_jentle_04	您也是少爺的同學嗎？[VAR 0114(003C)]
ajito_fairy_010_select_01	少爺？
ajito_fairy_010_select_02	我不知道
ajito_fairy_010_jentle_05	這樣啊……[VAR 0114(003C)]
ajito_fairy_010_jentle_06	或許您不知道，\n其實這裡是奧爾迪加少爺率領的\r\n妖精幫班閣道三小隊基地。[VAR 0114(003C)]
ajito_fairy_010_sitappa_02	那、那個，不要隨便\n把這種事情告訴別人……[VAR 0114(002F)]
ajito_fairy_010_jentle_07	真是失禮了。[VAR 0114(003C)]
ajito_fairy_010_jentle_08	這位訪客是誰呢？[VAR 0114(003C)]
ajito_fairy_010_sitappa_03	大概是我們的敵人！[VAR 0114(002F)]
ajito_fairy_010_jentle_09	原來如此。\n也就是說，您是少爺的敵人……是吧？[VAR 0114(003C)]
ajito_fairy_010_select_03	沒錯！
ajito_fairy_010_select_04	應該是吧……？
ajito_fairy_010_jentle_10	嗯，原來如此。\n這樣的話……[VAR 0114(003C)]
ajito_fairy_010_sitappa_04	嗯……？[VAR 0114(002F)]
ajito_fairy_010_jentle_11	能請您與我一戰嗎？[VAR 0114(003C)]
ajito_fairy_010_jentle_12	您需要準備嗎？\n需要的話，我會等您的。[VAR 0114(003C)]
ajito_fairy_010_jentle_13	那麼，請接招。[VAR 0114(003C)]
ajito_fairy_010_jentle_14	……真是太精彩了。[VAR 0114(003C)]
ajito_fairy_010_jentle_15	我的主人奧爾迪加少爺\n實力在我之上，\r\n還請您多加小心。[VAR 0114(003C)]
ajito_fairy_010_jentle_16	那麼，我先告辭了。[VAR 0114(003C)]
ajito_fairy_010_sitappa_05	今、今天星苦了……[VAR 0114(002F)]
ajito_fairy_010_sitappa_06	剛剛那位紳士，\n他好像是學院的上一任校長？大概？\r\n現在負責教育老大？聽說是這樣。\r\n然後他有時候會來接老大？可能是這樣……[VAR 0114(002F)]
ajito_fairy_010_sitappa_07	……啊，\n現在不是說這些的時候！[VAR 0114(002F)]
ajito_fairy_010_sitappa_08	我確定[VAR 1100(00FF,0101)]你妳是敵人，\n所以我要去報告了～！[VAR 0114(002F)]
ajito_fairy_010_sitappa_09	今天星苦了～！[VAR 0114(002F)]
ajito_fairy_020.tbl
ajito_fairy_020_system_01	洛托洛托洛托……
ajito_fairy_020_cassiopeia_01	……[VAR 1100(00FF,0101)]你妳搞定看門的了嗎？[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_02	這個基地的主人，\n就是天星隊妖精幫班……\r\n閣道三小隊。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_03	老大的奧爾迪加\n負責天星隊的機械整備。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_04	在老大當中雖然他的年紀最小，\n但確實有真本事。別小看他了。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_05	比起親自行動，\n基本上他屬於指揮別人行動的司令官類型。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_06	不過，他有點容易動怒。\n一旦理智線斷裂，\r\n我想他就會親自闖入戰場。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_07	方法還是只有不斷打倒手下們了。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_08	在奧爾迪加現身之前，\n[VAR 1100(00FF,0101)]你妳要抵擋住手下們的猛攻啊。[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_09	[~ 9]
ajito_fairy_020_cassiopeia_10	[VAR 1100(00FF,0101)]你妳準備好的話，\n就去敲響鑼來展開大作戰！\r\n到閣道三小隊踢館吧。[VAR 0114(0009)]
ajito_fairy_020_select_01	[~ 11]
ajito_fairy_020_select_02	[~ 12]
ajito_fairy_020_cassiopeia_10_old	[~ 13]
ajito_fairy_020_cassiopeia_11_old	[~ 14]
ajito_fairy_020_kari_01	[~ 15]
ajito_fairy_030.tbl
ajito_fairy_030_fairyboss_01	哦……哼……\n[VAR 1100(00FF,0101)]你妳就是[VAR 0100(0000)]啊……[VAR 0114(0020)]
ajito_fairy_030_fairyboss_02	老實說，真是出乎我的意料。\n我原本期待[VAR 1100(00FF,0101)]你妳會是個更粗獷的傢伙呢。[VAR 0114(0020)]
ajito_fairy_030_fairyboss_03	算了！\n對手是誰都行，反正我又不會輸。[VAR 0114(0020)]
ajito_fairy_030_fairyboss_04	[VAR 1100(00FF,0101)]你妳只要好好體驗一下\n妖精屬性不可愛的那一面就好！[VAR 0114(0020)]
ajito_fairy_040.tbl
ajito_fairy_040_fairyboss_00	我為什麼會輸！\n為什麼，為什麼！為什麼啊～！！[VAR 0114(0020)]
ajito_fairy_040_system_01	大約１年多前……
ajito_fairy_040_fairyboss_01	可惡～！為什麼啊～！！[VAR 0114(0020)]
ajito_fairy_040_honooboss_01	那台玩具車動都不動呢。[VAR 0114(001F)]
ajito_fairy_040_fairyboss_02	是天星隊車！！\n那不叫玩具車！\r\n那可是我熬夜通宵做出來的耶！[VAR 0114(0020)]
ajito_fairy_040_akuboss_01	很明顯地動力不夠啊。[VAR 0114(0021)]
ajito_fairy_040_akuboss_02	要靠２隻炭小侍來驅動的話，\n天星隊車太重了。[VAR 0114(0021)]
ajito_fairy_040_kakutouboss_01	但只要這台車動起來，\n那些愛霸凌的學生也一定會嚇呆的……[VAR 0114(0022)]
ajito_fairy_040_fairyboss_03	對不起……不應該是這樣的啊……[VAR 0114(0020)]
ajito_fairy_040_dokuboss_01	閣下不用沮喪。[VAR 0114(0023)]
