3poke_walk.dat
3poke_walk_kusa_01	[~ 0]
ajito_aku_010_sitappa_a_06	Graaah! Sassy kids like you are the worst!\nThat’s it—prepare to get stomped into the dirt![VAR 0114(002D)]
ajito_aku_010_sitappa_a_07	Graaah! How the heck could I lose?![VAR 0114(002D)]
ajito_aku_010_sitappa_a_08	Well, whatever, it’s your problem now! Finish up\nhere for me, would ya, bud?[VAR 0114(002D)]
ajito_aku_010_sitappa_a_09	’K, thanks, hasta la vistaaaaaar! ☆[VAR 0114(002D)]
ajito_aku_010_sitappa_b_06	Hasta...la...vi...star... ☆[VAR 0114(002E)]
ajito_aku_010_sitappa_b_07	... ... ...[VAR 0114(002E)]
ajito_aku_010_sitappa_b_08	She’s new to the team, y’know. Might have to\nhave a little chat with her about that attitude...[VAR 0114(002E)]
ajito_aku_010_sitappa_b_09	*sigh*[VAR 0114(002E)]
ajito_aku_010_sitappa_b_10	Well, I’m gonna go into the base now and\ngive the rest of the squad the heads-up.[VAR 0114(002E)]
ajito_aku_010_sitappa_b_11	We’ll come at you full force if you set foot\ninside, so you might wanna consider turning tail.\r\nEither way, best of luck to you, amig[VAR 1100(00FF,0101)]oa![VAR 0114(002E)]
ajito_aku_010_sitappa_b_12	Hasta la vistaaar! ☆[VAR 0114(002E)]
ajito_aku_020.tbl
ajito_aku_020_system_01	Ro-to-to-to-to... ♪
ajito_aku_020_cassiopeia_01	I see you took care of the guards. Nice work.[VAR 0114(0009)]
ajito_aku_020_cassiopeia_02	Now, holed up in that base is Team Star’s Dark\ncrew—the Segin Squad.[VAR 0114(0009)]
ajito_aku_020_cassiopeia_03	Their boss, Giacomo, pretty much runs the whole\nof Team Star, and he also produced that wild\r\nsoundtrack of theirs himself.[VAR 0114(0009)]
ajito_aku_020_cassiopeia_04	He’s a sharp guy. Even our declaration of war\nwon’t have ruffled him in the slightest.[VAR 0114(0009)]
ajito_aku_020_cassiopeia_05	His plan is probably to wear you down with a\nwave of grunts, then finish you off himself.[VAR 0114(0009)]
ajito_aku_020_cassiopeia_06	No use trying to outthink strategic types like him.\nBring him down with a head-on attack![VAR 0114(0009)]
ajito_aku_020_cassiopeia_07	Just keep on defeating as many Pokémon as you\ncan until the big man himself shows up.[VAR 0114(0009)]
ajito_aku_020_cassiopeia_08	[~ 8]
ajito_aku_020_cassiopeia_09	Ring the bell on the gates once you’re ready to\nkick off this phase of the operation.\c\nTime to wipe the Segin Squad off the map![VAR 0114(0009)]
ajito_aku_020_select_01	[~ 10]
ajito_aku_020_select_02	[~ 11]
ajito_aku_020_cassiopeia_09_old	[~ 12]
ajito_aku_020_cassiopeia_10_old	[~ 13]
ajito_aku_020_kari_01	[~ 14]
ajito_aku_030.tbl
ajito_aku_030_akuboss_01	You’ve done a real number on us, party crasher!\n[VAR 0100(0000)], was it?[VAR 0114(0021)]
ajito_aku_030_akuboss_02	I’m Giacomo! At the deck, I go by DJ Vice!\nCall me whichever—it’s a vibe either way.[VAR 0114(0021)]
ajito_aku_030_akuboss_03	Nice to meet you and all...but how ’bout we skip\nstraight to your outro?\c\nDon’t worry—I’ll play you a sick requiem as you\ncrash and burn.[VAR 0114(0021)]
ajito_aku_030_akuboss_04	Let’s get this party staaarteeed![VAR 0114(0021)]
ajito_aku_040.tbl
ajito_aku_040_akuboss_01	Guess that’s that...[VAR 0114(0021)]
ajito_aku_040_system_01	About a year and a half ago...
ajito_aku_040_fairyboss_01	What’s up, Giacomo? Did something happen?[VAR 0114(0020)]
ajito_aku_040_akuboss_02	The big boss just wanted my take on some stuff...\nSo we had a chat and settled on a few plans.[VAR 0114(0021)]
ajito_aku_040_honooboss_01	“A few plans”...? Like, for what?[VAR 0114(001F)]
ajito_aku_040_akuboss_03	Operation Star, first of all. And also...a new code\nof conduct for the team.[VAR 0114(0021)]
ajito_aku_040_akuboss_04	You know how tons of new members have joined\nup recently?\c\nWell, we figure we gotta make some team rules—\nlike a code—so we’ll all be on the same page.[VAR 0114(0021)]
ajito_aku_040_kakutouboss_01	Nice! You’ll come up with a great code for us,\nwon’t you, Giacomo?[VAR 0114(0022)]
ajito_aku_040_akuboss_05	Hah, no thanks. Waaay too much pressure.[VAR 0114(0021)]
ajito_aku_040_akuboss_06	I mean, yeah, I used to be president of the\nstudent council. But you know everyone ended\r\nup hating me after that, right?[VAR 0114(0021)]
ajito_aku_040_honooboss_02	’Course we know. You forced a ton of stuffy\nrules on everyone, and they wouldn’t take it.\c\nWe got some other nerd to replace you after,\nlike, five minutes.[VAR 0114(001F)]
ajito_aku_040_dokuboss_01	I cannot help but concur...\c\n“Male students’ hair must stray no further than\n1.8 inches below the nape” and so forth...\c\nYour rules were vexation made manifest![VAR 0114(0023)]
ajito_aku_040_akuboss_07	My point exactly! So you’ll all agree that I\nshouldn’t be let anywhere near this new code.[VAR 0114(0021)]
ajito_aku_040_fairyboss_02	But you always know what’s best for the team,\nGiacomo! You look out for us![VAR 0114(0020)]
ajito_aku_040_kakutouboss_02	You’ve earned our trust many times over. Without\nyou, Team Star just wouldn’t work.[VAR 0114(0022)]
ajito_aku_040_honooboss_03	That stuck-up student council prez isn’t who you\nare anymore, man.\c\nA code written by the Giacomo I’m lookin’ at\nnow... I’d follow that any day.[VAR 0114(001F)]
ajito_aku_040_dokuboss_02	As would I![VAR 0114(0023)]
ajito_aku_040_akuboss_08	OK, OK, thanks for the ego boost, everyone.\nI’ll do it... I’ll write up the darn code.[VAR 0114(0021)]
ajito_aku_040_akuboss_09	I did the best I could...[VAR 0114(0021)]
ajito_aku_040_akuboss_10	I wrote that code myself, and there’s no goin’\nback on it now. My days as a boss are over.\r\nSo here—take my Star Badge, would ya?[VAR 0114(0021)]
ajito_aku_040_waza_01	I’ll give you this choice TM, too. You earned it\nfair ’n’ square.[VAR 0114(0021)]
ajito_aku_040_akuboss_11	Haaah. So this is how the party ends...[VAR 0114(0021)]
ajito_aku_040_akuboss_12	But let’s talk about th[VAR 1101(00FD,0302)]atose Pokémon of yours.\n[VAR 1101(00FD,0704)]It’sThey’re crazy strong, huh.[VAR 0114(0021)]
ajito_aku_040_akuboss_13	You learn those Trainer chops at the academy?\nLike, what moves you should use ’n’ stuff?[VAR 0114(0021)]
ajito_aku_040_select_01	Sure did!
ajito_aku_040_select_02	Nope
ajito_aku_040_akuboss_14	Huh. OK... You like it at the academy?\nHavin’ fun?[VAR 0114(0021)]
ajito_aku_040_select_03	Yeah, I’m enjoying it!
ajito_aku_040_select_04	It’s not the best...
ajito_aku_040_akuboss_15	No kiddin’...[VAR 0114(0021)]
ajito_aku_040_nelke_01	Sorry to interrupt, but are you Giacomo?[VAR 0114(001E)]
ajito_aku_040_akuboss_16	Whoa-ho! Wasn’t expecting a giant pompadour\nto make a guest appearance today.\c\nYou get a Quaxwell to style that up for ya?[VAR 0114(0021)]
ajito_aku_040_nelke_02	I’m just after a quick word. Would you mind?[VAR 0114(001E)]
ajito_aku_040_akuboss_17	Sure. I can tell it’s gonna be somethin’ annoying,\nbut I guess I’m newly freed up for time.[VAR 0114(0021)]
ajito_aku_040_nelke_03	[~ 34]
ajito_aku_040_akuboss_18	[~ 35]
ajito_aku_040_akuboss_19	[~ 36]
ajito_aku_040_nelke_04	[~ 37]
ajito_aku_040_nelke_05	[~ 38]
ajito_aku_040_nelke_06	[~ 39]
ajito_aku_040_akuboss_20	[~ 40]
ajito_aku_040_akuboss_21	[~ 41]
ajito_aku_040_nelke_07	[~ 42]
ajito_aku_040_akuboss_22	[~ 43]
ajito_aku_040_nelke_08	Thanks. I’ll get straight to it.[VAR 0114(001E)]
ajito_aku_040_nelke_09	It seems all of you in Team Star are headed for\nexpulsion if you keep up your current activities.[VAR 0114(001E)]
ajito_aku_040_nelke_10	So why won’t you break up the team and start\nattending class at the academy again?[VAR 0114(001E)]
ajito_aku_040_akuboss_23	That’s what you wanna know?\c\nAs it happens, we’re actually waitin’ on a pal...\nthough we don’t know if they’ll be comin’ back.[VAR 0114(0021)]
ajito_aku_040_nelke_11	A pal...? A close friend of yours, are they?[VAR 0114(001E)]
ajito_aku_040_akuboss_24	[~ 49]
ajito_aku_040_nelke_12	[~ 50]
ajito_aku_040_akuboss_25	They’re only the strongest boss in all of\nTeam Star!\c\nLike how there’s a Top Champion who’s the\nabsolute number-one Trainer, y’know?[VAR 0114(0021)]
ajito_aku_040_akuboss_26	They’re the one who invited us other bosses to\nform the team. We call ’em the “big boss.”[VAR 0114(0021)]
ajito_aku_040_nelke_13	And where is this big boss of yours now?[VAR 0114(001E)]
ajito_aku_040_akuboss_27	Wouldn’t we like to know. We haven’t heard from\n’em in, I dunno...must be a year and a half now.[VAR 0114(0021)]
ajito_aku_040_nelke_14	[~ 55]
ajito_aku_040_akuboss_28	We thought that if we kept Team Star going, then\nthey’d get back in touch one day.[VAR 0114(0021)]
ajito_aku_040_akuboss_29	But the teachers keep pressin’ us to call it quits,\nand then we get party crashers like you two...[VAR 0114(0021)]
ajito_aku_040_nelke_15	... ... ...[VAR 0114(001E)]
ajito_aku_040_akuboss_30	Maybe the big boss did ditch us... They were\ntalkin’ about breakin’ up the team before and all.[VAR 0114(0021)]
ajito_aku_040_nelke_16	So, Team Star and this big boss of yours...\nThey’re really that important to you?[VAR 0114(001E)]
ajito_aku_040_akuboss_31	Heh. Is the sky blue?\c\nLet me put it in words you eggheads at the\nacademy might understand...\c\nThey’re my greatest treasure.[VAR 0114(0021)]
ajito_doku_010.tbl
ajito_doku_010_sitappa_01	Do me a favor and go home already, will ya?[VAR 0114(002F)]
ajito_doku_010_student_01	NO! I wanna see the boss of the Navi Squad!\nTake me to Don Atticus!
ajito_doku_010_sitappa_02	Like I said, kid, the boss told me not to let any\noutsiders past these gates! That includes you![VAR 0114(002F)]
ajito_doku_010_student_02	I don’t care! I’m not leaving till you let me talk to\nDon Atticus!
ajito_doku_010_sitappa_03	Gimme a break, you little doofus...[VAR 0114(002F)]
ajito_doku_010_system_01	The people over there seem to be arguing about\nsomething... What do you want to do?
ajito_doku_010_select_01	Go say hello
ajito_doku_010_select_02	Get a little closer
ajito_doku_010_student_03	Huh?
ajito_doku_010_sitappa_04	Oh great. Here comes another rando to ruin\nmy day.[VAR 0114(002F)]
ajito_doku_010_sitappa_05	I didn’t think grunt work for Team Star newbies\nwould be this much of a chore...[VAR 0114(002F)]
ajito_doku_010_student_04	Hold on, Mr. Grunt! I think this [VAR 1100(00FF,0403)]boygirl might\nbe [VAR 0100(0000)]!
ajito_doku_010_sitappa_06	[VAR BD06(0000)]Wait...[VAR 0100(0000)]? That kid\nwho\r\npicked\r\na\r\nfight\r\nwith\r\nTeam Star?[VAR 0114(002F)]
ajito_doku_010_select_03	Yup, that’s me!
ajito_doku_010_select_04	Prepare to be raided!
ajito_doku_010_student_05	I knew it!
ajito_doku_010_sitappa_07	Hoo-boy, this ain’t good![VAR 0114(002F)]
ajito_doku_010_sitappa_08	Everyone else in the base is still asleep since we\nwere up all last night playing video games...[VAR 0114(002F)]
ajito_doku_010_student_06	Leave h[VAR 1100(00FF,0202)]imer to me, Mr. Grunt! I’ll buy some time\nfor you to go wake up the others!
ajito_doku_010_sitappa_09	Yeah? And what’s in it for you?[VAR 0114(002F)]
ajito_doku_010_student_07	Don Atticus will be in danger if no one’s here to\ndefend the base!
ajito_doku_010_student_08	I owe that man my life. He’s my dear compadre!
ajito_doku_010_student_09	And when crisis calls, one has no choice but to\nrally to those dear to him—no matter the cost!
ajito_doku_010_sitappa_10	Yeah, I have no idea what you’re on about, kid.\nBut thanks for the big assist![VAR 0114(002F)]
ajito_doku_010_student_10	All right, you villain! If you’re after Don Atticus,\nbe prepared to face my wrath!
ajito_doku_010_select_05	Bring it on
ajito_doku_010_select_06	Wait a sec!
ajito_doku_010_student_11	Discretion is the better part of valor, as the\nsaying goes. Wise choice!
ajito_doku_010_student_12	YAAAAAAH!!!
ajito_doku_010_student_13	Don Atticus...I’m sorry I failed you...
ajito_doku_010_nelke_01	[VAR 0100(0000)]! Are you all right?[VAR 0114(001E)]
ajito_doku_010_nelke_02	I was standing watch when I heard a ruckus all of\na sudden.[VAR 0114(001E)]
ajito_doku_010_nelke_03	I got worried that maybe something had\nhappened to you over here...[VAR 0114(001E)]
ajito_doku_010_student_14	Argh... No fair! You had backup this whole time!
ajito_doku_010_nelke_04	Is this boy one of the academy’s students?\nHe doesn’t look like he’s from Team Star...[VAR 0114(001E)]
ajito_doku_010_student_15	You’re right—I’m not a member of Team Star...\nbut Don Atticus is my compadre!
ajito_doku_010_student_16	I have to see him no matter what!
ajito_doku_010_nelke_05	Well, clearly you have your reasons for\nbeing here.[VAR 0114(001E)]
ajito_doku_010_nelke_06	[VAR BD06(0000)][VAR 0100(0000)]... I’d like to ask this\nboy\r\nsome\r\nquestions.\r\nYou\r\ngo\r\nahead\r\nand\r\nget\r\nstarted\r\non\r\nthe base.[VAR 0114(001E)]
ajito_doku_010_nelke_07	Might I borrow you for a chat, my, ah...my man?\nDon’t worry—I won’t bite.[VAR 0114(001E)]
ajito_doku_020.tbl
ajito_doku_020_system_01	Ro-to-to-to-to... ♪
ajito_doku_020_cassiopeia_01	Nice work dealing with the guard.[VAR 0114(0009)]
ajito_doku_020_cassiopeia_02	Within that base lies Team Star’s Poison crew...\nthe Navi Squad.[VAR 0114(0009)]
ajito_doku_020_cassiopeia_03	Their boss, Atticus, designs the outfits for the\nteam—you could say he has clever hands.\r\nThe guy’s also...a bit of an eccentric.[VAR 0114(0009)]
ajito_doku_020_cassiopeia_04	You can never tell what he’s going to do next.[VAR 0114(0009)]
ajito_doku_020_cassiopeia_05	So. Since it’s beyond us to predict how he’ll\nrespond to our declaration of war...[VAR 0114(0009)]
ajito_doku_020_cassiopeia_06	just take out as many of the squad’s Pokémon\nas you can until Atticus shows his face.[VAR 0114(0009)]
ajito_doku_020_cassiopeia_07	[~ 7]
ajito_doku_020_cassiopeia_08	Ring the bell on the gates once you’re ready to\nkick off this phase of the operation.\c\nTime to wipe the Navi Squad off the map![VAR 0114(0009)]
ajito_doku_020_select_01	[~ 9]
ajito_doku_020_select_02	[~ 10]
ajito_doku_020_cassiopeia_08_old	[~ 11]
ajito_doku_020_cassiopeia_09_old	[~ 12]
ajito_doku_020_kari_01	[~ 13]
ajito_doku_030.tbl
ajito_doku_030_dokuboss_01	Pray forgive my sudden entry. ’Tis I, Atticus![VAR 0114(0023)]
ajito_doku_030_dokuboss_02	[VAR BD06(0000)]You’re that scoundrel,\n[VAR 0100(0000)],\r\nI\r\ntake\r\nit?\r\nYou\r\nhave\r\nsome\r\nnerve\r\nbaring\r\nyour\r\nfangs\r\nat\r\nTeam Star.[VAR 0114(0023)]
ajito_doku_030_dokuboss_03	Come, then, villainous wretch! A plunge into\ngrim poison shall be your well-deserved fate.[VAR 0114(0023)]
ajito_doku_030_dokuboss_04	En garde![VAR 0114(0023)]
ajito_doku_040.tbl
ajito_doku_040_dokuboss_00	Forgive me, my friends...[VAR 0114(0023)]
ajito_doku_040_system_01	About a year and a half ago...
ajito_doku_040_dokuboss_01	Forgive me. It took a goodly time to procure\nthe required materials.[VAR 0114(0023)]
ajito_doku_040_honooboss_01	Whoaaa, sick! These boots are insaaaaaane![VAR 0114(001F)]
ajito_doku_040_dokuboss_02	Ah, yes. The move Flame Charge was my muse\nfor those particular pieces.[VAR 0114(0023)]
ajito_doku_040_kakutouboss_01	This outfit is everything I imagined it would be.\nThank you so much![VAR 0114(0022)]
ajito_doku_040_dokuboss_03	I merely wished to create a costume worthy of\nthe great Infernal Eri. If it aligns with your vision,\r\nthen I am content.[VAR 0114(0023)]
ajito_doku_040_akuboss_01	Seems our outfit upgrades are all wrapped up,\nthen! Thanks a ton, Atticus.[VAR 0114(0021)]
ajito_doku_040_akuboss_02	With you two lookin’ like absolute beasts,\nanyone who crosses us will be sweatin’ bullets![VAR 0114(0021)]
ajito_doku_040_fairyboss_01	You’re so good at these sorts of crafty things,\nAtticus.[VAR 0114(0020)]
ajito_doku_040_fairyboss_02	Those people bullying you ’cause you geek out\nover old-fashioned stuff are out of their minds.[VAR 0114(0020)]
ajito_doku_040_dokuboss_04	The way of the ninja is rough and fraught with\nthorns. I neither expect nor desire sympathy from\r\nthe unrefined rabble.[VAR 0114(0023)]
ajito_doku_040_honooboss_02	Oooh, someone’s gettin’ fired up! Watch out,\nworld—our Atticus has FIGHTIN’ words![VAR 0114(001F)]
ajito_doku_040_kakutouboss_02	Yeah, don’t listen to the haters, Atticus. I think\nyou’re really cool![VAR 0114(0022)]
ajito_doku_040_akuboss_03	All right, gang. Let’s move on to the next step.\c\nIt’s time to put our backs into our battle training\nso we’re all prepped for Operation Star.[VAR 0114(0021)]
ajito_doku_040_akuboss_04	We gotta be stronger than everyone else in the\nteam—that’s what bein’ a boss means![VAR 0114(0021)]
ajito_doku_040_dokuboss_05	Indeed it does. Henceforth, I will devote myself\nheart and soul to honing my battle skills![VAR 0114(0023)]
ajito_doku_040_dokuboss_06	For the sake of the team, I would give my very\nheart and soul...but I cannot defy the rules.[VAR 0114(0023)]
ajito_doku_040_dokuboss_07	Our code must be obeyed.[VAR 0114(0023)]
ajito_doku_040_dokuboss_08	And so...this badge is mine to keep no more.\nI entrust it to thy care.[VAR 0114(0023)]
ajito_doku_040_waza_01	Take this contraption, too. It contains a technique\nthat allows one to cover their foes in gunk.[VAR 0114(0023)]
ajito_doku_040_dokuboss_09	[VAR BD06(0000)][VAR 0100(0000)] is thy name,\nis it not?[VAR 0114(0023)]
ajito_doku_040_dokuboss_10	You have utterly bested me. But thy victory stir’d\nno bitterness within me—such was its brilliance.[VAR 0114(0023)]
ajito_doku_040_student_01	Don Atticus!
ajito_doku_040_dokuboss_11	M-my compadre?[VAR 0114(0023)]
ajito_doku_040_nelke_01	It seems this little fella has been dying to speak\nwith you face-to-face.[VAR 0114(001E)]
ajito_doku_040_student_02	Don Atticus, please, hear what I have to say!\nI only need a moment!
ajito_doku_040_dokuboss_12	[~ 27]
ajito_doku_040_nelke_02	[~ 28]
ajito_doku_040_dokuboss_13	Whatever brought you all the way here?[VAR 0114(0023)]
ajito_doku_040_student_03	I came to help you!
ajito_doku_040_student_04	If you don’t start going to class again, you’ll be\nexpelled from the academy, right?
ajito_doku_040_dokuboss_14	... ... ...[VAR 0114(0023)]
ajito_doku_040_student_05	When the other kids at school and I were getting\nbullied real bad, you and the rest of Team Star\r\nsaved us!
ajito_doku_040_student_06	Thanks to that operation you carried out,\nwe were all able to go to school again!
ajito_doku_040_student_07	If you got expelled for being the good guys,\nthat’d be the worst thing ever!
ajito_doku_040_dokuboss_15	Forgive me...[VAR 0114(0023)]
ajito_doku_040_student_08	Haven’t you heard anything from the big boss...?
ajito_doku_040_dokuboss_16	Nay, we’ve heard not a whisper since that\nfateful day...[VAR 0114(0023)]
ajito_doku_040_dokuboss_17	Without the big boss, Team Star cannot carry on.\c\nAnd without the team, the bright and merry\nstudent life we seek lies beyond our reach![VAR 0114(0023)]
ajito_doku_040_dokuboss_18	We’ve no choice but to defend our bases till\nthe big boss returns to us![VAR 0114(0023)]
ajito_doku_040_student_09	You evidently trust this big boss of yours a great\ndeal. Who exactly are they?[VAR 0114(001E)]
ajito_doku_040_dokuboss_19	[~ 42]
ajito_doku_040_student_10	[~ 43]
ajito_doku_040_dokuboss_20	In truth, not one of us has met them in the flesh.[VAR 0114(0023)]
ajito_doku_040_student_11	[~ 45]
ajito_doku_040_dokuboss_21	By their own word, they are a recluse. As with the\nrest of us, ’twould seem bullying was to blame.[VAR 0114(0023)]
ajito_doku_040_student_12	That’s awful...
ajito_doku_040_dokuboss_22	Though their name and face be unknown to us,\nthey are nonetheless our precious comrade.\c\nOur only choice is to maintain our vigils from\nthe bases, awaiting the day of their return.[VAR 0114(0023)]
ajito_doku_040_student_13	So that’s why you don’t go to school...
ajito_doku_040_student_14	But...but still! Don’t ever think that Team Star is\nall you have, Don Atticus!\c\nYou’ve got a lifelong compadre in me—and don’t\nyou forget it!
ajito_doku_040_dokuboss_23	My compadre...[VAR 0114(0023)]
ajito_doku_040_student_15	[~ 52]
ajito_doku_040_student_16	[~ 53]
ajito_doku_040_dokuboss_24	I owe you a great debt.[VAR 0114(0023)]
ajito_doku_040_nelke_03	It seems we’re one step closer to the truth behind\nTeam Star’s truancy—and the bullying at the\r\nacademy. But more importantly...[VAR 0114(001E)]
ajito_doku_040_nelke_04	I can’t believe I had no idea about these issues\nthe students are struggling with...\c\nThey have friendships they hold dear and reasons\nfor acting as they do. I just couldn’t see it.[VAR 0114(001E)]
ajito_doku_040_nelke_05	It’s shameful how oblivious I’ve been.[VAR 0114(001E)]
ajito_doku_040_student_17	[~ 58]
ajito_doku_040_dokuboss_25	Haaah... I believ’d Team Star to be the one and\nonly treasure in my life...[VAR 0114(0023)]
ajito_doku_040_dokuboss_26	Methinks I may have been mistaken.[VAR 0114(0023)]
ajito_fairy_010.tbl
ajito_fairy_010_jentle_01	I will return later when it is time for the young\nmaster’s piano lesson.[VAR 0114(002C)]
ajito_fairy_010_jentle_02	Until then, please give him my regards.[VAR 0114(002C)]
ajito_fairy_010_sitappa_01	Y-yes, Mr. Harrington![VAR 0114(002F)]
ajito_fairy_010_jentle_03	Hm?[VAR 0114(003C)]
ajito_fairy_010_jentle_04	And who might you be, young [VAR 1100(00FF,0403)]manlady? A friend of\nthe young master, perhaps?[VAR 0114(003C)]
ajito_fairy_010_select_01	“Young master”?
ajito_fairy_010_select_02	Errr... I’m not sure!
ajito_fairy_010_jentle_05	Ah. I see...[VAR 0114(003C)]
ajito_fairy_010_jentle_06	Since you seem unaware, I must inform you that\nthis is the base of Team Star’s Fairy crew—the\r\nRuchbah Squad led by young Master Ortega.[VAR 0114(003C)]
ajito_fairy_010_sitappa_02	Um, Mr. Harrington? I don’t think we’re supposed\nto be giving out that information...[VAR 0114(002F)]
ajito_fairy_010_jentle_07	No? Then please accept my apologies.[VAR 0114(003C)]
ajito_fairy_010_jentle_08	Do you have any idea as to who this young [VAR 1100(00FF,0403)]manlady\nmight be?[VAR 0114(003C)]
ajito_fairy_010_sitappa_03	[VAR 1100(00FF,0201)]HShe’s no friend of ours. Y’know, I think [VAR 1100(00FF,0100)]she might\nbe here to try and take us on![VAR 0114(002F)]
ajito_fairy_010_jentle_09	Understood. In that case...I take it you’re an\nadversary of the young master?[VAR 0114(003C)]
ajito_fairy_010_select_03	Yup, that’s right!
ajito_fairy_010_select_04	I...guess that follows?
ajito_fairy_010_jentle_10	Is that so. Well then, that leaves me with one last\nthing to ask you...[VAR 0114(003C)]
ajito_fairy_010_sitappa_04	Huh?[VAR 0114(002F)]
ajito_fairy_010_jentle_11	Would you be so kind as to indulge me in a\nquick battle?[VAR 0114(003C)]
ajito_fairy_010_jentle_12	Ah, yes, I suppose you must need to prepare.\nI will wait until you have your affairs in order.[VAR 0114(003C)]
ajito_fairy_010_jentle_13	Splendid. Then let us begin.[VAR 0114(003C)]
ajito_fairy_010_jentle_14	An outstanding performance.[VAR 0114(003C)]
ajito_fairy_010_jentle_15	However. Be aware that young Master Ortega’s\nbattle prowess far surpasses my paltry skills.\r\nYou would do well to take care.[VAR 0114(003C)]
ajito_fairy_010_jentle_16	Now, if you’ll excuse me.[VAR 0114(003C)]
ajito_fairy_010_sitappa_05	H-hasta la vistar... ☆[VAR 0114(002F)]
ajito_fairy_010_sitappa_06	That gentlemanly guy used to be the director of\nthe academy...I think? Least, that’s what I heard.\c\nNow he’s, like, tutoring the boss or something.\nHe shows up here sometimes to take the boss\r\nto his lessons...[VAR 0114(002F)]
ajito_fairy_010_sitappa_07	Hang on—why am I explaining this to you?![VAR 0114(002F)]
ajito_fairy_010_sitappa_08	There’s no doubting you’re here to make trouble,\nso I gotta go let everyone know![VAR 0114(002F)]
ajito_fairy_010_sitappa_09	Hasta la vistaaar! ☆[VAR 0114(002F)]
ajito_fairy_020.tbl
ajito_fairy_020_system_01	Ro-to-to-to-to... ♪
ajito_fairy_020_cassiopeia_01	I see the guard has been dealt with. Good job.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_02	That base belongs to Team Star’s Fairy crew—\nthe Ruchbah Squad.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_03	Their boss, Ortega, is the mechanic of the team.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_04	He may be the youngest of the bosses, but his\nbattle skills are no joke. Underestimate him, and\r\nthings’ll go south for you quickly.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_05	He’s also a real “lead from the back” type—he\ngets his grunts to do all the dirty work for him.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_06	But his weak point is his short fuse. Get him good\nand angry, and he’ll march out to the front lines\r\nto deal with you himself.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_07	In terms of tactics...there’s nothing else for it but\nto take down all the lackeys he sends your way.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_08	Just tough it out until Ortega shows up, and go\nfrom there.[VAR 0114(0009)]
ajito_fairy_020_cassiopeia_09	[~ 9]
ajito_fairy_020_cassiopeia_10	Ring the bell on the gates once you’re ready to\nkick off this phase of the operation.\c\nTime to wipe the Ruchbah Squad off the map![VAR 0114(0009)]
ajito_fairy_020_select_01	[~ 11]
ajito_fairy_020_select_02	[~ 12]
ajito_fairy_020_cassiopeia_10_old	[~ 13]
ajito_fairy_020_cassiopeia_11_old	[~ 14]
ajito_fairy_020_kari_01	[~ 15]
