MiscData.pak\TEXT_RequiredEntries.MSBT
GEN_Inventory_Numbers	0123456789
ct_2020_SC050_ENDGame_subtitles	どうやって{r2[うご]}動{/r2}かす…？{[0004]}ああ… {r2[きみ]}君{/r2}のクリスタルが\nテレポーターの{r2[げんどうりょく]}原動力{/r2}なのか{[0004]}つまり {r2[きみ]}君{/r2}にしか\n{r2[はんのう]}反応{/r2}しないってことだ{[0004]}あれがビューロス？{[0004]}じゃあ きっと\nあれがタナマールだ{[0004]}{r2[いと]}愛{/r2}しの{r2[わ]}我{/r2}が{r2[せかい]}世界{/r2}！{[0004]}{r2[たし]}確{/r2}かか？{[0004]}これから{r2[わ]}分{/r2}かるよ{[0004]}やったな{[0004]}{r2[ほんとう]}本当{/r2}に{r2[かえ]}帰{/r2}れるのね{[0004]}サイラックス！？{[0004]}そんな！{[0004]}サムス！{[0004]}テレポーターを{r2[まも]}守{/r2}れ！{[0004]}サムス {r2[だいじょうぶ]}大丈夫{/r2}か？{[0004]}ノラ！{[0004]}{r2[だいじょうぶ]}大丈夫{/r2}か{[0004]}{r2[えんご]}援護{/r2}シマス{[0004]}もう{r2[なが]}長{/r2}くは{r2[も]}持{/r2}たない{[0004]}できるうちに\nテレポートしないと{[0004]}{r2[ぼく]}僕{/r2}がなんとか{r2[あんてい]}安定{/r2}させる{[0004]}シーケンスをやり{r2[なお]}直{/r2}して{[0004]}チャージする{r2[じかん]}時間{/r2}を{r2[かせ]}稼{/r2}ぐ{[0004]}サムス！{[0004]}サムス…{[0004]}{r2[い]}行{/r2}け…{[0004]}マック！{[0004]}ヤメロ{[0004]}サムス！{[0004]}{r2[い]}行{/r2}け！
ct_2020_SC050_ENDGame_Success_subtitles	おい サムス…{[0004]}ソランと{r2[とも]}共{/r2}にあらんことを
ct_2030_SC035_CT2BossPortalOutro_subtitles	{r2[ふたり]}二人{/r2}きりだ サムス{[0004]}{r2[こ]}来{/r2}い！  ケリをつけてやる
ct_3040_sc050_CT2LastLamorn_subtitles	{r2[えら]}選{/r2}ばれし{r2[もの]}者{/r2}よ{[0004]}おそらく これが\n{r2[さいご]}最後{/r2}の{r2[かいわ]}会話{/r2}となるだろう{[0004]}{r2[わたし]}私{/r2}は {r2[なが]}長{/r2}い{r2[あいだ]}間{/r2}\n{r2[ひと]}独{/r2}りで{r2[ま]}待{/r2}っていた{[0004]}そなたを{r2[さが]}探{/r2}しに{r2[い]}行{/r2}った\n12{r2[にん]}人{/r2}のラモーンは…{[0004]}{r2[だれ]}誰{/r2}も {r2[もど]}戻{/r2}ってきていない{[0004]}かれらの{r2[うんめい]}運命{/r2}は\n{r2[わたし]}私{/r2}には{r2[わ]}分{/r2}からない{[0004]}かれらは そなたを\n{r2[み]}見{/r2}つけられただろうか？\nそなたは ここで\nこの{r2[こえ]}声{/r2}を {r2[き]}聞{/r2}いているだろうか？{[0004]}…{r2[おそ]}怖{/r2}れはない\n{r2[くらやみ]}暗闇{/r2}の{r2[なか]}中{/r2}でも {r2[わたし]}私{/r2}は{r2[きぼう]}希望{/r2}を{r2[す]}捨{/r2}てぬ{[0004]}そなたが ビューロスへの{r2[みち]}道{/r2}を\n{r2[み]}見{/r2}つけられると{r2[しん]}信{/r2}じている{[0004]}そして {r2[われ]}我{/r2}らラモーンを\n{r2[すく]}救{/r2}ってくれるとも…
ct_2010_samusReturn	サムスの{r2[あと]}後{/r2}を{r2[お]}追{/r2}いますか？{[0004]}{r2[ほうほう]}方法{/r2}が{r2[わ]}分{/r2}かれば\nそうするんだがな{[0004]}{r2[けいこく]}警告{/r2}――\n{r2[くうかんいじょう]}空間異常{/r2}ヲ {r2[けんち]}検知{/r2}{[0004]}やれやれ…{[0004]}{r2[こんど]}今度{/r2}はなんだ？{[0004]}{r2[く]}来{/r2}るぞ{[0004]}{r2[かくご]}覚悟{/r2}しろ{[0004]}サムス！{[0004]}{r2[もど]}戻{/r2}ってくると{r2[しん]}信{/r2}じてたよ！{[0004]}{r2[いっしゅん]}一瞬{/r2}だって {r2[うたが]}疑{/r2}うもんか{[0004]}{r2[ごうりゅう]}合流{/r2}できて なによりだ{[0004]}サムス…{[0004]}…ということは\nサイラックスは…{[0004]}そうか{[0004]}さあ {r2[かえ]}帰{/r2}る{r2[じゅんび]}準備{/r2}はいい？{[0004]}{r2[い]}行{/r2}こう サムス
SyluxFlashbackFull	{r2[しれいかん]}司令官{/r2}{[0004]}どうした？{[0004]}{r2[ぜんせん]}前線{/r2}の{r2[いじ]}維持{/r2}を{r2[めい]}命{/r2}じたはずだ{[0004]}パイレーツの{r2[しんへいき]}新兵器{/r2}を{r2[かくにん]}確認{/r2}{[0004]}あれを{r2[うば]}奪{/r2}えれば…{[0004]}ダメだ　サムスたちを{r2[はけん]}派遣{/r2}した{[0004]}{r2[かのじょ]}彼女{/r2}らと{r2[ごうりゅう]}合流{/r2}せよ{[0004]}イエス サー{[0004]}{r2[めいれい]}命令{/r2}は？{[0004]}　{[0004]}{r2[へんこう]}変更{/r2}なしだ{[0004]}あの{r2[ぶき]}武器{/r2}を{r2[て]}手{/r2}に{r2[い]}入{/r2}れるぞ
Preload\MPR4\PreloadMP4.pak\Cinematics_FlarePool.MSBT
fp_3010_SC010_JuniorCall_subtitles	…ん？{[0004]}もしもし… {r2[だれ]}誰{/r2}か…{[0004]}アームストロングか？{[0004]}アームストロング\n{r2[き]}聞{/r2}こえるか？{[0004]}{r2[ぐんそう]}軍曹{/r2}！ やっと{r2[つな]}繋{/r2}がった{[0004]}{r2[つうしんしょうがい]}通信障害{/r2}で\n{r2[あきら]}諦{/r2}めかけてましたよ{[0004]}{r2[いま]}今{/r2}はよく{r2[き]}聞{/r2}こえてる{[0004]}また{r2[き]}切{/r2}れなければいいが…{[0004]}{r2[ぶじ]}無事{/r2}なのか？\n{r2[いま]}今{/r2}どこにいる？{[0004]}{r2[た]}立{/r2}ち{r2[おうじょう]}往生{/r2}しています\nここがどこか {r2[わ]}分{/r2}かりませんが…{[0004]}ホログラムがあります{[0004]}これは… キャノンのようです{[0004]}その{r2[みなみがわ]}南側{/r2}の{r2[へや]}部屋{/r2}です{[0004]}{r2[あんぜん]}安全{/r2}は{r2[かくほ]}確保{/r2}できてるか？{[0004]}{r2[だいじょうぶ]}大丈夫{/r2}だと{r2[おも]}思{/r2}います{[0004]}…{r2[いま]}今{/r2}のところは{[0004]}よし そこにいろ\n{r2[かなら]}必{/r2}ず{r2[み]}見{/r2}つけ{r2[だ]}出{/r2}す{[0004]}はい {r2[つうしん]}通信{/r2}を{r2[お]}終{/r2}わります{[0004]}あまり{r2[よ]}良{/r2}い{r2[じょうきょう]}状況{/r2}ではなさそうだ{[0004]}{r2[はや]}早{/r2}く アームストロングを\n{r2[み]}見{/r2}つけなければ
fp_3040_SC010_meetSenior_subtitles	{r2[だれ]}誰{/r2}だ！？{[0004]}あんた… サムスか？{[0004]}{r2[きち]}基地{/r2}には {r2[ゆうせんど]}優先度{/r2}の{r2[たか]}高{/r2}い{r2[にんむ]}任務{/r2}が\n{r2[やま]}山{/r2}ほどある{[0004]}その{r2[れんぽうぐん]}連邦軍{/r2}が {r2[きゅうしゅつ]}救出{/r2}のために\n{r2[さいきょう]}最強{/r2}のハンターを よこすとは{r2[おも]}思{/r2}えない{[0004]}あんたも{r2[と]}取{/r2}り{r2[のこ]}残{/r2}されたのか…{[0004]}ここから{r2[で]}出{/r2}る{r2[ほうほう]}方法{/r2}を{r2[さが]}探{/r2}している{[0004]}しかし{r2[もんだい]}問題{/r2}が…  ボイラーから\nとんでもない{r2[こうねつ]}高熱{/r2}が{r2[ほうしゅつ]}放出{/r2}されている{[0004]}このコンソールに\n{r2[せつぞく]}接続{/r2}されてるようだが…{[0004]}{r2[わけ]}訳{/r2}のわからん\n{r2[あんごうか]}暗号化{/r2}をされている{[0004]}だが あんたなら…{[0004]}ボイラーを{r2[と]}止{/r2}められるよな？{[0004]}やってもらえると{r2[たす]}助{/r2}かる
fp_3040_sc030_doorOpen_subtitles	{r2[たす]}助{/r2}かった
fp_3130_SC010_CruiserOutro_subtitles	クルーザーが{r2[お]}落{/r2}ちました{[0004]}{r2[とびら]}扉{/r2}がメチャクチャです\n{r2[なか]}中{/r2}へ{r2[はい]}入{/r2}るには…{[0004]}あそこだ{[0004]}{r2[おれ]}俺{/r2}たちが{r2[い]}行{/r2}けるのは\nここまでだ{[0004]}あとは サムスに{r2[たく]}託{/r2}そう{[0004]}この{r2[しせつ]}施設{/r2}は{r2[ほうかい]}崩壊{/r2}するぞ{[0004]}だが コントロールルームで\nシステムを{r2[あんてい]}安定{/r2}させれば…{[0004]}{r2[すこ]}少{/r2}しは{r2[じかん]}時間{/r2}を{r2[かせ]}稼{/r2}げる{[0004]}あんたは\n{r2[なに]}何{/r2}をすべきか{r2[わ]}分{/r2}かるな？{[0004]}キーを{r2[と]}取{/r2}りに{r2[い]}行{/r2}くんだ{[0004]}ちゃちゃっとやれよ{[0004]}サムス！{[0004]}{r2[かなら]}必{/r2}ず{r2[きたい]}期待{/r2}に{r2[こた]}応{/r2}えるわ
fp_3140_SC010_JuniorsLocation_subtitles	アームストロングは\nキャノンの{r2[みなみがわ]}南側{/r2}にいる{[0004]}おそらく この{r2[へや]}部屋{/r2}だ{[0004]}あんたは どこへ？{[0004]}キャノンの{r2[した]}下{/r2}か{[0004]}そこに{r2[い]}行{/r2}くには{[0004]}アクセスゲートを{r2[あ]}開{/r2}けないと{[0004]}それなら…{[0004]}{r2[しせつ]}施設{/r2}を メンテナンスモードに\n{r2[き]}切{/r2}り{r2[か]}替{/r2}えればいいだろう{[0004]}ここからやれるか？{[0004]}ダメか{[0004]}{r2[しゅどう]}手動{/r2}でやるしかないな{[0004]}ここに{r2[い]}行{/r2}って\nクランプを{r2[かいじょ]}解除{/r2}しよう{[0004]}{r2[りょうほう]}両方{/r2}のクランプを{r2[はず]}外{/r2}せば{[0004]}{r2[しせつ]}施設{/r2}は\nメンテナンスモードになり…{[0004]}アクセスゲートが{r2[ひら]}開{/r2}くはずだ{[0004]}そのための{r2[そうち]}装置{/r2}は\nアームストロングのいる{r2[へや]}部屋{/r2}か{[0004]}{r2[いっせきにちょう]}一石二鳥{/r2}だ\nあとは どうやって{r2[い]}行{/r2}くかだな{[0004]}トラムか{[0004]}いいぞ{[0004]}こいつで{r2[い]}行{/r2}こう{[0004]}アームストロング\nルートが{r2[わ]}分{/r2}かった  {r2[いま]}今{/r2}から{r2[む]}向{/r2}かう{[0004]}{r2[りょうかい]}了解{/r2}です {r2[ぐんそう]}軍曹{/r2}\nお{r2[ま]}待{/r2}ちしています
fp_3140_SC015_TakeoffFailure_subtitles	サムス {r2[こま]}困{/r2}ったわ！\n{r2[だっしゅつ]}脱出{/r2}ポッドが{r2[さどう]}作動{/r2}しないの{[0004]}どこかが{r2[はそん]}破損{/r2}したんだろう{[0004]}{r2[しゅどう]}手動{/r2}でシステム{r2[かいじょ]}解除{/r2}するしかない{[0004]}…{r2[わ]}分{/r2}かった{[0004]}{r2[いち]}位置{/r2}につけ {r2[いっとうへい]}一等兵{/r2}{[0004]}{r2[りょうかい]}了解{/r2}です
fp_3140_SC020_SamusEscapes_subtitles	サムス？{[0004]}だめよ サムス！{[0004]}{r2[かのじょ]}彼女{/r2}を{r2[お]}置{/r2}いていけません！{[0004]}{r2[だいじょうぶ]}大丈夫{/r2}だ {r2[かのじょ]}彼女{/r2}を{r2[しん]}信{/r2}じろ
fp_3150_SC010_ActivateCannon_subtitles	この{r2[おと]}音{/r2}は{r2[なん]}何{/r2}だ？{[0004]}{r2[なに]}何{/r2}が{r2[お]}起{/r2}きてる？{[0004]}なにかの{r2[かがくぶっしつ]}化学物質{/r2}か？{[0004]}{r2[たいきちゅう]}大気中{/r2}に{r2[ほうしゅつ]}放出{/r2}されている{[0004]}{r2[はや]}早{/r2}くアームストロングを\n{r2[み]}見{/r2}つけなければ
fp_3150_SC030_CruiserIntro_subtitles	もうすぐです{[0004]}そうか  しかし…{[0004]}なんだ？{[0004]}{r2[こうげき]}攻撃{/r2}されてます！{[0004]}{r2[てき]}敵{/r2}が{r2[き]}来{/r2}た {r2[き]}気{/r2}をつけろ{[0004]}あと{r2[すうはつ]}数発{/r2}{r2[あ]}当{/r2}たれば\nやられるぞ{[0004]}つかまって！\n{r2[かそく]}加速{/r2}します！{[0004]}{r2[つ]}突{/r2}っ{r2[こ]}込{/r2}むわよ！{[0004]}{r2[しょうげき]}衝撃{/r2}に{r2[そな]}備{/r2}えて！
fp_3160_SC010_FindJunior_subtitles	{r2[ぐんそう]}軍曹{/r2}！{[0004]}アームストロング\n{r2[ぶじ]}無事{/r2}だったか？{[0004]}{r2[だいじょうぶ]}大丈夫{/r2}です  {r2[ぐんそう]}軍曹{/r2}は？{[0004]}ああ{[0004]}{r2[ま]}待{/r2}ってるあいだ\nホログラムを{r2[しら]}調{/r2}べて…{[0004]}なんてこと…{[0004]}サムス！？\n{r2[ほんとう]}本当{/r2}にあなたなの？{[0004]}うれしくて {r2[ことば]}言葉{/r2}が…\nそれって…{[0004]}{r2[あたら]}新{/r2}しいスーツですか？{[0004]}えっと…{[0004]}{r2[すてき]}素敵{/r2}です！\nいいわ  すごくいい{[0004]}おい {r2[いっとうへい]}一等兵{/r2}{[0004]}はい {r2[ぐんそう]}軍曹{/r2}{[0004]}…{r2[しつれい]}失礼{/r2}しました{[0004]}ノラ・アームストロング {r2[いっとうへい]}一等兵{/r2}{[0004]}お{r2[あ]}会{/r2}いできて{r2[こうえい]}光栄{/r2}です サムス{[0004]}よし{[0004]}ところで\nクランプを{r2[うご]}動{/r2}かしたいんだが{[0004]}いい{r2[ほうほう]}方法{/r2}はないか？{[0004]}{r2[もじ]}文字{/r2}は{r2[かいどく]}解読{/r2}できませんが\nおそらく…{[0004]}ここにある{r2[そうち]}装置{/r2}は\n{r2[でんじ]}電磁{/r2}コンジットだと{r2[おも]}思{/r2}われます{[0004]}これを{r2[かいてん]}回転{/r2}させて\n{r2[でんか]}電荷{/r2}を{r2[た]}溜{/r2}めれば…{[0004]}{r2[せつぞく]}接続{/r2}されたクランプを\n{r2[うご]}動{/r2}かせるはずです{[0004]}でかしたぞ アームストロング{[0004]}ありがとうございます{[0004]}あなたの{r2[でばん]}出番{/r2}ですね サムス{[0004]}{r2[わたし]}私{/r2}にも できることがあれば…{[0004]}サムスにまかせろ{[0004]}わかりました{[0004]}お{r2[まえ]}前{/r2}は {r2[おれ]}俺{/r2}と{r2[こ]}来{/r2}い{[0004]}パトロールだ{[0004]}{r2[りょうかい]}了解{/r2}です{[0004]}{r2[おれ]}俺{/r2}たちは この{r2[へや]}部屋{/r2}を{r2[しら]}調{/r2}べる{[0004]}クランプが{r2[はず]}外{/r2}れたら\n{r2[なに]}何{/r2}が{r2[お]}起{/r2}こるか{r2[わ]}分{/r2}からんしな
fp_3170_SC030_OpenElevator_subtitles	お{r2[まえ]}前{/r2}の{r2[でばん]}出番{/r2}だ{[0004]}やった！\nおまかせください{[0004]}せーの…{[0004]}はい！
fp_3150_SC020_TramConvo	ねえ… サムス{[0004]}そもそも\nどうしてこの{r2[しせつ]}施設{/r2}に？{[0004]}{r2[ちょう]}超{/r2} {r2[ごくひにんむ]}極秘任務{/r2}とか？{[0004]}わぁ…{[0004]}これは{r2[なに]}何{/r2}？\nなにかのキーみたい{[0004]}これが{r2[いえ]}家{/r2}に{r2[かえ]}帰{/r2}る{r2[ほうほう]}方法{/r2}なの？{[0004]}{r2[わたし]}私{/r2}たちも {r2[さが]}探{/r2}すのを{r2[てつだ]}手伝{/r2}うよ{[0004]}…{r2[わたし]}私{/r2}たち？{[0004]}{r2[いっとうへい]}一等兵{/r2}{[0004]}はい {r2[ぐんそう]}軍曹{/r2}{[0004]}まあ…{[0004]}それが この{r2[ほし]}星{/r2}から{r2[かえ]}帰{/r2}る\n{r2[ゆいいつ]}唯一{/r2}の{r2[ほうほう]}方法{/r2}なら…{[0004]}{r2[おれ]}俺{/r2}も{r2[て]}手{/r2}を{r2[か]}貸{/r2}そう{[0004]}{r2[き]}気{/r2}を{r2[ぬ]}抜{/r2}くなよ お{r2[じょう]}嬢{/r2}ちゃん{[0004]}これから{r2[なに]}何{/r2}が{r2[お]}起{/r2}こるか{r2[わ]}分{/r2}からん{[0004]}{r2[りょうかい]}了解{/r2}です {r2[ぐんそう]}軍曹{/r2}
fp_3065_SC020_BarrierLowered	でかしたぞ サムス{[0004]}よくやった{[0004]}よし アームストロングを\n{r2[み]}見{/r2}つけに{r2[い]}行{/r2}くぞ
fp_3070_SC020_EnterHangar	これはなんだ？{[0004]}{r2[みどり]}緑{/r2}の{r2[えきたい]}液体{/r2}を\nコンテナに{r2[なが]}流{/r2}し{r2[こ]}込{/r2}んでる{[0004]}あのドロドロは\nここに{r2[き]}来{/r2}てたのか{[0004]}{r2[うえ]}上{/r2}に{r2[い]}行{/r2}ってみよう
fp_3070_SC010_SecondFlashback	サムス どうした？{[0004]}あいつらが{r2[お]}起{/r2}きた{[0004]}よし {r2[たお]}倒{/r2}すぞ
Preload\MPR4\PreloadMP4.pak\Cinematics_FuryGreen.MSBT
fg_3030_SC010_lastLamornMemoryFruit_subtitles	{r2[えら]}選{/r2}ばれし{r2[もの]}者{/r2}よ{[0004]}{r2[われわれ]}我々{/r2}の{r2[しんでん]}神殿{/r2}へ ようこそ{[0004]}ここは「{r2[きおく]}記憶{/r2}の{r2[しんでん]}神殿{/r2}」{[0004]}{r2[こらい]}古来{/r2}より…{[0004]}ラモーンの{r2[しさい]}司祭{/r2}は ここで{r2[いの]}祈{/r2}りを{r2[ささ]}捧{/r2}げ\n{r2[せい]}聖{/r2}なる{r2[き]}樹{/r2}に {r2[われ]}我{/r2}らの{r2[れきし]}歴史{/r2}を{r2[しる]}記{/r2}してきた{[0004]}{r2[み]}見{/r2}よ…{[0004]}{r2[われ]}我{/r2}らの{r2[いさん]}遺産{/r2}は {r2[き]}樹{/r2}の{r2[なか]}中{/r2}にある{[0004]}この{r2[き]}樹{/r2}から{r2[う]}生{/r2}まれるのが\n「メモリーフルーツ」{[0004]}{r2[き]}樹{/r2}に{r2[た]}溜{/r2}めた{r2[われ]}我{/r2}らの{r2[いさん]}遺産{/r2}は\nメモリーフルーツへと {r2[ひ]}引{/r2}き{r2[つ]}継{/r2}がれる{[0004]}メモリーフルーツを\n{r2[けつじつ]}結実{/r2}させるには…{[0004]}グリーン・クリスタルを\n{r2[あつ]}集{/r2}めねばならない{[0004]}これらを {r2[わくせいじゅう]}惑星中{/r2}から{r2[さが]}探{/r2}し…{[0004]}「{r2[きおく]}記憶{/r2}の{r2[さいだん]}祭壇{/r2}」に {r2[おさ]}納{/r2}めるのだ{[0004]}{r2[えら]}選{/r2}ばれし{r2[もの]}者{/r2}よ\n{r2[われ]}我{/r2}らは そなたを{r2[しん]}信{/r2}じている{[0004]}どうか メモリーフルーツを\n{r2[あら]}新{/r2}たな{r2[せかい]}世界{/r2}へ{r2[はこ]}運{/r2}んで{r2[ほ]}欲{/r2}しい
fg_3040_SC030_engineerStays	まいったな\nこいつは {r2[にんげん]}人間{/r2}には{r2[むずか]}難{/r2}しい…{[0004]}うわっ！{[0004]}いつの{r2[ま]}間{/r2}に {r2[うし]}後{/r2}ろに？{[0004]}おかえり{[0004]}さっき{r2[わた]}渡{/r2}してくれたデータが\n{r2[やく]}役{/r2}に{r2[た]}立{/r2}ったよ{[0004]}おかげで\nラモーンの{r2[げんご]}言語{/r2}を{r2[ほんやく]}翻訳{/r2}できた{[0004]}この{r2[わくせい]}惑星{/r2} ビューロスは\nどの{r2[せいず]}星図{/r2}にも{r2[の]}載{/r2}っていない{[0004]}{r2[ゆうれい]}幽霊{/r2}みたいな{r2[ほし]}星{/r2}だ{[0004]}{r2[きゅうなんしんごう]}救難信号{/r2}を{r2[おく]}送{/r2}ろうにも\nこのセクターには {r2[だれ]}誰{/r2}もいない{[0004]}{r2[ぶきみ]}不気味{/r2}なほど{r2[しず]}静{/r2}かだ\n{r2[ぼく]}僕{/r2}たちが どこにいるのか…{[0004]}いや…\nどこにもいない ともいえる{[0004]}とにかく {r2[ぼく]}僕{/r2}らがここにいるのは\n{r2[じつ]}実{/r2}に{r2[きみょう]}奇妙{/r2}なことだ{[0004]}{r2[しら]}調{/r2}べたところ…{[0004]}この{r2[ほし]}星{/r2}から{r2[で]}出{/r2}るには\n５つのテレポーターキーが{r2[ひつよう]}必要{/r2}だ{[0004]}もう{r2[すこ]}少{/r2}し{r2[しら]}調{/r2}べて\nいろいろ{r2[さぐ]}探{/r2}ってみるよ{[0004]}{r2[むせん]}無線{/r2}も{r2[なお]}直{/r2}って\nデータを{r2[きょうゆう]}共有{/r2}できるようになった{[0004]}ここからも{r2[じょうほう]}情報{/r2}を{r2[おく]}送{/r2}るよ{[0004]}そう…{[0004]}{r2[ぼく]}僕{/r2}らは チームメイトだ{[0004]}よし！{[0004]}それじゃ {r2[き]}気{/r2}をつけて{[0004]}ここにいるから\nいつでも {r2[こえ]}声{/r2}をかけてくれ
fg_1140_SC010_discoverEngineer_subtitles	ああ…{[0004]}あーあーあー{[0004]}なんてこった{[0004]}ひとり どっかの{r2[ほし]}星{/r2}に{r2[と]}飛{/r2}ばされて\n{r2[たす]}助{/r2}かる{r2[みこ]}見込{/r2}みもゼロ{[0004]}でも… これで\nフィルの{r2[となり]}隣{/r2}に{r2[すわ]}座{/r2}らなくて{r2[す]}済{/r2}む{[0004]}それは…{[0004]}よかったかも？{[0004]}うん そうだな{[0004]}…ん？{[0004]}{r2[こんど]}今度{/r2}はなんだ？{[0004]}…サムス？{[0004]}サムス・アラン！{[0004]}おーい！{[0004]}おーい サムス！{[0004]}ここから{r2[お]}下{/r2}りられないんだ{[0004]}なんとかしてくれ{[0004]}それまで {r2[ぼく]}僕{/r2}は…{[0004]}ここで じっとして…{[0004]}なんとか {r2[い]}生{/r2}き{r2[の]}延{/r2}びておくよ
fg_2000_SC010_bridgeEncounter_subttiles	こんな{r2[けしき]}景色{/r2} {r2[はじ]}初{/r2}めて{r2[み]}見{/r2}た{[0004]}なんて{r2[うつく]}美{/r2}しいんだ{[0004]}うわーっ！{[0004]}{r2[じゃま]}邪魔{/r2}にならないようにしとく{[0004]}{r2[かたづ]}片付{/r2}いたら{r2[おし]}教{/r2}えて
fg_3020_SC010_mechIntro_subtitles	ウソだろ…{[0004]}MK-99 メック？{[0004]}このフレーム… {r2[まちが]}間違{/r2}いない{[0004]}こちらは サムス・アラン\n{r2[ゆうめい]}有名{/r2}なバウンティハンターだ{[0004]}もちろん{r2[し]}知{/r2}ってるよな{[0004]}ん… なんか{r2[みおぼ]}見覚{/r2}えが…{[0004]}ベッツィー！？{[0004]}こんなところで どうした？{[0004]}{r2[きち]}基地{/r2}で{r2[ぼく]}僕{/r2}が{r2[しゅうり]}修理{/r2}した{r2[こ]}子{/r2}だ{[0004]}スキャンしておこう\n{r2[あと]}後{/r2}で{r2[と]}取{/r2}りに{r2[こ]}来{/r2}れるかな？
fg_1140_SC020_grieverReveal_subtitles	{r2[いま]}今{/r2}のは！？{[0004]}うん…\nフレンドリーな{r2[こえ]}声{/r2}じゃないな{[0004]}うおっ！\nお… {r2[お]}落{/r2}ち{r2[つ]}着{/r2}け…{[0004]}あっ！{[0004]}マズい マズい！
