MiscData.pak\TEXT_RequiredEntries.MSBT
GEN_Inventory_Numbers	0123456789
ct_2010_samusReturn	要跟上薩姆斯嗎？{[0004]}要是有辦法跟上的話　\n我早就去追啦{[0004]}警告——\n偵測到空間異常{[0004]}哎呀呀……{[0004]}又怎麼了？{[0004]}要來了{[0004]}做好心理準備{[0004]}薩姆斯！{[0004]}我就知道你一定會回來！{[0004]}我從來就沒懷疑過{[0004]}能順利會合真是太好了{[0004]}薩姆斯……{[0004]}……也就是說　\n賽拉克斯已經……{[0004]}這樣啊{[0004]}好了　準備好要回去了嗎？{[0004]}我們走吧　薩姆斯
SyluxFlashbackFull	司令官{[0004]}你在搞什麼？{[0004]}我不是命令你守住前線嗎？{[0004]}我已經確認海盜擁有新武器{[0004]}只要能把他搶過來……{[0004]}不行　我已經派薩姆斯等人過去了{[0004]}你去和他們會合{[0004]}是的　長官{[0004]}命令呢？{[0004]}　{[0004]}維持原定計畫{[0004]}我們要把那個武器拿到手
Preload\MPR4\PreloadMP4.pak\Cinematics_FlarePool.MSBT
fp_3010_SC010_JuniorCall_subtitles	……嗯？{[0004]}喂……有人嗎……{[0004]}你是阿姆斯壯嗎？{[0004]}阿姆斯壯\n聽得到嗎？{[0004]}中士！總算接通了{[0004]}通訊被干擾\n我本來差點就要放棄了{[0004]}目前聽得很清楚{[0004]}希望不會再斷線……{[0004]}你沒事吧？\n你現在在哪裡？{[0004]}我現在無路可走\n不知道這是什麼地方……{[0004]}但是有全像投影{[0004]}這個……好像是加農炮{[0004]}我在加農炮南側的房間裡{[0004]}你現在安全嗎？{[0004]}我想應該沒問題{[0004]}……至少目前是如此{[0004]}好　那你待在原地\n我一定會找到你{[0004]}是　那我先結束通訊了{[0004]}情況似乎不太妙{[0004]}我們要趕快找到\n阿姆斯壯才行
fp_3040_SC010_meetSenior_subtitles	是誰！？{[0004]}你是……薩姆斯嗎？{[0004]}基地有非常多\n需要優先處理的任務{[0004]}我可不認為聯邦軍捨得派出\n他們最強的獵人來執行救援\n你也是被留下來的人啊……{[0004]}我正在想辦法離開這裡{[0004]}但問題是……鍋爐釋放的\n熱氣實在燙得驚人{[0004]}鍋爐看來和\n這座控制台相連……{[0004]}但卻被加密了\n我無法解讀{[0004]}不過　如果是你的話……{[0004]}應該能讓鍋爐停止運作吧？{[0004]}希望你可以幫忙處理
fp_3040_sc030_doorOpen_subtitles	得救了
fp_3130_SC010_CruiserOutro_subtitles	巡空艦墜落了{[0004]}門已面目全非\n要進去裡面的話……{[0004]}可以走那裡{[0004]}我們最多\n就只能到這裡了{[0004]}剩下的就交給薩姆斯吧{[0004]}這座設施要崩塌了{[0004]}但只要讓控制室的\n系統穩定下來……{[0004]}就能幫你爭取一點時間{[0004]}你知道\n自己該怎麼做吧？{[0004]}去把鑰匙拿到手{[0004]}動作要快喔{[0004]}薩姆斯！{[0004]}我們一定不會讓你失望的
fp_3140_SC010_JuniorsLocation_subtitles	阿姆斯壯\n就在加農炮的南側{[0004]}可能是這個房間{[0004]}你要去哪裡？{[0004]}去加農炮下方啊{[0004]}要去那裡的話{[0004]}就得先打開通道門{[0004]}既然如此……{[0004]}只要把設施切換成\n維修模式就行了吧{[0004]}能從這裡切換嗎？{[0004]}不行啊{[0004]}看來只能手動切換了{[0004]}我們去這邊\n解開夾具吧{[0004]}只要解開兩邊的夾具{[0004]}設施進入\n維修模式……{[0004]}通道門應該就會打開了{[0004]}而且這個裝置\n就在阿姆斯壯所在的房間{[0004]}真是一石二鳥\n剩下的問題就是要怎麼過去了{[0004]}搭輕軌列車嗎？{[0004]}好主意{[0004]}就搭那個過去吧{[0004]}阿姆斯壯\n我們找到路了　現在就過去找你{[0004]}明白了　中士\n我在這裡等你們
fp_3140_SC015_TakeoffFailure_subtitles	薩姆斯　我們有麻煩了！\n逃生艙無法運作{[0004]}應該是有哪裡破損{[0004]}只能手動解鎖系統了……{[0004]}知道了{[0004]}一等兵　就位{[0004]}收到
fp_3140_SC020_SamusEscapes_subtitles	薩姆斯？{[0004]}薩姆斯　不行！{[0004]}不能丟下他！{[0004]}沒問題的　相信他吧
fp_3150_SC010_ActivateCannon_subtitles	這是什麼聲音？{[0004]}發生什麼事了？{[0004]}這是某種化學物質嗎？{[0004]}被排放到大氣裡了{[0004]}我們要趕快找到\n阿姆斯壯才行
fp_3150_SC030_CruiserIntro_subtitles	就快了{[0004]}這樣啊　但是……{[0004]}怎麼了？{[0004]}我們被攻擊了！{[0004]}敵人來襲　小心{[0004]}只要再中幾槍　\n我們就完蛋了{[0004]}抓好！\n我要加速了！{[0004]}要撞上去了！{[0004]}準備迎接衝擊！
fp_3160_SC010_FindJunior_subtitles	中士！{[0004]}阿姆斯壯\n你沒事吧？{[0004]}我沒事　您呢？{[0004]}沒事{[0004]}我在等待期間\n研究了一下這個全像投影……{[0004]}天啊！{[0004]}薩姆斯……！？\n真的是你嗎？{[0004]}我高興到說不出話了……\n那是……{[0004]}你的新套裝？{[0004]}呃……{[0004]}很好看\n很棒　非常好{[0004]}喂　一等兵{[0004]}是的　中士{[0004]}……抱歉　失禮了{[0004]}諾拉‧阿姆斯壯　一等兵{[0004]}薩姆斯　很榮幸認識你{[0004]}很好{[0004]}話說　\n我們想移動夾具{[0004]}你有什麼好辦法嗎？{[0004]}我無法解讀文字\n不過……{[0004]}這裡的裝置\n應該是電磁導管{[0004]}只要轉動他\n積蓄電荷後……{[0004]}就能移動\n相連的夾具{[0004]}阿姆斯壯　幹得好{[0004]}謝謝中士{[0004]}薩姆斯　輪到你出馬了{[0004]}如果有什麼我能幫上忙的……{[0004]}就交給薩姆斯吧{[0004]}是　我明白了{[0004]}你和我來{[0004]}我們去巡邏吧{[0004]}是{[0004]}我們會調查這個房間{[0004]}畢竟沒人知道\n夾具鬆脫了會發生什麼事
fp_3170_SC030_OpenElevator_subtitles	輪到你表現了{[0004]}好耶！\n請放心交給我{[0004]}三　二　一……{[0004]}來！
fp_3150_SC020_TramConvo	薩姆斯……我問你　{[0004]}說到底\n你為什麼會來這座設施？{[0004]}有超機密任務在身嗎？{[0004]}哇……{[0004]}這是什麼？\n看起來像某種鑰匙{[0004]}這就是能讓我們回家的東西嗎？{[0004]}我們也來幫忙找吧{[0004]}……我們？{[0004]}一等兵{[0004]}是的　中士{[0004]}嗯……{[0004]}如果那是唯一\n能離開這座星球的方法……{[0004]}那我也來出一份力吧{[0004]}小姑娘　別鬆懈喔{[0004]}沒人知道接下來會發生什麼事{[0004]}明白了　中士
fp_3065_SC020_BarrierLowered	薩姆斯　幹得好{[0004]}你成功了{[0004]}好　我們去找\n阿姆斯壯吧
fp_3070_SC020_EnterHangar	這是什麼？{[0004]}綠色液體正不斷\n灌進貨櫃裡{[0004]}之前那些黏糊糊的東西\n都到這裡來了嗎？{[0004]}我們去上面看看吧
fp_3070_SC010_SecondFlashback	薩姆斯　怎麼了？{[0004]}那些傢伙起來了{[0004]}好 打倒他們吧
Preload\MPR4\PreloadMP4.pak\Cinematics_FuryGreen.MSBT
fg_3030_SC010_lastLamornMemoryFruit_subtitles	被選中之人啊{[0004]}歡迎來到吾等的神殿{[0004]}這裡是「記憶神殿」{[0004]}自古以來……{[0004]}拉蒙祭司在此獻上祈禱\n將吾等歷史銘刻於聖樹之上{[0004]}看啊……{[0004]}吾等的遺產就在樹中{[0004]}此樹所結之果\n喚作「記憶果實」{[0004]}而積儲於樹中的遺產\n皆傳承至記憶果實之內{[0004]}欲使記憶果實\n結果……{[0004]}便需收集\n綠能量水晶{[0004]}請找出四散於行星各地的這些水晶……{[0004]}並納獻至記憶祭壇{[0004]}被選中之人啊……\n吾等相信你{[0004]}請將記憶果實\n送往新的世界吧
fg_3040_SC030_engineerStays	真傷腦筋\n這東西對人類來說太難了……{[0004]}哇！{[0004]}你什麼時候站在我後面的？{[0004]}歡迎回來{[0004]}你剛才給我的資料\n很有用喔{[0004]}多虧那些資料\n我成功翻譯了拉蒙的語言{[0004]}行星布洛斯這個地方\n沒被記錄在任何一張星圖上{[0004]}這顆星球就像幽靈一樣{[0004]}就算想送出求救訊號\n這個區段也沒有半個人{[0004]}這裡安靜到令人毛骨悚然\n我們到底在哪裡……？{[0004]}不對　甚至可以說……\n我們「不在」任何地方{[0004]}總之　我們身在這裡\n就是一件很不尋常的事{[0004]}根據我調查的結果……{[0004]}要離開這座星球\n需要5把傳送站鑰匙{[0004]}我會再研究一下\n試著多查出一些資訊{[0004]}無線電已經修好\n我們能分享資料了{[0004]}接下來我也會把資訊傳給你{[0004]}沒錯……{[0004]}我們是隊友{[0004]}好！{[0004]}那你路上小心{[0004]}我會待在這裡\n有什麼需要隨時說一聲
fg_1140_SC010_discoverEngineer_subtitles	啊……{[0004]}啊——啊——啊——{[0004]}怎麼會這樣{[0004]}一個人被丟到不知名的星球上\n還毫無獲救的機會{[0004]}不過……這樣一來\n我就不用坐在菲爾旁邊了{[0004]}這或許……{[0004]}是一件好事？{[0004]}嗯　沒錯{[0004]}……嗯？{[0004]}又怎麼了？{[0004]}……薩姆斯？{[0004]}薩姆斯‧亞蘭！{[0004]}喂——！{[0004]}喂——薩姆斯！{[0004]}我沒辦法從這裡下去{[0004]}你能幫幫我嗎？{[0004]}在你找出辦法前　我……{[0004]}我會乖乖待在這裡……{[0004]}盡可能保住自己的小命
fg_2000_SC010_bridgeEncounter_subttiles	我第一次看到這樣的景色{[0004]}真是太美了{[0004]}哇——！{[0004]}我會盡量不妨礙到你的{[0004]}你解決完了再跟我說一聲
fg_3020_SC010_mechIntro_subtitles	不會吧……{[0004]}是MK-99機甲？{[0004]}這骨架……絕對錯不了{[0004]}這位是薩姆斯‧亞蘭\n大名鼎鼎的賞金獵人{[0004]}肯定聽說過吧？{[0004]}嗯……感覺有點眼熟……{[0004]}貝齊！？{[0004]}你怎麼會在這裡？{[0004]}他是我在基地修理過的機器人{[0004]}我先掃瞄一下\n可以晚一點再過來接他嗎？
fg_1140_SC020_grieverReveal_subtitles	剛才那是！？{[0004]}嗯……\n這聲音聽起來不太友好啊{[0004]}唔喔！\n冷……冷靜點……{[0004]}啊！{[0004]}完蛋了完蛋了！
FG_3040_SC010_discoverBasecamp_subtitles	喂喂喂……\n你能操作這個？{[0004]}而且還看得懂{[0004]}也就是說　你內建翻譯資料囉？{[0004]}這樣就帶來更多可能性了{[0004]}順利的話……{[0004]}說不定就可以\n運用這裡的科技了{[0004]}如果能存取你的記錄……{[0004]}嗯？這個資料晶片嗎？\n會成功嗎？{[0004]}這下越來越有趣了{[0004]}試試看吧{[0004]}把這個……裝在這裡……{[0004]}我看看……{[0004]}這樣應該就可以了{[0004]}好耶！啟動了！{[0004]}雖然……\n那扇門還鎖著{[0004]}另一扇也運作得不太順暢{[0004]}但至少我們已經前進了一步！{[0004]}呃……{[0004]}要再深入解析\n可能得花上一些時間{[0004]}不如我留在這\n你出去偵查一下怎麼樣？{[0004]}好了……\n阿宅可要拿出真本事囉
fg_3040_SC080_MechBuilt_BC_subtitles	很好　薩姆斯{[0004]}機甲部件都找齊了{[0004]}多虧有你\n我可以修理貝齊了{[0004]}這孩子{[0004]}準備好了{[0004]}薩姆斯　你真厲害{[0004]}這樣一來\n就能破壞{[0004]}時光之塔的防護罩了……{[0004]}唔……{[0004]}操作時要小心{[0004]}還沒有完全修好{[0004]}只能保證他可發揮80%的功能{[0004]}80%就很夠用了\n不愧是機械宅{[0004]}你真可靠
fg_3040_SC080_MechBuilt_BC - Has Memory Fruit	薩姆斯\n我們隨時都能去時光之塔{[0004]}你準備好了嗎？{[0004]}離開這裡後　就不能再回頭了\n如果還有什麼事沒做……{[0004]}只能趁現在了
fg_3040_SC080_MechBuilt_BC - MissingFruit	但我們需要有\n記憶果實才能出發{[0004]}你準備好之後\n再回來找我吧
fg_3040_SC080_MechBuilt_BC_Return With Fruit	看來你取得\n記憶果實了{[0004]}我們隨時都能\n前往時光之塔{[0004]}你準備好了嗎？{[0004]}離開這裡後　就不能回頭了\n如果還有事情沒有做……{[0004]}只能趁現在了
fg_3040_SC090_InitiateEndgame_BC_subtitles	都給我聽好了{[0004]}我們要進行長距離移動\n仔細檢查自己的裝備{[0004]}我們不需要\n威力不足的東西{[0004]}我們的任務……{[0004]}是帶薩姆斯\n去主傳送站{[0004]}接下來……{[0004]}我們要橫越烈陽沙漠{[0004]}並破壞時光之塔的防護罩{[0004]}好　動手吧！{[0004]}防護罩未受到損傷\n提高輸出功率{[0004]}不行！{[0004]}我說過最多只能到80%！{[0004]}開始重新計算{[0004]}警告——\n系統嚴重受損{[0004]}中止行動！\n加農炮要爆炸了{[0004]}糟糕……{[0004]}退開！{[0004]}趴下{[0004]}防護罩破壞完畢{[0004]}做得好{[0004]}不會吧……{[0004]}我的小寶貝居然……{[0004]}對不起……真的對不起{[0004]}麥肯齊……{[0004]}貝齊他很努力了{[0004]}是啊……{[0004]}他做得很棒{[0004]}好了　現在該我們出馬了{[0004]}麥肯齊　該走了{[0004]}是的　中士
fg_3040_Basecamp00_TeleporterPatchAcquire_subtitles	我們來看一下吧{[0004]}這是什麼？{[0004]}我研究一下{[0004]}傳送科技？\n真的假的！{[0004]}說起來……{[0004]}之前在聯邦軍基地\n也研究過傳送方面的內容呢{[0004]}我有個好點子{[0004]}就是這樣……然後……{[0004]}再調整一下……{[0004]}好！{[0004]}怎麼樣……{[0004]}把這個……像這樣……{[0004]}好耶！我成功了{[0004]}這是傳送站貼片{[0004]}我已經把目的地設在這裡了{[0004]}你之後找到任何\n機甲部件{[0004]}都能利用這個貼片\n把他傳送到據點{[0004]}不過……\n這不全是我做的{[0004]}我參考了拉蒙開發的\n短距離傳送……{[0004]}然後用我自己的方式改造了一下
fg_3040_Basecamp04_IceShotAcquired_subtitles	好　我來看看{[0004]}原來如此……{[0004]}我戳{[0004]}你好啊　朋友{[0004]}好{[0004]}來分析一下吧{[0004]}喔！這下有趣了{[0004]}他可以逆轉\n釋放出的能量相位啊{[0004]}也就是說……{[0004]}只要我重新編寫程式\n把他裝在手臂加農炮上……{[0004]}就應該又有全新類型的射擊\n可以使用了{[0004]}這麼一來　也能使用冰凍射擊囉{[0004]}他會暫時凍結目標{[0004]}命中生物後能讓其停止動作……{[0004]}也可以拿來射擊像岩漿一類的\n高溫物件{[0004]}以降低表面溫度\n使其短暫凍結{[0004]}如果有再找到什麼\n就拿來給我吧{[0004]}我會幫你改造成\n有用的東西喔
fg_3040_Basecamp05_FireShotAcquired_subtitles	你拿到什麼了？{[0004]}似乎是某種電路\n裡面裝了晶片{[0004]}我來分析看看{[0004]}拉蒙的科技\n真的很有意思{[0004]}這太有趣了{[0004]}原來如此！{[0004]}這東西能把釋放出的能量{[0004]}轉換成熱能\n讓威力增幅{[0004]}只要我稍微加工一下\n再安裝到你的手臂加農炮上……{[0004]}你就有全新類型的射擊\n可以使用囉{[0004]}你看——{[0004]}快試試吧{[0004]}這樣你就可以使用火焰射擊了！{[0004]}射出高溫彈之後……{[0004]}目標不是燃燒\n就是融化{[0004]}有再找到什麼就拿過來吧{[0004]}我已經等不及要做更多實驗了
fg_3040_Basecamp09_ThunderShotAcquired_subtitles	我來瞧瞧{[0004]}果然有晶片{[0004]}越來越有趣了{[0004]}跟我想的一樣{[0004]}只要我稍微加工一下\n應該就能用在全新的射擊上{[0004]}我可能是天才喔{[0004]}這玩意兒可厲害了{[0004]}雷電射擊加裝完畢{[0004]}電擊對機器類的敵人\n很有效\n而且還能給裝置輸送電力{[0004]}喜歡嗎？{[0004]}那就這樣{[0004]}有其他需要我幫忙的\n再跟我說
fg_1140_SC030_EngineerSaved	好了　好了……我沒事{[0004]}好{[0004]}那我要下去囉{[0004]}薩姆斯　謝謝你{[0004]}我是擁有4級工程技能的特殊技能兵\n邁爾斯‧麥肯齊{[0004]}我有東西要給你{[0004]}稍等　這東西……{[0004]}要手動打開才行{[0004]}X7系列\n向來都卡得有點緊{[0004]}好了啦　快開啊！
fg_3040_SniperArrivesInCaseCamp	嗨　薩姆斯{[0004]}我的腿也好了\n就想辦法過來了{[0004]}別動！{[0004]}我知道{[0004]}很快就弄好了……{[0004]}已經1個小時了{[0004]}這樣如何？可以嗎？{[0004]}還是不行{[0004]}什麼？{[0004]}那這樣呢？{[0004]}可以了
fg_3040_SeniorJuniorReuinted	哇啊！{[0004]}薩姆斯！{[0004]}我就知道你一定逃出來了{[0004]}畢竟你可是\n薩姆斯‧亞蘭啊！{[0004]}看來你還活著呢{[0004]}太棒了{[0004]}中士　別這樣……{[0004]}他可是我們的救命恩人喔{[0004]}是啊……我知道{[0004]}幸好你平安脫險了{[0004]}……謝謝{[0004]}好了……我們也稍微喘口氣吧{[0004]}有什麼事再跟我說{[0004]}該走了　小姑娘{[0004]}真的很慶幸你沒事{[0004]}要不是有你在\n我們可能已經凶多吉少了……
Preload\MPR4\PreloadMP4.pak\Cinematics_GalFed.MSBT
GameIntro_01	宇宙曆20X9年——\n\n憎恨薩姆斯與銀河聯邦，企圖打敗他們的賽拉克斯，\n率領自己那支由宇宙海盜組成的軍隊，\n開始接連襲擊聯邦的研究設施。
GameIntro_02	據說這些海盜都受到密特羅德操縱。\n密特羅德具有與目標融合並控制其意識的能力。
GameIntro_03	這天，德索蘭星系的行星塔納瑪爾的設施也遭到突襲。\n聯邦總部在接到設施發出的求援訊號後，\n要求正在附近執行調查任務的薩姆斯火速前往——
gf1020_SC010_TrooperExplains_subtitles	文物有危險{[0004]}趕緊呼叫支援……{[0004]}薩姆斯　你來了啊{[0004]}我想請你去保護文物{[0004]}我把目的地的座標傳給你{[0004]}好了　你掃瞄一下門\n然後繼續前進吧
gf1080_SC010_BossIntro_subtitles	搬上運輸機　快！{[0004]}小心輕放{[0004]}沒時間了{[0004]}我們走！{[0004]}保護好文物！{[0004]}趴下！
Preload\MPR4\PreloadMP4.pak\Cinematics_GreatMine.MSBT
gm_1010_SC010_SecurityLimiters_subtitles	格利佛一隻接一隻出現……{[0004]}他們也是很有能力的士兵{[0004]}會自己想辦法解決的{[0004]}怎麼停下來了？{[0004]}不知道{[0004]}可能是被什麼東西卡住了吧{[0004]}我們趕快出去吧{[0004]}也是\n我們應該沒辦法從這裡下去{[0004]}薩姆斯　麻煩你帶路了
gm_1030_SC010_MapUpdated_subtitles	嗯……{[0004]}除了搭電梯\n沒別的辦法能下去了嗎？{[0004]}哇啊……{[0004]}更新了{[0004]}快看\n是天然的洞窟{[0004]}我們太幸運了{[0004]}這樣就可以去到最深處了{[0004]}只要穿過這裡\n就能抵達傳送站鑰匙的所在地了吧{[0004]}來找找洞窟的入口吧
gm_1050_SC010_PowerDrill_subtitles	薩姆斯　做得好{[0004]}要來把這東西裝上去囉{[0004]}得謹慎一點……{[0004]}沒辦法抬更高了{[0004]}再來要調整方向……{[0004]}鉸鍊卡住了啊{[0004]}薩姆斯　該你出馬了
gm_1050_SC020_HordeGrieverIntro_subtitles	好吧……\n那也是一個辦法{[0004]}那現在{[0004]}就來試著啟動他吧{[0004]}中士……{[0004]}那些傢伙來了！{[0004]}撐到洞打通為止！
gm_1050_SC030_SeniorHTL_subtitles	我們下去吧{[0004]}跳進洞裡！
gm_1050_SC040_IntoTheDeep_subtitles	老伯伯你也快點{[0004]}計畫有變{[0004]}你們繼續前進吧{[0004]}這樣一來　他們就不會追過來了{[0004]}慢著……不行！{[0004]}你們先走吧　小姑娘{[0004]}給我過來！{[0004]}中士……{[0004]}有聽見嗎？{[0004]}中士！{[0004]}走吧{[0004]}我們還有工作要做
gm_2015_SC020_JuniorStepsUp_subtitles	該振作起來了{[0004]}我們沒時間難過{[0004]}不能就這樣算了{[0004]}這也是為了中士……{[0004]}我們一定可以的
gm_2040_SC010_ExcavationBegins_subtitles	薩姆斯　你真的好厲害{[0004]}很好{[0004]}這樣就能破壞那面牆了{[0004]}來吧　加油……{[0004]}好孩子……{[0004]}成功了　這樣就行了{[0004]}我來想辦法處理這個{[0004]}格利佛就交給你了
gm_2040_SC020_breakthrough_subtitles	該走囉！{[0004]}那就是出口吧
gm_2040_SC040_JuniorHTL_subtitles	很好　都解決了{[0004]}薩姆斯　就是現在{[0004]}你先走！我隨後就跟上
gm_2040_SC050_GoodbyeJunior_subtitles	這樣下去會沒完沒了……{[0004]}這裡就交給我吧\n薩姆斯你去找鑰匙{[0004]}很榮幸能與你並肩作戰
gm_2100_SC010_HeavyIntro_subtitles	我也來幫忙
gm_3040_SC010_HeavyDisabled_subtitles	請交給我處理{[0004]}我也能夠\n移除這個{[0004]}但是需要一點時間{[0004]}感應器偵測到敵人
gm_3040_SC020_HeavyFreed_subtitles	很抱歉{[0004]}我無法參與戰鬥
gm_3040_SC030_GrieversAppear_subtitles	有大量敵人正在接近{[0004]}在此交戰對我方不利{[0004]}轉移陣地吧
gm_3050_SC020_HeavyHTL_subtitles	這裡交給我來應付{[0004]}我很高興\n能幫上你的忙
gm_3070_SC020_ReunitedWithTroopers_subtitles	好久不見{[0004]}怎麼了？\n你以為我們死了嗎？{[0004]}區區幾隻格利佛奈何不了我們的{[0004]}來多少隻都不在話下{[0004]}做得很好{[0004]}顯然訓練有成{[0004]}謝謝誇獎{[0004]}VUE？{[0004]}我以為你在上面{[0004]}等等　你的手臂怎麼了？{[0004]}我在支援薩姆斯的過程中\n被格利佛襲擊了{[0004]}在那時受到了損傷{[0004]}很抱歉我沒能起到作用{[0004]}目標達成了嗎？{[0004]}很好{[0004]}那麼事不宜遲{[0004]}趕快出發吧
Preload\MPR4\PreloadMP4.pak\Cinematics_IceBelt.MSBT
IB_1050_SC010_ControlRoomIntro	全部搞定{[0004]}沒想到能在這種地方\n見到傳說中的賞金獵人……{[0004]}薩姆斯{[0004]}我是里格‧托卡畢下士{[0004]}在聯邦軍HERCδ\n擔任狙擊手{[0004]}能夠認識你\n是我的榮幸……{[0004]}但請你告訴我{[0004]}這是什麼地方？{[0004]}我本來正與敵軍交戰\n眼前卻突然一片黑……{[0004]}醒過來時　通訊機已經壞了\n腿也骨折了{[0004]}我有試著\n存取終端機……{[0004]}但唯一能操作的　就只有那把槍{[0004]}你有辦法……\n啟動這台{[0004]}終端機嗎？
IB_1050_SC020_ControlRoomOutro_subtitles	喔……\n你能讓他動起來啊{[0004]}這是設施的地圖吧{[0004]}雖然缺了一部分……{[0004]}你要去這裡嗎？{[0004]}那你搭這台電梯\n下去就行了{[0004]}不過電源目前是離線狀態\n我看看……{[0004]}這裡應該就是發電機室\n只要啟動他就行了{[0004]}好　你拿到地圖了吧{[0004]}我這條腿只會拖累你{[0004]}我就待在這裡守著你{[0004]}祝你好運
IB_1050_SC050_GrieverDefeat_subtitles	薩姆斯　做得好{[0004]}電力恢復了{[0004]}暖氣好像也打開了{[0004]}只不過　我們似乎也喚醒了\n那些奇異的生物{[0004]}電梯現在已經\n可以使用{[0004]}你搭電梯就能去到最下層{[0004]}我會在這裡\n操控門{[0004]}再來就靠你了
IB_1050_SC060_SniperOutro_subtitles	薩姆斯{[0004]}看來你已經拿到\n想要的東西了{[0004]}設施的通訊設備\n接收到了一則{[0004]}來自麥肯齊特殊技能兵的訊息{[0004]}他傳了據點的\n座標過來{[0004]}我也會立刻動身前往{[0004]}好了……{[0004]}我至今完成過\n數不清的任務……{[0004]}在這過程中\n是他一直護佑著我{[0004]}願索蘭的光輝\n也能照耀在你身上{[0004]}那就這樣　你先走吧\n我只要用這裡的治療容器……{[0004]}腿很快就會好起來的
ib_1080_sc010_MeetHeavy_001_subtitles	開始掃瞄{[0004]}幸會　薩姆斯‧亞蘭\n你穿了新套裝呢{[0004]}我是VUE-995\n是聯邦軍哥倫駕駛員{[0004]}請多多指教{[0004]}目前無法接收\n來自基地的訊號{[0004]}我們可能在收訊範圍外
