Common\Reference.msbt
GameName_gm102_T0	Statues
_E1_QuizCount_7_00_V	You have seven questions so far.
_E1_QuizCount_8_00_V	You have eight questions so far.
_E1_QuizCount_9_00_V	You have nine questions so far.
_E1_QuizCreate9th_00_V	You've created nine questions!\r\nJust one more to go and you'll\r\nhave a full set!
_E1_PressPlayButton_00_V	Are you sure you want to start\r\nthe quiz? You don't have a\r\nfull set of questions yet.
_E1_QuizCreateFull_00_V	That's the tenth and final question!\r\nThat's all we have room for, so save\r\nyour extra ideas for next time!
_E1_GamePlayStart_00_V	Let the quiz begin!
AssignCmnPlayers_00_V	Let's meet today's lucky contestants!
AssignBscConFixed_00_V	Check to see which Joy-Con you're using!
AssignCmnPressButton_00_V	Once you've checked, press a button.
AssignPrmEntryGuide_00_V	If you're playing, use your smart device to join!
AssignPrmEntryGuide_01_V	Use your smart device to join!
AssignPrmSupportGuide_00_V	If you're not playing, cheer on the contestants!
GamePlayTutorial_00_V	To start with, try pressing the buttons for true and false answers!
_SM_GamePlayTutorial_00_V	To start with, try pressing the buttons for true and false answers!
GamePlayTutorial_01_V	To start with, try pressing the answer buttons!
_SM_GamePlayTutorial_01_V	To start with, try pressing the answer buttons!
GamePlayGuide_00_V	In this game, you have to answer\r\ntrue or false for every question\r\nas quick as you can!
GamePlayGuide_01_V	Look at the images, then choose the one that's\r\nthe correct answer as quick as you can!
GamePlayGuide_02_V	Listen to the sound, then choose the\r\nmatching image as quick as you can!
GamePlayGuide_03_V	From here on out, aim to answer the\r\nquestions as quick as you can!
GamePlayOneSecond_00_V	There's a score bonus if you answer within a second!
GamePlayTwoSecond_00_V	There's a score bonus if you answer within two seconds!
GamePlayThreeSecond_00_V	There's a score bonus if you answer within three seconds!
GamePlayFourSecond_00_V	There's a score bonus if you answer within four seconds!
GamePlayFiveSecond_00_V	There's a score bonus if you answer within five seconds!
GamePlaySixSecond_00_V	There's a score bonus if you answer within six seconds!
GamePlaySevenSecond_00_V	There's a score bonus if you answer within seven seconds!
GamePlayEightSecond_00_V	There's a score bonus if you answer within eight seconds!
GamePlayNineSecond_00_V	There's a score bonus if you answer within nine seconds!
GamePlayTenSecond_00_V	There's a score bonus if you answer within 10 seconds!
GamePlayBihind_00_V	Looks like we've got a whole crowd\r\nof contestants today, so make sure\r\neveryone can see the screen!
GamePlayCheer_00_V	OK everyone, give it all the gusto you can muster!
_E1_GamePlayCheer_00_V	Don't forget that the person who created the\r\nquestion is still allowed to answer it. Good luck!
_MD_GamePlayTutorialEnd_00_V	Let's get this Combo Quiz started!
GamePlaySecondHalf_00_V	The second half is about to kick off!
GamePlaySecondHalf_01_V	Who will take the victor's crown?\r\nIt's about to go down in the second half!
GamePlayFinalBattle_00_V	This is it--the final question\r\nof the Quiz Party!
_MD_GamePlayCategory_00_V	We'll start with questions\r\nfrom General Knowledge.
_MD_GamePlayCategory_01_V	Let's have a round of questions\r\nfrom Pick The Picture.
_MD_GamePlayCategory_02_V	Next up, put your reaction time\r\nto the test with Brain Teasers.
_MD_GamePlayCategory_03_V	Let's have a round of questions\r\nfrom Guess That Sound.
_MD_GamePlayCategory_04_V	Next up, get ready to be puzzled by\r\nquestions from the Tricky Trivia Challenge.
_MD_GamePlayCategory_05_V	Last but not least, General Knowledge.
_MD_GamePlayScoreBonus_00_V	From now on, there's a score bonus\r\nfor answering within five seconds.
_MD_GamePlayScoreBonus_01_V	From now on, there's a score bonus\r\nfor answering within 10 seconds.
_MD_GamePlayScoreBonus_02_V	Answer within three seconds for a score bonus!
_MD_GamePlayScoreBonus_03_V	Answer within five seconds for a score bonus!
GamePlayPreparationOnly_00_V	Here's the question!
GamePlayPreparation_00_V	Fingers at the ready\r\nfor the first question!
GamePlayPreparation_01_V	Question 2!
GamePlayPreparation_02_V	Question 3!
GamePlayPreparation_03_V	Question 4!
GamePlayPreparation_04_V	Question 5!
GamePlayPreparation_05_V	Question 6!
GamePlayPreparation_06_V	Question 7!
GamePlayPreparation_07_V	Question 8!
GamePlayPreparation_08_V	Question 9!
GamePlayPreparation_09_V	Question 10!
GamePlayLast_00_V	This is it, the final question!
GamePlayBonus_00_V	This question is worth double the points,\r\nso it could still be anyone's game, folks!
GamePlayInterimAnnouncement_00_V	Allll right! Let's see where things stand.
GamePlayInterimAnnouncement_01_V	There's still a chance to turn things around!
GamePlayFinalAnnouncement_00_V	Well done, everyone!\r\nAre you ready for the final results?
_MD_GamePlayFinalRanking_00_V	Here they are! Your fabulous scores!
_MD_GamePlayFinalRanking_01_V	Congratulations!
_MD_GamePlayFinalRanking_02_V	I bet you're wondering what happens when there's\r\na tie for first place.
_MD_GamePlayFinalRanking_03_V	Well, it's like this: the person with\r\nthe highest average rank for all questions wins!
ResultWin_00_V	Give a big hand to\r\nour winning team!
ResultDraw_00_V	Let's have a big hand for both teams!
ResultEnd_00_V	That's all we've got time for\r\ntoday. See you next time!
ResultWinner_00_V	How 'bout a big round of\r\napplause for our contestants?
ResultNoWinner_00_V	Unfortunately we didn't have a winner. Get your\r\nthinking caps on and come back again soon!
ResultNoWinner_01_V	More than one player hit the high score, so there's no clear\r\nwinner this time. Give each other a big hand for doing so well!
QuickQuestion_00_V	\r\n{size[7900]}1+1=\r\n\r\n2{size[6400]}
QuickQuestion_01_V	\r\n{size[7900]}1+1=\r\n\r\n1{size[6400]}
QuickQuestion_02_V	\r\n{size[7900]}1-1=\r\n\r\n0{size[6400]}
QuickQuestion_03_V	\r\n{size[7900]}1-1=\r\n\r\n2{size[6400]}
QuickQuestion_04_V	{size[7900]}\r\n1×1=\r\n\r\n1{size[6400]}
QuickQuestion_05_V	\r\n{size[7900]}1×1=\r\n\r\n2{size[6400]}
QuickQuestion_06_V	{size[7900]}\r\n1÷1=\r\n\r\n1{size[6400]}
QuickQuestion_07_V	{size[7900]}\r\n1÷1=\r\n\r\n0{size[6400]}
QuickQuestion_08_V	\r\n{size[7900]}A triangle has this many corners...\r\n\r\n3{size[6400]}
QuickQuestion_09_V	\r\n{size[7900]}A triangle has this many corners...\r\n\r\n4{size[6400]}
QuickQuestion_10_V	{size[7900]}\r\nA square has this many corners...\r\n\r\n4{size[6400]}
QuickQuestion_11_V	\r\n{size[7900]}A square has this many corners...\r\n\r\n8{size[6400]}
QuickQuestion_12_V	{size[7900]}\r\nThe Sun rises...\r\n\r\nin the east{size[6400]}
QuickQuestion_13_V	{size[7900]}\r\nThe Sun rises...\r\n\r\nin the west{size[6400]}
QuickQuestion_14_V	{size[7900]}\r\nThe Sun sets...\r\n\r\nin the west{size[6400]}
QuickQuestion_15_V	{size[7900]}\r\nThe Sun sets...\r\n\r\nin the east{size[6400]}
QuickQuestion_16_V	{size[7900]}\r\nCompared to a tiger, a cat is...\r\n\r\nsmaller{size[6400]}
QuickQuestion_17_V	{size[7900]}\r\nCompared to a tiger, a cat is...\r\n\r\nlarger{size[6400]}
QuickQuestion_18_V	\r\nCompared to an elephant, a rat is...\r\n\r\nsmaller
QuickQuestion_19_V	\r\nCompared to an elephant, a rat is...\r\n\r\nlarger
QuickQuestion_20_V	\r\nWhich has babies, a bear or a chair?\r\n\r\nA bear
QuickQuestion_21_V	\r\nWhich has babies, a bear or a chair?\r\n\r\nA chair
QuickQuestion_22_V	\r\nWhich can fly, an eagle or a beagle?\r\n\r\nAn eagle
QuickQuestion_23_V	\r\nWhich can fly, an eagle or a beagle?\r\n\r\nA beagle
QuickQuestion_24_V	\r\nWhich is a living being, a rat or a hat?\r\n\r\nA rat
QuickQuestion_25_V	\r\nWhich is a living being, a rat or a hat?\r\n\r\nA hat
QuickQuestion_26_V	\r\n{size[7900]}If you put a penguin in the air...\r\n\r\nit wouldn't fly{size[6400]}
QuickQuestion_27_V	{size[7900]}\r\nIf you put a penguin in the air...\r\n\r\nit would fly{size[6400]}
QuickQuestion_28_V	When it comes to tree-climbing,\r\nmonkeys are...\r\n\r\nnatural climbers
QuickQuestion_29_V	When it comes to tree-climbing,\r\nmonkeys are...\r\n\r\nno good at all
QuickQuestion_30_V	After A, the next letter in the\r\nalphabet is...\r\n\r\nB
QuickQuestion_31_V	After A, the next letter in the\r\nalphabet is...\r\n\r\nD
QuickQuestion_32_V	\r\nThe letter before B in the alphabet is...\r\n\r\nA
QuickQuestion_33_V	\r\nThe letter before B in the alphabet is...\r\n\r\nC
QuickQuestion_34_V	After C, the next letter in the\r\nalphabet is...\r\n\r\nD
QuickQuestion_35_V	After C, the next letter in the\r\nalphabet is...\r\n\r\nE
QuickQuestion_36_V	\r\nIn rock paper scissors, rock loses to...\r\n\r\npaper
QuickQuestion_37_V	\r\nIn rock paper scissors, rock loses to...\r\n\r\nscissors
QuickQuestion_38_V	\r\nIn rock paper scissors, rock beats...\r\n\r\nscissors
QuickQuestion_39_V	\r\nIn rock paper scissors, rock beats...\r\n\r\npaper
QuickQuestion_40_V	\r\nIn rock paper scissors, scissors lose to...\r\n\r\nrock
QuickQuestion_41_V	\r\nIn rock paper scissors, scissors lose to...\r\n\r\npaper
QuickQuestion_42_V	In rock paper scissors, scissors\r\ncan't beat...\r\n\r\nscissors
QuickQuestion_43_V	In rock paper scissors, scissors\r\ncan't beat...\r\n\r\npaper
QuickQuestion_44_V	\r\nIn rock paper scissors, paper beats...\r\n\r\nrock
QuickQuestion_45_V	\r\nIn rock paper scissors, paper beats...\r\n\r\npaper
QuickQuestion_46_V	\r\nIn rock paper scissors, paper ties with...\r\n\r\npaper
QuickQuestion_47_V	\r\nIn rock paper scissors, paper ties with...\r\n\r\nscissors
QuickQuestion_48_V	{size[7900]}\r\n1 hour after 3:00 am is...\r\n\r\n4:00 am{size[6400]}
QuickQuestion_49_V	{size[7900]}\r\n1 hour after 3:00 am is...\r\n\r\n5:00 am{size[6400]}
QuickQuestion_50_V	{size[7900]}\r\n1 hour before 3:00 am is...\r\n\r\n2:00 am{size[6400]}
QuickQuestion_51_V	{size[7900]}\r\n1 hour before 3:00 am is...\r\n\r\n4:00 am{size[6400]}
QuickQuestion_52_V	{size[7900]}\r\n2 hours after 3:00 am is...\r\n\r\n5:00 am{size[6400]}
QuickQuestion_53_V	{size[7900]}\r\n2 hours after 3:00 am is...\r\n\r\n1:00 am{size[6400]}
QuickQuestion_54_V	{size[7900]}\r\n2 hours before 3:00 am is...\r\n\r\n1:00 am{size[6400]}
QuickQuestion_55_V	{size[7900]}\r\n2 hours before 3:00 am is...\r\n\r\n2:00 am{size[6400]}
QuickQuestion_56_V	{size[7900]}\r\nThe day after Tuesday is...\r\n\r\nWednesday{size[6400]}
QuickQuestion_57_V	{size[7900]}\r\nThe day after Tuesday is...\r\n\r\nMonday{size[6400]}
QuickQuestion_58_V	{size[7900]}\r\nThe day before Friday is...\r\n\r\nThursday{size[6400]}
QuickQuestion_59_V	{size[7900]}\r\nThe day before Friday is...\r\n\r\nWednesday{size[6400]}
QuickQuestion_60_V	{size[7900]}\r\nThe day after Saturday is...\r\n\r\nSunday{size[6400]}
QuickQuestion_61_V	{size[7900]}\r\nThe day after Saturday is...\r\n\r\nMonday{size[6400]}
QuickQuestion_62_V	{size[7900]}\r\nThe day before Sunday is...\r\n\r\nSaturday{size[6400]}
QuickQuestion_63_V	{size[7900]}\r\nThe day before Sunday is...\r\n\r\nFriday{size[6400]}
QuickQuestion_64_V	If you add room-temperature water to\r\nhot water...\r\n\r\nit gets cooler
QuickQuestion_65_V	If you add room-temperature water to\r\nhot water...\r\n\r\nit gets warmer
QuickQuestion_66_V	If you add hot water to\r\nroom-temperature water...\r\n\r\nit gets warmer
QuickQuestion_67_V	If you add hot water to\r\nroom-temperature water...\r\n\r\nit gets cooler
QuickQuestion_68_V	{size[7900]}\r\nIf you freeze water, it...\r\n\r\nbecomes ice{size[6400]}
QuickQuestion_69_V	{size[7900]}\r\nIf you freeze water, it...\r\n\r\nboils{size[6400]}
QuickQuestion_70_V	{size[7900]}\r\nIf you heat water up, it...\r\n\r\nboils{size[6400]}
QuickQuestion_71_V	{size[7900]}\r\nIf you heat water up, it...\r\n\r\nfreezes{size[6400]}
QuickQuestion_72_V	{size[7900]}\r\nWhich is sweeter, salt or sugar?\r\n\r\nSugar{size[6400]}
QuickQuestion_73_V	{size[7900]}\r\nWhich is sweeter, salt or sugar?\r\n\r\nSalt{size[6400]}
QuickQuestion_74_V	{size[7900]}\r\nWhich is saltier, salt or sugar?\r\n\r\nSalt{size[6400]}
QuickQuestion_75_V	{size[7900]}\r\nWhich is saltier, salt or sugar?\r\n\r\nSugar{size[6400]}
QuickQuestion_76_V	{size[7900]}\r\nWhat do ears do?\r\n\r\nHear sounds{size[6400]}
QuickQuestion_77_V	{size[7900]}\r\nWhat do ears do?\r\n\r\nSee things{size[6400]}
QuickQuestion_78_V	{size[7900]}\r\nWhat do eyes do?\r\n\r\nSee things{size[6400]}
QuickQuestion_79_V	{size[7900]}\r\nWhat do eyes do?\r\n\r\nHear sounds{size[6400]}
QuickQuestion_80_V	{size[7900]}\r\nWhat does the nose do?\r\n\r\nSmell odors{size[6400]}
QuickQuestion_81_V	{size[7900]}\r\nWhat does the nose do?\r\n\r\nSee things{size[6400]}
QuickQuestion_82_V	\r\nPants are something you wear...\r\n\r\non your legs
QuickQuestion_83_V	\r\nPants are something you wear...\r\n\r\non your head
QuickQuestion_84_V	{size[7900]}\r\nGloves are something you wear...\r\n\r\non your hands{size[6400]}
QuickQuestion_85_V	{size[7900]}\r\nGloves are something you wear...\r\n\r\non your feet{size[6400]}
QuickQuestion_86_V	{size[7900]}\r\nSocks are something you wear...\r\n\r\non your feet{size[6400]}
QuickQuestion_87_V	{size[7900]}\r\nSocks are something you wear...\r\n\r\non your head{size[6400]}
QuickQuestion_88_V	{size[7900]}\r\nA hat is something you wear...\r\n\r\non your head{size[6400]}
QuickQuestion_89_V	{size[7900]}\r\nA hat is something you wear...\r\n\r\non your feet{size[6400]}
QuickQuestion_90_V	\r\nPajamas are something you wear...\r\n\r\nwhen you go to bed
QuickQuestion_91_V	\r\nPajamas are something you wear...\r\n\r\nwhen you go swimming
QuickQuestion_92_V	Jewelry worn around your neck\r\nis called...\r\n\r\na necklace
QuickQuestion_93_V	Jewelry worn around your neck\r\nis called...\r\n\r\na bracelet
QuickQuestion_94_V	Jewelry worn around your finger\r\nis called...\r\n\r\na ring
QuickQuestion_95_V	Jewelry worn around your finger\r\nis called...\r\n\r\nan armlet
QuickQuestion_96_V	\r\nJewelry worn in your ear is called...\r\n\r\nan earring
QuickQuestion_97_V	\r\nJewelry worn in your ear is called...\r\n\r\na necklace
QuickQuestion_98_V	{size[7900]}\r\nA harmonica is a type of...\r\n\r\nwind instrument{size[6400]}
QuickQuestion_99_V	{size[7900]}\r\nA harmonica is a type of...\r\n\r\npercussion instrument{size[6400]}
QuickQuestion_100_V	{size[7900]}\r\nA drum is a type of...\r\n\r\npercussion instrument{size[6400]}
QuickQuestion_101_V	{size[7900]}\r\nA drum is a type of...\r\n\r\nwind instrument{size[6400]}
QuickQuestion_102_V	{size[7900]}\r\nMaracas are...\r\n\r\nan instrument you shake{size[6400]}
QuickQuestion_103_V	{size[7900]}\r\nMaracas are...\r\n\r\na wind instrument{size[6400]}
QuickQuestion_104_V	\r\nFor cutting sheets of paper, you'd use...\r\n\r\na pair of scissors
QuickQuestion_105_V	\r\nFor cutting sheets of paper, you'd use...\r\n\r\na jar of glue
QuickQuestion_106_V	{size[7900]}\r\nFor taking photos, you'd use...\r\n\r\na camera{size[6400]}
QuickQuestion_107_V	{size[7900]}\r\nFor taking photos, you'd use...\r\n\r\na TV{size[6400]}
QuickQuestion_108_V	For speaking to people far away,\r\nyou'd use...\r\n\r\na phone
QuickQuestion_109_V	For speaking to people far away,\r\nyou'd use...\r\n\r\na fork
QuickQuestion_110_V	\r\nFor assembling furniture, you'd use...\r\n\r\na screwdriver
QuickQuestion_111_V	\r\nFor assembling furniture, you'd use...\r\n\r\na scratching post
QuickQuestion_112_V	\r\nFor looking up at the stars, you'd use...\r\n\r\na telescope
QuickQuestion_113_V	\r\nFor looking up at the stars, you'd use...\r\n\r\na microscope
QuickQuestion_114_V	{size[7900]}\r\nFor sleeping, you'd use...\r\n\r\na bed{size[6400]}
QuickQuestion_115_V	{size[7900]}\r\nFor sleeping, you'd use...\r\n\r\na beard{size[6400]}
