announce.msbt
AnnounceEmpty	お{r2[し]}知{/r2}らせは　まだありません
AnnHead_09	センサー{r2[けんきゅうじょ]}研究所{/r2}　オープン
AnnBody_09	ピクニックロードに、センサー{r2[けんきゅうじょ]}研究所{/r2}がオープンしました。
AnnHead_10	とうめいスーツ　{r2[かんせい]}完成{/r2}
AnnBody_10	{r2[あたら]}新{/r2}しいセンサー「とうめいスーツ」が{r2[かんせい]}完成{/r2}しました。　ピクニックロードの、センサー{r2[けんきゅうじょ]}研究所{/r2}までお{r2[こ]}越{/r2}しください。
AnnHead_11	{r2[かく]}隠{/r2}しブロックレーダー　{r2[かんせい]}完成{/r2}
AnnBody_11	{r2[あたら]}新{/r2}しいセンサー「{r2[かく]}隠{/r2}しブロックレーダー」が{r2[かんせい]}完成{/r2}しました。　ピクニックロードの、センサー{r2[けんきゅうじょ]}研究所{/r2}までお{r2[こ]}越{/r2}しください。
AnnHead_15	{r2[ふね]}船{/r2}の{r2[しんがた]}新型{/r2}エンジン　{r2[かんせい]}完成{/r2}
AnnBody_15	{r2[ふね]}船{/r2}の{r2[しんがた]}新型{/r2}エンジンが{r2[かんせい]}完成{/r2}しました。　キノピオタウンの{r2[みなと]}港{/r2}までお{r2[こ]}越{/r2}しください。
AnnHead_16	おたからフィギュアの{r2[てんじ]}展示{/r2}{r2[ばしょ]}場所{/r2}
AnnBody_16	{r2[て]}手{/r2}に{r2[い]}入{/r2}れた「おたからフィギュア」は、キノピオタウンの{r2[だいはくぶつかん]}大博物館{/r2}に{r2[てんじ]}展示{/r2}されます。
AnnHead_19	プリンセスピーチ{r2[ごう]}号{/r2}の{r2[じょうきゃく]}乗客{/r2}が{r2[きかん]}帰還{/r2}
AnnBody_19	{r2[しまじま]}島々{/r2}に{r2[ひなん]}避難{/r2}していた、プリンセスピーチ{r2[ごう]}号{/r2}の{r2[じょうきゃく]}乗客{/r2}が、{r2[ぜんいん]}全員{/r2}{r2[ふね]}船{/r2}に{r2[きかん]}帰還{/r2}しました。
AnnHead_21	バトルキング　{r2[たっせい]}達成{/r2}
AnnBody_21	トロフィー「バトルキング」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_22	コイン{r2[ちょうじゃ]}長者{/r2}　{r2[たっせい]}達成{/r2}
AnnBody_22	トロフィー「コイン{r2[ちょうじゃ]}長者{/r2}」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_23	ハテナブロックマニア　{r2[たっせい]}達成{/r2}
AnnBody_23	トロフィー「ハテナブロックマニア」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_24	ぬし{r2[つ]}釣{/r2}り{r2[めいじん]}名人{/r2}　{r2[たっせい]}達成{/r2}
AnnBody_24	トロフィー「ぬし{r2[つ]}釣{/r2}り{r2[めいじん]}名人{/r2}」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_25	リングのチャンピオン　{r2[たっせい]}達成{/r2}
AnnBody_25	トロフィー「リングのチャンピオン」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_26	パズルドリルマスター　{r2[たっせい]}達成{/r2}
AnnBody_26	トロフィー「パズルドリルマスター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_27	タイムトライアルマスター　{r2[たっせい]}達成{/r2}
AnnBody_27	トロフィー「タイムトライアルマスター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_28	{r2[かわ]}川{/r2}くだりの{r2[たつじん]}達人{/r2}　{r2[たっせい]}達成{/r2}
AnnBody_28	トロフィー「{r2[かわ]}川{/r2}くだりの{r2[たつじん]}達人{/r2}」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_29	シュリケンの{r2[めいしゅ]}名手{/r2}　{r2[たっせい]}達成{/r2}
AnnBody_29	トロフィー「シュリケンの{r2[めいしゅ]}名手{/r2}」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_30	てんくうのクイズ{r2[おう]}王{/r2}　{r2[たっせい]}達成{/r2}
AnnBody_30	トロフィー「てんくうのクイズ{r2[おう]}王{/r2}」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_31	アートコレクター　{r2[たっせい]}達成{/r2}
AnnBody_31	トロフィー「アートコレクター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_32	オリガミキノピオコレクター　{r2[たっせい]}達成{/r2}
AnnBody_32	トロフィー「オリガミキノピオコレクター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_33	おたからフィギュアコレクター　{r2[たっせい]}達成{/r2}
AnnBody_33	トロフィー「おたからフィギュアコレクター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_34	オリガミキャラクターコレクター　{r2[たっせい]}達成{/r2}
AnnBody_34	トロフィー「オリガミキャラクターコレクター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_35	レコードコレクター　{r2[たっせい]}達成{/r2}
AnnBody_35	トロフィー「レコードコレクター」を{r2[たっせい]}達成{/r2}しました。　{r2[だいはくぶつかん]}大博物館{/r2}で、トロフィーをお{r2[う]}受{/r2}け{r2[と]}取{/r2}りください。
AnnHead_37	{r2[ぎょたく]}魚拓{/r2}の{r2[てんじ]}展示{/r2}{r2[ばしょ]}場所{/r2}
AnnBody_37	{r2[つ]}釣{/r2}りあげたサカナの{r2[ぎょたく]}魚拓{/r2}は、{r2[だいはくぶつかん]}大博物館{/r2}に{r2[てんじ]}展示{/r2}されます。
AnnHead_38	{r2[だいはくぶつかん]}大博物館{/r2}　ギャラリー
AnnBody_38	{r2[だいはくぶつかん]}大博物館{/r2}より、{r2[いちぶ]}一部{/r2}のギャラリーのエリアが{r2[ふ]}増{/r2}えました。　{r2[だいはくぶつかん]}大博物館{/r2}の{r2[かんせい]}完成{/r2}をめざして、ひきつづき{r2[ぼうけん]}冒険{/r2}しましょう！
battle.msbt
BtlGuide_CmdInfo	{[0001|0200]}{[0200]}{size[3200]}アクション{size[6400]}\x0f\x02\0{[0001|ffff]}
BtlGuide_RingInfo	{[0001|0200]}{[0200]}{size[3200]}リングそうさ{size[6400]}\x0f\x02\0{[0001|ffff]}
BtlGuide_RingInfoValue	{[0001|0400]}{[0304]}×{[0300|00000000]}\x0f\x03\x04{[0001|ffff]}
BtlGuide_MeterButton_Time	{size[4100]} コインでえんちょう{size[6400]}
BtlGuide_MeterButton_Hint	{size[4100]} ヒント{size[6400]}
BtlGuide_MeterButton_LaboPass	{size[4100]} パス{size[6400]}
BtlGuide_MeterButton_QuizEnd	{size[5000]} かんりょう{size[6400]}
BtlGuide_MeterButton_Cheer	{size[4100]} おうえん{size[6400]}
BtlGuide_MeterButton_Escape	{size[4100]} にげる{size[6400]}
BtlGuide_MeterButton_LaboExit	{size[4100]} やめる{size[6400]}
BtlGuide_MeterButton_LaboGiveUp	{size[4100]} あきらめる{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Puzzle	{size[4b00]}{[0300|00000000]}↕ アクション{r2[せんたく]}選択{/r2}　↔ {r2[てきせんたく]}敵選択{/r2}　 カメラ　 けってい{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku	{size[4b00]}{[0300|00000000]}↕ アクション{r2[せんたく]}選択{/r2}　 けってい{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku2	{size[4b00]}{[0300|00000000]}↕ アクション{r2[せんたく]}選択{/r2}　 もどす　 けってい{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_DecideCmd	{size[4b00]}{[0300|00000000]} やめる{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Menu_Weapon	{size[4b00]}{[0300|00000000]} {r2[せんたく]}選択{/r2}　 もどる　 けってい{size[6400]}
BtlGuide_KeyGuideBar_GodHandOperation	{size[4b00]}{[0300|00000000]}{size[6400]}{size[6400]}{size[6400]}{size[4b00]} {r2[かたむ]}傾{/r2}けてカミの{r2[て]}手{/r2}そうさ　 {r2[て]}手{/r2}の{r2[いち]}位置{/r2}リセット{size[6400]}  
BtlGuide_KeyGuideBar_GodHandOperation_Stick	{size[4b00]}{[0300|00000000]} カミの{r2[て]}手{/r2}そうさ{size[6400]}
BtlGuide_KeyGuideBar_RingOperation	{size[4b00]}{[0300|00000000]} {r2[かいてん]}回転{/r2}／スライドきりかえ　 リング{r2[せんたく]}選択{/r2}　 カメラ　 けってい  {size[6400]}
BtlGuide_KeyGuideBar_RingOperation2	{size[4b00]}　　{[0300|00000000]} {r2[かいてん]}回転{/r2}／スライドきりかえ　 リング{r2[せんたく]}選択{/r2}　 カメラ　 もどす　 けってい{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide	{size[4b00]}{[0300|00000000]} リングそうさ　 カメラ　 けってい{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide2	{size[4b00]}{[0300|00000000]} リングそうさ　 カメラ　 もどす　 けってい{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera	{size[4b00]}{[0300|00000000]} {r2[かいてん]}回転{/r2}／スライドきりかえ　 リング{r2[せんたく]}選択{/r2}　 けってい{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera2	{size[4b00]}{[0300|00000000]} {r2[かいてん]}回転{/r2}／スライドきりかえ　 リング{r2[せんたく]}選択{/r2}　 もどす　 けってい{size[6400]}
BtlGuide_KeyGuideBar_RingOperationSecond	{size[4b00]}{[0300|00000000]} リングそうさ　 カメラ　 やめる　 けってい{size[6400]}
BtlGuide_KeyGuideBar_RingOperationSecond_NoCamera	{size[4b00]}{[0300|00000000]} やめる   けってい{size[6400]}
BtlGuide_KeyGuideBar_Variable_Help	 ヘルプ　
BtlGuide_Skip	{size[4b00]} スキップ{size[6400]}
BtlCmdList_Enter	{size[3200]}{[0001|0200]}アクションけってい{[0001|ffff]}{size[6400]} 
BtlCmdList_Confirm	{size[3200]}{[0001|0200]}バトルスタート{[0001|ffff]}{size[6400]} 
BtlCmdSwitch_L	{size[4b00]}{size[6400]}
BtlCmdSwitch_R	{size[4b00]}{size[6400]}
BtlCmdSwitch_Weapon	{size[3200]}{[0001|0200]}ぶき{[0001|ffff]}{size[6400]}
BtlCmdSwitch_Item	{size[3200]}{[0001|0200]}アイテム{[0001|ffff]}{size[6400]}
BtlCmdList_None	{[0001|0100]}もってない{[0001|ffff]}
BtlCmdList_Equip	{size[4b00]} そうび{size[6400]}
BtlResult_Title	{size[4100]}{[0001|0500]}バトルボーナス！{[0001|ffff]}{size[6400]}
BtlResult_Item01	{size[4b00]}クリアボーナス{size[6400]}
BtlResult_Item02	{size[4b00]}パズルせいこうボーナス{size[6400]}
BtlResult_Item03	{size[4b00]}ノーダメージボーナス{size[6400]}
BtlResult_Item04	{size[4b00]}カミの{r2[て]}手{/r2}フィニッシュ{size[6400]}
BtlResult_Item05	{size[4b00]}ウェーブバトルボーナス{size[6400]}
BtlResult_Item06	{size[4b00]}ボスクリアボーナス{size[6400]}
BtlResult_Item00	ごうけい
BtlResult_ItemValue	{size[3c00]}{[0001|0200]}{[0300|00000000]}{[0001|ffff]}{size[6400]}
BtlEscape_Title	{size[4b00]}{[0001|0200]}にげる{[0001|ffff]}{size[6400]}
BtlUI_BossHP	{size[4600]}{[0001|0400]}Ｂｏｓｓ ＨＰ{[0001|ffff]}{size[6400]}
BtlUI_QuizAnswer_A	{size[4b00]}{color[cf2c12ff]}{[0001|0400]}Ａ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_B	{size[4b00]}{color[0677ebff]}{[0001|0400]}Ｂ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_C	{size[4b00]}{color[2e7611ff]}{[0001|0400]}Ｃ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_D	{size[4b00]}{color[d6b918ff]}{[0001|0400]}Ｄ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlCombo_02	{size[4100]}{[0001|0500]}{color[2e7611ff]}ナイス{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCombo_03	{size[4100]}{[0001|0500]}{color[cf2c12ff]}グレイト{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCombo_04	{size[4100]}{[0001|0500]}{color[d55eccff]}エクセレント{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlGuard_01	{size[4100]}{[0001|0500]}ガード{[0001|ffff]}{size[6400]}
BtlLabo_Mode_01	{color[00ff00ff]}{[0001|0200]}パズルドリル{[0001|ffff]}{color[404040ff]}
BtlLabo_Mode_02	{color[00ff00ff]}{[0001|0200]}タイムトライアル{[0001|ffff]}{color[404040ff]}
BtlLabo_PlayNum	{color[00ff00ff]}{[0001|0200]}だい{color[ffffffff]}{[0300|00000000]}{color[00ff00ff]}もん{[0001|ffff]}{color[404040ff]}
BtlSysMsg_AllMiss	{r2[こうげき]}攻撃{/r2}が　はずれた！
BtlSysMsg_AllFar	{r2[こうげき]}攻撃{/r2}が　とどかない！
BtlSysMsg_Broken	すでに　こわれている！
BtlSysMsg_NoMoveIce	{r2[こお]}凍{/r2}って　{r2[うご]}動{/r2}けない！
BtlSysMsg_NoMoveStan	フラフラして　{r2[うご]}動{/r2}けない！
BtlSysMsg_NoMoveCrucifixion	ハリでとめられて　{r2[うご]}動{/r2}けない！
BtlSysMsg_NoMoveRubber	ゴムでしばられて　{r2[うご]}動{/r2}けない！
BtlSysMsg_NoMoveHole	{r2[あな]}穴{/r2}に{r2[お]}落{/r2}ちて　{r2[うご]}動{/r2}けない！
BtlSysMsg_NoMoveTurnOver	ひっくり{r2[かえ]}返{/r2}って　{r2[うご]}動{/r2}けない！
BtlSysMsg_WeaponBreak	{color[cf2c12ff]}{[0300|00000000]}{color[404040ff]}が　{r2[こわ]}壊{/r2}れた！
BtlSysMsg_WeaponBreakNoBoots	ブーツが{r2[こわ]}壊{/r2}れて　つかえない！
BtlSysMsg_WeaponBreakNoHammer	ハンマーが{r2[こわ]}壊{/r2}れて　つかえない！
BtlSysMsg_NoCoin	コインが　{r2[た]}足{/r2}りない！
BtlSysMsg_NoMove_water	{r2[みず]}水{/r2}ガミは　ぐったりして　{r2[うご]}動{/r2}けない！
BtlSysMsg_NoMove_ice	{r2[こおり]}氷{/r2}ガミは　めまいを　{r2[お]}起{/r2}こしている！
BtlSysMsg_NoMove_HPC	パンチは　ひっくり{r2[かえ]}返{/r2}って　{r2[うご]}動{/r2}けない！
BtlCaption_PlayerAttack	{color[ffffffff]}{[0001|0200]}マリオのアクション！{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicAttack	{color[ffffffff]}{[0001|0200]}マリオのアクション！{[0001|ffff]}{color[404040ff]}
BtlCaption_EnemyAttack	{color[ffffffff]}{[0001|0200]}てきのアクション！{[0001|ffff]}{color[404040ff]}
BtlCaption_MoveRing	{color[eed538ff]}{[0001|0200]}てきをならべろ！{[0001|ffff]}{color[404040ff]}
BtlCaption_MoveRingKinopio	{[0001|0200]}{color[ffffffff]}キノピオ{color[404040ff]}{color[00ff00ff]}をならべろ！{color[404040ff]}{[0001|ffff]}
BtlCaption_Timeup	{color[eed538ff]}{[0001|0200]}じかんぎれ・・・{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleFinish	{color[eed538ff]}{[0001|0200]}せいれつおわり！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleUnused	{color[eed538ff]}{[0001|0200]}{color[ff2e11ff]}チャンス！　{color[eed538ff]}テキ　のこりわずか{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleSuccess	{color[eed538ff]}{[0001|0200]}せいれつせいこう！！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleGreatSuccess	{color[eed538ff]}{[0001|0200]}せいれつ{color[ff2e11ff]}大{color[eed538ff]}せいこう！！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleSuccessPowUp	{[0001|0200]}{color[e7e7e7ff]}こうげきりょく{color[404040ff]}{color[ff2e11ff]}アップ！{color[404040ff]}{[0001|ffff]}
BtlCaption_PuzzleAttackSuccess	{color[00ff00ff]}{[0001|0200]}せいれつせいこう！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleAttackMiss	{color[00ff00ff]}{[0001|0200]}せいれつしっぱい！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizPass	{color[00ff00ff]}{[0001|0200]}パス！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizPuzzleAttack	{color[00ff00ff]}{[0001|0200]}パズルドリル{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizTimeAttack	{color[00ff00ff]}{[0001|0200]}タイムトライアル{[0001|ffff]}{color[404040ff]}
BtlCaption_VSBattle	{color[00ff00ff]}{[0001|0200]}VSバトル{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizQ1	{[0001|0200]}{color[00ff00ff]}だい{color[ffffffff]}{[0300|00000000]}{color[00ff00ff]}もん{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizAnswerDisplay	{color[e7e7e7ff]}{[0001|0200]}せいかいは…？{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizGameOver	{[0001|0200]}{color[cf2c12ff]}ゲームオーバー{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizAllClear	{color[00ff00ff]}{[0001|0200]}ぜんもんクリア！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizTimeup	{[0001|0200]}{color[00ff00ff]}タイムアップ{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizTimeAttackStart	{size[7800]}{[0001|0200]}{color[cf2c12ff]}スタート！{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCaption_QuizTimeAttackEnd	{color[cf2c12ff]}{[0001|0200]}トライアルしゅうりょう{[0001|ffff]}{color[404040ff]}
BtlCaption_ConnectArrow	{[0001|0200]}{color[8aae3bff]}やじるし{color[404040ff]}{color[eed538ff]}をつなげろ！{color[404040ff]}{[0001|ffff]}
BtlCaption_RushStart	{color[ffffffff]}{[0001|0200]}ラッシュタイム！{[0001|ffff]}{color[404040ff]}
BtlCaption_RushTimeOut	{color[e7e7e7ff]}{[0001|0200]}ラッシュタイムおわり{[0001|ffff]}{color[404040ff]}
BtlCaption_WaveBattle	{[0001|0500]}{size[4b00]}{color[d6b918ff]}ウェーブバトル！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_NextWave	{[0001|0500]}{size[4b00]}{color[d6b918ff]}ネクストウェーブ！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_LastWave	{[0001|0500]}{size[4b00]}{color[d6b918ff]}ラストウェーブ！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_MagicHand	{color[ffffffff]}{[0001|0200]}{size[9600]}まほうじん　はつどう！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicEarth	{color[ffffffff]}{[0001|0200]}{size[9600]}まほうじん　はつどう！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicWater	{color[ffffffff]}{[0001|0200]}{size[9600]}まほうじん　はつどう！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicFire	{color[ffffffff]}{[0001|0200]}{size[9600]}まほうじん　はつどう！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicIce	{color[ffffffff]}{[0001|0200]}{size[9600]}まほうじん　はつどう！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenStart	{size[8200]}{[0001|0200]}{color[ffffffff]}じゃんけんはつどう！{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCaption_JunkenStart2_1	{[0001|0200]}{color[d6b918ff]}ぽん{color[404040ff]}{color[e7e7e7ff]}　で{color[404040ff]}{[0001|ffff]}
BtlCaption_JunkenStart2_2	{color[e7e7e7ff]}{[0001|0200]}コントローラーをふれ！{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenStart2_3	{color[e7e7e7ff]}{[0001|0200]}Aをおせ！{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenJun	{[0001|0500]}じゃん{[0001|ffff]}
BtlCaption_JunkenKen	{[0001|0500]}けん{[0001|ffff]}
BtlCaption_JunkenPon	{color[d6b918ff]}{[0001|0500]}ぽん{[0001|ffff]}{color[404040ff]}
BtlCaption_Ready	{[0001|0500]}{color[cf2c12ff]}レディ{color[404040ff]}{[0001|ffff]}
BtlCaption_Go	{[0001|0500]}{color[cf2c12ff]}ゴー！{color[404040ff]}{[0001|ffff]}
BtlCaption_RescueMagicRing	{[0001|0500]}{color[cf2c12ff]}まほうじんを　もどせ！{color[404040ff]}{[0001|ffff]}
BtlAC_A	
BtlPanel_On	{[0001|0300]}ＯＮ{[0001|ffff]}
Btl_PuzzleEndSelect	はい\nいいえ
Btl_PuzzleEnd	{[0200]}{r2[かんりょう]}完了{/r2}でよいですか？\x0f\x02\0{[0104|2600420074006c005f00500075007a007a006c00650045006e006400530065006c006500630074000100000000000000]}
Btl_PuzzlePassSelect	パス\nつづける
Btl_PuzzlePass	{[0200]}パスしますか？\x0f\x02\0\n{[0200]}（タイムが{[0300|00000000]}{r2[びょう]}秒{/r2}へります）\x0f\x02\0{[0104|2800420074006c005f00500075007a007a006c0065005000610073007300530065006c006500630074000100000000000000]}
Btl_PuzzleExitSelect	はい\nいいえ
Btl_PuzzleExit	{[0200]}トレーニングを{r2[しゅうりょう]}終了{/r2}しますか？\x0f\x02\0{[0104|2800420074006c005f00500075007a007a006c0065004500780069007400530065006c006500630074000100000000000000]}
Btl_RainbowSelect	どのカミさまに{r2[へんしん]}変身{/r2}します？{[0104|2a00420074006c005f005200610069006e0062006f007700530065006c006500630074004c00690073007400ffffffff00000000]}
Btl_RainbowSelectList	{r2[つち]}土{/r2}ガミ\n{r2[みず]}水{/r2}ガミ\n{r2[ひ]}火{/r2}ガミ\n{r2[こおり]}氷{/r2}ガミ
Btl_NoTouchPad_00	マリオさーん　{r2[お]}起{/r2}きて～！
Btl_NoTouchPad_01	さあ！\n{r2[やじるし]}矢印{/r2}を　そろえましょー！
Btl_NoTouchPad_Junken_00	おーい、マリオさーん…\nもしかして…　{r2[ね]}寝{/r2}ちゃってませんか～？
Btl_NoTouchPad_Junken_01	わーん！\n{r2[はや]}早{/r2}くココから　{r2[だ]}出{/r2}してください～！
BtlGodHand_Help_Rush	{size[5000]}{[0103|00000000]}なんども　たたいて\nダメージを　あたえよう！{[0101]}{size[6400]}
BtlGodHand_Sys_Grasp	{size[5000]}{[0200]} しっかり　にぎって　{r2[さいかい]}再開{/r2}\x0f\x02\0{size[6400]}
BtlAmulet_Startup_TimeUp	{[0001|0300]}＋{[0300|00000000]}{[0001|ffff]}
BtlAmulet_Startup_AntiDamage	{[0001|0300]}ガードアップ！{[0001|ffff]}
BtlAmulet_Startup_HpUp	{[0001|0300]}＋{[0300|00000000]}{[0001|ffff]}
BtlAmulet_Startup_Party	{[0001|0300]}アタックアップ！{[0001|ffff]}
BtlUI_CheerSlot_Coin	{[0001|0200]}{[0300|00000000]}{[0001|ffff]}
BtlUI_CheerSlot_Coin_Nothing	{color[cf2c12ff]}{[0001|0200]}{[0300|00000000]}{[0001|ffff]}{color[404040ff]}
BtlUI_AddTime_Coin	{[0001|0200]}{[0300|00000000]}{[0001|ffff]}
BtlUI_AddTime_Coin_Nothing	{color[cf2c12ff]}{[0001|0200]}{[0300|00000000]}{[0001|ffff]}{color[404040ff]}
BtlUI_AddTime_Time	{[0001|0200]}{color[cf2c12ff]}{[0300|00000000]}.0{color[404040ff]}{[0001|ffff]}
BuddyHint_1	あの　コウラって、\nふんだら　どうなるのかしら。\nうしろの　テキに　{r2[と]}飛{/r2}んでいくとか？
BuddyHint_2	{r2[そら]}空{/r2}を　{r2[と]}飛{/r2}んでいる　テキには\nハンマー　とどかないかも。
BuddyHint_3	トゲトゲって　イヤですわね。\nやわらかいブーツで　ふんだら\nとっても　イタそう！
