announce.msbt
AnnounceEmpty	No notifications yet.
BtlCmdSwitch_L	{s[075]}{s[100]}
BtlCmdSwitch_R	{s[075]}{s[100]}
BtlCmdSwitch_Weapon	{s[050]}\x0e\0\x01\x02\x02\0Weapons\x0e\0\x01\x02\xff\xff{s[100]}
BtlCmdSwitch_Item	{s[050]}\x0e\0\x01\x02\x02\0Items\x0e\0\x01\x02\xff\xff{s[100]}
BtlCmdList_None	\x0e\0\x01\x02\x0e\0None\x0e\0\x01\x02\xff\xff
BtlCmdList_Equip	{s[075]} Gear{s[100]}
BtlResult_Title	{s[065]}\x0e\0\x01\x02\x05\0{c[404040]}Battle Bonus!{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlResult_Item01	{s[075]}Clear Bonus{s[100]}
BtlResult_Item02	{s[075]}Puzzle-Completion Bonus{s[100]}
BtlResult_Item03	{s[075]}No-Damage Bonus{s[100]}
BtlResult_Item04	{s[075]}1,000-Fold Arms Finisher{s[100]}
BtlResult_Item05	{s[075]}Wave-Battle Bonus{s[100]}
BtlResult_Item06	{s[075]}Boss Clear Bonus{s[100]}
BtlResult_Item00	Total
BtlResult_ItemValue	{s[060]}\x0e\0\x01\x02\x02\0\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff{s[100]}
BtlEscape_Title	{s[075]}\x0e\0\x01\x02\x02\0{c[404040]}Flee{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlUI_BossHP	{s[070]}\x0e\0\x01\x02\x04\0Boss HP\x0e\0\x01\x02\xff\xff{s[100]}
BtlUI_QuizAnswer_A	{s[075]}{c[cf2c12]}\x0e\0\x01\x02\x04\0Ａ\x0e\0\x01\x02\xff\xff{c[404040]}{s[100]}
BtlUI_QuizAnswer_B	{s[075]}{c[0677eb]}\x0e\0\x01\x02\x04\0Ｂ\x0e\0\x01\x02\xff\xff{c[404040]}{s[100]}
BtlUI_QuizAnswer_C	{s[075]}{c[2e7611]}\x0e\0\x01\x02\x04\0Ｃ\x0e\0\x01\x02\xff\xff{c[404040]}{s[100]}
BtlUI_QuizAnswer_D	{s[075]}{c[d6b918]}\x0e\0\x01\x02\x04\0Ｄ\x0e\0\x01\x02\xff\xff{c[404040]}{s[100]}
BtlCombo_02	{s[065]}\x0e\0\x01\x02\x05\0{c[2e7611]}Nice{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlCombo_03	{s[065]}\x0e\0\x01\x02\x05\0{c[cf2c12]}Great{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlCombo_04	{s[065]}\x0e\0\x01\x02\x05\0{c[d55ecc]}Excellent{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlGuard_01	{s[065]}\x0e\0\x01\x02\x05\0Block!\x0e\0\x01\x02\xff\xff{s[100]}
BtlLabo_Mode_01	{c[00ff00]}\x0e\0\x01\x02\x02\0The Ringer\x0e\0\x01\x02\xff\xff{c[404040]}
BtlLabo_Mode_02	{c[00ff00]}\x0e\0\x01\x02\x02\0Speed Rings\x0e\0\x01\x02\xff\xff{c[404040]}
BtlLabo_PlayNum	{c[00ff00]}\x0e\0\x01\x02\x02\0Puzzle {c[ffffff]}\x0e\x03\0\x04\0\0\0\0{c[00ff00]}\x0e\0\x01\x02\xff\xff{c[404040]}
BtlSysMsg_AllMiss	The attack missed!
BtlSysMsg_AllFar	Enemy out of range for that attack!
BtlSysMsg_Broken	It's already been destroyed!
BtlSysMsg_NoMoveIce	Frozen! Can't move!
BtlSysMsg_NoMoveStan	Stunned! Can't move!
BtlSysMsg_NoMoveCrucifixion	Pinned down! Can't move!
BtlSysMsg_NoMoveRubber	Tied up! Can't move!
BtlSysMsg_NoMoveHole	Fell in a hole! Can't move!
BtlSysMsg_NoMoveTurnOver	Flipped over! Can't move!
BtlSysMsg_WeaponBreak	Your {c[cf2c12]}\x0e\x03\0\x04\0\0\0\0{c[404040]} broke!
BtlSysMsg_WeaponBreakNoBoots	Those boots broke! You can't use them!
BtlSysMsg_WeaponBreakNoHammer	That hammer broke! You can't use it!
BtlSysMsg_NoCoin	You don't have enough coins!
BtlSysMsg_NoMove_water	It's too drained to attack!
BtlSysMsg_NoMove_ice	It's too dizzy to attack!
BtlSysMsg_NoMove_HPC	Hole Punch has fallen! It can't move!
BtlCaption_PlayerAttack	{c[ffffff]}\x0e\0\x01\x02\x02\0Mario's turn!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MagicAttack	{c[ffffff]}\x0e\0\x01\x02\x02\0Mario's turn!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_EnemyAttack	{c[ffffff]}\x0e\0\x01\x02\x02\0Enemy's turn!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MoveRing	{c[eed538]}\x0e\0\x01\x02\x02\0Line them up!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MoveRingKinopio	\x0e\0\x01\x02\x02\0{c[00ff00]}Line up the {c[ffffff]}Toads{c[00ff00]}!{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_Timeup	{c[eed538]}\x0e\0\x01\x02\x02\0Time's up...\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_PuzzleFinish	{c[eed538]}\x0e\0\x01\x02\x02\0Lineup locked!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_PuzzleUnused	{c[eed538]}\x0e\0\x01\x02\x02\0{c[ff2e11]}Now! {c[eed538]}Finish them off!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_PuzzleSuccess	{c[eed538]}\x0e\0\x01\x02\x02\0Great Lineup!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_PuzzleGreatSuccess	{c[eed538]}\x0e\0\x01\x02\x02\0{c[ff2e11]}PERFECT {c[eed538]}Lineup!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_PuzzleSuccessPowUp	\x0e\0\x01\x02\x02\0{c[e7e7e7]}Attack power {c[404040]}{c[ff2e11]}up!{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_PuzzleAttackSuccess	{c[00ff00]}\x0e\0\x01\x02\x02\0Yes!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_PuzzleAttackMiss	{c[00ff00]}\x0e\0\x01\x02\x02\0Nope!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_QuizPass	{c[00ff00]}\x0e\0\x01\x02\x02\0Pass!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_QuizPuzzleAttack	{c[00ff00]}\x0e\0\x01\x02\x02\0The Ringer\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_QuizTimeAttack	{c[00ff00]}\x0e\0\x01\x02\x02\0Speed Rings\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_VSBattle	{c[00ff00]}\x0e\0\x01\x02\x02\0Vs. Battle\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_QuizQ1	\x0e\0\x01\x02\x02\0{c[00ff00]}Puzzle #{c[ffffff]}\x0e\x03\0\x04\0\0\0\0{c[00ff00]}{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_QuizAnswerDisplay	\x0e\0\x01\x02\x02\0{c[e7e7e7]}Here's the answer!{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_QuizGameOver	\x0e\0\x01\x02\x02\0{c[cf2c12]}Game Over{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_QuizAllClear	{c[00ff00]}\x0e\0\x01\x02\x02\0All Clear!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_QuizTimeup	\x0e\0\x01\x02\x02\0{c[00ff00]}Time's Up!{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_QuizTimeAttackStart	{s[120]}\x0e\0\x01\x02\x02\0{c[cf2c12]}Start!{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlCaption_QuizTimeAttackEnd	{c[cf2c12]}\x0e\0\x01\x02\x02\0Trial Finished\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_ConnectArrow	\x0e\0\x01\x02\x02\0{c[eed538]}Use the {c[8aae3b]}arrows{c[eed538]}！{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_RushStart	{c[ffffff]}\x0e\0\x01\x02\x02\0Rush time!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_RushTimeOut	{c[e7e7e7]}\x0e\0\x01\x02\x02\0Rush time's up\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_WaveBattle	\x0e\0\x01\x02\x05\0{s[075]}{c[d6b918]}Wave Battle!{c[404040]}{s[100]}\x0e\0\x01\x02\xff\xff
BtlCaption_NextWave	\x0e\0\x01\x02\x05\0{s[075]}{c[d6b918]}Next wave!{c[404040]}{s[100]}\x0e\0\x01\x02\xff\xff
BtlCaption_LastWave	\x0e\0\x01\x02\x05\0{s[075]}{c[d6b918]}Last wave!{c[404040]}{s[100]}\x0e\0\x01\x02\xff\xff
BtlCaption_MagicHand	{c[ffffff]}\x0e\0\x01\x02\x02\0{s[150]}Magic Circle On!{s[100]}\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MagicEarth	{c[ffffff]}\x0e\0\x01\x02\x02\0{s[150]}Magic Circle On!{s[100]}\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MagicWater	{c[ffffff]}\x0e\0\x01\x02\x02\0{s[150]}Magic Circle On!{s[100]}\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MagicFire	{c[ffffff]}\x0e\0\x01\x02\x02\0{s[150]}Magic Circle On!{s[100]}\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_MagicIce	{c[ffffff]}\x0e\0\x01\x02\x02\0{s[150]}Magic Circle On!{s[100]}\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_JunkenStart	{s[130]}\x0e\0\x01\x02\x02\0{c[ffffff]}Rock Paper Scissors On!{c[404040]}\x0e\0\x01\x02\xff\xff{s[100]}
BtlCaption_JunkenStart2_1	\x0e\0\x01\x02\x02\0{c[e7e7e7]}Go on {c[404040]}{c[d6b918]}Scissors{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_JunkenStart2_2	{c[e7e7e7]}\x0e\0\x01\x02\x02\0Shake the controller!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_JunkenStart2_3	{c[e7e7e7]}\x0e\0\x01\x02\x02\0Press A!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_JunkenJun	{c[404040]}\x0e\0\x01\x02\x05\0Rock\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_JunkenKen	{c[404040]}\x0e\0\x01\x02\x05\0Paper\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_JunkenPon	{c[d6b918]}\x0e\0\x01\x02\x05\0Scissors!\x0e\0\x01\x02\xff\xff{c[404040]}
BtlCaption_Ready	\x0e\0\x01\x02\x05\0{c[cf2c12]}Ready?{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_Go	\x0e\0\x01\x02\x05\0{c[cf2c12]}GO!{c[404040]}\x0e\0\x01\x02\xff\xff
BtlCaption_RescueMagicRing	\x0e\0\x01\x02\x05\0{c[cf2c12]}Restore the Magic Circle!{c[404040]}\x0e\0\x01\x02\xff\xff
BtlAC_A	{c[404040]}{c[404040]}
BtlPanel_On	\x0e\0\x01\x02\x03\0ＯＮ\x0e\0\x01\x02\xff\xff
Btl_PuzzleEndSelect	Yes\nNo
Btl_PuzzleEnd	\x0e\x02\0\0All done?\x0f\x02\0\x0e\x01\x040&\0B\0t\0l\0_\0P\0u\0z\0z\0l\0e\0E\0n\0d\0S\0e\0l\0e\0c\0t\0\x01\0\0\0\0\0\0\0
Btl_PuzzlePassSelect	Pass\nContinue
Btl_PuzzlePass	\x0e\x02\0\0Use pass?\x0f\x02\0\n\x0e\x02\0\0(Time will decrease by \x0e\x03\0\x04\0\0\0\0 seconds.)\x0f\x02\0\x0e\x01\x042(\0B\0t\0l\0_\0P\0u\0z\0z\0l\0e\0P\0a\0s\0s\0S\0e\0l\0e\0c\0t\0\x01\0\0\0\0\0\0\0
Btl_PuzzleExitSelect	Yes\nNo
Btl_PuzzleExit	\x0e\x02\0\0End your training?\x0f\x02\0\x0e\x01\x042(\0B\0t\0l\0_\0P\0u\0z\0z\0l\0e\0E\0x\0i\0t\0S\0e\0l\0e\0c\0t\0\x01\0\0\0\0\0\0\0
Btl_RainbowSelect	Which Vellumental's power\nwill you use? \x0e\x01\x044*\0B\0t\0l\0_\0R\0a\0i\0n\0b\0o\0w\0S\0e\0l\0e\0c\0t\0L\0i\0s\0t\0\xff\xff\xff\xff\0\0\0\0
Btl_RainbowSelectList	Earth Vellumental\nWater Vellumental\nFire Vellumental\nIce Vellumental
Btl_NoTouchPad_00	Marioooo! Wake uuuuuuup!
Btl_NoTouchPad_01	OK! Line up the arrows!
Btl_NoTouchPad_Junken_00	Mario! What happened?!\nDid you fall asleep or something?
Btl_NoTouchPad_Junken_01	Waaah! Get me out of here!
BtlGodHand_Help_Rush	{s[080]}\x0e\x01\x03\x04\0\0\0\0Hit them over and over\nto deal a ton of damage!\x0e\x01\x01\0{s[100]}
BtlGodHand_Sys_Grasp	{s[080]}\x0e\x02\0\0Grab tight with  to reopen!\x0f\x02\0{s[100]}
BtlAmulet_Startup_TimeUp	\x0e\0\x01\x02\x03\0＋\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff
BtlAmulet_Startup_AntiDamage	\x0e\0\x01\x02\x03\0Guard plus!\x0e\0\x01\x02\xff\xff
BtlAmulet_Startup_HpUp	\x0e\0\x01\x02\x03\0＋\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff
BtlAmulet_Startup_Party	\x0e\0\x01\x02\x03\0Attack plus!\x0e\0\x01\x02\xff\xff
BtlUI_CheerSlot_Coin	\x0e\0\x01\x02\x02\0\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff
BtlUI_CheerSlot_Coin_Nothing	{c[cf2c12]}\x0e\0\x01\x02\x02\0\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff{c[404040]}
BtlUI_AddTime_Coin	\x0e\0\x01\x02\x02\0\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff
BtlUI_AddTime_Coin_Nothing	{c[cf2c12]}\x0e\0\x01\x02\x02\0\x0e\x03\0\x04\0\0\0\0\x0e\0\x01\x02\xff\xff{c[404040]}
BtlUI_AddTime_Time	\x0e\0\x01\x02\x02\0{c[cf2c12]}\x0e\x03\0\x04\0\0\0\0.0{c[404040]}\x0e\0\x01\x02\xff\xff
BuddyHint_1	What do you think would happen if\nyou hopped on that shell? Maybe\nit'll hit all the enemies behind it?
BuddyHint_2	Those flying enemies might be too\nhigh to reach with your hammer...
BuddyHint_3	Argh! I hate sharp things. That spike\nwill pierce right through your regular\nboots...and feet!
BuddyHint_4	Those boney guys are so creepy...\nWhat if we beat one, but it comes\nright back on the next turn? Aah!\nThat sounds like a horror movie!
BuddyHint_5	That enemy looks tough... It might\neven be tough enough to repel\nfireballs and stuff! {s[075]}Hey, that rhymed!{s[100]}
BuddyHint_6	If the hammer doesn't work, why not\ntry stomping on it with your boots?
BuddyHint_7	They can vanish?! What a pain!\nGood thing you memorized which\npanels they were on...right, Mario?
BuddyHint_8	Your hammer and boots both have\ndifferent attack ranges. Choose the\nright attack for the right enemy!
BuddyHint_101	Don't leave those angry enemies\nalone for too long. They might hit\nyou with super-strong attacks!
BuddyHint_103	Careful, Mario! Your HP is low!\nThis would be a great time to use\na Mushroom, don't you think?
BuddyHint_104	Look who's here, Mario! Your friends\nwill join you in battles too. They've\ngot your back! Go, team!
BuddyHint_1001	Better keep an eye on that timer.\nIf the clock runs out, the board\nwill lock in place!
BuddyHint_1002	Looks like you can only move the\nrings around a set number of times\nper turn. Think carefully!
BuddyHint_1003	Move the rings around to arrange\nthe enemies. That's one of the\nbasics of battling!
BuddyHint_2001	Surprise! If you need a hint during\nbattles, just press  to call me.\nI promise to do my best!
BuddyHint_2002	You can press  to have Toads join\nin and cheer you on!\x0e\0\x04\0If you hold down , you'll spend\nmore coins and the effect will be\neven stronger! Let's go, Toads!
BuddyHint_2003	If running away seems like your\nbest option, it looks like you just\nneed to hold down !\x0e\0\x04\0It won't always work, though, and\nsome battles won't let you run away\nat all. Try not to depend on it!
BuddyHint_2004	Don't forget to use items! Some of\nthem can be surprisingly powerful!
BuddyHint_2005	If you aren't able to line the enemies\nup just right, try using an item. Some\nof them might help out a lot!
BuddyHint_2006	Uh-oh. Looks like you can't run\naway this time! We don't have a\nchoice...so let's get 'em!
battle_Attack.msbt
BtlPlayerAttack_Boots	{s[065]}\x0e\0\x01\x02\x02\0Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraBoots	{s[065]}\x0e\0\x01\x02\x02\0Shiny Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraKiraBoots	{s[065]}\x0e\0\x01\x02\x02\0Flashy Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_LegendBoots	{s[065]}\x0e\0\x01\x02\x02\0Legendary Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_GoldBoots	{s[065]}\x0e\0\x01\x02\x02\0Gold Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_IronBoots	{s[065]}\x0e\0\x01\x02\x02\0Iron Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraIronBoots	{s[065]}\x0e\0\x01\x02\x02\0Shiny Iron Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraKiraIronBoots	{s[065]}\x0e\0\x01\x02\x02\0Flashy Iron Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_LegendIronBoots	{s[065]}\x0e\0\x01\x02\x02\0Legendary Iron Boots\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_Hammer	{s[065]}\x0e\0\x01\x02\x02\0Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraHammer	{s[065]}\x0e\0\x01\x02\x02\0Shiny Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraKiraHammer	{s[065]}\x0e\0\x01\x02\x02\0Flashy Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_LegendHammer	{s[065]}\x0e\0\x01\x02\x02\0Legendary Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_GoldHammer	{s[065]}\x0e\0\x01\x02\x02\0Gold Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_PoiHammer	{s[065]}\x0e\0\x01\x02\x02\0Hurlhammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraPoiHammer	{s[065]}\x0e\0\x01\x02\x02\0Shiny Hurlhammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_FireHammer	{s[065]}\x0e\0\x01\x02\x02\0Fire Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_IceHammer	{s[065]}\x0e\0\x01\x02\x02\0Ice Hammer\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_Kinoko	{s[065]}\x0e\0\x01\x02\x02\0Mushroom\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraKinoko	{s[065]}\x0e\0\x01\x02\x02\0Shiny Mushroom\x0e\0\x01\x02\xff\xff{s[100]}
BtlPlayerAttack_KiraKiraKinoko	{s[065]}\x0e\0\x01\x02\x02\0Flashy Mushroom\x0e\0\x01\x02\xff\xff{s[100]}
