announce.msbt
AnnounceEmpty	暂无通知
AnnBody_25	已达成奖杯“擂台冠军”的条件。请前往大博物馆领取奖杯。
AnnHead_26	拼板训练大师条件达成
AnnBody_26	已达成奖杯“拼板训练大师”的条件。请前往大博物馆领取奖杯。
AnnHead_27	限时训练大师条件达成
AnnBody_27	已达成奖杯“限时训练大师”的条件。请前往大博物馆领取奖杯。
AnnHead_28	泛舟达人条件达成
AnnBody_28	已达成奖杯“泛舟达人”的条件。请前往大博物馆领取奖杯。
AnnHead_29	手里剑高手条件达成
AnnBody_29	已达成奖杯“手里剑高手”的条件。请前往大博物馆领取奖杯。
AnnHead_30	天空的问答王条件达成
AnnBody_30	已达成奖杯“天空的问答王”的条件。请前往大博物馆领取奖杯。
AnnHead_31	艺术收藏家条件达成
AnnBody_31	已达成奖杯“艺术收藏家”的条件。请前往大博物馆领取奖杯。
AnnHead_32	折纸奇诺比奥收藏家条件达成
AnnBody_32	已达成奖杯“折纸奇诺比奥收藏家”的条件。请前往大博物馆领取奖杯。
AnnHead_33	宝物模型收藏家条件达成
AnnBody_33	已达成奖杯“宝物模型收藏家”的条件。请前往大博物馆领取奖杯。
AnnHead_34	折纸角色收藏家条件达成
AnnBody_34	已达成奖杯“折纸角色收藏家”的条件。请前往大博物馆领取奖杯。
AnnHead_35	唱片收藏家条件达成
AnnBody_35	已达成奖杯“唱片收藏家”的条件。请前往大博物馆领取奖杯。
AnnHead_37	鱼拓的展示场所
AnnBody_37	你钓上来的鱼所印制的鱼拓将会在大博物馆里展览。
AnnHead_38	大博物馆收藏
AnnBody_38	大博物馆中一部分收藏的区域增加了。以完成大博物馆为目标，继续冒险吧！
battle.msbt
BtlGuide_CmdInfo	{[0001|1700]}{[0200]}{size[3200]}行动{size[6400]}\x0f\x02\0{[0001|ffff]}
BtlGuide_RingInfo	{[0001|1700]}{[0200]}{size[3200]}操作圆环{size[6400]}\x0f\x02\0{[0001|ffff]}
BtlGuide_RingInfoValue	{[0001|1900]}{[0304]}×{[0300|00000000]}\x0f\x03\x04{[0001|ffff]}
BtlGuide_MeterButton_Time	{size[4100]} 使用金币延长时间{size[6400]}
BtlGuide_MeterButton_Hint	{size[4100]} 提示{size[6400]}
BtlGuide_MeterButton_LaboPass	{size[4100]} 跳过{size[6400]}
BtlGuide_MeterButton_QuizEnd	{size[5000]} 结束{size[6400]}
BtlGuide_MeterButton_Cheer	{size[4100]} 助威{size[6400]}
BtlGuide_MeterButton_Escape	{size[4100]} 逃跑{size[6400]}
BtlGuide_MeterButton_LaboExit	{size[4100]} 退出{size[6400]}
BtlGuide_MeterButton_LaboGiveUp	{size[4100]} 放弃{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Puzzle	{size[4b00]}{[0300|00000000]}↕ 选择行动　↔ 选择敌人　 视角　 确定{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku	{size[4b00]}{[0300|00000000]}↕ 选择行动　 确定{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku2	{size[4b00]}{[0300|00000000]}↕ 选择行动　 返回　 确定{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_DecideCmd	{size[4b00]}{[0300|00000000]} 退出{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Menu_Weapon	{size[4b00]}{[0300|00000000]} 选择　 返回　 确定{size[6400]}
BtlGuide_KeyGuideBar_GodHandOperation	{size[4b00]}{[0300|00000000]}{size[6400]}{size[6400]}{size[6400]}{size[4b00]} 倾斜操作神祇之手　 重置手的位置{size[6400]}
BtlGuide_KeyGuideBar_GodHandOperation_Stick	{size[4b00]}{[0300|00000000]} 操作神祇之手{size[6400]}
BtlGuide_KeyGuideBar_RingOperation	{size[4b00]}{[0300|00000000]} 切换旋转／滑动　 选择圆环　 视角　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation2	{size[4b00]}{[0300|00000000]} 切换旋转／滑动　 选择圆环　 视角　 返回　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide	{size[4b00]}{[0300|00000000]} 操作圆环　 视角　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide2	{size[4b00]}{[0300|00000000]} 操作圆环　 视角　 返回　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera	{size[4b00]}{[0300|00000000]} 切换旋转／滑动　 选择圆环　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera2	{size[4b00]}{[0300|00000000]} 切换旋转／滑动　 选择圆环　 返回　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperationSecond	{size[4b00]}{[0300|00000000]} 操作圆环　 视角　 退出　 确定{size[6400]}
BtlGuide_KeyGuideBar_RingOperationSecond_NoCamera	{size[4b00]}{[0300|00000000]} 退出   确定{size[6400]}
BtlGuide_KeyGuideBar_Variable_Help	 说明　
BtlGuide_Skip	{size[4b00]} 跳过{size[6400]}
BtlCmdList_Enter	{size[3200]}{[0001|1700]}确定行动{[0001|ffff]}{size[6400]} 
BtlCmdList_Confirm	{size[3200]}{[0001|1700]}开始战斗{[0001|ffff]}{size[6400]} 
BtlCmdSwitch_L	{size[4b00]}{size[6400]}
BtlCmdSwitch_R	{size[4b00]}{size[6400]}
BtlCmdSwitch_Weapon	{size[3200]}{[0001|1700]}武器{[0001|ffff]}{size[6400]}
BtlCmdSwitch_Item	{size[3200]}{[0001|1700]}道具{[0001|ffff]}{size[6400]}
BtlCmdList_None	{[0001|1000]}未持有{[0001|ffff]}
BtlCmdList_Equip	{size[4b00]} 装备{size[6400]}
BtlResult_Title	{size[4100]}{[0001|1a00]}战斗奖励！{[0001|ffff]}{size[6400]}
BtlResult_Item01	{size[4b00]}过关奖励{size[6400]}
BtlResult_Item02	{size[4b00]}拼板成功奖励{size[6400]}
BtlResult_Item03	{size[4b00]}无伤奖励{size[6400]}
BtlResult_Item04	{size[4b00]}以神祇之手结束战斗{size[6400]}
BtlResult_Item05	{size[4b00]}连续战斗奖励{size[6400]}
BtlResult_Item06	{size[4b00]}战胜头目奖励{size[6400]}
BtlResult_Item00	合计
BtlResult_ItemValue	{size[3c00]}{[0001|1700]}{[0300|00000000]}{[0001|ffff]}{size[6400]}
BtlEscape_Title	{size[4b00]}{[0001|1700]}逃跑{[0001|ffff]}{size[6400]}
BtlUI_BossHP	{size[4600]}{[0001|1900]}头目体力{[0001|ffff]}{size[6400]}
BtlUI_QuizAnswer_A	{size[4b00]}{color[cf2c12ff]}{[0001|1900]}Ａ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_B	{size[4b00]}{color[0677ebff]}{[0001|1900]}Ｂ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_C	{size[4b00]}{color[2e7611ff]}{[0001|1900]}Ｃ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_D	{size[4b00]}{color[d6b918ff]}{[0001|1900]}Ｄ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlCombo_02	{size[4100]}{[0001|1a00]}{color[2e7611ff]}良好{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCombo_03	{size[4100]}{[0001|1a00]}{color[cf2c12ff]}非常好{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCombo_04	{size[4100]}{[0001|1a00]}{color[d55eccff]}太棒了{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlGuard_01	{size[4100]}{[0001|1a00]}防御{[0001|ffff]}{size[6400]}
BtlLabo_Mode_01	{color[00ff00ff]}{[0001|1700]}拼板训练{[0001|ffff]}{color[404040ff]}
BtlLabo_Mode_02	{color[00ff00ff]}{[0001|1700]}限时训练{[0001|ffff]}{color[404040ff]}
BtlLabo_PlayNum	{color[00ff00ff]}{[0001|1700]}第{color[ffffffff]}{[0300|00000000]}{color[00ff00ff]}题{[0001|ffff]}{color[404040ff]}
BtlSysMsg_AllMiss	攻击没有击中！
BtlSysMsg_AllFar	超出攻击范围！
BtlSysMsg_Broken	已经破坏掉了！
BtlSysMsg_NoMoveIce	被冻住了，无法行动！
BtlSysMsg_NoMoveStan	脚下不稳，无法行动！
BtlSysMsg_NoMoveCrucifixion	被订书钉阻挡，无法行动！
BtlSysMsg_NoMoveRubber	被橡皮筋绑住，无法行动！
BtlSysMsg_NoMoveHole	掉进洞里了，无法行动！
BtlSysMsg_NoMoveTurnOver	被翻过来了，无法行动！
BtlSysMsg_WeaponBreak	{color[cf2c12ff]}{[0300|00000000]}{color[404040ff]}坏掉了！
BtlSysMsg_WeaponBreakNoBoots	靴子坏掉了，无法使用！
BtlSysMsg_WeaponBreakNoHammer	锤子坏掉了，无法使用！
BtlSysMsg_NoCoin	金币不足！
BtlSysMsg_NoMove_water	水神祇虚弱无力，无法行动！
BtlSysMsg_NoMove_ice	冰神祇进入眩晕状态了！
BtlSysMsg_NoMove_HPC	打孔机被翻过来了，无法行动！
BtlCaption_PlayerAttack	{color[ffffffff]}{[0001|1700]}马力欧的行动！{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicAttack	{color[ffffffff]}{[0001|1700]}马力欧的行动！{[0001|ffff]}{color[404040ff]}
BtlCaption_EnemyAttack	{color[ffffffff]}{[0001|1700]}敌人的行动！{[0001|ffff]}{color[404040ff]}
BtlCaption_MoveRing	{color[eed538ff]}{[0001|1700]}排列敌人吧！{[0001|ffff]}{color[404040ff]}
BtlCaption_MoveRingKinopio	{[0001|1700]}{color[00ff00ff]}排列{color[404040ff]}{color[ffffffff]}奇诺比奥{color[404040ff]}{color[00ff00ff]}吧！{color[404040ff]}{[0001|ffff]}
BtlCaption_Timeup	{color[eed538ff]}{[0001|1700]}时间到……{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleFinish	{color[eed538ff]}{[0001|1700]}排列结束！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleUnused	{color[eed538ff]}{[0001|1700]}{color[ff2e11ff]}好机会！　{color[eed538ff]}敌人所剩无几{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleSuccess	{color[eed538ff]}{[0001|1700]}排列成功！！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleGreatSuccess	{color[eed538ff]}{[0001|1700]}排列{color[ff2e11ff]}非常{color[eed538ff]}成功！！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleSuccessPowUp	{[0001|1700]}{color[e7e7e7ff]}攻击力{color[404040ff]}{color[ff2e11ff]}上升！{color[404040ff]}{[0001|ffff]}
BtlCaption_PuzzleAttackSuccess	{color[00ff00ff]}{[0001|1700]}排列成功！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleAttackMiss	{color[00ff00ff]}{[0001|1700]}排列失败！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizPass	{color[00ff00ff]}{[0001|1700]}跳过！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizPuzzleAttack	{color[00ff00ff]}{[0001|1700]}拼板训练{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizTimeAttack	{color[00ff00ff]}{[0001|1700]}限时训练{[0001|ffff]}{color[404040ff]}
BtlCaption_VSBattle	{color[00ff00ff]}{[0001|1700]}对决重温{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizQ1	{[0001|1700]}{color[00ff00ff]}第{color[ffffffff]}{[0300|00000000]}{color[00ff00ff]}题{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizAnswerDisplay	{color[e7e7e7ff]}{[0001|1700]}正确答案是……？{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizGameOver	{[0001|1700]}{color[cf2c12ff]}游戏结束{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizAllClear	{color[00ff00ff]}{[0001|1700]}全部过关！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizTimeup	{[0001|1700]}{color[00ff00ff]}时间到{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizTimeAttackStart	{size[7800]}{[0001|1700]}{color[cf2c12ff]}开始！{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCaption_QuizTimeAttackEnd	{color[cf2c12ff]}{[0001|1700]}挑战结束{[0001|ffff]}{color[404040ff]}
BtlCaption_ConnectArrow	{[0001|1700]}{color[eed538ff]}将{color[404040ff]}{color[8aae3bff]}箭头{color[404040ff]}{color[eed538ff]}连起来吧！{color[404040ff]}{[0001|ffff]}
BtlCaption_RushStart	{color[ffffffff]}{[0001|1700]}猛攻时间！{[0001|ffff]}{color[404040ff]}
BtlCaption_RushTimeOut	{color[e7e7e7ff]}{[0001|1700]}猛攻时间结束{[0001|ffff]}{color[404040ff]}
BtlCaption_WaveBattle	{[0001|1a00]}{size[4b00]}{color[d6b918ff]}连续战斗！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_NextWave	{[0001|1a00]}{size[4b00]}{color[d6b918ff]}下一波敌人！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_LastWave	{[0001|1a00]}{size[4b00]}{color[d6b918ff]}最后一波敌人！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_MagicHand	{color[ffffffff]}{[0001|1700]}{size[9600]}魔法阵发动！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicEarth	{color[ffffffff]}{[0001|1700]}{size[9600]}魔法阵发动！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicWater	{color[ffffffff]}{[0001|1700]}{size[9600]}魔法阵发动！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicFire	{color[ffffffff]}{[0001|1700]}{size[9600]}魔法阵发动！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicIce	{color[ffffffff]}{[0001|1700]}{size[9600]}魔法阵发动！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenStart	{size[8200]}{[0001|1700]}{color[ffffffff]}猜拳发动！{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCaption_JunkenStart2_1	{[0001|1700]}{color[e7e7e7ff]}在说到{color[404040ff]}{color[d6b918ff]}布{color[404040ff]}{color[e7e7e7ff]}的时候{color[404040ff]}{[0001|ffff]}
BtlCaption_JunkenStart2_2	{color[e7e7e7ff]}{[0001|1700]}挥动手柄！{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenStart2_3	{color[e7e7e7ff]}{[0001|1700]}按下Ａ键！{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenJun	{[0001|1a00]}石头{[0001|ffff]}
BtlCaption_JunkenKen	{[0001|1a00]}剪子{[0001|ffff]}
BtlCaption_JunkenPon	{color[d6b918ff]}{[0001|1a00]}布{[0001|ffff]}{color[404040ff]}
BtlCaption_Ready	{[0001|1a00]}{color[cf2c12ff]}预备{color[404040ff]}{[0001|ffff]}
BtlCaption_Go	{[0001|1a00]}{color[cf2c12ff]}开始！{color[404040ff]}{[0001|ffff]}
BtlCaption_RescueMagicRing	{[0001|1a00]}{color[cf2c12ff]}将魔法阵恢复原状！{color[404040ff]}{[0001|ffff]}
BtlAC_A	
BtlPanel_On	{[0001|1800]}启动{[0001|ffff]}
Btl_PuzzleEndSelect	是\n否
Btl_PuzzleEnd	{[0200]}确定要结束吗？\x0f\x02\0{[0104|2600420074006c005f00500075007a007a006c00650045006e006400530065006c006500630074000100000000000000]}
Btl_PuzzlePassSelect	跳过\n继续
Btl_PuzzlePass	{[0200]}确定要跳过吗？\x0f\x02\0\n{[0200]}（时间会减少{[0300|00000000]}秒）\x0f\x02\0{[0104|2800420074006c005f00500075007a007a006c0065005000610073007300530065006c006500630074000100000000000000]}
Btl_PuzzleExitSelect	是\n否
Btl_PuzzleExit	{[0200]}确定要结束训练吗？\x0f\x02\0{[0104|2800420074006c005f00500075007a007a006c0065004500780069007400530065006c006500630074000100000000000000]}
Btl_RainbowSelect	要变成哪位四方神祇？{[0104|2a00420074006c005f005200610069006e0062006f007700530065006c006500630074004c00690073007400ffffffff00000000]}
Btl_RainbowSelectList	地神祇\n水神祇\n火神祇\n冰神祇
Btl_NoTouchPad_00	马力欧——快起来～！
Btl_NoTouchPad_01	好了！\n把箭头排列起来吧——！
Btl_NoTouchPad_Junken_00	喂——马力欧——\n难道说……你睡着了吗～？
Btl_NoTouchPad_Junken_01	哇——！\n快点帮我从这里出去～！
BtlGodHand_Help_Rush	{size[5000]}{[0103|00000000]}连续敲打\n造成伤害！{[0101]}{size[6400]}
BtlGodHand_Sys_Grasp	{size[5000]}{[0200]} 握紧之后重新开始\x0f\x02\0{size[6400]}
BtlAmulet_Startup_TimeUp	{[0001|1800]}＋{[0300|00000000]}{[0001|ffff]}
BtlAmulet_Startup_AntiDamage	{[0001|1800]}防御上升！{[0001|ffff]}
BtlAmulet_Startup_HpUp	{[0001|1800]}＋{[0300|00000000]}{[0001|ffff]}
BtlAmulet_Startup_Party	{[0001|1800]}攻击上升！{[0001|ffff]}
BtlUI_CheerSlot_Coin	{[0001|1700]}{[0300|00000000]}{[0001|ffff]}
BtlUI_CheerSlot_Coin_Nothing	{color[cf2c12ff]}{[0001|1700]}{[0300|00000000]}{[0001|ffff]}{color[404040ff]}
BtlUI_AddTime_Coin	{[0001|1700]}{[0300|00000000]}{[0001|ffff]}
BtlUI_AddTime_Coin_Nothing	{color[cf2c12ff]}{[0001|1700]}{[0300|00000000]}{[0001|ffff]}{color[404040ff]}
BtlUI_AddTime_Time	{[0001|1700]}{color[cf2c12ff]}{[0300|00000000]}.０{color[404040ff]}{[0001|ffff]}
BuddyHint_1	那个龟壳，\n要是踩上去会怎么样呢？\n会撞向后面的敌人吗？
BuddyHint_2	飞在空中的敌人，\n用锤子是打不到的吧。
BuddyHint_3	刺刺的真是讨厌呢。\n如果穿着柔软的靴子，\n踩上去一定很痛！
BuddyHint_4	一身的骨头，好可怕……\n如果他被打倒之后，下一回合\n还会复活的话，那就太恐怖了……
BuddyHint_5	那个敌人看起来十分坚硬。\n好像坚硬到能弹开\n火球的攻击一样。
BuddyHint_6	如果用锤子攻击没有效果，\n用靴子踩踏就行了吧？
BuddyHint_7	虽然狡猾的敌人把身体隐藏起来了，\n但是马力欧一定还记得\n他们的位置吧？
BuddyHint_8	锤子和靴子的攻击范围\n好像是不一样的。\n看准敌人的位置再选择武器吧。
BuddyHint_101	如果不快点处理掉生气的敌人，\n他们好像会使出很强大的攻击。
BuddyHint_103	马力欧的体力减少了好多！\n还是使用蘑菇比较好！
BuddyHint_104	战斗的时候\n有同伴在身边\n真是安心！
BuddyHint_1001	要注意剩余时间！\n如果不能在“时间到”前排列整齐，\n就算作失败了……
BuddyHint_1002	操作圆环的次数也很重要。\n如果不注意，很容易\n不小心把次数用光。
BuddyHint_1003	移动圆环，\n将敌人排列整齐。\n这是战斗的基础！
BuddyHint_2001	锵锵——！\n在战斗时也可以按下呼唤我，\n我会努力给出提示的！
BuddyHint_2002	只要按下，奇诺比奥就会\n为我们助威！{[0004]}按的时间越久，花费的金币就越多，\n但是助威的效果也会上升！\n很厉害吧！？
BuddyHint_2003	好像只要长按\n就可以从敌人面前逃跑！{[0004]}但是，逃跑有时也会跌倒，\n面对一些敌人时也会无法逃跑。\n注意不要过度使用哦。
BuddyHint_2004	你用过道具了吗？\n有一些道具的威力\n强大得出乎意料。
BuddyHint_2005	如果排列敌人失败的话，\n直接使用道具说不定是个好办法。
BuddyHint_2006	好像逃不掉！\n这下子大概只能战斗了！
battle_Attack.msbt
BtlPlayerAttack_Boots	{size[4100]}{[0001|1700]}靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraBoots	{size[4100]}{[0001|1700]}闪亮靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraBoots	{size[4100]}{[0001|1700]}闪亮亮靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_LegendBoots	{size[4100]}{[0001|1700]}传说的靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_GoldBoots	{size[4100]}{[0001|1700]}黄金靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_IronBoots	{size[4100]}{[0001|1700]}钢铁靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraIronBoots	{size[4100]}{[0001|1700]}闪亮钢铁靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraIronBoots	{size[4100]}{[0001|1700]}闪亮亮钢铁靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_LegendIronBoots	{size[4100]}{[0001|1700]}传说的钢铁靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_Hammer	{size[4100]}{[0001|1700]}锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraHammer	{size[4100]}{[0001|1700]}闪亮锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraHammer	{size[4100]}{[0001|1700]}闪亮亮锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_LegendHammer	{size[4100]}{[0001|1700]}传说的锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_GoldHammer	{size[4100]}{[0001|1700]}黄金锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_PoiHammer	{size[4100]}{[0001|1700]}丢丢锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraPoiHammer	{size[4100]}{[0001|1700]}闪亮丢丢锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_FireHammer	{size[4100]}{[0001|1700]}火焰锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_IceHammer	{size[4100]}{[0001|1700]}冰冻锤子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_Kinoko	{size[4100]}{[0001|1700]}蘑菇{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKinoko	{size[4100]}{[0001|1700]}闪亮蘑菇{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraKinoko	{size[4100]}{[0001|1700]}闪亮亮蘑菇{[0001|ffff]}{size[6400]}
BtlPlayerAttack_PowBlock	{size[4100]}{[0001|1700]}ＰＯＷ砖块{[0001|ffff]}{size[6400]}
BtlPlayerAttack_FireFlower	{size[4100]}{[0001|1700]}火之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraFireFlower	{size[4100]}{[0001|1700]}闪亮火之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_IceFlower	{size[4100]}{[0001|1700]}冰之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraIceFlower	{size[4100]}{[0001|1700]}闪亮冰之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_Tail	{size[4100]}{[0001|1700]}尾巴{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraTail	{size[4100]}{[0001|1700]}闪亮尾巴{[0001|ffff]}{size[6400]}
BtlMagic_Hand	{size[4100]}{[0001|1700]}神祇之手{[0001|ffff]}{size[6400]}
BtlMagic_Earth	{size[4100]}{[0001|1700]}地神祇{[0001|ffff]}{size[6400]}
BtlMagic_Water	{size[4100]}{[0001|1700]}水神祇{[0001|ffff]}{size[6400]}
BtlMagic_Fire	{size[4100]}{[0001|1700]}火神祇{[0001|ffff]}{size[6400]}
BtlMagic_Ice	{size[4100]}{[0001|1700]}冰神祇{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Breath	{size[4100]}{[0001|1700]}沙尘吐息{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Tail	{size[4100]}{[0001|1700]}摆尾猛击{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Earthquake_01	{size[4100]}{[0001|1700]}地震{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Earthquake_02	{size[4100]}{[0001|1700]}大地震{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Push	{size[4100]}{[0001|1700]}吹飞{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Heal	{size[4100]}{[0001|1700]}回复{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_KING_Breath	{size[4100]}{[0001|1700]}沙尘吐息{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_KING_Earthquake_02	{size[4100]}{[0001|1700]}大地震{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_WaterGun	{size[4100]}{[0001|1700]}高压喷射{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_WingBite	{size[4100]}{[0001|1700]}腾空撕咬{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Bite	{size[4100]}{[0001|1700]}撕咬{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tail	{size[4100]}{[0001|1700]}摆尾猛击{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami	{size[4100]}{[0001|1700]}大浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami_2nd	{size[4100]}{[0001|1700]}巨浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami_3rd	{size[4100]}{[0001|1700]}滔天巨浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami_4th	{size[4100]}{[0001|1700]}末日巨浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Whirlpools	{size[4100]}{[0001|1700]}召唤漩涡{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_WhirlpoolsAttack	{size[4100]}{[0001|1700]}急流冲刷{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Wing	{size[4100]}{[0001|1700]}翅膀拍击{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_KING_Tsunami	{size[4100]}{[0001|1700]}大浪{[0001|ffff]}{size[6400]}
