another_name.dat
msg_another_name_00	卡洛斯冠军[VAR 0102(0000)]
msg_another_name_44	被称作天才的[VAR 0102(0000)]
msg_another_name_45	曾经浑身肌肉的[VAR 0102(0000)]
msg_another_name_46	阿罗拉冠军[VAR 0102(0000)]
msg_another_name_47	皇家大师[VAR 0102(0000)]
msg_another_name_48	对战树赢家[VAR 0102(0000)]
msg_another_name_49	对战树大师[VAR 0102(0000)]
msg_another_name_50	伽勒尔冠军[VAR 0102(0000)]
msg_another_name_51	对战塔大师[VAR 0102(0000)]
msg_another_name_52	级别对战大师[VAR 0102(0000)]
msg_another_name_53	肚子饿扁了的[VAR 0102(0000)]
msg_another_name_54	想睡觉的[VAR 0102(0000)]
msg_another_name_55	开始犯困的[VAR 0102(0000)]
msg_another_name_56	很早就醒来的[VAR 0102(0000)]
msg_another_name_57	盯着云看的[VAR 0102(0000)]
msg_another_name_58	在雨中哽咽的[VAR 0102(0000)]
msg_another_name_59	对打雷大呼小叫的[VAR 0102(0000)]
msg_another_name_60	在雪里打滚的[VAR 0102(0000)]
msg_another_name_61	冻得发抖的[VAR 0102(0000)]
msg_another_name_62	喉咙干渴的[VAR 0102(0000)]
msg_another_name_63	满身沙子的[VAR 0102(0000)]
msg_another_name_64	对雾感到困惑的[VAR 0102(0000)]
msg_another_name_65	命中注定的[VAR 0102(0000)]
msg_another_name_66	刚钓上来活蹦乱跳的[VAR 0102(0000)]
msg_another_name_67	喜欢咖喱的[VAR 0102(0000)]
msg_another_name_68	不怕人的[VAR 0102(0000)]
msg_another_name_69	没见过人类的[VAR 0102(0000)]
msg_another_name_70	脾气暴躁的[VAR 0102(0000)]
msg_another_name_71	脑袋空空的[VAR 0102(0000)]
msg_another_name_72	心跳不已的[VAR 0102(0000)]
msg_another_name_73	兴奋期待的[VAR 0102(0000)]
msg_another_name_74	感觉到气场的[VAR 0102(0000)]
msg_another_name_75	酷酷的[VAR 0102(0000)]
msg_another_name_76	好斗的[VAR 0102(0000)]
msg_another_name_77	在发呆的[VAR 0102(0000)]
msg_another_name_78	看起来很幸福的[VAR 0102(0000)]
msg_another_name_79	气呼呼的[VAR 0102(0000)]
msg_another_name_80	笑眯眯的[VAR 0102(0000)]
msg_another_name_81	泪汪汪的[VAR 0102(0000)]
msg_another_name_82	心情好的[VAR 0102(0000)]
msg_another_name_83	心情不好的[VAR 0102(0000)]
msg_another_name_84	聪慧的[VAR 0102(0000)]
msg_another_name_85	狂暴的[VAR 0102(0000)]
msg_another_name_86	伺机而动的[VAR 0102(0000)]
msg_another_name_87	粗犷的[VAR 0102(0000)]
msg_another_name_88	温柔的[VAR 0102(0000)]
msg_another_name_89	慌慌张张的[VAR 0102(0000)]
msg_another_name_90	充满干劲的[VAR 0102(0000)]
msg_another_name_91	毫无干劲的[VAR 0102(0000)]
msg_another_name_92	嚣张跋扈的[VAR 0102(0000)]
msg_another_name_93	缺乏自信的[VAR 0102(0000)]
msg_another_name_94	朴素的[VAR 0102(0000)]
msg_another_name_95	装模作样的[VAR 0102(0000)]
msg_another_name_96	精力充沛的[VAR 0102(0000)]
msg_another_name_97	看似疲惫的[VAR 0102(0000)]
msg_another_name_98	遥远过去的[VAR 0102(0000)]
msg_another_name_99	闪亮之星[VAR 0102(0000)]
msg_another_name_100	帕底亚冠军[VAR 0102(0000)]
msg_another_name_101	大个子[VAR 0102(0000)]
msg_another_name_102	小不点[VAR 0102(0000)]
msg_another_name_103	寻宝猎人[VAR 0102(0000)]
msg_another_name_104	可靠搭档[VAR 0102(0000)]
msg_another_name_105	美食家[VAR 0102(0000)]
msg_another_name_106	千载难逢的[VAR 0102(0000)]
msg_another_name_107	曾是头目的[VAR 0102(0000)]
msg_another_name_108	最强的[VAR 0102(0000)]
msg_another_name_109	曾是宝主的[VAR 0102(0000)]
msg_another_name_110	[VAR 0100(0001)]的[VAR 0102(0000)]
appli_header.dat
appli_header_00_00	[~]
appli_header_00_01	包包
appli_header_00_02	招式学习器机
appli_header_00_03	N/A
appli_header_00_04	设置发型
appli_header_00_05	服装
appli_header_00_06	预览
appli_header_00_07	脸部
appli_header_00_08	联盟集友圈
appli_header_00_09	宝可入口站
appli_header_00_10	[VAR 01D2(0000)]：购买
appli_header_00_11	[VAR 01D2(0000)]：出售
appli_header_00_12	能力
appli_header_00_13	招式学习器机：ＬＰ交换
appli_header_00_14	搜索太晶团体战
appli_header_00_15	设置
appli_header_restaurant01	夹饱堡
appli_header_restaurant02	九八酒吧
appli_header_restaurant03	顶新鲜餐厅
appli_header_restaurant04	回转梦想家
appli_header_restaurant05	回转梦想家
appli_header_restaurant06	来来来轩
appli_header_restaurant07	飨家
appli_header_restaurant08	百廉家庭餐厅
appli_header_restaurant09	迎滨咖啡
appli_header_restaurant10	学生食堂
appli_header_restaurant11	宝食堂
appli_header_restaurant12	海岱俱乐部
appli_header_restaurant13	亲亲吉拿棒！
appli_header_restaurant14	恋恋串烧
appli_header_restaurant15	关都可丽饼
appli_header_restaurant16	甜冷美滋
appli_header_restaurant18	甜冷美滋
appli_header_boutique_bag	CEOOU
appli_header_boutique_eye	眼镜乡
appli_header_boutique_foot	帕底亚鞋子中心
appli_header_boutique_head	黛貌屋
appli_header_boutique_leg	足下好友
appli_header_boutique_high_price	倍达
appli_header_boutique_low_price	R＆T
appli_header_boutique_ride	赛固乐
appli_header_hairsalon	俪活美发沙龙
appli_header_dlc	新增内容
appli_header_boutique_omen	面具摊
appli_header_restaurant19	冰淇淋摊
appli_header_restaurant20	刨冰摊
appli_header_restaurant21	炒面摊
appli_header_restaurant22	糖水果摊
appli_header_boutique_syouten	桃泽商店
appli_header_00_16	筛选能学习
appli_header_00_17	道具打印机
appli_header_restaurant23	学生食堂
appli_header_bbkoubai	[~]
appli_header_bbzihanki	[~]
app_common.dat
msg_common_18_keywait	[~]
msg_common_28_keywait	[~]
msg_common_30_keywait	[~]
msg_common_01	[~]
msg_common_02	[~]
msg_common_03	[~]
msg_common_04	[~]
msg_common_05	[~]
msg_common_06	[~]
msg_common_07	[~]
msg_common_08	[~]
msg_common_08_02	[~]
msg_common_09	[~]
msg_common_10	[~]
msg_common_11	[~]
msg_common_11_02	[~]
msg_common_12	[~]
msg_common_12_02	[~]
msg_common_12_03	[~]
msg_common_12_08	[~]
msg_common_13	[~]
msg_common_13_09	[~]
msg_common_14	[~]
msg_common_14_02	[~]
msg_common_14_03	[~]
msg_common_14_08	[~]
msg_common_15	[~]
msg_common_15_04	[~]
msg_common_16	[~]
msg_common_16_04	[~]
msg_common_16_05	[~]
msg_common_16_07	[~]
msg_common_18	[~]
msg_common_18_02	[~]
msg_common_18_03	[~]
msg_common_18_04	[~]
msg_common_18_05	[~]
msg_common_18_07	[~]
msg_common_18_10	[~]
msg_common_18_11	[~]
msg_common_20	[~]
msg_common_20_05	[~]
msg_common_20_11	[~]
msg_common_21_03	[~]
msg_common_22	[~]
msg_common_22_02	[~]
msg_common_22_03	[~]
msg_common_23	[~]
msg_common_23_02	[~]
msg_common_24	[~]
msg_common_S_01	[~]
msg_common_S_02	[~]
msg_common_S_03	[~]
msg_common_S_04	[~]
msg_common_S_05	[~]
msg_common_S_06	[~]
msg_common_S_07	[~]
msg_common_S_08	[~]
msg_common_S_09	[~]
msg_common_S_10	[~]
msg_common_S_12	[~]
msg_common_S_14	[~]
msg_common_S_16	[~]
msg_common_num_Lv	[~]
bag.dat
msg_ui_bag_okodukai_00	[~]
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_category_00	[~]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_itemdescription	[~]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_00	HP
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_type	属性
msg_ui_bag_wazamachine_classification	分类
msg_ui_bag_wazamachine_power	威力
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	命中
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
xxx_msg_ui_bag_wazamachine_id	[~]
msg_ui_bag_wazamachine_id	[VAR 0202(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_pp_01	[~]
msg_ui_bag_pp_02	[~]
msg_ui_bag_new_count	[~]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_new	[~]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	确定
msg_ui_bag_option_return	返回
msg_ui_bag_option_favorite	我的最爱
msg_ui_bag_option_sort	排序
msg_ui_bag_noitem	空空如也
msg_ui_bag_wazamashine_msg_00	要用于哪只宝可梦？
msg_ui_bag_wazamashine_msg_01	[VAR 0102(0000)]\n和[VAR 0107(0001)]不匹配！\c\n[VAR 0107(0001)]是学不会的！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]已经\n学会了[VAR 0107(0001)]。\c
msg_ui_bag_wazamashine_msg_05	启动了招式学习器！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]\n学会了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]想要学习\n[VAR 0107(0001)]……\c\n为了学习[VAR 0107(0001)]，\n要忘记其他的招式吗？
msg_ui_bag_wazamashine_msg_08	１[WAIT 10]，２[WAIT 10]…[WAIT 10]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0005)]\c\n[VAR 0102(0000)]忘记了\n[VAR 0107(0001)]！\r\n并学会了[VAR BE05(0006)][VAR 0107(0002)]！[VAR BE05(0004)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]没有学习\n[VAR 0107(0001)]就结束了！\c
msg_ui_bag_wazamashine_msg_10	为了学习[VAR 0107(0000)]，\n请选择要忘记的招式！\c
msg_ui_bag_wazamashine_msg_11	[~]
msg_ui_bag_wazamashine_msg_12	[~]
msg_ui_bag_wazamashine_msg_13	[~]
msg_ui_bag_wazamashine_msg_14	[~]
msg_ui_bag_wazamashine_msg_15	是
msg_ui_bag_wazamashine_msg_16	否
msg_ui_bag_wazamashine_memory_00	能学习！
msg_ui_bag_wazamashine_memory_01	不能学
xxx_msg_ui_bag_wazamashine_memory_00	[~]
xxx_msg_ui_bag_wazamashine_memory_01	[~]
msg_ui_bag_wazamashine_memory_02	已学会
msg_ui_bag_tokuseicapsule_00	能使用！
msg_ui_bag_tokuseicapsule_01	不能使用
msg_ui_bag_registration_00	[~]
msg_ui_bag_registration_01	[~]
msg_ui_bag_registration_02	[~]
msg_ui_bag_konseki_00	[~]
msg_ui_bag_konseki_01	[~]
msg_ui_bag_konseki_02	[~]
msg_ui_bag_konseki_03	[~]
msg_ui_bag_konseki_04	[~]
msg_ui_bag_konseki_05	[~]
msg_ui_bag_shop_00	N/A
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]
msg_ui_bag_shop_04	收购价
msg_ui_bag_shop_05	那么，我用[VAR 0207(0000,0000)]\n跟您收购吧？
msg_ui_bag_shop_06	是
msg_ui_bag_shop_07	否
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	要卖出多少个[VAR 0109(0000)]？
msg_ui_bag_shop_10	无法收购[VAR 0109(0000)]。\c
msg_ui_bag_shop_11	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]。\c
msg_ui_bag_shop_11_s	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]。\c
msg_ui_bag_sort_01	类型排序
msg_ui_bag_sort_02	名称排序
msg_ui_bag_sort_04	NEW
msg_ui_bag_sort_03	编号排序
msg_ui_bag_sort_05	我的最爱
msg_ui_bag_sort_06	退出
msg_ui_bag_sort_msg_00	要按什么顺序排列？
msg_ui_bag_sort_msg_01	按类型排序整理了持有物！\c
msg_ui_bag_sort_msg_02	按名称排序整理了持有物！\c
msg_ui_bag_sort_msg_03	按编号排序整理了持有物！\c
msg_ui_bag_sort_msg_05	将我的最爱\n整理到列表上方了！\c
msg_ui_bag_sort_msg_04	将新获得的持有物\n整理到列表上方了！\c
msg_ui_bag_use	使用
msg_ui_bag_have	携带
msg_ui_bag_freespace	[~]
msg_ui_bag_evert	[~]
msg_ui_bag_registration	[~]
msg_ui_bag_gakushusouchi_00	打开
msg_ui_bag_gakushusouchi_01	关闭
msg_ui_bag_leave	取消
msg_ui_bag_use_msg_00	要拿[VAR 0109(0000)]做什么？
msg_ui_bag_use_msg_01	[VAR 0102(0000)]的体力回复了[VAR 0202(0001)]！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]恢复了活力！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]的毒消失得干干净净！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]身体的麻痹状态消除了！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]的灼伤治愈了！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]身体的冰融化了！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]醒过来了！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]变得健康了！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)][VAR 010D(0001)]的\n基础点数上升了！\c
msg_ui_bag_use_msg_11	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数降低了！\c
msg_ui_bag_use_msg_12	[VAR 0102(0000)]\n和你的亲密度已经最高了！\c\n[VAR 010D(0001)]的基础点数降低了！\c
msg_ui_bag_use_msg_13	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数不再降低！\c
msg_ui_bag_use_msg_34	[VAR 0102(0000)]的\n基础点数消失得干干净净了！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_15	之前使用的喷雾效果还留着！\c
msg_ui_bag_use_msg_16	让宝可梦携带了[VAR 0109(0000)]！\c
msg_ui_bag_use_msg_17	收回了[VAR 0109(0000)]，\n让宝可梦携带了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_18	无法携带[VAR 0109(0000)]！\c
msg_ui_bag_use_msg_19	即便使用也无效果哦。\c
msg_ui_bag_use_msg_33	晚上使用也无效果哦。\c
msg_ui_bag_use_msg_20	校长说过……\n[VAR 0100(0000)]同学！道具\r\n是要看场合来用的啊！\c
msg_ui_bag_use_msg_21	没有宝可梦哦！\c
msg_ui_bag_use_msg_22	要用于哪只宝可梦？
msg_ui_bag_use_msg_23	要让哪只宝可梦携带？
msg_ui_bag_use_msg_24	蛋是无法携带的。\c
msg_ui_bag_use_msg_25	ＰＰ回复了！\c
msg_ui_bag_use_msg_26	要把[VAR 0109(0001)]\n替换成[VAR 0109(0000)]吗？
msg_ui_bag_use_msg_27	要回复哪个招式？
msg_ui_bag_use_msg_28	要增加哪个招式的ＰＰ？
msg_ui_bag_use_msg_29	[VAR 0107(0000)]的ＰＰ增加了！\c
msg_ui_bag_use_msg_30	包包已满，不能接收道具了！\c
msg_ui_bag_use_msg_31	蛋是无法携带的。\c
msg_ui_bag_use_msg_32	ＰＰ回复了！\c
msg_ui_bag_use_msg_37	[VAR BE05(0005)][VAR 0102(0000)]提高到\n等级[VAR 0202(0001)]了！\c
msg_ui_bag_use_msg_39	不能用于昏厥的宝可梦。\c
msg_ui_bag_use_msg_43	同行的宝可梦已满，无法分离。\c
msg_ui_bag_use_msg_43b	同行的宝可梦已满，无法分离。\c
msg_ui_bag_use_msg_45	学习装置设为开启状态。\c
msg_ui_bag_use_msg_46	学习装置设为关闭状态。\c
msg_ui_bag_use_msg_47	因[VAR 0107(0001)]的效果，\n无法对[VAR 0102(0000)]使用！\c
msg_ui_bag_use_msg_67	心仪的野餐用品！\n……在野餐时使用吧！\c
msg_ui_bag_use_msg_68	是能在招式学习器机上\n使用的宝可梦的掉落物！\c
msg_ui_bag_use_msg_69	[~]
msg_ui_bag_use_msg_70	派帕亲手给的朱之书！\c\n书上写着很久以前的人们\n在第零区探险的记录，还带有插画！\c
msg_ui_bag_use_msg_71	派帕亲手给的紫之书！\c\n书上写着很久以前的人们\n在第零区探险的记录，还带有插画！\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_waza_05	PP
msg_ui_bag_waza_01	[~]
msg_ui_bag_waza_02	[~]
msg_ui_bag_waza_03	[~]
msg_ui_bag_waza_04	[~]
msg_ui_bag_bicycle_00	[~]
msg_ui_bag_bicycle_01	[~]
msg_ui_bag_use_union_msg_00	无法与昏厥的宝可梦合体。\c
msg_ui_bag_use_union_msg_00b	无法与昏厥的宝可梦合体。\c
msg_ui_bag_use_union_msg_01	无法与那只宝可梦合体。\c
msg_ui_bag_use_union_msg_01b	无法与那只宝可梦合体。\c
msg_ui_bag_use_union_msg_02	无法与蛋合体。\c
msg_ui_bag_use_union_msg_02b	无法与蛋合体。\c
msg_ui_bag_use_union_msg_03	同行的宝可梦已满，无法分离。\c
msg_ui_bag_use_union_msg_03b	同行的宝可梦已满，无法分离。\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]变成其他样子了！
msg_ui_bag_use_union_msg_05	要和哪只宝可梦合体呢？
msg_ui_bag_use_union_msg_05b	要和哪只宝可梦合体呢？
msg_ui_bag_use_union_msg_07	忘记了[VAR 0107(0000)]！\c
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]\n忘记了[VAR 0107(0001)]……\c
msg_ui_bag_use_union_msg_06	无法对蛋使用。\c
msg_ui_bag_use_special_msg_00	要改变[VAR 0102(0000)]的特性吗？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]的特性\n变成了[VAR 0106(0001)]！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	攻击
msg_ui_bag_lvup_01	防御
msg_ui_bag_lvup_02	特攻
msg_ui_bag_lvup_03	特防
msg_ui_bag_lvup_04	速度
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	要改变[VAR 0102(0000)]的能力吗？
msg_ui_bag_use_msg_49	因[VAR 0109(0000)]的效果，\n[VAR 0102(0001)]的能力\r\n似乎发生了变化！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	[~]
msg_ui_bag_use_msg_51	[~]
msg_ui_bag_use_msg_52	要使用多少个[VAR 0109(0001)]？
msg_ui_bag_use_msg_53	包包打开时，\n无法骑自行车。\c
msg_ui_bag_use_msg_54	包包打开时，\n无法钓鱼。\c
msg_ui_bag_use_msg_55	无法在包包中\n使用宝可梦盒！\c
msg_ui_bag_use_msg_56	灯泡
msg_ui_bag_use_msg_57	微波炉
msg_ui_bag_use_msg_58	洗衣机
msg_ui_bag_use_msg_59	冰箱
msg_ui_bag_use_msg_60	电风扇
msg_ui_bag_use_msg_61	割草机
msg_ui_bag_use_msg_62	要购买哪种电器呢？
msg_ui_bag_use_msg_63	[~]
msg_ui_bag_use_msg_64	[~]
msg_ui_bag_use_msg_65	改变样子
msg_ui_bag_use_msg_66	改变特性
msg_ui_bag_item_synthesis_00	[~]
msg_ui_bag_item_synthesis_01	[~]
msg_ui_bag_waza_npc_00	要让哪只宝可梦学习？
msg_ui_bag_waza_npc_01	×
msg_ui_bag_waza_npc_02	[VAR 0109(0000)]
msg_ui_bag_waza_npc_03	[VAR 0202(0000)]
msg_bag_01_00	[~]
msg_bag_01_01	[~]
msg_bag_01_02	[~]
msg_bag_01_03	[~]
msg_bag_01_04	[~]
msg_bag_01_05	[~]
msg_bag_01_06	[~]
msg_bag_01_07	[~]
msg_bag_01_08	[~]
msg_bag_01_09	[~]
msg_bag_01_10	[~]
msg_bag_01_11	[~]
msg_bag_01_15	[~]
msg_bag_01_16	[~]
msg_bag_01_17	[~]
msg_bag_01_18	[~]
msg_bag_01_19	[~]
msg_bag_01_25	[~]
msg_bag_01_26	[~]
msg_bag_01_27	[~]
msg_bag_01_28	[~]
msg_bag_01_30	[~]
msg_bag_01_31	[~]
msg_bag_02_01	[~]
msg_bag_02_02	[~]
msg_bag_02_03	[~]
msg_bag_02_04	[~]
msg_bag_02_05	[~]
msg_bag_02_06	[~]
msg_bag_02_07	[~]
msg_bag_03_01	[~]
msg_bag_03_02	[~]
msg_bag_03_03	[~]
msg_bag_03_04	[~]
msg_bag_03_05	[~]
msg_bag_03_06	[~]
msg_bag_03_07	[~]
msg_bag_03_08	[~]
msg_bag_03_09	[~]
msg_bag_03_10	[~]
msg_bag_03_11	[~]
msg_bag_03_12	[~]
msg_bag_03_13	[~]
msg_bag_03_20	[~]
msg_bag_03_21	[~]
msg_bag_03_22	[~]
msg_bag_03_23	[~]
msg_bag_03_30	[~]
msg_bag_04_01	[~]
msg_bag_04_02	[~]
msg_bag_04_03	[~]
msg_bag_04_04	[~]
msg_bag_04_05	[~]
msg_bag_04_06	[~]
msg_bag_04_15	[~]
msg_bag_04_07	[~]
msg_bag_04_08	[~]
msg_bag_04_09	[~]
msg_bag_04_10	[~]
msg_bag_04_11	[~]
msg_bag_04_12	[~]
msg_bag_04_13	[~]
msg_bag_05_01	[~]
msg_bag_05_02	[~]
msg_bag_06_00	[~]
msg_bag_06_01	[~]
msg_bag_06_02	[~]
msg_bag_06_03	[~]
msg_bag_06_04	[~]
msg_bag_06_05	[~]
msg_bag_06_06	[~]
msg_bag_06_07	[~]
msg_bag_06_08	[~]
msg_bag_06_10	[~]
msg_bag_06_11	[~]
msg_bag_06_12	[~]
msg_bag_06_13	[~]
msg_bag_06_20	[~]
msg_bag_06_21	[~]
msg_bag_06_30	[~]
msg_bag_06_31	[~]
msg_bag_06_40	[~]
msg_bag_06_41	[~]
msg_bag_06_42	[~]
msg_bag_06_43	[~]
msg_bag_06_44	[~]
msg_bag_06_50	[~]
msg_bag_06_51	[~]
msg_bag_06_52	[~]
msg_bag_06_53	[~]
msg_bag_06_54	[~]
msg_bag_06_60	[~]
msg_bag_06_61	[~]
msg_bag_06_70	[~]
msg_bag_06_71	[~]
msg_bag_06_80	[~]
msg_bag_06_81	[~]
msg_bag_06_82	[~]
msg_bag_06_83	[~]
msg_bag_06_90	[~]
msg_bag_06_91	[~]
msg_bag_06_92	[~]
msg_bag_06_93	[~]
msg_bag_06_94	[~]
msg_bag_06_95	[~]
msg_bag_06_96	[~]
msg_bag_06_100	[~]
msg_bag_06_110	[~]
msg_bag_06_120	[~]
msg_bag_06_121	[~]
msg_bag_06_122	[~]
msg_bag_06_123	[~]
msg_bag_06_124	[~]
msg_bag_07_01	[~]
msg_bag_07_02	[~]
msg_bag_07_03	[~]
msg_bag_07_04	[~]
msg_bag_07_05	[~]
msg_bag_07_06	[~]
msg_bag_07_07	[~]
msg_bag_07_08	[~]
msg_bag_08_01	[~]
msg_bag_08_02	[~]
msg_bag_08_03	[~]
msg_bag_08_04	[~]
msg_bag_09_01	[~]
msg_bag_09_02	[~]
msg_bag_09_03	[~]
msg_bag_09_04	[~]
msg_bag_09_05	[~]
msg_bag_09_10	[~]
msg_bag_09_11	[~]
msg_bag_09_12	[~]
msg_bag_09_20	[~]
msg_bag_09_30	[~]
msg_bag_09_50	[~]
msg_bag_10_01	[~]
msg_bag_10_02	[~]
msg_bag_10_03	[~]
msg_bag_10_04	[~]
msg_bag_10_05	[~]
msg_bag_10_06	[~]
msg_bag_20_01	[~]
msg_bag_20_02	[~]
msg_bag_20_03	[~]
msg_bag_20_04	[~]
msg_bag_20_05	[~]
msg_bag_20_06	[~]
msg_bag_30_01	[~]
msg_bag_082	[~]
msg_bag_083	[~]
mes_bag_300	[~]
mes_bag_menu_003	[~]
mes_bag_325	[~]
mes_bag_326	[~]
msg_bag_06_83_2	[~]
msg_bag_40_01	[~]
msg_bag_40_02	[~]
msg_bag_40_03	[~]
msg_ui_bag_lp_00	[~]
msg_ui_bag_lp_01	[VAR 0206(0000,0000)]LP
msg_ui_bag_shop_20	合计
msg_ui_bag_shop_21	一并出售
msg_ui_bag_option_01	一并出售
msg_ui_bag_option_02	购买
msg_ui_bag_shop_12	那么，我用[VAR 0206(0000,0000)]ＬＰ\n跟您收购吧？
msg_ui_bag_shop_13	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]ＬＰ。\c
msg_ui_bag_shop_14	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]ＬＰ。\c
msg_ui_bag_shop_15	拿到了[VAR 0206(0000,0000)]。\c
msg_ui_bag_shop_16	拿到了[VAR 0206(0000,0000)]ＬＰ。\c
msg_ui_bag_shop_17	是否要取消所有选择？
