another_name.dat
msg_another_name_00	カロスチャンピオン　[VAR 0102(0000)]
msg_another_name_36	ワールドチャンピオン　[VAR 0102(0000)]
msg_another_name_37	きらめくおもいでの　[VAR 0102(0000)]
msg_another_name_38	あついおもいでの　[VAR 0102(0000)]
msg_another_name_39	ホウエンチャンピオン　[VAR 0102(0000)]
msg_another_name_40	でんせつてきスターの　[VAR 0102(0000)]
msg_another_name_41	かつてスターの　[VAR 0102(0000)]
msg_another_name_42	とうじきれいだった　[VAR 0102(0000)]
msg_another_name_43	かつてアイドルの　[VAR 0102(0000)]
msg_another_name_44	てんさいとよばれた　[VAR 0102(0000)]
msg_another_name_45	むかしはムキムキの　[VAR 0102(0000)]
msg_another_name_46	アローラチャンピオン　[VAR 0102(0000)]
msg_another_name_47	ロイヤルマスター　[VAR 0102(0000)]
msg_another_name_48	ツリーウィナー　[VAR 0102(0000)]
msg_another_name_49	ツリーマスター　[VAR 0102(0000)]
msg_another_name_50	ガラルチャンピオン　[VAR 0102(0000)]
msg_another_name_51	タワーマスター　[VAR 0102(0000)]
msg_another_name_52	ランクマスター　[VAR 0102(0000)]
msg_another_name_53	はらペコの　[VAR 0102(0000)]
msg_another_name_54	おねむな　[VAR 0102(0000)]
msg_another_name_55	そろそろねむい　[VAR 0102(0000)]
msg_another_name_56	はやくにめざめた　[VAR 0102(0000)]
msg_another_name_57	くもをみつめる　[VAR 0102(0000)]
msg_another_name_58	あめにむせぶ　[VAR 0102(0000)]
msg_another_name_59	かみなりにさわぐ　[VAR 0102(0000)]
msg_another_name_60	ゆきにころがる　[VAR 0102(0000)]
msg_another_name_61	こごえふるえる　[VAR 0102(0000)]
msg_another_name_62	のどカラカラの　[VAR 0102(0000)]
msg_another_name_63	すなにまみれる　[VAR 0102(0000)]
msg_another_name_64	きりにとまどう　[VAR 0102(0000)]
msg_another_name_65	うんめいかんじる　[VAR 0102(0000)]
msg_another_name_66	つりたてピチピチの　[VAR 0102(0000)]
msg_another_name_67	カレーずきな　[VAR 0102(0000)]
msg_another_name_68	ひとになれてる　[VAR 0102(0000)]
msg_another_name_69	ひとをしらない　[VAR 0102(0000)]
msg_another_name_70	あばれんぼうの　[VAR 0102(0000)]
msg_another_name_71	なにもかんがえてない　[VAR 0102(0000)]
msg_another_name_72	ドキドキしてる　[VAR 0102(0000)]
msg_another_name_73	ワクワクしてる　[VAR 0102(0000)]
msg_another_name_74	オーラをかんじる　[VAR 0102(0000)]
msg_another_name_75	クールな　[VAR 0102(0000)]
msg_another_name_76	アグレッシブな　[VAR 0102(0000)]
msg_another_name_77	ボーっとしてる　[VAR 0102(0000)]
msg_another_name_78	しあわせそうな　[VAR 0102(0000)]
msg_another_name_79	プンプンおこる　[VAR 0102(0000)]
msg_another_name_80	ニコニコわらう　[VAR 0102(0000)]
msg_another_name_81	メソメソなく　[VAR 0102(0000)]
msg_another_name_82	ごきげんな　[VAR 0102(0000)]
msg_another_name_83	ふきげんな　[VAR 0102(0000)]
msg_another_name_84	ちてきな　[VAR 0102(0000)]
msg_another_name_85	あれくるう　[VAR 0102(0000)]
msg_another_name_86	スキをねらう　[VAR 0102(0000)]
msg_another_name_87	いかつい　[VAR 0102(0000)]
msg_another_name_88	やさしげな　[VAR 0102(0000)]
msg_another_name_89	あわてんぼうの　[VAR 0102(0000)]
msg_another_name_90	やるきまんまんの　[VAR 0102(0000)]
msg_another_name_91	やるきゼロの　[VAR 0102(0000)]
msg_another_name_92	ふんぞりかえった　[VAR 0102(0000)]
msg_another_name_93	じしんのない　[VAR 0102(0000)]
msg_another_name_94	そぼくな　[VAR 0102(0000)]
msg_another_name_95	きどっている　[VAR 0102(0000)]
msg_another_name_96	げんきいっぱいの　[VAR 0102(0000)]
msg_another_name_97	どこかくたびれた　[VAR 0102(0000)]
msg_another_name_98	とおいむかしの　[VAR 0102(0000)]
msg_another_name_99	トゥインクルスター　[VAR 0102(0000)]
msg_another_name_100	パルデアチャンピオン　[VAR 0102(0000)]
msg_another_name_101	でっかい　[VAR 0102(0000)]
msg_another_name_102	ちっちゃい　[VAR 0102(0000)]
msg_another_name_103	トレジャーハンター　[VAR 0102(0000)]
msg_another_name_104	たよれるあいぼう　[VAR 0102(0000)]
msg_another_name_105	グルメな　[VAR 0102(0000)]
msg_another_name_106	せんざいいちぐうの　[VAR 0102(0000)]
msg_another_name_107	オヤブンだった　[VAR 0102(0000)]
msg_another_name_108	さいきょう　[VAR 0102(0000)]
msg_another_name_109	ヌシだった　[VAR 0102(0000)]
msg_another_name_110	[VAR 0100(0001)]の　[VAR 0102(0000)]
appli_header.dat
appli_header_00_00	[~]
appli_header_00_01	バッグ
appli_header_00_02	わざマシンマシン
appli_header_00_03	N/A
appli_header_00_04	髪型の設定
appli_header_00_05	服装
appli_header_00_06	プレビュー
appli_header_00_07	顔
appli_header_00_08	ユニオンサークル
appli_header_00_09	ポケポータル
appli_header_00_10	[VAR 01D2(0000)] / 買う
appli_header_00_11	[VAR 01D2(0000)] / 売る
appli_header_00_12	ステータス
appli_header_00_13	わざマシンマシン / ＬＰ交換
appli_header_00_14	テラレイドバトル検索
appli_header_00_15	設定
appli_header_restaurant01	まいど・さんど
appli_header_restaurant02	バル・キバル
appli_header_restaurant03	レストラン　鮮度一番！
appli_header_restaurant04	ローリングドリーマー
appli_header_restaurant05	ローリングドリーマー
appli_header_restaurant06	来来来軒
appli_header_restaurant07	ガストロノミー　ファミリア
appli_header_restaurant08	ファミリーレストラン　バラト
appli_header_restaurant09	喫茶室なぎさ
appli_header_restaurant10	学生食堂
appli_header_restaurant11	宝食堂
appli_header_restaurant12	ハイダイ倶楽部
appli_header_restaurant13	チュロスにチュ！
appli_header_restaurant14	串のトリコ
appli_header_restaurant15	カントークレープ
appli_header_restaurant16	あまいやつめたいや
appli_header_restaurant18	あまいやつめたいや
appli_header_boutique_bag	CEOOU
appli_header_boutique_eye	メガネの里
appli_header_boutique_foot	パルデア靴センター
appli_header_boutique_head	キャ・ブール
appli_header_boutique_leg	あしのとも
appli_header_boutique_high_price	ベルダー
appli_header_boutique_low_price	R＆T
appli_header_boutique_ride	セグーロ
appli_header_hairsalon	ヘアメイクサロン　リボーン
appli_header_dlc	追加コンテンツ
appli_header_boutique_omen	お面屋
appli_header_restaurant19	アイス屋
appli_header_restaurant20	かき氷屋
appli_header_restaurant21	やきそば屋
appli_header_restaurant22	フルーツ飴屋
appli_header_boutique_syouten	桃沢商店
appli_header_00_16	おぼえるフィルター
appli_header_00_17	どうぐプリンター
appli_header_restaurant23	学生食堂
appli_header_bbkoubai	[~]
appli_header_bbzihanki	[~]
app_common.dat
msg_common_18_keywait	[~]
msg_common_28_keywait	[~]
msg_common_30_keywait	[~]
msg_common_01	[~]
msg_common_02	[~]
msg_common_03	[~]
msg_common_04	[~]
msg_common_05	[~]
msg_common_06	[~]
msg_common_07	[~]
msg_common_08	[~]
msg_common_08_02	[~]
msg_common_09	[~]
msg_common_10	[~]
msg_common_11	[~]
msg_common_11_02	[~]
msg_common_12	[~]
msg_common_12_02	[~]
msg_common_12_03	[~]
msg_common_12_08	[~]
msg_common_13	[~]
msg_common_13_09	[~]
msg_common_14	[~]
msg_common_14_02	[~]
msg_common_14_03	[~]
msg_common_14_08	[~]
msg_common_15	[~]
msg_common_15_04	[~]
msg_common_16	[~]
msg_common_16_04	[~]
msg_common_16_05	[~]
msg_common_16_07	[~]
msg_common_18	[~]
msg_common_18_02	[~]
msg_common_18_03	[~]
msg_common_18_04	[~]
msg_common_18_05	[~]
msg_common_18_07	[~]
msg_common_18_10	[~]
msg_common_18_11	[~]
msg_common_20	[~]
msg_common_20_05	[~]
msg_common_20_11	[~]
msg_common_21_03	[~]
msg_common_22	[~]
msg_common_22_02	[~]
msg_common_22_03	[~]
msg_common_23	[~]
msg_common_23_02	[~]
msg_common_24	[~]
msg_common_S_01	[~]
msg_common_S_02	[~]
msg_common_S_03	[~]
msg_common_S_04	[~]
msg_common_S_05	[~]
msg_common_S_06	[~]
msg_common_S_07	[~]
msg_common_S_08	[~]
msg_common_S_09	[~]
msg_common_S_10	[~]
msg_common_S_12	[~]
msg_common_S_14	[~]
msg_common_S_16	[~]
msg_common_num_Lv	[~]
bag.dat
msg_ui_bag_okodukai_00	[~]
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]円
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_category_00	[~]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_itemdescription	[~]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_00	HP
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_type	タイプ
msg_ui_bag_wazamachine_classification	ぶんるい
msg_ui_bag_wazamachine_power	いりょく
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	めいちゅう
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
xxx_msg_ui_bag_wazamachine_id	[~]
msg_ui_bag_wazamachine_id	[VAR 0202(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_pp_01	[~]
msg_ui_bag_pp_02	[~]
msg_ui_bag_new_count	[~]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_new	[~]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	決定
msg_ui_bag_option_return	もどる
msg_ui_bag_option_favorite	お気に入り
msg_ui_bag_option_sort	ならべかえ
msg_ui_bag_noitem	ありません
msg_ui_bag_wazamashine_msg_00	どの　ポケモンに　{使|つか}いますか？
msg_ui_bag_wazamashine_msg_01	[VAR 0102(0000)]と　[VAR 0107(0001)]は\n{相性|あいしょう}が　{悪|わる}かった！\c\n[VAR 0107(0001)]は\n{覚|おぼ}えられない！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]は　すでに\n[VAR 0107(0001)]を　{覚|おぼ}えています\c
msg_ui_bag_wazamashine_msg_05	わざマシンを　{起動|きどう}した！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　{覚|おぼ}えた！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]は　{新|あたら}しく\n[VAR 0107(0001)]を　{覚|おぼ}えたい……\c\n[VAR 0107(0001)]の　かわりに\nほかの{技|わざ}を　{忘|わす}れさせますか？
msg_ui_bag_wazamashine_msg_08	１[WAIT 10]　２の[WAIT 10]　…[WAIT 10]…[WAIT 20]　ポカン！[VAR BE05(0003)][VAR BE05(0005)]\c\n[VAR 0102(0000)]は\n[VAR 0107(0001)]を　{忘|わす}れて\r\n[VAR BE05(0006)][VAR 0107(0002)]を　{覚|おぼ}えた！[VAR BE05(0004)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]は　[VAR 0107(0001)]を\n{覚|おぼ}えずに　{終|お}わった！\c
msg_ui_bag_wazamashine_msg_10	[VAR 0107(0000)]の　かわりに\n{忘|わす}れる{技|わざ}を　{選|えら}んでください！\c
msg_ui_bag_wazamashine_msg_11	[~]
msg_ui_bag_wazamashine_msg_12	[~]
msg_ui_bag_wazamashine_msg_13	[~]
msg_ui_bag_wazamashine_msg_14	[~]
msg_ui_bag_wazamashine_msg_15	はい
msg_ui_bag_wazamashine_msg_16	いいえ
msg_ui_bag_wazamashine_memory_00	覚える！
msg_ui_bag_wazamashine_memory_01	覚えない
xxx_msg_ui_bag_wazamashine_memory_00	[~]
xxx_msg_ui_bag_wazamashine_memory_01	[~]
msg_ui_bag_wazamashine_memory_02	覚えている
msg_ui_bag_tokuseicapsule_00	使える！
msg_ui_bag_tokuseicapsule_01	使えない
msg_ui_bag_registration_00	[~]
msg_ui_bag_registration_01	[~]
msg_ui_bag_registration_02	[~]
msg_ui_bag_konseki_00	[~]
msg_ui_bag_konseki_01	[~]
msg_ui_bag_konseki_02	[~]
msg_ui_bag_konseki_03	[~]
msg_ui_bag_konseki_04	[~]
msg_ui_bag_konseki_05	[~]
msg_ui_bag_shop_00	N/A
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]円
msg_ui_bag_shop_04	買いとり価格
msg_ui_bag_shop_05	それなら　[VAR 0207(0000,0000)]{円|えん}で\nお{引|ひ}きとり　しましょうか？
msg_ui_bag_shop_06	はい
msg_ui_bag_shop_07	いいえ
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	[VAR 0109(0000)]を\nいくつ　{売|う}りますか？
msg_ui_bag_shop_10	[VAR 0109(0000)]を\n{買|か}い{取|と}ることは　できません\c
msg_ui_bag_shop_11	[VAR 0109(0000)]を　{渡|わた}して\n[VAR 0207(0001,0000)]{円|えん}を　{受|う}けとった\c
msg_ui_bag_shop_11_s	[VAR 0109(0000)]を　{渡|わた}して\n[VAR 0207(0001,0000)]{円|えん}を　{受|う}けとった\c
msg_ui_bag_sort_01	種類順
msg_ui_bag_sort_02	名前順
msg_ui_bag_sort_04	NEW
msg_ui_bag_sort_03	番号順
msg_ui_bag_sort_05	お気に入り
msg_ui_bag_sort_06	やめる
msg_ui_bag_sort_msg_00	どのならびに　かえますか？
msg_ui_bag_sort_msg_01	{種類順|しゅるいじゅん}に\n{持|も}ち{物|もの}を　{整理|せいり}しました！\c
msg_ui_bag_sort_msg_02	{名前順|なまえじゅん}に\n{持|も}ち{物|もの}を　{整理|せいり}しました！\c
msg_ui_bag_sort_msg_03	{番号順|ばんごうじゅん}に\n{持|も}ち{物|もの}を　{整理|せいり}しました！\c
msg_ui_bag_sort_msg_05	お{気|き}に{入|い}りの　{持|も}ち{物|もの}を\n{整理|せいり}しました！\c
msg_ui_bag_sort_msg_04	{新|あたら}しく　{手|て}に{入|い}れた\n{持|も}ち{物|もの}を　{整理|せいり}しました！\c
msg_ui_bag_use	つかう
msg_ui_bag_have	もたせる
msg_ui_bag_freespace	[~]
msg_ui_bag_evert	[~]
msg_ui_bag_registration	[~]
msg_ui_bag_gakushusouchi_00	オン
msg_ui_bag_gakushusouchi_01	オフ
msg_ui_bag_leave	やめる
msg_ui_bag_use_msg_00	[VAR 0109(0000)]を　どうしますか？
msg_ui_bag_use_msg_01	[VAR 0102(0000)]の　{体力|たいりょく}が\n[VAR 0202(0001)]　{回復|かいふく}した！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]は\n{元気|げんき}を　とりもどした！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]の　どくは\nきれい　さっぱり　なくなった！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]の\n{体|からだ}の　しびれが　とれた！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]の\nやけどが　なおった！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]の\n{体|からだ}の　こおりが　とけた！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]は\n{目|め}を　{覚|さ}ました！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]は\n{健康|けんこう}に　なった！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)]は　[VAR 010D(0001)]の\n{基礎|きそ}ポイントが　あがった！\c
msg_ui_bag_use_msg_11	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n{基礎|きそ}ポイントが　さがった！\c
msg_ui_bag_use_msg_12	[VAR 0102(0000)]は\n{最高|さいこう}に　なついている！\c\n[VAR 010D(0001)]の\n{基礎|きそ}ポイントが　さがった！\c
msg_ui_bag_use_msg_13	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n{基礎|きそ}ポイントは　もうさがらない！\c
msg_ui_bag_use_msg_34	[VAR 0102(0000)]の\n{基礎|きそ}ポイントが　まっさらに　なった！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]は\n[VAR 0109(0001)]を　{使|つか}った！\c
msg_ui_bag_use_msg_15	まだ{前|まえ}に　{使|つか}った\nスプレーの　{効果|こうか}が　{残|のこ}ってます！\c
msg_ui_bag_use_msg_16	[VAR 0109(0000)]を　{持|も}たせた！\c
msg_ui_bag_use_msg_17	[VAR 0109(0000)]を　{預|あず}かって\n[VAR 0109(0001)]を　{持|も}たせた！\c
msg_ui_bag_use_msg_18	[VAR 0109(0000)]を\n{持|も}たせることは　できません！\c
msg_ui_bag_use_msg_19	{使|つか}っても　{効果|こうか}がないよ\c
msg_ui_bag_use_msg_33	{夜|よる}に　{使|つか}っても　{効果|こうか}がないよ\c
msg_ui_bag_use_msg_20	{校長先生|こうちょうせんせい}の　{言葉|ことば}……\n[VAR 0100(0000)]さん！　{道具|どうぐ}には\r\n{使|つか}いどきが　ありますよ\c
msg_ui_bag_use_msg_21	ポケモンが　いませんよ！\c
msg_ui_bag_use_msg_22	どの　ポケモンに　{使|つか}いますか？
msg_ui_bag_use_msg_23	どの　ポケモンに　{持|も}たせますか？
msg_ui_bag_use_msg_24	タマゴには　{持|も}たせられません\c
msg_ui_bag_use_msg_25	パワーポイントが　{回復|かいふく}した！\c
msg_ui_bag_use_msg_26	[VAR 0109(0000)]と\n[VAR 0109(0001)]を　とりかえますか？
msg_ui_bag_use_msg_27	どの{技|わざ}を　{回復|かいふく}する？
msg_ui_bag_use_msg_28	どの{技|わざ}を　{増|ふ}やす？
msg_ui_bag_use_msg_29	[VAR 0107(0000)]の\nパワーポイントが　{増|ふ}えた！\c
msg_ui_bag_use_msg_30	バッグが　{一杯|いっぱい}で\n{道具|どうぐ}を　{受|う}け{取|と}れません！\c
msg_ui_bag_use_msg_31	タマゴには　{持|も}たせられません\c
msg_ui_bag_use_msg_32	パワーポイントが　{回復|かいふく}した！\c
msg_ui_bag_use_msg_37	[VAR BE05(0005)][VAR 0102(0000)]は\nレベル[VAR 0202(0001)]　に　あがった！\c
msg_ui_bag_use_msg_39	ひんしの　ポケモンには\n{使|つか}えません\c
msg_ui_bag_use_msg_43	{手持|ても}ちが　いっぱい　なので\n{分離|ぶんり}できません\c
msg_ui_bag_use_msg_43b	{手持|ても}ちが　いっぱい　なので\n{分離|ぶんり}できません\c
msg_ui_bag_use_msg_45	がくしゅうそうちを　オンに　しました\c
msg_ui_bag_use_msg_46	がくしゅうそうちを　オフに　しました\c
msg_ui_bag_use_msg_47	[VAR 0107(0001)]の　{効果|こうか}で\n[VAR 0102(0000)]には　{使|つか}えません！\c
msg_ui_bag_use_msg_67	お{気|き}に{入|い}りの　ピクニック{用品|ようひん}！\n……ピクニックで　{使|つか}おう！\c
msg_ui_bag_use_msg_68	わざマシンマシンで　{使|つか}える\nポケモンの　おとしものだ！\c
msg_ui_bag_use_msg_69	[~]
msg_ui_bag_use_msg_70	ペパーから　{手渡|てわた}された\nスカーレットブックだ！\c\n{大昔|おおむかし}の{人|ひと}が　エリアゼロを　{探検|たんけん}した\n{記録|きろく}が　{挿絵|さしえ}とともに　{描|えが}かれている！\c
msg_ui_bag_use_msg_71	ペパーから　{手渡|てわた}された\nバイオレットブックだ！\c\n{大昔|おおむかし}の{人|ひと}が　エリアゼロを　{探検|たんけん}した\n{記録|きろく}が　{挿絵|さしえ}とともに　{描|えが}かれている！\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_waza_05	PP
msg_ui_bag_waza_01	[~]
msg_ui_bag_waza_02	[~]
msg_ui_bag_waza_03	[~]
msg_ui_bag_waza_04	[~]
msg_ui_bag_bicycle_00	[~]
msg_ui_bag_bicycle_01	[~]
msg_ui_bag_use_union_msg_00	ひんしの　ポケモンとは\n{合体|がったい}できません\c
msg_ui_bag_use_union_msg_00b	ひんしの　ポケモンとは\n{合体|がったい}できません\c
msg_ui_bag_use_union_msg_01	その　ポケモンとは\n{合体|がったい}できません\c
msg_ui_bag_use_union_msg_01b	その　ポケモンとは\n{合体|がったい}できません\c
msg_ui_bag_use_union_msg_02	タマゴとは\n{合体|がったい}できません\c
msg_ui_bag_use_union_msg_02b	タマゴとは\n{合体|がったい}できません\c
msg_ui_bag_use_union_msg_03	{手持|ても}ちが　いっぱい　なので\n{分離|ぶんり}できません\c
msg_ui_bag_use_union_msg_03b	{手持|ても}ちが　いっぱい　なので\n{分離|ぶんり}できません\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]は\n{別|べつ}の{姿|すがた}に　{変化|へんか}した！
msg_ui_bag_use_union_msg_05	どの　ポケモンと\n{合体|がったい}しますか？
msg_ui_bag_use_union_msg_05b	どの　ポケモンと\n{合体|がったい}しますか？
msg_ui_bag_use_union_msg_07	[VAR 0107(0000)]を　{忘|わす}れた！\c
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　{忘|わす}れた……\c
msg_ui_bag_use_union_msg_06	タマゴには　{使|つか}えません\c
msg_ui_bag_use_special_msg_00	[VAR 0102(0000)]の　{特性|とくせい}を\n{変|か}えますか？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]の　{特性|とくせい}が\n[VAR 0106(0001)]に　{変化|へんか}した！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	こうげき
msg_ui_bag_lvup_01	ぼうぎょ
msg_ui_bag_lvup_02	とくこう
msg_ui_bag_lvup_03	とくぼう
msg_ui_bag_lvup_04	すばやさ
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	[VAR 0102(0000)]の　{能力|のうりょく}を\n{変化|へんか}させますか？
msg_ui_bag_use_msg_49	[VAR 0109(0000)]の　{効果|こうか}で\n[VAR 0102(0001)]の　{能力|のうりょく}に\r\n{変化|へんか}が　{起|お}きたようだ！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	[~]
msg_ui_bag_use_msg_51	[~]
msg_ui_bag_use_msg_52	[VAR 0109(0001)]を\nいくつ　{使|つか}いますか？
msg_ui_bag_use_msg_53	バッグからは\nじてんしゃには　{乗|の}れません\c
msg_ui_bag_use_msg_54	バッグからは\nつりは　できません\c
msg_ui_bag_use_msg_55	バッグからは\nポケモンボックスを　{使|つか}えません！\c
msg_ui_bag_use_msg_56	{電球|でんきゅう}
msg_ui_bag_use_msg_57	{電子|でんし}レンジ
msg_ui_bag_use_msg_58	{洗濯機|せんたくき}
msg_ui_bag_use_msg_59	{冷蔵庫|れいぞうこ}
msg_ui_bag_use_msg_60	{扇風機|せんぷうき}
msg_ui_bag_use_msg_61	{芝刈|しばか}り{機|き}
msg_ui_bag_use_msg_62	どの{電化製品|でんかせいひん}を\n{注文|ちゅうもん}しますか？
msg_ui_bag_use_msg_63	[~]
msg_ui_bag_use_msg_64	[~]
msg_ui_bag_use_msg_65	姿を変える
msg_ui_bag_use_msg_66	特性を変える
msg_ui_bag_item_synthesis_00	[~]
msg_ui_bag_item_synthesis_01	[~]
msg_ui_bag_waza_npc_00	どの　ポケモンに\n{覚|おぼ}えさせますか？
msg_ui_bag_waza_npc_01	×
msg_ui_bag_waza_npc_02	[VAR 0109(0000)]
msg_ui_bag_waza_npc_03	[VAR 0202(0000)]
msg_bag_01_00	[~]
msg_bag_01_01	[~]
msg_bag_01_02	[~]
msg_bag_01_03	[~]
msg_bag_01_04	[~]
msg_bag_01_05	[~]
msg_bag_01_06	[~]
msg_bag_01_07	[~]
msg_bag_01_08	[~]
msg_bag_01_09	[~]
msg_bag_01_10	[~]
msg_bag_01_11	[~]
msg_bag_01_15	[~]
msg_bag_01_16	[~]
msg_bag_01_17	[~]
msg_bag_01_18	[~]
msg_bag_01_19	[~]
msg_bag_01_25	[~]
msg_bag_01_26	[~]
msg_bag_01_27	[~]
msg_bag_01_28	[~]
msg_bag_01_30	[~]
msg_bag_01_31	[~]
msg_bag_02_01	[~]
msg_bag_02_02	[~]
msg_bag_02_03	[~]
msg_bag_02_04	[~]
msg_bag_02_05	[~]
msg_bag_02_06	[~]
msg_bag_02_07	[~]
msg_bag_03_01	[~]
msg_bag_03_02	[~]
msg_bag_03_03	[~]
msg_bag_03_04	[~]
msg_bag_03_05	[~]
msg_bag_03_06	[~]
msg_bag_03_07	[~]
msg_bag_03_08	[~]
msg_bag_03_09	[~]
msg_bag_03_10	[~]
msg_bag_03_11	[~]
msg_bag_03_12	[~]
msg_bag_03_13	[~]
msg_bag_03_20	[~]
msg_bag_03_21	[~]
msg_bag_03_22	[~]
msg_bag_03_23	[~]
msg_bag_03_30	[~]
msg_bag_04_01	[~]
msg_bag_04_02	[~]
msg_bag_04_03	[~]
msg_bag_04_04	[~]
msg_bag_04_05	[~]
msg_bag_04_06	[~]
msg_bag_04_15	[~]
msg_bag_04_07	[~]
msg_bag_04_08	[~]
msg_bag_04_09	[~]
msg_bag_04_10	[~]
msg_bag_04_11	[~]
msg_bag_04_12	[~]
msg_bag_04_13	[~]
msg_bag_05_01	[~]
msg_bag_05_02	[~]
msg_bag_06_00	[~]
msg_bag_06_01	[~]
msg_bag_06_02	[~]
msg_bag_06_03	[~]
msg_bag_06_04	[~]
msg_bag_06_05	[~]
