another_name.tbl
msg_another_name_00	卡洛斯冠軍[VAR 0102(0000)]
msg_another_name_64	對霧感到困惑的[VAR 0102(0000)]
msg_another_name_65	命中注定的[VAR 0102(0000)]
msg_another_name_66	剛釣上來活蹦亂跳的[VAR 0102(0000)]
msg_another_name_67	喜歡咖哩的[VAR 0102(0000)]
msg_another_name_68	不怕人的[VAR 0102(0000)]
msg_another_name_69	沒見過人類的[VAR 0102(0000)]
msg_another_name_70	脾氣暴躁的[VAR 0102(0000)]
msg_another_name_71	腦袋空空的[VAR 0102(0000)]
msg_another_name_72	心跳不已的[VAR 0102(0000)]
msg_another_name_73	興奮的[VAR 0102(0000)]
msg_another_name_74	感覺到氣場的[VAR 0102(0000)]
msg_another_name_75	酷酷的[VAR 0102(0000)]
msg_another_name_76	好鬥的[VAR 0102(0000)]
msg_another_name_77	在發呆的[VAR 0102(0000)]
msg_another_name_78	看起來很幸福的[VAR 0102(0000)]
msg_another_name_79	氣呼呼的[VAR 0102(0000)]
msg_another_name_80	笑瞇瞇的[VAR 0102(0000)]
msg_another_name_81	淚汪汪的[VAR 0102(0000)]
msg_another_name_82	心情好的[VAR 0102(0000)]
msg_another_name_83	心情不好的[VAR 0102(0000)]
msg_another_name_84	聰慧的[VAR 0102(0000)]
msg_another_name_85	狂暴的[VAR 0102(0000)]
msg_another_name_86	伺機而動的[VAR 0102(0000)]
msg_another_name_87	粗獷的[VAR 0102(0000)]
msg_another_name_88	溫柔的[VAR 0102(0000)]
msg_another_name_89	慌慌張張的[VAR 0102(0000)]
msg_another_name_90	充滿幹勁的[VAR 0102(0000)]
msg_another_name_91	毫無幹勁的[VAR 0102(0000)]
msg_another_name_92	囂張跋扈的[VAR 0102(0000)]
msg_another_name_93	缺乏自信的[VAR 0102(0000)]
msg_another_name_94	樸素的[VAR 0102(0000)]
msg_another_name_95	裝模作樣的[VAR 0102(0000)]
msg_another_name_96	精力充沛的[VAR 0102(0000)]
msg_another_name_97	看似疲憊的[VAR 0102(0000)]
msg_another_name_98	遙遠過去的[VAR 0102(0000)]
msg_another_name_99	閃亮之星[VAR 0102(0000)]
msg_another_name_100	帕底亞冠軍[VAR 0102(0000)]
msg_another_name_101	大個子的[VAR 0102(0000)]
msg_another_name_102	小不點的[VAR 0102(0000)]
msg_another_name_103	尋寶獵人[VAR 0102(0000)]
msg_another_name_104	可靠的搭檔[VAR 0102(0000)]
msg_another_name_105	美食家[VAR 0102(0000)]
msg_another_name_106	千載難逢的[VAR 0102(0000)]
msg_another_name_107	曾是頭目的[VAR 0102(0000)]
msg_another_name_108	最強的[VAR 0102(0000)]
msg_another_name_109	曾是寶主的[VAR 0102(0000)]
appli_header.tbl
appli_header_00_00	[~ 0]
appli_header_00_01	包包
appli_header_00_02	招式學習器機
appli_header_00_03	N/A
appli_header_00_04	設定髮型
appli_header_00_05	服裝
appli_header_00_06	預覽
appli_header_00_07	臉部
appli_header_00_08	聯盟集友圈
appli_header_00_09	寶可入口站
appli_header_00_10	[VAR 01D2(0000)]：購買
appli_header_00_11	[VAR 01D2(0000)]：出售
appli_header_00_12	能力
appli_header_00_13	招式學習器機：ＬＰ交換
appli_header_00_14	搜尋太晶團體戰
appli_header_00_15	設定
appli_header_restaurant01	夾飽堡
appli_header_restaurant02	九八酒吧
appli_header_restaurant03	頂新鮮餐廳
appli_header_restaurant04	回轉夢想家
appli_header_restaurant05	回轉夢想家
appli_header_restaurant06	來來來軒
appli_header_restaurant07	饗家
appli_header_restaurant08	百廉家庭餐廳
appli_header_restaurant09	迎濱咖啡
appli_header_restaurant10	學生食堂
appli_header_restaurant11	寶食堂
appli_header_restaurant12	海岱俱樂部
appli_header_restaurant13	親親吉拿棒！
appli_header_restaurant14	戀戀串燒
appli_header_restaurant15	關都可麗餅
appli_header_restaurant16	甜冷美滋
appli_header_restaurant18	甜冷美滋
appli_header_boutique_bag	CEOOU
appli_header_boutique_eye	眼鏡鄉
appli_header_boutique_foot	帕底亞鞋子中心
appli_header_boutique_head	黛貌屋
appli_header_boutique_leg	足下好友
appli_header_boutique_high_price	倍達
appli_header_boutique_low_price	R＆T
appli_header_boutique_ride	賽固樂
appli_header_hairsalon	儷活美髮沙龍
app_common.tbl
msg_common_18_keywait	[~ 0]
msg_common_28_keywait	[~ 1]
msg_common_30_keywait	[~ 2]
msg_common_01	[~ 3]
msg_common_02	[~ 4]
msg_common_03	[~ 5]
msg_common_04	[~ 6]
msg_common_05	[~ 7]
msg_common_06	[~ 8]
msg_common_07	[~ 9]
msg_common_08	[~ 10]
msg_common_08_02	[~ 11]
msg_common_09	[~ 12]
msg_common_10	[~ 13]
msg_common_11	[~ 14]
msg_common_11_02	[~ 15]
msg_common_12	[~ 16]
msg_common_12_02	[~ 17]
msg_common_12_03	[~ 18]
msg_common_12_08	[~ 19]
msg_common_13	[~ 20]
msg_common_13_09	[~ 21]
msg_common_14	[~ 22]
msg_common_14_02	[~ 23]
msg_common_14_03	[~ 24]
msg_common_14_08	[~ 25]
msg_common_15	[~ 26]
msg_common_15_04	[~ 27]
msg_common_16	[~ 28]
msg_common_16_04	[~ 29]
msg_common_16_05	[~ 30]
msg_common_16_07	[~ 31]
msg_common_18	[~ 32]
msg_common_18_02	[~ 33]
msg_common_18_03	[~ 34]
msg_common_18_04	[~ 35]
msg_common_18_05	[~ 36]
msg_common_18_07	[~ 37]
msg_common_18_10	[~ 38]
msg_common_18_11	[~ 39]
msg_common_20	[~ 40]
msg_common_20_05	[~ 41]
msg_common_20_11	[~ 42]
msg_common_21_03	[~ 43]
msg_common_22	[~ 44]
msg_common_22_02	[~ 45]
msg_common_22_03	[~ 46]
msg_common_23	[~ 47]
msg_common_23_02	[~ 48]
msg_common_24	[~ 49]
msg_common_S_01	[~ 50]
msg_common_S_02	[~ 51]
msg_common_S_03	[~ 52]
msg_common_S_04	[~ 53]
msg_common_S_05	[~ 54]
msg_common_S_06	[~ 55]
msg_common_S_07	[~ 56]
msg_common_S_08	[~ 57]
msg_common_S_09	[~ 58]
msg_common_S_10	[~ 59]
msg_common_S_12	[~ 60]
msg_common_S_14	[~ 61]
msg_common_S_16	[~ 62]
msg_common_num_Lv	[~ 63]
bag.tbl
msg_ui_bag_okodukai_00	[~ 0]
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_category_00	[~ 3]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_itemdescription	[~ 5]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_00	HP
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_type	屬性
msg_ui_bag_wazamachine_classification	分類
msg_ui_bag_wazamachine_power	威力
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	命中
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
xxx_msg_ui_bag_wazamachine_id	[~ 21]
msg_ui_bag_wazamachine_id	[VAR 0202(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_pp_01	[~ 24]
msg_ui_bag_pp_02	[~ 25]
msg_ui_bag_new_count	[~ 26]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_new	[~ 28]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	確定
msg_ui_bag_option_return	返回
msg_ui_bag_option_favorite	我的最愛
msg_ui_bag_option_sort	排序
msg_ui_bag_noitem	空空如也
msg_ui_bag_wazamashine_msg_00	要對哪隻寶可夢使用？
msg_ui_bag_wazamashine_msg_01	[VAR 0107(0001)]不適合\n[VAR 0102(0000)]！\c\n無法學會[VAR 0107(0001)]！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]原本就已經\n學會了[VAR 0107(0001)]。\c
msg_ui_bag_wazamashine_msg_05	啟動了招式學習器！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]\n學會了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]想要學習\n[VAR 0107(0001)]……\c\n為了學習[VAR 0107(0001)]，\n要忘記其他的招式嗎？
msg_ui_bag_wazamashine_msg_08	１[WAIT 10]、２[WAIT 10]…[WAIT 10]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0005)]\c\n[VAR 0102(0000)]忘記了\n[VAR 0107(0001)]，\r\n[VAR BE05(0006)]學會了[VAR 0107(0002)]！[VAR BE05(0004)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]最終沒有學會\n[VAR 0107(0001)]！\c
msg_ui_bag_wazamashine_msg_10	為了學習[VAR 0107(0000)]，\n請選擇要忘記的招式！\c
msg_ui_bag_wazamashine_msg_11	[~ 45]
msg_ui_bag_wazamashine_msg_12	[~ 46]
msg_ui_bag_wazamashine_msg_13	[~ 47]
msg_ui_bag_wazamashine_msg_14	[~ 48]
msg_ui_bag_wazamashine_msg_15	是
msg_ui_bag_wazamashine_msg_16	否
msg_ui_bag_wazamashine_memory_00	能學習！
msg_ui_bag_wazamashine_memory_01	不能學習
xxx_msg_ui_bag_wazamashine_memory_00	[~ 53]
xxx_msg_ui_bag_wazamashine_memory_01	[~ 54]
msg_ui_bag_wazamashine_memory_02	已學會
msg_ui_bag_tokuseicapsule_00	能使用！
msg_ui_bag_tokuseicapsule_01	不能使用
msg_ui_bag_registration_00	[~ 58]
msg_ui_bag_registration_01	[~ 59]
msg_ui_bag_registration_02	[~ 60]
msg_ui_bag_konseki_00	[~ 61]
msg_ui_bag_konseki_01	[~ 62]
msg_ui_bag_konseki_02	[~ 63]
msg_ui_bag_konseki_03	[~ 64]
msg_ui_bag_konseki_04	[~ 65]
msg_ui_bag_konseki_05	[~ 66]
msg_ui_bag_shop_00	N/A
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]
msg_ui_bag_shop_04	收購價
msg_ui_bag_shop_05	那麼，我用[VAR 0207(0000,0000)]\n跟您收購如何？
msg_ui_bag_shop_06	是
msg_ui_bag_shop_07	否
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	要賣出多少個[VAR 0109(0000)]？
msg_ui_bag_shop_10	無法收購[VAR 0109(0000)]。\c
msg_ui_bag_shop_11	交出[VAR 0109(0000)]，\n獲得了[VAR 0207(0001,0000)]。\c
msg_ui_bag_shop_11_s	交出[VAR 0109(0000)]，\n獲得了[VAR 0207(0001,0000)]。\c
msg_ui_bag_sort_01	按種類排序
msg_ui_bag_sort_02	按名稱排序
msg_ui_bag_sort_04	NEW
msg_ui_bag_sort_03	按編號排序
msg_ui_bag_sort_05	我的最愛
msg_ui_bag_sort_06	退出
msg_ui_bag_sort_msg_00	要更改成哪種排序？
msg_ui_bag_sort_msg_01	按種類排序整理了持有物！\c
msg_ui_bag_sort_msg_02	按名稱排序整理了持有物！\c
msg_ui_bag_sort_msg_03	按編號排序整理了持有物！\c
msg_ui_bag_sort_msg_05	將我的最愛\n整理到列表上方了！\c
msg_ui_bag_sort_msg_04	將新獲得的持有物\n整理到列表上方了！\c
msg_ui_bag_use	使用
msg_ui_bag_have	攜帶
msg_ui_bag_freespace	[~ 94]
msg_ui_bag_evert	[~ 95]
msg_ui_bag_registration	[~ 96]
msg_ui_bag_gakushusouchi_00	開啟
msg_ui_bag_gakushusouchi_01	關閉
msg_ui_bag_leave	取消
msg_ui_bag_use_msg_00	要拿[VAR 0109(0000)]做什麼？
msg_ui_bag_use_msg_01	[VAR 0102(0000)]的體力回復了[VAR 0202(0001)]！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]恢復了活力！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]中的毒消失得一乾二淨了！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]身上的麻痺解除了！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]的灼傷痊癒了！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]身上的冰融化了！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]醒過來了！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]恢復健康了！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)]的[VAR 010D(0001)]\n基礎點數上升了！\c
msg_ui_bag_use_msg_11	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數下降了！\c
msg_ui_bag_use_msg_12	和[VAR 0102(0000)]變得無比親密了！\c\n[VAR 010D(0001)]的基礎點數下降了！\c
msg_ui_bag_use_msg_13	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數\n已經不能再降低了！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_15	之前使用的噴霧效果還沒消失！\c
msg_ui_bag_use_msg_16	讓寶可夢攜帶了[VAR 0109(0000)]！\c
msg_ui_bag_use_msg_17	收回[VAR 0109(0000)]，\n並讓寶可夢攜帶了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_18	無法讓寶可夢攜帶\n[VAR 0109(0000)]！\c
msg_ui_bag_use_msg_19	現在使用沒有效果。\c
msg_ui_bag_use_msg_20	校長說過……\n[VAR 0100(0000)]同學！道具是要\r\n看場合來使用的啊。\c
msg_ui_bag_use_msg_21	沒有寶可夢！\c
msg_ui_bag_use_msg_22	要對哪隻寶可夢使用？
msg_ui_bag_use_msg_23	要讓哪隻寶可夢攜帶？
msg_ui_bag_use_msg_24	蛋無法攜帶道具。\c
msg_ui_bag_use_msg_25	ＰＰ回復了！\c
msg_ui_bag_use_msg_26	要把[VAR 0109(0001)]\n替換成[VAR 0109(0000)]嗎？
msg_ui_bag_use_msg_27	要回復哪個招式的ＰＰ？
msg_ui_bag_use_msg_28	要增加哪個招式的ＰＰ？
msg_ui_bag_use_msg_29	[VAR 0107(0000)]的ＰＰ增加了！\c
msg_ui_bag_use_msg_30	包包已滿，無法收回道具！\c
msg_ui_bag_use_msg_31	蛋無法攜帶道具。\c
msg_ui_bag_use_msg_32	ＰＰ回復了！\c
msg_ui_bag_use_msg_37	[VAR BE05(0005)][VAR 0102(0000)]的等級\n提升到[VAR 0202(0001)]了！\c
msg_ui_bag_use_msg_39	不能對瀕死的寶可夢使用。\c
msg_ui_bag_use_msg_43	同行的隊伍已滿，無法分離。\c
msg_ui_bag_use_msg_43b	同行的隊伍已滿，無法分離。\c
msg_ui_bag_use_msg_45	已開啟學習裝置。\c
msg_ui_bag_use_msg_46	已關閉學習裝置。\c
msg_ui_bag_use_msg_47	因為[VAR 0107(0001)]的效果，\n無法對[VAR 0102(0000)]使用！\c
msg_ui_bag_use_msg_67	心愛的野餐用品！\n……在野餐時使用吧！\c
msg_ui_bag_use_msg_68	是能用在招式學習器機的\n寶可夢的掉落物！\c
msg_ui_bag_use_msg_69	[~ 141]
msg_ui_bag_use_msg_70	從派帕那裡收下的朱之書！\c\n書中記載著很久以前的人在第零區\n探險的紀錄，而且還配有插畫！\c
msg_ui_bag_use_msg_71	從派帕那裡收下的紫之書！\c\n書中記載著很久以前的人在第零區\n探險的紀錄，而且還配有插畫！\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_waza_05	PP
msg_ui_bag_waza_01	[~ 146]
msg_ui_bag_waza_02	[~ 147]
msg_ui_bag_waza_03	[~ 148]
msg_ui_bag_waza_04	[~ 149]
msg_ui_bag_bicycle_00	[~ 150]
msg_ui_bag_bicycle_01	[~ 151]
msg_ui_bag_use_union_msg_00	無法與瀕死的寶可夢合體。\c
msg_ui_bag_use_union_msg_00b	無法與瀕死的寶可夢合體。\c
msg_ui_bag_use_union_msg_01	無法與這隻寶可夢合體。\c
msg_ui_bag_use_union_msg_01b	無法與這隻寶可夢合體。\c
msg_ui_bag_use_union_msg_02	無法與蛋合體。\c
msg_ui_bag_use_union_msg_02b	無法與蛋合體。\c
msg_ui_bag_use_union_msg_03	同行的隊伍已滿，無法分離。\c
msg_ui_bag_use_union_msg_03b	同行的隊伍已滿，無法分離。\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]的模樣改變了！
msg_ui_bag_use_union_msg_05	要和哪隻寶可夢合體？
msg_ui_bag_use_union_msg_05b	要和哪隻寶可夢合體？
msg_ui_bag_use_union_msg_07	忘記了[VAR 0107(0000)]！\c
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]忘記了\n[VAR 0107(0001)]……\c
msg_ui_bag_use_union_msg_06	無法對蛋使用。\c
msg_ui_bag_use_special_msg_00	要變更[VAR 0102(0000)]的特性嗎？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]的特性\n變成了[VAR 0106(0001)]！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	攻擊
msg_ui_bag_lvup_01	防禦
msg_ui_bag_lvup_02	特攻
msg_ui_bag_lvup_03	特防
msg_ui_bag_lvup_04	速度
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	要改變[VAR 0102(0000)]的能力嗎？
msg_ui_bag_use_msg_49	因為[VAR 0109(0000)]的效果，\n[VAR 0102(0001)]的能力\r\n似乎產生了變化！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	[~ 178]
msg_ui_bag_use_msg_51	[~ 179]
msg_ui_bag_use_msg_52	要用幾個[VAR 0109(0001)]？
msg_ui_bag_use_msg_53	無法從包包裡騎自行車。\c
msg_ui_bag_use_msg_54	無法從包包裡釣魚。\c
msg_ui_bag_use_msg_55	無法從包包裡\n使用寶可夢盒！\c
msg_ui_bag_use_msg_56	燈泡
msg_ui_bag_use_msg_57	微波爐
msg_ui_bag_use_msg_58	洗衣機
msg_ui_bag_use_msg_59	冰箱
msg_ui_bag_use_msg_60	電風扇
msg_ui_bag_use_msg_61	割草機
msg_ui_bag_use_msg_62	要訂購哪種電器呢？
msg_ui_bag_use_msg_63	[~ 191]
msg_ui_bag_use_msg_64	[~ 192]
msg_ui_bag_use_msg_65	改變樣子
msg_ui_bag_use_msg_66	改變特性
msg_ui_bag_item_synthesis_00	[~ 195]
msg_ui_bag_item_synthesis_01	[~ 196]
msg_ui_bag_waza_npc_00	要讓哪隻寶可夢學習？
msg_ui_bag_waza_npc_01	×
msg_ui_bag_waza_npc_02	[VAR 0109(0000)]
msg_ui_bag_waza_npc_03	[VAR 0202(0000)]
msg_bag_01_00	[~ 201]
msg_bag_01_01	[~ 202]
msg_bag_01_02	[~ 203]
msg_bag_01_03	[~ 204]
msg_bag_01_04	[~ 205]
msg_bag_01_05	[~ 206]
msg_bag_01_06	[~ 207]
msg_bag_01_07	[~ 208]
msg_bag_01_08	[~ 209]
msg_bag_01_09	[~ 210]
msg_bag_01_10	[~ 211]
msg_bag_01_11	[~ 212]
msg_bag_01_15	[~ 213]
msg_bag_01_16	[~ 214]
msg_bag_01_17	[~ 215]
msg_bag_01_18	[~ 216]
msg_bag_01_19	[~ 217]
msg_bag_01_25	[~ 218]
msg_bag_01_26	[~ 219]
msg_bag_01_27	[~ 220]
msg_bag_01_28	[~ 221]
msg_bag_01_30	[~ 222]
msg_bag_01_31	[~ 223]
msg_bag_02_01	[~ 224]
msg_bag_02_02	[~ 225]
msg_bag_02_03	[~ 226]
msg_bag_02_04	[~ 227]
msg_bag_02_05	[~ 228]
msg_bag_02_06	[~ 229]
msg_bag_02_07	[~ 230]
msg_bag_03_01	[~ 231]
msg_bag_03_02	[~ 232]
msg_bag_03_03	[~ 233]
msg_bag_03_04	[~ 234]
msg_bag_03_05	[~ 235]
msg_bag_03_06	[~ 236]
msg_bag_03_07	[~ 237]
msg_bag_03_08	[~ 238]
msg_bag_03_09	[~ 239]
msg_bag_03_10	[~ 240]
msg_bag_03_11	[~ 241]
msg_bag_03_12	[~ 242]
msg_bag_03_13	[~ 243]
msg_bag_03_20	[~ 244]
msg_bag_03_21	[~ 245]
msg_bag_03_22	[~ 246]
msg_bag_03_23	[~ 247]
msg_bag_03_30	[~ 248]
msg_bag_04_01	[~ 249]
msg_bag_04_02	[~ 250]
msg_bag_04_03	[~ 251]
msg_bag_04_04	[~ 252]
msg_bag_04_05	[~ 253]
msg_bag_04_06	[~ 254]
msg_bag_04_15	[~ 255]
msg_bag_04_07	[~ 256]
msg_bag_04_08	[~ 257]
msg_bag_04_09	[~ 258]
msg_bag_04_10	[~ 259]
msg_bag_04_11	[~ 260]
msg_bag_04_12	[~ 261]
msg_bag_04_13	[~ 262]
msg_bag_05_01	[~ 263]
msg_bag_05_02	[~ 264]
msg_bag_06_00	[~ 265]
msg_bag_06_01	[~ 266]
msg_bag_06_02	[~ 267]
msg_bag_06_03	[~ 268]
msg_bag_06_04	[~ 269]
msg_bag_06_05	[~ 270]
msg_bag_06_06	[~ 271]
msg_bag_06_07	[~ 272]
msg_bag_06_08	[~ 273]
msg_bag_06_10	[~ 274]
msg_bag_06_11	[~ 275]
msg_bag_06_12	[~ 276]
msg_bag_06_13	[~ 277]
msg_bag_06_20	[~ 278]
msg_bag_06_21	[~ 279]
msg_bag_06_30	[~ 280]
msg_bag_06_31	[~ 281]
msg_bag_06_40	[~ 282]
msg_bag_06_41	[~ 283]
msg_bag_06_42	[~ 284]
msg_bag_06_43	[~ 285]
msg_bag_06_44	[~ 286]
msg_bag_06_50	[~ 287]
msg_bag_06_51	[~ 288]
msg_bag_06_52	[~ 289]
msg_bag_06_53	[~ 290]
msg_bag_06_54	[~ 291]
msg_bag_06_60	[~ 292]
msg_bag_06_61	[~ 293]
msg_bag_06_70	[~ 294]
msg_bag_06_71	[~ 295]
msg_bag_06_80	[~ 296]
msg_bag_06_81	[~ 297]
msg_bag_06_82	[~ 298]
msg_bag_06_83	[~ 299]
msg_bag_06_90	[~ 300]
msg_bag_06_91	[~ 301]
msg_bag_06_92	[~ 302]
msg_bag_06_93	[~ 303]
msg_bag_06_94	[~ 304]
msg_bag_06_95	[~ 305]
msg_bag_06_96	[~ 306]
msg_bag_06_100	[~ 307]
msg_bag_06_110	[~ 308]
msg_bag_06_120	[~ 309]
msg_bag_06_121	[~ 310]
msg_bag_06_122	[~ 311]
msg_bag_06_123	[~ 312]
msg_bag_06_124	[~ 313]
msg_bag_07_01	[~ 314]
msg_bag_07_02	[~ 315]
msg_bag_07_03	[~ 316]
msg_bag_07_04	[~ 317]
msg_bag_07_05	[~ 318]
msg_bag_07_06	[~ 319]
msg_bag_07_07	[~ 320]
msg_bag_07_08	[~ 321]
msg_bag_08_01	[~ 322]
msg_bag_08_02	[~ 323]
msg_bag_08_03	[~ 324]
msg_bag_08_04	[~ 325]
msg_bag_09_01	[~ 326]
msg_bag_09_02	[~ 327]
msg_bag_09_03	[~ 328]
msg_bag_09_04	[~ 329]
msg_bag_09_05	[~ 330]
msg_bag_09_10	[~ 331]
msg_bag_09_11	[~ 332]
msg_bag_09_12	[~ 333]
msg_bag_09_20	[~ 334]
msg_bag_09_30	[~ 335]
msg_bag_09_50	[~ 336]
msg_bag_10_01	[~ 337]
msg_bag_10_02	[~ 338]
msg_bag_10_03	[~ 339]
msg_bag_10_04	[~ 340]
msg_bag_10_05	[~ 341]
msg_bag_10_06	[~ 342]
msg_bag_20_01	[~ 343]
msg_bag_20_02	[~ 344]
msg_bag_20_03	[~ 345]
msg_bag_20_04	[~ 346]
msg_bag_20_05	[~ 347]
msg_bag_20_06	[~ 348]
