album.msbt
armor.msbt
Fighter00	みならいのよろい
Thief24	ハイテクのしょうぞく
Thief25	アイスクリームしょうぞく
Thief26	おうけのしょうぞく
Thief27	こだいのしょうぞく
Thief28	キノコのしょうぞく
Thief29	アウトドアのしょうぞく
IdolM00	みならいスタイル
IdolM01	えいゆうのスタイル
IdolM02	でんせつのスタイル
IdolM03	ヒーローのスタイル
IdolM04	マッチョのスタイル
IdolM05	ハートのスタイル
IdolM06	かがやきスタイル
IdolM07	みずたまのスタイル
IdolM08	ボロボロのスタイル
IdolM09	ウールのスタイル
IdolM10	プリンスのスタイル
IdolM11	カジュアルスタイル
IdolM12	ワイルドスタイル
IdolM13	タキシードスタイル
IdolM14	カラフルスタイル
IdolM15	スマートスタイル
IdolF00	みならいコーデ
IdolF01	えいゆうのコーデ
IdolF02	でんせつのコーデ
IdolF03	ヒーローのコーデ
IdolF04	マッチョのコーデ
IdolF05	ハートのコーデ
IdolF06	いちごコーデ
IdolF07	みずたまのコーデ
IdolF08	ボロボロのコーデ
IdolF09	ウールのコーデ
IdolF10	スクールコーデ
IdolF11	ゴシックパンクコーデ
IdolF12	ようせいコーデ
IdolF13	ゆかたのコーデ
IdolF14	ギンガムコーデ
IdolF15	オーロラコーデ
Vampire00	みならいスーツ
Vampire01	バラのスーツ
Vampire02	ホワイトスーツ
Vampire03	レザースーツ
Vampire04	やみよのスーツ
Vampire05	フリルのスーツ
Vampire06	ベルベットスーツ
Vampire07	シルバースーツ
Vampire08	ゴールドスーツ
Vampire09	まかいのスーツ
Vampire10	プラチナスーツ
Vampire11	えいゆうのスーツ
Vampire12	でんせつのスーツ
Vampire13	ヒーローのスーツ
Vampire14	マッチョのスーツ
Vampire15	ハートのスーツ
Vampire16	ラブリースーツ
Vampire17	みずたまのスーツ
Vampire18	ボロボロのスーツ
Vampire19	ウールのスーツ
Vampire20	オカシなスーツ
Vampire21	パーティースーツ
Vampire22	めいじのスーツ
Vampire23	レプラコーンスーツ
Vampire24	すいそうスーツ
Vampire25	マジシャンスーツ
Vampire26	ブリキのスーツ
Vampire27	チェックのスーツ
Vampire28	おしゃれなスーツ
Vampire29	おこさまスーツ
Cook00	みならいエプロン
Cook01	ちゅうかエプロン
Cook02	フリルのエプロン
Cook03	あつでのエプロン
Cook04	みつぼしエプロン
Cook05	やみのエプロン
Cook06	フシギのエプロン
Cook07	ハロウィンエプロン
Cook08	つよびのエプロン
Cook09	セーラーエプロン
Cook10	チョコレートエプロン
Cook11	えいゆうのエプロン
Cook12	でんせつのエプロン
Cook13	ヒーローのエプロン
Cook14	マッチョのエプロン
Cook15	ハートのエプロン
Cook16	ブドウのエプロン
Cook17	みずたまのエプロン
Cook18	ボロボロのエプロン
Cook19	ウールのエプロン
Cook20	メカニカルエプロン
Cook21	ファンシーエプロン
Cook22	シェフのエプロン
Cook23	スイーツエプロン
Cook24	かみのエプロン
Cook25	たつじんのエプロン
Cook26	チェックのエプロン
Cook27	どうぞうエプロン
Cook28	ウッドエプロン
Cook29	いたまえエプロン
Tank00	みならいアーマー
Tank01	めいさいアーマー
Tank02	ウッドアーマー
Tank03	ゆでダコアーマー
Tank04	ふるびたアーマー
Tank05	オモチャのアーマー
Tank06	だんボールアーマー
Tank07	アイスアーマー
Tank08	つぎはぎアーマー
Tank09	ネオンアーマー
Tank10	レンガアーマ―
Tank11	えいゆうのアーマー
Tank12	でんせつのアーマー
Tank13	ヒーローのアーマー
Tank14	マッチョのアーマー
Tank15	ハートのアーマー
Tank16	スイカアーマー
Tank17	みずたまのアーマー
Tank18	ボロボロのアーマー
Tank19	ウールのアーマー
Tank20	うるしぬりアーマー
Tank21	ファンシーアーマー
Tank22	めいさいアーマーII
Tank23	キラキラアーマー
Tank24	ビリヤードアーマー
Tank25	タイガーアーマー
Tank26	グラフィティアーマー
Tank27	チタンアーマー
Tank28	スチームパンクアーマー
Tank29	しんでんアーマー
Devil00	みならいのツバサ
Devil01	ヤギのツバサ
Devil02	こうもりのツバサ
Devil03	せいふくのツバサ
Devil04	マミィのツバサ
Devil05	ぎんのツバサ
Devil06	ロックなツバサ
Devil07	スチームパンクのツバサ
Devil08	かいちょうのツバサ
Devil09	ドラゴンのツバサ
Devil10	ジョーカーのツバサ
Devil11	えいゆうのツバサ
Devil12	でんせつのツバサ
Devil13	ヒーローのツバサ
Devil14	マッチョのツバサ
Devil15	ハートのツバサ
Devil16	せきぞうのツバサ
Devil17	みずたまのツバサ
Devil18	ボロボロのツバサ
Devil19	ウールのツバサ
Devil20	てんしのツバサ
Devil21	エナメルのツバサ
Devil22	みわくのツバサ
Devil23	かみなりさまのツバサ
Devil24	ネオンのツバサ
Devil25	おうけのツバサ
Devil26	ようせいのツバサ
Devil27	オニのツバサ
Devil28	きかいのツバサ
Devil29	イカのツバサ
Royalty00	みならいドレス
Royalty01	フラワードレス
Royalty02	しょみんのドレス
Royalty03	ししゅうのドレス
Royalty04	クリスタルドレス
Royalty05	チャイナドレス
Royalty06	シルクのドレス
Royalty07	しんわのドレス
Royalty08	よぞらのドレス
Royalty09	まじょのドレス
Royalty10	ヴァルキリードレス
Royalty11	えいゆうのドレス
Royalty12	でんせつのドレス
Royalty13	ヒーローのドレス
Royalty14	マッチョのドレス
Royalty15	ハートのドレス
Royalty16	じょおうばちのドレス
Royalty17	みずたまのドレス
Royalty18	ボロボロのドレス
Royalty19	ウールのドレス
Royalty20	ゴシックドレス
Royalty21	ウエディングドレス
Royalty22	パンクなドレス
Royalty23	ナースドレス
Royalty24	きんみらいドレス
Royalty25	セーラードレス
Royalty26	カラフルドレス
Royalty27	スイーツドレス
Royalty28	ディスコなドレス
Royalty29	じゅうにひとえ
Flower00	みならいのはな
Flower01	サクラのはな
Flower02	タンポポのはな
Flower03	スミレのはな
Flower04	ヒマワリのはな
Flower05	バラのはな
Flower06	しょくちゅうしょくぶつ
Flower07	ハスのはな
Flower08	よつばのクローバー
Flower09	サボテンのはな
Flower10	ブーケのはな
Flower11	えいゆうのはな
Flower12	でんせつのはな
Flower13	ヒーローのはな
Flower14	マッチョのはな
Flower15	ハートのはな
Flower16	ラフレシアのはな
Flower17	みずたまのはな
Flower18	ボロボロのはな
Flower19	ウールのはな
Flower20	クジャクのはな
Flower21	ドライフラワー
Flower22	ステンドグラスのはな
Flower23	クリスタルのはな
Flower24	イソギンチャクのはな
Flower25	らくがきのはな
Flower26	マンドラゴラのはな
Flower27	めがみのはな
Flower28	おばけキノコのはな
Flower29	きかいのはな
Scientist00	みならいゴーグル
Scientist01	じっけんゴーグル
Scientist02	ミラーゴーグル
Scientist03	ハイテクゴーグル
Scientist04	めだまゴーグル
Scientist05	ウオッチゴーグル
Scientist06	ファンシーゴーグル
Scientist07	スチームパンクゴーグル
Scientist08	バラのゴーグル
Scientist09	サイバーゴーグル
Scientist10	かいぞくゴーグル
Scientist11	えいゆうのゴーグル
Scientist12	でんせつのゴーグル
Scientist13	ヒーローのゴーグル
Scientist14	マッチョのゴーグル
Scientist15	ハートのゴーグル
Scientist16	バクハツゴーグル
Scientist17	みずたまのゴーグル
Scientist18	ボロボロのゴーグル
Scientist19	ウールのゴーグル
Scientist20	メタルゴーグル
Scientist21	バカンスゴーグル
Scientist22	マスカレードゴーグル
Scientist23	ほしのゴーグル
Scientist24	いろちがいゴーグル
Scientist25	レトロなゴーグル
Scientist26	スライムゴーグル
Scientist27	プラスチックゴーグル
Scientist28	ゴージャスゴーグル
Scientist29	ビンぞこゴーグル
Cat00	みならいネコ
Cat01	アメショのネコ
Cat02	ベンガルネコ
Cat03	みけネコ
Cat04	シャムネコ
Cat05	スフィンクス
Cat06	フサフサなネコ
Cat07	ぶちネコ
Cat08	レオタードのネコ
Cat09	おうけのネコ
Cat10	ながぐつのネコ
Cat11	えいゆうのネコ
Cat12	でんせつのネコ
Cat13	ヒーローのネコ
Cat14	マッチョのネコ
Cat15	ハートのネコ
Cat16	カジュアルなネコ
Cat17	みずたまのネコ
Cat18	ボロボロのネコ
Cat19	ウールのネコ
Cat20	ロボットネコ
Cat21	ファンシーなネコ
Cat22	しんしのネコ
Cat23	えきちょうのネコ
Cat24	ちゃんちゃんこのネコ
Cat25	じんべえのネコ
Cat26	メイドネコ
Cat27	ウルフのネコ
Cat28	きょうりゅうネコ
Cat29	エナメルのネコ
Elf00	みならいマント
Elf01	かわのマント
Elf02	てつのマント
Elf03	ぎんのマント
Elf04	しっぷうのマント
Elf05	ちえのマント
Elf06	せいれいのマント
Elf07	やみのマント
Elf08	せいなるマント
Elf09	ドラゴンマント
Elf10	けがわのマント
Elf11	えいゆうのマント
Elf12	でんせつのマント
Elf13	ヒーローのマント
Elf14	マッチョのマント
Elf15	ハートのマント
Elf16	クリスタルマント
Elf17	みずたまのマント
Elf18	ボロボロのマント
Elf19	ウールのマント
Elf20	ようせいのマント
Elf21	みつばちマント
Elf22	はなかんむりのマント
Elf23	メタルなマント
Elf24	カラフルマント
Elf25	きゅうどうのマント
Elf26	バレリーナのマント
Elf27	ロボットのマント
Elf28	ポンチョのマント
Elf29	きこりのマント
Amiibo00	マリオのふく
Amiibo01	ルイージのふく
Amiibo02	ロゼッタのふく
Amiibo03	ヨッシーのふく
Amiibo04	ピーチのふく
Amiibo05	デイジーのふく
Amiibo06	とたけけのふく
Amiibo07	クッパのふく
Amiibo08	ドンキーコングのふく
Amiibo09	しずえのふく
Amiibo10	リンクのふく
Amiibo11	ゼルダのふく
Amiibo12	ガノンドロフのふく
Amiibo13	キノピオのふく
Amiibo14	カービィのふく
Amiibo15	ネスのふく
Amiibo16	ボーイのふく
Amiibo17	ガールのふく
Amiibo18	アオリのふく
Amiibo19	ホタルのふく
Amiibo20	イカのふく
Amiibo21	たぬきちのふく
Amiibo22	リセットさんのふく
Amiibo23	シークのふく
Amiibo24	サムスのふく
Amiibo25	ゼロスーツサムスのふく
armor_Attr.msbt
armor_P.msbt
Fighter00	みならいのよろい
Fighter01	かわのよろい
Fighter02	せいどうのよろい
Fighter03	てつのよろい
Fighter04	ぎんのよろい
Fighter05	まほうのよろい
Fighter06	こうてつのよろい
Fighter07	こだいのよろい
Fighter08	ドラゴンのよろい
Fighter09	おうごんのよろい
Fighter10	せいなるよろい
Fighter11	えいゆうのよろい
Fighter12	でんせつのよろい
Fighter13	ヒーローのよろい
Fighter14	マッチョのよろい
Fighter15	ハートのよろい
Fighter16	みつばちのよろい
Fighter17	みずたまのよろい
Fighter18	ボロボロのよろい
Fighter19	ウールのよろい
Fighter20	たんけんかのよろい
Fighter21	かいがらのよろい
Fighter22	ネオンのよろい
Fighter23	ファンシーなよろい
Fighter24	むしゃのよろい
Fighter25	かいじゅうのよろい
Fighter26	ブロンズのよろい
Fighter27	バイキングのよろい
Fighter28	おおガラスのよろい
Fighter29	めいさいのよろい
Fighter30	うちゅうのよろい
Wizard00	みならいローブ
Wizard01	リネンローブ
Wizard02	レザーローブ
Wizard03	シルクのローブ
Wizard04	マジカルローブ
Wizard05	せいれいのローブ
Wizard06	かがやくローブ
Wizard07	くろまほうローブ
Wizard08	だいまほうローブ
Wizard09	マグマのローブ
Wizard10	まほうもじのローブ
Wizard11	えいゆうのローブ
Wizard12	でんせつのローブ
Wizard13	ヒーローのローブ
Wizard14	マッチョのローブ
Wizard15	ハートのローブ
Wizard16	ダウンジャケットローブ
Wizard17	みずたまのローブ
Wizard18	ボロボロローブ
Wizard19	ウールのローブ
Wizard20	ようきなローブ
Wizard21	ブレザーローブ
Wizard22	ファスナーローブ
Wizard23	クロスハートローブ
Wizard24	ピエロのローブ
Wizard25	きものローブ
Wizard26	セレブのローブ
Wizard27	ブリキのローブ
Wizard28	ヘビがらローブ
Wizard29	おどりこのローブ
Priest00	みならいのころも
Priest01	あさのころも
Priest02	かわのころも
Priest03	きぬのころも
Priest04	ひかりのころも
Priest05	せいじゃのころも
Priest06	しんぴのころも
Priest07	ナゾめいたころも
Priest08	さとりのころも
Priest09	せいなるころも
Priest10	さばきのころも
Priest11	えいゆうのころも
Priest12	でんせつのころも
Priest13	ヒーローのころも
Priest14	マッチョのころも
Priest15	ハートのころも
Priest16	ペンギンのころも
Priest17	みずたまのころも
Priest18	ボロボロのころも
Priest19	ウールのころも
Priest20	へいあんのころも
Priest21	フリフリレースのころも
Priest22	いのりのころも
Priest23	マトリョーシカのころも
Priest24	パンのころも
Priest25	ベルのころも
Priest26	むぎわらのころも
Priest27	ガラスのころも
Priest28	オバケのころも
Priest29	ブリキのころも
Thief00	みならいのしょうぞく
Thief01	かわのしょうぞく
Thief02	けがわのしょうぞく
Thief03	シルクのしょうぞく
Thief04	いしころしょうぞく
Thief05	すいえいのしょうぞく
Thief06	しおかぜのしょうぞく
Thief07	イナズマのしょうぞく
Thief08	ニンジャのしょうぞく
Thief09	こうてつのしょうぞく
Thief10	パンクのしょうぞく
Thief11	えいゆうのしょうぞく
Thief12	でんせつのしょうぞく
Thief13	ヒーローのしょうぞく
Thief14	マッチョのしょうぞく
Thief15	ハートのしょうぞく
Thief16	ガイコツのしょうぞく
Thief17	みずたまのしょうぞく
Thief18	ボロボロのしょうぞく
Thief19	ウールのしょうぞく
Thief20	かいじゅうのしょうぞく
Thief21	ヒップホップのしょうぞく
Thief22	アラビアンしょうぞく
Thief23	ヒヨコのしょうぞく
Thief24	ハイテクのしょうぞく
Thief25	アイスクリームしょうぞく
Thief26	おうけのしょうぞく
Thief27	こだいのしょうぞく
Thief28	キノコのしょうぞく
Thief29	アウトドアのしょうぞく
IdolM00	みならいスタイル
IdolM01	えいゆうのスタイル
IdolM02	でんせつのスタイル
IdolM03	ヒーローのスタイル
IdolM04	マッチョのスタイル
IdolM05	ハートのスタイル
IdolM06	かがやきスタイル
IdolM07	みずたまのスタイル
IdolM08	ボロボロのスタイル
IdolM09	ウールのスタイル
IdolM10	プリンスのスタイル
IdolM11	カジュアルスタイル
IdolM12	ワイルドスタイル
IdolM13	タキシードスタイル
IdolM14	カラフルスタイル
IdolM15	スマートスタイル
IdolF00	みならいコーデ
IdolF01	えいゆうのコーデ
IdolF02	でんせつのコーデ
IdolF03	ヒーローのコーデ
IdolF04	マッチョのコーデ
IdolF05	ハートのコーデ
IdolF06	いちごコーデ
IdolF07	みずたまのコーデ
IdolF08	ボロボロのコーデ
IdolF09	ウールのコーデ
IdolF10	スクールコーデ
IdolF11	ゴシックパンクコーデ
IdolF12	ようせいコーデ
IdolF13	ゆかたのコーデ
IdolF14	ギンガムコーデ
IdolF15	オーロラコーデ
Vampire00	みならいスーツ
Vampire01	バラのスーツ
Vampire02	ホワイトスーツ
Vampire03	レザースーツ
Vampire04	やみよのスーツ
Vampire05	フリルのスーツ
Vampire06	ベルベットスーツ
Vampire07	シルバースーツ
Vampire08	ゴールドスーツ
Vampire09	まかいのスーツ
Vampire10	プラチナスーツ
Vampire11	えいゆうのスーツ
Vampire12	でんせつのスーツ
Vampire13	ヒーローのスーツ
Vampire14	マッチョのスーツ
Vampire15	ハートのスーツ
Vampire16	ラブリースーツ
Vampire17	みずたまのスーツ
Vampire18	ボロボロのスーツ
Vampire19	ウールのスーツ
Vampire20	オカシなスーツ
Vampire21	パーティースーツ
Vampire22	めいじのスーツ
Vampire23	レプラコーンスーツ
Vampire24	すいそうスーツ
Vampire25	マジシャンスーツ
Vampire26	ブリキのスーツ
Vampire27	チェックのスーツ
Vampire28	おしゃれなスーツ
Vampire29	おこさまスーツ
Cook00	みならいエプロン
Cook01	ちゅうかエプロン
Cook02	フリルのエプロン
Cook03	あつでのエプロン
Cook04	みつぼしエプロン
Cook05	やみのエプロン
Cook06	フシギのエプロン
Cook07	ハロウィンエプロン
Cook08	つよびのエプロン
Cook09	セーラーエプロン
Cook10	チョコレートエプロン
Cook11	えいゆうのエプロン
Cook12	でんせつのエプロン
Cook13	ヒーローのエプロン
Cook14	マッチョのエプロン
Cook15	ハートのエプロン
Cook16	ブドウのエプロン
Cook17	みずたまのエプロン
Cook18	ボロボロのエプロン
Cook19	ウールのエプロン
Cook20	メカニカルエプロン
Cook21	ファンシーエプロン
Cook22	シェフのエプロン
Cook23	スイーツエプロン
Cook24	かみのエプロン
Cook25	たつじんのエプロン
Cook26	チェックのエプロン
Cook27	どうぞうエプロン
Cook28	ウッドエプロン
Cook29	いたまえエプロン
Tank00	みならいアーマー
Tank01	めいさいアーマー
Tank02	ウッドアーマー
Tank03	ゆでダコアーマー
Tank04	ふるびたアーマー
Tank05	オモチャのアーマー
Tank06	だんボールアーマー
Tank07	アイスアーマー
Tank08	つぎはぎアーマー
Tank09	ネオンアーマー
Tank10	レンガアーマ―
Tank11	えいゆうのアーマー
Tank12	でんせつのアーマー
Tank13	ヒーローのアーマー
Tank14	マッチョのアーマー
Tank15	ハートのアーマー
Tank16	スイカアーマー
Tank17	みずたまのアーマー
Tank18	ボロボロのアーマー
Tank19	ウールのアーマー
Tank20	うるしぬりアーマー
Tank21	ファンシーアーマー
Tank22	めいさいアーマーII
Tank23	キラキラアーマー
Tank24	ビリヤードアーマー
Tank25	タイガーアーマー
Tank26	グラフィティアーマー
Tank27	チタンアーマー
Tank28	スチームパンクアーマー
Tank29	しんでんアーマー
Devil00	みならいのツバサ
Devil01	ヤギのツバサ
Devil02	こうもりのツバサ
Devil03	せいふくのツバサ
Devil04	マミィのツバサ
Devil05	ぎんのツバサ
Devil06	ロックなツバサ
Devil07	スチームパンクのツバサ
Devil08	かいちょうのツバサ
Devil09	ドラゴンのツバサ
Devil10	ジョーカーのツバサ
Devil11	えいゆうのツバサ
Devil12	でんせつのツバサ
Devil13	ヒーローのツバサ
Devil14	マッチョのツバサ
Devil15	ハートのツバサ
Devil16	せきぞうのツバサ
Devil17	みずたまのツバサ
Devil18	ボロボロのツバサ
Devil19	ウールのツバサ
Devil20	てんしのツバサ
Devil21	エナメルのツバサ
Devil22	みわくのツバサ
Devil23	かみなりさまのツバサ
Devil24	ネオンのツバサ
Devil25	おうけのツバサ
Devil26	ようせいのツバサ
Devil27	オニのツバサ
Devil28	きかいのツバサ
Devil29	イカのツバサ
Royalty00	みならいドレス
Royalty01	フラワードレス
Royalty02	しょみんのドレス
Royalty03	ししゅうのドレス
Royalty04	クリスタルドレス
Royalty05	チャイナドレス
Royalty06	シルクのドレス
Royalty07	しんわのドレス
Royalty08	よぞらのドレス
Royalty09	まじょのドレス
Royalty10	ヴァルキリードレス
Royalty11	えいゆうのドレス
Royalty12	でんせつのドレス
Royalty13	ヒーローのドレス
Royalty14	マッチョのドレス
Royalty15	ハートのドレス
Royalty16	じょおうばちのドレス
Royalty17	みずたまのドレス
Royalty18	ボロボロのドレス
Royalty19	ウールのドレス
Royalty20	ゴシックドレス
Royalty21	ウエディングドレス
Royalty22	パンクなドレス
Royalty23	ナースドレス
Royalty24	きんみらいドレス
Royalty25	セーラードレス
Royalty26	カラフルドレス
Royalty27	スイーツドレス
Royalty28	ディスコなドレス
Royalty29	じゅうにひとえ
Flower00	みならいのはな
Flower01	サクラのはな
Flower02	タンポポのはな
Flower03	スミレのはな
Flower04	ヒマワリのはな
Flower05	バラのはな
Flower06	しょくちゅうしょくぶつ
Flower07	ハスのはな
Flower08	よつばのクローバー
Flower09	サボテンのはな
Flower10	ブーケのはな
Flower11	えいゆうのはな
Flower12	でんせつのはな
Flower13	ヒーローのはな
Flower14	マッチョのはな
Flower15	ハートのはな
Flower16	ラフレシアのはな
Flower17	みずたまのはな
Flower18	ボロボロのはな
Flower19	ウールのはな
Flower20	クジャクのはな
Flower21	ドライフラワー
Flower22	ステンドグラスのはな
Flower23	クリスタルのはな
Flower24	イソギンチャクのはな
Flower25	らくがきのはな
Flower26	マンドラゴラのはな
Flower27	めがみのはな
Flower28	おばけキノコのはな
Flower29	きかいのはな
Scientist00	みならいゴーグル
Scientist01	じっけんゴーグル
Scientist02	ミラーゴーグル
Scientist03	ハイテクゴーグル
Scientist04	めだまゴーグル
Scientist05	ウオッチゴーグル
Scientist06	ファンシーゴーグル
Scientist07	スチームパンクゴーグル
Scientist08	バラのゴーグル
Scientist09	サイバーゴーグル
Scientist10	かいぞくゴーグル
Scientist11	えいゆうのゴーグル
Scientist12	でんせつのゴーグル
Scientist13	ヒーローのゴーグル
Scientist14	マッチョのゴーグル
Scientist15	ハートのゴーグル
Scientist16	バクハツゴーグル
Scientist17	みずたまのゴーグル
Scientist18	ボロボロのゴーグル
Scientist19	ウールのゴーグル
Scientist20	メタルゴーグル
Scientist21	バカンスゴーグル
Scientist22	マスカレードゴーグル
Scientist23	ほしのゴーグル
Scientist24	いろちがいゴーグル
Scientist25	レトロなゴーグル
Scientist26	スライムゴーグル
Scientist27	プラスチックゴーグル
Scientist28	ゴージャスゴーグル
Scientist29	ビンぞこゴーグル
Cat00	みならいネコ
Cat01	アメショのネコ
Cat02	ベンガルネコ
Cat03	みけネコ
Cat04	シャムネコ
Cat05	スフィンクス
Cat06	フサフサなネコ
Cat07	ぶちネコ
Cat08	レオタードのネコ
Cat09	おうけのネコ
Cat10	ながぐつのネコ
Cat11	えいゆうのネコ
Cat12	でんせつのネコ
Cat13	ヒーローのネコ
Cat14	マッチョのネコ
Cat15	ハートのネコ
Cat16	カジュアルなネコ
Cat17	みずたまのネコ
Cat18	ボロボロのネコ
Cat19	ウールのネコ
Cat20	ロボットネコ
Cat21	ファンシーなネコ
Cat22	しんしのネコ
Cat23	えきちょうのネコ
Cat24	ちゃんちゃんこのネコ
Cat25	じんべえのネコ
Cat26	メイドネコ
Cat27	ウルフのネコ
Cat28	きょうりゅうネコ
Cat29	エナメルのネコ
Elf00	みならいマント
Elf01	かわのマント
Elf02	てつのマント
Elf03	ぎんのマント
Elf04	しっぷうのマント
Elf05	ちえのマント
Elf06	せいれいのマント
Elf07	やみのマント
Elf08	せいなるマント
Elf09	ドラゴンマント
Elf10	けがわのマント
Elf11	えいゆうのマント
Elf12	でんせつのマント
Elf13	ヒーローのマント
Elf14	マッチョのマント
Elf15	ハートのマント
Elf16	クリスタルマント
Elf17	みずたまのマント
Elf18	ボロボロのマント
Elf19	ウールのマント
Elf20	ようせいのマント
Elf21	みつばちマント
Elf22	はなかんむりのマント
Elf23	メタルなマント
Elf24	カラフルマント
Elf25	きゅうどうのマント
Elf26	バレリーナのマント
Elf27	ロボットのマント
Elf28	ポンチョのマント
Elf29	きこりのマント
Amiibo00	マリオのふく
Amiibo01	ルイージのふく
Amiibo02	ロゼッタのふく
Amiibo03	ヨッシーのふく
Amiibo04	ピーチのふく
Amiibo05	デイジーのふく
Amiibo06	とたけけのふく
Amiibo07	クッパのふく
Amiibo08	ドンキーコングのふく
Amiibo09	しずえのふく
Amiibo10	リンクのふく
Amiibo11	ゼルダのふく
Amiibo12	ガノンドロフのふく
Amiibo13	キノピオのふく
Amiibo14	カービィのふく
Amiibo15	ネスのふく
Amiibo16	ボーイのふく
Amiibo17	ガールのふく
Amiibo18	アオリのふく
Amiibo19	ホタルのふく
Amiibo20	イカのふく
Amiibo21	たぬきちのふく
Amiibo22	リセットさんのふく
Amiibo23	シークのふく
Amiibo24	サムスのふく
Amiibo25	ゼロスーツサムスのふく
battle.msbt
ReadyNormalMsg_K	みんな\nだいじょうぶ？{[0004]}{r2[き]}気{/r2}をつけよう{[0004]}ゆだんしないで
ReadyNormalMsg_V	みんな\nがんばろう！！{[0004]}まだまだー！！{[0004]}てきも\n{r2[よわ]}弱{/r2}ってる！！
ReadyNormalMsg_M	{r2[きなが]}気長{/r2}にいこう{[0004]}つかれたなあ{[0004]}がんばりすぎかも
ReadyNormalMsg_C	…まだまだ{[0004]}…{r2[い]}行{/r2}ける{[0004]}…{r2[しゅうちゅう]}集中{/r2}しよう
ReadyNormalMsg_W	おろおろ…{[0004]}きびしいね…{[0004]}{r2[に]}逃{/r2}げたい…
ReadyNormalMsg_G	{r2[か]}勝{/r2}つよー{[0004]}かつやく\nしてるでしょ？{[0004]}ねむたく\nなってきた
ReadyNormalMsg_R	{r2[に]}逃{/r2}げないぞ！{[0004]}{r2[ま]}負{/r2}けない！{[0004]}{r2[きあい]}気合{/r2}いれて\nいこう！
ReadyAloneMsg_K	みんなのために\n{r2[か]}勝{/r2}つ！
ReadyAloneMsg_V	ひとりでも\nがんばる！！
ReadyAloneMsg_M	まあ\nなんとかなるか
ReadyAloneMsg_C	…ひとりか
ReadyAloneMsg_W	わあ　どうしよ…
ReadyAloneMsg_G	みんな\nどこいったの？
