album.msbt
armor.msbt
Fighter00	Squire Armor
Elf16	Crystal Raiment
Elf17	Polka-Dot Raiment
Elf18	Ragged Raiment
Elf19	Woolly Raiment
Elf20	Fairy Raiment
Elf21	Bee Raiment
Elf22	Flower Raiment
Elf23	Heavy Metal Raiment
Elf24	Colorful Raiment
Elf25	Kyudo Raiment
Elf26	Ballet Raiment
Elf27	Robot Raiment
Elf28	Poncho Raiment
Elf29	Lumberjack Raiment
Amiibo00	Mario Clothing
Amiibo01	Luigi Clothing
Amiibo02	Rosalina Clothing
Amiibo03	Yoshi Clothing
Amiibo04	Peach Clothing
Amiibo05	Daisy Clothing
Amiibo06	K.K. Clothing
Amiibo07	Bowser Clothing
Amiibo08	Donkey Kong Clothing
Amiibo09	Isabelle Clothing
Amiibo10	Link Clothing
Amiibo11	Zelda Clothing
Amiibo12	Ganondorf Clothing
Amiibo13	Toad Clothing
Amiibo14	Kirby Clothing
Amiibo15	Ness Clothing
Amiibo16	Inkling Boy Clothing
Amiibo17	Inkling Girl Clothing
Amiibo18	Callie Clothing
Amiibo19	Marie Clothing
Amiibo20	Squid Clothing
Amiibo21	Tom Nook Clothing
Amiibo22	Mr. Resetti Clothing
Amiibo23	Sheik Clothing
Amiibo24	Samus Clothing
Amiibo25	Zero Suit Samus Clothing
armor_Attr.msbt
Fighter00	N\nPP\nthe/some\nthe/some
Fighter01	N\nPP\nthe/some\nthe/some
Fighter02	N\nPP\nthe/some\nthe/some
Fighter03	N\nPP\nthe/some\nthe/some
Fighter04	N\nPP\nthe/some\nthe/some
Fighter05	N\nPP\nthe/some\nthe/some
Fighter06	N\nPP\nthe/some\nthe/some
Fighter07	N\nPP\nthe/some\nthe/some
Fighter08	N\nPP\nthe/some\nthe/some
Fighter09	N\nPP\nthe/some\nthe/some
Fighter10	N\nPP\nthe/some\nthe/some
Fighter11	N\nPP\nthe/some\nthe/some
Fighter12	N\nPP\nthe/some\nthe/some
Fighter13	N\nPP\nthe/some\nthe/some
Fighter14	N\nPP\nthe/some\nthe/some
Fighter15	N\nPP\nthe/some\nthe/some
Fighter16	N\nPP\nthe/some\nthe/some
Fighter17	N\nPP\nthe/some\nthe/some
Fighter18	N\nPP\nthe/some\nthe/some
Fighter19	N\nPP\nthe/some\nthe/some
Fighter20	N\nPP\nthe/some\nthe/some
Fighter21	N\nPP\nthe/some\nthe/some
Fighter22	N\nPP\nthe/some\nthe/some
Fighter23	N\nPP\nthe/some\nthe/some
Fighter24	N\nPP\nthe/some\nthe/some
Fighter25	N\nPP\nthe/some\nthe/some
Fighter26	N\nPP\nthe/some\nthe/some
Fighter27	N\nPP\nthe/some\nthe/some
Fighter28	N\nPP\nthe/some\nthe/some
Fighter29	N\nPP\nthe/some\nthe/some
Fighter30	N\nPP\nthe/some\nthe/some
Wizard00	N\nSP\nthe/an\nthe/some
Wizard01	N\nSP\nthe/a\nthe/some
Wizard02	N\nSP\nthe/a\nthe/some
Wizard03	N\nSP\nthe/a\nthe/some
Wizard04	N\nSP\nthe/a\nthe/some
Wizard05	N\nSP\nthe/a\nthe/some
Wizard06	N\nSP\nthe/a\nthe/some
Wizard07	N\nSP\nthe/a\nthe/some
Wizard08	N\nSP\nthe/a\nthe/some
Wizard09	N\nSP\nthe/a\nthe/some
Wizard10	N\nSP\nthe/a\nthe/some
Wizard11	N\nSP\nthe/a\nthe/some
Wizard12	N\nSP\nthe/a\nthe/some
Wizard13	N\nSP\nthe/a\nthe/some
Wizard14	N\nSP\nthe/a\nthe/some
Wizard15	N\nSP\nthe/a\nthe/some
Wizard16	N\nSP\nthe/a\nthe/some
Wizard17	N\nSP\nthe/a\nthe/some
Wizard18	N\nSP\nthe/a\nthe/some
Wizard19	N\nSP\nthe/a\nthe/some
Wizard20	N\nSP\nthe/a\nthe/some
Wizard21	N\nSP\nthe/a\nthe/some
Wizard22	N\nSP\nthe/a\nthe/some
Wizard23	N\nSP\nthe/a\nthe/some
Wizard24	N\nSP\nthe/a\nthe/some
Wizard25	N\nSP\nthe/a\nthe/some
Wizard26	N\nSP\nthe/a\nthe/some
Wizard27	N\nSP\nthe/a\nthe/some
Wizard28	N\nSP\nthe/a\nthe/some
Wizard29	N\nSP\nthe/a\nthe/some
Priest00	N\nPP\nthe/some\nthe/some
Priest01	N\nPP\nthe/some\nthe/some
Priest02	N\nPP\nthe/some\nthe/some
Priest03	N\nPP\nthe/some\nthe/some
Priest04	N\nPP\nthe/some\nthe/some
Priest05	N\nPP\nthe/some\nthe/some
Priest06	N\nPP\nthe/some\nthe/some
Priest07	N\nPP\nthe/some\nthe/some
Priest08	N\nPP\nthe/some\nthe/some
Priest09	N\nPP\nthe/some\nthe/some
Priest10	N\nPP\nthe/some\nthe/some
Priest11	N\nPP\nthe/some\nthe/some
Priest12	N\nPP\nthe/some\nthe/some
Priest13	N\nPP\nthe/some\nthe/some
Priest14	N\nPP\nthe/some\nthe/some
Priest15	N\nPP\nthe/some\nthe/some
Priest16	N\nPP\nthe/some\nthe/some
Priest17	N\nPP\nthe/some\nthe/some
Priest18	N\nPP\nthe/some\nthe/some
Priest19	N\nPP\nthe/some\nthe/some
Priest20	N\nPP\nthe/some\nthe/some
Priest21	N\nPP\nthe/some\nthe/some
Priest22	N\nPP\nthe/some\nthe/some
Priest23	N\nPP\nthe/some\nthe/some
Priest24	N\nPP\nthe/some\nthe/some
Priest25	N\nPP\nthe/some\nthe/some
Priest26	N\nPP\nthe/some\nthe/some
Priest27	N\nPP\nthe/some\nthe/some
Priest28	N\nPP\nthe/some\nthe/some
Priest29	N\nPP\nthe/some\nthe/some
Thief00	N\nPP\nthe/some\nthe/some
Thief01	N\nPP\nthe/some\nthe/some
Thief02	N\nPP\nthe/some\nthe/some
Thief03	N\nPP\nthe/some\nthe/some
Thief04	N\nPP\nthe/some\nthe/some
Thief05	N\nPP\nthe/some\nthe/some
Thief06	N\nPP\nthe/some\nthe/some
Thief07	N\nPP\nthe/some\nthe/some
Thief08	N\nPP\nthe/some\nthe/some
Thief09	N\nPP\nthe/some\nthe/some
Thief10	N\nPP\nthe/some\nthe/some
Thief11	N\nPP\nthe/some\nthe/some
Thief12	N\nPP\nthe/some\nthe/some
Thief13	N\nPP\nthe/some\nthe/some
Thief14	N\nPP\nthe/some\nthe/some
Thief15	N\nPP\nthe/some\nthe/some
Thief16	N\nPP\nthe/some\nthe/some
Thief17	N\nPP\nthe/some\nthe/some
Thief18	N\nPP\nthe/some\nthe/some
Thief19	N\nPP\nthe/some\nthe/some
Thief20	N\nPP\nthe/some\nthe/some
Thief21	N\nPP\nthe/some\nthe/some
Thief22	N\nPP\nthe/some\nthe/some
Thief23	N\nPP\nthe/some\nthe/some
Thief24	N\nPP\nthe/some\nthe/some
Thief25	N\nPP\nthe/some\nthe/some
Thief26	N\nPP\nthe/some\nthe/some
Thief27	N\nPP\nthe/some\nthe/some
Thief28	N\nPP\nthe/some\nthe/some
Thief29	N\nPP\nthe/some\nthe/some
IdolM00	N\nPP\nthe/some\nthe/some
IdolM01	N\nPP\nthe/some\nthe/some
IdolM02	N\nPP\nthe/some\nthe/some
IdolM03	N\nPP\nthe/some\nthe/some
IdolM04	N\nPP\nthe/some\nthe/some
IdolM05	N\nPP\nthe/some\nthe/some
IdolM06	N\nPP\nthe/some\nthe/some
IdolM07	N\nPP\nthe/some\nthe/some
IdolM08	N\nPP\nthe/some\nthe/some
IdolM09	N\nPP\nthe/some\nthe/some
IdolM10	N\nPP\nthe/some\nthe/some
IdolM11	N\nPP\nthe/some\nthe/some
IdolM12	N\nPP\nthe/some\nthe/some
IdolM13	N\nPP\nthe/some\nthe/some
IdolM14	N\nPP\nthe/some\nthe/some
IdolM15	N\nPP\nthe/some\nthe/some
IdolF00	N\nSP\nthe/a\nthe/some
IdolF01	N\nSP\nthe/a\nthe/some
IdolF02	N\nSP\nthe/a\nthe/some
IdolF03	N\nSP\nthe/a\nthe/some
IdolF04	N\nSP\nthe/a\nthe/some
IdolF05	N\nSP\nthe/a\nthe/some
IdolF06	N\nSP\nthe/a\nthe/some
IdolF07	N\nSP\nthe/a\nthe/some
IdolF08	N\nSP\nthe/a\nthe/some
IdolF09	N\nSP\nthe/a\nthe/some
IdolF10	N\nSP\nthe/a\nthe/some
IdolF11	N\nSP\nthe/a\nthe/some
IdolF12	N\nSP\nthe/a\nthe/some
IdolF13	N\nSP\nthe/a\nthe/some
IdolF14	N\nSP\nthe/a\nthe/some
IdolF15	N\nSP\nthe/an\nthe/some
Vampire00	N\nSP\nthe/a\nthe/some
Vampire01	N\nSP\nthe/a\nthe/some
Vampire02	N\nSP\nthe/a\nthe/some
Vampire03	N\nSP\nthe/a\nthe/some
Vampire04	N\nSP\nthe/a\nthe/some
Vampire05	N\nSP\nthe/a\nthe/some
Vampire06	N\nSP\nthe/a\nthe/some
Vampire07	N\nSP\nthe/a\nthe/some
Vampire08	N\nSP\nthe/a\nthe/some
Vampire09	N\nSP\nthe/a\nthe/some
Vampire10	N\nSP\nthe/a\nthe/some
Vampire11	N\nSP\nthe/a\nthe/some
Vampire12	N\nSP\nthe/a\nthe/some
Vampire13	N\nSP\nthe/a\nthe/some
Vampire14	N\nSP\nthe/a\nthe/some
Vampire15	N\nSP\nthe/a\nthe/some
Vampire16	N\nSP\nthe/a\nthe/some
Vampire17	N\nSP\nthe/a\nthe/some
Vampire18	N\nSP\nthe/a\nthe/some
Vampire19	N\nSP\nthe/a\nthe/some
Vampire20	N\nSP\nthe/a\nthe/some
Vampire21	N\nSP\nthe/a\nthe/some
Vampire22	N\nSP\nthe/a\nthe/some
Vampire23	N\nSP\nthe/a\nthe/some
Vampire24	N\nSP\nthe/an\nthe/some
Vampire25	N\nSP\nthe/a\nthe/some
Vampire26	N\nSP\nthe/a\nthe/some
Vampire27	N\nSP\nthe/a\nthe/some
Vampire28	N\nSP\nthe/a\nthe/some
Vampire29	N\nSP\nthe/a\nthe/some
Cook00	N\nSP\nthe/a\nthe/some
Cook01	N\nSP\nthe/a\nthe/some
Cook02	N\nSP\nthe/a\nthe/some
Cook03	N\nSP\nthe/a\nthe/some
Cook04	N\nSP\nthe/a\nthe/some
Cook05	N\nSP\nthe/a\nthe/some
Cook06	N\nSP\nthe/a\nthe/some
Cook07	N\nSP\nthe/a\nthe/some
Cook08	N\nSP\nthe/a\nthe/some
Cook09	N\nSP\nthe/a\nthe/some
Cook10	N\nSP\nthe/a\nthe/some
Cook11	N\nSP\nthe/a\nthe/some
Cook12	N\nSP\nthe/a\nthe/some
Cook13	N\nSP\nthe/a\nthe/some
Cook14	N\nSP\nthe/a\nthe/some
Cook15	N\nSP\nthe/a\nthe/some
Cook16	N\nSP\nthe/a\nthe/some
Cook17	N\nSP\nthe/a\nthe/some
Cook18	N\nSP\nthe/a\nthe/some
Cook19	N\nSP\nthe/a\nthe/some
Cook20	N\nSP\nthe/a\nthe/some
Cook21	N\nSP\nthe/an\nthe/some
Cook22	N\nSP\nthe/a\nthe/some
Cook23	N\nSP\nthe/a\nthe/some
Cook24	N\nSP\nthe/a\nthe/some
Cook25	N\nSP\nthe/a\nthe/some
Cook26	N\nSP\nthe/a\nthe/some
Cook27	N\nSP\nthe/a\nthe/some
Cook28	N\nSP\nthe/a\nthe/some
Cook29	N\nSP\nthe/a\nthe/some
Tank00	N\nSP\nthe/a\nthe/some
Tank01	N\nSP\nthe/a\nthe/some
Tank02	N\nSP\nthe/a\nthe/some
Tank03	N\nSP\nthe/an\nthe/some
Tank04	N\nSP\nthe/a\nthe/some
Tank05	N\nSP\nthe/a\nthe/some
Tank06	N\nSP\nthe/a\nthe/some
Tank07	N\nSP\nthe/an\nthe/some
Tank08	N\nSP\nthe/a\nthe/some
Tank09	N\nSP\nthe/a\nthe/some
Tank10	N\nSP\nthe/a\nthe/some
Tank11	N\nSP\nthe/a\nthe/some
Tank12	N\nSP\nthe/a\nthe/some
Tank13	N\nSP\nthe/a\nthe/some
Tank14	N\nSP\nthe/a\nthe/some
Tank15	N\nSP\nthe/a\nthe/some
Tank16	N\nSP\nthe/a\nthe/some
Tank17	N\nSP\nthe/a\nthe/some
Tank18	N\nSP\nthe/a\nthe/some
Tank19	N\nSP\nthe/a\nthe/some
Tank20	N\nSP\nthe/a\nthe/some
Tank21	N\nSP\nthe/a\nthe/some
Tank22	N\nSP\nthe/a\nthe/some
Tank23	N\nSP\nthe/a\nthe/some
Tank24	N\nSP\nthe/a\nthe/some
Tank25	N\nSP\nthe/a\nthe/some
Tank26	N\nSP\nthe/a\nthe/some
Tank27	N\nSP\nthe/a\nthe/some
Tank28	N\nSP\nthe/a\nthe/some
Tank29	N\nSP\nthe/an\nthe/some
Devil00	N\nSP\nthe/a\nthe/some
Devil01	N\nSP\nthe/a\nthe/some
Devil02	N\nSP\nthe/a\nthe/some
Devil03	N\nSP\nthe/a\nthe/some
Devil04	N\nSP\nthe/a\nthe/some
Devil05	N\nSP\nthe/a\nthe/some
Devil06	N\nSP\nthe/a\nthe/some
Devil07	N\nSP\nthe/a\nthe/some
Devil08	N\nSP\nthe/an\nthe/some
Devil09	N\nSP\nthe/a\nthe/some
Devil10	N\nSP\nthe/a\nthe/some
Devil11	N\nSP\nthe/a\nthe/some
Devil12	N\nSP\nthe/a\nthe/some
Devil13	N\nSP\nthe/a\nthe/some
Devil14	N\nSP\nthe/a\nthe/some
Devil15	N\nSP\nthe/a\nthe/some
Devil16	N\nSP\nthe/a\nthe/some
Devil17	N\nSP\nthe/a\nthe/some
Devil18	N\nSP\nthe/a\nthe/some
Devil19	N\nSP\nthe/a\nthe/some
Devil20	N\nSP\nthe/an\nthe/some
Devil21	N\nSP\nthe/a\nthe/some
Devil22	N\nSP\nthe/a\nthe/some
Devil23	N\nSP\nthe/a\nthe/some
Devil24	N\nSP\nthe/a\nthe/some
Devil25	N\nSP\nthe/an\nthe/some
Devil26	N\nSP\nthe/a\nthe/some
Devil27	N\nSP\nthe/a\nthe/some
Devil28	N\nSP\nthe/a\nthe/some
Devil29	N\nSP\nthe/a\nthe/some
Royalty00	N\nSP\nthe/a\nthe/some
Royalty01	N\nSP\nthe/a\nthe/some
Royalty02	N\nSP\nthe/a\nthe/some
Royalty03	N\nSP\nthe/an\nthe/some
Royalty04	N\nSP\nthe/a\nthe/some
Royalty05	N\nSP\nthe/a\nthe/some
Royalty06	N\nSP\nthe/a\nthe/some
Royalty07	N\nSP\nthe/an\nthe/some
Royalty08	N\nSP\nthe/a\nthe/some
Royalty09	N\nSP\nthe/a\nthe/some
Royalty10	N\nSP\nthe/a\nthe/some
Royalty11	N\nSP\nthe/a\nthe/some
Royalty12	N\nSP\nthe/a\nthe/some
Royalty13	N\nSP\nthe/a\nthe/some
Royalty14	N\nSP\nthe/a\nthe/some
Royalty15	N\nSP\nthe/a\nthe/some
Royalty16	N\nSP\nthe/a\nthe/some
Royalty17	N\nSP\nthe/a\nthe/some
Royalty18	N\nSP\nthe/a\nthe/some
Royalty19	N\nSP\nthe/a\nthe/some
Royalty20	N\nSP\nthe/a\nthe/some
Royalty21	N\nSP\nthe/a\nthe/some
Royalty22	N\nSP\nthe/a\nthe/some
Royalty23	N\nSP\nthe/a\nthe/some
Royalty24	N\nSP\nthe/a\nthe/some
Royalty25	N\nSP\nthe/a\nthe/some
Royalty26	N\nSP\nthe/a\nthe/some
Royalty27	N\nSP\nthe/a\nthe/some
Royalty28	N\nSP\nthe/a\nthe/some
Royalty29	N\nSP\nthe/a\nthe/some
Flower00	N\nSP\nthe/a\nthe/some
Flower01	N\nSP\nthe/a\nthe/some
Flower02	N\nSP\nthe/a\nthe/some
Flower03	N\nSP\nthe/a\nthe/some
Flower04	N\nSP\nthe/a\nthe/some
Flower05	N\nSP\nthe/a\nthe/some
Flower06	N\nSP\nthe/a\nthe/some
Flower07	N\nSP\nthe/a\nthe/some
Flower08	N\nSP\nthe/a\nthe/some
Flower09	N\nSP\nthe/a\nthe/some
Flower10	N\nSP\nthe/a\nthe/some
Flower11	N\nSP\nthe/a\nthe/some
Flower12	N\nSP\nthe/a\nthe/some
Flower13	N\nSP\nthe/a\nthe/some
Flower14	N\nSP\nthe/a\nthe/some
Flower15	N\nSP\nthe/a\nthe/some
Flower16	N\nSP\nthe/a\nthe/some
Flower17	N\nSP\nthe/a\nthe/some
Flower18	N\nSP\nthe/a\nthe/some
Flower19	N\nSP\nthe/a\nthe/some
