Enemy.msbt
enemy_name_MARIO	瑪利歐
query_save	要儲存到目前為止的\n遊戲內容嗎？\x0e\x03\0\x14\0\0\xff\xff\0\0d\0\n\0y\0e\0s\0n\0o\0
wait_saving	儲存中\n請不要關閉電源\x0e\x01\x01\0
info_saved	儲存完畢\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
query_save_to_title	要儲存並返回標題畫面嗎？\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
info_saved_to_title	儲存完畢\n返回標題畫面\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
rest_00	在感到疲勞前，先休息吧！
info_staff	\x0e\x02\x06\x04\0\0\x03\0貼紙嘉年華的會場\n\x0e\x02\x06\x04\0\0\xfc\xff多了一位奇諾比奧。\x0e\0\x04\0\x0e\x02\x06\x04\0\0\x0b\0試著與他說話吧。
getitem_ok_01	貼紙
getmonoart_ok_00	得到
getmonoart_ok_01	了！
getmappeace_ok_00	得到
getmappeace_ok_01	了！
getitem_ng	不能再拿了！
IC_HAMMER	槌子
SL_LUCIE	紙貼貼
SL_RAGGED_JUMP	破舊跳
SL_JUMP	跳
SL_JUMP_K	閃亮跳
SL_JUMP_KK	閃亮亮跳
SL_DEKA_JUMP_K	大閃亮跳
SL_DODEKA_JUMP_KK	巨大閃亮亮跳
SL_IRON_JUMP	鋼鐵跳
SL_IRON_JUMP_K	閃亮鋼鐵跳
SL_IRON_JUMP_KK	閃亮亮鋼鐵跳
SL_DEKA_IRON_JUMP_K	大閃亮鋼鐵跳
SL_DODEKA_IRON_JUMP_KK	巨大閃亮亮鋼鐵跳
SL_BANE_JUMP	彈簧跳
SL_BANE_JUMP_K	閃亮彈簧跳
SL_BANE_JUMP_KK	閃亮亮彈簧跳
SL_DEKA_BANE_JUMP_K	大閃亮彈簧跳
SL_DODEKA_BANE_JUMP_KK	巨大閃亮亮彈簧跳
SL_TSUGI_JUMP	輪流跳
SL_TSUGI_JUMP_K	閃亮輪流跳
SL_TSUGI_JUMP_KK	閃亮亮輪流跳
SL_DEKA_TSUGI_JUMP_K	大閃亮輪流跳
SL_DODEKA_TSUGI_JUMP_KK	巨大閃亮亮輪流跳
SL_BUNSIN_JUMP_KK	閃亮亮分身跳
SL_DEKA_BUNSIN_JUMP_KK	大閃亮分身跳
SL_DODEKA_BUNSIN_JUMP_KK	巨大閃亮亮分身跳
SL_MUGEN_JUMP_KK	閃亮亮無限跳
SL_DEKA_MUGEN_JUMP_KK	大閃亮無限跳
SL_DODEKA_MUGEN_JUMP_KK	巨大閃亮亮無限跳
SL_RAGGED_HAMMER	破舊槌子
SL_HAMMER	槌子
SL_HAMMER_K	閃亮槌子
SL_HAMMER_KK	閃亮亮槌子
SL_DEKA_HAMMER_K	大閃亮槌子
SL_DODEKA_HAMMER_KK	巨大閃亮亮槌子
SL_BUN_HAMMER	揮揮槌子
SL_BUN_HAMMER_K	閃亮揮揮槌子
SL_BUN_HAMMER_KK	閃亮亮揮揮槌子
SL_DEKA_BUN_HAMMER_K	大閃亮揮揮槌子
SL_DODEKA_BUN_HAMMER_KK	巨大閃亮亮揮揮槌子
SL_PICO_HAMMER	BB槌子
SL_PICO_HAMMER_K	閃亮BB槌子
SL_PICO_HAMMER_KK	閃亮亮BB槌子
SL_DEKA_PICO_HAMMER_K	大閃亮BB槌子
SL_DODEKA_PICO_HAMMER_KK	巨大閃亮亮BB槌子
SL_MEGATON_HAMMER	丟丟槌子
SL_MEGATON_HAMMER_K	閃亮丟丟槌子
SL_MEGATON_HAMMER_KK	閃亮亮丟丟槌子
SL_DEKA_MEGATON_HAMMER_K	大閃亮丟丟槌子
SL_DODEKA_MEGATON_HAMMER_KK	巨大閃亮亮丟丟槌子
SL_MEE_HAMMER	咩咩槌子
SL_DEKA_MEE_HAMMER_K	大閃亮咩咩槌子
SL_DODEKA_MEE_HAMMER_KK	巨大閃亮亮咩咩槌子
SL_BURNING_HAMMER	灼熱槌子
SL_DEKA_BURNING_HAMMER_K	大閃亮灼熱槌子
SL_DODEKA_BURNING_HAMMER_KK	巨大閃亮亮灼熱槌子
SL_SEVERE_HAMMER	寒冰槌子
SL_DEKA_SEVERE_HAMMER_K	大閃亮寒冰槌子
SL_DODEKA_SEVERE_HAMMER_KK	巨大閃亮亮寒冰槌子
SL_SANDAL	沙灘鞋
SL_SANDAL_K	閃亮沙灘鞋
SL_SANDAL_KK	閃亮亮沙灘鞋
SL_TOGE_HAT	尖刺帽子
SL_TOGE_HAT_K	閃亮尖刺帽子
SL_TOGE_HAT_KK	閃亮亮尖刺帽子
SL_DEKA_BOOTS	超級靴子
SL_DEKA_BOOTS_K	閃亮超級靴子
SL_DEKA_TAIL	尾巴
SL_DEKA_TAIL_K	閃亮尾巴
SL_DEKA_FROG	青蛙裝
SL_DEKA_FROG_K	閃亮青蛙裝
SL_FIRE_FLOWER	火之花
SL_FIRE_FLOWER_K	閃亮火之花
SL_FIRE_FLOWER_KK	閃亮亮火之花
SL_ICE_FLOWER	冰之花
SL_ICE_FLOWER_K	閃亮冰之花
SL_ICE_FLOWER_KK	閃亮亮冰之花
SL_POW_BLOCK	ＰＯＷ磚塊
SL_POW_BLOCK_K	閃亮ＰＯＷ磚塊
SL_POW_BLOCK_KK	閃亮亮ＰＯＷ磚塊
SL_NOKONOKO_KOURA	龜殼
SL_NOKONOKO_KOURA_K	閃亮龜殼
SL_NOKONOKO_KOURA_KK	閃亮亮龜殼
SL_KINOKO	蘑菇
SL_KINOKO_K	閃亮蘑菇
SL_KINOKO_KK	閃亮亮蘑菇
SL_DEKA_1UP_KINOKO	大１ＵＰ蘑菇
SL_DEKA_1UP_KINOKO_K	大閃亮１ＵＰ蘑菇
SL_POISON_KINOKO	毒蘑菇
SL_LEAF	葉子
SL_LEAF_K	閃亮葉子
SL_BOMB	炸彈
SL_SOMBRERO	墨西哥帽
SL_BONE	骨頭
SL_BOOMERANG	回力標
SL_THROW_KNIFE	手裏劍
SL_GABON_BALL	殊力鋼
SL_SNOW_BALL	雪球
SL_BARREL	木桶
SL_SPANNER	扳手
SL_DOOR	秘密門
SL_BELLOWS	風箱
SL_PAPER_FAN	圓扇
SL_FAN	電風扇
SL_HANDY_CLEANER	手持式吸塵器
SL_UPLIGHT_CLEANER	直立式吸塵器
SL_CLEANER	吸塵器
SL_JAPANESE_SCISSORS	線剪
SL_HAIRCUT_SCISSORS	美髮剪刀
SL_SCISSORS	剪刀
SL_CLOTH_SCISSORS	裁布剪刀
SL_GOAT	山羊
SL_MANEKINEKO	招財貓
SL_WATERING_CAN	灑水壺
SL_TAP	水龍頭
SL_KETTLE	水壺
SL_LAMP	電燈泡
SL_FLASHLIGHT	手電筒
SL_SEARCHLIGHT	探照燈
SL_FOOK	魚鉤
SL_TRUMPET	小喇叭
SL_VIOLIN	小提琴
SL_GUITAR	吉他
SL_NEWSPAPER_BAT	報紙
SL_PLASTIC_BAT	玩具球棒
SL_BAT	球棒
SL_ITTOKAN	沙拉油桶
SL_DRUMKAN	汽油桶
SL_TUB	鐵盆
SL_HIGHHEEL	高跟鞋
SL_OIL_HEATER	煤油暖爐
SL_DRYER	吹風機
SL_OVEN	烤箱
SL_BILLIARD_BALL	撞球
SL_CURLING_STONE	冰壺
SL_BOWLING	保齡球
SL_SHAVED_ICE	刨冰
SL_AIR_CONDITIONER	冷氣機
SL_FRIDGE	冰箱
SL_BATTERY_BUTTON	鈕扣電池
SL_BATTERY_1	１號電池
SL_BATTERY_CAR	電瓶
SL_BALLOON	氣球
SL_POCKET_WATCH	懷錶
SL_MAGNIFYING_GLASS	放大鏡
SL_MATCH	火柴
SL_LIGHTER	打火機
SL_DUCK	小鴨鴨
SL_PILLOW	枕頭
SL_BED	床
SL_CANOPY_BED	公主床
SL_MOBILE_PHONE	手機
SL_JACKHAMMER	鑿岩機
SL_CELLOPHANE_TAPE	透明膠帶
SL_THUMBTACK	圖釘
SL_STAPLER	釘書機
SL_POWDER_PUFF	粉撲
SL_SPONGE	海綿
SL_CAR_WASH_SPONGE	洗車海綿
SL_JUICE	汽水
SL_WATER_PISTOL	水槍
SL_CAKE	蛋糕
SL_TROPHY	獎盃
SL_BOOM_BOX	收錄音機
SL_TURKEY	火雞
PK_FIELD_BRIDGE_KUSYA	木橋
PK_FIELD_STAR_KUSYA	彗星碎片
SL_HEI_BRIDGE	木橋
SL_HEI_DOKAN	綠色水管
SL_IWA_4_DOOR	白色的門
SL_HEI_GOAL_STAR	彗星碎片
SL_IWA_2_BLOCK_BEFOR	磚塊開關
SL_IWA_2_BLOCK_AFTER	磚塊開關
SL_MAC_1_FOUNTAIN	剪紙小鎮的噴水池
SL_TRE_STUMP_R	樹墩
SL_TRE_STUMP_L	樹墩
SL_SAR_WOOD_DOOR	巢穴的門
SL_BIG_KOOPA_TAPE	庫巴紙膠帶
SL_HANACHAN_BODY_1	花毛毛的身體
SL_HANACHAN_BODY_2	花毛毛的身體
SL_HANACHAN_BODY_3	花毛毛的身體
SL_HANACHAN_BODY_4	花毛毛的身體
SL_WAREHOME_DOOR_BEFORE	倉庫的門
SL_WAREHOME_DOOR_AFTER	倉庫的門
SL_MAC_2_RUDDER	船的舵輪
SL_TOW_WINDOW_BEFORE	塔的外牆
SL_TOW_WINDOW_AFTER	塔的外牆
SL_W5_WAN_BLOCK_BEFORE	凸臉機關石
SL_W5_WAN_BLOCK_AFTER	凸臉機關石
SL_W5_WAN_STAIRS_BEFORE	遺跡斜坡
SL_W5_WAN_STAIRS_AFTER	遺跡斜坡
SL_TOW_ENTRANCE_1	石板碎片
SL_TOW_ENTRANCE_2	石板碎片
SL_TOW_ENTRANCE_3	石板碎片
SL_TOW_04_DOOR	石頭大門
SL_W5_JUN_BRIDGE_1	石橋碎片
SL_W5_JUN_BRIDGE_2	石橋碎片
SL_W5_JUN_BRIDGE_3	石橋碎片
SL_W5_BAK_GATE_BEFORE	叢林水閘
SL_W5_BAK_GATE_AFTER	叢林水閘
SL_W5_WAN_PIT	遺跡地板
SL_W5_MAG_GATE_BEFORE	登山步道的岩石
SL_W5_MAG_GATE_AFTER	登山步道的洞穴
SL_W5_MAG_FLOOR	有裂縫的岩石
SL_W4_BOS_RAIL	礦車軌道
SL_W4_BOS_DIVERGENCE_RAIL_BEFORE	傾斜軌道
SL_W4_BOS_DIVERGENCE_RAIL_AFTER	傾斜軌道
SL_W4_BOS_RAIL_EXIT	礦車出口
SL_W4_LIF_LIFT	往日的上一代
SL_W4_YAK_BOOKSHELF_S	宅邸書架
SL_W4_YAK_BOOKSHELF_L	宅邸大書架
SL_W4_YAK_VAULT	宅邸金庫
SL_W4_YAK_WALL_R	宅邸牆壁
SL_W4_YAK_WALL_L	宅邸牆壁與門
SL_W4_YUK_DOKAN	洞中水管
SL_W4_YUK_PORTRAIT	主人的肖像畫
SL_W4_YUK_PORTRAIT_DOOR	宅邸的門
SL_W5_MAG_ROCK_BEFORE	登山步道的大岩石
SL_W5_MAG_ROCK_AFTER	登山步道的大岩石
SL_W6_KOOPA_CASTLE_GATE_BEFORE	隱藏的庫巴城堡
SL_W6_KOOPA_CASTLE_GATE_AFTER	隱藏的庫巴城堡
SL_W6_KILLER_CANNON_BEFORE	大炮彈刺客砲台
SL_W6_KILLER_CANNON_AFTER	大炮彈刺客砲台
IC_HP_PLUS	體力ＵＰ愛心
IC_BOO_BOOK	封印之書
STATUS_SLEEP	睡著了，什麼也不能做！
STATUS_GURUGURU	攻擊變得難以命中了！
STATUS_POISON	受到了毒的傷害！
STATUS_JIWAJIWA	ＨＰ回復了！
STATUS_MORIMORI	攻擊力上升了！
STATUS_FUNYAFUNYA	攻擊力下降了！
STATUS_KUSYA	皺掉了，動不了！
STATUS_NORINORI	攻擊力變成２倍了！
STATUS_BISYOBISYO	溼答答，動不了！
STATUS_CLIP	被迴紋針固定住了，動不了！
STATUS_POISON_SUMI	攻擊變得難以命中了！
STATUS_PIN	被圖釘釘住了，動不了！
STATUS_STAPLER	被釘書機釘住了，動不了！
STATUS_TAPE	被透明膠帶貼住了，動不了！
STATUS_STOP	停住了，什麼也不能做！
BTL_LEAF_INFO	什麼事也沒發生……
BTL_NO_HIT	攻擊沒有命中！
BTL_NO_TARGET	攻擊不到！
BTL_NO_EFFECT	沒有效果！
BTL_NO_ESCAPE	攻擊被避開了！
BTL_NO_HAMMER	身上沒有槌子！
BTL_DIALOGUE_COIN_SHORT	金幣不夠！
BTL_DIALOGUE_SLOT_NO_LUCIE	紙貼貼不在，不能用戰鬥轉轉樂！
BTL_DIALOGUE_SEAL_ZERO	貼紙一張也不剩了！
BTL_SLOT_PRESS_A	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0a\0\x18\0\x06\0 \0 \0停止
BTL_SLOT_PRESS_A_00	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x18\0\x06\0 \0 \0特別機會\x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x18\0\x06\0 \0 \0x
BTL_SLOT_PRESS_A_01	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x18\0\x06\0 \0 \0慢速 \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x18\0\x06\0 \0 \0x
BTL_SLOT_PRESS_A_15	１５
BTL_SLOT_PRESS_A_30	３０
BTL_SLOT_PRESS_A_45	４５
BTL_SLOT_PRESS_A_60	６０
BTL_SLOT_PRESS_A_75	７５
BTL_SLOT_PRESS_A_90	９０
BTL_DIALOGUE_NEW_PAGE	貼紙簿增加了新頁面！
BTL_DIALOGUE_READY_GO	要開始了嗎？
PEPA_DIALOGUE_MORE_SEAL	要繼續貼嗎？
DIALOGUE_SORT	貼紙整理完畢
DIALOGUE_SKIP	跳過劇情
shop_kanban_kumo	貼紙商店\n咚啪啦山店
shop_kanban_mori	貼紙商店\n眺望岬店
shop_kanban_saka	貼紙商店\n碎冰山洞店
shop_kanban_kazan	貼紙商店\n隆隆火山店
shop_hi_kumo	歡迎光臨！\n本店推薦您花系列的貼紙。\n另外，這裡還有稀有的蘑菇貼紙。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_mori	歡迎光臨！\n秘密門貼紙\n只有在我們店裡才買得到喲。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_saka	歡迎光臨！\n我們這裡有各種閃亮的貼紙。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_kazan	歡迎光臨！\n這裡好熱呢。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_00	歡迎光臨！\n這裡是貼紙商店。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_01	歡迎光臨！\n這裡是彗星官方貼紙商店。\n今天需要什麼服務呢？\n\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_BUY_02	不好意思，\n您的金幣似乎不夠。
SHOP_BUY_04	這張貼紙已經賣完了。
SHOP_SEND_00	貼紙簿滿了，\n不能買這張貼紙。
SHOP_SELL_00	您要賣掉哪張貼紙呢？\x0e\x01\x01\0
SHOP_SELL_01	您說『\x0e\x03\x01\n\x08\0i\0t\0e\0m\0』吧。\n要賣掉換取\x0e\x03\x02\x08\0\0\x04\0%\0D\0枚金幣嗎？\x0e\x03\0*\0\0\x01\0\0\0d\0 \0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0S\0E\0L\0L\0
SHOP_NO_SEAL	好像沒有能賣的貼紙。
SHOP_SELECT_BUY_SELL	我想買\n我想賣\n退出
SHOP_SELECT_BUY	購買\n退出
SHOP_SELECT_SELL	賣掉\n退出
SHOP_THANKS	謝謝您的惠顧。
SELECT_DISCARD_00	保留\n丟掉
skillup_maxhp5	瑪利歐的最大ＨＰ變成「\x0e\x03\x02\x08\0\0\x04\0%\0D\0」了！
PAD_GUIDE_A	跳
PAD_GUIDE_B	槌子
PAD_GUIDE_X	拿出／收起貼紙簿
PAD_GUIDE_Y	紙片變變變
PAD_GUIDE_L	和紙貼貼說話
PAD_GUIDE_START	離開已過關的關卡
PAD_GUIDE_START_01	整理貼紙{s[085]}(操作貼紙簿中){s[100]}
FILEM_SELECT_PLAY	請選擇檔案
FILEM_SELECT_DELETE	請選擇要刪除的檔案
FILEM_SELECT_COPY	請選擇要複製的檔案
FILEM_SELECT_COPY_TO	要複製到哪裡？
FILEM_DIALOG_CREATE_DONE	已建立檔案
FILEM_DIALOG_DELETE	請選擇要刪除的檔案
FILEM_DIALOG_DELETE_Q	要刪除檔案嗎？
FILEM_DIALOG_DELETE_Q_2ND	確定要刪除嗎？
FILEM_DIALOG_DELETE_DONE	已刪除檔案
FILEM_DIALOG_COPY	請選擇要複製的檔案
FILEM_DIALOG_COPY_Q	要複製嗎？
FILEM_DIALOG_COPY_Q_OVERRIDE	要複製並覆寫嗎？
FILEM_DIALOG_COPY_DONE	已複製
FILEM_DIALOG_COPY_DONE_OVERRIDE	已複製並覆寫
FILEM_TASK_CREATE	正在建立檔案……
FILEM_TASK_DELETE	正在刪除……
FILEM_TASK_COPY	正在複製……
FILEM_DIALOG_BROKEN	檔案已損壞\n將重新建立檔案
loading	紙片瑪利歐\n{s[075]}～ 超級貼紙 ～{s[100]}
OP_00	這個故事是從\n某個貼紙嘉年華的夜晚開始。
OP_01	貼紙嘉年華是\n蘑菇王國每年舉行的\n貼紙祭典。
OP_02	這一夜，\n貼紙彗星會從遙遠的天邊\n來到蘑菇王國。
OP_03	據說只要大家和睦地\n對著這顆貼紙彗星許願，
OP_04	願望必定會實現。
global_event.msbt
rucy_seal_first	唉呀！\n這不是貼紙嗎？\n你撿到了好東西呢。\x0e\0\x04\0那麼，我就給你一本貼紙簿，\n可以把撿到的貼紙收到裡面。
rucy_seal_first_2	聽好囉！\n得到的貼紙會收進這本貼紙簿。\x0e\0\x04\0之後貼紙一定會派上用場，\n在那之前先好好保管吧。
rucy_help_00	還在等什麼呢？\n好像已經可以到小鎮的外面去囉。
join_kinopio_system_mess	奇諾比奧變成一疊，跟過來了！
join_single_kino_system_mess	奇諾比奧跟過來了！
away_kinopio_system_mess	與奇諾比奧們告別了
away_single_kino_system_mess	與奇諾比奧告別了
join_hana_system_mess	花毛毛跟過來了！
join_hana_system_mess_2	花毛毛似乎好好反省過了
join_hana_system_mess_3	花毛毛很失望
hana_BTSL_enpty_W3_01	唉呀，貼紙已經沒了呢。\n真拿你沒辦法……\n這是特別優待唷！
hana_BTSL_enpty_W3_02	又沒了嗎？\n真是的！爭氣一點吧……。\n這真的是特別優待中的優待了唷！
hana_cannot_escape_W3	等等！\n你丟下花毛毛的身體，\n是要去哪裡！？
lucie_boss_powerplay_0	我說……\n雖然是打倒了，\n不過也用掉了好多貼紙。\x0e\0\x04\0說不定還有\n更有效果的貼紙。
lucie_boss_powerplay_1	不過算了，反正有打倒。\n這次還算可以，\n下次再加油吧！
lucie_boss_powerplay_2	我說，\n這次又用掉了很多貼紙。\x0e\0\x04\0如果好好運用貼紙的話，\n說不定可以更順利地打倒他。
lucie_boss_powerplay_3	不過算了，有打倒就很不錯了。\n下次再仔細想想應該會更好！
no_rucie_paperise	紙貼貼不在，\n不能用紙片變變變。
no_rucie_info	紙貼貼不在，\n不能跟她說話。
no_rucie_hammer	沒有槌子，無法使用。
find_newtype_waku	唉呀？\n這個貼貼紙的地方\n是我第一次看到的類型。\x0e\0\x04\0我也不是很清楚。\n不知道是不是要貼上\n比較稀有的貼紙？
LH_T1	這裡是剪紙小鎮的中心呢。\n從這裡可以通到外面去。
LH_T1_A	這裡有賣貼紙！\n我究竟值多少錢呢？
LH_T1_B	以房子的內部來說，\n總覺得有點奇怪呢。
LH_T1_C	貼紙博物館！\n這裡感覺很平靜呢。
LH_T2	這裡有奇諾比奧的家。\n再往裡面走就是貼紙嘉年華的會場。
LH_T2_A	奇諾比奧的家。\n嗯，很簡樸的生活呢。
LH_T3_A	唉呀呀，真是一片狼藉。\n庫巴那傢伙做得也太過火了吧！
LH_T3_B	空蕩蕩的。\n清得一乾二淨了呢。
LH_T3_C	真可惜，\n看來貼紙嘉年華已經沒望了。
LH_T3_D	貼紙嘉年華\n真的會復活嗎？
LH_T3_E	奇諾比奧們很努力呢。\n我們也不能輸。
LH_T3_F	好厲害！這樣說不定真的復活有望！\n我們也再加把勁吧！
LH_T3_G	他們在做貼紙嘉年華的最後排練！\n我們也差最後一步了！
LH_T4_A	這裡是做什麼的地方？\n總覺得很可疑呢。
LH_T4_B	雖然很可疑，\n但我承認，物品貼紙真的很厲害。
LH_M1	有鹹鹹的氣味，\n大海近了。
LH_M1_A	這裡堆滿了像廢棄物的東西\n和一般的東西呢。
LH_M1_B	我什麼都看不見，\n所以也說不了什麼。
LH_M2	波光閃亮，就像我的肌膚一樣。\n閃浪海港真是個好名字。
LH_M2_A	好大！\n這可是不得了的大獵物！
LH_M2_B	這艘船雖然是紙做的，\n但卻不會沉下去呢！
LH_W1_1	暖暖平原真溫暖，\n好舒服呢！
LH_W1_2_A	討厭啦，風好大！\n人家的造型會亂掉啦！
LH_W1_2_B	沒有花的花園……\n不能叫做花園吧。
LH_W1_2_C	綠意盎然，\n好像公園一樣。
LH_W1_2_D	傳來陣陣花香，\n不愧是盛開花園！
LH_W1_3	這裡有好多水。\n水是紙的天敵呀。
LH_W1_3_A	多虧瀑布的負離子能量，\n肌膚變得好水嫩啊。
LH_W1_3_B	上面那個可疑的物品，\n是什麼呢？
LH_W1_3_C	只是站在上面的話\n什麼事也不會發生呢。
LH_W1_4	風車是藉由風的力量轉動的，\n所以才叫做風車。
LH_W1_4_A	又冷又暗。我有點怕，\n真的只有一點點而已唷。
LH_W1_5	我還是第一次爬山。\n也就是登山貼紙呢！
LH_W1_5_A	我們在雲裡！\n好棒呀！
LH_W1_6	好堅固的堡壘呀。\n栗寶寶是怎麼把它建造出來的呢？
LH_W2_1	好熱啊！\n這樣膠水會乾掉的！
LH_W2_1_A	沙漠在哪裡啊？\n是在這後面嗎？
LH_W2_1_B	這裡還算涼爽，\n門的後面應該很熱吧。
LH_W2_1_C	沙子嘩啦嘩啦地流下。\n要小心呀！
LH_W2_1_D	原來地下是這個樣子。\n小心別被沙子沖走啊。
LH_W2_1_E	好酷啊！\n這就叫做金字塔吧？
LH_W2_1_F	穿過山洞後的\n那一端是……沙漠吧。
LH_W2_2	好像在動物的身體裡一樣。\n這裡是哪個部位呢？
LH_W2_2_A	那裡有個很大的東西……\n……是什麼動物嗎？
LH_W2_2_B	靠近一點看，果然很大。\n就好像隻恐龍。
LH_W2_2_C	哇～鼻子上面好高！\n鼻子挺拔就像這樣吧！
LH_W2_3	簡直像個迷宮。\n要記得剛才走過的地方啊。
LH_W2_3_A	有通往地下的樓梯，\n是遺跡的入口吧。
LH_W2_4_A	沙塵暴！快想想辦法！\n貼紙最怕沙子了！
LH_W2_4_B	呼。\n那沙塵暴真是糟透了。
LH_W2_4_C	綠洲？\n哪裡像啊？
LH_W2_4_D	就像是渡假勝地一樣呢。游泳池\n看起來也很舒服。雖然我不能下水。
LH_W2_4_E	唉呀，好棒的小屋！\n住在這裡一定很貴！
LH_W2_5	很古老但是做得很堅固。\n讓人不覺得它是紙呢。
LH_W2_5_A	這裡什麼都沒有，\n總覺得有點不自然。
LH_W2_5_B	沒想到這裡居然有一座塔，\n嚇我一跳。好高啊～！
LH_W2_5_C	這裡應該是屋頂……\n但簡直像……
LH_W3_1	這是毒的氣味？\n好臭、好討厭！
LH_W3_1_X	這才是森林原本的樣子吧。\n寧靜且綠意盎然，好舒服的味道。
