Enemy.msbt
enemy_name_MARIO	马力欧
SL_DEKA_1UP_KINOKO_K	巨型闪闪加命蘑菇
SL_POISON_KINOKO	毒蘑菇
SL_LEAF	叶子
SL_LEAF_K	闪闪叶子
SL_BOMB	炸弹
SL_SOMBRERO	墨西哥帽
SL_BONE	骨头
SL_BOOMERANG	飞旋镖
SL_THROW_KNIFE	飞镖
SL_GABON_BALL	殊力钢
SL_SNOW_BALL	雪球
SL_BARREL	木桶
SL_SPANNER	扳手
SL_DOOR	秘密门
SL_BELLOWS	手风箱
SL_PAPER_FAN	扇子
SL_FAN	电风扇
SL_HANDY_CLEANER	手持吸尘器
SL_UPLIGHT_CLEANER	立式吸尘器
SL_CLEANER	吸尘器
SL_JAPANESE_SCISSORS	燕尾剪
SL_HAIRCUT_SCISSORS	理发剪
SL_SCISSORS	剪刀
SL_CLOTH_SCISSORS	裁缝剪
SL_GOAT	山羊
SL_MANEKINEKO	招财猫
SL_WATERING_CAN	喷壶
SL_TAP	水龙头
SL_KETTLE	水壶
SL_LAMP	灯泡
SL_FLASHLIGHT	手电筒
SL_SEARCHLIGHT	探照灯
SL_FOOK	鱼钩
SL_TRUMPET	小号
SL_VIOLIN	小提琴
SL_GUITAR	吉他
SL_NEWSPAPER_BAT	报纸
SL_PLASTIC_BAT	玩具球棒
SL_BAT	球棒
SL_ITTOKAN	一斗罐
SL_DRUMKAN	油桶
SL_TUB	铁盆
SL_HIGHHEEL	高跟鞋
SL_OIL_HEATER	油汀取暖器
SL_DRYER	吹风机
SL_OVEN	烤箱
SL_BILLIARD_BALL	台球
SL_CURLING_STONE	冰壶
SL_BOWLING	保龄球
SL_SHAVED_ICE	沙冰
SL_AIR_CONDITIONER	空调
SL_FRIDGE	冰箱
SL_BATTERY_BUTTON	纽扣电池
SL_BATTERY_1	１号电池
SL_BATTERY_CAR	汽车电池
SL_BALLOON	气球
SL_POCKET_WATCH	怀表
SL_MAGNIFYING_GLASS	放大镜
SL_MATCH	火柴
SL_LIGHTER	打火机
SL_DUCK	小鸭鸭
SL_PILLOW	枕头
SL_BED	床
SL_CANOPY_BED	豪华床
SL_MOBILE_PHONE	手机
SL_JACKHAMMER	凿岩机
SL_CELLOPHANE_TAPE	透明胶带
SL_THUMBTACK	图钉
SL_STAPLER	订书机
SL_POWDER_PUFF	粉扑
SL_SPONGE	海绵
SL_CAR_WASH_SPONGE	汽车清洁海绵
SL_JUICE	苏打水
SL_WATER_PISTOL	水枪
SL_CAKE	蛋糕
SL_TROPHY	奖杯
SL_BOOM_BOX	立体声收录机
SL_TURKEY	火鸡
PK_FIELD_BRIDGE_KUSYA	木桥
PK_FIELD_STAR_KUSYA	彗星碎片
SL_HEI_BRIDGE	木桥
SL_HEI_DOKAN	绿色水管
SL_IWA_4_DOOR	白色的门
SL_HEI_GOAL_STAR	彗星碎片
SL_IWA_2_BLOCK_BEFOR	砖块开关
SL_IWA_2_BLOCK_AFTER	砖块开关
SL_MAC_1_FOUNTAIN	贴花小镇喷泉
SL_TRE_STUMP_R	树墩
SL_TRE_STUMP_L	树墩
SL_SAR_WOOD_DOOR	巢穴的门
SL_BIG_KOOPA_TAPE	酷霸王纸带
SL_HANACHAN_BODY_1	花之子的身体
SL_HANACHAN_BODY_2	花之子的身体
SL_HANACHAN_BODY_3	花之子的身体
SL_HANACHAN_BODY_4	花之子的身体
SL_WAREHOME_DOOR_BEFORE	仓库的门
SL_WAREHOME_DOOR_AFTER	仓库的门
SL_MAC_2_RUDDER	船舵
SL_TOW_WINDOW_BEFORE	塔的外墙
SL_TOW_WINDOW_AFTER	塔的外墙
SL_W5_WAN_BLOCK_BEFORE	突面墩
SL_W5_WAN_BLOCK_AFTER	突面墩
SL_W5_WAN_STAIRS_BEFORE	遗迹斜坡
SL_W5_WAN_STAIRS_AFTER	遗迹斜坡
SL_TOW_ENTRANCE_1	石板碎片
SL_TOW_ENTRANCE_2	石板碎片
SL_TOW_ENTRANCE_3	石板碎片
SL_TOW_04_DOOR	石头大门
SL_W5_JUN_BRIDGE_1	石桥碎片
SL_W5_JUN_BRIDGE_2	石桥碎片
SL_W5_JUN_BRIDGE_3	石桥碎片
SL_W5_BAK_GATE_BEFORE	丛林水闸
SL_W5_BAK_GATE_AFTER	丛林水闸
SL_W5_WAN_PIT	遗迹地板
SL_W5_MAG_GATE_BEFORE	登山道的岩石
SL_W5_MAG_GATE_AFTER	登山道的洞穴
SL_W5_MAG_FLOOR	有裂缝的岩石
SL_W4_BOS_RAIL	手推车轨道
SL_W4_BOS_DIVERGENCE_RAIL_BEFORE	斜式轨道
SL_W4_BOS_DIVERGENCE_RAIL_AFTER	斜式轨道
SL_W4_BOS_RAIL_EXIT	手推车出口
SL_W4_LIF_LIFT	往日的上一代
SL_W4_YAK_BOOKSHELF_S	公馆的书架
SL_W4_YAK_BOOKSHELF_L	公馆的大书架
SL_W4_YAK_VAULT	公馆的金库
SL_W4_YAK_WALL_R	公馆的墙
SL_W4_YAK_WALL_L	公馆的墙与门
SL_W4_YUK_DOKAN	洞中的水管
SL_W4_YUK_PORTRAIT	主人的肖像画
SL_W4_YUK_PORTRAIT_DOOR	公馆的门
SL_W5_MAG_ROCK_BEFORE	登山道的大岩石
SL_W5_MAG_ROCK_AFTER	登山道的大岩石
SL_W6_KOOPA_CASTLE_GATE_BEFORE	隐藏的酷霸王城堡
SL_W6_KOOPA_CASTLE_GATE_AFTER	隐藏的酷霸王城堡
SL_W6_KILLER_CANNON_BEFORE	大弹头杀手炮台
SL_W6_KILLER_CANNON_AFTER	大弹头杀手炮台
IC_HP_PLUS	体力UP之心
IC_BOO_BOOK	封印之书
STATUS_SLEEP	睡着了，什么也做不了！
STATUS_GURUGURU	攻击变得难以命中了！
STATUS_POISON	受到毒的伤害了！
STATUS_JIWAJIWA	HP回复了！
STATUS_MORIMORI	攻击力提升了！
STATUS_FUNYAFUNYA	攻击力下降了！
STATUS_KUSYA	因皱巴巴而动弹不得！
STATUS_NORINORI	攻击力变为２倍！
STATUS_BISYOBISYO	因湿嗒嗒而动弹不得！
STATUS_CLIP	因回形针而动弹不得！
STATUS_POISON_SUMI	攻击变得难以命中了！
STATUS_PIN	因图钉而动弹不得！
STATUS_STAPLER	因订书钉而动弹不得！
STATUS_TAPE	因透明胶带而动弹不得！
STATUS_STOP	停住了，什么也做不了！
BTL_LEAF_INFO	什么也没发生……
BTL_NO_HIT	攻击没有命中！
BTL_NO_TARGET	攻击不到！
BTL_NO_EFFECT	没有效果！
BTL_NO_ESCAPE	攻击被避开了！
BTL_NO_HAMMER	没有带锤子！
BTL_DIALOGUE_COIN_SHORT	金币不够！
BTL_DIALOGUE_SLOT_NO_LUCIE	智贴贴不在，无法摇奖！
BTL_DIALOGUE_SEAL_ZERO	贴纸一张不剩了！
BTL_SLOT_PRESS_A	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0a\0\x18\0\x06\0 \0 \0停
BTL_SLOT_PRESS_A_00	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x18\0\x06\0 \0 \0特别机会 \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x18\0\x06\0 \0 \0x
BTL_SLOT_PRESS_A_01	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x18\0\x06\0 \0 \0慢 \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x18\0\x06\0 \0 \0x
BTL_SLOT_PRESS_A_15	15
BTL_SLOT_PRESS_A_30	30
BTL_SLOT_PRESS_A_45	45
BTL_SLOT_PRESS_A_60	60
BTL_SLOT_PRESS_A_75	75
BTL_SLOT_PRESS_A_90	90
BTL_DIALOGUE_NEW_PAGE	收集册里增加了新页面！
BTL_DIALOGUE_READY_GO	　准备OK？
PEPA_DIALOGUE_MORE_SEAL	　还要再贴？
DIALOGUE_SORT	　贴纸整理完毕。
DIALOGUE_SKIP	跳过剧情
shop_kanban_kumo	贴纸商店\n咚啪啦山分店
shop_kanban_mori	贴纸商店\n眺望岬分店
shop_kanban_saka	贴纸商店\n碎冰山洞分店
shop_kanban_kazan	贴纸商店\n隆隆火山分店
shop_hi_kumo	欢迎光临！\n向您推荐火之花贴纸。\n也有稀有的蘑菇贴纸。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_mori	欢迎光临！\n秘密门的贴纸\n只有在我店里可以买到。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_saka	欢迎光临！\n本店备齐了各种闪闪的贴纸。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_kazan	欢迎光临。\n很热的吧。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_00	欢迎光临！\n这里是贴纸商店。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_01	欢迎光临！\n这里是彗星官方贴纸商店。\n今天想买些什么呢？\n\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_BUY_02	抱歉。\n您持有的金币好像不够。
SHOP_BUY_04	那种贴纸已断货。
SHOP_SEND_00	收集册已满，\n此贴纸无法购买。
SHOP_SELL_00	要卖哪张贴纸呢？\x0e\x01\x01\0
SHOP_SELL_01	是“\x0e\x03\x01\n\x08\0i\0t\0e\0m\0”吧。\n要以\x0e\x03\x02\x08\0\0\x04\0%\0D\0金币卖掉吗？\x0e\x03\0*\0\0\x01\0\0\0d\0 \0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0S\0E\0L\0L\0
SHOP_NO_SEAL	好像没有可以卖掉的贴纸。
SHOP_SELECT_BUY_SELL	想买\n想卖\n退出
SHOP_SELECT_BUY	买\n退出
SHOP_SELECT_SELL	卖\n退出
SHOP_THANKS	非常感谢。
SELECT_DISCARD_00	保留\n丢掉
skillup_maxhp5	马力欧的最大HP变为“\x0e\x03\x02\x08\0\0\x04\0%\0D\0”了！
PAD_GUIDE_A	跳
PAD_GUIDE_B	锤子
PAD_GUIDE_X	展开／合上收集册
PAD_GUIDE_Y	纸片变变变
PAD_GUIDE_L	与智贴贴交谈
PAD_GUIDE_START	离开已通过的关卡
PAD_GUIDE_START_01	贴纸的整理（操作收集册时）
FILEM_SELECT_PLAY	　请选择文件。
FILEM_SELECT_DELETE	　请选择要删除的文件。
FILEM_SELECT_COPY	　请选择要复制的文件。
FILEM_SELECT_COPY_TO	　要复制到哪里？
FILEM_DIALOG_CREATE_DONE	　文件创建完毕。
FILEM_DIALOG_DELETE	　请选择要删除的文件。
FILEM_DIALOG_DELETE_Q	　要删除文件吗？
FILEM_DIALOG_DELETE_Q_2ND	　确定要删除吗？
FILEM_DIALOG_DELETE_DONE	　文件删除完毕。
FILEM_DIALOG_COPY	　请选择要复制的文件。
FILEM_DIALOG_COPY_Q	　要复制吗？
FILEM_DIALOG_COPY_Q_OVERRIDE	　要复制并覆盖文件吗？
FILEM_DIALOG_COPY_DONE	　复制完毕。
FILEM_DIALOG_COPY_DONE_OVERRIDE	　文件已复制并覆盖。
FILEM_TASK_CREATE	正在创建文件……
FILEM_TASK_DELETE	正在删除……
FILEM_TASK_COPY	正在复制……
FILEM_DIALOG_BROKEN	　文件已损坏，\n　即将重新创建文件。
loading	纸片马力欧\n{s[075]}～ 超级贴纸 ～{s[100]}
OP_00	这个故事是\n　从某个贴纸嘉年华的夜晚开始的。
OP_01	所谓贴纸嘉年华\n是指每年在蘑菇王国举行的\n　贴纸庆祝活动。
OP_02	　那个夜晚，\n贴纸彗星从遥远的天空\n　降临大地。
OP_03	据说，如果大家诚心\n向这个贴纸彗星许愿……
OP_04	　那个愿望就一定会实现。
global_event.msbt
rucy_seal_first	咦。\n那不是贴纸嘛！\n捡了个好东西呀。\x0e\0\x04\0那么，我给你一本收集册吧，\n可以收藏捡到的贴纸。
rucy_seal_first_2	听好噢！\n得到的贴纸就收藏\n在这个收集册里。\x0e\0\x04\0贴纸以后肯定能派上用场，\n因此好好保管到那个时候吧。
rucy_help_00	在干什么呀？\n好像已经能走出小镇啦。
join_kinopio_system_mess	奇诺比奥聚成一束跟过来了！
join_single_kino_system_mess	奇诺比奥跟过来了！
away_kinopio_system_mess	　和奇诺比奥们分开了。
away_single_kino_system_mess	　和奇诺比奥分开了。
join_hana_system_mess	花之子跟过来了！
join_hana_system_mess_2	　花之子好像深刻地反省了。
join_hana_system_mess_3	　花之子太失望了。
hana_BTSL_enpty_W3_01	哎呀，贴纸是不是已经没了呀。\n没有办法……这是特别服务！
hana_BTSL_enpty_W3_02	又没有啦？\n真是的！认真做呀……\n特别服务中的特别服务啊！
hana_cannot_escape_W3	嗨！\n放着花之子身体不管，\n想到哪里去呀！？
lucie_boss_powerplay_0	哎……\n虽然是打倒了，\n但是用了很多的贴纸。\x0e\0\x04\0说不定还有更有效的贴纸呢。
lucie_boss_powerplay_1	但是，反正打倒了，\n这次就OK了！\n下次再努力吧！
lucie_boss_powerplay_2	哎，\n这次又用了相当多的贴纸呀。\x0e\0\x04\0如果好好思考后再使用贴纸，\n说不定可以更顺利地打倒呢。
lucie_boss_powerplay_3	反正都打倒了，这次就OK了，\n但是下次还是要\n再下点功夫为好！
no_rucie_paperise	　智贴贴不在，\n　所以无法进行纸片变变变。
no_rucie_info	　智贴贴不在，\n　所以无法交谈。
no_rucie_hammer	　没有锤子，所以无法使用。
find_newtype_waku	咦？\n这里的贴贴纸的空间，\n还是头一次看到的类型。\x0e\0\x04\0这里是不是贴\n连我也不知道的，\n有点稀有的贴纸的地方呀。
LH_T1	贴花小镇的中心。\n从这里可以走到外面。
LH_T1_A	在卖贴纸！\n我究竟能值多少钱呢？
LH_T1_B	以房子的里面来说，\n感觉有点怪怪的。
LH_T1_C	贴纸博物馆！\n这里让人感觉很放松。
LH_T2	这里有奇诺比奥所居住的家。\n再往前走就是贴纸嘉年华的会场呀。
LH_T2_A	奇诺比奥的家。\n嗯，朴素的生活呀。
LH_T3_A	哎呀呀，一片惨状！\n酷霸王这家伙，飚得有点过了。
LH_T3_B	空空的。\n居然被搞得什么都没有了。
LH_T3_C	非常遗憾，\n贴纸嘉年华已经不可能举办了。
LH_T3_D	贴纸嘉年华真的会复活吗？
LH_T3_E	奇诺比奥好努力呀。\n我们也要努力！
LH_T3_F	好厉害！这样说不定\n真的能复活。我们再加把劲！
LH_T3_G	正在进行贴纸嘉年华的彩排！\n我们也要做最后的努力！
LH_T4_A	这是什么地方呀。\n感觉有很多可疑之处啊。
LH_T4_B	虽然有很多可疑之处，\n但是要承认物品贴纸确实厉害。
LH_M1	有海水的味道。\n离海很近呀。
LH_M1_A	看起来很像废弃物的东西或者\n不像废弃物的东西，好多呀。
LH_M1_B	因为什么都看不到，\n所以不好说什么。
LH_M2	波浪闪耀的，就像我的皮肤。\n闪浪海港……真是个好名字。
LH_M2_A	好大！\n这个是相当大的家伙呀。
LH_M2_B	这艘船，虽然是纸做的，\n却不会沉下去噢。
LH_W1_1	暖暖平原真是暖暖的，\n非常舒服呢。
LH_W1_2_A	讨厌，风太大，\n造型会被弄乱的！
LH_W1_2_B	没有花的花圃\n是不能叫做花圃的噢。
LH_W1_2_C	绿绿的真好看，\n简直就像是公园。
LH_W1_2_D	传来阵阵花香，\n不愧是盛开花园！
LH_W1_3	这里有很多水。\n水是纸的天敌噢。
LH_W1_3_A	由于瀑布的负离子，\n皮肤很水润。
LH_W1_3_B	上面那个很可疑的\n物品是什么呀？
LH_W1_3_C	只是站在上面的话，\n是不会有变化的。
LH_W1_4	风车是借助风的力量来转动的，\n所以叫风车。
LH_W1_4_A	又暗又冷。\n有点害怕呀。有那么一点。
LH_W1_5	我是第一次登山。\n感觉就像个山贴贴呢！
LH_W1_5_A	在云中间呀！\n好棒！
LH_W1_6	还挺坚固的堡垒呢。\n栗子小子是怎样造的？
LH_W2_1	好热呀！\n这样胶水会干掉的。
LH_W2_1_A	哪里是沙漠呀？\n难道是在这个的后面吗？
LH_W2_1_B	这里还算凉快，但是\n门的后面应该很热吧。
LH_W2_1_C	沙子在哗啦哗啦地流着呢。\n小心！
LH_W2_1_D	地下原来是这个样子的。\n注意不要被沙子冲走噢。
LH_W2_1_E	好酷呀！\n这就叫金字塔吧？
LH_W2_1_F	穿过通道的话，那里是……\n沙漠吗？
LH_W2_2	就像在动物身体里的感觉。\n这里是哪个部位？
LH_W2_2_A	那里有个非常大的……\n……那是什么动物？
LH_W2_2_B	近看确实好大呀。\n像只恐龙似的。
LH_W2_2_C	哇哦——鼻子的上面好高呀！\n所谓鼻孔朝天就是这么回事啊。
LH_W2_3	简直像个迷宫呀。\n来过一次的地方要记住的啊。
LH_W2_3_A	有通往地下的楼梯呀。\n是遗迹的入口啊。
LH_W2_4_A	沙尘暴该怎么办呀！\n贴纸最怕沙子了！
LH_W2_4_B	呼。\n那个沙尘暴简直太糟糕啦。
LH_W2_4_C	绿洲？\n哪里有啊？
LH_W2_4_D	好像度假村一样。游泳池看起来\n好舒服呀，虽然我不能下水。
LH_W2_4_E	唉呀，好美的别墅！\n住在这种地方肯定很贵噢。
LH_W2_5	虽然历史悠久，但是建得很牢固。\n真是不敢想象是个纸。
LH_W2_5_A	这里什么都没有，\n可总感觉很不自然。
LH_W2_5_B	竟然造出这样的塔，太惊讶啦。\n真是高高耸立呀——
LH_W2_5_C	这里应该是屋顶……\n但简直像……
LH_W3_1	这是毒的味道？\n好臭呀，讨厌！
LH_W3_1_X	这就是森林真正的姿态呀。\n静谧地散发着绿色植物的清香。
LH_W3_1_A	在这种地方睡觉，\n我是绝对做不到的！
LH_W3_1_B	真的是森林。\n嗯，是森林呀。
LH_W3_2	不会是随便走走的吧？\n我可不喜欢迷路。
LH_W3_3_A	好大的树呀。\n使用电梯吧。
LH_W3_3_B	感觉像个小朋友的房间。\n但还是挺干净的。
LH_W3_3_C	住在树上，\n还真有童话般的感觉呀。
LH_W3_4	这种毒湖真是让人恶心。\n真想赶紧解决掉这个毒的问题。
LH_W3_5	坐在叶子上顺流而下看起来很爽。\n只要没有毒……
LH_W3_6	可以看到海的山丘，真是浪漫。\n只要没有毒……
LH_W3_7	这里，我天生就不行的！\n小心不要被抓住呀。
