Enemy.msbt
enemy_name_MARIO	Mario
enemy_name_KRN_K	Shiny Dry Bones
enemy_name_HKN	Ninji
enemy_name_CBN	Fuzzy
enemy_name_CYU	Scaredy Rat
enemy_name_CRA	Broozer
enemy_name_BTN	Whomp
enemy_name_HKR	Mural Goomba
enemy_name_HNK	Mural Koopa
global.msbt
yesno	Yes\nNo
noyes	No\nYes
kanban_ura	Nothing's written on the back.
item_full	No more room for stickers in the album.
bero_to_stagemap	Go to the world map?\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
query_save	Save your progress?\x0e\x03\0\x14\0\0\xff\xff\0\0d\0\n\0y\0e\0s\0n\0o\0
wait_saving	Saving. Don't turn off the power.\x0e\x01\x01\0
info_saved	Your progress has been saved.\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
query_save_to_title	Save your progress and return to the\ntitle screen?\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
info_saved_to_title	Your progress has been saved.\nReturning to the title screen.\x0e\x04\x04\x04\xd0\x07\0\0\x0e\x01\x01\0
rest_00	Be sure to take a rest before you start\nfeeling tired!
info_staff	A new Toad has appeared on the\nfestival grounds.\x0e\0\x04\0Go say hello!
getitem_ok_01	 sticker!
getmonoart_ok_00	You got the 
getmonoart_ok_01	!
getmappeace_ok_00	You got the 
getmappeace_ok_01	!
getitem_ng	No room in the album!
IC_COIN	Coins
IC_1COIN	Coins
IC_HAMMER	Hammer
SL_CROWN	Crown
SL_LUCIE	Kersti
SL_RAGGED_JUMP	Worn-Out Jump
SL_JUMP	Jump
SL_JUMP_K	Shiny Jump
SL_JUMP_KK	Flashy Jump
SL_DEKA_JUMP_K	Big Shiny Jump
SL_DODEKA_JUMP_KK	Megaflash Jump
SL_IRON_JUMP	Iron Jump
SL_IRON_JUMP_K	Shiny Iron Jump
SL_IRON_JUMP_KK	Flashy Iron Jump
SL_DEKA_IRON_JUMP_K	Big Shiny Iron Jump
SL_DODEKA_IRON_JUMP_KK	Megaflash Iron Jump
SL_BANE_JUMP	Hopslipper
SL_BANE_JUMP_K	Shiny Hopslipper
SL_BANE_JUMP_KK	Flashy Hopslipper
SL_DEKA_BANE_JUMP_K	Big Shiny Hopslipper
SL_DODEKA_BANE_JUMP_KK	Megaflash Hopslipper
SL_TSUGI_JUMP	Line Jump
SL_TSUGI_JUMP_K	Shiny Line Jump
SL_TSUGI_JUMP_KK	Flashy Line Jump
SL_DEKA_TSUGI_JUMP_K	Big Shiny Line Jump
SL_DODEKA_TSUGI_JUMP_KK	Megaflash Line Jump
SL_BUNSIN_JUMP_KK	Flashy Clone Jump
SL_DEKA_BUNSIN_JUMP_KK	Big Shiny Clone Jump
SL_DODEKA_BUNSIN_JUMP_KK	Megaflash Clone Jump
SL_MUGEN_JUMP_KK	Flashy Infinijump
SL_DEKA_MUGEN_JUMP_KK	Big Shiny Infinijump
SL_DODEKA_MUGEN_JUMP_KK	Megaflash Infinijump
SL_RAGGED_HAMMER	Worn-Out Hammer
SL_HAMMER	Hammer
SL_HAMMER_K	Shiny Hammer
SL_HAMMER_KK	Flashy Hammer
SL_DEKA_HAMMER_K	Big Shiny Hammer
SL_DODEKA_HAMMER_KK	Megaflash Hammer
SL_BUN_HAMMER	Slaphammer
SL_BUN_HAMMER_K	Shiny Slaphammer
SL_BUN_HAMMER_KK	Flashy Slaphammer
SL_DEKA_BUN_HAMMER_K	Big Shiny Slaphammer
SL_DODEKA_BUN_HAMMER_KK	Megaflash Slaphammer
SL_PICO_HAMMER	Eekhammer
SL_PICO_HAMMER_K	Shiny Eekhammer
SL_PICO_HAMMER_KK	Flashy Eekhammer
SL_DEKA_PICO_HAMMER_K	Big Shiny Eekhammer
SL_DODEKA_PICO_HAMMER_KK	Megaflash Eekhammer
SL_MEGATON_HAMMER	Hurlhammer
SL_MEGATON_HAMMER_K	Shiny Hurlhammer
SL_MEGATON_HAMMER_KK	Flashy Hurlhammer
SL_DEKA_MEGATON_HAMMER_K	Big Shiny Hurlhammer
SL_DODEKA_MEGATON_HAMMER_KK	Megaflash Hurlhammer
SL_MEE_HAMMER	Baahammer
SL_DEKA_MEE_HAMMER_K	Big Shiny Baahammer
SL_DODEKA_MEE_HAMMER_KK	Megaflash Baahammer
SL_BURNING_HAMMER	Burnhammer
SL_DEKA_BURNING_HAMMER_K	Big Shiny Burnhammer
SL_DODEKA_BURNING_HAMMER_KK	Megaflash Burnhammer
SL_SEVERE_HAMMER	Chillhammer
SL_DEKA_SEVERE_HAMMER_K	Big Shiny Chillhammer
SL_DODEKA_SEVERE_HAMMER_KK	Megaflash Chillhammer
SL_SANDAL	Sandal
SL_SANDAL_K	Shiny Sandal
SL_SANDAL_KK	Flashy Sandal
SL_TOGE_HAT	Spike Helmet
SL_TOGE_HAT_K	Shiny Spike Helmet
SL_TOGE_HAT_KK	Flashy Spike Helmet
SL_DEKA_BOOTS	Super Boot
SL_DEKA_BOOTS_K	Shiny Super Boot
SL_DEKA_TAIL	Tail
SL_DEKA_TAIL_K	Shiny Tail
SL_DEKA_FROG	Frog Suit
SL_DEKA_FROG_K	Shiny Frog Suit
SL_FIRE_FLOWER	Fire Flower
SL_FIRE_FLOWER_K	Shiny Fire Flower
SL_FIRE_FLOWER_KK	Flashy Fire Flower
SL_ICE_FLOWER	Ice Flower
SL_ICE_FLOWER_K	Shiny Ice Flower
SL_ICE_FLOWER_KK	Flashy Ice Flower
SL_POW_BLOCK	POW Block
SL_POW_BLOCK_K	Shiny POW Block
SL_POW_BLOCK_KK	Flashy POW Block
SL_NOKONOKO_KOURA	Shell
SL_NOKONOKO_KOURA_K	Shiny Shell
SL_NOKONOKO_KOURA_KK	Flashy Shell
SL_KINOKO	Mushroom
SL_KINOKO_K	Shiny Mushroom
SL_KINOKO_KK	Flashy Mushroom
SL_DEKA_1UP_KINOKO	Big 1UP
SL_DEKA_1UP_KINOKO_K	Big Shiny 1UP
SL_POISON_KINOKO	Poison Mushroom
SL_LEAF	Leaf
SL_LEAF_K	Shiny Leaf
SL_BOMB	Bomb
SL_SOMBRERO	Sombrero
SL_BONE	Bone
SL_BOOMERANG	Boomerang
SL_THROW_KNIFE	Throwing Star
SL_GABON_BALL	Spike Ball
SL_SNOW_BALL	Snowball
SL_BARREL	Barrel
SL_SPANNER	Wrench
SL_DOOR	Secret Door
SL_BELLOWS	Bellows
SL_PAPER_FAN	Paper Fan
SL_FAN	Fan
SL_HANDY_CLEANER	Mini Vacuum
SL_UPLIGHT_CLEANER	Upright Vacuum
SL_CLEANER	Vacuum
SL_JAPANESE_SCISSORS	Sewing Scissors
SL_HAIRCUT_SCISSORS	Hair Shears
SL_SCISSORS	Scissors
SL_CLOTH_SCISSORS	Tailor Shears
SL_GOAT	Goat
SL_MANEKINEKO	Cat-o-Luck
SL_WATERING_CAN	Watering Can
SL_TAP	Faucet
SL_KETTLE	Teapot
SL_LAMP	Lightbulb
SL_FLASHLIGHT	Flashlight
SL_SEARCHLIGHT	Searchlight
SL_FOOK	Fishhook
SL_TRUMPET	Trumpet
SL_VIOLIN	Violin
SL_GUITAR	Guitar
SL_NEWSPAPER_BAT	Newspaper
SL_PLASTIC_BAT	Toy Bat
SL_BAT	Bat
SL_ITTOKAN	Square Can
SL_DRUMKAN	Drum
SL_TUB	Basin
SL_HIGHHEEL	High Heel
SL_OIL_HEATER	Radiator
SL_DRYER	Hair Dryer
SL_OVEN	Oven
SL_BILLIARD_BALL	Billiard Ball
SL_CURLING_STONE	Curling Stone
SL_BOWLING	Bowling Ball
SL_SHAVED_ICE	Shaved Ice
SL_AIR_CONDITIONER	Air Conditioner
SL_FRIDGE	Refrigerator
SL_BATTERY_BUTTON	Watch Battery
SL_BATTERY_1	D-Cell Battery
SL_BATTERY_CAR	Car Battery
SL_BALLOON	Balloon
SL_POCKET_WATCH	Pocket Watch
SL_MAGNIFYING_GLASS	Magnifying Glass
SL_MATCH	Matches
SL_LIGHTER	Lighter
SL_DUCK	Rubber Ducky
SL_PILLOW	Pillow
SL_BED	Bed
SL_CANOPY_BED	Luxurious Bed
SL_MOBILE_PHONE	Cell Phone
SL_JACKHAMMER	Jackhammer
SL_CELLOPHANE_TAPE	Tape
SL_THUMBTACK	Thumbtack
SL_STAPLER	Stapler
SL_POWDER_PUFF	Powder Puff
SL_SPONGE	Sponge
SL_CAR_WASH_SPONGE	Car Sponge
SL_JUICE	Soda
SL_WATER_PISTOL	Squirt Gun
SL_CAKE	Cake
SL_TROPHY	Trophy
SL_BOOM_BOX	Boom Box
SL_TURKEY	Turkey
PK_FIELD_BRIDGE_KUSYA	Wooden Bridge
PK_FIELD_STAR_KUSYA	Torn Comet Piece
SL_HEI_BRIDGE	Wooden Bridge
SL_HEI_DOKAN	Green Warp Pipe
SL_IWA_4_DOOR	White Gate
SL_HEI_GOAL_STAR	Comet Piece
SL_IWA_2_BLOCK_BEFOR	Block Switch
SL_IWA_2_BLOCK_AFTER	Block Switch
SL_MAC_1_FOUNTAIN	Decalburg Fountain
SL_TRE_STUMP_R	Tree Stump
SL_TRE_STUMP_L	Tree Stump
SL_SAR_WOOD_DOOR	Burrow Door
SL_BIG_KOOPA_TAPE	Bowser Tape
SL_HANACHAN_BODY_1	Wiggler Segment
SL_HANACHAN_BODY_2	Wiggler Segment
SL_HANACHAN_BODY_3	Wiggler Segment
SL_HANACHAN_BODY_4	Wiggler Segment
SL_WAREHOME_DOOR_BEFORE	Warehouse Door
SL_WAREHOME_DOOR_AFTER	Warehouse Door
SL_MAC_2_RUDDER	Ship's Wheel
SL_TOW_WINDOW_BEFORE	Tower Outer Wall
SL_TOW_WINDOW_AFTER	Tower Outer Wall
SL_W5_WAN_BLOCK_BEFORE	Bomp
SL_W5_WAN_BLOCK_AFTER	Bomp
SL_W5_WAN_STAIRS_BEFORE	Ruin Slope
SL_W5_WAN_STAIRS_AFTER	Ruin Slope
SL_TOW_ENTRANCE_1	Tablet Piece
SL_TOW_ENTRANCE_2	Tablet Piece
SL_TOW_ENTRANCE_3	Tablet Piece
SL_TOW_04_DOOR	Stone Entry
SL_W5_JUN_BRIDGE_1	Bridge Part
SL_W5_JUN_BRIDGE_2	Bridge Part
SL_W5_JUN_BRIDGE_3	Bridge Part
SL_W5_BAK_GATE_BEFORE	Jungle Floodgate
SL_W5_BAK_GATE_AFTER	Jungle Floodgate
SL_W5_WAN_PIT	Ruin Floor
SL_W5_MAG_GATE_BEFORE	Mountain Boulder
SL_W5_MAG_GATE_AFTER	Mountain Hole
SL_W5_MAG_FLOOR	Cracked Boulder
SL_W4_BOS_RAIL	Mine-Cart Rail
SL_W4_BOS_DIVERGENCE_RAIL_BEFORE	Diagonal Rail
SL_W4_BOS_DIVERGENCE_RAIL_AFTER	Diagonal Rail
SL_W4_BOS_RAIL_EXIT	Mine-Cart Exit
SL_W4_LIF_LIFT	Forebear's Portrait
SL_W4_YAK_BOOKSHELF_S	Mansion Bookcase
SL_W4_YAK_BOOKSHELF_L	Big Bookcase
SL_W4_YAK_VAULT	Mansion Safe
SL_W4_YAK_WALL_R	Mansion Wall
SL_W4_YAK_WALL_L	Mansion Door
SL_W4_YUK_DOKAN	Pipe in a Cave
SL_W4_YUK_PORTRAIT	Steward's Portrait
SL_W4_YUK_PORTRAIT_DOOR	Mansion Door
SL_W5_MAG_ROCK_BEFORE	Huge Mountain Slab
SL_W5_MAG_ROCK_AFTER	Huge Mountain Slab
SL_W6_KOOPA_CASTLE_GATE_BEFORE	Hidden Bowser Castle
SL_W6_KOOPA_CASTLE_GATE_AFTER	Hidden Bowser Castle
SL_W6_KILLER_CANNON_BEFORE	Banzai Bill Cannon
SL_W6_KILLER_CANNON_AFTER	Banzai Bill Cannon
IC_HP_PLUS	HP-Up Heart
IC_BOO_BOOK	Book of Sealing
STATUS_SLEEP	Asleep!
STATUS_GURUGURU	Attacks might miss!
STATUS_POISON	Poison every turn!
STATUS_JIWAJIWA	HP boost every turn!
STATUS_MORIMORI	Attack power up!
STATUS_FUNYAFUNYA	Attack power down! 
STATUS_KUSYA	Crumpled! Can't move!
STATUS_NORINORI	Attack power doubled!
STATUS_BISYOBISYO	Soggy! Can't move!
STATUS_CLIP	Clipped! Can't move!
STATUS_POISON_SUMI	Poison hurts aim!
STATUS_PIN	Tacked! Can't move!
STATUS_STAPLER	Stapled! Can't move!
STATUS_TAPE	Taped! Can't move!
STATUS_STOP	Stopped! Can't move!
BTL_LEAF_INFO	Nothing happens...
BTL_NO_HIT	Attack misses!
BTL_NO_TARGET	Can't reach!
BTL_NO_EFFECT	No effect!
BTL_NO_ESCAPE	Attack dodged!
BTL_NO_HAMMER	No hammer!
BTL_DIALOGUE_COIN_SHORT	Not enough coins!
BTL_DIALOGUE_SLOT_NO_LUCIE	No Battle Spinner without Kersti!
BTL_DIALOGUE_SEAL_ZERO	Out of stickers!
BTL_SLOT_PRESS_A	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0a\0\x12\0\x05\0\x18\0\x18\0 Stop
BTL_SLOT_PRESS_A_00	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x12\0\x05\0\x18\0\x18\0 Special \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x12\0\x05\0\x18\0\x18\0x
BTL_SLOT_PRESS_A_01	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x12\0\x05\0\x18\0\x18\0 Slow \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x12\0\x05\0\x18\0\x18\0x
BTL_SLOT_PRESS_A_15	15
BTL_SLOT_PRESS_A_30	30
BTL_SLOT_PRESS_A_45	45
BTL_SLOT_PRESS_A_60	60
BTL_SLOT_PRESS_A_75	75
BTL_SLOT_PRESS_A_90	90
BTL_DIALOGUE_NEW_PAGE	New page added!
BTL_DIALOGUE_READY_GO	All set?
PEPA_DIALOGUE_MORE_SEAL	Stick some more?
DIALOGUE_SORT	Stickers sorted.
DIALOGUE_SKIP	Skip
shop_kanban_kumo	{d}Whammino Mountain {/d}\n{d}Sticker Shop{/d}
shop_kanban_mori	{d}Outlook Point{/d}\n{d}Sticker Shop{/d}
shop_kanban_saka	{d}Shaved-Ice Cave{/d}\n{d}Sticker Shop{/d}
shop_kanban_kazan	{d}Rumble Volcano{/d}\n{d}Sticker Shop{/d}
shop_hi_kumo	Welcome! I heartily recommend the \nflower stickers. Also the rare mushroom \nstickers. Because they're rare.\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_mori	Welcome! Heads up: you can't buy \nsecret door stickers anywhere but here.\nThat's called a monopoly, baby!\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_saka	Welcome! I've got a wide variety of\nshiny stickers. Browse away!\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_kazan	Welcome. Hot, aint it?\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_00	Welcome to the sticker shop!\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_01	Welcome to the official comet sticker\nshop. What can I do for you?\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_BUY_02	Oh, yikes! Sorry, Mario...\nYou don't have enough coins...
SHOP_BUY_04	Sorry, we're sold out of that sticker...
SHOP_SEND_00	Hmm? Hey, looks like your album is full,\nso I can't sell you this sticker.
SHOP_SELL_00	Which sticker do you want to sell?\x0e\x01\x01\0
SHOP_SELL_01	That right there is a good-looking\n\x0e\x03\x01\n\x08\0i\0t\0e\0m\0 sticker!\nWanna sell it? As for the coinage... \nI could give you \x0e\x03\x02\x08\0\0\x04\0%\0d\0 for it.\x0e\x03\0*\0\0\x01\0\0\0d\0 \0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0S\0E\0L\0L\0
SHOP_NO_SEAL	You seem to be without stickers to sell.
SHOP_SELECT_BUY_SELL	Buy\nSell\nNever mind
SHOP_SELECT_BUY	Buy\nNever mind
SHOP_SELECT_SELL	Sell\nNever mind
SHOP_THANKS	Hey, thanks very much!
SELECT_DISCARD_00	Keep\nToss
skillup_maxhp5	Mario's max HP is now \x0e\x03\x02\x08\0\0\x04\0%\0d\0!
PAD_GUIDE_A	Jump
PAD_GUIDE_B	Hammer
PAD_GUIDE_X	Open/Close album
PAD_GUIDE_Y	Paperize
PAD_GUIDE_L	Talk to Kersti
PAD_GUIDE_START	Leave a cleared course
PAD_GUIDE_START_01	Sort stickers {s[090]}(while in album){s[100]}
FILEM_SELECT_PLAY	Select a File
FILEM_SELECT_DELETE	Select a file to erase.
FILEM_SELECT_COPY	Select a file to copy.
FILEM_SELECT_COPY_TO	Where do you want to copy it? 
FILEM_DIALOG_CREATE_DONE	File created.
FILEM_DIALOG_DELETE	Select a file to erase.
FILEM_DIALOG_DELETE_Q	Erase this file?
FILEM_DIALOG_DELETE_Q_2ND	Are you sure?
FILEM_DIALOG_DELETE_DONE	File erased.
FILEM_DIALOG_COPY	Select a file to copy.
FILEM_DIALOG_COPY_Q	Copy this file?
FILEM_DIALOG_COPY_Q_OVERRIDE	Replace the existing file?
FILEM_DIALOG_COPY_DONE	File copied.
FILEM_DIALOG_COPY_DONE_OVERRIDE	File copied.
FILEM_TASK_CREATE	Creating a file...
FILEM_TASK_DELETE	Erasing...
FILEM_TASK_COPY	Copying...
FILEM_DIALOG_BROKEN	File is corrupted. \nRe-creating file. 
loading	PAPER MARIO\nSticker Star
OP_00	Ahem! Today's story begins one evening\nduring a holiday called Sticker Fest.
OP_01	The Sticker Fest is a celebration of\nstickers that occurs every year in the\nMushroom Kingdom.
OP_02	On the special night, a Sticker Comet\nfalls from far beyond the sky.
OP_03	If everyone concentrates and wishes on\nthis Sticker Comet...
OP_04	It's said that all of those wishes will \ncome true. 
global_event.msbt
rucy_seal_first	Huh? Hey, that's a sticker, isn't it?!\nLucky you, picking up something that\ngreat.\x0e\0\x04\0Well, you can't jam something as\nimportant as a sticker in your pocket,\nso let me give you an album to keep\nthat in.
rucy_seal_first_2	Not bad, huh? Any sticker you find,\nyou just pop it in the album.\x0e\0\x04\0Trust me, you're going to need as many\nof those as you can find later on,\nso take good care of them!
rucy_help_00	Why are you dillydallying? \nI think we can leave town now!
join_kinopio_system_mess	The stack of Toads joined you!
join_single_kino_system_mess	The Toad joined you! 
away_kinopio_system_mess	The Toads left you.
away_single_kino_system_mess	The Toad left you.
join_hana_system_mess	A Wiggler segment joined you!
join_hana_system_mess_2	The Wiggler segment seems deeply\nremorseful for its behavior.
join_hana_system_mess_3	The Wiggler segment is disappointed.
hana_BTSL_enpty_W3_01	Huh? You're out of stickers already?\nOops. Then you get...special service!
hana_BTSL_enpty_W3_02	Wait, you're out of stickers AGAIN? \nC'mon! Get it together, will you?\nAnyway, looks like you get the most\nspecial of special services!
hana_cannot_escape_W3	Hey! Where do you think you're going?\nYou're leaving Wiggler's segment!
lucie_boss_powerplay_0	Hey, you managed to win the day,\nbut you sure used a lot of stickers.\x0e\0\x04\0Don't you think maybe there was a\nmore effective sticker you might have\nused instead?
lucie_boss_powerplay_1	Well, anyway, you won, right?\nSo this time everything's peachy. \nStill, try a little harder next time!
lucie_boss_powerplay_2	Wow. You, uh... You sure used a lot of\nstickers again, huh?\x0e\0\x04\0Not trying to nag, but think hard about\nthe stickers you're using in different\nsituations to be more effective!
lucie_boss_powerplay_3	Yeah, you won, and the ends justify\nthe means to an extent, but next time\nit might be better if you plan wisely!
no_rucie_paperise	Kersti's not here, so you can't paperize.
no_rucie_info	Kersti's not here. You can't speak to\nsomeone who's not here.
no_rucie_hammer	You don't have a hammer.
find_newtype_waku	Huh? Weird... Never seen a paperization\nzone like this for sticking stickers...\x0e\0\x04\0I guess it could be meant for a rare\nsticker type that I'm not familiar with. 
LH_T1	The center of Decalburg, huh? We can\nhead out into the world from here.
LH_T1_A	Stickers are being sold here! \nI really wonder how much I'd go for...
LH_T1_B	As far as house interiors go, this one is\npretty odd...
LH_T1_C	Wow, a sticker museum! I feel really at\nease here. So peaceful...
LH_T2	The Toads live in these houses,\nobviously. The Sticker Fest grounds are\njust back there.
LH_T2_A	Toad houses. Ah, the simple life.
LH_T3_A	Wow, this looks bad. That Bowser guy \nreally is a force of destruction.
LH_T3_B	What a wasteland. There's nothing left!
LH_T3_C	What a shame... It looks like the Sticker\nFest will never return.
LH_T3_D	Do you think there's actually a chance\nof us reviving Sticker Fest?
LH_T3_E	Look at those Toads, giving it their all.\nWe've got to work just as hard!
LH_T3_F	Wow! Maybe we really CAN revive the\nfestival. C'mon, we've got to push it!
LH_T3_G	They're rehearsing for the Sticker Fest!\nThis is the home stretch!
LH_T4_A	Wow, what kind of place IS this? \nIt seems sort of...sketchy.
LH_T4_B	This operation looks pretty shady, but I \nhave to admit, the thing stickers are \npretty amazing.
LH_M1	Smell that salt air? The sea is nearby.
LH_M1_A	A lot of this stuff looks like junk.\nOf course, a lot of it looks like not junk.
LH_M1_B	I can't see anything, so I can't say \nanything. Sorry.
LH_M2	The waves are shiny just like me!\nSurfshine Harbor's the perfect name.
LH_M2_A	That thing is huge! No way is that \nthing normal.
LH_M2_B	This ship is paper, so I'm pretty\nimpressed that it doesn't, y'know, sink.
LH_W1_1	The Warm Fuzzy Plains sure do make\na sticker feel warm and fuzzy.
LH_W1_2_A	Ugh! The wind's too strong...\nIt's really messed this place up.
LH_W1_2_B	It seems wrong to call a place without \nlots of flowers "Bouquet Gardens."
LH_W1_2_C	Such a pretty green! This really looks\nlike a park.
LH_W1_2_D	The flowers smell so nice. So THAT'S\nwhy it's called Bouquet Gardens!
LH_W1_3	There's a lot of water here... Just as an\nFYI, water is paper's archenemy.
LH_W1_3_A	This one sticker was telling me that\nnegative ions in waterfall waters make\nskin feel fresh... Is that for real?
LH_W1_3_B	What's that strange thing up there?
LH_W1_3_C	It doesn't seem like just standing on \nthat thing does anything useful.
LH_W1_4	A windmill's called a windmill because it\nturns with wind. Words of wisdom!
LH_W1_4_A	Wow, it's pretty dim and cool in here...\nKind of a little scary. Just a little.
LH_W1_5	This is my first time mountain climbing!\nLook! I'm a mountain sticker!
LH_W1_5_A	Wow, all this in the clouds! How cool!
LH_W1_6	Pretty impressive fortress, huh?\nHow did GOOMBAS build this?
LH_W2_1	It's too hot! My glue's going to dry out.
LH_W2_1_A	Where's this desert supposed to be?\nThink it's on the other side?
LH_W2_1_B	It's relatively cool over here, but it's\ndefinitely hot on the other side of\nthese doors.
LH_W2_1_C	The sand is really flowing around here.\nBe careful!
LH_W2_1_D	So this is what it's like underground...\nLovely. Try not to get washed away by\nthe sand!
LH_W2_1_E	Cool! This is what you call a pyramid?
LH_W2_1_F	What could bore a tunnel like this\nthrough earth? Sand, I guess.
LH_W2_2	I feel like I'm being digested by an \nanimal or something. What part would\nthis be? The gizzard?
LH_W2_2_A	There's something really big over \nthere... Is that some kind of animal?
LH_W2_2_B	Now that I see it up close, it IS big.\nIt totally looks like a dinosaur.\nOr maybe a dragon.
LH_W2_2_C	Wow, we are WAY up high! Hey...\nI guess this is what it means to have\nyour nose in the air, huh?
LH_W2_3	This is a total maze. Make sure you\nremember which way we came, OK?
LH_W2_3_A	There's a staircase leading \nunderground. It must be the entrance\nto the ruins, don't you think?
LH_W2_4_A	We have to get through this sandstorm!\nSand is a sticker's worst nightmare!
LH_W2_4_B	Phew. That sandstorm was the worst.
LH_W2_4_C	Oasis? Where?
LH_W2_4_D	Wow, this is a resort. The pool looks so\nrefreshing! Even though we can't go in.
LH_W2_4_E	This cottage is AMAZING! I bet it's \nexpensive, staying in a place like this.
LH_W2_5	Sure is solid for such ancient \nconstruction. Hard to believe it's paper.
LH_W2_5_A	Nothing there. Weird...
LH_W2_5_B	I'm surprised a tower like this was even\nbuilt. I mean, look at this thing soar!
LH_W2_5_C	This must be the roof, but something's\noff here...
LH_W3_1	That stench is POISONOUS?\nIt stinks so bad, it MUST be!
LH_W3_1_X	This is the way the forest SHOULD look.\nQuiet, green, and fragrant.
LH_W3_1_A	There's no way I could ever sleep in \na place like this!
LH_W3_1_B	Yup, it's a forest. As forest as it gets.
