Enemy.msbt
enemy_name_MARIO	マリオ
SL_HEI_GOAL_STAR	コメットのかけら
SL_IWA_2_BLOCK_BEFOR	ブロックスイッチ
SL_IWA_2_BLOCK_AFTER	ブロックスイッチ
SL_MAC_1_FOUNTAIN	ラベルンタウンの\x0e\0\0\x0c\x04\0\x08\0u0\x930Y0D0噴水
SL_TRE_STUMP_R	\x0e\0\0\x06\x02\0\x02\0M0切り\x0e\0\0\x08\x02\0\x04\0K0v0株
SL_TRE_STUMP_L	\x0e\0\0\x06\x02\0\x02\0M0切り\x0e\0\0\x08\x02\0\x04\0K0v0株
SL_SAR_WOOD_DOOR	\x0e\0\0\n\x04\0\x06\0Y0B0j0巣穴の\x0e\0\0\n\x02\0\x06\0h0s0\x890扉
SL_BIG_KOOPA_TAPE	クッパテープ
SL_HANACHAN_BODY_1	ハナチャンの\x0e\0\0\n\x02\0\x06\0K0\x890`0体
SL_HANACHAN_BODY_2	ハナチャンの\x0e\0\0\n\x02\0\x06\0K0\x890`0体
SL_HANACHAN_BODY_3	ハナチャンの\x0e\0\0\n\x02\0\x06\0K0\x890`0体
SL_HANACHAN_BODY_4	ハナチャンの\x0e\0\0\n\x02\0\x06\0K0\x890`0体
SL_WAREHOME_DOOR_BEFORE	\x0e\0\0\n\x04\0\x06\0]0F0S0倉庫の\x0e\0\0\n\x02\0\x06\0h0s0\x890扉
SL_WAREHOME_DOOR_AFTER	\x0e\0\0\n\x04\0\x06\0]0F0S0倉庫の\x0e\0\0\n\x02\0\x06\0h0s0\x890扉
SL_MAC_2_RUDDER	\x0e\0\0\x08\x02\0\x04\0u0m0船のハンドル
SL_TOW_WINDOW_BEFORE	\x0e\0\0\x08\x02\0\x04\0h0F0塔の\x0e\0\0\x0c\x04\0\x08\0]0h0K0y0外壁
SL_TOW_WINDOW_AFTER	\x0e\0\0\x08\x02\0\x04\0h0F0塔の\x0e\0\0\x0c\x04\0\x08\0]0h0K0y0外壁
SL_W5_WAN_BLOCK_BEFORE	ツキダシドン
SL_W5_WAN_BLOCK_AFTER	ツキダシドン
SL_W5_WAN_STAIRS_BEFORE	\x0e\0\0\n\x04\0\x06\0D0[0M0遺跡のスロープ
SL_W5_WAN_STAIRS_AFTER	\x0e\0\0\n\x04\0\x06\0D0[0M0遺跡のスロープ
SL_TOW_ENTRANCE_1	\x0e\0\0\x0c\x04\0\x08\0[0M0p0\x930石板のかけら
SL_TOW_ENTRANCE_2	\x0e\0\0\x0c\x04\0\x08\0[0M0p0\x930石板のかけら
SL_TOW_ENTRANCE_3	\x0e\0\0\x0c\x04\0\x08\0[0M0p0\x930石板のかけら
SL_TOW_04_DOOR	\x0e\0\0\x08\x02\0\x04\0D0W0石づくりのゲート
SL_W5_JUN_BRIDGE_1	\x0e\0\0\x0c\x04\0\x08\0D0W0p0W0石橋のかけら
SL_W5_JUN_BRIDGE_2	\x0e\0\0\x0c\x04\0\x08\0D0W0p0W0石橋のかけら
SL_W5_JUN_BRIDGE_3	\x0e\0\0\x0c\x04\0\x08\0D0W0p0W0石橋のかけら
SL_W5_BAK_GATE_BEFORE	ジャングルの\x0e\0\0\x0c\x04\0\x08\0Y0D0\x820\x930水門
SL_W5_BAK_GATE_AFTER	ジャングルの\x0e\0\0\x0c\x04\0\x08\0Y0D0\x820\x930水門
SL_W5_WAN_PIT	\x0e\0\0\n\x04\0\x06\0D0[0M0遺跡の\x0e\0\0\x08\x02\0\x04\0\x860K0床
SL_W5_MAG_GATE_BEFORE	\x0e\0\0\x0e\x06\0\n\0h0V0\x930i0F0登山道の\x0e\0\0\x08\x02\0\x04\0D0\x8f0岩
SL_W5_MAG_GATE_AFTER	\x0e\0\0\x0e\x06\0\n\0h0V0\x930i0F0登山道の\x0e\0\0\x08\x02\0\x04\0B0j0穴
SL_W5_MAG_FLOOR	ひびの\x0e\0\0\x08\x02\0\x04\0o0D0入った\x0e\0\0\x08\x02\0\x04\0D0\x8f0岩
SL_W4_BOS_RAIL	トロッコのレール
SL_W4_BOS_DIVERGENCE_RAIL_BEFORE	ななめのレール
SL_W4_BOS_DIVERGENCE_RAIL_AFTER	ななめのレール
SL_W4_BOS_RAIL_EXIT	トロッコの\x0e\0\0\n\x04\0\x06\0g0P0a0出口
SL_W4_LIF_LIFT	ありし\x0e\0\0\x06\x02\0\x02\0r0日の\x0e\0\0\x0c\x04\0\x08\0[0\x930`0D0先代
SL_W4_YAK_BOOKSHELF_S	\x0e\0\0\n\x04\0\x06\0\x840W0M0屋敷の\x0e\0\0\x0c\x04\0\x08\0\{0\x930`0j0本棚
SL_W4_YAK_BOOKSHELF_L	\x0e\0\0\n\x04\0\x06\0\x840W0M0屋敷の\x0e\0\0\x08\x02\0\x04\0J0J0大きな\x0e\0\0\x0c\x04\0\x08\0\{0\x930`0j0本棚
SL_W4_YAK_VAULT	\x0e\0\0\n\x04\0\x06\0\x840W0M0屋敷の\x0e\0\0\n\x04\0\x06\0M0\x930S0金庫
SL_W4_YAK_WALL_R	\x0e\0\0\n\x04\0\x06\0\x840W0M0屋敷の\x0e\0\0\x08\x02\0\x04\0K0y0壁
SL_W4_YAK_WALL_L	\x0e\0\0\n\x04\0\x06\0\x840W0M0屋敷の\x0e\0\0\x08\x02\0\x04\0K0y0壁と\x0e\0\0\n\x02\0\x06\0h0s0\x890扉
SL_W4_YUK_DOKAN	\x0e\0\0\x08\x02\0\x04\0B0j0穴の\x0e\0\0\x08\x02\0\x04\0j0K0中の\x0e\0\0\n\x04\0\x06\0i0K0\x930土管
SL_W4_YUK_PORTRAIT	あるじの\x0e\0\0\x10\x06\0\x0c\0W0\x870F0^0F0L0肖像画
SL_W4_YUK_PORTRAIT_DOOR	\x0e\0\0\n\x04\0\x06\0\x840W0M0屋敷の\x0e\0\0\n\x02\0\x06\0h0s0\x890扉
SL_W5_MAG_ROCK_BEFORE	\x0e\0\0\x0e\x06\0\n\0h0V0\x930i0F0登山道の\x0e\0\0\x0c\x04\0\x08\0J0J0D0\x8f0大岩
SL_W5_MAG_ROCK_AFTER	\x0e\0\0\x0e\x06\0\n\0h0V0\x930i0F0登山道の\x0e\0\0\x0c\x04\0\x08\0J0J0D0\x8f0大岩
SL_W6_KOOPA_CASTLE_GATE_BEFORE	かくれクッパ\x0e\0\0\n\x02\0\x06\0X0\x870F0城
SL_W6_KOOPA_CASTLE_GATE_AFTER	かくれクッパ\x0e\0\0\n\x02\0\x06\0X0\x870F0城
SL_W6_KILLER_CANNON_BEFORE	マグナムキラー\x0e\0\0\x0c\x04\0\x08\0\{0F0`0D0砲台
SL_W6_KILLER_CANNON_AFTER	マグナムキラー\x0e\0\0\x0c\x04\0\x08\0\{0F0`0D0砲台
IC_HP_PLUS	\x0e\0\0\x0e\x04\0\n\0_0D0\x8a0\x870O0体力UPハート
IC_BOO_BOOK	ふういんの\x0e\0\0\x08\x02\0\x04\0\{0\x930本
STATUS_SLEEP	ねむって　\x0e\0\0\x08\x02\0\x04\0j0k0何もできない！
STATUS_GURUGURU	こうげきが　あたりにくくなった！
STATUS_POISON	どくのダメージをうけるぞ！
STATUS_JIWAJIWA	ＨＰが　かいふくするぞ！
STATUS_MORIMORI	こうげき\x0e\0\0\n\x02\0\x06\0\x8a0\x870O0力が　アップしたぞ！
STATUS_FUNYAFUNYA	こうげき\x0e\0\0\n\x02\0\x06\0\x8a0\x870O0力が　ダウンしたぞ！
STATUS_KUSYA	しわくちゃで　うごけない！
STATUS_NORINORI	こうげき\x0e\0\0\n\x02\0\x06\0\x8a0\x870O0力が　２ばいになった！
STATUS_BISYOBISYO	びしょびしょで　うごけない！
STATUS_CLIP	クリップで　うごけない！
STATUS_POISON_SUMI	こうげきが　あたりにくくなった！
STATUS_PIN	がびょうで　うごけない！
STATUS_STAPLER	ホッチキスで　うごけない！
STATUS_TAPE	セロファンテープで　うごけない！
STATUS_STOP	とまって　なにもできない！
BTL_LEAF_INFO	なにも　おこらなかった・・・
BTL_NO_HIT	こうげきが　あたらない！
BTL_NO_TARGET	こうげきが　とどかない！
BTL_NO_EFFECT	こうかが　なかった！
BTL_NO_ESCAPE	こうげきが　よけられた！
BTL_NO_HAMMER	ハンマーを　もっていない！
BTL_DIALOGUE_COIN_SHORT	コインが　たりない！
BTL_DIALOGUE_SLOT_NO_LUCIE	ルーシーがいないとスロットできない！
BTL_DIALOGUE_SEAL_ZERO	シールが　すっからかんだ！
BTL_SLOT_PRESS_A	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0a\0\x18\0\x06\0 \0 \0ストップ
BTL_SLOT_PRESS_A_00	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x18\0\x06\0 \0 \0スペシャル \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x18\0\x06\0 \0 \0x
BTL_SLOT_PRESS_A_01	\x0e\x02\x02\x14\n\0m\0i\0c\0_\0x\0\x18\0\x06\0 \0 \0スロー \x0e\x02\x02\x1a\x10\0m\0i\0c\0_\0c\0o\0i\0n\0\x18\0\x06\0 \0 \0x
BTL_SLOT_PRESS_A_15	１５
BTL_SLOT_PRESS_A_30	３０
BTL_SLOT_PRESS_A_45	４５
BTL_SLOT_PRESS_A_60	６０
BTL_SLOT_PRESS_A_75	７５
BTL_SLOT_PRESS_A_90	９０
BTL_DIALOGUE_NEW_PAGE	アルバムに　\x0e\0\0\n\x02\0\x06\0B0_0\x890新しいページが　ふえた！
BTL_DIALOGUE_READY_GO	じゅんび OK？
PEPA_DIALOGUE_MORE_SEAL	もっと　はる？
DIALOGUE_SORT	シールを　せいとん　しました
DIALOGUE_SKIP	イベントスキップ
shop_kanban_kumo	シールショップ\nドンパラ\x0e\0\0\x08\x02\0\x04\0\x840~0山\x0e\0\0\x08\x02\0\x04\0f0\x930店
shop_kanban_mori	シールショップ\nテンボウ\x0e\0\0\n\x02\0\x06\00U0M0岬\x0e\0\0\x08\x02\0\x04\0f0\x930店
shop_kanban_saka	シールショップ\nカチワリ\x0e\0\0\x08\x02\0\x04\0i0F0洞\x0e\0\0\x08\x02\0\x04\0f0\x930店
shop_kanban_kazan	シールショップ\nグラグラ\x0e\0\0\n\x04\0\x06\0K0V0\x930火山\x0e\0\0\x08\x02\0\x04\0f0\x930店
shop_hi_kumo	いらっしゃいませ！\nフラワーシールが　おススメです。\nめずらしい　キノコのシールも　あります。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_mori	いらっしゃいませ！\nひみつドアの　シールが　かえるのは\nうちだけですよ。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_saka	いらっしゃいませ！\nキラなシールを　かくしゅ\nとりそろえております。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
shop_hi_kazan	いらっしゃいませ。\nあついですね。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_00	いらっしゃいませ！\nこちらは　シールショップです。\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_01	いらっしゃいませ！\nコメット\x0e\0\0\x0c\x04\0\x08\0S0F0W0M0公式シールショップです。\nきょうは　なんの　ご\x0e\0\0\x08\x02\0\x04\0\x880F0用ですか？\n\x0e\x03\02\0\0\x02\0\0\0d\0(\0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0B\0U\0Y\0_\0S\0E\0L\0L\0
SHOP_BUY_02	すみません、\nお\x0e\0\0\x06\x02\0\x02\0\x820持ちのコインが　\x0e\0\0\x06\x02\0\x02\0_0足りないようです。
SHOP_BUY_04	そのシールは　うりきれです。
SHOP_SEND_00	アルバムが　いっぱいで\nこのシールは　かえません。
SHOP_SELL_00	どのシールを　うりますか？\n\x0e\x01\x01\0
SHOP_SELL_01	『\x0e\x03\x01\n\x08\0i\0t\0e\0m\0』ですね。\n\x0e\x03\x02\x08\0\0\x04\0%\0D\0コインで　うりますか？\n\x0e\x03\0*\0\0\x01\0\0\0d\0 \0S\0H\0O\0P\0_\0S\0E\0L\0E\0C\0T\0_\0S\0E\0L\0L\0
SHOP_NO_SEAL	うれるシールが　ないようです。\n
SHOP_SELECT_BUY_SELL	かいたい\nうりたい\nやめる
SHOP_SELECT_BUY	かう\nやめる
SHOP_SELECT_SELL	うる\nやめる
SHOP_THANKS	ありがとうございました。
SELECT_DISCARD_00	すてない\nすてる
skillup_maxhp5	マリオの\x0e\0\0\x0c\x04\0\x08\0U0D0`0D0最大ＨＰが「\x0e\x03\x02\x08\0\0\x04\0%\0D\0」になった！
PAD_GUIDE_A	ジャンプ
PAD_GUIDE_B	ハンマー
PAD_GUIDE_X	アルバムをだす/しまう
PAD_GUIDE_Y	ペパライズ
PAD_GUIDE_L	ルーシーとはなす
PAD_GUIDE_START	クリアずみコースからでる
PAD_GUIDE_START_01	シールのせいとん{s[085]}(アルバムそうさちゅう){s[100]}
FILEM_SELECT_PLAY	ファイルを　えらんでください
FILEM_SELECT_DELETE	けすファイルを　えらんでください
FILEM_SELECT_COPY	コピーするファイルを　えらんでください
FILEM_SELECT_COPY_TO	どこに　コピーしますか？
FILEM_DIALOG_CREATE_DONE	ファイルを　さくせいしました
FILEM_DIALOG_DELETE	けすファイルを　えらんでください
FILEM_DIALOG_DELETE_Q	ファイルを　けしますか？
FILEM_DIALOG_DELETE_Q_2ND	ほんとうに　けしますか？
FILEM_DIALOG_DELETE_DONE	ファイルを　けしました
FILEM_DIALOG_COPY	コピーするファイルを　えらんでください
FILEM_DIALOG_COPY_Q	コピーしますか？
FILEM_DIALOG_COPY_Q_OVERRIDE	コピーして　かきかえますか？
FILEM_DIALOG_COPY_DONE	コピーしました
FILEM_DIALOG_COPY_DONE_OVERRIDE	コピーして　かきかえました
FILEM_TASK_CREATE	ファイルを　さくせいしています・・・
FILEM_TASK_DELETE	けしています・・・
FILEM_TASK_COPY	コピーしています・・・
FILEM_DIALOG_BROKEN	ファイルがこわれているため\nファイルをつくりなおします
loading	ペーパーマリオ\n{s[075]}～{s[075]} {s[075]}{s[100]}{s[075]}スーパーシール ～{s[100]}
OP_00	この\x0e\0\0\x0e\x04\0\n\0\x820n0L0_0\x8a0物語は、\nある シールフェスタの\x0e\0\0\x08\x02\0\x04\0\x880\x8b0夜から\nはじまります。\n
