BestScore\BestScore.msbt
BestScore_Title	最高得分
DLC_NX_Caution	购买的下载内容已下载完毕。\n为了让该内容生效，即将返回标题画面。
DLC_NX_Caution_OK	OK
DLC_SP_Caution	为了下载已购买的下载内容的数据，\n即将返回标题画面。
DLC_SP_Caution_OK	OK
DLC_Detail_Confirm_Title	Act on Specified Commercial Transactions (Art. 12-6) Notation
DLC_Basic_Title	欢乐畅玩包
DLC_Basic_Price	{[0118|01cd]}
DLC_Basic_Exp	购买后可以尽情游玩题目。\n除了新题目和新布偶外，\n还增加了其他便利的功能，\n推荐给想要充分享受游戏的玩家。
DLC_Basic_Detail	・每天能够游玩“解解看”的次数不再有限制。\n\n・可以通过日历查看过去的记录，并且能温习2个月前为止游玩过的题目。\n\n・追加20种“解解看”的新题目。\n　追加的题目：花椰猴伙伴咖啡馆、幕下力士猛推岩、寻找呱呱泡蛙！、狙射树枭留一球、莲叶童子乘乘乐、南瓜精探照灯、展翅飞翔、属性圆牌放回去、秘密石板、钥圈儿爱开门、光照樱花儿、高速旋转！眼力大考验、螺钉地鼠挖蘑菇、电音婴来收拾、索财灵数硬币、方方正正刚刚好、杰尼龟来浇水、毛辫羊想回家、红灯蓝灯排队亮！、一对鼠凑一对！\n\n・追加6种可以通过“解解看”获得的线团种类。（当前出现对象中没有以下6种线团时才会追加。）\n　追加的线团：冰冻线团、坚硬线团、危险线团、神奇线团、龙之线团、羽毛线团\n\n・追加50种可以用“布偶机”制作的新布偶。\n　追加的布偶：卡比兽、向尾喵、卷卷耳、长耳兔、卡蒂狗、风速狗、火伊布、火斑喵、呆呆兽、水伊布、球球海狮、拳海参、叶伊布、百合根娃娃、木木枭、狙射树枭、雷丘、雷伊布、来电汪、巴布土拨、海豹球、迷你冰、雪吞虫、走鲸、卡蒂狗（洗翠的样子）、风速狗（洗翠的样子）、幼基拉斯、巨金怪、路卡利欧、耿鬼、土狼犬、索罗亚、电音婴、土王、沙奈朵、索罗亚（洗翠的样子）、谜拟丘、霜奶仙、狗仔包、烈咬陆鲨、黏美龙、米立龙（平挺姿势）、米立龙（下垂姿势）、米立龙（上弓姿势）、波波、青绵鸟、姆克儿、稚山雀、捷拉奥拉、烈空坐\n\n・追加2个“布偶房”的新房间。\n\n・获得3种可以在“布偶房”中使用的壁纸。\n　追加的壁纸：玩具房、花园房、原木房\n\n・“友谊任务”追加新“愿望”，实现愿望可以获得6种新家具作为报酬。\n　追加的家具：波加曼椅子、阿罗拉六尾沙发、鲤鱼王蹦床、黏美龙滑梯、蚊香蝌蚪架子、正电拍拍＆负电拍拍架子
DLC_Basic_Detail_Confirm	■ Quantity:1\n[欢乐畅玩包]\n\n■ Sales price:\n{[0118|01cd]}\n\n■ Time and method of payment:\nPayment is made at the time of purchase of the product by the method specified by the platform used at the time of purchase, as specified by the user.\n\n■ Time of provision:\nImmediately after payment\n(There may be a slight delay of a few minutes depending on communication conditions.)\n\n■ Returns and cancellations:\nDue to the nature of the product, returns and cancellations are not accepted after purchase.
DLC_DLC01_Title	多多讲究包1
DLC_DLC01_Price	{[0118|02cd]}
DLC_DLC01_Exp	新题目和新布偶登场！\n还有布偶房的新壁纸！\n推荐给想要更加讲究的玩家。
DLC_DLC01_Detail	・追加10种“解解看”的新题目。\n　追加的题目：碎岩巧锻匠、莫鲁贝可翻翻面、宝可梦多多少？、图图犬分色画、找出正方形、冲泥巴大作战、来电汪跑第一、带路吧！自爆磁怪、火球鼠亮谜底、堵堵地鼠洞\n\n・追加6种可以通过“解解看”获得的线团种类。（当前出现对象中没有以下6种线团时才会追加。）\n　追加的线团：冰冻线团、坚硬线团、危险线团、神奇线团、龙之线团、羽毛线团\n\n・追加40种可以用“布偶机”制作的新布偶。\n　追加的布偶：胖丁、大尾立、大牙狸、泡沫栗鼠、火稚鸡、烛光灵、火狐狸、波加曼、呱呱泡蛙、甲贺忍蛙、嫩苗龟、风妖精、哈力栗、雷丘（阿罗拉的样子）、电电虫、啪嚓海胆、穿山鼠（阿罗拉的样子）、拉普拉斯、雪妖女、喷嚏熊、穿山鼠、班基拉斯、利欧路、月亮伊布、百足蜈蚣、蜈蚣王、太阳伊布、食梦梦、妙喵、胖甜妮、快龙、沙漠蜻蜓、圆陆鲨、啃果虫、天然雀、七夕青鸟、小箭雀、谢米（陆上形态）、基拉祈、梦幻\n\n・追加1个“布偶房”的新房间。\n\n・获得4种可以在“布偶房”中使用的壁纸。\n　追加的壁纸：蓝天大海房、黄昏大海房、梦幻森林房、阳光森林房\n\n・“友谊任务”追加新“愿望”，实现愿望可以获得15种新家具作为报酬。\n　追加的家具：星星装饰充气泳池、贝壳漂浮垫、圆点小船、汽水芭菲椅子、云朵架子、泡泡架子、蘑菇椅子、树桩椅子、叶子床铺、橡果沙发、细枝巢架子、蘑菇架子、彩虹沙发、小池塘、喷泉椅子
