BestScore\BestScore.msbt
BestScore_Title	ベストスコア
Namakobushi_Discription	思わず　にぎりたくなる　その形。\n気持ちは　分かるけど　にぎったあとは\nちゃんと　かたちを　ととのえて　あげてね。
Showers_Discription	エリザベスカラーじゃ　ありません。\nりっぱな　えりまきなんです。\n見えづらくなったりしないのかな？
Ashimari_Discription	水の　バルーンを　あやつる　アシマリ。\nまるい　ぬいぐるみの　上にのせたら\nなんだか　ショーがはじまりそう。
Wanpachi_Discription	でんきを　まとう　キュートな　おしりに\nある日　バチュルが　くっついていた。\nほんものと　まちがえたのかな？
Raichu_Discription	ピカチュウの　おもかげが　ありながら\nどこか　おとなな　ふんいきと\nさらに　まるみを　ました　おなか。
Parmot_Discription	パモよりも　ひとまわり　大きくなって\nだきごたえが　アップ　したぶん\nせいでんきも　はげしいので　気を付けて。
Thunders_Discription	ぎざぎざな　かたちに　かための生地。\nでも　ゆっくり　だきしめれば\nチクチク　いたくないから　安心して。
Leafia_Discription	リーフィアの　ゆうがさを　あらわす\nこの　しっぽの　なだらかな　曲線。\nいろんな　角度から　ながめたい。
Mokuroh_Discription	首だけを　うしろに　向けられる　モクロー。\nでも　ぬいぐるみを\nむりに　ひねるのは　やめてね。
Churine_Discription	頭の　葉っぱが　大きいせいか\nたおれやすいのが　たまにキズ。\nうえきばちにでも　入れてあげたい。
Junaiper_Discription	マントをかぶった　ヒーローのような\nそのすがたは　自然を愛する\n人びとに　にんきの　ぬいぐるみ。
Booster_Discription	首やしっぽの　もこもこが　よごれた場合は\nタオルに　ちゅうせいせんざいをつけて\nやさしく　ふいてあげてね。
Nyabby_Discription	いつも　おすまし顔の　ニャビー。\nいざという　ときは\nもえる　毛玉を　はきだす。\nでも　ぬいぐるみだから　火気げんきん！
Gardie_Discription	どんな　ときでも　キミを　まもる。\nそんな　たのもしさを　感じる\nキリッとした　目つきが　いい。
Windie_Discription	こわい　夜には　ウインディを\nまくらに　して　ねむったら\nきっと　ゆめの　中でも　まもってくれる。
Yukihami_Discription	ユキハミの　うらがわって　見たことある？\n見えたマルの数が　キミだけの\nラッキーナンバー！
Vanipeti_Discription	暑さには　とても弱くて　とろけちゃう。\nでも　ぬいぐるみだから　心配むよう。\n冷とう庫に　入れなくても　だいじょうぶ！
Tamazarashi_Discription	ゆだんすると　イトダマと　いっしょに\nころころ　転がっていっちゃう\nまるくて　にくいやつ。
Arukujira_Discription	アルクジラの　さわりごこちは\nさらさら？　それとも　モチモチ？\nだいて　たしかめてみよう。
Lucario_Discription	すわった　すがたも　クールな　ルカリオ。\nその　まっすぐな　目は\nこちらの　心も　みすかしてきそう。
Yogiras_Discription	小さいけど　じつは重たい　ヨーギラス。\nでも　ぬいぐるみなら\nたかいたかい　だって　できちゃう。
Metagross_Discription	スーパーコンピュータなみの　そのずのう。\nおすそわけ　してもらいたいから\nちょっと　かぶって　歩いてもいいかな。
HisuiGardie_Discription	くるっとした　くせ毛と　かくれた目。\nそれでいて　たよりになる　たたずまい。　\nふたつならべて　家の前に　かざりたい。
HisuiWindie_Discription	ふわふわな　大きな　しっぽに\n思わず　顔を　うずめてみたら\nからまって　ぬけにくかった……
Pochiena_Discription	体は　小さいけど　りっぱなキバ。\nかわいくて　りりしい　ポチエナの\nみりょくが　つまった　ぬいぐるみ。
Dooh_Discription	ほら！　ここ　ここ！　ここですよ！\nこの　小さな　目で　あなたを　いつも\n見つめていますよ。
Zorua_Discription	相手　そっくりに　ばけられる　ゾロアも\nぬいぐるみには　ばけられないだろう……\nあれっ？　今　まばたきしてないよね？
Gangar_Discription	元気のない日は　いつも　見つめあう。\n「ナントカ　ナルゼ！」　と\n言ってくれている　気がするのです。
Eleson_Discription	かわいいだけじゃ　ものたりない。\nそんな人に　今　だいにんきの\nちょっと　ロックな　ベイビーフェイス。
Mimikkyu_Discription	今　下から　見たでしょう？\n見たあと　そっと　もどしたでしょう？\nなかったことに　しておきましょう。
Mawhip_Discription	見た目が　あまーい　マホイップ。\nあまーい　においまで　してきそうで\nちょっと　おなかが　へってきた……
Pupimocchi_Discription	もっちり　すべすべな　しつかんは\nまだまだ　ふくらみそうなパンみたい。\nでも　オーブンには　入れないでね。
HisuiZorua_Discription	はちのじまゆげに　少したれた目が\nなんとも　心をくすぐる\nみりょく的な　すがた。
Sirnight_Discription	すわったすがたが　美しい　サーナイト。\n同じポーズを　まねしてみたけど\n足が　しびれてしまった。
Numelgon_Discription	ちょっと　ぬるぬるで　だきしめるのを\nためらっちゃう人でも\n思うぞんぶんに　だきつけます。
SyaritatsuNobitaSugata_Discription	へいらっしゃい！\nピンと　のびた　このすがたが\n好きな　あなたは　きっと　あかるい。
SyaritatsuTaretaSugata_Discription	へいらっしゃい！\nてれっと　たれた　このすがたが\n好きな　あなたは　きっと　やさしい。　
SyaritatsuSottaSugata_Discription	へいらっしゃい！\nプリッと　そった　このすがたが\n好きな　あなたは……　ちょっとおこってる？　
Gaburias_Discription	とがった　つばさは　ちょっと　こわいけど\nぬいぐるみの　すわる　すがたは\nけっこう　かわいい。
Mukkuru_Discription	どこにおいても　なじむ　ムックル。\n気づけば　どんどん　ふえていて\n部屋が　なんだか　さわがしく　なりそう。
Poppo_Discription	もし部屋の中で　なくなっても\n方向感覚　ばつぐんの　ポッポだから\nきっと　どこからか　出てきてくれるはず。
Tyltto_Discription	ふわふわな　はねを　まるめた\nベッドの　中で　ねている　すがた。\n見ているだけで　しあわせになれる。
Kokogara_Discription	小さな体に　キリッとした顔だち。\nべんきょうづくえに　おいておいたら\nちょっと　気合いも　入りそう。
ShayminLandForme_Discription	かんしゃの　気持ちで　花がさく。\nそんな　シェイミの　ぬいぐるみは\n大切な人への　プレゼントにぴったり。
Jirachi_Discription	どんな　ねがいごとでも　かなえる\n力を　もつという　ジラーチ。\nいつも　かばんに　入れておきたい。
Mew_Discription	すがたを　見た人は　ほとんどいない\nまぼろしの　ポケモン　ミュウ。\nすみっこに　かざると　それっぽい。
Ootachi_Discription	にげ足の　速い　オオタチの\nスヤスヤとねむる　きちょうなすがたを\nとらえた　ぬいぐるみ。
Chillarmy_Discription	チラーミィの　チャームポイントは\nほうきみたいな　しっぽです。\nでも　そうじに　使うのは　やめましょう。
Bippa_Discription	ぽてっとした　ボディと　なにも\n考えて　いなさそうな　ひとみ。\nリラックスタイムの　おともに。
Purin_Discription	なんだか　歌いたい　さみしい夜は\nプリンが　そばにいれば　\nデュエットしている　気分になれる。
Gekkouga_Discription	マフラーに見える　長いしたを　なびかせて\n子どもたちに　だいにんきの　ゲッコウガ。\nリラックスした　ポーズも　かっこいい。
Keromatsu_Discription	むねと　せなかの　あわあわは\nふわふわの　わたで　つくられている。\nぬれると　小さく　なっちゃいます。
Pochama_Discription	プライドが　たかい　ポッチャマだけど\nぽてんと　すわった　このポーズは\nなんとも　言えない　あいらしさ。
Bachuru_Discription	ちっちゃくて　いろんな　ところに\nくっつく　ふわふわの　バチュル。\nかばんに　くっつけても　おしゃれかも。
Bachinuni_Discription	ほんものは　すっごく　チクチクだけど\nやさしさを　つめた　トゲだから\nほら　いたくない　さわってみてね。
AlolaRaichu_Discription	とくいな　スポーツは　しっぽサーフィン！\nひとやすみして　すなはまで　波をながめて\nすわっている　すがたかな。
Elfuun_Discription	イタズラ好きな　エルフーンも\nぬいぐるみなら　こちらの　思うがまま。\nあっ　こんなところに　ヘタがある。
Naetle_Discription	糸で　できている　はずなのに\nこうらを　さわると　ほんの少し\n土の　かおりと　しめった　感じがする。
Harimaron_Discription	うしろから　じっくり見ると\nなにか　気になる……\nこのまるい　ちゃいろは　もようかな？
Achamo_Discription	アチャモが　ポカポカ　あたたかいので\nねるときは　いつも　だきしめていたい。\n夏は　ちょっと　暑いけど。
Hitomoshi_Discription	ゆらゆらゆれる　ほのおを　見ていると\nおちついた　気分に　なれるはず。\nゆれてないけど　きっと　なれるはず。
Fokko_Discription	耳から　とびでた　ふわふわの　毛は\nもうふの　ように　あたたかくて\nさわりごこちが　すばらしい。
Kumasyun_Discription	その目　その手つき　その　はなみず！\nついつい　お世話を　したくなっちゃう\nぼせいほんのうを　くすぐる　すがたです。
AlolaSand_Discription	はがねで　できた　こうらの　せいで\nまるまることは　できないらしい。\nなかなか　うまくは　いかないね。
Yukimenoko_Discription	くらい部屋で　目が合うと　ちょっと\nドキッと　してしまう。\nこわさも　あるけど　美しいから。
Laplace_Discription	どうしても　がまんできずに\nおふろに　うかべてみたら　かわかすのに\n３日間も　かかってしまいました。
Sand_Discription	せなかの生地は　かたいけど\nおなかの生地は　少し　やわらかい。\n思わず　ちょっと　おしたくなる。
Bangiras_Discription	どっしりと　大地ふみしめ　そそり立つ\nそのすがたは　まさにかいじゅう！\n下から　見上げると　はくりょくアップです。
Riolu_Discription	にくきゅうの　数を　かぞえてみよう。\n６つ？　いやいや　じつは\nいがいな　ところにも　あるんです。
Eifie_Discription	空気の　ながれを　読み取ることで\n相手の　うごきを　よそく　できるらしい。\n明日の　天気も　教えてほしい。
Nyasper_Discription	あふれる　エネルギーを　耳でじっと\nおさえているようだ。\nめくって　見るかは　ご自由に。
Peroream_Discription	ペロリームと　いっしょに　お出かけすれば\nどんなものでも　おいしく　たくさん\n食べちゃえる　気がします。
Munna_Discription	まくらもとに　おいて　ねてみたら\n昨日みた　ちょっとかなしいゆめも\n食べてくれるかな。
Fushide_Discription	ちょっと　こわいとか　言わないで。\nぬいぐるみだから　どくもないし\n安心して　だいてみてね。
Bracky_Discription	暗やみの中でも　赤いひとみと\n月のように　かがやく　黄色の　もようが\nあなたを　見まもります。
Pendror_Discription	この　ボリューム感　体の　くびれ\nたくさんの　トゲトゲも\nだきごたえ　ばっちりに　しあがっています。
Kairyu_Discription	海のけしん　とよばれている　カイリュー。\nこの街では　カイリューのぬいぐるみを\nよく　航海の　おともに　しているよ。
Kajicchu_Discription	りんごの　中から\n大きな目と　しっぽが　こんにちは。\nひっぱり出そうとか　しないでね。
Fukamaru_Discription	なんでも　かじれそうな　その口で\nいろんなものを　食べて　ほしい。\nたとえば　明日の　宿題とか。
Flygon_Discription	はばたく　音は　歌声のよう。\nそんな　うわさを　聞きつけて\nこっそり　はねを　パタパタさせてみた。
Tyltalis_Discription	わた毛で　つくられた　チルタリスのはねで\nつつみこまれたら　どんな　子どもでも\nあっという間に　ねてくれる　はず。
Naty_Discription	その　すいこまれそうな　ひとみと\nインパクトのある　色づかい。\nこせい的な　あなたに　きっとに合います。
Yayakoma_Discription	人なつっこい　ヤヤコマ　だけど\nむりに　さわると　やけどを　するらしい。\nでも　ぬいぐるみだから　へっちゃら。
Koraidon_Discription	いつかは　せなかに　またがって\n広大な　大地を　かけめぐりたい！\n古代の　ゆめを見る　あなたのために。
Miraidon_Discription	いつかは　せなかに　またがって\nきらめく　街を　かけめぐりたい！\n未来を　ゆめ見る　あなたのために。
IkkanezumiYonhikiKazoku_Discription	バラバラには　ぜったいに　たおれない\nかんぺきな　バランスで　作られた\nかわいらしい　ぬいぐるみ。
Nuikoguma_Discription	ついつい　だきしめたくなる　すがただけれど\n力持ちなので　とてもきけん。\nぬいぐるみで　がまん　しておこう。
Hoshigarisu_Discription	ふくらんだ　ほっぺたの中には\nなにが　つまっているだろう。\nきのみ？　小石？　それとも……？
Nuoh_Discription	だっこして　声にだして　言ってみましょう。\n「ぬおー！！」\nほら！　ちょっとスッキリした！
Mijumaru_Discription	もこもこした　首まわりと　\nおなかに　かがやく　りっぱな　ホタチが\nとにかく　おしゃれな　ミジュマルです。
Mizugorou_Discription	まいちもんじに　むすんだ　口で\nじっと　見てくる　ミズゴロウ。\nちょっとだけ　横を向いててもらおうかな。
Waninoko_Discription	さわやかな　カラフルボディで\n元気　いっぱいの　ワニノコも\nぬいぐるみに　なると　ちょっとおとなしい？
Dedenne_Discription	デデンネを　ほっぺたにあてると\nひげのさきっぽが　チクチクする。\nちょっと　いたいけど　くせになりそう。
Pachirisu_Discription	体よりも　大きな　しっぽ。\nたおれないように　しんちょうに……\nあっ　あおむけに　たおれちゃった。
Merriep_Discription	夏には　すずしくて　冬には　あたたかい\nという　ふんわりした毛に　つつまれた\nメリープと　いっしょに　おひるねしよう。
Kimori_Discription	大きな　足や　ふたまたの　しっぽ。\nうまく　使えば　いろんな　場所に\nひっかけられそう。
Chicorita_Discription	※ちゅうい※\n頭の　葉っぱに　水をあげても\n大きくは　なりません。
Tsutarja_Discription	ぜんしんで　あらわす　きょくせんび。\n見る　角度によって　すましたり　わらったり\nいろんな　ひょうじょうに　変化します。
Watashiraga_Discription	大きな　わた毛の　ところどころに\nついている　タネが　チャームポイント。\nあれっ　これって　ほんもの？
Hikozaru_Discription	ヒコザルを　みならって\n手足を　投げだして　リラックスしてみよう。\nたまには　こんな日も　いいよね。
Hinoarashi_Discription	いざというときに　せなかから　だす\nほのおだけど　ぬいぐるみだから　特別に\nいつでも　楽しめるように　なっています。
Pokabu_Discription	焼いた　きのみが　大好物の　食いしんぼう。\n前から　見ても　かわいいけれど\n特に　おすすめなのは　おしりと　しっぽ！
Rokon_Discription	いちに　さんし　ご　ろく……\nロコンの　しっぽの　数は　６本！\nおぼえておいたら　いいことあるかな？
Glacia_Discription	グレイシアの　チャームポイントは\nなんといっても　きらめく　体毛。\n思うまま　さわって　みたかった！
Delibird_Discription	ふくろのように　見える　しっぽの中には\nわたが　ふっくら　つまっている。\nプレゼントは　入っていないよ。
AlolaRokon_Discription	雪の中でも　寒くないように\n６本の　しっぽの　ふわふわ感を\n３わりましに　しています。
Iwanko_Discription	大きな　しっぽ　だけではなくて\nなんと　首の岩も　ふかふか　なんです。\nすりよっても　いたくない。
Surfugo_Discription	きんいろの　ボディで\nみんなから　だいにんきの　いかすやつ。\nちょっと　まぶしすぎるかも……
Dekanuchan_Discription	じまんの　大きな　ハンマーと\nいつもかわいい　デカヌチャン。\nでも　ねている　すがたは　ごうかい。
Nymphia_Discription	だれもが　ひと目で　いやされる\nエレガントな　リボンと　身のこなし。\nこの　おしゃれさは　みならいたい。
Bakeccha_Discription	まるい　カボチャと　小さく　光る目。\nかわいさしか　伝わってこない　けれど\n真夜中に　見たら　ちょっと　こわいかも。
Pumpjin_Discription	夜の　森を　さまよい　人びとを\nこわがらせる　パンプジンも\nぬいぐるみだと　むしろ　かわいい。
Pippi_Discription	くるくるまき毛が　あいくるしい。\nたくさんの　ファンがいる　にんきもので\n部屋を　ピッピで　うめつくす　人も。
Gureggru_Discription	ぬいぐるみの　ひょうじょうを　まねして\n少しだけ　歯をだしてみたら\nくちびるが　つってしまった……
Chiwohauhane_Discription	がまんできず　せなかに　とびこんだら\nふわふわな　わた毛が　ちゅうをまった。\nハックションッ！！
Merlarva_Discription	せなかに　せおった　５本の　ツノは\nまるで　太陽みたい。\n思わず　心を　つかまれる　人が多い。
Sebie_Discription	両手から　ぷらぷらさせてる\n黄色いところは　じつは　はね。\n小さくても　だいじな　パーツ。
Tatsubay_Discription	石頭といえば　このタツベイ。\n勝負しようと　ぶつけてみても\nぽん　ぽん　ぽん……　あれ　いたくない。
Numera_Discription	雨の日には　ヌメラの　ぬいぐるみを\nまどべに　おいて　ずーっと　外を\nながめている　だけでも　きっといい。
Bohmander_Discription	ねがい続け　手に入れた　大きな　つばさ。\nそのおもいに　まけないぐらいの\nりっぱな　ぬいぐるみ。
Archen_Discription	あざやかな色の　美しいはねは\nいつか　とべる日を　ゆめ見て\n進化を　心待ちに　しているよう。
Armorga_Discription	しっこくの　よろいとはねが　ちょうクール。\nかたに　のせたまま　かっこつけて\n歩いてみたく　なっちゃうね。
Kamonegi_Discription	いのちと　同じくらい　だいじな\nクキを　しっかりと　だきかかえる。\nそのひょうじょうは　とても　まんぞくげ。
Catalog\List.msbt
Catalog_List_Title	カタログ
Catalog_List_Possession_Num_All	持っているぬいぐるみ数
Catalog_List_Created_Num_All	これまでにつくったぬいぐるみ数
Catalog_List_Detail	くわしくみる
DLC\DLC.msbt
DLC_Title	ショップ
DLC_Detail	せつめい
DLC_Purchased	購入済み
DLC_NotAvailable	購入不可
DLC_Set	セット商品
DLC_Buy	購入にすすむ
DLC_Law_01_Title	特定商取引法第12の6に基づく表記
DLC_Law_02_Title	特定商取引法に基づく表記
DLC_Law_02_Exp	■サポート／お問い合わせ： \nhttps://www.apppokemon.com/gate/\nよりお問い合わせください。 \n\n■サービス運営事業者：\n株式会社ポケモン 東京都港区六本木6丁目10番1号\n電話番号：　0120-049-725 \n＊お電話でのサポート及びお問い合わせの受け付けは行っておりません。 \n万一お問い合わせをいただいた場合、あらためてサポートサイト(https://www.apppokemon.com/gate/)よりお問い合わせいただくことになりますので、ご了承ください。\n\n ■サービス運営責任者： \n代表取締役　石原　恒和 \n\n■販売価格： \n商品ごとに、該当ページで販売価格（消費税含む）を表示しております。\n\n ■支払い時期及び方法： \n各プラットフォームの定めによります。\n\n■引渡時期： お支払い手続きが完了後、随時提供を開始するものとします。 \n\n■販売価格以外でお客様に発生する金銭： \n通信時に発生する通信料 \n\n■返品規約： 各プラットフォームの定めによります。 \n各プラットフォームの規約に特段の定めがない場合、当社がその単独の裁量において返品が適当であると認めるときを除き、購入確定後の返品は承っておりません。 \nまた、実際に商品を購入したプラットフォーム以外を通して返品を行うことはできません。 \nあらかじめご了承ください。 \n\n■瑕疵について： \n商品に瑕疵（動作不良等）があった場合でも、当社は、商品の瑕疵を修補する責任を負わないものとします。 \n\n■対応機種について： \n本サービスが動作するスマートデバイス端末が必要です。 動作環境は本サービスのサポートサイト（https://www.apppokemon.com/gate/）等にてご確認ください。 \n\n更新日：2025年7月22日
DLC_Law_03_Title	請約撤回について
DLC_Law_03_Exp	[청약 철회 안내]\n※상품 구입 7일 이내에 청약철회 신청이 가능하지만 상품 제공이 개시 되거나 사용한 경우 청약철회 신청이 제한됩니다.\n※법정 대리인의 동의가 없는 미성년자의 결제는 취소할 수 있습니다.\n\n[About cancellation]\n- You can apply for cancellation or withdrawal within 7 days of purchasing the product/service, but if the product/service has been provided or used, the application for cancellation or withdrawal is limited.\n- Payments by minors without the consent of a legal representative may be canceled or withdrawn\n\n[請約撤回について]\n※商品の購入から7日以内に契約の申込みの撤回が可能ですが、商品の提供が開始されたり使用されたりした場合、契約の申込みの撤回が制限されます。\n※法定代理人の同意がない未成年者の決済はキャンセルすることができます。\n
DLC_Restore_Title	ご購入後の注意
DLC_Restore_Exp	すでに購入したダウンロードコンテンツが\nゲームにはんえいされていない場合は\n「復元する」から購入情報を復元することができます。\n\n復元を行いますか？
DLC_Restore_Cancel	もどる
DLC_Restore_OK	復元する
DLC_Restore_Done	購入済みのダウンロードコンテンツの復元が完了しました。
DLC_Restore_Done_OK	OK
DLC_Restore_Unfound	復元が可能なダウンロードコンテンツが見つかりませんでした。
DLC_Restore_Unfound_OK	OK
DLC_Restore_Fail	復元に失敗しました。
DLC_Restore_Fail_OK	OK
DLC_DataTransision_Caution_Title	ご購入の際の注意
DLC_DataTransision_Caution_Exp	この端末で使用している{[0117]}とは別の\n{[0117]}や異なるOSの端末へ\n「セーブデータの引き継ぎ」を行う場合は\nダウンロードコンテンツの購入情報を\n引き継ぐことができず\n再購入が必要となりますのでご注意ください。\n\n商品を重複して購入できる場合がありますので\nご購入の際はご注意ください。\n\n詳しくはサポートサイトをご確認ください。
DLC_DataTransision_Caution_Support	サポートサイトへ
DLC_DataTransision_Caution_Back	もどる
DLC_DataTransision_Caution_Buy	OK
DLC_Set_Caution01_Exp	この商品がふくまれた\nお得な「まとめてパック」もあります。\nこのまま購入にすすんでもよろしいですか？
DLC_Set_Caution01_Back	もどる
DLC_Set_Caution01_OK	つぎへ
DLC_Set_Caution02_Exp	この商品がふくまれた\nお得な「もっとこだわりパック1 & 2セット」もあります。\nこのまま購入にすすんでもよろしいですか？
DLC_Set_Caution02_Back	もどる
DLC_Set_Caution02_OK	つぎへ
DLC_Set_Caution03_Exp	この商品がふくまれた\nお得な「まとめてパック」や\n「もっとこだわりパック1 & 2セット」もあります。\nこのまま購入にすすんでもよろしいですか？
DLC_Set_Caution03_Back	もどる
DLC_Set_Caution03_OK	つぎへ
DLC_FinalConfirm_Exp	「{[0114]}」を\n購入してよろしいですか？
DLC_FinalConfirm_Cancel	やめる
DLC_FinalConfirm_Buy	購入にすすむ
DLC_FinalConfirmNA_Exp	このバーチャルコンテンツの購入により\n当社の利用規約に基づいてライセンスが付与されます。
DLC_FinalConfirmNA_Button	利用規約へ
DLC_FinalConfirmNA_Cancel	やめる
DLC_FinalConfirmNA_Buy	購入にすすむ
DLC_Interrupt	購入がちゅうだんされました。
DLC_Interrupt_OK	OK
DLC_Done	購入がかんりょうしました。
DLC_Done_OK	OK
DLC_NX_Caution	購入したダウンロードコンテンツのダウンロードがおわりました。\nコンテンツをはんえいするためタイトル画面にもどります。
DLC_NX_Caution_OK	OK
DLC_SP_Caution	購入したダウンロードコンテンツのデータをダウンロードするため\nタイトル画面にもどります。
DLC_SP_Caution_OK	OK
DLC_Detail_Confirm_Title	特定商取引法第12の6に基づく表記
DLC_Basic_Title	たくさんあそべるパック
DLC_Basic_Price	{[0118|01cd]}
DLC_Basic_Exp	問題が好きなだけあそべるようになります。\n新しい問題やぬいぐるみ以外にも\n便利な機能もふえて、思うぞんぶん\n楽しみたい人におすすめのパックです。
