common_Kawashima.msbt
Button_Back	返回
Tutorial_FlagUp_01	这是{color[ff0c00ff]}2人各持有1个Joy-Con{color[000000ff]}，\n{color[ff0c00ff]}进行比赛{color[000000ff]}的锻炼。
Tutorial_FlagUp_02	请记住示例中的\n{color[ff0c00ff]}旗子的挥动方式{color[000000ff]}。
Tutorial_FlagUp_03	之后，请{color[ff0c00ff]}与示例一样\n{color[000000ff]}挥动旗子。
Tutorial_FlagUp_04	会提出一些问题，\n{color[ff0c00ff]}答对数多{color[000000ff]}的一方获胜。
Tutorial_FlagUp_05	示例中挥动旗子的次数\n{color[ff0c00ff]}会逐渐增多{color[000000ff]}。
Tutorial_Yubikeisan_01	这是对着Joy-Con(R)的\n动作感应IR摄像头\n{color[ff0c00ff]}使出手势{color[000000ff]}回答的计算问题。
Tutorial_Yubikeisan_02	请计算{color[ff0c00ff]}手指的数量{color[000000ff]}……
Tutorial_Yubikeisan_03	并{color[ff0c00ff]}尽可能快地{color[000000ff]}使用\n0到5的手势进行回答。
Tutorial_Yubikeisan_04	在手指计算中，{color[ff0c00ff]}伸出手后{color[000000ff]}就这样\n直接更改手势回答就可以。
Tutorial_ImageMemory_01	请记住最初显示的照片……
Tutorial_ImageMemory_02	并根据画面的指示\n{color[ff0c00ff]}依次点触照片{color[000000ff]}。
Tutorial_HumanCounting_01	房里有人进进出出……
Tutorial_HumanCounting_02	请回答最后{color[ff0c00ff]}房子里有几人{color[000000ff]}。
Tutorial_FlashKioku_01	倒计时结束后，\n在{color[ff0c00ff]}方框{color[000000ff]}的位置……
Tutorial_FlashKioku_02	会{color[ff0c00ff]}短暂{color[000000ff]}地显示数字。
Tutorial_FlashKioku_03	当方框显示后，\n请按{color[ff0c00ff]}从小到大{color[000000ff]}的顺序点触数字。
Tutorial_DualTaskJump_01	这是同时进行\n{color[ff0c00ff]}2项课题{color[000000ff]}的锻炼。
Tutorial_DualTaskJump_02	请在{color[ff0c00ff]}起跳{color[000000ff]}跨栏的{color[ff0c00ff]}同时{color[000000ff]}，\n点触{color[ff0c00ff]}数值最大的数字{color[000000ff]}。
Tutorial_DualTaskJump_03	请注意字越大，\n并{color[ff0c00ff]}不代表{color[000000ff]}数字越大。
Tutorial_Doctor_01	欢迎来到{color[ff0c00ff]}“细菌扑灭”{color[000000ff]}。
Tutorial_Doctor_02	这个{color[ff0c00ff]}“细菌扑灭”\n{color[000000ff]}并{color[ff0c00ff]}不是{color[000000ff]}锻炼。
Tutorial_Doctor_03	它无法让{color[ff0c00ff]}前额叶{color[000000ff]}活性化……
Tutorial_Doctor_04	反而可能有助于\n让大脑得到{color[ff0c00ff]}放松{color[000000ff]}。
Tutorial_Doctor_05	建议你在进行其他锻炼后，\n或者入睡前游玩它。
Tutorial_Doctor_07	我来说明一下规则吧。
Tutorial_Doctor_08	请点触操作不断\n扔进来的{color[ff0c00ff]}药丸{color[000000ff]}。
Tutorial_Doctor_09	{color[ff0c00ff]}药丸{color[000000ff]}并可以通过\n{color[ff0c00ff]}点住{color[000000ff]}来{color[ff0c00ff]}移动{color[000000ff]}。
Tutorial_Doctor_10	如果只进行{color[ff0c00ff]}点触{color[000000ff]}，\n就可以{color[ff0c00ff]}旋转{color[000000ff]}药丸。
Tutorial_Doctor_11	当有{color[ff0c00ff]}4个相同颜色{color[000000ff]}的物体\n排列在{color[ff0c00ff]}纵向{color[000000ff]}或{color[ff0c00ff]}横向{color[000000ff]}上时，\n它们就会{color[ff0c00ff]}消除{color[000000ff]}……
Tutorial_Doctor_12	请{color[ff0c00ff]}消灭所有的细菌{color[000000ff]}。
Tutorial_Doctor_13	如果{color[ff0c00ff]}药丸{color[000000ff]}堆积到\n{color[ff0c00ff]}最上方{color[000000ff]}就会{color[ff0c00ff]}失败{color[000000ff]}。
Tutorial_Sudoku_01	{color[ff0c00ff]}“数字拼图”{color[000000ff]}是用{color[ff0c00ff]}1～9的数字\n{color[000000ff]}填补空格的解谜游戏。
Tutorial_Sudoku_02	填补数字的规则有3种。
Tutorial_Sudoku_03	第1种是在{color[ff0c00ff]}纵向{color[000000ff]}上的9个方格里，\n{color[ff0c00ff]}不要放入相同的数字{color[000000ff]}。
Tutorial_Sudoku_04	第2种是在{color[ff0c00ff]}横向{color[000000ff]}上的9个方格里，\n{color[ff0c00ff]}也不要放入相同的数字{color[000000ff]}。
Tutorial_Sudoku_05	第3种是在由粗线围成的\n{color[ff0c00ff]}3×3的方格{color[000000ff]}里，\n{color[ff0c00ff]}也不要放入相同的数字{color[000000ff]}。
Tutorial_Sudoku_06	满足这{color[ff0c00ff]}3个条件{color[000000ff]}，\n并将所有方格填满就算过关。
Tutorial_Sudoku_07	接下来，是{color[ff0c00ff]}操作方法{color[000000ff]}的说明。
Tutorial_Sudoku_08	请通过点触{color[ff0c00ff]}指定{color[000000ff]}\n想要写入数字的方格……
Tutorial_Sudoku_09	然后在画面下方的\n{color[ff0c00ff]}输入栏{color[000000ff]}中写入数字，\n并按“确定”键。
Tutorial_Sudoku_10	如果点触{color[ff0c00ff]}“备注”{color[000000ff]}旁边的数字，\n就能以小数字来做备注。
Tutorial_Sudoku_11	1个方格中最多可以写入\n9个数字作为备注。
Tutorial_Sudoku_12	点触{color[ff0c00ff]}箭头键{color[000000ff]}就可以\n回到上一步的状态。
Tutorial_Sudoku_13	中途退出时，\n请点触{color[ff0c00ff]}“中断”{color[000000ff]}键。
Tutorial_Sudoku_14	今后，可以接着上次\n退出的地方继续开始。
Tips1_Sudoku_01	将为你介绍求解\n数字拼图的{color[ff0c00ff]}初级技巧{color[000000ff]}。
Tips1_Sudoku_02	基本的思考方式有2种。
Tips1_Sudoku_03	“{color[ff0c00ff]}此数字\n只能填入这个方格{color[000000ff]}”
Tips1_Sudoku_04	“{color[ff0c00ff]}此方格\n只能填入这个数字{color[000000ff]}”
Tips1_Sudoku_05	……也就是寻找这样的地方。
Tips1_Sudoku_06	让我们一边解题\n一边试试看吧。
Tips1_Sudoku_07	刚开始的话，\n我建议先观察{color[ff0c00ff]}某一个数字{color[000000ff]}……
Tips1_Sudoku_08	“{color[ff0c00ff]}此数字\n只能填入这个方格{color[000000ff]}”
Tips1_Sudoku_09	……然后寻找这样的地方。
Tips1_Sudoku_10	先来观察{color[ff0c00ff]}1{color[000000ff]}吧。
Tips1_Sudoku_11	通过3×3的{color[ff0c00ff]}大方格{color[000000ff]}\n来纵观整体……
Tips1_Sudoku_12	能够填入1的方格\n就只有{color[ff0c00ff]}1处地方{color[000000ff]}，对吧？
Tips1_Sudoku_13	让我们从{color[ff0c00ff]}左下{color[000000ff]}的\n大方格开始看吧。
Tips1_Sudoku_14	因为对于{color[ff0c00ff]}A{color[000000ff]}方格来说，\n不管是在纵向还是横向上，\n都已经有1了……
Tips1_Sudoku_15	所以在这个大方格中，\n能填1的地方就只有这里了呢。
Tips1_Sudoku_16	接下来，对于{color[ff0c00ff]}中间{color[000000ff]}的大方格也一样，\n只有这个方格才能填1。
Tips1_Sudoku_17	对于{color[ff0c00ff]}右侧中间{color[000000ff]}的大方格，\n由于刚才填入的1……
Tips1_Sudoku_18	所以能填1的只有这个方格。
Tips1_Sudoku_19	像这样，之前填入的数字\n也会成为其他方格的{color[ff0c00ff]}提示{color[000000ff]}。
Tips1_Sudoku_20	同样的，{color[ff0c00ff]}右上及左上方{color[000000ff]}的\n大方格里的1也可以确定下来了。
Tips1_Sudoku_21	这样一来，能填{color[ff0c00ff]}1{color[000000ff]}的方格\n就全部确定好了。
Tips1_Sudoku_22	接下来，让我们来看{color[ff0c00ff]}2{color[000000ff]}吧。
Tips1_Sudoku_23	使用和之前一样的方法，\n首先可以确定这2个地方。
Tips1_Sudoku_24	但是，在{color[ff0c00ff]}左侧中间{color[000000ff]}的大方格中……
Tips1_Sudoku_25	我们还无法确定\n{color[ff0c00ff]}A{color[000000ff]}、{color[ff0c00ff]}B{color[000000ff]}中哪个填入2。
Tips1_Sudoku_26	{color[ff0c00ff]}左下{color[000000ff]}的大方格也一样。
Tips1_Sudoku_27	这种时候，我们就先来\n看看其他数字，\n{color[ff0c00ff]}之后{color[000000ff]}再去考虑它吧。
Tips1_Sudoku_28	依次查看3～9的数字后，\n这些方格就可以确定了。
