common_Kawashima.msbt
Button_Back	返回
Greet_Special_06_05	哎呀～思考饒舌的歌詞\n也是一種大腦鍛鍊呢！
Greet_Time_01	早安。\n太陽真耀眼啊！
Greet_Time_02	{[0111]}，\n你好！
Greet_Time_03	辛苦了！\n夕陽好美啊……
Greet_Time_04	{[0111]}，\n晚安！
Greet_Time_05	晚安！\n可不要太晚睡囉！
Greet_Time_06	{[0111]}，\n晚安！
Greet_Time_06_02	我改變了一下風格，\n試著用電筒照看看。
Greet_Season_01	哈啾！
Greet_Season_01_02	花粉還真多啊。
Greet_Season_02	哎呀～\n今天也很熱啊。
Greet_Season_03	天氣開始變冷了呢。
Greet_Season_04	外面真冷啊。\n我的眼鏡都起霧了。
Greet_Freq_01	又見面了。
Greet_Freq_New	今天是第{[0107]}日。
Greet_Freq_02	你每天都很努力呢！
Greet_Freq_03	兩天沒見了呢。\n我等你很久了。
Greet_Freq_04	三天沒見了呢。\n我等你很久了。
Greet_Freq_05	四天沒見了呢。\n我等你很久了。
Greet_Freq_06	五天沒見了呢。\n我等你很久了。
Greet_Freq_07	六天沒見了呢。\n我等你很久了。
Greet_Freq_08	一個禮拜沒見了呢。\n我就知道你會來的。
Greet_Freq_09	兩個禮拜沒見了呢。\n我很想你喔。
Greet_Freq_10	三個禮拜沒見了呢。\n我很想你喔。
Greet_Freq_11	一個月沒見了呢。\n我很想你喔。
Greet_Freq_12	很久沒見了。\n你過得還好嗎？
Greet_Freq_13	你常常在深夜鍛鍊呢。
Greet_Freq_13_02	鍛鍊大腦是沒關係，\n不過也要保重身體。
Greet_Freq_14	你常常在晚上鍛鍊呢。
Greet_Freq_14_02	鍛鍊大腦是很重要，\n不過身體也很重要的喔。
Greet_Freq_15	你常常在這個時間鍛鍊呢。
Greet_Freq_15_02	看來鍛鍊\n已經成為你的習慣了。
Greet_Aniv3_01	今天就是{color[ff0c00ff]}鍛鍊的第３天{color[000000ff]}了。\n就這樣繼續下去吧。
Greet_Aniv10_01	今天就是{color[ff0c00ff]}鍛鍊的第１０天{color[000000ff]}了。\n你有好好持續鍛鍊呢。
Greet_Aniv10_02	確立一些小目標，\n會讓自己更容易堅持下去喔。
Greet_Aniv10_03	下次就以連續鍛鍊３０天\n為目標吧！
Greet_Aniv30_01	今天就是{color[ff0c00ff]}鍛鍊的第３０天{color[000000ff]}了。\n你真有恆心啊！
Greet_Aniv30_02	正所謂「滴水可穿石」！\n不過……
Greet_Aniv30_03	可不能把持續鍛鍊\n當成唯一的目的喔。
Greet_Aniv30_04	改善自己的鍛鍊方法\n或是添加一些變化，
Greet_Aniv30_05	為了持續鍛鍊，\n不斷摸索也是很重要的。
Greet_Aniv100_01	其實，今天就是{color[ff0c00ff]}鍛鍊的{color[000000ff]}\n{color[ff0c00ff]}第１００天{color[000000ff]}了！
Greet_Aniv100_02	真是滴水穿石啊。\n我太佩服了。
Greet_Aniv100_03	今後也請繼續鍛鍊喔。
Greet_Aniv365_01	其實……
Greet_Aniv365_02	今天竟然是{color[ff0c00ff]}鍛鍊的{color[000000ff]}\n{color[ff0c00ff]}第３６５天{color[000000ff]}！
Greet_Aniv365_03	恭喜你！\n真的太厲害了！
Greet_Aniv365_04	我想只要持續鍛鍊大腦，\n每天的生活都會很充實吧。
Greet_Aniv365_05	今後請一定要\n繼續鍛鍊喔。
Greet_BA_Reset_01	啊，對了對了……
Greet_BA_Reset_02	距離上一次的腦年齡檢查，\n已經過了{color[ff0c00ff]}一星期{color[000000ff]}……
Greet_BA_Reset_03	腦年齡已經被重置了。\n請再次檢測。
System_Virus_00_01	這個{color[ff0c00ff]}「細菌撲滅」{color[000000ff]}\n並不是鍛鍊……
System_Virus_00_02	而是有可能為前額葉\n帶來放鬆效果的東西。
System_Virus_01	蓋章後才能選擇\n{color[ff0c00ff]}「細菌撲滅」{color[000000ff]}。
System_Virus_02	要從上一次{color[ff0c00ff]}中斷{color[000000ff]}的地方\n{color[ff0c00ff]}繼續挑戰{color[000000ff]}嗎？
System_Virus_03	已保存的{color[ff0c00ff]}中斷資料{color[000000ff]}\n將會{color[ff0c00ff]}消失{color[000000ff]}，沒問題嗎？
System_AlreadyPlayed	這個鍛鍊\n今天{color[ff0c00ff]}已經記錄過{color[000000ff]}了。
System_AlreadyPlayed_01	今天{color[ff0c00ff]}已鍛鍊{color[000000ff]}。\n無法蓋章。
System_AlreadyPlayed_02	均衡地鍛鍊吧。
System_3times_01	你很努力呢。\n我想你已經充分鍛鍊大腦了。
System_6times_01	你非常努力呢。\n我想你已經充分鍛鍊大腦了。
System_9times_01	你真是太努力了。\n我想你已經充分鍛鍊大腦了。
System_3times_02	今天的鍛鍊\n差不多該結束了。
System_3times_03	今天辛苦了。\n明天再見。
System_IR_Start	請選擇\n{color[ff0c00ff]}要使用哪隻手{color[000000ff]}。
System_nBackSymbol_Restart	將從最初重新開始。\n準備好了嗎？
Unlock_01_01	因為有{color[ff0c00ff]}１個{color[000000ff]}印章……
Unlock_01_02	現在可以選擇\n{color[ff0c00ff]}「細菌撲滅」{color[000000ff]}了。
Unlock_01_03	{color[ff0c00ff]}「細菌撲滅」{color[000000ff]}\n並不是一項鍛鍊……
Unlock_01_04	而是有可能為大腦帶來\n{color[ff0c00ff]}放鬆{color[000000ff]}效果的遊戲。
Unlock_01_05	所以，只能於當天\n{color[ff0c00ff]}蓋章後{color[000000ff]}遊玩。
Unlock_02_01	因為有{color[ff0c00ff]}５個{color[000000ff]}印章……
Unlock_02_02	增加了新鍛鍊\n{color[ff0c00ff]}「手指體操」{color[000000ff]}。
Unlock_02_03	請加油！
Unlock_02_04	要進行這個鍛鍊，\n需要{color[ff0c00ff]}Joy-Con(R){color[000000ff]}喔。
Unlock_03_01	因為有{color[ff0c00ff]}７個{color[000000ff]}印章……
Unlock_03_02	增加了新鍛鍊\n{color[ff0c00ff]}「計算１００」{color[000000ff]}。
Unlock_03_03	請加油！
Unlock_04_01	因為有{color[ff0c00ff]}９個{color[000000ff]}印章……
Unlock_04_02	增加了新鍛鍊\n{color[ff0c00ff]}「數人數」{color[000000ff]}。
Unlock_04_03	請加油！
Unlock_05_01	因為有{color[ff0c00ff]}１１個{color[000000ff]}印章……
Unlock_05_02	增加了新鍛鍊\n{color[ff0c00ff]}「瞬間記憶」{color[000000ff]}。
Unlock_05_03	請加油！
Unlock_06_01	因為有{color[ff0c00ff]}３個{color[000000ff]}印章……
Unlock_06_02	增加了新鍛鍊\n{color[ff0c00ff]}「前刻照片」{color[000000ff]}。
Unlock_06_03	請加油！
Unlock_10_01	因為有{color[ff0c00ff]}２個{color[000000ff]}印章……
Unlock_10_02	增加了新鍛鍊\n{color[ff0c00ff]}「雙重課題」{color[000000ff]}。
Unlock_10_03	請加油！
Unlock_SudokuEX_01	因為解開了\n{color[ff0c00ff]}２０題{color[000000ff]}數字拼圖「中級」問題……
Unlock_SudokuEX_02	現在可以選擇\n{color[ff0c00ff]}「上級」{color[000000ff]}問題了。
Unlock_SudokuEX_03	請加油！
Unlock_Complete_01	這樣一來，{color[ff0c00ff]}所有鍛鍊{color[000000ff]}和……
Unlock_Complete_02	{color[ff0c00ff]}所有功能{color[000000ff]}都可以使用了。
Unlock_Complete_03	那麼，請繼續鍛鍊吧。
Tutorial_Keisan25_01	請用{color[ff0c00ff]}最快的速度{color[000000ff]}\n寫出{color[ff0c00ff]}計算題{color[000000ff]}的答案。
Tutorial_Keisan25_02	點觸{color[ff0c00ff]}橡皮擦標記{color[000000ff]}\n可以重新書寫。
Tutorial_Janken_01	這是在Joy-Con(R)的動感IR照相機前\n{color[ff0c00ff]}舉手{color[000000ff]}進行的{color[ff0c00ff]}猜拳{color[000000ff]}。
Tutorial_Janken_02	請按照畫面的指示，\n{color[ff0c00ff]}用最快的速度{color[000000ff]}……
Tutorial_Janken_03	{color[ff0c00ff]}做出「石頭」、「剪刀」、「布」{color[000000ff]}\n其中一個手勢。
Tutorial_Janken_03_02	分出勝負後請先{color[ff0c00ff]}舉起手{color[000000ff]}，\n再做出下一個手勢。
Tutorial_Janken_04	不只是{color[ff0c00ff]}勝利的手勢{color[000000ff]}……
Tutorial_Janken_05	有時候也需要用\n{color[ff0c00ff]}落敗的手勢{color[000000ff]}回答，要注意喔。
Tutorial_IRcommon_01	做出手勢時，要把{color[ff0c00ff]}掌心面向{color[000000ff]}\n動感IR照相機。
Tutorial_IRcommon_02	要是把指尖面向動感IR照相機，\n將無法順利{color[ff0c00ff]}識別{color[000000ff]}，敬請注意。
Tutorial_IRcommon_03	要注意手跟動感IR照相機的{color[ff0c00ff]}距離{color[000000ff]}，\n不能太遠或太近。
Tutorial_IRcommon_04	手{color[ff0c00ff]}剛好{color[000000ff]}在動感IR照相機的\n影像裡是最好的。
Tutorial_IRcommon_05	要是拍到{color[ff0c00ff]}手以外的東西{color[000000ff]}，\n有可能會被錯誤識別。
Tutorial_NumberMemory_01	請在{color[ff0c00ff]}２分鐘內盡可能的{color[000000ff]}\n記住２５個{color[ff0c00ff]}數字與位置{color[000000ff]}。
Tutorial_NumberMemory_02	然後在{color[ff0c00ff]}２分鐘內\n{color[000000ff]}填寫所有記住的數字。
Tutorial_NumberMemory_03	請{color[ff0c00ff]}點觸記住的位置{color[000000ff]}\n再填寫數字喔。
Tutorial_Counting_01	當倒數結束後，
Tutorial_Counting_02	請用最快的速度大聲地\n{color[ff0c00ff]}從１數到１２０{color[000000ff]}。
Tutorial_Counting_03	請務必{color[ff0c00ff]}清楚地發音{color[000000ff]}喔。
Tutorial_Counting_04	數完後，請點觸{color[ff0c00ff]}「已數完」{color[000000ff]}。
Tutorial_MTMTest_01	Ａ→１→Ｂ→２→…→Ｍ→１３\n請按以上順序……
Tutorial_MTMTest_02	用最快的速度\n在文字之間{color[ff0c00ff]}連線{color[000000ff]}。
Tutorial_MTMTest_03	請小心不要碰到\n目標以外的文字喔。
Tutorial_MaxNumber_01	請在顯示的數字中{color[ff0c00ff]}點觸{color[000000ff]}\n{color[ff0c00ff]}數值最大的數字{color[000000ff]}。
Tutorial_MaxNumber_02	字體的大小{color[ff0c00ff]}並不等於{color[000000ff]}\n數值的大小喔，請注意。
Tutorial_SerialSubtract_01	請從畫面上方\n顯示的數字……
Tutorial_SerialSubtract_02	{color[ff0c00ff]}減去{color[000000ff]}指示的數字，\n再把答案寫在框內。
Tutorial_SerialSubtract_03	請用{color[ff0c00ff]}最快的速度\n連續{color[000000ff]}進行這個步驟。
Tutorial_SerialSubtract_04	寫下的答案\n會不斷被塗掉……
Tutorial_SerialSubtract_05	要是忘記了被塗掉的數字，\n就{color[ff0c00ff]}點觸「再來一次」{color[000000ff]}吧。
Tutorial_FingerGymnastics_01	這是在Joy-Con(R)的動感IR照相機前\n{color[ff0c00ff]}舉手{color[000000ff]}進行的{color[ff0c00ff]}手指體操{color[000000ff]}。
Tutorial_FingerGymnastics_02	請{color[ff0c00ff]}用最快的速度按順序{color[000000ff]}\n模仿畫面中排列的手形。
Tutorial_FingerGymnastics_03	在手指體操中可以{color[ff0c00ff]}一直伸出手{color[000000ff]}，\n只改變手勢來回答。
Tutorial_BirdCounting_01	這是{color[ff0c00ff]}２人各拿１個{color[000000ff]}Joy-Con\n{color[ff0c00ff]}進行比拼{color[000000ff]}的鍛鍊。
Tutorial_BirdCounting_02	請{color[ff0c00ff]}用最快的速度正確地數出{color[000000ff]}\n畫面內小鳥的數量。
Tutorial_BirdCounting_03	也可能有{color[ff0c00ff]}小鳥以外的東西{color[000000ff]}\n混在裡面，小心留意吧。
Tutorial_BirdCounting_04	一共有數題問題，\n回答得{color[ff0c00ff]}較快且正確{color[000000ff]}的一方獲勝。
Tutorial_BoxCounting_01	這是{color[ff0c00ff]}２人各拿１個{color[000000ff]}Joy-Con\n{color[ff0c00ff]}進行比拼{color[000000ff]}的鍛鍊。
Tutorial_BoxCounting_02	倒數之後……
Tutorial_BoxCounting_03	箱子會顯示{color[ff0c00ff]}一瞬間{color[000000ff]}，\n請記住{color[ff0c00ff]}箱子的數量{color[000000ff]}。
Tutorial_BoxCounting_04	箱子消失後，請快速並正確地回答\n{color[ff0c00ff]}箱子的數量{color[000000ff]}。
Tutorial_BoxCounting_05	一共有數題問題，\n回答得{color[ff0c00ff]}較快且正確{color[000000ff]}的一方獲勝。
Tutorial_FlagUp_01	這是{color[ff0c00ff]}２人各拿１個{color[000000ff]}Joy-Con\n{color[ff0c00ff]}進行比拼{color[000000ff]}的鍛鍊。
Tutorial_FlagUp_02	請記住示範的\n{color[ff0c00ff]}搖旗方法{color[000000ff]}。
Tutorial_FlagUp_03	之後，請{color[ff0c00ff]}按照示範{color[000000ff]}搖旗。
Tutorial_FlagUp_04	一共有數題問題，\n{color[ff0c00ff]}答對題數較多{color[000000ff]}的一方勝出。
Tutorial_FlagUp_05	示範的搖旗次數\n會{color[ff0c00ff]}逐漸增加{color[000000ff]}喔。
Tutorial_Yubikeisan_01	這是在Joy-Con(R)的動感IR照相機前\n{color[ff0c00ff]}舉手{color[000000ff]}回答的計算題。
Tutorial_Yubikeisan_02	計算{color[ff0c00ff]}手指的數量{color[000000ff]}……
Tutorial_Yubikeisan_03	{color[ff0c00ff]}以最快的速度{color[000000ff]}用\n從０到５的手勢作答。
Tutorial_Yubikeisan_04	在手指計算裡可以{color[ff0c00ff]}一直伸出手{color[000000ff]}，\n只改變手指數量來回答。
Tutorial_ImageMemory_01	記住最初顯示的照片……
Tutorial_ImageMemory_02	按照畫面的指示\n{color[ff0c00ff]}依次點觸照片{color[000000ff]}。
Tutorial_HumanCounting_01	家裡會有人進進出出……
Tutorial_HumanCounting_02	請回答最後\n{color[ff0c00ff]}留在家裡的人數{color[000000ff]}。
Tutorial_FlashKioku_01	倒數結束後，\n在{color[ff0c00ff]}方框{color[000000ff]}的位置內……
Tutorial_FlashKioku_02	數字會顯示{color[ff0c00ff]}一瞬間{color[000000ff]}。
Tutorial_FlashKioku_03	方框再次顯示後，\n請{color[ff0c00ff]}從小到大{color[000000ff]}點觸數字。
Tutorial_DualTaskJump_01	這是同時進行\n{color[ff0c00ff]}兩個課題{color[000000ff]}的鍛鍊。
Tutorial_DualTaskJump_02	{color[ff0c00ff]}跳躍{color[000000ff]}跨越欄杆的{color[ff0c00ff]}同時{color[000000ff]}，\n點觸{color[ff0c00ff]}數值最大的數字{color[000000ff]}。
Tutorial_DualTaskJump_03	字體的大小{color[ff0c00ff]}並不等於{color[000000ff]}\n數值的大小喔，請注意。
Tutorial_Doctor_01	歡迎來到{color[ff0c00ff]}「細菌撲滅」{color[000000ff]}。
Tutorial_Doctor_02	這個{color[ff0c00ff]}「細菌撲滅」\n並不是{color[000000ff]}一項鍛鍊。
Tutorial_Doctor_03	它無法讓{color[ff0c00ff]}前額葉{color[000000ff]}活化……
Tutorial_Doctor_04	反而有可能帶來{color[ff0c00ff]}放鬆{color[000000ff]}效果。
Tutorial_Doctor_05	推薦你在進行其他鍛鍊後\n或睡覺前遊玩喔。
Tutorial_Doctor_07	讓我來說明規則吧。
Tutorial_Doctor_08	點觸並操作\n接連投放下去的{color[ff0c00ff]}膠囊{color[000000ff]}。
Tutorial_Doctor_09	可以{color[ff0c00ff]}持續點觸膠囊{color[000000ff]}來{color[ff0c00ff]}移動{color[000000ff]}。
Tutorial_Doctor_10	短暫{color[ff0c00ff]}點觸{color[000000ff]}，\n可以讓膠囊{color[ff0c00ff]}旋轉{color[000000ff]}。
Tutorial_Doctor_11	當{color[ff0c00ff]}４個同顏色{color[000000ff]}的東西\n{color[ff0c00ff]}直向{color[000000ff]}或{color[ff0c00ff]}横向{color[000000ff]}並排時就會{color[ff0c00ff]}消失{color[000000ff]}……
Tutorial_Doctor_12	請{color[ff0c00ff]}消滅所有細菌{color[000000ff]}吧。
Tutorial_Doctor_13	{color[ff0c00ff]}膠囊{color[000000ff]}堆疊到{color[ff0c00ff]}最上方{color[000000ff]}\n就代表{color[ff0c00ff]}失敗{color[000000ff]}。
Tutorial_Sudoku_01	{color[ff0c00ff]}「數字拼圖」{color[000000ff]}是用{color[ff0c00ff]}１～９的數字\n{color[000000ff]}來填寫空格子的解謎遊戲。
Tutorial_Sudoku_02	要按照{color[ff0c00ff]}３項{color[000000ff]}規則\n來填寫數字。
Tutorial_Sudoku_03	第一，{color[ff0c00ff]}直列{color[000000ff]}的９格內，\n{color[ff0c00ff]}不能填寫同一個數字{color[000000ff]}。
Tutorial_Sudoku_04	第二，{color[ff0c00ff]}橫列{color[000000ff]}的９格內，\n{color[ff0c00ff]}也不能填寫同一個數字{color[000000ff]}。
Tutorial_Sudoku_05	第三，每個粗線圍起來的{color[ff0c00ff]}３×３方格{color[000000ff]}\n{color[ff0c00ff]}都不能填寫同一個數字{color[000000ff]}。
Tutorial_Sudoku_06	滿足這{color[ff0c00ff]}３項條件{color[000000ff]}，\n並填寫所有格子就能過關。
Tutorial_Sudoku_07	接下來，是{color[ff0c00ff]}操作方法{color[000000ff]}。
Tutorial_Sudoku_08	點觸來{color[ff0c00ff]}指定{color[000000ff]}\n想要填寫數字的格子……
Tutorial_Sudoku_09	在畫面下方的{color[ff0c00ff]}輸入欄{color[000000ff]}書寫數字，\n按「確定」鍵。
Tutorial_Sudoku_10	點觸{color[ff0c00ff]}「筆記」{color[000000ff]}旁邊的數字，\n就能以小數字來做筆記。
Tutorial_Sudoku_11	１個格子可以寫下\n９份筆記。
Tutorial_Sudoku_12	點觸{color[ff0c00ff]}箭頭鍵{color[000000ff]}\n就能返回上一步的狀態。
Tutorial_Sudoku_13	如果想中途退出，\n請點觸{color[ff0c00ff]}「中斷」{color[000000ff]}鍵。
Tutorial_Sudoku_14	下次會從那裡繼續挑戰。
Tips1_Sudoku_01	我來介紹解開數字拼圖的\n{color[ff0c00ff]}初級技巧{color[000000ff]}。
Tips1_Sudoku_02	基本思考方式有兩種。
Tips1_Sudoku_03	「{color[ff0c00ff]}這個數字\n只能填進這個格子{color[000000ff]}」
Tips1_Sudoku_04	「{color[ff0c00ff]}這個格子\n只能填寫這個數字{color[000000ff]}」
Tips1_Sudoku_05	就是要尋找這樣的地方。
Tips1_Sudoku_06	讓我們一邊解開問題，\n一邊試試看吧。
Tips1_Sudoku_07	在最初階段，\n只要集中看任意{color[ff0c00ff]}一個數字{color[000000ff]}……
Tips1_Sudoku_08	「{color[ff0c00ff]}這個數字\n只能填進這個格子{color[000000ff]}」
Tips1_Sudoku_09	我建議尋找這樣的地方喔。
Tips1_Sudoku_10	首先集中看{color[ff0c00ff]}１{color[000000ff]}吧。
Tips1_Sudoku_11	把全部格子\n劃分為３×３的{color[ff0c00ff]}方塊{color[000000ff]}……
Tips1_Sudoku_12	有沒有方塊\n只有{color[ff0c00ff]}１個地方{color[000000ff]}能填寫１呢？
Tips1_Sudoku_13	來看看{color[ff0c00ff]}左下{color[000000ff]}的方塊吧。
Tips1_Sudoku_14	{color[ff0c00ff]}Ａ{color[000000ff]}格子在同一個直列跟橫列上，\n都已經有１了……
Tips1_Sudoku_15	所以這個方塊內，\n只有這裡才能填寫{color[ff0c00ff]}１{color[000000ff]}。
Tips1_Sudoku_16	接下來，{color[ff0c00ff]}中央{color[000000ff]}的方塊\n也能同樣地決定填寫１的格子。
Tips1_Sudoku_17	{color[ff0c00ff]}中央右邊{color[000000ff]}的方塊，\n可以根據剛才決定的１……
Tips1_Sudoku_18	決定填寫１的格子。
Tips1_Sudoku_19	就像這樣，填寫好的數字\n會成為其他地方的{color[ff0c00ff]}提示{color[000000ff]}。
Tips1_Sudoku_20	同樣地，{color[ff0c00ff]}右上{color[000000ff]}和{color[ff0c00ff]}左上{color[000000ff]}的方塊\n也能鎖定１的格子了。
