AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
AchieveListNameStageRainbowResort	Fountain of Dreams
AchieveListNameStageRunawayTrain	Waddle Dee Train Tracks
AchieveListNameStageGreenGreeting	Green Gardens
AchieveListNameStageJambastion	Fortress of Shadows Jambastion Entrance
AchieveListNameStageSummit	The Empyrean
AchieveListNameStageGigavolt	Gigavolt
AchieveListNameStageGigantGround	Dried-up Sea
AchieveListNameStageGourmetRace	Gourmet Go Go
AchieveListNameStageDededeTower	Stage of Destined Rivals
AchieveListNameStageDededeTower2	Stage of the Partners Who Shook the Heavens
AchieveListNameStagePractice	Training
AchieveListCategoriesSubBgm	Secret Songs
AchieveListNameSubBgm_001	Castle Lololo (Secret Song)
AchieveListNameSubBgm_002	Bubbly Clouds (Secret Song)
AchieveListNameSubBgm_003	Coo's Forest (Secret Song)
AchieveListNameSubBgm_004	Dedede Arena (Secret Song)
AchieveListNameSubBgm_005	Factory Tour (Secret Song)
AchieveListNameSubBgm_006	Springy Hand Land (Secret Song)
AchieveListNameSubBgm_007	Dyna Blade's Nest (Secret Song)
AchieveListNameSubBgm_008	Butter Building (Secret Song)
AchieveListNameSubBgm_009	Haldera Volcano (Secret Song)
AchieveListNameSubBgm_010	Fountain of Dreams (Secret Song)
AchieveListNameSubBgm_011	Waddle Dee Train Tracks (Secret Song)
AchieveListNameSubBgm_012	Green Gardens (Secret Song)
AchieveListNameSubBgm_013	Jambastion Entrance (Secret Song)
AchieveListNameSubBgm_014	The Empyrean (Secret Song)
AchieveListNameSubBgm_015	Gigavolt (Secret Song)
AchieveListNameSubBgm_016	Dried-up Sea (Secret Song)
AchieveListNameSubBgm_017	Gourmet Race (Secret Song)
AchieveListNameSubBgm_018	Stage of Destined Rivals (Secret Song)
AchieveListNameSubBgm_019	Stage of the Partners (Secret Song)
AchieveListNameSubBgm_020	Training (Secret Song)
AchieveListCategoriesRogueItem	Story Items
AchieveListNameRogueItem000	Maxim Tomato
AchieveListNameRogueItem001	Energy Drink
AchieveListNameRogueItem002	Cherry
AchieveListNameRogueItem003	Attack Stone Lv. 1
AchieveListNameRogueItem004	Attack Stone Lv. 2
AchieveListNameRogueItem005	Attack Stone Lv. 3
AchieveListNameRogueItem006	Attack Stone Lv. 4
AchieveListNameRogueItem007	Cursed Attack Stone Lv. 5
AchieveListNameRogueItem008	Health Stone Lv. 1
AchieveListNameRogueItem009	Health Stone Lv. 2
AchieveListNameRogueItem010	Health Stone Lv. 3
AchieveListNameRogueItem011	Health Stone Lv. 4
AchieveListNameRogueItem012	Cursed Health Stone Lv. 5
AchieveListNameRogueItem018	Recovery Stone Lv. 1
AchieveListNameRogueItem019	Recovery Stone Lv. 2
AchieveListNameRogueItem020	Recovery Stone Lv. 3
AchieveListNameRogueItem021	Recovery Stone Lv. 4
AchieveListNameRogueItem022	Cursed Recovery Stone Lv. 5
AchieveListNameRogueItem023	Buddy Skill Up
AchieveListNameRogueItem034	Ghost Stone Lv. 1
AchieveListNameRogueItem035	Ghost Stone Lv. 2
AchieveListNameRogueItem036	Ghost Stone Lv. 3
AchieveListNameRogueItem037	Ghost Stone Lv. 4
AchieveListNameRogueItem038	Cursed Ghost Stone Lv. 5
AchieveListNameRogueItem039	Quick-Charge Stone Lv. 1
AchieveListNameRogueItem040	Quick-Charge Stone Lv. 2
AchieveListNameRogueItem041	Quick-Charge Stone Lv. 3
AchieveListNameRogueItem042	Quick-Charge Stone Lv. 4
AchieveListNameRogueItem043	Cursed Quick-Charge Stone Lv. 5
AchieveListNameRogueItem044	Bandana Waddle Dee Badge
AchieveListNameRogueItem045	Gooey Badge
AchieveListNameRogueItem046	Magolor Badge
AchieveListNameRogueItem047	Boss Badge
AchieveListNameRogueItem048	Mint Leaf Sticker
AchieveListNameRogueItem049	Anti-Mike Charm
AchieveListNameRogueItem050	Crackler Sticker
AchieveListNameRogueItem051	Explosives Sticker
AchieveListNameRogueItem052	Extension Sticker
AchieveListNameRogueItem053	Auto-Heal Sticker
AchieveListNameRogueItem054	Auto-Guard I
AchieveListNameRogueItem055	Auto-Guard II
AchieveListNameRogueItem056	Anti-Hazard Charm
AchieveListNameRogueItem057	Anti-Explosion Charm
AchieveListNameRogueItem059	Anti-Gordo Charm
AchieveListNameRogueItem060	Zap Weapon Sticker
AchieveListNameRogueItem061	Ice Container Breaking Sticker
AchieveListNameRogueItem062	Quick-Cheer Sticker
AchieveListNameRogueItem063	Score-Bonus Sticker
AchieveListNameRogueItem064	Item Selection Plus
AchieveListNameRogueItem065	Cursed Auto-Heal Ring
AchieveListNameRogueItem066	Cursed Attack Ring
AchieveListNameRogueItem067	Cursed Anti-Ghost Ring
AchieveListNameRogueItem069	Bronze Score Statue
AchieveListNameRogueItem070	Silver Score Statue
AchieveListNameRogueItem071	Gold Score Statue
Rank	\x0e\x02\x02\0
Unknown	???
Notice_Conceal	Unlocked at\nFighters Rank \x0e\x02\x02\0!
ConcealByExceptRank	Unlocked by ???
Caption	Rewards List
OperationBack	\x0e\x04\x06\x022\0 Back
Cmn.msbt
DialogButtonYes	Yes
DialogButtonNo	No
DialogButtonOk	OK
DialogButtonNext	Next
ProgressSaving	Saving...
ProgressAccessing	Connecting...
LifeBarBoss_ShadowKirby	Shadow Kirby
LifeBarBoss_TwinWoods	Twin Woods
LifeBarBoss_DoubleEdge	Duo Edge
LifeBarBoss_DededeAndMetaknight	King Dedede & Meta Knight
LifeBarBoss_DededeAndMetaknightMasked	Waning Masked Dedede & Waxing Masked Meta Knight
TimeDisplay	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
TimeDisplayMatching	\x0e\x02\x02\0:\x0e\x02\x02\0
HeroPanelAnotherNameKirby	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
HeroPanelAnotherNameOther	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
AbilityWhip	Whip
AbilityCutter	Cutter
AbilitySword	Sword
AbilityNinja	Ninja
AbilityParasol	Parasol
AbilityHammer	Hammer
AbilityBeam	Beam
AbilityFighter	Fighter
AbilityBomb	Bomb
AbilitySniper	Archer
AbilityBeetle	Beetle
AbilityBell	Bell
AbilityArtist	Artist
AbilityWrestler	Wrestler
AbilityYoyo	Yo-Yo
AbilityStick	Staff
AbilityWater	Water
AbilityMetaknight	Meta Knight
AbilityKingDedede	King Dedede
AbilityBandanaWaddledee	Bandana Waddle Dee
AbilityGooey	Gooey
AbilityMahoroa	Magolor
NpcName_02	The Beginner
NpcName_03	The Scared 
NpcName_04	The Newcomer
NpcName_05	The Gentle
NpcName_06	The Fresh-Faced
NpcName_07	The Adorable
NpcName_09	The Novice
NpcName_10	The Ordinary
NpcName_11	The Bumbling
NpcName_12	The Chatty 
NpcName_13	The Radical
NpcName_14	The Caring
NpcName_19	The Romantic
NpcName_20	The Famished
NpcName_22	The Rash
NpcName_23	The Half-Baked
NpcName_24	The Reckless
NpcName_25	The Hungry 
NpcName_27	The Puffy 
NpcName_28	The Breezy 
NpcName_30	The Competitive
NpcName_31	The Young 
NpcName_33	The Roaming 
NpcName_34	The Vain 
NpcName_35	The Guileless
NpcName_36	The Cool
NpcName_37	The Softhearted
NpcName_38	The Trendy
NpcName_39	The Solemn
NpcName_40	The Taciturn
NpcName_41	The Big-Hearted
NpcName_43	The Clownish
NpcName_44	The Laid-Back
NpcName_45	The Polite
NpcName_46	The Sleek
NpcName_47	The Graceful
NpcName_48	The Dreaming
NpcName_49	The Jolly
NpcName_50	The Powerful
NpcName_52	The Shrewd
NpcName_53	The Daydreaming
NpcName_54	The Great 
NpcName_55	The Boisterous
NpcName_56	The Ghostly 
NpcName_57	The Furious
NpcName_59	The Outstanding
NpcName_60	The Stubborn
NpcName_61	The Dulcet 
NpcName_62	The Elite
NpcName_63	The Resilient
NpcName_64	The Seasoned
NpcName_65	The Rising Star
NpcName_67	The Wild
NpcName_68	The Bold 
NpcName_69	The Flawless
NpcName_70	The Fearsome
NpcName_71	The Sturdy
NpcName_73	The Professional
NpcName_74	The Extraordinary
NpcName_75	The Wandering
NpcName_76	The Reborn 
NpcName_77	The Brilliant
NpcName_78	The Flaming
NpcName_79	The Mighty 
NpcName_80	The Terrifying
NpcName_81	The Stormy
NpcName_82	The Exceptional
NpcName_83	The Merciless
NpcName_85	The Chipper 
NpcName_86	The Lost 
NpcName_87	The Unrestrained
NpcName_88	The Legendary
NpcName_89	The Hardened
NpcName_90	The Ominous
NpcName_91	The Fearless
NpcName_92	The Destroying
NpcName_93	The Divine
NpcName_94	The Juggernaut
NpcName_95	The Revived
NpcName_96	The Phenomenal
NpcName_97	The Annihilating
NpcName_98	The Ultimate
NpcName_99	The Undefeatable
NpcName_100	The Mysterious
NpcName_101	The Classic
NpcName_102	The Ultra
NpcName_103	The Super-Deluxe
NpcName_104	The Star Monarch
NpcName_105	The Galaxy-Ruling
NpcName_106	The Daredevil
NpcName_107	The Aeon
NpcName_108	The Far-Flung Star
NpcName_109	The Revenging
NpcName_110	The Loyal
NpcName_111	The Perky
NpcName_112	The Dewy-Eyed
NpcName_113	The Youthful
NpcName_114	The Childish
NpcName_115	The Pillowy
NpcName_116	The Cutesy
NpcName_117	The Doughy
NpcName_118	The Refreshing
NpcName_119	The Gale-Strength
NpcName_120	The Heartfelt
NpcName_121	The Gourmet
NpcName_122	The Honest
NpcName_123	The Fetching
NpcName_124	The Omniscient
NpcName_125	The Serious
NpcName_126	The Developing
NpcName_127	The Hardworking
NpcName_128	The Historical
NpcName_129	The Acclaimed
NpcName_130	The Empyrean
NpcName_131	The Traveling
NpcName_132	The Gentlemanly
NpcName_133	The Disciplined
NpcName_134	The Supreme
NpcName_135	The Fake
NpcName_136	The Dangerous
NpcName_137	The Afar-Returned
NpcName_138	The Grand
NpcName_139	The Balletic
NpcName_140	The Ally
NpcName_141	The Master
NpcName_142	The Soulful
NpcName_143	The Rainbow
NpcName_144	The Heroic
RankupGauge_GaugeName	Fighters Rank
RankupGaugeSmall_GaugeName	Fighters Rank
RankupGauge_RankPointCurrent	\x0e\x02\x02\0{s[080]} / \x0e\x02\x02\0{s[100]}
RankupGaugeSmall_RankPointCurrent	\x0e\x02\x01\0{s[085]} / \x0e\x02\x01\0{s[100]}
RankupGauge_RankPointCurrentMax	MAX!
RankupGaugeSmall_RankPointCurrentMax	MAX!
KiloSeparator	,
DecimalSeparator	.
SingleGameOverDialogBody	Try one more time?\n(If you give up, you will\nstart from the {c[ff8c00]}beginning{c[000000]}.)
SingleGameOverDialogButtonGiveup	Quit
SingleGameOverDialogButtonContinue	Try again!
RogueGameOverDialogBody	{c[ff8c00]}Try {c[000000]}one more time?\n(If you quit, you can continue\nfrom a {c[ff8c00]}Bookmark Save{c[000000]}.)
RogueGameOverDialogButtonGiveup	Quit
RogueGameOverDialogButtonContinue	Try again!
RogueGameOverRemainsDialogBody	Remaining Tries: {c[ff8c00]}\x0e\x02\x01\0{c[000000]}
Net_ConnectionCutError	{c[ff8c00]}Network connection{c[000000]} interrupted.\nPlease do not disconnect.\nCheck your {c[ff8c00]}network status\n{c[000000]}and try once again.
Net_ConnectionCutErrorMild	{c[ff8c00]}Network connection{c[000000]} interrupted.\nCheck your {c[ff8c00]}network status\n{c[000000]}and try once again.
Net_ConnectionlossError	The game has stopped due to\na communication error.
Net_ConnectionError	A communication error has\noccurred.
Net_PenaltyWarning	The previous session {c[ff8c00]}disconnected{c[000000]}.\nIf this happens frequently, you may\n{c[ff8c00]}lose access to online play{c[000000]}. Please\ncheck your connection.
Net_PenaltyExecution	Online play has been disabled\ntemporarily due to {c[ff8c00]}prior\ndisconnections{c[000000]}. It will be\nre-enabled in about \x0e\x02\x02\0:\x0e\x02\x02\0.
Net_CreateSessionError	Failed to create a group.
Net_JoinSessionError	Could not join the group.\nIt may have been full, or\na battle may have already\nstarted.
Net_VerificationDisconectSession	Quit and {c[ff8c00]}disband {c[000000]}the group?
Net_VerificationBackToBattleType	Return to {c[ff8c00]}Battle Type Selection{c[000000]}?
Net_SessionLossError	The group has {c[ff8c00]}disbanded{c[000000]}.
Net_AutoSessionError	Matching failed.
Net_MatchingTimeOutError	Couldn't find enough players\nfor a battle. Start over and\nselect your character again.
TextSkip	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 Skip
CreateFile	Creating {c[ff4600]}save data{c[000000]}. \nPlease wait.
CreateFileSuccess	{c[ff4600]}Save data{c[000000]} created.
RepairData	{c[ff4600]}Save data {c[000000]}is corrupted.\nPlease wait while new\ndata is created...
ErrorOccured	An {c[ff4600]}error {c[000000]}has occurred.
PlayerNum2	Guest 1
PlayerNum3	Guest 2
PlayerNum4	Guest 3
ComputerNum1	CPU 1
ComputerNum2	CPU 2
ComputerNum3	CPU 3
ComputerNum4	CPU 4
FriendOnlyOne	Buddy
UserName	\x0e\x02\n\0
ControllersCountNotify	{c[ff8c00]}Controllers {c[000000]}disconnected.\nGo back to the previous screen?
CompleteBody.msbt
Clear	Cleared!
Congratulation	Congratulations!
Credit.msbt
Staff	STAFF
GeneralDirector	GENERAL DIRECTOR
GeneralDirector_00	SHINYA KUMAZAKI
Director	DIRECTORS
Director_00	TADASHI KAWAI
Director_01	YUMI TODO
Director_02	JUN TANIGUCHI
LeadBattleDesign	LEAD BATTLE DESIGN
LeadBattleDesign_00	YUKI WATANABE
BattleDesign	BATTLE DESIGN
BattleDesign_00	TAKEHIKO KUBOKAWA
BattleDesign_01	TATSURO KUSANO
UIPlanning	UI PLANNING
UIPlanning_00	JIDEOCK KIM
UIPlanning_01	KAZUNORI MORISAWA
ProgramDirector	PROGRAMMING DIRECTOR
ProgramDirector_00	HIROSHI OHNISHI
LeadProgramming	LEAD PROGRAMMING
LeadProgramming_00	YOHEI FUKUDA
Programming	PROGRAMMING
Programming_00	TAKAYA NAKAMURA
Programming_01	TOMOHIRO OBAYASHI
Programming_02	YUYA YAMATE
Programming_03	ETSUMA ODA
Programming_04	HIROKAZU KOBAYASHI
Programming_05	KOUJI KIKKAWA
Programming_06	SATOSHI OHTAKE
DesignDirector	DESIGN DIRECTOR
DesignDirector_00	RIKI FUHRMANN
LeadDesign	LEAD DESIGN
LeadDesign_00	NATSUKI TSUJI
MotifDesign	MOTIF DESIGN
MotifDesign_00	KOUICHI NODA
MotifModeling	MOTIF MODELING
MotifModeling_00	SACHIE MIKUNI
MotifModeling_01	TOMOMI ISHII
MotifModeling_02	KATSU MIDORIKAWA
CharacterItemDesign	CHARACTER/ITEM DESIGN
CharacterItemDesign_00	SHINGO KABAYA
CharacterItemDesign_01	YUSUKE ISHIKAWA
CharacterModeling	CHARACTER MODELING
CharacterModeling_00	YOUSUKE UCHINO
ItemModeling	ITEM MODELING
ItemModeling_00	HARUKA HIROTA
EffectDesign	EFFECT DESIGN
EffectDesign_00	MUNEYUKI TEJIMA
Animation	ANIMATION
Animation_00	YUUSUKE MORINO
UIDesignDirector	UI DESIGN DIRECTOR
UIDesignDirector_00	YUKARI KEMMOCHI
UIDesign	UI DESIGN
UIDesign_00	IKUMI MARUYAMA
UIDesign_01	YOSHIKI YAMADA
UIDesign_02	YUJI OSHIMOTO
UIDesign_03	YURI KOBAYASHI
Sound	SOUND
Sound_00	KIYOSHI HAZEMOTO
Sound_01	HIROKAZU ANDO
Sound_02	YUKI SHIMOOKA
Sound_03	 
Sound_04	JUN ISHIKAWA
VoiceActor	VOICE
VoiceActor_00	MAKIKO OHMOTO
VoiceActor_01	 
VoiceActor_02	RYOKA YUZUKI
VoiceActor_03	RIE TAKAHASHI
VoiceActor_04	REINA UEDA
TeamSupport	TEAM SUPPORT
TeamSupport_00	YOSHIMI TAKAHASHI
TeamSupport_01	KATSUHIRO SAKODA
TeamSupport_02	SHIGERU HASHIGUCHI
TeamSupport_03	SHIGERU HIRAYAMA
TechnicalSupport	TECHNICAL SUPPORT
TechnicalSupport_00	TETSUYA NOGE
TechnicalSupport_01	SHUN YASAKA
TechnicalSupport_02	KOICHIRO HIRANO
TechnicalSupport_03	MITSUO IWAMOTO
ArtWork	ARTWORK
ArtWork_00	YUTO IBARAKI
ArtWork_01	TOMOMI OZAKI
ArtWork_02	EMI IMAMURA
Testing	TESTING
Testing_00	YUTA WADA
Testing_01	MASARU KOBAYASHI
Testing_02	DAISUKE FUJITA
Testing_03	DAIKI MORIYAMA
Testing_04	MAKI YOSHITAKE
Testing_05	AIHO KUBO
Testing_06	YUICHI SHIMODA
Testing_07	KEISUKE KANEKO
Testing_08	HAL DEBUG TEAM
Testing_09	DIGITAL HEARTS Co., Ltd.
Testing_10	Mario Club Co., Ltd.
LocalizationManagement	LOCALIZATION MANAGEMENT
LocalizationManagement_00	SEIJI OTOGURO
LocalizationManagement_01	TETSUYA ABE
NOALocalizationManagement	NOA LOCALIZATION MANAGEMENT
NOALocalizationManagement_00	NATE BIHLDORFF
NOALocalizationManagement_01	REIKO NINOMIYA
NOALocalizationManagement_02	RICH AMTOWER
NOALocalizationManagement_03	ANN LIN
NOALocalizationManagement_04	TIM O'LEARY
NOALocalizationManagement_05	SCOT RITCHEY
NOALocalizationManagement_06	ÁLEX ZARZA
NOALocalization	NOA LOCALIZATION
NOALocalization_00	LAUREN AMMERMAN
NOALocalization_01	ANA CELESTE ASCANIO
NOALocalization_02	RHIONA DEY
NOALocalization_03	MARJOLAINE DROUIN
NOALocalization_04	STEVEN GRIMM
NOALocalization_05	PALOMA HERNANDEZ
NOALocalization_06	SARA HOAD
NOALocalization_07	JOSÉE LEBEAU-BÉDARD
NOALocalization_08	NICH MARAGOS
NOALocalization_09	KENTO OIWA
NOALocalization_10	FANNIE SENÉCAL
NOALocalization_11	LUDOVIC TIENTCHEU
NOALocalization_12	MARCIA TOLEDO
NOALocalization_13	YANETT CEPEDA VALOR
NOALocalization_14	TARYN ZIEGLER
NOAProductTesting	NOA PRODUCT TESTING
NOAProductTesting_00	KENTARO NISHIMURA
NOAProductTesting_01	KIRK BUCHANAN
NOAProductTesting_02	TOMO ISHIYAMA
NOAProductTesting_03	SEAN EGAN
NOAProductTesting_04	TOMOKO MIKAMI
NOAProductTesting_05	ANDY KOLDEN
NOAProductTesting_06	JIM HOLDEMAN
NOAProductTesting_07	MANNA YAMASAKI
NOAProductTesting_08	MADISON LEVITAN
NOAProductTesting_09	DANNY MORRIS
NOAProductTesting_10	DAVID FIGLAR
NOAProductTesting_11	MICHAEL SAHLIN
NOAProductTesting_12	JAMES DILLON
NOAProductTesting_13	JOSH YAGI-STANTON
NOAProductTesting_14	MAIRO SMALL
NOAProductTesting_15	FRANK CARAAN
NOAProductTesting_16	RILEY SCOTT
NOAProductTesting_17	JACOB JORGENSEN
NOAProductTesting_18	CRAIG SO
NOAProductTesting_19	PRODUCT TESTING TECHNICIANS
NOELocalizationProducers	NOE LOCALISATION PRODUCERS
NOELocalizationProducers_00	LIAM HIGGINS
NOELocalizationProducers_01	DARIO DE LEO
NOETranslation	NOE TRANSLATION
NOETranslation_00	ROBY LIEBETRUTH
NOETranslation_01	DANIELLE JORGENSON-MURRAY
NOETranslation_02	EREN BAYKAL
NOETranslation_03	FLORENCE D'ANTERROCHES
NOETranslation_04	ZADIA MESSERLI
NOETranslation_05	JEAN-PAUL HAUSMANN
NOETranslation_06	MIRKO CAPOCELLI
NOETranslation_07	BARBARA PISANI
NOETranslation_08	FRITHJOF KOEPP
NOETranslation_09	MARTINA DEIMEL
NOETranslation_10	ALEXANDER VAN DE BERGH
NOETranslation_11	AINHOA BERNAD HURTADO
NOETranslation_12	JOSÉ MANUEL MALAGÓN LEÓN
NOETranslation_13	JÓNATAN MARCOS MILLÁN
NOETranslation_14	BLANCA HUESO TAULÉS
NOETranslation_15	PATRICK KOUDSTAAL
NOETranslation_16	CHRISTIAN BUTER
NOETranslation_17	CARSTEN HARMANS
NOEQualityAssurance	NOE QUALITY ASSURANCE
NOEQualityAssurance_00	ÁNGEL MORENO COLMENA
NOEQualityAssurance_01	PTW INTERNATIONAL UK
NOKTranslation	NOK TRANSLATION
NOKTranslation_00	JIHYUEN YOO
NOKQualityAssurance	NOK QUALITY ASSURANCE
NOKQualityAssurance_00	JEEWAN CHUN
NOKArtwork	NOK ARTWORK
NOKArtwork_00	SUZY DO
NHLTranslation	NHL TRANSLATION
NHLTranslation_00	SEAN SHEN
NHLTranslation_01	TRACY CHENG
NHLTranslation_02	WANG ZHONG LONG
NHLQualityAssurance	NHL QUALITY ASSURANCE
NHLQualityAssurance_00	DIGITAL HEARTS Co., Ltd.
NHLArtwork	NHL ARTWORK
NHLArtwork_00	MIKE KAN
iQueLocalizationCoordination	iQue LOCALIZATION COORDINATION
iQueLocalizationCoordination_00	KEISUKE FUKUSHIMA
iQueTranslation	iQue TRANSLATION
iQueTranslation_00	QIU XIAOCHUN
iQueQualityAssurance	iQue QUALITY ASSURANCE
iQueQualityAssurance_00	YAN GANG
SpecialThanks	SPECIAL THANKS
SpecialThanks_00	HIROKI AZUMADA
SpecialThanks_01	YASUO TAKAGI
SpecialThanks_02	YOSHIHIRO NAGATA
SpecialThanks_03	AYAKA SENO
SpecialThanks_04	HIROAKI NAKANO
SpecialThanks_05	TAKASHI NOZUE
SpecialThanks_06	YUKI ENDO
SpecialThanks_07	TATSUYA KAMIYAMA
SpecialThanks_08	KENICHIRO KITA
SpecialThanks_09	MITSUYA NAITO
SpecialThanks_10	AKIMITSU USHIKOSHI
SpecialThanks_11	MEGUMI MIYAZAWA
SpecialThanks_12	AKIRA OZAWA
SpecialThanks_13	TOSHIKI OZAWA
SpecialThanks_14	YOUKO KOSUGI
SpecialThanks_15	MAKO ASAKAWA
SpecialThanks_16	TOMOHIRO MINEMURA
SpecialThanks_17	AKIRA EGUCHI
SpecialThanks_18	YUMI OSADA
SpecialThanks_19	RIEKO KAWAHARA
SpecialThanks_20	MASAYO NAKAGAMI
SpecialThanks_21	YUKI YADA
SpecialThanks_22	YURINA INOUE
SpecialThanks_23	SUMIKO BESSHO
SpecialThanks_24	CHIEKO OBIKANE
SpecialThanks_25	SATOSHI ISHIDA
SpecialThanks_26	HARUKA ABE
SpecialThanks_27	HIROAKI IKARASHI
SpecialThanks_28	JEFF MILLER
SpecialThanks_29	Good-Feel Co., Ltd.
Coordinators	COORDINATORS
Coordinators_00	KENTA NAKANISHI
Coordinators_01	KEI NINOMIYA
ProjectManagement	PROJECT MANAGEMENT
ProjectManagement_00	YOSHIKI SUZUKI
ProjectManagement_01	ISAO TAKAHASHI
ProjectManagement_02	TATSUYA KIKUCHI
Producer	PRODUCERS
Producer_00	TADASHI KAMITAKE
Producer_01	JUN TSUDA
Producer_02	TOYOKAZU NONAKA
Producer_03	AKIRA KINASHI
GeneralProducer	GENERAL PRODUCERS
GeneralProducer_00	SHIGEFUMI KAWASE
GeneralProducer_01	SHINYA TAKAHASHI
GeneralProducer_02	KATSUYA EGUCHI
ExecutiveProducer	EXECUTIVE PRODUCER
ExecutiveProducer_00	SHUNTARO FURUKAWA
Copyright	HAL Laboratory, Inc. and Nintendo are\nthe authors of this software for the purpose\nof copyright. All rights reserved.\n©2020 HAL Laboratory, Inc. / Nintendo
EnemyCut.msbt
StageChangeTitle01	Speedy Stage
StageChangeInfo01	All allies and enemies\nmove at {c[ffe614]}double speed{c[000000]}!
StageChangeTitle02	Double-Score Stage
StageChangeInfo02	Victory is rewarded\nwith a {c[ffe614]}double score{c[000000]}!
StageChangeTitle03	Hustle Stage
StageChangeInfo03	Seconds left: {c[ffe614]}\x0e\x02\x01\0!\n{c[000000]}Fight quickly!
StageChangeTitle04	Ice Container Stage
StageChangeInfo04	The only items here\nare {c[ffe614]}Ice Containers!{c[000000]}
StageChangeTitle05	Deadly Hazard Stage
StageChangeInfo05	The {c[ffe614]}hazards {c[000000]}here do\n{c[ffe614]}double {c[000000]}damage!
StageChangeTitle06	Brutal-Foe Stage
StageChangeInfo06	{c[ffe614]}Enemy attacks{c[000000]} are\nincredibly powerful!
StageChangeTitle09	Gordo Ball Stage
StageChangeInfo09	The only items here\nare {c[ffe614]}Gordo Balls{c[000000]}!
StageChangeTitle10	Speedy-Mech Stage
