AchieveList.msbt
AchieveListCategoriesHeroKirby	能力
AchieveListNameGearFighterRare2	戈力牙斯头
AchieveListNameGearBombRare1	心心炸弹帽
AchieveListNameGearBombRare2	海盗帽
AchieveListNameGearSniperRare1	猎手帽子
AchieveListNameGearSniperRare2	科技帽子
AchieveListNameGearBeetleRare1	盔角虫头
AchieveListNameGearBeetleRare2	九头蛇头
AchieveListNameGearBellRare1	钓钟
AchieveListNameGearBellRare2	圣诞铜铃
AchieveListNameGearArtistRare1	彩绘比比提安造型
AchieveListNameGearArtistRare2	艾莉妮黏土造型
AchieveListNameGearWrestlerRare1	横纲发髻
AchieveListNameGearWrestlerRare2	咆哮面罩
AchieveListNameGearYoyoRare1	街头针织帽
AchieveListNameGearYoyoRare2	东方冠帽
AchieveListNameGearStickRare1	风语卷发
AchieveListNameGearStickRare2	啦啦队造型
AchieveListNameGearStickRare3	雷枪帕噜提扎努造型
AchieveListNameGearWaterRare1	金鱼缸
AchieveListNameGearWaterRare2	水溅鲸
AchieveListCategoriesStage	关卡
AchieveListNameStageCastleLololo	箩箩箩城堡
AchieveListNameStageBubblyClouds	泡泡云层
AchieveListNameStageForestCoo	空之森林
AchieveListNameStageDededeRing	帝帝帝擂台
AchieveListNameStageFactory	工厂参观
AchieveListNameStageBoyoyonHand	弹力手关卡
AchieveListNameStageDynaBlade	巨大锋翼鸟的巢
AchieveListNameStageButterBuilding	奶油建筑物
AchieveListNameStageVolcano	哈鲁德拉博火山
AchieveListNameStageRainbowResort	梦之泉
AchieveListNameStageRunawayTrain	瓦豆鲁迪火车
AchieveListNameStageGreenGreeting	绿庭旅途
AchieveListNameStageJambastion	暗黑要塞邪魔哈鲁达前
AchieveListNameStageSummit	天空
AchieveListNameStageGigavolt	铁巨兵钜甲螺丝
AchieveListNameStageGigantGround	枯竭的海
AchieveListNameStageGourmetRace	激烈冲突！美食比赛
AchieveListNameStageDededeTower	宿命的对手们房间
AchieveListNameStageDededeTower2	贯彻天空的牵绊房间
AchieveListNameStagePractice	训练
AchieveListCategoriesSubBgm	秘曲
AchieveListNameSubBgm_001	“箩箩箩城堡”秘曲
AchieveListNameSubBgm_002	“泡泡云层”秘曲
AchieveListNameSubBgm_003	“空之森林”秘曲
AchieveListNameSubBgm_004	“帝帝帝擂台”秘曲
AchieveListNameSubBgm_005	“工厂参观”秘曲
AchieveListNameSubBgm_006	“弹力手关卡”秘曲
AchieveListNameSubBgm_007	“巨大锋翼鸟的巢”秘曲
AchieveListNameSubBgm_008	“奶油建筑物”秘曲
AchieveListNameSubBgm_009	“哈鲁德拉博火山”秘曲
AchieveListNameSubBgm_010	“梦之泉”秘曲
AchieveListNameSubBgm_011	“瓦豆鲁迪火车”秘曲
AchieveListNameSubBgm_012	“绿庭旅途”秘曲
AchieveListNameSubBgm_013	“暗黑要塞邪魔哈鲁达前”秘曲
AchieveListNameSubBgm_014	“天空”秘曲
AchieveListNameSubBgm_015	“铁巨兵钜甲螺丝”秘曲
AchieveListNameSubBgm_016	“枯竭的海”秘曲
AchieveListNameSubBgm_017	“激烈冲突！美食比赛”秘曲
AchieveListNameSubBgm_018	“宿命的对手们房间”秘曲
AchieveListNameSubBgm_019	“贯彻天空的牵绊房间”秘曲
AchieveListNameSubBgm_020	“训练”秘曲
AchieveListCategoriesRogueItem	故事道具
AchieveListNameRogueItem000	M番茄
AchieveListNameRogueItem001	元气饮料
AchieveListNameRogueItem002	樱桃
AchieveListNameRogueItem003	攻击石 Lv1
AchieveListNameRogueItem004	攻击石 Lv2
AchieveListNameRogueItem005	攻击石 Lv3
AchieveListNameRogueItem006	攻击石 Lv4
AchieveListNameRogueItem007	攻击石 Lv5 咒
AchieveListNameRogueItem008	体力石 Lv1
AchieveListNameRogueItem009	体力石 Lv2
AchieveListNameRogueItem010	体力石 Lv3
AchieveListNameRogueItem011	体力石 Lv4
AchieveListNameRogueItem012	体力石 Lv5 咒
AchieveListNameRogueItem018	回复石 Lv1
AchieveListNameRogueItem019	回复石 Lv2
AchieveListNameRogueItem020	回复石 Lv3
AchieveListNameRogueItem021	回复石 Lv4
AchieveListNameRogueItem022	回复石 Lv5 咒
AchieveListNameRogueItem023	搭档聪明提升
AchieveListNameRogueItem034	幽灵强化石 Lv1
AchieveListNameRogueItem035	幽灵强化石 Lv2
AchieveListNameRogueItem036	幽灵强化石 Lv3
AchieveListNameRogueItem037	幽灵强化石 Lv4
AchieveListNameRogueItem038	幽灵强化石 Lv5 咒
AchieveListNameRogueItem039	高速蓄力石 Lv1
AchieveListNameRogueItem040	高速蓄力石 Lv2
AchieveListNameRogueItem041	高速蓄力石 Lv3
AchieveListNameRogueItem042	高速蓄力石 Lv4
AchieveListNameRogueItem043	高速蓄力石 Lv5 咒
AchieveListNameRogueItem044	头巾瓦豆鲁迪杀手徽章
AchieveListNameRogueItem045	蛊依杀手徽章
AchieveListNameRogueItem046	魔法洛亚杀手徽章
AchieveListNameRogueItem047	魔王杀手徽章
AchieveListNameRogueItem048	薄荷叶强化贴纸
AchieveListNameRogueItem049	麦克风伤害的守护
AchieveListNameRogueItem050	炮台强化贴纸
AchieveListNameRogueItem051	爆炸道具强化贴纸
AchieveListNameRogueItem052	时间奖励贴纸
AchieveListNameRogueItem053	自动回复贴纸
AchieveListNameRogueItem054	自动防御提升 Lv1
AchieveListNameRogueItem055	自动防御提升 Lv2
AchieveListNameRogueItem056	地形伤害的守护
AchieveListNameRogueItem057	爆炸伤害的守护
AchieveListNameRogueItem059	黑刺球伤害的守护
AchieveListNameRogueItem060	电气武器强化贴纸
AchieveListNameRogueItem061	冰冻保存容器破坏贴纸
AchieveListNameRogueItem062	啦啦彩球高速贴纸
AchieveListNameRogueItem063	分数提升贴纸
AchieveListNameRogueItem064	道具选择+1
AchieveListNameRogueItem065	诅咒之环·自动回复
AchieveListNameRogueItem066	诅咒之环·攻击提升
AchieveListNameRogueItem067	诅咒之环·无幽灵化
AchieveListNameRogueItem069	分数提升·青铜
AchieveListNameRogueItem070	分数提升·白银
AchieveListNameRogueItem071	分数提升·黄金
Rank	\x0e\x02\x02\0
Unknown	？？？
Notice_Conceal	在斗士级别\x0e\x02\x02\0\n开放！
ConcealByExceptRank	在？？？开放！
Caption	奖励列表
OperationBack	\x0e\x04\x06\x022\0返回
Cmn.msbt
DialogButtonYes	是
DialogButtonNo	否
DialogButtonOk	OK
DialogButtonNext	下一个
ProgressSaving	正在保存……
ProgressAccessing	正在联机……
LifeBarBoss_ShadowKirby	暗影卡比
LifeBarBoss_TwinWoods	双重大树
LifeBarBoss_DoubleEdge	双刃
LifeBarBoss_DededeAndMetaknight	帝帝帝大王&魅塔骑士
LifeBarBoss_DededeAndMetaknightMasked	下弦的蒙面·D&上弦的蒙面·M
TimeDisplay	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
TimeDisplayMatching	\x0e\x02\x02\0:\x0e\x02\x02\0
HeroPanelAnotherNameKirby	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
HeroPanelAnotherNameOther	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
AbilityWhip	鞭子
AbilityCutter	弯刀
AbilitySword	利剑
AbilityNinja	忍者
AbilityParasol	阳伞
AbilityHammer	锤子
AbilityBeam	光束
AbilityFighter	格斗家
AbilityBomb	炸弹
AbilitySniper	狙击手
AbilityBeetle	独角仙
AbilityBell	铜铃
AbilityArtist	艺术家
AbilityWrestler	蒙面摔角手
AbilityYoyo	溜溜球
AbilityStick	如意棒
AbilityWater	清水
AbilityMetaknight	魅塔骑士
AbilityKingDedede	帝帝帝大王
AbilityBandanaWaddledee	头巾瓦豆鲁迪
AbilityGooey	蛊依
AbilityMahoroa	魔法洛亚
NpcName_02	新手的
NpcName_03	冒失的
NpcName_04	新来的
NpcName_05	安稳的
NpcName_06	新进的
NpcName_07	伶俐的
NpcName_09	初出茅庐的
NpcName_10	随处可见的
NpcName_11	糊涂的
NpcName_12	喋喋不休的
NpcName_13	帅气的
NpcName_14	平静的
NpcName_19	浪漫主义的
NpcName_20	肚子饿了的
NpcName_22	不顾一切的
NpcName_23	半吊子的
NpcName_24	莽撞的
NpcName_25	贪吃的
NpcName_27	噗噗噗的
NpcName_28	春风的
NpcName_30	不服输的
NpcName_31	青春期的
NpcName_33	流浪的
NpcName_34	自恋的
NpcName_35	公正的
NpcName_36	冷酷的
NpcName_37	老好人的
NpcName_38	时髦的
NpcName_39	认真的
NpcName_40	不多话的
NpcName_41	心胸广阔的
NpcName_43	得意忘形的
NpcName_44	悠哉的
NpcName_45	彬彬有礼的
NpcName_46	纤细的
NpcName_47	优雅的
NpcName_48	梦想的
NpcName_49	享受的
NpcName_50	有力的
NpcName_52	有本事的
NpcName_53	黄昏的
NpcName_54	华丽的
NpcName_55	干劲全开的
NpcName_56	刹那的
NpcName_57	愤怒的
NpcName_59	非凡的
NpcName_60	棘手的
NpcName_61	唱功一流的
NpcName_62	菁英的
NpcName_63	忍耐力强的
NpcName_64	老练的
NpcName_65	状态上升的
NpcName_67	野性的
NpcName_68	热情如火的
NpcName_69	无懈可击的
NpcName_70	强硬的
NpcName_71	强力的
NpcName_73	专业的
NpcName_74	非比寻常的
NpcName_75	彷徨的
NpcName_76	回归的
NpcName_77	鲜明的
NpcName_78	熊熊燃烧的
NpcName_79	星星的
NpcName_80	恐怖的
NpcName_81	呼风唤雨的
NpcName_82	稀少的
NpcName_83	无情的
NpcName_85	热情的
NpcName_86	穿越时空的
NpcName_87	破天荒的
NpcName_88	传说的
NpcName_89	身经百战的
NpcName_90	招致毁灭的
NpcName_91	无惧的
NpcName_92	破坏王
NpcName_93	神乎其技的
NpcName_94	压倒性的
NpcName_95	复苏的
NpcName_96	惊奇的
NpcName_97	抹煞一切的
NpcName_98	穷极的
NpcName_99	难以攻陷的
NpcName_100	谜团的
NpcName_101	富有代表性的
NpcName_102	究极的
NpcName_103	超级豪华的
NpcName_104	统治星星的
NpcName_105	统领银河的
NpcName_106	押上灵魂的
NpcName_107	渊源的
NpcName_108	遥远闪耀光辉的
NpcName_109	复仇的
NpcName_110	炙热友情的
NpcName_111	元气的
NpcName_112	雨后的
NpcName_113	年轻的
NpcName_114	孩子气的
NpcName_115	柔嫩嫩的
NpcName_116	可爱的
NpcName_117	软绵绵的
NpcName_118	神清气爽的
NpcName_119	疾风的
NpcName_120	充满温柔的
NpcName_121	美食家的
NpcName_122	正直的
NpcName_123	笑容可掬的
NpcName_124	洞察的
NpcName_125	全神贯注的
NpcName_126	发育期的
NpcName_127	尽力而为的
NpcName_128	历史的
NpcName_129	太棒的
NpcName_130	天空的
NpcName_131	旅游的
NpcName_132	绅士的
NpcName_133	千锤百炼的
NpcName_134	绝世独立的
NpcName_135	假话的
NpcName_136	危险的
NpcName_137	遥远的
NpcName_138	十亿吨的
NpcName_139	蝴蝶飞舞般的
NpcName_140	同盟的
NpcName_141	大师的
NpcName_142	充满灵魂的
NpcName_143	彩虹的
NpcName_144	英雄的
RankupGauge_GaugeName	斗士级别
RankupGaugeSmall_GaugeName	斗士级别
RankupGauge_RankPointCurrent	\x0e\x02\x02\0{s[080]}/\x0e\x02\x02\0{s[100]}
RankupGaugeSmall_RankPointCurrent	\x0e\x02\x01\0{s[085]}/\x0e\x02\x01\0{s[100]}
RankupGauge_RankPointCurrentMax	MAX!
RankupGaugeSmall_RankPointCurrentMax	MAX!
KiloSeparator	,
DecimalSeparator	.
SingleGameOverDialogBody	要再挑战一次吗？\n（放弃的话，会从{c[ff8c00]}最初{c[000000]}重新开始。）
SingleGameOverDialogButtonGiveup	放弃
SingleGameOverDialogButtonContinue	挑战！
RogueGameOverDialogBody	要再{c[ff8c00]}挑战{c[000000]}一次吗？\n（即使退出，也可以从{c[ff8c00]}“中途保存”{c[000000]}开始\n继续玩。）
RogueGameOverDialogButtonGiveup	退出
RogueGameOverDialogButtonContinue	挑战！
RogueGameOverRemainsDialogBody	还可以挑战{c[ff8c00]}\x0e\x02\x01\0次{c[000000]}。
Net_ConnectionCutError	{c[ff8c00]}连接{c[000000]}已中断。\n请勿主动中断联机。\n请先确认您的{c[ff8c00]}网络连接环境{c[000000]}后，\n再次尝试。
Net_ConnectionCutErrorMild	{c[ff8c00]}连接{c[000000]}已中断。\n请先确认您的{c[ff8c00]}网络连接环境{c[000000]}后，\n再次尝试。
Net_ConnectionlossError	由于连接发生异常，\n游戏已中途结束。
Net_ConnectionError	发生连接错误。
Net_PenaltyWarning	上次进行线上游戏时发生了{c[ff8c00]}连接中断{c[000000]}，\n此状况若持续发生，\n将可能导致暂时{c[ff8c00]}无法进行线上游戏{c[000000]}。\n请先确认您的网络连接环境。
Net_PenaltyExecution	由于上次进行线上游戏时\n{c[ff8c00]}连接中断{c[000000]}，因此在一定时间内\n无法进行线上游戏。\n预计还有约\x0e\x02\x02\0:\x0e\x02\x02\0才能连接。
Net_CreateSessionError	建立团队失败。
Net_JoinSessionError	无法参加团队。\n该团队可能人数已满，\n或是已经开始对战。
Net_VerificationDisconectSession	要退出游戏，\n{c[ff8c00]}解散团队{c[000000]}吗？
Net_VerificationBackToBattleType	要返回\n{c[ff8c00]}对战类型选择画面{c[000000]}吗？
Net_SessionLossError	团队已{c[ff8c00]}解散{c[000000]}。
Net_AutoSessionError	配对失败。
Net_MatchingTimeOutError	对战所需人数不足。\n请重新再选择一次角色。
TextSkip	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 跳过
CreateFile	正在创建{c[ff4600]}保存数据{c[000000]}，\n请稍等片刻。
CreateFileSuccess	已成功创建{c[ff4600]}保存数据{c[000000]}。
RepairData	{c[ff4600]}保存数据{c[000000]}已损坏。\n正在删除并重新创建，\n请稍等片刻。
ErrorOccured	发生{c[ff4600]}错误{c[000000]}。
PlayerNum2	来宾1
PlayerNum3	来宾2
PlayerNum4	来宾3
ComputerNum1	CP1
ComputerNum2	CP2
ComputerNum3	CP3
ComputerNum4	CP4
FriendOnlyOne	搭档
UserName	\x0e\x02\n\0
ControllersCountNotify	{c[ff8c00]}手柄{c[000000]}已断开。\n要返回之前的画面吗？
CompleteBody.msbt
Clear	过关
Congratulation	CONGRATULATIONS!
Credit.msbt
Staff	STAFF
GeneralDirector	GENERAL DIRECTOR
GeneralDirector_00	SHINYA KUMAZAKI
Director	DIRECTORS
Director_00	TADASHI KAWAI
Director_01	YUMI TODO
Director_02	JUN TANIGUCHI
LeadBattleDesign	LEAD BATTLE DESIGN
LeadBattleDesign_00	YUKI WATANABE
BattleDesign	BATTLE DESIGN
BattleDesign_00	TAKEHIKO KUBOKAWA
BattleDesign_01	TATSURO KUSANO
UIPlanning	UI PLANNING
UIPlanning_00	JIDEOCK KIM
UIPlanning_01	KAZUNORI MORISAWA
ProgramDirector	PROGRAMMING DIRECTOR
ProgramDirector_00	HIROSHI OHNISHI
LeadProgramming	LEAD PROGRAMMING
LeadProgramming_00	YOHEI FUKUDA
Programming	PROGRAMMING
Programming_00	TAKAYA NAKAMURA
Programming_01	TOMOHIRO OBAYASHI
Programming_02	YUYA YAMATE
Programming_03	ETSUMA ODA
Programming_04	HIROKAZU KOBAYASHI
Programming_05	KOUJI KIKKAWA
Programming_06	SATOSHI OHTAKE
DesignDirector	DESIGN DIRECTOR
DesignDirector_00	RIKI FUHRMANN
LeadDesign	LEAD DESIGN
LeadDesign_00	NATSUKI TSUJI
MotifDesign	MOTIF DESIGN
MotifDesign_00	KOUICHI NODA
MotifModeling	MOTIF MODELING
MotifModeling_00	SACHIE MIKUNI
MotifModeling_01	TOMOMI ISHII
MotifModeling_02	KATSU MIDORIKAWA
CharacterItemDesign	CHARACTER/ITEM DESIGN
CharacterItemDesign_00	SHINGO KABAYA
CharacterItemDesign_01	YUSUKE ISHIKAWA
CharacterModeling	CHARACTER MODELING
CharacterModeling_00	YOUSUKE UCHINO
ItemModeling	ITEM MODELING
ItemModeling_00	HARUKA HIROTA
EffectDesign	EFFECT DESIGN
EffectDesign_00	MUNEYUKI TEJIMA
Animation	ANIMATION
Animation_00	YUUSUKE MORINO
UIDesignDirector	UI DESIGN DIRECTOR
UIDesignDirector_00	YUKARI KEMMOCHI
UIDesign	UI DESIGN
UIDesign_00	IKUMI MARUYAMA
UIDesign_01	YOSHIKI YAMADA
UIDesign_02	YUJI OSHIMOTO
UIDesign_03	YURI KOBAYASHI
Sound	SOUND
Sound_00	KIYOSHI HAZEMOTO
Sound_01	HIROKAZU ANDO
Sound_02	YUKI SHIMOOKA
Sound_03	 
Sound_04	JUN ISHIKAWA
VoiceActor	VOICE
VoiceActor_00	MAKIKO OHMOTO
VoiceActor_01	 
VoiceActor_02	RYOKA YUZUKI
VoiceActor_03	RIE TAKAHASHI
VoiceActor_04	REINA UEDA
TeamSupport	TEAM SUPPORT
TeamSupport_00	YOSHIMI TAKAHASHI
TeamSupport_01	KATSUHIRO SAKODA
TeamSupport_02	SHIGERU HASHIGUCHI
TeamSupport_03	SHIGERU HIRAYAMA
TechnicalSupport	TECHNICAL SUPPORT
TechnicalSupport_00	TETSUYA NOGE
TechnicalSupport_01	SHUN YASAKA
TechnicalSupport_02	KOICHIRO HIRANO
TechnicalSupport_03	MITSUO IWAMOTO
ArtWork	ARTWORK
ArtWork_00	YUTO IBARAKI
ArtWork_01	TOMOMI OZAKI
ArtWork_02	EMI IMAMURA
Testing	TESTING
Testing_00	YUTA WADA
Testing_01	MASARU KOBAYASHI
Testing_02	DAISUKE FUJITA
Testing_03	DAIKI MORIYAMA
Testing_04	MAKI YOSHITAKE
Testing_05	AIHO KUBO
Testing_06	YUICHI SHIMODA
Testing_07	KEISUKE KANEKO
Testing_08	HAL DEBUG TEAM
Testing_09	DIGITAL HEARTS Co., Ltd.
Testing_10	Mario Club Co., Ltd.
LocalizationManagement	LOCALIZATION MANAGEMENT
LocalizationManagement_00	SEIJI OTOGURO
LocalizationManagement_01	TETSUYA ABE
NOALocalizationManagement	NOA LOCALIZATION MANAGEMENT
NOALocalizationManagement_00	NATE BIHLDORFF
NOALocalizationManagement_01	REIKO NINOMIYA
NOALocalizationManagement_02	RICH AMTOWER
NOALocalizationManagement_03	ANN LIN
NOALocalizationManagement_04	TIM O'LEARY
NOALocalizationManagement_05	SCOT RITCHEY
NOALocalizationManagement_06	ÁLEX ZARZA
NOALocalization	NOA LOCALIZATION
NOALocalization_00	LAUREN AMMERMAN
NOALocalization_01	ANA CELESTE ASCANIO
NOALocalization_02	RHIONA DEY
NOALocalization_03	MARJOLAINE DROUIN
NOALocalization_04	STEVEN GRIMM
NOALocalization_05	PALOMA HERNANDEZ
NOALocalization_06	SARA HOAD
NOALocalization_07	JOSÉE LEBEAU-BÉDARD
NOALocalization_08	NICH MARAGOS
NOALocalization_09	KENTO OIWA
NOALocalization_10	FANNIE SENÉCAL
NOALocalization_11	LUDOVIC TIENTCHEU
NOALocalization_12	MARCIA TOLEDO
NOALocalization_13	YANETT CEPEDA VALOR
NOALocalization_14	TARYN ZIEGLER
NOAProductTesting	NOA PRODUCT TESTING
NOAProductTesting_00	KENTARO NISHIMURA
NOAProductTesting_01	KIRK BUCHANAN
NOAProductTesting_02	TOMO ISHIYAMA
NOAProductTesting_03	SEAN EGAN
NOAProductTesting_04	TOMOKO MIKAMI
NOAProductTesting_05	ANDY KOLDEN
NOAProductTesting_06	JIM HOLDEMAN
NOAProductTesting_07	MANNA YAMASAKI
NOAProductTesting_08	MADISON LEVITAN
NOAProductTesting_09	DANNY MORRIS
NOAProductTesting_10	DAVID FIGLAR
NOAProductTesting_11	MICHAEL SAHLIN
NOAProductTesting_12	JAMES DILLON
NOAProductTesting_13	JOSH YAGI-STANTON
NOAProductTesting_14	MAIRO SMALL
NOAProductTesting_15	FRANK CARAAN
NOAProductTesting_16	RILEY SCOTT
NOAProductTesting_17	JACOB JORGENSEN
NOAProductTesting_18	CRAIG SO
NOAProductTesting_19	PRODUCT TESTING TECHNICIANS
NOELocalizationProducers	NOE LOCALISATION PRODUCERS
NOELocalizationProducers_00	LIAM HIGGINS
NOELocalizationProducers_01	DARIO DE LEO
NOETranslation	NOE TRANSLATION
NOETranslation_00	ROBY LIEBETRUTH
NOETranslation_01	DANIELLE JORGENSON-MURRAY
NOETranslation_02	EREN BAYKAL
NOETranslation_03	FLORENCE D'ANTERROCHES
NOETranslation_04	ZADIA MESSERLI
NOETranslation_05	JEAN-PAUL HAUSMANN
NOETranslation_06	MIRKO CAPOCELLI
NOETranslation_07	BARBARA PISANI
NOETranslation_08	FRITHJOF KOEPP
NOETranslation_09	MARTINA DEIMEL
NOETranslation_10	ALEXANDER VAN DE BERGH
NOETranslation_11	AINHOA BERNAD HURTADO
NOETranslation_12	JOSÉ MANUEL MALAGÓN LEÓN
NOETranslation_13	JÓNATAN MARCOS MILLÁN
NOETranslation_14	BLANCA HUESO TAULÉS
NOETranslation_15	PATRICK KOUDSTAAL
NOETranslation_16	CHRISTIAN BUTER
NOETranslation_17	CARSTEN HARMANS
NOEQualityAssurance	NOE QUALITY ASSURANCE
NOEQualityAssurance_00	ÁNGEL MORENO COLMENA
NOEQualityAssurance_01	PTW INTERNATIONAL UK
NOKTranslation	NOK TRANSLATION
NOKTranslation_00	JIHYUEN YOO
NOKQualityAssurance	NOK QUALITY ASSURANCE
NOKQualityAssurance_00	JEEWAN CHUN
NOKArtwork	NOK ARTWORK
NOKArtwork_00	SUZY DO
NHLTranslation	NHL TRANSLATION
NHLTranslation_00	SEAN SHEN
NHLTranslation_01	TRACY CHENG
NHLTranslation_02	WANG ZHONG LONG
NHLQualityAssurance	NHL QUALITY ASSURANCE
NHLQualityAssurance_00	DIGITAL HEARTS Co., Ltd.
NHLArtwork	NHL ARTWORK
NHLArtwork_00	MIKE KAN
iQueLocalizationCoordination	iQue LOCALIZATION COORDINATION
iQueLocalizationCoordination_00	KEISUKE FUKUSHIMA
iQueTranslation	iQue TRANSLATION
iQueTranslation_00	QIU XIAOCHUN
iQueQualityAssurance	iQue QUALITY ASSURANCE
iQueQualityAssurance_00	YAN GANG
SpecialThanks	SPECIAL THANKS
SpecialThanks_00	HIROKI AZUMADA
SpecialThanks_01	YASUO TAKAGI
SpecialThanks_02	YOSHIHIRO NAGATA
SpecialThanks_03	AYAKA SENO
SpecialThanks_04	HIROAKI NAKANO
SpecialThanks_05	TAKASHI NOZUE
SpecialThanks_06	YUKI ENDO
SpecialThanks_07	TATSUYA KAMIYAMA
SpecialThanks_08	KENICHIRO KITA
SpecialThanks_09	MITSUYA NAITO
SpecialThanks_10	AKIMITSU USHIKOSHI
SpecialThanks_11	MEGUMI MIYAZAWA
SpecialThanks_12	AKIRA OZAWA
SpecialThanks_13	TOSHIKI OZAWA
SpecialThanks_14	YOUKO KOSUGI
SpecialThanks_15	MAKO ASAKAWA
SpecialThanks_16	TOMOHIRO MINEMURA
SpecialThanks_17	AKIRA EGUCHI
SpecialThanks_18	YUMI OSADA
SpecialThanks_19	RIEKO KAWAHARA
SpecialThanks_20	MASAYO NAKAGAMI
SpecialThanks_21	YUKI YADA
SpecialThanks_22	YURINA INOUE
SpecialThanks_23	SUMIKO BESSHO
SpecialThanks_24	CHIEKO OBIKANE
SpecialThanks_25	SATOSHI ISHIDA
SpecialThanks_26	HARUKA ABE
SpecialThanks_27	HIROAKI IKARASHI
SpecialThanks_28	JEFF MILLER
SpecialThanks_29	Good-Feel Co., Ltd.
Coordinators	COORDINATORS
Coordinators_00	KENTA NAKANISHI
Coordinators_01	KEI NINOMIYA
ProjectManagement	PROJECT MANAGEMENT
ProjectManagement_00	YOSHIKI SUZUKI
ProjectManagement_01	ISAO TAKAHASHI
ProjectManagement_02	TATSUYA KIKUCHI
Producer	PRODUCERS
Producer_00	TADASHI KAMITAKE
Producer_01	JUN TSUDA
Producer_02	TOYOKAZU NONAKA
Producer_03	AKIRA KINASHI
GeneralProducer	GENERAL PRODUCERS
GeneralProducer_00	SHIGEFUMI KAWASE
GeneralProducer_01	SHINYA TAKAHASHI
GeneralProducer_02	KATSUYA EGUCHI
ExecutiveProducer	EXECUTIVE PRODUCER
ExecutiveProducer_00	SHUNTARO FURUKAWA
Copyright	HAL Laboratory, Inc. and Nintendo are\nthe authors of this software for the purpose\nof copyright. All rights reserved.\n©2020 HAL Laboratory, Inc. / Nintendo
EnemyCut.msbt
StageChangeTitle01	全员速度提升房间
StageChangeInfo01	敌人·我方全员\n{c[ffe614]}速度是2倍{c[000000]}！
StageChangeTitle02	获得2倍分数房间
StageChangeInfo02	战斗胜利\n获得{c[ffe614]}分数是2倍{c[000000]}！
StageChangeTitle03	限制时间房间
StageChangeInfo03	剩余时间{c[ffe614]}\x0e\x02\x01\0秒{c[000000]}！\n快速打倒敌人！
StageChangeTitle04	冰冻保存容器房间
StageChangeInfo04	出现的道具\n只有{c[ffe614]}冰冻保存容器{c[000000]}！
StageChangeTitle05	地形伤害2倍房间
StageChangeInfo05	受到来自关卡{c[ffe614]}装置{c[000000]}的\n伤害变成{c[ffe614]}2倍{c[000000]}！
StageChangeTitle06	敌人攻击提升房间
StageChangeInfo06	{c[ffe614]}敌人的攻击力{c[000000]}\n大幅度提升！
StageChangeTitle09	黑刺弹房间
StageChangeInfo09	出现的道具\n只有{c[ffe614]}黑刺弹{c[000000]}！
StageChangeTitle10	高速巨型机关房间
StageChangeInfo10	关卡{c[ffe614]}装置{c[000000]}的\n移动{c[ffe614]}速度是2倍{c[000000]}！
StageChangeTitle13	爆炸道具房间
StageChangeInfo13	出现的道具只有\n{c[ffe614]}漫步大炸弹{c[000000]}和{c[ffe614]}定时炸弹{c[000000]}！
StageChangeTitle14	炮台房间
