AchieveList.msbt
AchieveListCategoriesHeroKirby	のうりょく
AchieveListNameStageRainbowResort	{r2[ゆめ]}夢{/r2}の{r2[いずみ]}泉{/r2}
AchieveListNameStageRunawayTrain	ワドルディトレイン
AchieveListNameStageGreenGreeting	グリーングリーティング
AchieveListNameStageJambastion	{r2[あんこく]}暗黒{/r2}ようさいジャマハルダ{r2[まえ]}前{/r2}
AchieveListNameStageSummit	{r2[てんくう]}天空{/r2}
AchieveListNameStageGigavolt	{r2[てつきょへい]}鉄巨兵{/r2}ギガヴォルト
AchieveListNameStageGigantGround	{r2[こかつ]}枯渇{/r2}した{r2[うみ]}海{/r2}
AchieveListNameStageGourmetRace	{r2[げきとつ]}激突{/r2}！グルメレース
AchieveListNameStageDededeTower	{r2[しゅくめい]}宿命{/r2}のライバルの{r2[ま]}間{/r2}
AchieveListNameStageDededeTower2	{r2[てん]}天{/r2}を{r2[つらぬ]}貫{/r2}く{r2[きずな]}絆{/r2}の{r2[ま]}間{/r2}
AchieveListNameStagePractice	トレーニング
AchieveListCategoriesSubBgm	{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_001	「キャッスルロロロ」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_002	「バブリークラウズ」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_003	「クーの{r2[もり]}森{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_004	「デデデリング」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_005	「こうじょうけんがく」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_006	「ボヨヨンハンドステージ」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_007	「ダイナブレイドの{r2[す]}巣{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_008	「バタービルディング」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_009	「ハルドラボ{r2[かざん]}火山{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_010	「{r2[ゆめ]}夢{/r2}の{r2[いずみ]}泉{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_011	「ワドルディトレイン」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_012	「グリーングリーティング」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_013	「{r2[あんこく]}暗黒{/r2}ようさいジャマハルダ{r2[まえ]}前{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_014	「{r2[てんくう]}天空{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_015	「{r2[てつきょへい]}鉄巨兵{/r2}ギガヴォルト」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_016	「{r2[こかつ]}枯渇{/r2}した{r2[うみ]}海{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_017	「{r2[げきとつ]}激突{/r2}！グルメレース」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_018	「{r2[しゅくめい]}宿命{/r2}のライバルの{r2[ま]}間{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_019	「{r2[てん]}天{/r2}を{r2[つらぬ]}貫{/r2}く{r2[きずな]}絆{/r2}の{r2[ま]}間{/r2}」{r2[うらきょく]}裏曲{/r2}
AchieveListNameSubBgm_020	「トレーニング」{r2[うらきょく]}裏曲{/r2}
AchieveListCategoriesRogueItem	ストーリーアイテム
AchieveListNameRogueItem000	マキシムトマト
AchieveListNameRogueItem001	{r2[げんき]}元気{/r2}ドリンク
AchieveListNameRogueItem002	チェリー
AchieveListNameRogueItem003	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
AchieveListNameRogueItem004	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
AchieveListNameRogueItem005	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
AchieveListNameRogueItem006	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
AchieveListNameRogueItem007	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
AchieveListNameRogueItem008	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
AchieveListNameRogueItem009	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
AchieveListNameRogueItem010	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
AchieveListNameRogueItem011	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
AchieveListNameRogueItem012	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
AchieveListNameRogueItem018	かいふくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
AchieveListNameRogueItem019	かいふくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
AchieveListNameRogueItem020	かいふくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
AchieveListNameRogueItem021	かいふくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
AchieveListNameRogueItem022	かいふくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
AchieveListNameRogueItem023	バディかしこさアップ
AchieveListNameRogueItem034	ゴースト{r2[きょうか]}強化{/r2}の{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
AchieveListNameRogueItem035	ゴースト{r2[きょうか]}強化{/r2}の{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
AchieveListNameRogueItem036	ゴースト{r2[きょうか]}強化{/r2}の{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
AchieveListNameRogueItem037	ゴースト{r2[きょうか]}強化{/r2}の{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
AchieveListNameRogueItem038	ゴースト{r2[きょうか]}強化{/r2}の{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
AchieveListNameRogueItem039	{r2[こうそく]}高速{/r2}チャージの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
AchieveListNameRogueItem040	{r2[こうそく]}高速{/r2}チャージの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
AchieveListNameRogueItem041	{r2[こうそく]}高速{/r2}チャージの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
AchieveListNameRogueItem042	{r2[こうそく]}高速{/r2}チャージの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
AchieveListNameRogueItem043	{r2[こうそく]}高速{/r2}チャージの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
AchieveListNameRogueItem044	バンダナワドルディキラーバッジ
AchieveListNameRogueItem045	グーイキラーバッジ
AchieveListNameRogueItem046	マホロアキラーバッジ
AchieveListNameRogueItem047	ボスキラーバッジ
AchieveListNameRogueItem048	さつまいも{r2[きょうか]}強化{/r2}シール
AchieveListNameRogueItem049	マイクダメージのおまもり
AchieveListNameRogueItem050	クラッカー{r2[きょうか]}強化{/r2}シール
AchieveListNameRogueItem051	ばくはつアイテム{r2[きょうか]}強化{/r2}シール
AchieveListNameRogueItem052	タイムボーナスシール
AchieveListNameRogueItem053	じどうかいふくシール
AchieveListNameRogueItem054	オートガードアップ {r2[レベル]}Lv{/r2}1
AchieveListNameRogueItem055	オートガードアップ {r2[レベル]}Lv{/r2}2
AchieveListNameRogueItem056	{r2[ちけい]}地形{/r2}ダメージのおまもり
AchieveListNameRogueItem057	ばくはつダメージのおまもり
AchieveListNameRogueItem059	ゴルドーダメージのおまもり
AchieveListNameRogueItem060	バリッカウェポン{r2[きょうか]}強化{/r2}シール
AchieveListNameRogueItem061	アイスコンテナはかいシール
AchieveListNameRogueItem062	おうえんポンポン{r2[こうそく]}高速{/r2}シール
AchieveListNameRogueItem063	スコアアップシール
AchieveListNameRogueItem064	アイテムセレクトプラス1
AchieveListNameRogueItem065	{r2[のろ]}呪{/r2}いのリング・じどうかいふく
AchieveListNameRogueItem066	{r2[のろ]}呪{/r2}いのリング・こうげきアップ
AchieveListNameRogueItem067	{r2[のろ]}呪{/r2}いのリング・ゴースト{r2[か]}化{/r2}なし
AchieveListNameRogueItem069	スコアアップ・ブロンズ
AchieveListNameRogueItem070	スコアアップ・シルバー
AchieveListNameRogueItem071	スコアアップ・ゴールド
Rank	\x0e\x02\x02\0
Unknown	？？？
Notice_Conceal	ファイターズランク \x0e\x02\x02\0 で\nかいほう される！
ConcealByExceptRank	？？？で かいほう される！
Caption	ごほうびリスト
OperationBack	\x0e\x04\x06\x022\0もどる
Cmn.msbt
DialogButtonYes	はい
DialogButtonNo	いいえ
DialogButtonOk	OK
DialogButtonNext	つぎへ
ProgressSaving	セーブ{r2[ちゅう]}中{/r2}
ProgressAccessing	つうしん{r2[ちゅう]}中{/r2}
LifeBarBoss_ShadowKirby	シャドーカービィ
LifeBarBoss_TwinWoods	ツインウッズ
LifeBarBoss_DoubleEdge	ダブルスエッジ
LifeBarBoss_DededeAndMetaknight	デデデ大王＆メタナイト
LifeBarBoss_DededeAndMetaknightMasked	下弦のマスクド・D ＆ 上弦のマスクド・M
TimeDisplay	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
TimeDisplayMatching	\x0e\x02\x02\0:\x0e\x02\x02\0
HeroPanelAnotherNameKirby	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
HeroPanelAnotherNameOther	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
AbilityWhip	ウィップ
AbilityCutter	カッター
AbilitySword	ソード
AbilityNinja	ニンジャ
AbilityParasol	パラソル
AbilityHammer	ハンマー
AbilityBeam	ビーム
AbilityFighter	ファイター
AbilityBomb	ボム
AbilitySniper	スナイパー
AbilityBeetle	ビートル
AbilityBell	ベル
AbilityArtist	アーティスト
AbilityWrestler	レスラー
AbilityYoyo	ヨーヨー
AbilityStick	スティック
AbilityWater	ウォーター
AbilityMetaknight	メタナイト
AbilityKingDedede	デデデ大王
AbilityBandanaWaddledee	バンダナワドルディ
AbilityGooey	グーイ
AbilityMahoroa	マホロア
NpcName_02	かけだしの
NpcName_03	あわてんぼうの
NpcName_04	ニューカマー
NpcName_05	おだやかな
NpcName_06	フレッシュな
NpcName_07	かわいい
NpcName_09	しょしんしゃの
NpcName_10	ごくふつうの
NpcName_11	おっちょこちょいな
NpcName_12	おしゃべりな
NpcName_13	カッコイイ
NpcName_14	ほんわかした
NpcName_19	ロマンチストな
NpcName_20	おなかがすいた
NpcName_22	がむしゃらな
NpcName_23	はんにんまえの
NpcName_24	むてっぽうな
NpcName_25	くいしんぼうの
NpcName_27	プププな
NpcName_28	はるかぜの
NpcName_30	まけずぎらいの
NpcName_31	ししゅんきの
NpcName_33	さすらいの
NpcName_34	ナルシストな
NpcName_35	しょうじきものの
NpcName_36	クールな
NpcName_37	おひとよしの
NpcName_38	おしゃれな
NpcName_39	まじめな
NpcName_40	むくちな
NpcName_41	こころがひろい
NpcName_43	おちょうしものの
NpcName_44	のんびりした
NpcName_45	れいぎただしい
NpcName_46	シュッとした
NpcName_47	みやびな
NpcName_48	ゆめみる
NpcName_49	たのしげな
NpcName_50	ちからもちの
NpcName_52	キレモノの
NpcName_53	たそがれの
NpcName_54	かれいなる
NpcName_55	やるきぜんかいの
NpcName_56	せつなの
NpcName_57	いかりの
NpcName_59	ひぼんなる
NpcName_60	てごわい
NpcName_61	うたがうまい
NpcName_62	エリートな
NpcName_63	がまんづよい
NpcName_64	ベテランの
NpcName_65	のぼりちょうしの
NpcName_67	やせいの
NpcName_68	あつきこころの
NpcName_69	スキのない
NpcName_70	こわもての
NpcName_71	ちからづよい
NpcName_73	プロの
NpcName_74	ただものではない
NpcName_75	さまよえる
NpcName_76	かえってきた
NpcName_77	あざやかなる
NpcName_78	もえさかる
NpcName_79	ほしの
NpcName_80	おそろしい
NpcName_81	あらしをよぶ
NpcName_82	たぐいまれなる
NpcName_83	なさけしらずの
NpcName_85	じょうねつの
NpcName_86	ときをかける
NpcName_87	はてんこうな
NpcName_88	でんせつの
NpcName_89	れきせんの
NpcName_90	はめつをよぶ
NpcName_91	おそれしらずの
NpcName_92	はかいおう
NpcName_93	かみわざの
NpcName_94	あっとうてきな
NpcName_95	よみがえった
NpcName_96	きょういてきな
NpcName_97	すべてをけしさる
NpcName_98	きゅうきょくの
NpcName_99	なんこうふらくの
NpcName_100	ナゾの
NpcName_101	だいひょうてき
NpcName_102	ウルトラ
NpcName_103	スーパーデラックスな
NpcName_104	ほしをしはいする
NpcName_105	ぎんがをすべる
NpcName_106	たましいをかけた
NpcName_107	えんげんの
NpcName_108	はるかきらめきの
NpcName_109	リベンジ オブ
NpcName_110	あつきゆうじょうの
NpcName_111	げんきな
NpcName_112	あめあがりの
NpcName_113	わかき
NpcName_114	おさなげな
NpcName_115	ぷにぷにした
NpcName_116	キュートな
NpcName_117	もちもちした
NpcName_118	さわやかな
NpcName_119	はやての
NpcName_120	ハートフルな
NpcName_121	グルメな
NpcName_122	しょうじきな
NpcName_123	えがおのにあう
NpcName_124	おみとおしの
NpcName_125	しんけんな
NpcName_126	そだちざかりな
NpcName_127	がんばりやな
NpcName_128	れきしてきな
NpcName_129	ブラボーな
NpcName_130	てんくうの
NpcName_131	たびする
NpcName_132	しんしな
NpcName_133	きたえぬかれた
NpcName_134	ぜっせいどくりつな
NpcName_135	きょげんの
NpcName_136	デンジャラスな
NpcName_137	はるかなる
NpcName_138	ギガトン
NpcName_139	ちょうのようにまう
NpcName_140	アライズな
NpcName_141	マスター
NpcName_142	ソウルフルな
NpcName_143	にじの
NpcName_144	えいゆうの
RankupGauge_GaugeName	ファイターズランク
RankupGaugeSmall_GaugeName	ファイターズランク
RankupGauge_RankPointCurrent	\x0e\x02\x02\0{s[080]}/\x0e\x02\x02\0{s[100]}
RankupGaugeSmall_RankPointCurrent	\x0e\x02\x01\0{s[085]}/\x0e\x02\x01\0{s[100]}
RankupGauge_RankPointCurrentMax	MAX!
RankupGaugeSmall_RankPointCurrentMax	MAX!
KiloSeparator	,
DecimalSeparator	.
SingleGameOverDialogBody	もう1{r2[かい]}回{/r2} チャレンジしますか？\n(あきらめると {c[ff8c00]}さいしょ{c[000000]}から\nスタートします)
SingleGameOverDialogButtonGiveup	あきらめる
SingleGameOverDialogButtonContinue	チャレンジする！
RogueGameOverDialogBody	もう1{r2[かい]}回{/r2} {c[ff8c00]}チャレンジ {c[000000]}しますか？\n(やめても {c[ff8c00]}「とちゅうセーブ」 {c[000000]}から\nつづきを あそぶことが できます)
RogueGameOverDialogButtonGiveup	やめる
RogueGameOverDialogButtonContinue	チャレンジする！
RogueGameOverRemainsDialogBody	{c[ff8c00]}あと\x0e\x02\x01\0{r2[かい]}回{/r2} {c[000000]}チャレンジ できます。
Net_ConnectionCutError	{c[ff8c00]}{r2[つうしんせつぞく]}通信接続{/r2}{c[000000]}が {r2[き]}切{/r2}れました。\n{r2[せつだん]}切断{/r2}は しないでください。\n{c[ff8c00]}{r2[つうしんかんきょう]}通信環境{/r2}{c[000000]}を ご{r2[かくにん]}確認{/r2}の{r2[うえ]}上{/r2}\nもう{r2[いちど]}一度{/r2} お{r2[ため]}試{/r2}し ください。
Net_ConnectionCutErrorMild	{c[ff8c00]}{r2[つうしんせつぞく]}通信接続{/r2}{c[000000]}が {r2[き]}切{/r2}れました。\n{c[ff8c00]}{r2[つうしんかんきょう]}通信環境{/r2}{c[000000]}を ご{r2[かくにん]}確認{/r2}の{r2[うえ]}上{/r2}\nもう{r2[いちど]}一度{/r2} お{r2[ため]}試{/r2}し ください。
Net_ConnectionlossError	{r2[つうしん]}通信{/r2}の {r2[ふぐあい]}不具合{/r2}により\nゲームが {r2[とちゅう]}途中{/r2}で {r2[しゅうりょう]}終了{/r2}しました。
Net_ConnectionError	{r2[つうしん]}通信{/r2}エラーが\nはっせい しました。
Net_PenaltyWarning	{r2[ぜんかい]}前回{/r2}の オンラインプレイで {c[ff8c00]}{r2[つうしんせつだん]}通信切断{/r2}{c[000000]}が\n{r2[おこな]}行{/r2}われました。 {r2[なんど]}何度{/r2}も つづくと しばらく\n{c[ff8c00]}オンラインプレイが できなくなる{c[000000]}{r2[ばあい]}場合{/r2}が\nあります。{r2[つうしんかんきょう]}通信環境{/r2}を ご{r2[かくにん]}確認{/r2}ください。
Net_PenaltyExecution	{r2[ぜんかい]}前回{/r2}までの オンラインプレイ{r2[ちゅう]}中{/r2}に\n{c[ff8c00]}{r2[つうしんせつだん]}通信切断{/r2}{c[000000]}が あったため {r2[いっていじかん]}一定時間{/r2}\nオンラインプレイが できなく なりました。\n{r2[せつぞくかのう]}接続可能{/r2}になるまで、およそ \x0e\x02\x02\0:\x0e\x02\x02\0 です。
Net_CreateSessionError	グループの{r2[さくせい]}作成{/r2}に {r2[しっぱい]}失敗{/r2}しました。
Net_JoinSessionError	グループに {r2[さんか]}参加{/r2}することが\nできませんでした。 {r2[にんずう]}人数{/r2}が {r2[まんいん]}満員{/r2}に\nなっていたり、 バトルが {r2[かいし]}開始{/r2}して\nしまった {r2[かのうせい]}可能性{/r2}が あります。
Net_VerificationDisconectSession	ゲームを やめて\nグループを {c[ff8c00]}かいさん {c[000000]}しますか？
Net_VerificationBackToBattleType	{c[ff8c00]}バトルタイプせんたく{r2[がめん]}画面{/r2}{c[000000]}に\nもどりますか？
Net_SessionLossError	グループが {c[ff8c00]}かいさん{c[000000]} されました。
Net_AutoSessionError	マッチングに {r2[しっぱい]}失敗{/r2}しました。
Net_MatchingTimeOutError	バトルに ひつような {r2[にんずう]}人数{/r2}が\nあつまりませんでした。\nもう{r2[いちど]}一度{/r2}、 キャラクターを\nえらびなおして ください。
TextSkip	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 スキップ
CreateFile	{c[ff4600]}セーブデータ{c[000000]}を つくります。\nしばらく おまちください。
CreateFileSuccess	{c[ff4600]}セーブデータ{c[000000]}が できました。
RepairData	{c[ff4600]}セーブデータ{c[000000]}が こわれています。\nさくじょして つくりなおします。\nしばらく おまちください。
ErrorOccured	{c[ff4600]}エラー{c[000000]}が {r2[はっせい]}発生{/r2}しました。
PlayerNum2	ゲスト1
PlayerNum3	ゲスト2
PlayerNum4	ゲスト3
ComputerNum1	CP1
ComputerNum2	CP2
ComputerNum3	CP3
ComputerNum4	CP4
FriendOnlyOne	バディ
UserName	\x0e\x02\n\0
ControllersCountNotify	{c[ff8c00]}コントローラー{c[000000]}が {r2[せつだん]}切断{/r2}されました。\n{r2[まえ]}前{/r2}の {r2[がめん]}画面{/r2}に もどりますか？
CompleteBody.msbt
Clear	クリア
Congratulation	CONGRATULATIONS!
Credit.msbt
Staff	スタッフ
GeneralDirector	ゼネラルディレクター
GeneralDirector_00	{r2[くまざき]}熊崎{/r2} {r2[しんや]}信也{/r2}
Director	ディレクター
Director_00	{r2[かわい]}川合{/r2} {r2[ただし]}匡史{/r2}
Director_01	{r2[とうどう]}東藤{/r2} {r2[ゆみ]}由実{/r2}
Director_02	{r2[たにぐち]}谷口{/r2} {r2[じゅん]}隼{/r2}
LeadBattleDesign	リードバトルデザイン
LeadBattleDesign_00	{r2[わたなべ]}渡邉{/r2} {r2[ゆうき]}祐基{/r2}
BattleDesign	バトルデザイン
BattleDesign_00	{r2[くぼかわ]}久保川{/r2} {r2[たけひこ]}剛彦{/r2}
BattleDesign_01	{r2[くさの]}草野{/r2} {r2[たつろう]}辰朗{/r2}
UIPlanning	UIプランニング
UIPlanning_00	キム チド
UIPlanning_01	{r2[もりさわ]}森澤{/r2} {r2[かずのり]}和則{/r2}
ProgramDirector	プログラムディレクター
ProgramDirector_00	{r2[おおにし]}大西{/r2} {r2[ひろし]}洋{/r2}
LeadProgramming	リードプログラム
LeadProgramming_00	{r2[ふくだ]}福田{/r2} {r2[ようへい]}洋平{/r2}
Programming	プログラム
Programming_00	{r2[なかむら]}中村{/r2} {r2[たかや]}貴也{/r2}
Programming_01	{r2[おおばやし]}大林{/r2} {r2[ともひろ]}智宏{/r2}
Programming_02	{r2[やまて]}山手{/r2} {r2[ゆうや]}裕也{/r2}
Programming_03	{r2[おだ]}尾田{/r2} {r2[えつま]}悦麻{/r2}
Programming_04	{r2[こばやし]}小林{/r2} {r2[ひろかず]}寛和{/r2}
Programming_05	{r2[きっかわ]}吉川{/r2} {r2[こうじ]}康治{/r2}
Programming_06	{r2[おおたけ]}大竹{/r2} {r2[さとし]}智{/r2}
DesignDirector	デザインディレクター
DesignDirector_00	ファーマン {r2[りき]}力{/r2}
LeadDesign	リードデザイン
LeadDesign_00	{r2[つじ]}辻{/r2} なつき
MotifDesign	モチーフデザイン
MotifDesign_00	{r2[のだ]}野田{/r2} {r2[こういち]}弘一{/r2}
MotifModeling	モチーフモデリング
MotifModeling_00	{r2[みくに]}三國{/r2} {r2[さちえ]}幸恵{/r2}
MotifModeling_01	{r2[いしい]}石井{/r2} {r2[ともみ]}知見{/r2}
MotifModeling_02	{r2[みどりかわ]}緑川{/r2} {r2[かつ]}克{/r2}
CharacterItemDesign	キャラクター／アイテムデザイン
CharacterItemDesign_00	{r2[かばや]}蒲谷{/r2} {r2[しんご]}伸吾{/r2}
CharacterItemDesign_01	{r2[いしかわ]}石川{/r2} {r2[ゆうすけ]}祐介{/r2}
CharacterModeling	キャラクターモデリング
CharacterModeling_00	{r2[うちの]}内野{/r2} {r2[ようすけ]}陽介{/r2}
ItemModeling	アイテムモデリング
ItemModeling_00	{r2[ひろた]}広田{/r2} {r2[はるか]}晴香{/r2}
EffectDesign	エフェクトデザイン
EffectDesign_00	{r2[てじま]}手島{/r2} {r2[むねゆき]}宗之{/r2}
Animation	アニメーション
Animation_00	{r2[もりの]}森野{/r2} {r2[ゆうすけ]}悠介{/r2}
UIDesignDirector	UIデザインディレクター
UIDesignDirector_00	{r2[けんもち]}剣持{/r2} {r2[ゆかり]}紫{/r2}
UIDesign	UIデザイン
UIDesign_00	{r2[まるやま]}丸山{/r2} {r2[いくみ]}郁美{/r2}
UIDesign_01	{r2[やまだ]}山田{/r2} {r2[よしき]}吉紀{/r2}
UIDesign_02	{r2[おしもと]}押本{/r2} {r2[ゆうじ]}祐二{/r2}
UIDesign_03	{r2[こばやし]}小林{/r2} {r2[ゆり]}友理{/r2}
Sound	サウンド
Sound_00	{r2[はぜもと]}櫨本{/r2} {r2[きよし]}浩{/r2}
Sound_01	{r2[あんどう]}安藤{/r2} {r2[ひろかず]}浩和{/r2}
Sound_02	{r2[しもおか]}下岡{/r2} {r2[ゆうき]}優希{/r2}
Sound_03	 
Sound_04	{r2[いしかわ]}石川{/r2} {r2[じゅん]}淳{/r2}
VoiceActor	ボイス
VoiceActor_00	{r2[おおもと]}大本{/r2} {r2[まきこ]}眞基子{/r2}
VoiceActor_01	 
VoiceActor_02	{r2[ゆずき]}柚木{/r2} {r2[りょうか]}涼香{/r2}
VoiceActor_03	{r2[たかはし]}高橋{/r2} {r2[りえ]}李依{/r2}
VoiceActor_04	{r2[うえだ]}上田{/r2} {r2[れいな]}麗奈{/r2}
TeamSupport	チームサポート
TeamSupport_00	{r2[たかはし]}高橋{/r2} {r2[よしみ]}芳美{/r2}
TeamSupport_01	{r2[さこだ]}迫田{/r2} {r2[かつひろ]}勝弘{/r2}
TeamSupport_02	{r2[はしぐち]}橋口{/r2} {r2[しげる]}茂{/r2}
TeamSupport_03	{r2[ひらやま]}平山{/r2} {r2[しげる]}茂{/r2}
TechnicalSupport	テクニカルサポート
TechnicalSupport_00	{r2[のげ]}野下{/r2} {r2[てつや]}徹也{/r2}
