AchieveList.msbt
AchieveListCategoriesHeroKirby	能力
AchieveListNameGearBeetleRare2	九頭蛇頭
AchieveListNameGearBellRare1	釣鐘
AchieveListNameGearBellRare2	聖誕銅鈴
AchieveListNameGearArtistRare1	彩繪比比提安造型
AchieveListNameGearArtistRare2	艾莉妮黏土造型
AchieveListNameGearWrestlerRare1	橫綱髮髻
AchieveListNameGearWrestlerRare2	咆嘯面罩
AchieveListNameGearYoyoRare1	街頭針織帽
AchieveListNameGearYoyoRare2	東方冠帽
AchieveListNameGearStickRare1	風語捲髮
AchieveListNameGearStickRare2	啦啦隊造型
AchieveListNameGearStickRare3	雷槍帕嚕提扎努造型
AchieveListNameGearWaterRare1	金魚缸
AchieveListNameGearWaterRare2	水濺鯨
AchieveListCategoriesStage	關卡
AchieveListNameStageCastleLololo	籮籮籮城堡
AchieveListNameStageBubblyClouds	泡泡雲層
AchieveListNameStageForestCoo	空之森林
AchieveListNameStageDededeRing	帝帝帝擂台
AchieveListNameStageFactory	工廠參觀
AchieveListNameStageBoyoyonHand	彈力手關卡
AchieveListNameStageDynaBlade	巨大鋒翼鳥的巢
AchieveListNameStageButterBuilding	奶油建築物
AchieveListNameStageVolcano	哈魯德拉博火山
AchieveListNameStageRainbowResort	夢之泉
AchieveListNameStageRunawayTrain	瓦豆魯迪火車
AchieveListNameStageGreenGreeting	綠庭旅途
AchieveListNameStageJambastion	暗黑要塞邪魔哈魯達前
AchieveListNameStageSummit	天空
AchieveListNameStageGigavolt	鐵巨兵鉅甲螺絲
AchieveListNameStageGigantGround	枯竭的海
AchieveListNameStageGourmetRace	激烈衝突！美食比賽
AchieveListNameStageDededeTower	宿命的對手們房間
AchieveListNameStageDededeTower2	貫徹天空的牽絆房間
AchieveListNameStagePractice	訓練
AchieveListCategoriesSubBgm	秘曲
AchieveListNameSubBgm_001	「籮籮籮城堡」秘曲
AchieveListNameSubBgm_002	「泡泡雲層」秘曲
AchieveListNameSubBgm_003	「空之森林」秘曲
AchieveListNameSubBgm_004	「帝帝帝擂台」秘曲
AchieveListNameSubBgm_005	「工廠參觀」秘曲
AchieveListNameSubBgm_006	「彈力手關卡」秘曲
AchieveListNameSubBgm_007	「巨大鋒翼鳥的巢」秘曲
AchieveListNameSubBgm_008	「奶油建築物」秘曲
AchieveListNameSubBgm_009	「哈魯德拉博火山」秘曲
AchieveListNameSubBgm_010	「夢之泉」秘曲
AchieveListNameSubBgm_011	「瓦豆魯迪火車」秘曲
AchieveListNameSubBgm_012	「綠庭旅途」秘曲
AchieveListNameSubBgm_013	「暗黑要塞邪魔哈魯達前」秘曲
AchieveListNameSubBgm_014	「天空」秘曲
AchieveListNameSubBgm_015	「鐵巨兵鉅甲螺絲」秘曲
AchieveListNameSubBgm_016	「枯竭的海」秘曲
AchieveListNameSubBgm_017	「激烈衝突！美食比賽」秘曲
AchieveListNameSubBgm_018	「宿命的對手們房間」秘曲
AchieveListNameSubBgm_019	「貫徹天空的牽絆房間」秘曲
AchieveListNameSubBgm_020	「訓練」秘曲
AchieveListCategoriesRogueItem	故事道具
AchieveListNameRogueItem000	M番茄
AchieveListNameRogueItem001	元氣飲料
AchieveListNameRogueItem002	櫻桃
AchieveListNameRogueItem003	攻擊石 Lv1
AchieveListNameRogueItem004	攻擊石 Lv2
AchieveListNameRogueItem005	攻擊石 Lv3
AchieveListNameRogueItem006	攻擊石 Lv4
AchieveListNameRogueItem007	攻擊石 Lv5 咒
AchieveListNameRogueItem008	體力石 Lv1
AchieveListNameRogueItem009	體力石 Lv2
AchieveListNameRogueItem010	體力石 Lv3
AchieveListNameRogueItem011	體力石 Lv4
AchieveListNameRogueItem012	體力石 Lv5 咒
AchieveListNameRogueItem018	回復石 Lv1
AchieveListNameRogueItem019	回復石 Lv2
AchieveListNameRogueItem020	回復石 Lv3
AchieveListNameRogueItem021	回復石 Lv4
AchieveListNameRogueItem022	回復石 Lv5 咒
AchieveListNameRogueItem023	搭檔聰明提升
AchieveListNameRogueItem034	幽靈強化石 Lv1
AchieveListNameRogueItem035	幽靈強化石 Lv2
AchieveListNameRogueItem036	幽靈強化石 Lv3
AchieveListNameRogueItem037	幽靈強化石 Lv4
AchieveListNameRogueItem038	幽靈強化石 Lv5 咒
AchieveListNameRogueItem039	高速蓄力石 Lv1
AchieveListNameRogueItem040	高速蓄力石 Lv2
AchieveListNameRogueItem041	高速蓄力石 Lv3
AchieveListNameRogueItem042	高速蓄力石 Lv4
AchieveListNameRogueItem043	高速蓄力石 Lv5 咒
AchieveListNameRogueItem044	頭巾瓦豆魯迪殺手徽章
AchieveListNameRogueItem045	蠱依殺手徽章
AchieveListNameRogueItem046	魔法洛亞殺手徽章
AchieveListNameRogueItem047	魔王殺手徽章
AchieveListNameRogueItem048	薄荷葉強化貼紙
AchieveListNameRogueItem049	麥克風傷害的守護
AchieveListNameRogueItem050	炮台強化貼紙
AchieveListNameRogueItem051	爆炸道具強化貼紙
AchieveListNameRogueItem052	時間獎勵貼紙
AchieveListNameRogueItem053	自動回復貼紙
AchieveListNameRogueItem054	自動防禦提升 Lv1
AchieveListNameRogueItem055	自動防禦提升 Lv2
AchieveListNameRogueItem056	地形傷害的守護
AchieveListNameRogueItem057	爆炸傷害的守護
AchieveListNameRogueItem059	黑刺球傷害的守護
AchieveListNameRogueItem060	電氣武器強化貼紙
AchieveListNameRogueItem061	冰凍保存容器破壞貼紙
AchieveListNameRogueItem062	啦啦彩球高速貼紙
AchieveListNameRogueItem063	分數提升貼紙
AchieveListNameRogueItem064	道具選擇+1
AchieveListNameRogueItem065	詛咒之環‧自動回復
AchieveListNameRogueItem066	詛咒之環‧攻擊提升
AchieveListNameRogueItem067	詛咒之環‧無幽靈化
AchieveListNameRogueItem069	分數提升‧青銅
AchieveListNameRogueItem070	分數提升‧白銀
AchieveListNameRogueItem071	分數提升‧黃金
Rank	\x0e\x02\x02\0
Unknown	？？？
Notice_Conceal	在鬥士級別\x0e\x02\x02\0 \n將會開放！
ConcealByExceptRank	達成？？？開放！
Caption	獎勵列表
OperationBack	\x0e\x04\x06\x022\0返回
Cmn.msbt
DialogButtonYes	是
DialogButtonNo	否
DialogButtonOk	OK
DialogButtonNext	下一步
ProgressSaving	儲存中
ProgressAccessing	通訊中
LifeBarBoss_ShadowKirby	暗影卡比
LifeBarBoss_TwinWoods	雙重大樹
LifeBarBoss_DoubleEdge	雙刃
LifeBarBoss_DededeAndMetaknight	帝帝帝大王＆魅塔騎士
LifeBarBoss_DededeAndMetaknightMasked	下弦的蒙面‧D＆上弦的蒙面‧M
TimeDisplay	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
TimeDisplayMatching	\x0e\x02\x02\0:\x0e\x02\x02\0
HeroPanelAnotherNameKirby	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
HeroPanelAnotherNameOther	{s[085]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
AbilityWhip	鞭子
AbilityCutter	彎刀
AbilitySword	利劍
AbilityNinja	忍者
AbilityParasol	陽傘
AbilityHammer	錘子
AbilityBeam	光束
AbilityFighter	格鬥家
AbilityBomb	炸彈
AbilitySniper	狙擊手
AbilityBeetle	獨角仙
AbilityBell	銅鈴
AbilityArtist	藝術家
AbilityWrestler	蒙面摔角手
AbilityYoyo	溜溜球
AbilityStick	如意棒
AbilityWater	清水
AbilityMetaknight	魅塔騎士
AbilityKingDedede	帝帝帝大王
AbilityBandanaWaddledee	頭巾瓦豆魯迪
AbilityGooey	蠱依
AbilityMahoroa	魔法洛亞
NpcName_02	新手的
NpcName_03	冒失的
NpcName_04	新來的
NpcName_05	安穩的
NpcName_06	新進的
NpcName_07	伶俐的
NpcName_09	初出茅廬的
NpcName_10	隨處可見的
NpcName_11	魯莽的
NpcName_12	喋喋不休的
NpcName_13	帥氣的
NpcName_14	平靜的
NpcName_19	浪漫主義的
NpcName_20	肚子餓了的
NpcName_22	不顧一切的
NpcName_23	半吊子的
NpcName_24	莽撞的
NpcName_25	貪吃的
NpcName_27	噗噗噗的
NpcName_28	春風的
NpcName_30	不服輸的
NpcName_31	青春期的
NpcName_33	流浪的
NpcName_34	自戀的
NpcName_35	公正的
NpcName_36	冷酷的
NpcName_37	老好人的
NpcName_38	時髦的
NpcName_39	認真的
NpcName_40	不多話的
NpcName_41	心胸廣闊的
NpcName_43	得意忘形的
NpcName_44	悠哉的
NpcName_45	彬彬有禮的
NpcName_46	纖細的
NpcName_47	優雅的
NpcName_48	夢想的
NpcName_49	享受的
NpcName_50	有力的
NpcName_52	有本事的
NpcName_53	黃昏的
NpcName_54	華麗的
NpcName_55	幹勁全開的
NpcName_56	剎那的
NpcName_57	憤怒的
NpcName_59	非凡的
NpcName_60	棘手的
NpcName_61	唱功一流的
NpcName_62	菁英的
NpcName_63	忍耐力強的
NpcName_64	老練的
NpcName_65	狀態上升的
NpcName_67	野性的
NpcName_68	熱情如火的
NpcName_69	無懈可擊的
NpcName_70	強硬的
NpcName_71	強力的
NpcName_73	專業的
NpcName_74	非比尋常的
NpcName_75	徬徨的
NpcName_76	回歸的
NpcName_77	鮮明的
NpcName_78	熊熊燃燒的
NpcName_79	星星的
NpcName_80	恐怖的
NpcName_81	呼風喚雨的
NpcName_82	稀少的
NpcName_83	無情的
NpcName_85	熱情的
NpcName_86	穿越時空的
NpcName_87	破天荒的
NpcName_88	傳說的
NpcName_89	身經百戰的
NpcName_90	招致毀滅的
NpcName_91	無懼的
NpcName_92	破壞王
NpcName_93	神乎其技的
NpcName_94	壓倒性的
NpcName_95	復甦的
NpcName_96	驚奇的
NpcName_97	抹煞一切的
NpcName_98	窮極的
NpcName_99	難以攻陷的
NpcName_100	謎團的
NpcName_101	富代表性的
NpcName_102	究極的
NpcName_103	超級豪華的
NpcName_104	統治星星的
NpcName_105	統領銀河的
NpcName_106	賭上靈魂的
NpcName_107	淵源的
NpcName_108	遙遠閃耀光輝的
NpcName_109	復仇的
NpcName_110	炙熱友情的
NpcName_111	元氣的
NpcName_112	雨後的
NpcName_113	年輕的
NpcName_114	孩子氣的
NpcName_115	柔嫩嫩的
NpcName_116	可愛的
NpcName_117	軟綿綿的
NpcName_118	神清氣爽的
NpcName_119	疾風的
NpcName_120	充滿溫柔的
NpcName_121	美食家的
NpcName_122	正直的
NpcName_123	笑容可掬的
NpcName_124	洞察的
NpcName_125	全神貫注的
NpcName_126	發育期的
NpcName_127	盡力而為的
NpcName_128	歷史的
NpcName_129	太棒了的
NpcName_130	天空的
NpcName_131	旅遊的
NpcName_132	紳士的
NpcName_133	千錘百鍊的
NpcName_134	絕世獨立的
NpcName_135	假話的
NpcName_136	危險的
NpcName_137	遙遠的
NpcName_138	十億噸的
NpcName_139	蝴蝶飛舞般的
NpcName_140	同盟的
NpcName_141	大師的
NpcName_142	充滿靈魂的
NpcName_143	彩虹的
NpcName_144	英雄的
RankupGauge_GaugeName	鬥士級別
RankupGaugeSmall_GaugeName	鬥士級別
RankupGauge_RankPointCurrent	\x0e\x02\x02\0{s[080]}/\x0e\x02\x02\0{s[100]}
RankupGaugeSmall_RankPointCurrent	\x0e\x02\x01\0{s[085]}/\x0e\x02\x01\0{s[100]}
RankupGauge_RankPointCurrentMax	MAX!
RankupGaugeSmall_RankPointCurrentMax	MAX!
KiloSeparator	,
DecimalSeparator	.
SingleGameOverDialogBody	再挑戰1次嗎？\n(放棄的話\n將從{c[ff8c00]}最初{c[000000]}開始。)
SingleGameOverDialogButtonGiveup	放棄
SingleGameOverDialogButtonContinue	挑戰！
RogueGameOverDialogBody	再{c[ff8c00]}挑戰{c[000000]}1次嗎？\n(就算退出也可以\n從 {c[ff8c00]}「中途儲存」 {c[000000]}繼續遊玩。)
RogueGameOverDialogButtonGiveup	退出
RogueGameOverDialogButtonContinue	挑戰！
RogueGameOverRemainsDialogBody	還可以挑戰{c[ff8c00]}\x0e\x02\x01\0次{c[000000]}。
Net_ConnectionCutError	{c[ff8c00]}通訊連接{c[000000]}已中斷。\n請勿主動中斷連接。\n請先確認您的{c[ff8c00]}通訊環境{c[000000]}後，\n再試一次。
Net_ConnectionCutErrorMild	{c[ff8c00]}通訊連接{c[000000]}已中斷。\n請先確認您的{c[ff8c00]}通訊環境{c[000000]}後，\n再試一次。
Net_ConnectionlossError	由於通訊發生異常，\n遊戲已中途結束。
Net_ConnectionError	發生\n通訊錯誤。
Net_PenaltyWarning	上次進行線上遊玩時發生了{c[ff8c00]}通訊中斷{c[000000]}。 \n如果持續發生將可能導致\n{c[ff8c00]}無法進行線上遊玩{c[000000]}。\n請確認您的通訊環境。
Net_PenaltyExecution	由於上次進行線上遊玩時{c[ff8c00]}通訊中斷{c[000000]}，\n因此在一定時間內無法進行線上遊玩。\n大約\x0e\x02\x02\0:\x0e\x02\x02\0後可以連接。
Net_CreateSessionError	建立團隊失敗。
Net_JoinSessionError	無法參加團隊。\n該團隊可能人數已滿，\n或是已經開始戰鬥。
Net_VerificationDisconectSession	要退出遊戲\n並{c[ff8c00]}解散{c[000000]}團隊嗎？
Net_VerificationBackToBattleType	要返回\n{c[ff8c00]}戰鬥類型選擇畫面{c[000000]}嗎？
Net_SessionLossError	團隊已{c[ff8c00]}解散{c[000000]}。
Net_AutoSessionError	配對失敗。
Net_MatchingTimeOutError	戰鬥需要的人數不足。\n請再一次重新選擇角色。
TextSkip	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 跳過
CreateFile	正在建立{c[ff4600]}儲存資料{c[000000]}，\n請稍候片刻。
CreateFileSuccess	已成功建立{c[ff4600]}儲存資料{c[000000]}。
RepairData	{c[ff4600]}儲存資料{c[000000]}損毀。\n正在刪除並重新建立，\n請稍候片刻。
ErrorOccured	發生{c[ff4600]}錯誤{c[000000]}。
PlayerNum2	來賓1
PlayerNum3	來賓2
PlayerNum4	來賓3
ComputerNum1	CP1
ComputerNum2	CP2
ComputerNum3	CP3
ComputerNum4	CP4
FriendOnlyOne	搭檔
UserName	\x0e\x02\n\0
ControllersCountNotify	{c[ff8c00]}控制器{c[000000]}中斷了。\n要返回前一個畫面嗎？
CompleteBody.msbt
Clear	過關
Congratulation	CONGRATULATIONS!
Credit.msbt
Staff	STAFF
GeneralDirector	GENERAL DIRECTOR
GeneralDirector_00	SHINYA KUMAZAKI
Director	DIRECTORS
Director_00	TADASHI KAWAI
Director_01	YUMI TODO
Director_02	JUN TANIGUCHI
LeadBattleDesign	LEAD BATTLE DESIGN
LeadBattleDesign_00	YUKI WATANABE
BattleDesign	BATTLE DESIGN
BattleDesign_00	TAKEHIKO KUBOKAWA
BattleDesign_01	TATSURO KUSANO
UIPlanning	UI PLANNING
UIPlanning_00	JIDEOCK KIM
UIPlanning_01	KAZUNORI MORISAWA
ProgramDirector	PROGRAMMING DIRECTOR
ProgramDirector_00	HIROSHI OHNISHI
LeadProgramming	LEAD PROGRAMMING
LeadProgramming_00	YOHEI FUKUDA
Programming	PROGRAMMING
Programming_00	TAKAYA NAKAMURA
Programming_01	TOMOHIRO OBAYASHI
Programming_02	YUYA YAMATE
Programming_03	ETSUMA ODA
Programming_04	HIROKAZU KOBAYASHI
Programming_05	KOUJI KIKKAWA
Programming_06	SATOSHI OHTAKE
DesignDirector	DESIGN DIRECTOR
DesignDirector_00	RIKI FUHRMANN
LeadDesign	LEAD DESIGN
LeadDesign_00	NATSUKI TSUJI
MotifDesign	MOTIF DESIGN
MotifDesign_00	KOUICHI NODA
MotifModeling	MOTIF MODELING
MotifModeling_00	SACHIE MIKUNI
MotifModeling_01	TOMOMI ISHII
MotifModeling_02	KATSU MIDORIKAWA
CharacterItemDesign	CHARACTER/ITEM DESIGN
CharacterItemDesign_00	SHINGO KABAYA
CharacterItemDesign_01	YUSUKE ISHIKAWA
CharacterModeling	CHARACTER MODELING
CharacterModeling_00	YOUSUKE UCHINO
ItemModeling	ITEM MODELING
ItemModeling_00	HARUKA HIROTA
EffectDesign	EFFECT DESIGN
EffectDesign_00	MUNEYUKI TEJIMA
Animation	ANIMATION
Animation_00	YUUSUKE MORINO
UIDesignDirector	UI DESIGN DIRECTOR
UIDesignDirector_00	YUKARI KEMMOCHI
UIDesign	UI DESIGN
UIDesign_00	IKUMI MARUYAMA
UIDesign_01	YOSHIKI YAMADA
UIDesign_02	YUJI OSHIMOTO
UIDesign_03	YURI KOBAYASHI
Sound	SOUND
Sound_00	KIYOSHI HAZEMOTO
Sound_01	HIROKAZU ANDO
Sound_02	YUKI SHIMOOKA
Sound_03	 
Sound_04	JUN ISHIKAWA
VoiceActor	VOICE
VoiceActor_00	MAKIKO OHMOTO
VoiceActor_01	 
VoiceActor_02	RYOKA YUZUKI
VoiceActor_03	RIE TAKAHASHI
VoiceActor_04	REINA UEDA
TeamSupport	TEAM SUPPORT
TeamSupport_00	YOSHIMI TAKAHASHI
TeamSupport_01	KATSUHIRO SAKODA
TeamSupport_02	SHIGERU HASHIGUCHI
TeamSupport_03	SHIGERU HIRAYAMA
TechnicalSupport	TECHNICAL SUPPORT
TechnicalSupport_00	TETSUYA NOGE
TechnicalSupport_01	SHUN YASAKA
TechnicalSupport_02	KOICHIRO HIRANO
TechnicalSupport_03	MITSUO IWAMOTO
ArtWork	ARTWORK
ArtWork_00	YUTO IBARAKI
ArtWork_01	TOMOMI OZAKI
ArtWork_02	EMI IMAMURA
Testing	TESTING
Testing_00	YUTA WADA
Testing_01	MASARU KOBAYASHI
Testing_02	DAISUKE FUJITA
Testing_03	DAIKI MORIYAMA
Testing_04	MAKI YOSHITAKE
Testing_05	AIHO KUBO
Testing_06	YUICHI SHIMODA
Testing_07	KEISUKE KANEKO
Testing_08	HAL DEBUG TEAM
Testing_09	DIGITAL HEARTS Co., Ltd.
Testing_10	Mario Club Co., Ltd.
LocalizationManagement	LOCALIZATION MANAGEMENT
LocalizationManagement_00	SEIJI OTOGURO
LocalizationManagement_01	TETSUYA ABE
NOALocalizationManagement	NOA LOCALIZATION MANAGEMENT
NOALocalizationManagement_00	NATE BIHLDORFF
NOALocalizationManagement_01	REIKO NINOMIYA
NOALocalizationManagement_02	RICH AMTOWER
NOALocalizationManagement_03	ANN LIN
NOALocalizationManagement_04	TIM O'LEARY
NOALocalizationManagement_05	SCOT RITCHEY
NOALocalizationManagement_06	ÁLEX ZARZA
NOALocalization	NOA LOCALIZATION
NOALocalization_00	LAUREN AMMERMAN
NOALocalization_01	ANA CELESTE ASCANIO
NOALocalization_02	RHIONA DEY
NOALocalization_03	MARJOLAINE DROUIN
NOALocalization_04	STEVEN GRIMM
NOALocalization_05	PALOMA HERNANDEZ
NOALocalization_06	SARA HOAD
NOALocalization_07	JOSÉE LEBEAU-BÉDARD
NOALocalization_08	NICH MARAGOS
NOALocalization_09	KENTO OIWA
NOALocalization_10	FANNIE SENÉCAL
NOALocalization_11	LUDOVIC TIENTCHEU
NOALocalization_12	MARCIA TOLEDO
NOALocalization_13	YANETT CEPEDA VALOR
NOALocalization_14	TARYN ZIEGLER
NOAProductTesting	NOA PRODUCT TESTING
NOAProductTesting_00	KENTARO NISHIMURA
NOAProductTesting_01	KIRK BUCHANAN
NOAProductTesting_02	TOMO ISHIYAMA
NOAProductTesting_03	SEAN EGAN
NOAProductTesting_04	TOMOKO MIKAMI
NOAProductTesting_05	ANDY KOLDEN
NOAProductTesting_06	JIM HOLDEMAN
NOAProductTesting_07	MANNA YAMASAKI
NOAProductTesting_08	MADISON LEVITAN
NOAProductTesting_09	DANNY MORRIS
NOAProductTesting_10	DAVID FIGLAR
NOAProductTesting_11	MICHAEL SAHLIN
NOAProductTesting_12	JAMES DILLON
NOAProductTesting_13	JOSH YAGI-STANTON
NOAProductTesting_14	MAIRO SMALL
NOAProductTesting_15	FRANK CARAAN
NOAProductTesting_16	RILEY SCOTT
NOAProductTesting_17	JACOB JORGENSEN
NOAProductTesting_18	CRAIG SO
NOAProductTesting_19	PRODUCT TESTING TECHNICIANS
NOELocalizationProducers	NOE LOCALISATION PRODUCERS
NOELocalizationProducers_00	LIAM HIGGINS
NOELocalizationProducers_01	DARIO DE LEO
NOETranslation	NOE TRANSLATION
NOETranslation_00	ROBY LIEBETRUTH
NOETranslation_01	DANIELLE JORGENSON-MURRAY
NOETranslation_02	EREN BAYKAL
NOETranslation_03	FLORENCE D'ANTERROCHES
NOETranslation_04	ZADIA MESSERLI
NOETranslation_05	JEAN-PAUL HAUSMANN
NOETranslation_06	MIRKO CAPOCELLI
NOETranslation_07	BARBARA PISANI
NOETranslation_08	FRITHJOF KOEPP
NOETranslation_09	MARTINA DEIMEL
NOETranslation_10	ALEXANDER VAN DE BERGH
NOETranslation_11	AINHOA BERNAD HURTADO
NOETranslation_12	JOSÉ MANUEL MALAGÓN LEÓN
NOETranslation_13	JÓNATAN MARCOS MILLÁN
NOETranslation_14	BLANCA HUESO TAULÉS
NOETranslation_15	PATRICK KOUDSTAAL
NOETranslation_16	CHRISTIAN BUTER
NOETranslation_17	CARSTEN HARMANS
NOEQualityAssurance	NOE QUALITY ASSURANCE
NOEQualityAssurance_00	ÁNGEL MORENO COLMENA
NOEQualityAssurance_01	PTW INTERNATIONAL UK
NOKTranslation	NOK TRANSLATION
NOKTranslation_00	JIHYUEN YOO
NOKQualityAssurance	NOK QUALITY ASSURANCE
NOKQualityAssurance_00	JEEWAN CHUN
NOKArtwork	NOK ARTWORK
NOKArtwork_00	SUZY DO
NHLTranslation	NHL TRANSLATION
NHLTranslation_00	SEAN SHEN
NHLTranslation_01	TRACY CHENG
NHLTranslation_02	WANG ZHONG LONG
NHLQualityAssurance	NHL QUALITY ASSURANCE
NHLQualityAssurance_00	DIGITAL HEARTS Co., Ltd.
NHLArtwork	NHL ARTWORK
NHLArtwork_00	MIKE KAN
iQueLocalizationCoordination	iQue LOCALIZATION COORDINATION
iQueLocalizationCoordination_00	KEISUKE FUKUSHIMA
iQueTranslation	iQue TRANSLATION
iQueTranslation_00	QIU XIAOCHUN
iQueQualityAssurance	iQue QUALITY ASSURANCE
iQueQualityAssurance_00	YAN GANG
SpecialThanks	SPECIAL THANKS
SpecialThanks_00	HIROKI AZUMADA
SpecialThanks_01	YASUO TAKAGI
SpecialThanks_02	YOSHIHIRO NAGATA
SpecialThanks_03	AYAKA SENO
SpecialThanks_04	HIROAKI NAKANO
SpecialThanks_05	TAKASHI NOZUE
SpecialThanks_06	YUKI ENDO
SpecialThanks_07	TATSUYA KAMIYAMA
SpecialThanks_08	KENICHIRO KITA
SpecialThanks_09	MITSUYA NAITO
SpecialThanks_10	AKIMITSU USHIKOSHI
SpecialThanks_11	MEGUMI MIYAZAWA
SpecialThanks_12	AKIRA OZAWA
SpecialThanks_13	TOSHIKI OZAWA
SpecialThanks_14	YOUKO KOSUGI
SpecialThanks_15	MAKO ASAKAWA
SpecialThanks_16	TOMOHIRO MINEMURA
SpecialThanks_17	AKIRA EGUCHI
SpecialThanks_18	YUMI OSADA
SpecialThanks_19	RIEKO KAWAHARA
SpecialThanks_20	MASAYO NAKAGAMI
SpecialThanks_21	YUKI YADA
SpecialThanks_22	YURINA INOUE
SpecialThanks_23	SUMIKO BESSHO
SpecialThanks_24	CHIEKO OBIKANE
SpecialThanks_25	SATOSHI ISHIDA
SpecialThanks_26	HARUKA ABE
SpecialThanks_27	HIROAKI IKARASHI
SpecialThanks_28	JEFF MILLER
SpecialThanks_29	Good-Feel Co., Ltd.
Coordinators	COORDINATORS
Coordinators_00	KENTA NAKANISHI
Coordinators_01	KEI NINOMIYA
ProjectManagement	PROJECT MANAGEMENT
ProjectManagement_00	YOSHIKI SUZUKI
ProjectManagement_01	ISAO TAKAHASHI
ProjectManagement_02	TATSUYA KIKUCHI
Producer	PRODUCERS
Producer_00	TADASHI KAMITAKE
Producer_01	JUN TSUDA
Producer_02	TOYOKAZU NONAKA
Producer_03	AKIRA KINASHI
GeneralProducer	GENERAL PRODUCERS
GeneralProducer_00	SHIGEFUMI KAWASE
GeneralProducer_01	SHINYA TAKAHASHI
GeneralProducer_02	KATSUYA EGUCHI
ExecutiveProducer	EXECUTIVE PRODUCER
ExecutiveProducer_00	SHUNTARO FURUKAWA
Copyright	HAL Laboratory, Inc. and Nintendo are\nthe authors of this software for the purpose\nof copyright. All rights reserved.\n©2020 HAL Laboratory, Inc. / Nintendo
EnemyCut.msbt
StageChangeTitle01	全員速度提升房間
StageChangeInfo01	敵人‧我方全員的\n{c[ffe614]}速度2倍{c[000000]}！
StageChangeTitle02	獲得2倍分數房間
StageChangeInfo02	戰鬥勝利\n獲得{c[ffe614]}分數2倍{c[000000]}！
StageChangeTitle03	限制時間房間
StageChangeInfo03	剩餘時間{c[ffe614]}\x0e\x02\x01\0秒{c[000000]}！\n快速地打倒敵人吧！
StageChangeTitle04	冰凍保存容器房間
StageChangeInfo04	出現的道具\n只有{c[ffe614]}冰凍保存容器{c[000000]}！
StageChangeTitle05	地形傷害2倍房間
StageChangeInfo05	受到來自關卡{c[ffe614]}裝置{c[000000]}的\n傷害{c[ffe614]}2倍{c[000000]}！
StageChangeTitle06	敵人攻擊提升房間
StageChangeInfo06	{c[ffe614]}敵人的攻擊力{c[000000]}\n大幅度提升威力！
StageChangeTitle09	黑刺彈房間
StageChangeInfo09	出現的道具\n只有{c[ffe614]}黑刺彈{c[000000]}！
StageChangeTitle10	高速巨型機關房間
