Glossary.msbt
glossary_Place01	Tail Cave
glossary_enemy45	Shrouded Stalfos
glossary_enemy46	Sword Stalfos
glossary_enemy47	Hollow Mimic
glossary_enemy48	Red Bombite
glossary_enemy49	Green Bombite
glossary_enemy50	Gibdo
glossary_enemy51	Keese
glossary_enemy52	Sword Darknut
glossary_enemy53	Spear Darknut
glossary_enemy54	Pols Voice
glossary_enemy55	Like Like
glossary_enemy56	Green Stalfos
glossary_enemy57	Orange Stalfos
glossary_enemy58	Wizzrobe
glossary_enemy59	Goomba
glossary_enemy60	Spark
glossary_enemy61	Zirro 
glossary_enemy62	Birky
glossary_enemy63	Helmasaur
glossary_enemy64	Shy Guy
glossary_enemy65	Pairodd
glossary_enemy66	Water Tektite
glossary_enemy67	Ballereen
glossary_enemy68	Cheep Cheep
glossary_enemy69	Mini Angler
glossary_enemy70	Blooper
glossary_enemy71	Bonewing
glossary_enemy72	Green Goo Specter
glossary_enemy73	Red Goo Specter
glossary_enemy74	Blue Goo Specter
glossary_enemy75	Green Hue Ball
glossary_enemy76	Red Hue Ball
glossary_enemy77	Blue Hue Ball
glossary_enemy78	Boo
glossary_enemy79	Spike Roller
glossary_enemy80	Moblin Chief
glossary_enemy81	Hinox
glossary_enemy82	Bomb Trooper
glossary_enemy83	Ball and Chain Trooper
glossary_enemy84	Dodongo Snake
glossary_enemy85	Lanmola
glossary_enemy86	Hydrosoar
glossary_enemy87	Master Stalfos
glossary_enemy88	Gohma
glossary_enemy89	Armos Knight
glossary_enemy90	Rover
glossary_enemy91	Grim Creeper
glossary_enemy92	Turtle Rock
glossary_enemy93	Blaino
glossary_enemy94	Avalaunch
glossary_enemy95	Giant Buzz Blob
glossary_enemy96	Hardhit Beetle
glossary_enemy97	Moldorm
glossary_enemy98	Genie
glossary_enemy99	Slime Eye
glossary_enemy100	Angler Fish
glossary_enemy111	Slime Eel
glossary_enemy112	Facade
glossary_enemy113	Evil Eagle
glossary_enemy114	Hot Head
glossary_enemy115	Giant Zol Shadow
glossary_enemy116	Agahnim Shadow
glossary_enemy117	Moldorm Shadow
glossary_enemy118	Ganon Shadow
glossary_enemy119	Lanmola Shadow
glossary_enemy120	Death Shadow
glossary_enemy121	Runt
glossary_enemy122	Lunker
glossary_enemy123	Ol' Baron
glossary_sequence1	Monsters
glossary_sequence2	Beasts
glossary_sequence3	Koholint
glossary_sequence4	Island
glossary_sequence5	目覚めの使者
glossary_sequence6	使者
glossary_sequence7	Hero
glossary_sequence8	神
glossary_sequence9	Instruments
glossary_sequence10	Golden Leaf
glossary_sequence11	Leaf
glossary_sequence12	Ancient Ruins
glossary_sequence13	Shrine
glossary_sequence14	Mountain Towers
glossary_sequence15	Eastern Tower
glossary_sequence16	Flying Rooster
glossary_sequence17	Flying Cucco
glossary_sequence18	Cucco
glossary_sequence19	Toadstool
glossary_sequence20	Christine
glossary_sequence21	Mr. Write
glossary_sequence22	Ballad of the Wind Fish
glossary_sequence23	Song of Awakening
glossary_sequence24	Manbo's Mambo
glossary_sequence25	Frog's Song of Soul
glossary_sequence26	Fishing
glossary_sequence27	Lightweight Lure
glossary_sequence28	Middleweight Lure
glossary_sequence29	Heavyweight Lure
glossary_sequence30	Rapids Ride
glossary_sequence31	Rapids Raid
glossary_sequence32	Rapids Race
glossary_sequence33	Wall Relief
glossary_sequence34	Crow
glossary_sequence35	敵の兵士
glossary_sequence36	Swamp
glossary_sequence37	Flowers
glossary_sequence38	Prairie
glossary_sequence39	Waterfall
glossary_sequence40	Bay
glossary_sequence41	Temple
glossary_sequence42	Mountains
glossary_sequence43	THIEF
glossary_sequence44	Tail Keyhole
glossary_sequence45	Slime Keyhole
glossary_sequence46	Angler Keyhole
glossary_sequence47	Bird Keyhole
glossary_sequence48	Face Keyhole
Graphic.msbt
Hint.msbt
WestTalTalStoneOwl	{c[62cfff]}MUSIC. THE FISH STIRS IN THE EGG.\nYOU ARE THERE...{c[ededed]}\x0e\x01\x04\0
PotholeStoneOwl	{c[62cfff]}IN SOIL SLEEPS SECRETS, BENEATH\nYOUR SOLES...{c[ededed]}\x0e\x01\x04\0
UkukuStoneOwl	{c[62cfff]}AROUND HERE, SECRETS ARE NIGH.{c[ededed]}\x0e\x01\x04\0
TalTalHeightStoneOwl	{c[62cfff]}THE WIND FISH IN NAME ONLY, FOR IT\nIS NEITHER.{c[ededed]}\x0e\x01\x04\0
MarthaStoneOwl	{c[62cfff]}SECRETS ARE LIKE WATER WHEN IT\nCOMES TO BRIDGES.{c[ededed]}\x0e\x01\x04\0
YarnaStoneOwl	{c[62cfff]}SEA BEARS FOAM. SLEEP BEARS DREAMS.\nBOTH END IN THE SAME WAY: CRASSSH!{c[ededed]}\x0e\x01\x04\0
FaceStoneOwl	{c[62cfff]}THE WIND FISH SLUMBERS LONG...\nTHE HERO'S LIFE GONE...{c[ededed]}\x0e\x01\x04\0
EastTalTalStoneOwl	{c[62cfff]}YOU ARE NEAR THE EAGLE'S TOWER.\nBEWARE OF THE BIRD!{c[ededed]}\x0e\x01\x04\0
RapidsRideStoneOwl	{c[62cfff]}YOU ARE FAR FROM ANY SECRETS...{c[ededed]}\x0e\x01\x04\0
NoBeakStoneOwl	{c[62cfff]}The beakless statue is saying something...\nYou can't make it out.{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl1	{c[62cfff]}Turn aside the spined ones with a shield...{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl2	{c[62cfff]}If there is a door that you can't open,\nmove a square block.{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl1	{c[62cfff]}Part of the floor is raised. Tap the\nshining crystal.{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl2	{c[62cfff]}Make every block design the same.\nA new path will open.{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl3	{c[62cfff]}First, defeat the imprisoned Pols Voice.\nLast, the skeletal Stalfos...{c[ededed]}\x0e\x01\x04\0
Panel_Pod04C	{c[62cfff]}First, defeat the imprisoned Pols Voice.\nLast, the skeletal Stalfos...{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl1	{c[62cfff]}Far away... Do not fear—dash and fly!{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl2	{c[62cfff]}Poke suspicious parts of the wall with your\nsword and listen to the sounds it makes.{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl3	{c[62cfff]}To defeat the black monsters with the hard\nshell, feed them something explosive.{c[ededed]}\x0e\x01\x04\0
Lv4StoneOwl	{c[62cfff]}The glint of the tile will be your guide...{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl1	{c[62cfff]}If you can't destroy a skeleton with your\nsword, try using a bomb.{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl2	{c[62cfff]}Dive under where torchlight beams\ndo cross...{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl1	{c[62cfff]}Enter the space where the eyes have walls...{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl2	{c[62cfff]}Hop on top of the crystals to move forward.{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl3	{c[62cfff]}To open a treasure chest, use the pots\naround it.{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl1	{c[62cfff]}The riddle is solved when the pillars fall!{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl2	{c[62cfff]}Jump off the floor above to reach the chest\non the table.{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl3	{c[62cfff]}If you can't go over the poles, try throwing\nthings you have in your hands.{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl1	{c[62cfff]}Fill all the holes with the rock that rolls.\nThis (\x0e\x01\x01\x01\x07) is the key!{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl2	{c[62cfff]}To defeat the monsters who hold the key,\nattack them from a higher place.{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl3	{c[62cfff]}If the statue looks strange, shoot it with\nthe bow.{c[ededed]}\x0e\x01\x04\0
ColorDungeonStoneOwl	{c[62cfff]}Try if you dare: make every tile square.{c[ededed]}\x0e\x01\x04\0
Npc.msbt
MarinAfterOpening	Follow the lane south to reach the {c[0095ef]}beach{c[ededed]}\nwhere I found you.\x0e\x01\x04\0\x0e\0\x04\0Since you washed ashore, lots of nasty\nmonsters have been in the area, so be\ncareful, OK?\x0e\x01\x04\0
MarinGetSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001I just love to sing—what can I say? What do\nyou like to do, \x0e\x01\x03\0?\x0e\x01\x04\0
Place.msbt
Lv1Dungeon	Level 1 - Tail Cave
Lv2Dungeon	Level 2 - Bottle Grotto
Lv3Dungeon	Level 3 - Key Cavern
Lv4Dungeon	Level 4 - Angler's Tunnel
Lv5Dungeon	Level 5 - Catfish's Maw
Lv6Dungeon	Level 6 - Face Shrine
Lv7Dungeon	Level 7 - Eagle's Tower
Lv8Dungeon	Level 8 - Turtle Rock
LastDungeon	Wind Fish's Egg
ClothesDungeon	Color Dungeon
SaleHouse	Sale's House o' Bananas
PotholeField	Pothole Field
GhostHouse	House by the Bay
GameShop	Trendy Game
ToolShop	Town Tool Shop
MarinHouse	Marin and Tarin's House
WitchHouse	Witch's Hut
YarnaDesert	Yarna Desert
UkukuPrairie	Ukuku Prairie
Forest	Mysterious Forest
MountTamaranch	Mt. Tamaranch
TalTalMountain	Tal Tal Mountain Range
SignpostMaze	Signpost Maze
MabeVillage	Mabe Village
AnimalVillage	Animal Village
Graveyard	Cemetery
RapidsRide	Rapids Ride
KoholintPrairie	Koholint Prairie
ToronboShores	Toronbo Shores
MarthasBay	Martha's Bay
EastBay	East of the Bay
GopongaSwamp	Goponga Swamp
FaceShrine	Face Shrine
KanaletCastle	Kanalet Castle
TalTalHeights	Tal Tal Heights
TabahlWasteland	Tabahl Wasteland
SouthVillage	South of the Village
FishingPond	Fishing Pond
MadamHouse	Madam MeowMeow's House
UlriraHouse	Old Man Ulrira's House
WriteHouse	Weird Mr. Write
TracyHouse	Crazy Tracy's Health Spa
4childHouse	Quadruplets House
DreamShrine	Dream Shrine
TelephoneBox	Telephone Booth
ShellMansion	Seashell Mansion
RichardHouse	Richard's Villa
CockHouse	Henhouse
Library	Village Library
RaftShop	Raft Shop
ShrineFalls	Shrine Waterfall
SouthShrine	Ancient Ruins
DanpeiShack	Dampé's Shack
Lv1Dungeon_map	Tail Cave
Lv2Dungeon_map	Bottle Grotto
Lv3Dungeon_map	Key Cavern
Lv4Dungeon_map	Angler's Tunnel
Lv5Dungeon_map	Catfish's Maw
Lv6Dungeon_map	Face Shrine
Lv7Dungeon_map	Eagle's Tower
Lv8Dungeon_map	Turtle Rock
LastDungeon_map	Wind Fish's Egg
ClothesDungeon_map	Color Dungeon
PotholeField_map	Pothole Field
GameShop_map	Trendy Game
ToolShop_map	Town Tool Shop
WitchHouse_map	Witch's Hut
YarnaDesert_map	Yarna Desert
UkukuPrairie_map	Ukuku Prairie
Forest_map	Mysterious Forest
MountTamaranch_map	Mt. Tamaranch
TalTalMountain_map	Tal Tal Mountain Range
MabeVillage_map	Mabe Village
AnimalVillage_map	Animal Village
Graveyard_map	Cemetery
RapidsRide_map	Rapids Ride
KoholintPrairie_map	Koholint Prairie
ToronboShores_map	Toronbo Shores
MarthasBay_map	Martha's Bay
GopongaSwamp_map	Goponga Swamp
KanaletCastle_map	Kanalet Castle
TalTalHeights_map	Tal Tal Heights
TabahlWasteland_map	Tabahl Wasteland
FishingPond_map	Fishing Pond
TracyHouse_map	Crazy Tracy's Health Spa
TelephoneBox_map	Telephone Booth
ShellMansion_map	Seashell Mansion
Library_map	Village Library
RaftShop_map	Raft Shop
SouthShrine_map	Ancient Ruins
DanpeiShack_map	Dampé's Shack
WarpPoint_Ukuku	Ukuku Prairie
WarpPoint_Lv8dungeon	Turtle Rock
WarpPoint_TalTalHeights	Tal Tal Heights
WarpPoint_AnimalVillage	Animal Village
WarpPoint_MamboPond	Manbo's Pond
WarpPoint_DanpeiShack	Dampé's Shack
WarpPoint_ShellMansion	Seashell Mansion
WarpPoint_TalTalMtEast	Eastern Tal Tal Mountains
WarpPoint_MarthasBay	Martha's Bay
WarpPoint_TalTalMtWest	Western Tal Tal Mountains
SBWeathercock	Here Sleeps the Flying Rooster\x0e\x01\x04\0
SBShellMansion	Seashell Mansion\x0e\x01\x04\0
SBYarnaDesert	Entrance to Yarna Desert \x0e\x01\0\x01\x14\x0e\x01\x04\0
SBToronboShores	Beware of sea urchins!\nDon't touch them with your bare hands!\x0e\x01\x04\0
SBForest	Mysterious Forest\n(Moblins ahead! They're not friendly!)\x0e\x01\x04\0
SBRaftShop	Do you want to challenge the river\nrapids on a raft? Proceed to the office\nat once, please!\x0e\x01\x04\0
SBEastMabe	East \x0e\x01\0\x01\x14 Ukuku Prairie\nFarther East: Animal Village\x0e\x01\x04\0
SBMountTamaranch	Mt. Tamaranch\x0e\x01\x04\0
SBExitMabe	\x0e\x01\0\x01\x14 Tail Cave\n\x0e\x01\0\x01\x13 Toronbo Shores\x0e\x01\x04\0
SBWestGoponga	\x0e\x01\0\x01\x14 Goponga Swamp\n\x0e\x01\0\x01\x13 Mysterious Forest\x0e\x01\x04\0
SBForestCaution	Beware of floors with cracks!\nDon't get too comfortable on them!\x0e\x01\x04\0
SBTelephoneBox	Telephone Booth\x0e\x01\x04\0
SBGoponga	DANGER! Keep out!\n(Except BowWow)\x0e\x01\x04\0
SBMamuMazeSouthStart	START HERE\n\x0e\x01\0\x01\x13 GO THIS WAY\x0e\x01\x04\0
SBMamuMazeSouth	\x0e\x01\0\x01\x13 GO THIS WAY\x0e\x01\x04\0
SBMamuMazeNorth	\x0e\x01\0\x01\x12 GO THIS WAY\x0e\x01\x04\0
SBMamuMazeEast	\x0e\x01\0\x01\x14 GO THIS WAY\x0e\x01\x04\0
SBMamuMazeWest	\x0e\x01\0\x01\x15 GO THIS WAY\x0e\x01\x04\0
SBMamuMazeReset	TRY AGAIN FROM THE START\x0e\x01\x04\0
SBMamuMazeClear	GREAT! YOU DID IT!\nYOUR REWARD IS \x0e\x01\0\x01\x14 THIS WAY!\x0e\x01\x04\0
SBMamuByebye	GONE ON TOUR\n         -MAMU\x0e\x01\x04\0
SBMamuMazeReverse	The writing is on the other side!\x0e\x01\x04\0
SBManbosPond	\x0e\x01\0\x01\x14 Crazy Tracy\n\x0e\x01\0\x01\x13 Manbo's Pond\x0e\x01\x04\0
SBMarthasBay	\x0e\x01\0\x01\x14 Animal Village\n\x0e\x01\0\x01\x13 Martha's Bay\x0e\x01\x04\0
SBAnimalVillage	\x0e\x01\0\x01\x14 Welcome to the Animal Village!\x0e\x01\x04\0
SBCemetery	\x0e\x01\0\x01\x14 Cemetery\n\x0e\x01\0\x01\x13 Ukuku Prairie\x0e\x01\x04\0
SBTalTalHeights	You're close to Tal Tal Heights.\nDampé's Shack is \x0e\x01\0\x01\x14 nearby.\x0e\x01\x04\0
SBMoblinsCave	\x0e\x01\0\x01\x14 Mt. Tamaranch\n\x0e\x01\0\x01\x15 Goponga Swamp\x0e\x01\x04\0
SBRichardHouse	Richard's Villa\x0e\x01\x04\0
SBKanaletCount10	Kanalet Castle\n10 Minutes \x0e\x01\0\x01\x14 \x0e\x01\0\x01\x12\x0e\x01\x04\0
SBKanaletCount5	Kanalet Castle\n5 Minutes \x0e\x01\0\x01\x14\x0e\x01\x04\0
SBKanaletMove50	Kanalet Castle\n50 Paces \x0e\x01\0\x01\x12\x0e\x01\x04\0
SBFishPond	\x0e\x01\0\x01\x12 Fishing Pond\x0e\x01\x04\0
SBTalTal	\x0e\x01\0\x01\x12 Tal Tal Heights\x0e\x01\x04\0
SBDanpeiMebe	\x0e\x01\0\x01\x14 \x0e\x01\0\x01\x12 Dampé's Shack this way\nAdventurin' assistant wanted.\x0e\x01\x04\0
SBDanpeiUkuku	\x0e\x01\0\x01\x12 Dampé's Shack\nSee the strangest dungeon of all!\x0e\x01\x04\0
SBDanpeiTalTal	\x0e\x01\0\x01\x13 Dampé's Shack\nBring me any weird stones you find!\x0e\x01\x04\0
Scenario.msbt
Lv1FirstMarin1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_005What a relief!\x0e\x01\x04\0
Lv1FirstMarin2	I thought you'd never wake up! You were\ntossing and turning...\x0e\x01\x04\0
Lv1FirstMarin3	What? Zelda?\x0e\x01\x04\0
Lv1FirstMarin4	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001No, my name's {c[d9456d]}Marin{c[ededed]}! You must still be\nfeeling a little woozy. \x0e\x01\x04\0\x0e\0\x04\0You are on {c[0095ef]}Koholint Island{c[ededed]}!\x0e\x01\x04\0
Lv1FirstTarin1	\x0e\x01\x0b\x12\x10\0SE_NPC_TARIN_001Well, \x0e\x01\x03\0, ya finally\nsnapped out of it... Name's {c[d9456d]}Tarin{c[ededed]}.\nHope yer feelin' better...\x0e\x01\x04\0
Lv1FirstTarin2	What? How did I know your name?\nYou think it's weird, eh?\x0e\x01\x04\0\x0e\0\x04\0Well, I saw it on back of this shield!\x0e\x01\x04\0
Lv1GetShield	You got your {c[d9456d]}shield{c[ededed]} back! Hold \x0e\x01\x01\x01\x0d to\nrepel enemies with it!\x0e\x01\x04\0
Lv1Owl1_1	Hoot! Hoot! So you are the lad who owns\nthe sword...\x0e\x01\x04\0\x0e\0\x04\0Now I understand why the monsters are\nstarting to act so violently...\x0e\x01\x04\0\x0e\0\x04\0A courageous lad has come to wake\nthe {c[d9456d]}Wind Fish{c[ededed]}.\x0e\x01\x04\0\x0e\0\x04\0It is said that you cannot leave the island\nunless you wake the {c[d9456d]}Wind Fish{c[ededed]}...\x0e\x01\x04\0\x0e\0\x04\0You should now go {c[d9456d]}north{c[ededed]}, to the\n{c[0095ef]}Mysterious Forest{c[ededed]}.\x0e\x01\x04\0\x0e\0\x04\0I will wait for you there! Hoot!\x0e\x01\x04\0
Lv1GetSword	You found your {c[d9456d]}sword{c[ededed]}! It must be yours\nbecause it has your name engraved on it!\x0e\x01\x04\0\x0e\0\x04\0You can swing it with \x0e\x01\x01\x01/ to attack any\nenemies in your path.\x0e\x01\x04\0
Lv1Owl2_1	Hoot! Ho, brave lad, on your quest to\nwake the dreamer! Welcome to the\nMysterious Forest!\x0e\x01\x04\0\nMuch of mystery you will find on this\nuncharted Koholint Island!\x0e\x01\x04\0\x0e\0\x04\0I'm afraid you may find it a trifle difficult to\nleave the island while the {c[d9456d]}Wind Fish{c[ededed]} naps. \x0e\x01\x04\0\x0e\0\x04\0...By the by, have you ever visited the {c[0095ef]}Tail\nCave{c[ededed]}, which is {c[d9456d]}south of the village{c[ededed]}?\x0e\x01\x04\0\x0e\0\x04\0Go there with the {c[d9456d]}key{c[ededed]} you find in\nthis forest...\x0e\x01\x04\0\x0e\0\x04\0The {c[d9456d]}Wind Fish{c[ededed]} is watching... Hoot!\x0e\x01\x04\0
Lv1Raccoon1	\x0e\x01\x0b\x13\x11\0SE_NPC_TANUKI_001As a raccoon, my nose is verrry sensitive ta\nstuff like dust and powder...\x0e\x01\x04\0
Lv1Raccoon2	\x0e\x01\x0b\x13\x11\0SE_NPC_TANUKI_002Heh heh heh ho! You're goin' ta be lost,\nthanks to me! Heh heh!\x0e\x01\x04\0
WitchHaveNeboketake	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_001Ahhh... It has the {c[d9456d]}sleepy toadstool{c[ededed]}, it does! \nWe'll mix it up something in a jiffy, we will!\x0e\x01\x04\0
