Glossary.msbt
glossary_Place01	长尾大空洞
glossary_npc08	道具店老板
glossary_npc09	游戏店老板
glossary_npc10	钓鱼池店主
glossary_npc11	巴巴尔
glossary_npc12	玛玛莎
glossary_npc13	坦坦
glossary_npc14	汤汤
glossary_npc15	团团
glossary_npc16	天天
glossary_npc17	狐狸
glossary_npc18	猫头鹰
glossary_npc19	瑟勒
glossary_npc20	恶作剧狸猫
glossary_npc21	大妖精
glossary_npc22	魔法婆婆
glossary_npc23	莱特博士
glossary_npc24	崔西
glossary_npc25	老鼠
glossary_npc26	小恶魔
glossary_npc27	理查德
glossary_npc28	吱吱猴
glossary_npc29	戒
glossary_npc30	备
glossary_npc31	妖精女王
glossary_npc32	熊厨师
glossary_npc33	克莉丝汀
glossary_npc34	舒尔·多纳皮契
glossary_npc35	模特儿河马
glossary_npc36	兔子
glossary_npc37	海象
glossary_npc38	小熊
glossary_npc39	南国鸟
glossary_npc40	曼波为五郎
glossary_npc41	鬼怪
glossary_npc42	钓鱼池店主
glossary_npc43	人鱼
glossary_npc44	木筏店老板
glossary_npc45	玛穆
glossary_npc46	卓拉
glossary_npc47	果里亚
glossary_npc48	鸡舍叔叔
glossary_npc49	风鱼
glossary_npc50	丹培
glossary_npc51	贝壳馆主人
glossary_npc52	说话树
glossary_npc53	？？？
glossary_npc54	嗷嗷
glossary_panel01	嵌板迷宫
glossary_panel02	嵌板
glossary_panel03	＋拼片
glossary_panel04	考验
glossary_panel05	不可用剑
glossary_panel06	规定心数
glossary_panel07	限制时间
glossary_panel08	开始嵌板
glossary_panel09	终点首领嵌板
glossary_panel10	通道
glossary_panel11	嵌石
glossary_panel12	大妖精嵌板
glossary_panel13	大布林嵌板
glossary_panel14	铁球兵嵌板
glossary_panel15	羽毛道具嵌板
glossary_panel16	巨霸阿默斯嵌板
glossary_panel17	暗影林克＋拼片
glossary_panel18	炸弹＋拼片
glossary_panel19	卢比＋拼片
glossary_panel20	心＋拼片
glossary_panel21	怪物增加＋拼片
glossary_panel22	天魔手＋拼片
glossary_ui01	道具
glossary_ui02	地图
glossary_ui03	系统
glossary_ui04	传送
glossary_ui05	回忆
glossary_ui06	图钉
glossary_ui07	楼梯
glossary_ui08	上锁门
glossary_ui09	上锁砖块
glossary_ui10	设置道具
glossary_ui11	收藏道具
glossary_enemy01	玻石虫
glossary_enemy02	八爪投石怪
glossary_enemy03	海胆
glossary_enemy04	利巴
glossary_enemy05	皮斯
glossary_enemy06	K.K.
glossary_enemy07	匹哈特
glossary_enemy08	莫力布林（剑）
glossary_enemy09	莫力布林（枪）
glossary_enemy10	带电液形虫
glossary_enemy11	诺默斯
glossary_enemy12	魔鸦
glossary_enemy13	翅鳍食人鱼
glossary_enemy14	摩尼亚
glossary_enemy15	阿那摩尼亚
glossary_enemy16	畸灵
glossary_enemy17	巨霸畸灵
glossary_enemy18	丧尸
glossary_enemy19	猪布林（剑）
glossary_enemy20	猪布林（枪）
glossary_enemy21	阿默斯
glossary_enemy23	飞行八爪怪
glossary_enemy24	哔可鸟
glossary_enemy25	冒冒
glossary_enemy26	卓拉
glossary_enemy27	泥怪（绿）
glossary_enemy28	泥怪（红）
glossary_enemy29	小泥怪
glossary_enemy30	寄居虫
glossary_enemy31	寄居虫（草）
glossary_enemy32	寄居虫（石）
glossary_enemy33	寄居虫（骷髅）
glossary_enemy34	刺球丸子
glossary_enemy35	妖啾
glossary_enemy36	珠壳虫
glossary_enemy37	罗普
glossary_enemy38	拜尔
glossary_enemy39	长尾
glossary_enemy40	刺刺龟
glossary_enemy41	维加斯
glossary_enemy42	死亡珠
glossary_enemy43	吞食花
glossary_enemy44	穴居重钳臂
glossary_enemy45	髑髅骑士
glossary_enemy46	髑髅骑士（剑）
glossary_enemy47	仿仿
glossary_enemy48	轰弹（红）
glossary_enemy49	轰弹（绿）
glossary_enemy50	吉波得
glossary_enemy51	蝙蝠
glossary_enemy52	黑甲武士（剑）
glossary_enemy53	黑甲武士（枪）
glossary_enemy54	栗音怪
glossary_enemy55	来客来客
glossary_enemy56	骷髅战士（绿）
glossary_enemy57	骷髅战士（橘）
glossary_enemy58	长袍魔法师
glossary_enemy59	栗宝宝
glossary_enemy60	电球
glossary_enemy61	飞栗子
glossary_enemy62	卡比
glossary_enemy63	跟屁兽
glossary_enemy64	嘿虎
glossary_enemy65	晃头鸟
glossary_enemy66	浮虫
glossary_enemy67	芭蕾星
glossary_enemy68	泡泡鱼
glossary_enemy69	小灯鱼怪
glossary_enemy70	鱿鱿
glossary_enemy71	飞行骸骨
glossary_enemy72	吓吓怪（绿）
glossary_enemy73	吓吓怪（红）
glossary_enemy74	吓吓怪（蓝）
glossary_enemy75	滚滚壳（绿）
glossary_enemy76	滚滚壳（红）
glossary_enemy77	滚滚壳（蓝）
glossary_enemy78	害羞幽灵
glossary_enemy79	推推
glossary_enemy80	大布林
glossary_enemy81	西诺克斯
glossary_enemy82	炸弹武士
glossary_enemy83	铁球兵
glossary_enemy84	多东哥
glossary_enemy85	拉内莫拉
glossary_enemy86	浮游跟屁兽
glossary_enemy87	骷髅剑士至尊
glossary_enemy88	哥马
glossary_enemy89	巨霸阿默斯
glossary_enemy90	杰奇
glossary_enemy91	哔可鸟使者
glossary_enemy92	乌龟岩
glossary_enemy93	拳击怪
glossary_enemy94	巨霸吨
glossary_enemy95	液形虫首领
glossary_enemy96	重珠壳虫
glossary_enemy97	巨霸长尾
glossary_enemy98	壶魔王
glossary_enemy99	巨霸泥怪
glossary_enemy100	灯鱼怪
glossary_enemy111	钩尾鲶
glossary_enemy112	妖面
glossary_enemy113	刑天翁
glossary_enemy114	巨霸炎魔
glossary_enemy115	泥怪
glossary_enemy116	阿格宁
glossary_enemy117	德库长尾
glossary_enemy118	加侬
glossary_enemy119	拉内莫拉
glossary_enemy120	魔影
glossary_enemy121	小鱼
glossary_enemy122	大鱼
glossary_enemy123	鱼王
glossary_sequence1	怪物
glossary_sequence2	魔物
glossary_sequence3	可湖霖
glossary_sequence4	岛
glossary_sequence5	苏醒使者
glossary_sequence6	使者
glossary_sequence7	勇者
glossary_sequence8	神
glossary_sequence9	乐器
glossary_sequence10	黄金叶子
glossary_sequence11	叶子
glossary_sequence12	古代遗迹
glossary_sequence13	遗迹
glossary_sequence14	山塔
glossary_sequence15	东塔
glossary_sequence16	飞天鸡
glossary_sequence17	飞天咕咕鸡
glossary_sequence18	鸡
glossary_sequence19	蘑菇
glossary_sequence20	克莉丝丁
glossary_sequence21	莱特先生
glossary_sequence22	风鱼之歌
glossary_sequence23	苏醒之歌
glossary_sequence24	曼波鱼之曼波曲
glossary_sequence25	蛙之灵魂曲
glossary_sequence26	钓鱼
glossary_sequence27	轻假饵
glossary_sequence28	稍重假饵
glossary_sequence29	重假饵
glossary_sequence30	急流泛舟
glossary_sequence31	收集道具
glossary_sequence32	计时
glossary_sequence33	石板
glossary_sequence34	乌鸦
glossary_sequence35	敌对士兵
glossary_sequence36	沼泽
glossary_sequence37	花
glossary_sequence38	草原
glossary_sequence39	瀑布
glossary_sequence40	海湾
glossary_sequence41	神殿
glossary_sequence42	山
glossary_sequence43	小偷
glossary_sequence44	长尾钥匙孔
glossary_sequence45	粘液钥匙孔
glossary_sequence46	灯鱼怪钥匙孔
glossary_sequence47	飞鸟钥匙孔
glossary_sequence48	颜面钥匙孔
Graphic.msbt
Hint.msbt
WestTalTalStoneOwl	{c[62cfff]}前往谒见神之蛋，\n奏一曲，神将显灵。{c[ededed]}\x0e\x01\x04\0
PotholeStoneOwl	{c[62cfff]}秘密藏脚下。{c[ededed]}\x0e\x01\x04\0
UkukuStoneOwl	{c[62cfff]}秘密藏近处。{c[ededed]}\x0e\x01\x04\0
TalTalHeightStoneOwl	{c[62cfff]}“风鱼”非鱼也。\n虽能呼风亦非鸟也。{c[ededed]}\x0e\x01\x04\0
MarthaStoneOwl	{c[62cfff]}秘密藏桥下。{c[ededed]}\x0e\x01\x04\0
YarnaStoneOwl	{c[62cfff]}梦醒后将化为泡影，\n怪物尔等皆成泡影，\x0e\x01\x04\0\n怪物故欲群起反抗，\n万般阻挠苏醒使者。\x0e\x01\x04\0{c[ededed]}
FaceStoneOwl	{c[62cfff]}“风鱼”若不苏醒，\n勇者终将化为岛上之尘土。{c[ededed]}\x0e\x01\x04\0
EastTalTalStoneOwl	{c[62cfff]}大鹫塔于前方。\n注意！近处无钥匙。{c[ededed]}\x0e\x01\x04\0
RapidsRideStoneOwl	{c[62cfff]}此处无秘密。{c[ededed]}\x0e\x01\x04\0
NoBeakStoneOwl	{c[62cfff]}欠缺石喙的石像在说话。\n……但听不清内容。{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl1	{c[62cfff]}尖刺锐利者，\n宜以盾抵挡击退……{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl2	{c[62cfff]}移动方石，\n开启紧闭之门扉。{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl1	{c[62cfff]}隆起地板，阻碍前路。\n发光水晶，击之开路。{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl2	{c[62cfff]}地板图案一致时，\n崭新道路将开启……{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl3	{c[62cfff]}先除大耳怪物……\n后灭髑髅骑士……{c[ededed]}\x0e\x01\x04\0
Panel_Pod04C	{c[62cfff]}先除大耳怪物……\n后灭髑髅骑士……{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl1	{c[62cfff]}面对远地……\n无所畏惧，飞奔跃起……{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl2	{c[62cfff]}见怪墙，以剑击之，\n听回响，分辨其异。{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl3	{c[62cfff]}硬壳黑怪物，\n攻击其内部。{c[ededed]}\x0e\x01\x04\0
Lv4StoneOwl	{c[62cfff]}知发光地板动静者，\n必将得到引导……{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl1	{c[62cfff]}骷髅剑士，用剑难除。\n趁骨碎时，爆破除之。{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl2	{c[62cfff]}蜡烛立四方，烛火相交杂，\n思其交汇点，深潜入其下。{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl1	{c[62cfff]}地图如颜，\n攻其双目，破壁而入。{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl2	{c[62cfff]}水晶地板阻去路，\n踏在其上向前行。{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl3	{c[62cfff]}壶环宝物，\n以物击之，方可开启。{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl1	{c[62cfff]}四柱崩塌之时，\n谜团将会解开。{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl2	{c[62cfff]}欲取高台之宝箱，\n于更高处向下跃。{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl3	{c[62cfff]}若遇无法前行之栏栅，\n朝栏栅内投掷手中物。{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl1	{c[62cfff]}建路之岩，以\x0e\x01\x01\x01\x07操控，{c[ededed]}\n{c[62cfff]}填平地面。{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl2	{c[62cfff]}守护钥匙两怪物，\n外绕高处击倒之。{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl3	{c[62cfff]}若见独眼怪石像，\n须以箭矢穿其目。{c[ededed]}\x0e\x01\x04\0
ColorDungeonStoneOwl	{c[62cfff]}务须打击着色处，\n皆成正方谜自解。{c[ededed]}\x0e\x01\x04\0
Npc.msbt
MarinAfterOpening	沿着路往南走，\n就能到达你被冲上岸的{c[0095ef]}海滩{c[ededed]}。\x0e\x01\x04\0\n不过，自从你来到这个岛上，\n这附近也开始有魔物徘徊。\x0e\x01\x04\0\n你千万要小心喔。\x0e\x01\x04\0
MarinGetSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001我果然还是最喜欢唱歌！\n\x0e\x01\x03\0你喜欢什么？\x0e\x01\x04\0
Place.msbt
Lv1Dungeon	长尾大空洞
Lv2Dungeon	壶洞窟
Lv3Dungeon	钥匙地洞
Lv4Dungeon	灯鱼怪瀑布池
Lv5Dungeon	鲶鱼大嘴
Lv6Dungeon	脸孔神殿
Lv7Dungeon	大鹫塔
Lv8Dungeon	乌龟岩
LastDungeon	圣蛋
ClothesDungeon	衣服迷宫
SaleHouse	瑟勒的家
PotholeField	坑洞田
GhostHouse	海湾的家
GameShop	流行游戏
ToolShop	村庄道具店
MarinHouse	玛林和塔林的家
WitchHouse	魔法婆婆的家
YarnaDesert	亚那沙漠
UkukuPrairie	乌库库草原
Forest	不可思议森林
MountTamaranch	塔马兰奇山
TalTalMountain	达达山脉
SignpostMaze	路牌迷宫
MabeVillage	梅贝村
AnimalVillage	动物村
Graveyard	坟场
RapidsRide	急流泛舟
KoholintPrairie	可湖霖平原
ToronboShores	托隆波海岸
MarthasBay	玛莎海湾
EastBay	海湾东面
GopongaSwamp	果彭加沼泽
FaceShrine	脸孔神殿
KanaletCastle	卡那列城
TalTalHeights	达达高原
TabahlWasteland	塔巴林地
SouthVillage	村子南面
FishingPond	钓鱼池
MadamHouse	喵喵夫人的家
UlriraHouse	乌鲁里拉爷爷的家
WriteHouse	莱特的家
TracyHouse	古怪崔西的药店
4childHouse	四小福的家
DreamShrine	梦之祠堂
TelephoneBox	电话亭
ShellMansion	贝壳馆
RichardHouse	理查德的别墅
CockHouse	鸡舍
Library	村立图书馆
RaftShop	木筏店
ShrineFalls	神殿瀑布
SouthShrine	南方神殿
DanpeiShack	丹培的小屋
Lv1Dungeon_map	长尾大空洞
Lv2Dungeon_map	壶洞窟
Lv3Dungeon_map	钥匙地洞
Lv4Dungeon_map	灯鱼怪瀑布池
Lv5Dungeon_map	鲶鱼大嘴
Lv6Dungeon_map	脸孔神殿
Lv7Dungeon_map	大鹫塔
Lv8Dungeon_map	乌龟岩
LastDungeon_map	圣蛋
ClothesDungeon_map	衣服迷宫
PotholeField_map	坑洞田
GameShop_map	流行游戏
ToolShop_map	村庄道具店
WitchHouse_map	魔法婆婆的家
YarnaDesert_map	亚那沙漠
UkukuPrairie_map	乌库库草原
Forest_map	不可思议森林
MountTamaranch_map	塔马兰奇山
TalTalMountain_map	达达山脉
MabeVillage_map	梅贝村
AnimalVillage_map	动物村
Graveyard_map	坟场
RapidsRide_map	急流泛舟
KoholintPrairie_map	可湖霖平原
ToronboShores_map	托隆波海岸
MarthasBay_map	玛莎海湾
GopongaSwamp_map	果彭加沼泽
KanaletCastle_map	卡那列城
TalTalHeights_map	达达高原
TabahlWasteland_map	塔巴林地
FishingPond_map	钓鱼池
TracyHouse_map	古怪崔西的药店
TelephoneBox_map	电话亭
ShellMansion_map	贝壳馆
Library_map	村立图书馆
RaftShop_map	木筏店
SouthShrine_map	南方神殿
DanpeiShack_map	丹培的小屋
WarpPoint_Ukuku	乌库库草原
WarpPoint_Lv8dungeon	乌龟岩
WarpPoint_TalTalHeights	达达高原
WarpPoint_AnimalVillage	动物村
WarpPoint_MamboPond	曼波池
WarpPoint_DanpeiShack	丹培的小屋
WarpPoint_ShellMansion	贝壳馆
WarpPoint_TalTalMtEast	达达山脉 东面
WarpPoint_MarthasBay	玛莎海湾
WarpPoint_TalTalMtWest	达达山脉 西面
SBWeathercock	飞天鸡\n长眠于此\x0e\x01\x04\0
SBShellMansion	贝壳馆\x0e\x01\x04\0
SBYarnaDesert	\x0e\x01\0\x01\x14 亚那沙漠入口\x0e\x01\x04\0
SBToronboShores	小心海胆！\n请勿徒手触碰！\x0e\x01\x04\0
SBForest	不可思议森林\n危险！莫力布林大量出没中！\x0e\x01\x04\0
SBRaftShop	邀请你来挑战！\n乘上木筏急流泛舟\x0e\x01\x04\0\n如欲参加，请至办公室\x0e\x01\x04\0
SBEastMabe	东\x0e\x01\0\x01\x14 乌库库草原\n远东：动物村\x0e\x01\x04\0
SBMountTamaranch	塔马兰奇山\x0e\x01\x04\0
SBExitMabe	\x0e\x01\0\x01\x14　长尾大空洞\n\x0e\x01\0\x01\x13　托隆波海岸\x0e\x01\x04\0
SBWestGoponga	\x0e\x01\0\x01\x14　果彭加沼泽\n\x0e\x01\0\x01\x13　不可思议森林\x0e\x01\x04\0
SBForestCaution	小心龟裂的地板！\n过重的人请勿站在上面！\x0e\x01\x04\0
SBTelephoneBox	电话亭\x0e\x01\x04\0
SBGoponga	危险！\n汪汪以外，请勿入内！\x0e\x01\x04\0
SBMamuMazeSouthStart	这是最初的路牌。\n往\x0e\x01\0\x01\x13的方向前进\x0e\x01\x04\0
SBMamuMazeSouth	往\x0e\x01\0\x01\x13的方向前进\x0e\x01\x04\0
SBMamuMazeNorth	往\x0e\x01\0\x01\x12的方向前进\x0e\x01\x04\0
SBMamuMazeEast	往\x0e\x01\0\x01\x14的方向前进\x0e\x01\x04\0
SBMamuMazeWest	往\x0e\x01\0\x01\x15的方向前进\x0e\x01\x04\0
SBMamuMazeReset	回到起点\n重新开始！\x0e\x01\x04\0
SBMamuMazeClear	非常精彩！你过关了！\n走过楼梯就会看到奖品……\x0e\x01\x04\0\n敬请期待！\x0e\x01\x04\0
SBMamuByebye	我们去巡回演出了。\n                       玛穆\x0e\x01\x04\0
SBMamuMazeReverse	从这里看不到牌上的字……\x0e\x01\x04\0
SBManbosPond	\x0e\x01\0\x01\x14　古怪崔西的家\n\x0e\x01\0\x01\x13　曼波池\x0e\x01\x04\0
SBMarthasBay	\x0e\x01\0\x01\x14 动物村\n\x0e\x01\0\x01\x13 玛莎海湾\x0e\x01\x04\0
SBAnimalVillage	\x0e\x01\0\x01\x14 欢迎光临动物村！\x0e\x01\x04\0
SBCemetery	\x0e\x01\0\x01\x14 坟场\n\x0e\x01\0\x01\x13 乌库库草原\x0e\x01\x04\0
SBTalTalHeights	这一带是达达高原\n\x0e\x01\0\x01\x14 丹培的小屋就在附近\x0e\x01\x04\0
SBMoblinsCave	\x0e\x01\0\x01\x14 塔马兰奇山\n\x0e\x01\0\x01\x15 果彭加沼泽\x0e\x01\x04\0
SBRichardHouse	理查德的别墅\x0e\x01\x04\0
SBKanaletCount10	距离卡那列城\n还要10分钟 \x0e\x01\0\x01\x14 \x0e\x01\0\x01\x12\x0e\x01\x04\0
SBKanaletCount5	距离卡那列城\n还要5分钟 \x0e\x01\0\x01\x14\x0e\x01\x04\0
SBKanaletMove50	距离卡那列城\n还要50步 \x0e\x01\0\x01\x12\x0e\x01\x04\0
SBFishPond	\x0e\x01\0\x01\x12 前方为钓鱼池\x0e\x01\x04\0
SBTalTal	\x0e\x01\0\x01\x12 前方为达达高原\x0e\x01\x04\0
SBDanpeiMebe	\x0e\x01\0\x01\x14\x0e\x01\0\x01\x12此处往右上走便是丹培的小屋\n冒险小帮手征募中！\x0e\x01\x04\0
SBDanpeiUkuku	\x0e\x01\0\x01\x12上方为丹培的小屋\n这里有不可思议的遗迹\x0e\x01\x04\0
SBDanpeiTalTal	\x0e\x01\0\x01\x13下方为丹培的小屋\n如果捡到不可思议的石头，请拿来这里。\x0e\x01\x04\0
Scenario.msbt
Lv1FirstMarin1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_005啊！你醒来了！\n太好了！\x0e\x01\x04\0
Lv1FirstMarin2	还以为已经没救了……\x0e\x01\x04\0\x0e\0\x04\0你刚才好像在做恶梦……\n一直在痛苦地呻吟。\x0e\x01\x04\0
Lv1FirstMarin3	……咦？塞尔达？\x0e\x01\x04\0
Lv1FirstMarin4	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001你认错人了，我叫{c[d9456d]}玛林{c[ededed]}。\n你还没完全清醒吧。\x0e\x01\x04\0\n这里是{c[0095ef]}可湖霖岛{c[ededed]}喔。\x0e\x01\x04\0
Lv1FirstTarin1	\x0e\x01\x0b\x12\x10\0SE_NPC_TARIN_001嗨，\x0e\x01\x03\0，你醒来啦？\n俺叫{c[d9456d]}塔林{c[ededed]}。你还好吗？\x0e\x01\x04\0
Lv1FirstTarin2	嗯！？你在奇怪\n俺怎么知道你的名字是吗……？\x0e\x01\x04\0\n俺只是看到了盾背面写的名字唷。\n就是这面盾，你拿去吧！\x0e\x01\x04\0
Lv1GetShield	拿回{c[d9456d]}盾{c[ededed]}了！\n按住\x0e\x01\x01\x01\x0d的时候可以弹开敌人。\x0e\x01\x04\0
Lv1Owl1_1	呜呜！呜呜！\x0e\x01\x04\0\x0e\0\x04\0原来孩子你是这把剑的主人啊……\x0e\x01\x04\0\x0e\0\x04\0呜呜！原来如此。\n怪不得怪物们都开始四处闹事，\x0e\x01\x04\0\n毕竟告知{c[d9456d]}风鱼{c[ededed]}苏醒的使者\n出现了呢。\x0e\x01\x04\0\n据说如果不唤醒{c[d9456d]}风鱼{c[ededed]}，\n那位使者便会永远被困于岛上……\x0e\x01\x04\0\n呜！来村子北面的\n{c[0095ef]}不可思议森林{c[ededed]}吧。\x0e\x01\x04\0\n我会在那里等你……\n呜呜！呜呜！\x0e\x01\x04\0
Lv1GetSword	得到了遗失的{c[d9456d]}剑{c[ededed]}！\n上面有自己的名字，肯定就是这把没错！\x0e\x01\x04\0\n这样就能攻击敌人了。\n按下\x0e\x01\x01\x01/挥剑吧！\x0e\x01\x04\0
Lv1Owl2_1	呜呜！\x0e\x01\x04\0\x0e\0\x04\0肩负唤醒使命的勇者大人，\n欢迎来到不可思议森林。\x0e\x01\x04\0\n这座岛屿名为可湖霖岛，\n是绝对不会被记载在地图上的岛屿。\x0e\x01\x04\0\n这里不同于你之前所处的世界，\n它是由不同的法则构成的。\x0e\x01\x04\0\n任谁也不能离开这座岛屿。\x0e\x01\x04\0\x0e\0\x04\0只要统治可湖霖岛的神{c[d9456d]}风鱼{c[ededed]}一直沉睡，\n就无法开启通往外面世界的道路。\x0e\x01\x04\0\n……话说回来，你看到村子南边的\n{c[0095ef]}长尾大空洞{c[ededed]}了吗？\x0e\x01\x04\0\n拿着在这片森林某处的钥匙，\n到{c[0095ef]}长尾大空洞{c[ededed]}去吧！\x0e\x01\x04\0\n{c[d9456d]}风鱼{c[ededed]}在注视着你。\n呜呜！呜呜！\x0e\x01\x04\0
Lv1Raccoon1	\x0e\x01\x0b\x13\x11\0SE_NPC_TANUKI_001俺是恶作剧狸猫……\n最讨厌粉末状的东西唷～！\x0e\x01\x04\0
Lv1Raccoon2	\x0e\x01\x0b\x13\x11\0SE_NPC_TANUKI_002嘻嘻嘻！在不可思议森林中\n迷路了呢！咚咚！\x0e\x01\x04\0
WitchHaveNeboketake	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_001喔喔！那是{c[d9456d]}酣睡菇{c[ededed]}！\n给我三秒钟，我来替你制作个好东西！\x0e\x01\x04\0
WitchGetPowder	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_003来！大功告成了！\n使用时要注意一下剩余的次数喔。\x0e\x01\x04\0\n先试着撒在这房间的某处吧……\x0e\x01\x04\0
WitchUsePowder	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_004没错，就是这样。\n或许有些敌人会受魔法粉影响而产生变化。\x0e\x01\x04\0\n要是用完了，就把森林里的蘑菇拿过来吧。\n我再给你制作新的……\x0e\x01\x04\0\n如果没有蘑菇，我也可以把一些剩余的分给你，\n但下次就得向你收钱了……\x0e\x01\x04\0
