Glossary.msbt
glossary_Place01	テールのほらあな
glossary_npc31	妖精の女王
glossary_npc32	クマのコック
glossary_npc33	クリスティーヌ
glossary_npc34	シュール・ドナピッチ
glossary_npc35	モデルのカバ
glossary_npc36	うさぎ
glossary_npc37	セイウチ
glossary_npc38	子グマ
glossary_npc39	南国鳥
glossary_npc40	マンボためごろう
glossary_npc41	オバケ
glossary_npc42	つりぼりの店主
glossary_npc43	人魚
glossary_npc44	イカダ屋
glossary_npc45	マムー
glossary_npc46	ゾーラ
glossary_npc47	ゴーリア
glossary_npc48	ニワトリ小屋のおじさん
glossary_npc49	かぜのさかな
glossary_npc50	ダンペイさん
glossary_npc51	貝がらの館の主
glossary_npc52	おしゃべりな木
glossary_npc53	？？？
glossary_npc54	キャンキャン
glossary_panel01	パネルダンジョン
glossary_panel02	パネル
glossary_panel03	＋チップ
glossary_panel04	お{r2[だい]}題{/r2}
glossary_panel05	{r2[けんしようふか]}剣使用不可{/r2}
glossary_panel06	ハート{r2[してい]}指定{/r2}
glossary_panel07	{r2[じかんせいげん]}時間制限{/r2}
glossary_panel08	スタートパネル
glossary_panel09	ゴールのボスパネル
glossary_panel10	{r2[つうろ]}通路{/r2}
glossary_panel11	パネ{r2[いし]}石{/r2}
glossary_panel12	{r2[だいようせい]}大妖精{/r2}のパネル
glossary_panel13	オヤブリンのパネル
glossary_panel14	{r2[てっきゅうへいし]}鉄球兵士{/r2}のパネル
glossary_panel15	羽つきアイテムのパネル
glossary_panel16	デグアモスのパネル
glossary_panel17	シャドウリンクの＋チップ
glossary_panel18	バクダンの＋チップ
glossary_panel19	ルピーの＋チップ
glossary_panel20	ハートの＋チップ
glossary_panel21	マモノ{r2[ぞうか]}増加{/r2}の＋チップ
glossary_panel22	フォールマスターの＋チップ
glossary_ui01	アイテム
glossary_ui02	マップ
glossary_ui03	システム
glossary_ui04	ワープ
glossary_ui05	おもいで
glossary_ui06	ピン
glossary_ui07	{r2[かいだん]}階段{/r2}
glossary_ui08	カギトビラ
glossary_ui09	カギブロック
glossary_ui10	セットアイテム
glossary_ui11	コレクトアイテム
glossary_enemy01	テクタイト
glossary_enemy02	オクタロック
glossary_enemy03	ウニ
glossary_enemy04	リーバー
glossary_enemy05	ピース
glossary_enemy06	とたけけ
glossary_enemy07	ピーハット
glossary_enemy08	モリブリン（剣）
glossary_enemy09	モリブリン（槍）
glossary_enemy10	バズブロブ
glossary_enemy11	ノモス
glossary_enemy12	クロウリー
glossary_enemy13	ひれピラニア
glossary_enemy14	モネア
glossary_enemy15	アナモネア
glossary_enemy16	ギーニ
glossary_enemy17	デグギーニ
glossary_enemy18	ゾンビ
glossary_enemy19	ブタブリン（剣）
glossary_enemy20	ブタブリン（槍）
glossary_enemy21	アモス
glossary_enemy23	パタオクタ
glossary_enemy24	ピッコロ
glossary_enemy25	ゾロゾロ
glossary_enemy26	ゾーラ
glossary_enemy27	ゾル（緑）
glossary_enemy28	ゾル（赤）
glossary_enemy29	ミニゾル
glossary_enemy30	ヘイジー
glossary_enemy31	ヘイジー（草）
glossary_enemy32	ヘイジー（岩）
glossary_enemy33	ヘイジー（ドクロ）
glossary_enemy34	サンボ
glossary_enemy35	キューネ
glossary_enemy36	ポーン
glossary_enemy37	ロープ
glossary_enemy38	バイア
glossary_enemy39	テール
glossary_enemy40	トゲゾー
glossary_enemy41	ベガス
glossary_enemy42	デスボール
glossary_enemy43	パックンフラワー
glossary_enemy44	ホール・ド・アーム
glossary_enemy45	ドクロナイト
glossary_enemy46	ドクロナイト・ソード
glossary_enemy47	マネマネ
glossary_enemy48	ボマー（赤）
glossary_enemy49	ボマー（緑）
glossary_enemy50	ギブド
glossary_enemy51	キース
glossary_enemy52	タートナック（剣）
glossary_enemy53	タートナック（槍）
glossary_enemy54	ポルスボイス
glossary_enemy55	ライクライク
glossary_enemy56	スタルフォス（緑）
glossary_enemy57	スタルフォス（オレンジ）
glossary_enemy58	ウィズローブ
glossary_enemy59	クリボー
glossary_enemy60	スパーク
glossary_enemy61	クリーピー
glossary_enemy62	カービィ
glossary_enemy63	ヒップループ
glossary_enemy64	ヘイホー
glossary_enemy65	キョロボー
glossary_enemy66	ホーバー
glossary_enemy67	バレリーネ
glossary_enemy68	プクプク
glossary_enemy69	ミニグラー
glossary_enemy70	ゲッソー
glossary_enemy71	ホネパタ
glossary_enemy72	ビヨーンおばけ（緑）
glossary_enemy73	ビヨーンおばけ（赤）
glossary_enemy74	ビヨーンおばけ（青）
glossary_enemy75	カラコロ（緑）
glossary_enemy76	カラコロ（赤）
glossary_enemy77	カラコロ（青）
glossary_enemy78	テレサ
glossary_enemy79	ローラ
glossary_enemy80	オヤブリン
glossary_enemy81	ヒノックス
glossary_enemy82	ボムナック
glossary_enemy83	鉄球兵士
glossary_enemy84	ドドンゴ
glossary_enemy85	ラネモーラ
glossary_enemy86	ヒップループホバー
glossary_enemy87	マスタースタルフォン
glossary_enemy88	ゴーマー
glossary_enemy89	デグアモス
glossary_enemy90	ジャッキー
glossary_enemy91	ピッコロ使い
glossary_enemy92	カメイワ
glossary_enemy93	マイトパンチ
glossary_enemy94	デグドン
glossary_enemy95	ボスブロブ
glossary_enemy96	ド・ポーン
glossary_enemy97	デグテール
glossary_enemy98	ツボ魔王
glossary_enemy99	デグゾル
glossary_enemy100	アングラー
glossary_enemy111	フッカー
glossary_enemy112	マットフェイス
glossary_enemy113	アルバトス
glossary_enemy114	デグフレム
glossary_enemy115	ゾル
glossary_enemy116	アグニム
glossary_enemy117	デクテール
glossary_enemy118	ガノン
glossary_enemy119	ラネモーラ
glossary_enemy120	シャドー
glossary_enemy121	{r2[ちい]}小{/r2}さなサカナ
glossary_enemy122	{r2[おお]}大{/r2}きなサカナ
glossary_enemy123	ヌシ
glossary_sequence1	マモノ
glossary_sequence2	かいぶつ
glossary_sequence3	コホリント
glossary_sequence4	島
glossary_sequence5	目覚めの使者
glossary_sequence6	使者
glossary_sequence7	勇者
glossary_sequence8	神
glossary_sequence9	楽器
glossary_sequence10	黄金の葉っぱ
glossary_sequence11	葉っぱ
glossary_sequence12	古代の遺跡
glossary_sequence13	遺跡
glossary_sequence14	山の塔
glossary_sequence15	東の塔
glossary_sequence16	空飛ぶニワトリ
glossary_sequence17	空飛ぶコッコ
glossary_sequence18	ニワトリ
glossary_sequence19	キノコ
glossary_sequence20	クリスチーヌ
glossary_sequence21	ライトさま
glossary_sequence22	かぜのさかなの歌
glossary_sequence23	目覚めの歌
glossary_sequence24	マンボウのマンボ
glossary_sequence25	カエルのソウル
glossary_sequence26	釣り
glossary_sequence27	軽いルアー
glossary_sequence28	やや重いルアー
glossary_sequence29	重いルアー
glossary_sequence30	急流すべり
glossary_sequence31	アイテム集め
glossary_sequence32	タイムアタック
glossary_sequence33	石板
glossary_sequence34	カラス
glossary_sequence35	敵の兵士
glossary_sequence36	沼
glossary_sequence37	花
glossary_sequence38	草原
glossary_sequence39	滝
glossary_sequence40	入り江
glossary_sequence41	神殿
glossary_sequence42	山
glossary_sequence43	どろぼー
glossary_sequence44	テールのカギ穴
glossary_sequence45	スライムのカギ穴
glossary_sequence46	アングラーのカギ穴
glossary_sequence47	バードのカギ穴
glossary_sequence48	フェイスのカギ穴
Graphic.msbt
Hint.msbt
WestTalTalStoneOwl	{c[62cfff]}{r2[かみ]}神{/r2}のタマゴに {r2[あ]}会{/r2}いに{r2[ゆ]}行{/r2}け\n{r2[ねいろ]}音色{/r2}に {r2[かみ]}神{/r2}は{r2[こた]}応{/r2}えよう{c[ededed]}\x0e\x01\x04\0
PotholeStoneOwl	{c[62cfff]}{r2[あしもと]}足下{/r2}に ヒミツあり{c[ededed]}\x0e\x01\x04\0
UkukuStoneOwl	{c[62cfff]}この{r2[あた]}辺{/r2}り ヒミツあり{c[ededed]}\x0e\x01\x04\0
TalTalHeightStoneOwl	{c[62cfff]}「かぜのさかな」は サカナにあらず\n{r2[かぜ]}風{/r2}を{r2[よ]}呼{/r2}ぶが {r2[とり]}鳥{/r2}にもあらず{c[ededed]}\x0e\x01\x04\0
MarthaStoneOwl	{c[62cfff]}{r2[はし]}橋{/r2}の{r2[した]}下{/r2} ヒミツあり{c[ededed]}\x0e\x01\x04\0
YarnaStoneOwl	{c[62cfff]}{r2[ゆめ]}夢{/r2}が{r2[さ]}覚{/r2}めたら アワになる\nマモノもみんな アワになる{c[ededed]}\x0e\x01\x04\0\n{c[62cfff]}だからマモノは ジャマをする\n{r2[めざ]}目覚{/r2}めの{r2[ししゃ]}使者{/r2}の ジャマをする{c[ededed]}\x0e\x01\x04\0
FaceStoneOwl	{c[62cfff]}「かぜのさかな」の{r2[めざ]}目覚{/r2}め なくば\n{r2[ゆうしゃ]}勇者{/r2}は {r2[しま]}島{/r2}の{r2[つち]}土{/r2}になる{c[ededed]}\x0e\x01\x04\0
EastTalTalStoneOwl	{c[62cfff]}この{r2[さき]}先{/r2} オオワシの{r2[とう]}塔{/r2} あり\n{r2[ちゅうい]}注意{/r2}！ この{r2[あた]}辺{/r2}り カギなし{c[ededed]}\x0e\x01\x04\0
RapidsRideStoneOwl	{c[62cfff]}この{r2[あた]}辺{/r2}り ヒミツなし{c[ededed]}\x0e\x01\x04\0
NoBeakStoneOwl	{c[62cfff]}クチバシのない {r2[せきぞう]}石像{/r2}が {r2[なに]}何{/r2}か{r2[い]}言{/r2}っている。\n……{r2[き]}聞{/r2}き{r2[と]}取{/r2}れない{c[ededed]}\x0e\x01\x04\0 
Lv1StoneOwl1	{c[62cfff]}トゲ スルドキモノ タテニテ\nハジキ トバスベシ……{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl2	{c[62cfff]}ミチ トザサレシ ヘヤノ トビラ\nシカクノ ブロックヲ ウゴカスベシ{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl1	{c[62cfff]}ミチヲ フサグ トビデタル ユカ\nヒカル クリスタルヲ タタケ{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl2	{c[62cfff]}ユカノ モヨウヲ １ツニ スレバ\nアラタナ ミチガ ヒラカレル……{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl3	{c[62cfff]}サイショ オオミミノマモノ……\nサイゴ ドクロナイト……{c[ededed]}\x0e\x01\x04\0
Panel_Pod04C	{c[62cfff]}サイショ オオミミノマモノ……\nサイゴ ドクロナイト……{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl1	{c[62cfff]}トオイ トコロ……\nオソレズ ハシリ トブベシ……{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl2	{c[62cfff]}アヤシキ カベヲ ケンデ ツツケ\nオトノ チガイニ キヲツケルベシ{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl3	{c[62cfff]}カタキ カラヲモツ クロキマモノ\nウチガワヨリ コウゲキ クワエヨ{c[ededed]}\x0e\x01\x04\0
Lv4StoneOwl	{c[62cfff]}ヒカルユカ ソノ ウゴキシルモノ\nカナラズ ミチビカレル……{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl1	{c[62cfff]}ケンデ タオセヌ ガイコツケンシ\nクズレタ トコロヲ バクハスベシ{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl2	{c[62cfff]}４ツノ ロウソクガ マジワルトコロ\nフカク モグルベシ{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl1	{c[62cfff]}チズニ ウカブ カオ リョウノ\nメニ カベワリテ ハイルベシ{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl2	{c[62cfff]}ミチヲ フサグ クリスタルノユカ\nウエニ ノリテ サキ ススムベシ{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl3	{c[62cfff]}ツボニ カコマレシ タカラバコ\nショウゲキヲ アタエ アケルベシ{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl1	{c[62cfff]}４ホンノ ハシラ タオレルトキ\nナゾ トケリ{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl2	{c[62cfff]}タカキ ダイノウエノ タカラバコ\nサラナル タカサヨリ オチルベシ{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl3	{c[62cfff]}サキニ ススメヌ サクノ ムコウ\nソノテニ モツモノ ナゲコムベシ{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl1	{c[62cfff]}ミチツクル イワ{c[ededed]} \x0e\x01\x01\x01\x07 {c[62cfff]}ニテ{c[ededed]}\n{c[62cfff]}アヤツリ ユカ スベテウメルベシ{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl2	{c[62cfff]}カギヲ マモリシ ２ヒキノマモノ\nソトヨリタカキニ マワリコムベシ{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl3	{c[62cfff]}アヤシキ ヒトツメノ セキゾウ\nソノメヲ ヤ ニテ イヌクベシ{c[ededed]}\x0e\x01\x04\0
ColorDungeonStoneOwl	{c[62cfff]}イロ ツキシ トコロ タタクベシ\nスベテ シカク ニテ ナゾ トケリ{c[ededed]}\x0e\x01\x04\0
Npc.msbt
MarinAfterOpening	{r2[みち]}道{/r2}に{r2[そ]}沿{/r2}って {r2[みなみ]}南{/r2}に {r2[ある]}歩{/r2}けば\nアナタが {r2[なが]}流{/r2}れ{r2[つ]}着{/r2}いた {c[0095ef]}{r2[はまべ]}浜辺{/r2}{c[ededed]}よ\x0e\x01\x04\0\nただ アナタが {r2[しま]}島{/r2}に{r2[き]}来{/r2}てから かいぶつたちが\nこの{r2[あた]}辺{/r2}りにも ウロウロするようになったの\x0e\x01\x04\0\n{r2[き]}気{/r2}をつけて{r2[い]}行{/r2}ってね\x0e\x01\x04\0
MarinGetSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001やっぱり わたしは {r2[うた]}歌{/r2}が{r2[す]}好{/r2}き！\n\x0e\x01\x03\0は なにがすき？\x0e\x01\x04\0
Place.msbt
Lv1Dungeon	テールのほらあな
Lv2Dungeon	ツボのどうくつ
Lv3Dungeon	カギの{r2[あな]}穴{/r2}ぐら
Lv4Dungeon	アングラーの{r2[たき]}滝{/r2}ツボ
Lv5Dungeon	ナマズの{r2[おおぐち]}大口{/r2}
Lv6Dungeon	{r2[かお]}顔{/r2}の{r2[しんでん]}神殿{/r2}
Lv7Dungeon	オオワシの{r2[とう]}塔{/r2}
Lv8Dungeon	カメイワ
LastDungeon	{r2[せい]}聖{/r2}なるタマゴ
ClothesDungeon	{r2[ふく]}服{/r2}のダンジョン
SaleHouse	セールの{r2[いえ]}家{/r2}
PotholeField	アナボコ{r2[ばたけ]}畑{/r2}
GhostHouse	{r2[い]}入{/r2}り{r2[え]}江{/r2}の{r2[いえ]}家{/r2}
GameShop	{r2[いま]}今{/r2}はやりのゲーム
ToolShop	{r2[むら]}村{/r2}の{r2[どうぐや]}道具屋{/r2}さん
MarinHouse	マリンとタリンの{r2[いえ]}家{/r2}
WitchHouse	{r2[まほう]}魔法{/r2}おばばの{r2[いえ]}家{/r2}
YarnaDesert	ヤーナ{r2[さばく]}砂漠{/r2}
UkukuPrairie	ウクク{r2[そうげん]}草原{/r2}
Forest	ふしぎの{r2[もり]}森{/r2}
MountTamaranch	タマランチ{r2[やま]}山{/r2}
TalTalMountain	タルタル{r2[さんみゃく]}山脈{/r2}
SignpostMaze	カンバンの{r2[めいろ]}迷路{/r2}
MabeVillage	メーベの{r2[むら]}村{/r2}
AnimalVillage	どうぶつ{r2[むら]}村{/r2}
Graveyard	{r2[ぼち]}墓地{/r2}
RapidsRide	{r2[きゅうりゅう]}急流{/r2}すべり
KoholintPrairie	コホリント{r2[へいげん]}平原{/r2}
ToronboShores	トロンボ{r2[かいがん]}海岸{/r2}
MarthasBay	マーサの{r2[い]}入{/r2}り{r2[え]}江{/r2}
EastBay	{r2[い]}入{/r2}り{r2[え]}江{/r2}の{r2[ひがし]}東{/r2}
GopongaSwamp	ゴポンガの{r2[ぬま]}沼{/r2}
FaceShrine	{r2[かお]}顔{/r2}の{r2[しんでん]}神殿{/r2}
KanaletCastle	カナレットの{r2[しろ]}城{/r2}
TalTalHeights	タルタル{r2[こうち]}高地{/r2}
TabahlWasteland	タバールの{r2[はやし]}林{/r2}
SouthVillage	{r2[むら]}村{/r2}の{r2[みなみ]}南{/r2}
FishingPond	つりぼり
MadamHouse	マダムニャンニャンの{r2[いえ]}家{/r2}
UlriraHouse	うるりらじいさんの{r2[いえ]}家{/r2}
WriteHouse	ライトの{r2[いえ]}家{/r2}
TracyHouse	トレーシーのくすり{r2[や]}屋{/r2}さん
4childHouse	{r2[よ]}四{/r2}つ{r2[ご]}子{/r2}の{r2[いえ]}家{/r2}
DreamShrine	{r2[ゆめ]}夢{/r2}のほこら
TelephoneBox	{r2[でんわ]}電話{/r2}ボックス
ShellMansion	{r2[かい]}貝{/r2}がらの{r2[やかた]}館{/r2}
RichardHouse	リチャードの{r2[べっそう]}別荘{/r2}
CockHouse	ニワトリ{r2[ごや]}小屋{/r2}
Library	{r2[むら]}村{/r2}の{r2[としょかん]}図書館{/r2}
RaftShop	イカダ{r2[や]}屋{/r2}
ShrineFalls	{r2[しんでん]}神殿{/r2}の{r2[たき]}滝{/r2}
SouthShrine	{r2[みなみ]}南{/r2}の{r2[しんでん]}神殿{/r2}
DanpeiShack	ダンペイの{r2[こや]}小屋{/r2}
Lv1Dungeon_map	テールのほらあな
Lv2Dungeon_map	ツボのどうくつ
Lv3Dungeon_map	カギの{r2[あな]}穴{/r2}ぐら
Lv4Dungeon_map	アングラーの{r2[たき]}滝{/r2}ツボ
Lv5Dungeon_map	ナマズの{r2[おおぐち]}大口{/r2}
Lv6Dungeon_map	{r2[かお]}顔{/r2}の{r2[しんでん]}神殿{/r2}
Lv7Dungeon_map	オオワシの{r2[とう]}塔{/r2}
Lv8Dungeon_map	カメイワ
LastDungeon_map	{r2[せい]}聖{/r2}なるタマゴ
ClothesDungeon_map	{r2[ふく]}服{/r2}のダンジョン
PotholeField_map	アナボコ{r2[ばたけ]}畑{/r2}
GameShop_map	{r2[いま]}今{/r2}はやりのゲーム
ToolShop_map	{r2[むら]}村{/r2}の{r2[どうぐや]}道具屋{/r2}さん
WitchHouse_map	{r2[まほう]}魔法{/r2}おばばの{r2[いえ]}家{/r2}
YarnaDesert_map	ヤーナ{r2[さばく]}砂漠{/r2}
UkukuPrairie_map	ウクク{r2[そうげん]}草原{/r2}
Forest_map	ふしぎの{r2[もり]}森{/r2}
MountTamaranch_map	タマランチ{r2[やま]}山{/r2}
TalTalMountain_map	タルタル{r2[さんみゃく]}山脈{/r2}
MabeVillage_map	メーベの{r2[むら]}村{/r2}
AnimalVillage_map	どうぶつ{r2[むら]}村{/r2}
Graveyard_map	{r2[ぼち]}墓地{/r2}
RapidsRide_map	{r2[きゅうりゅう]}急流{/r2}すべり
KoholintPrairie_map	コホリント{r2[へいげん]}平原{/r2}
ToronboShores_map	トロンボ{r2[かいがん]}海岸{/r2}
MarthasBay_map	マーサの{r2[い]}入{/r2}り{r2[え]}江{/r2}
GopongaSwamp_map	ゴポンガの{r2[ぬま]}沼{/r2}
KanaletCastle_map	カナレットの{r2[しろ]}城{/r2}
TalTalHeights_map	タルタル{r2[こうち]}高地{/r2}
TabahlWasteland_map	タバールの{r2[はやし]}林{/r2}
FishingPond_map	つりぼり
TracyHouse_map	トレーシーのくすり{r2[や]}屋{/r2}さん
TelephoneBox_map	{r2[でんわ]}電話{/r2}ボックス
ShellMansion_map	{r2[かい]}貝{/r2}がらの{r2[やかた]}館{/r2}
Library_map	{r2[むら]}村{/r2}の{r2[としょかん]}図書館{/r2}
RaftShop_map	イカダ{r2[や]}屋{/r2}
SouthShrine_map	{r2[みなみ]}南{/r2}の{r2[しんでん]}神殿{/r2}
DanpeiShack_map	ダンペイの{r2[こや]}小屋{/r2}
WarpPoint_Ukuku	ウクク{r2[そうげん]}草原{/r2}
WarpPoint_Lv8dungeon	カメイワ
WarpPoint_TalTalHeights	タルタル{r2[こうち]}高地{/r2}
WarpPoint_AnimalVillage	どうぶつ{r2[むら]}村{/r2}
WarpPoint_MamboPond	マンボガ{r2[いけ]}池{/r2}
WarpPoint_DanpeiShack	ダンペイの{r2[こや]}小屋{/r2}
WarpPoint_ShellMansion	{r2[かい]}貝{/r2}がらの{r2[やかた]}館{/r2}
WarpPoint_TalTalMtEast	タルタル{r2[さんみゃく]}山脈{/r2} {r2[ひがし]}東{/r2}
WarpPoint_MarthasBay	マーサの{r2[い]}入{/r2}り{r2[え]}江{/r2}
WarpPoint_TalTalMtWest	タルタル{r2[さんみゃく]}山脈{/r2} {r2[にし]}西{/r2}
SBWeathercock	{r2[そら]}空{/r2}{r2[と]}飛{/r2}ぶニワトリ\nここに ねむる\x0e\x01\x04\0
SBShellMansion	{r2[かい]}貝{/r2}がらの{r2[やかた]}館{/r2}\x0e\x01\x04\0
SBYarnaDesert	\x0e\x01\0\x01\x14 ヤーナ{r2[さばく]}砂漠{/r2} {r2[いりぐち]}入口{/r2}\x0e\x01\x04\0
SBToronboShores	ウニ {r2[ちゅうい]}注意{/r2}！\n{r2[すで]}素手{/r2}で さわらないように！\x0e\x01\x04\0
SBForest	ふしぎの{r2[もり]}森{/r2}\nキケン！ モリブリン{r2[だいはっせいちゅう]}大発生中{/r2}！\x0e\x01\x04\0
SBRaftShop	アナタも チャレンジ！\nイカダで {r2[きゅうりゅう]}急流{/r2}すべり\x0e\x01\x04\0\n{r2[じむしょ]}事務所{/r2}へ どうぞ\x0e\x01\x04\0
SBEastMabe	{r2[ひがし]}東{/r2}\x0e\x01\0\x01\x14 ウクク{r2[そうげん]}草原{/r2}\nずっと{r2[ひがし]}東{/r2} どうぶつ{r2[むら]}村{/r2}\x0e\x01\x04\0
SBMountTamaranch	タマランチ{r2[やま]}山{/r2}\x0e\x01\x04\0
SBExitMabe	\x0e\x01\0\x01\x14   テールのほらあな\n\x0e\x01\0\x01\x13   トロンボ{r2[かいがん]}海岸{/r2}\x0e\x01\x04\0
SBWestGoponga	\x0e\x01\0\x01\x14   ゴポンガの{r2[ぬま]}沼{/r2}\n\x0e\x01\0\x01\x13   ふしぎの{r2[もり]}森{/r2}\x0e\x01\x04\0
