Glossary.msbt
glossary_Place01	長尾大空洞
glossary_Item08	弓箭
glossary_Item09	鉤索
glossary_Item10	魔術杖
glossary_Item11	迴旋鏢
glossary_Item12	陶笛
glossary_Item13	鐵鏟
glossary_Item14	魔法粉
glossary_Item15	炸彈
glossary_Item16	地圖
glossary_Item17	羅盤
glossary_Item18	小鑰匙
glossary_Item19	首領鑰匙
glossary_Item20	長尾鑰匙
glossary_Item21	黏液鑰匙
glossary_Item22	燈魚怪鑰匙
glossary_Item23	顏面鑰匙
glossary_Item24	飛鳥鑰匙
glossary_Item25	滿月小提琴
glossary_Item26	海螺號角
glossary_Item27	海百合鈴鐺
glossary_Item28	浪濤豎琴
glossary_Item29	暴風馬林巴琴
glossary_Item30	珊瑚三角鐵
glossary_Item31	夕靜風琴
glossary_Item32	遠雷鼓
glossary_Item33	酣睡菇
glossary_Item34	秘密貝殼
glossary_Item35	秘密藥品
glossary_Item36	黃金葉子
glossary_Item37	燈魚怪蛙鞋
glossary_Item38	盧比
glossary_Item39	心
glossary_Item40	心之碎片
glossary_Item41	心之容器
glossary_Item42	妖精
glossary_Item43	守護果實
glossary_Item44	力量碎片
glossary_Item45	石喙
glossary_Item46	耀西娃娃
glossary_Item47	緞帶
glossary_Item48	狗食
glossary_Item49	香蕉
glossary_Item50	棒子
glossary_Item51	蜂巢
glossary_Item52	鳳梨
glossary_Item53	山羊的信
glossary_Item54	掃把
glossary_Item55	釣鉤
glossary_Item56	項鍊
glossary_Item57	人魚鱗片
glossary_Item58	透視鏡
glossary_Item59	紅色衣服
glossary_Item60	藍色衣服
glossary_Item61	遺失的劍
glossary_Item62	蘑菇
glossary_Item63	瑟蓮的樂器
glossary_Item64	笛子
glossary_Item65	箭
glossary_Item66	嗷嗷塑像
glossary_Item67	栗寶寶塑像
glossary_Item68	刺刺龜塑像
glossary_Item69	害羞幽靈塑像
glossary_Item70	泡泡魚塑像
glossary_Item71	魷魷塑像
glossary_Item72	嘿呵塑像
glossary_Item73	吞食花塑像
glossary_Item74	刺球丸子塑像
glossary_Item75	汪汪塑像
glossary_Item76	貝殼偵測器
glossary_Item77	妖精瓶子
glossary_Item78	朱槿
glossary_Item79	綠色衣服
glossary_Item80	可湖霖之劍
glossary_npc01	瑪林
glossary_npc02	塔林
glossary_npc03	喵喵夫人
glossary_npc04	汪汪
glossary_npc05	嗷嗷
glossary_npc06	亞荷奶奶
glossary_npc07	烏魯里拉爺爺
glossary_npc08	道具店老闆
glossary_npc09	遊戲店老闆
glossary_npc10	釣魚池店主
glossary_npc11	巴巴爾
glossary_npc12	瑪瑪莎
glossary_npc13	坦坦
glossary_npc14	湯湯
glossary_npc15	團團
glossary_npc16	天天
glossary_npc17	狐狸
glossary_npc18	貓頭鷹
glossary_npc19	瑟勒
glossary_npc20	惡作劇狸貓
glossary_npc21	大妖精
glossary_npc22	魔法婆婆
glossary_npc23	萊特博士
glossary_npc24	崔西
glossary_npc25	老鼠
glossary_npc26	小惡魔
glossary_npc27	理查德
glossary_npc28	吱吱猴
glossary_npc29	戒
glossary_npc30	備
glossary_npc31	妖精女王
glossary_npc32	熊廚師
glossary_npc33	克莉絲汀
glossary_npc34	舒爾‧多納皮契
glossary_npc35	模特兒河馬
glossary_npc36	兔子
glossary_npc37	海象
glossary_npc38	小熊
glossary_npc39	南國鳥
glossary_npc40	曼波為五郎
glossary_npc41	鬼怪
glossary_npc42	釣魚池店主
glossary_npc43	人魚
glossary_npc44	木筏店老闆
glossary_npc45	瑪穆
glossary_npc46	卓拉
glossary_npc47	果里亞
glossary_npc48	雞舍叔叔
glossary_npc49	風魚
glossary_npc50	丹培
glossary_npc51	貝殼館主人
glossary_npc52	說話樹
glossary_npc53	？？？
glossary_npc54	嗷嗷
glossary_panel01	嵌板迷宮
glossary_panel02	嵌板
glossary_panel03	＋拼片
glossary_panel04	考驗
glossary_panel05	不可用劍
glossary_panel06	規定心數
glossary_panel07	限制時間
glossary_panel08	開始嵌板
glossary_panel09	終點首領嵌板
glossary_panel10	通道
glossary_panel11	嵌石
glossary_panel12	大妖精嵌板
glossary_panel13	大布林嵌板
glossary_panel14	鐵球兵嵌板
glossary_panel15	羽毛道具嵌板
glossary_panel16	巨霸阿默斯嵌板
glossary_panel17	暗影林克＋拼片
glossary_panel18	炸彈＋拼片
glossary_panel19	盧比＋拼片
glossary_panel20	心＋拼片
glossary_panel21	怪物增加＋拼片
glossary_panel22	天魔手＋拼片
glossary_ui01	道具
glossary_ui02	地圖
glossary_ui03	系統
glossary_ui04	傳送
glossary_ui05	回憶
glossary_ui06	圖釘
glossary_ui07	樓梯
glossary_ui08	上鎖門
glossary_ui09	上鎖磚塊
glossary_ui10	設置道具
glossary_ui11	收藏道具
glossary_enemy01	玻石蟲
glossary_enemy02	八爪投石怪
glossary_enemy03	海膽
glossary_enemy04	利巴
glossary_enemy05	皮斯
glossary_enemy06	K.K.
glossary_enemy07	匹哈特
glossary_enemy08	莫力布林（劍）
glossary_enemy09	莫力布林（槍）
glossary_enemy10	帶電液形蟲
glossary_enemy11	諾默斯
glossary_enemy12	魔鴉
glossary_enemy13	翅鰭食人魚
glossary_enemy14	摩尼亞
glossary_enemy15	阿那摩尼亞
glossary_enemy16	畸靈
glossary_enemy17	巨霸畸靈
glossary_enemy18	喪屍
glossary_enemy19	豬布林（劍）
glossary_enemy20	豬布林（槍）
glossary_enemy21	阿默斯
glossary_enemy23	飛行八爪怪
glossary_enemy24	嗶可鳥
glossary_enemy25	冒冒
glossary_enemy26	卓拉
glossary_enemy27	泥怪（綠）
glossary_enemy28	泥怪（紅）
glossary_enemy29	小泥怪
glossary_enemy30	寄居蟲
glossary_enemy31	寄居蟲（草）
glossary_enemy32	寄居蟲（石）
glossary_enemy33	寄居蟲（骷髏）
glossary_enemy34	刺球丸子
glossary_enemy35	妖啾
glossary_enemy36	珠殼蟲
glossary_enemy37	羅普
glossary_enemy38	拜爾
glossary_enemy39	長尾
glossary_enemy40	刺刺龜
glossary_enemy41	維加斯
glossary_enemy42	死亡珠
glossary_enemy43	吞食花
glossary_enemy44	穴居重鉗臂
glossary_enemy45	髑髏騎士
glossary_enemy46	髑髏騎士（劍）
glossary_enemy47	仿仿
glossary_enemy48	轟彈（紅）
glossary_enemy49	轟彈（綠）
glossary_enemy50	吉波得
glossary_enemy51	蝙蝠
glossary_enemy52	黑甲武士（劍）
glossary_enemy53	黑甲武士（槍）
glossary_enemy54	慄音怪
glossary_enemy55	來客來客
glossary_enemy56	骷髏戰士（綠）
glossary_enemy57	骷髏戰士（橘）
glossary_enemy58	長袍魔法師
glossary_enemy59	栗寶寶
glossary_enemy60	電球
glossary_enemy61	飛栗子
glossary_enemy62	卡比
glossary_enemy63	跟屁獸
glossary_enemy64	嘿呵
glossary_enemy65	晃頭鳥
glossary_enemy66	浮蟲
glossary_enemy67	芭蕾星
glossary_enemy68	泡泡魚
glossary_enemy69	小燈魚怪
glossary_enemy70	魷魷
glossary_enemy71	飛行骸骨
glossary_enemy72	嚇嚇怪（綠）
glossary_enemy73	嚇嚇怪（紅）
glossary_enemy74	嚇嚇怪（藍）
glossary_enemy75	滾滾殼（綠）
glossary_enemy76	滾滾殼（紅）
glossary_enemy77	滾滾殼（藍）
glossary_enemy78	害羞幽靈
glossary_enemy79	推推
glossary_enemy80	大布林
glossary_enemy81	西諾克斯
glossary_enemy82	炸彈武士
glossary_enemy83	鐵球兵
glossary_enemy84	多東哥
glossary_enemy85	拉內莫拉
glossary_enemy86	浮游跟屁獸
glossary_enemy87	骷髏劍士至尊
glossary_enemy88	哥馬
glossary_enemy89	巨霸阿默斯
glossary_enemy90	傑奇
glossary_enemy91	嗶可鳥使者
glossary_enemy92	烏龜巖
glossary_enemy93	拳擊怪
glossary_enemy94	巨霸噸
glossary_enemy95	液形蟲首領
glossary_enemy96	重珠殼蟲
glossary_enemy97	巨霸長尾
glossary_enemy98	壺魔王
glossary_enemy99	巨霸泥怪
glossary_enemy100	燈魚怪
glossary_enemy111	鉤尾鯰
glossary_enemy112	妖面
glossary_enemy113	刑天翁
glossary_enemy114	巨霸炎魔
glossary_enemy115	泥怪
glossary_enemy116	阿格甯
glossary_enemy117	德庫長尾
glossary_enemy118	加儂
glossary_enemy119	拉內莫拉
glossary_enemy120	魔影
glossary_enemy121	小魚
glossary_enemy122	大魚
glossary_enemy123	魚王
glossary_sequence1	怪物
glossary_sequence2	魔物
glossary_sequence3	可湖霖
glossary_sequence4	島
glossary_sequence5	甦醒使者
glossary_sequence6	使者
glossary_sequence7	勇者
glossary_sequence8	神
glossary_sequence9	樂器
glossary_sequence10	黃金葉子
glossary_sequence11	葉子
glossary_sequence12	古代遺蹟
glossary_sequence13	遺蹟
glossary_sequence14	山塔
glossary_sequence15	東塔
glossary_sequence16	飛天雞
glossary_sequence17	飛天咕咕雞
glossary_sequence18	雞
glossary_sequence19	蘑菇
glossary_sequence20	克莉絲丁
glossary_sequence21	萊特先生
glossary_sequence22	風魚之歌
glossary_sequence23	甦醒之歌
glossary_sequence24	曼波魚之曼波曲
glossary_sequence25	蛙之靈魂曲
glossary_sequence26	釣魚
glossary_sequence27	輕假餌
glossary_sequence28	稍重假餌
glossary_sequence29	重假餌
glossary_sequence30	急流泛舟
glossary_sequence31	收集道具
glossary_sequence32	計時
glossary_sequence33	石板
glossary_sequence34	烏鴉
glossary_sequence35	敵對士兵
glossary_sequence36	沼澤
glossary_sequence37	花
glossary_sequence38	草原
glossary_sequence39	瀑布
glossary_sequence40	海灣
glossary_sequence41	神殿
glossary_sequence42	山
glossary_sequence43	小偷
glossary_sequence44	長尾鑰匙孔
glossary_sequence45	黏液鑰匙孔
glossary_sequence46	燈魚怪鑰匙孔
glossary_sequence47	飛鳥鑰匙孔
glossary_sequence48	顏面鑰匙孔
Graphic.msbt
Hint.msbt
WestTalTalStoneOwl	{c[62cfff]}前往謁見神之蛋，\n奏一曲，神將顯靈。{c[ededed]}\x0e\x01\x04\0
PotholeStoneOwl	{c[62cfff]}秘密藏腳下。{c[ededed]}\x0e\x01\x04\0
UkukuStoneOwl	{c[62cfff]}秘密藏近處。{c[ededed]}\x0e\x01\x04\0
TalTalHeightStoneOwl	{c[62cfff]}其名「風魚」非魚也，\n其能呼風亦非鳥。{c[ededed]}\x0e\x01\x04\0
MarthaStoneOwl	{c[62cfff]}秘密藏橋下。{c[ededed]}\x0e\x01\x04\0
YarnaStoneOwl	{c[62cfff]}夢醒後將化為泡影，\n怪物你我皆成泡影，\x0e\x01\x04\0\n怪物故而群起反抗，\n萬般阻撓甦醒使者。\x0e\x01\x04\0{c[ededed]}
FaceStoneOwl	{c[62cfff]}「風魚」若不甦醒，\n勇者終將化為島上之塵土。{c[ededed]}\x0e\x01\x04\0
EastTalTalStoneOwl	{c[62cfff]}大鷲塔於前方。\n注意！近處無鑰匙。{c[ededed]}\x0e\x01\x04\0
RapidsRideStoneOwl	{c[62cfff]}此處無秘密。{c[ededed]}\x0e\x01\x04\0
NoBeakStoneOwl	{c[62cfff]}欠缺石喙的石像在說話。\n……不過聽不清楚。{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl1	{c[62cfff]}尖刺銳利者，\n宜以盾抵擋擊退……{c[ededed]}\x0e\x01\x04\0
Lv1StoneOwl2	{c[62cfff]}移動方體，\n開啟緊閉之門扉。{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl1	{c[62cfff]}隆起地板，阻礙前路。\n發光水晶，擊之開路。{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl2	{c[62cfff]}地板圖案一致時，\n嶄新道路將開啟……{c[ededed]}\x0e\x01\x04\0
Lv2StoneOwl3	{c[62cfff]}首先除大耳怪物……\n最後斬髑髏騎士……{c[ededed]}\x0e\x01\x04\0
Panel_Pod04C	{c[62cfff]}首先除大耳怪物……\n最後斬髑髏騎士……{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl1	{c[62cfff]}面對遠地……\n無所畏懼，飛奔躍起……{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl2	{c[62cfff]}探怪牆，以劍擊之，\n聽迴響，分辨其異。{c[ededed]}\x0e\x01\x04\0
Lv3StoneOwl3	{c[62cfff]}硬殼黑怪物，\n攻擊其內部。{c[ededed]}\x0e\x01\x04\0
Lv4StoneOwl	{c[62cfff]}知發光地板動靜者，\n必將得到引導……{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl1	{c[62cfff]}骷髏劍士，用劍難除。\n趁骨碎時，爆破除之。{c[ededed]}\x0e\x01\x04\0
Lv5StoneOwl2	{c[62cfff]}蠟燭立四方，燭火相交雜，\n思其交匯點，深潛入其下。{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl1	{c[62cfff]}地圖如顏，\n攻其雙目，破壁而入。{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl2	{c[62cfff]}水晶地板阻去路，\n踏在其上向前行。{c[ededed]}\x0e\x01\x04\0
Lv6StoneOwl3	{c[62cfff]}壺環寶物，\n以物擊之，方可開啟。{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl1	{c[62cfff]}四柱崩塌之時，\n謎團將會解開。{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl2	{c[62cfff]}欲取高台之寶箱，\n於更高處向下躍。{c[ededed]}\x0e\x01\x04\0
Lv7StoneOwl3	{c[62cfff]}若遇無法前行之欄柵，\n朝欄柵內投擲手中物。{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl1	{c[62cfff]}建路之岩，以\x0e\x01\x01\x01\x07操控，{c[ededed]}\n{c[62cfff]}填平地面。{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl2	{c[62cfff]}守護鑰匙兩怪物，\n外繞高處擊倒之。{c[ededed]}\x0e\x01\x04\0
Lv8StoneOwl3	{c[62cfff]}若見獨眼怪石像，\n須以箭矢穿其目。{c[ededed]}\x0e\x01\x04\0
ColorDungeonStoneOwl	{c[62cfff]}務須打擊著色處，\n皆成正方謎自解。{c[ededed]}\x0e\x01\x04\0
Npc.msbt
MarinAfterOpening	沿著路往南方走，\n就能到達你被沖上岸的{c[0095ef]}海灘{c[ededed]}。\x0e\x01\x04\0\n不過，自從你來到這個島之後，\n就連這附近也開始有魔物徘徊。\x0e\x01\x04\0\n你千萬要小心喔。\x0e\x01\x04\0
MarinGetSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001我果然還是最喜歡唱歌！\n\x0e\x01\x03\0你喜歡什麼？\x0e\x01\x04\0
Place.msbt
Lv1Dungeon	長尾大空洞
Lv2Dungeon	壺洞窟
Lv3Dungeon	鑰匙地洞
Lv4Dungeon	燈魚怪瀑布池
Lv5Dungeon	鯰魚大嘴
Lv6Dungeon	臉孔神殿
Lv7Dungeon	大鷲塔
Lv8Dungeon	烏龜巖
LastDungeon	聖蛋
ClothesDungeon	衣服迷宮
SaleHouse	瑟勒的家
PotholeField	坑洞田
GhostHouse	海灣的家
GameShop	流行遊戲
ToolShop	村莊道具店
MarinHouse	瑪林和塔林的家
WitchHouse	魔法婆婆的家
YarnaDesert	亞那沙漠
UkukuPrairie	烏庫庫草原
Forest	不可思議森林
MountTamaranch	塔馬蘭奇山
TalTalMountain	達達山脈
SignpostMaze	路牌迷宮
MabeVillage	梅貝村
AnimalVillage	動物村
Graveyard	墳場
RapidsRide	急流泛舟
KoholintPrairie	可湖霖平原
ToronboShores	托隆波海岸
MarthasBay	瑪莎海灣
EastBay	海灣東面
GopongaSwamp	果彭加沼澤
FaceShrine	臉孔神殿
KanaletCastle	卡那列城
TalTalHeights	達達高原
TabahlWasteland	塔巴林地
SouthVillage	村子南面
FishingPond	釣魚池
MadamHouse	喵喵夫人的家
UlriraHouse	烏魯里拉爺爺的家
WriteHouse	萊特的家
TracyHouse	古怪崔西的藥店
4childHouse	四小福的家
DreamShrine	夢之祠堂
TelephoneBox	電話亭
ShellMansion	貝殼館
RichardHouse	理查德的別墅
CockHouse	雞舍
Library	村立圖書館
RaftShop	木筏店
ShrineFalls	神殿瀑布
SouthShrine	南方神殿
DanpeiShack	丹培的小屋
Lv1Dungeon_map	長尾大空洞
Lv2Dungeon_map	壺洞窟
Lv3Dungeon_map	鑰匙地洞
Lv4Dungeon_map	燈魚怪瀑布池
Lv5Dungeon_map	鯰魚大嘴
Lv6Dungeon_map	臉孔神殿
Lv7Dungeon_map	大鷲塔
Lv8Dungeon_map	烏龜巖
LastDungeon_map	聖蛋
ClothesDungeon_map	衣服迷宮
PotholeField_map	坑洞田
GameShop_map	流行遊戲
ToolShop_map	村莊道具店
WitchHouse_map	魔法婆婆的家
YarnaDesert_map	亞那沙漠
UkukuPrairie_map	烏庫庫草原
Forest_map	不可思議森林
MountTamaranch_map	塔馬蘭奇山
TalTalMountain_map	達達山脈
MabeVillage_map	梅貝村
AnimalVillage_map	動物村
Graveyard_map	墳場
RapidsRide_map	急流泛舟
KoholintPrairie_map	可湖霖平原
ToronboShores_map	托隆波海岸
MarthasBay_map	瑪莎海灣
GopongaSwamp_map	果彭加沼澤
KanaletCastle_map	卡那列城
TalTalHeights_map	達達高原
TabahlWasteland_map	塔巴林地
FishingPond_map	釣魚池
TracyHouse_map	古怪崔西的藥店
TelephoneBox_map	電話亭
ShellMansion_map	貝殼館
Library_map	村立圖書館
RaftShop_map	木筏店
SouthShrine_map	南方神殿
DanpeiShack_map	丹培的小屋
WarpPoint_Ukuku	烏庫庫草原
WarpPoint_Lv8dungeon	烏龜巖
WarpPoint_TalTalHeights	達達高原
WarpPoint_AnimalVillage	動物村
WarpPoint_MamboPond	曼波池
WarpPoint_DanpeiShack	丹培的小屋
WarpPoint_ShellMansion	貝殼館
WarpPoint_TalTalMtEast	達達山脈 東面
WarpPoint_MarthasBay	瑪莎海灣
WarpPoint_TalTalMtWest	達達山脈 西面
SBWeathercock	飛天雞\n沉睡於此地\x0e\x01\x04\0
SBShellMansion	貝殼館\x0e\x01\x04\0
SBYarnaDesert	\x0e\x01\0\x01\x14 亞那沙漠入口\x0e\x01\x04\0
SBToronboShores	小心海膽！\n請勿徒手觸碰！\x0e\x01\x04\0
SBForest	不可思議森林\n危險！莫力布林大量出沒中！\x0e\x01\x04\0
SBRaftShop	邀請你來挑戰！\n乘上木筏急流泛舟\x0e\x01\x04\0\n如欲參加，請至辦公室\x0e\x01\x04\0
SBEastMabe	東\x0e\x01\0\x01\x14 烏庫庫草原\n遠東：動物村\x0e\x01\x04\0
SBMountTamaranch	塔馬蘭奇山\x0e\x01\x04\0
SBExitMabe	\x0e\x01\0\x01\x14　長尾大空洞\n\x0e\x01\0\x01\x13　托隆波海岸\x0e\x01\x04\0
SBWestGoponga	\x0e\x01\0\x01\x14　果彭加沼澤\n\x0e\x01\0\x01\x13　不可思議森林\x0e\x01\x04\0
SBForestCaution	小心龜裂地板！\n過重的人請勿踏上！\x0e\x01\x04\0
SBTelephoneBox	電話亭\x0e\x01\x04\0
SBGoponga	危險！\n汪汪以外，請勿進入！\x0e\x01\x04\0
SBMamuMazeSouthStart	這是最初的路牌。\n往\x0e\x01\0\x01\x13的方向前進\x0e\x01\x04\0
SBMamuMazeSouth	往\x0e\x01\0\x01\x13的方向前進\x0e\x01\x04\0
SBMamuMazeNorth	往\x0e\x01\0\x01\x12的方向前進\x0e\x01\x04\0
SBMamuMazeEast	往\x0e\x01\0\x01\x14的方向前進\x0e\x01\x04\0
SBMamuMazeWest	往\x0e\x01\0\x01\x15的方向前進\x0e\x01\x04\0
SBMamuMazeReset	回到起點\n重新開始！\x0e\x01\x04\0
SBMamuMazeClear	非常精彩！你過關了！\n走過樓梯就會看到獎品……\x0e\x01\x04\0\n敬請期待！\x0e\x01\x04\0
SBMamuByebye	我們去巡迴演出了。\n                                  瑪穆上\x0e\x01\x04\0
SBMamuMazeReverse	從這邊看不到牌上的字……\x0e\x01\x04\0
SBManbosPond	\x0e\x01\0\x01\x14　古怪崔西的家\n\x0e\x01\0\x01\x13　曼波池\x0e\x01\x04\0
SBMarthasBay	\x0e\x01\0\x01\x14 動物村\n\x0e\x01\0\x01\x13 瑪莎海灣\x0e\x01\x04\0
SBAnimalVillage	\x0e\x01\0\x01\x14 歡迎光臨動物村！\x0e\x01\x04\0
SBCemetery	\x0e\x01\0\x01\x14 墳場\n\x0e\x01\0\x01\x13 烏庫庫草原\x0e\x01\x04\0
SBTalTalHeights	這一帶是達達高原\n\x0e\x01\0\x01\x14 丹培的小屋就在附近\x0e\x01\x04\0
SBMoblinsCave	\x0e\x01\0\x01\x14 塔馬蘭奇山\n\x0e\x01\0\x01\x15 果彭加沼澤\x0e\x01\x04\0
SBRichardHouse	理查德的別墅\x0e\x01\x04\0
SBKanaletCount10	距離卡那列城\n還要１０分鐘 \x0e\x01\0\x01\x14 \x0e\x01\0\x01\x12\x0e\x01\x04\0
SBKanaletCount5	距離卡那列城\n還要５分鐘 \x0e\x01\0\x01\x14\x0e\x01\x04\0
SBKanaletMove50	距離卡那列城\n還要５０步 \x0e\x01\0\x01\x12\x0e\x01\x04\0
SBFishPond	\x0e\x01\0\x01\x12 前方為釣魚池\x0e\x01\x04\0
SBTalTal	\x0e\x01\0\x01\x12 前方為達達高原\x0e\x01\x04\0
SBDanpeiMebe	\x0e\x01\0\x01\x14\x0e\x01\0\x01\x12此處往右上走便是丹培的小屋\n正在招募冒險小幫手！\x0e\x01\x04\0
SBDanpeiUkuku	\x0e\x01\0\x01\x12上方為丹培的小屋\n這裡有不可思議的遺蹟\x0e\x01\x04\0
SBDanpeiTalTal	\x0e\x01\0\x01\x13下方為丹培的小屋\n若撿到不可思議的石頭，請帶過來\x0e\x01\x04\0
Scenario.msbt
Lv1FirstMarin1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_005啊！你醒來了！\n太好了！\x0e\x01\x04\0
Lv1FirstMarin2	還以為已經沒救了……\x0e\x01\x04\0\x0e\0\x04\0你剛才好像在做噩夢……\n一直在痛苦地呻吟。\x0e\x01\x04\0
Lv1FirstMarin3	……咦？薩爾達？\x0e\x01\x04\0
Lv1FirstMarin4	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001你認錯人了，我叫{c[d9456d]}瑪林{c[ededed]}。\n你還沒完全清醒吧。\x0e\x01\x04\0\n這裡是{c[0095ef]}可湖霖島{c[ededed]}喔。\x0e\x01\x04\0
Lv1FirstTarin1	\x0e\x01\x0b\x12\x10\0SE_NPC_TARIN_001喲，\x0e\x01\x03\0，你醒來啦？\n俺叫{c[d9456d]}塔林{c[ededed]}。你還好嗎？\x0e\x01\x04\0
Lv1FirstTarin2	嗯！？你在想\n俺怎麼知道你的名字是嗎……？\x0e\x01\x04\0\n俺只是看到盾背面寫的名字的唷。\n就是這面盾，拿去吧！\x0e\x01\x04\0
Lv1GetShield	拿回{c[d9456d]}盾{c[ededed]}了！\n按住\x0e\x01\x01\x01\x0d的時候可以彈開敵人。\x0e\x01\x04\0
Lv1Owl1_1	嗚嗚！嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0原來孩子你是這把劍的主人啊……\x0e\x01\x04\0\x0e\0\x04\0嗚嗚！原來如此。\n怪不得怪物們都開始四處鬧事，\x0e\x01\x04\0\n畢竟告知{c[d9456d]}風魚{c[ededed]}甦醒的使者\n出現了呢。\x0e\x01\x04\0\n據說若不喚醒{c[d9456d]}風魚{c[ededed]}，\n那位使者便會永遠被困於島上……\x0e\x01\x04\0\n嗚！來村子北面的\n{c[0095ef]}不可思議森林{c[ededed]}吧。\x0e\x01\x04\0\n吾會在那裡等你……\n嗚嗚！嗚嗚！\x0e\x01\x04\0
Lv1GetSword	得到了遺失的{c[d9456d]}劍{c[ededed]}！\n上面有自己的名字，肯定就是這一把劍！\x0e\x01\x04\0\n這樣就能攻擊敵人了。\n按下\x0e\x01\x01\x01/揮劍吧！\x0e\x01\x04\0
Lv1Owl2_1	嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0告知甦醒訊息的勇者大人，\n歡迎來到不可思議森林。\x0e\x01\x04\0\n這座島嶼名為可湖霖島，\n是絕對不會被記載在地圖上的島嶼。\x0e\x01\x04\0\n這裡建立在與孩子你的世界\n稍微不同的法則之下。\x0e\x01\x04\0\n誰也不能離開這座島嶼。\x0e\x01\x04\0\x0e\0\x04\0只要統治可湖霖島的神{c[d9456d]}風魚{c[ededed]}一直沉睡，\n就無法開啟通往外面世界的道路。\x0e\x01\x04\0\n……話說回來，你看到了在村子南面的\n{c[0095ef]}長尾大空洞{c[ededed]}嗎？\x0e\x01\x04\0\n拿著在這座森林某處的鑰匙，\n到{c[0095ef]}長尾大空洞{c[ededed]}去吧！\x0e\x01\x04\0\n{c[d9456d]}風魚{c[ededed]}在注視著你。\n嗚嗚！嗚嗚！\x0e\x01\x04\0
Lv1Raccoon1	\x0e\x01\x0b\x13\x11\0SE_NPC_TANUKI_001俺是惡作劇狸貓……\n最討厭像粉狀的東西的唷～！\x0e\x01\x04\0
Lv1Raccoon2	\x0e\x01\x0b\x13\x11\0SE_NPC_TANUKI_002嘻嘻嘻！在不可思議森林中\n迷路了呢！咚咚！\x0e\x01\x04\0
WitchHaveNeboketake	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_001喔喔！那是{c[d9456d]}酣睡菇{c[ededed]}！\n給我三秒鐘，我來替你製作個好東西！\x0e\x01\x04\0
WitchGetPowder	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_003來！大功告成了！\n使用時要注意一下剩餘的次數喔。\x0e\x01\x04\0\n先試著撒在這房間的某處吧……\x0e\x01\x04\0
