FlowchartMsg_USen_szs\ActivityAchievements.msbt
Conjunction00	Furthermore!
ArmTwist_1	You've become a \x0e\0\x03\x02\x01\0Devoted Arm Twister\x0e\0\x03\x02ÿÿ!
ArmTwist_2	You've become an \x0e\0\x03\x02\x01\0Intense Arm Twister\x0e\0\x03\x02ÿÿ!
ArmTwist_3	You've become a \x0e\0\x03\x02\x01\0Relentless Arm Twister\x0e\0\x03\x02ÿÿ!
ArmTwist_4	You've become an \x0e\0\x03\x02\x01\0Insatiable Arm Twister\x0e\0\x03\x02ÿÿ!
KneeToChest_1	From now on, you may be known as\n\x0e\0\x03\x02\x01\0Surprised by Knee-to-Chest\x0e\0\x03\x02ÿÿ!
KneeToChest_2	From now on, you may be known as\n\x0e\0\x03\x02\x01\0Familiar with Knee-to-Chest\x0e\0\x03\x02ÿÿ!
KneeToChest_3	From now on, you may be known as\n\x0e\0\x03\x02\x01\0Close to Knee-to-Chest\x0e\0\x03\x02ÿÿ!
KneeToChest_4	From now on, you may be known as\n\x0e\0\x03\x02\x01\0Beloved by Knee-to-Chest\x0e\0\x03\x02ÿÿ!
LegRaise_1	From now on, people will call you\na \x0e\0\x03\x02\x01\0Reputable Leg Raiser\x0e\0\x03\x02ÿÿ!
LegRaise_2	From now on, people will call you\na \x0e\0\x03\x02\x01\0Storied Leg Raiser\x0e\0\x03\x02ÿÿ!
LegRaise_3	From now on, people will call you\na \x0e\0\x03\x02\x01\0Renowned Leg Raiser\x0e\0\x03\x02ÿÿ!
LegRaise_4	From now on, people will call you\na \x0e\0\x03\x02\x01\0Legendary Leg Raiser\x0e\0\x03\x02ÿÿ!
AshiPaka_1	How would you like to be called\n\x0e\0\x03\x02\x01\0Open & Close Legs Clothespin\x0e\0\x03\x02ÿÿ?
AshiPaka_2	How would you like to be called\n\x0e\0\x03\x02\x01\0Open & Close Legs Binder Clip\x0e\0\x03\x02ÿÿ?
AshiPaka_3	How would you like to be called\n\x0e\0\x03\x02\x01\0Open & Close Legs Alligator Clip\x0e\0\x03\x02ÿÿ?
AshiPaka_4	How would you like to be called\n\x0e\0\x03\x02\x01\0Open & Close Legs Steel Trap\x0e\0\x03\x02ÿÿ?
Plank_1	It wouldn't be exaggerating to call you\n\x0e\0\x03\x02\x01\0Way into Planking\x0e\0\x03\x02ÿÿ!
Plank_2	It wouldn't be exaggerating to call you\n\x0e\0\x03\x02\x01\0Extremely into Planking\x0e\0\x03\x02ÿÿ!
Plank_3	It wouldn't be exaggerating to call you\n\x0e\0\x03\x02\x01\0Unnervingly into Planking\x0e\0\x03\x02ÿÿ!
Plank_4	It wouldn't be exaggerating to call you\n\x0e\0\x03\x02\x01\0Entirely Too into Planking\x0e\0\x03\x02ÿÿ!
ForwardPush_1	I think it's fair to say that you're now a\n\x0e\0\x03\x02\x01\0Seated-Forward-Press Student\x0e\0\x03\x02ÿÿ!
ForwardPush_2	I think it's fair to say that you're now a\n\x0e\0\x03\x02\x01\0Seated-Forward-Press Graduate\x0e\0\x03\x02ÿÿ!
ForwardPush_3	I think it's fair to say that you're now a\n\x0e\0\x03\x02\x01\0Seated-Forward-Press Professor\x0e\0\x03\x02ÿÿ!
ForwardPush_4	I think it's fair to say that you're now a\n\x0e\0\x03\x02\x01\0Seated-Forward-Press Dean\x0e\0\x03\x02ÿÿ!
HipLift_1	I'd be proud to call you a\n\x0e\0\x03\x02\x01\0Rookie Hip Lifter\x0e\0\x03\x02ÿÿ!
HipLift_2	I'd be proud to call you a\n\x0e\0\x03\x02\x01\0Trained Hip Lifter\x0e\0\x03\x02ÿÿ!
HipLift_3	I'd be proud to call you a\n\x0e\0\x03\x02\x01\0Seasoned Hip Lifter\x0e\0\x03\x02ÿÿ!
HipLift_4	I'd be proud to call you a\n\x0e\0\x03\x02\x01\0Veteran Hip Lifter\x0e\0\x03\x02ÿÿ!
MomodePush_1	It's safe to say that you've become a\n\x0e\0\x03\x02\x01\0Thigh-Press Rehearser\x0e\0\x03\x02ÿÿ!
MomodePush_2	It's safe to say that you've become a\n\x0e\0\x03\x02\x01\0Thigh-Press Performer\x0e\0\x03\x02ÿÿ!
MomodePush_3	It's safe to say that you've become a\n\x0e\0\x03\x02\x01\0Thigh-Press Soloist\x0e\0\x03\x02ÿÿ!
MomodePush_4	It's safe to say that you've become a\n\x0e\0\x03\x02\x01\0Thigh-Press Maestro\x0e\0\x03\x02ÿÿ!
BackPush_1	From this day forward, you may be known\nas a \x0e\0\x03\x02\x01\0Back-Press Bit Player\x0e\0\x03\x02ÿÿ!
BackPush_2	From this day forward, you may be known\nas a \x0e\0\x03\x02\x01\0Back-Press Breakout\x0e\0\x03\x02ÿÿ!
BackPush_3	From this day forward, you may be known\nas a \x0e\0\x03\x02\x01\0Back-Press Sensation\x0e\0\x03\x02ÿÿ!
BackPush_4	From this day forward, you may be known\nas a \x0e\0\x03\x02\x01\0Back-Press Superstar\x0e\0\x03\x02ÿÿ!
BanzaiPush_1	\x0e\0\x03\x02\x01\0Overhead-Press Hobbyist \x0e\0\x03\x02ÿÿis a very fitting\ntitle for you!
BanzaiPush_2	\x0e\0\x03\x02\x01\0Overhead-Press Devotee \x0e\0\x03\x02ÿÿis a very fitting\ntitle for you!
BanzaiPush_3	\x0e\0\x03\x02\x01\0Overhead-Press Maniac \x0e\0\x03\x02ÿÿis a very fitting\ntitle for you!
BanzaiPush_4	\x0e\0\x03\x02\x01\0Overhead-Press Zealot \x0e\0\x03\x02ÿÿis a very fitting\ntitle for you!
RingArrow_1	There's no better title for you than\n\x0e\0\x03\x02\x01\0Bow-Pull Novice\x0e\0\x03\x02ÿÿ!
RingArrow_2	There's no better title for you than\n\x0e\0\x03\x02\x01\0Bow-Pull Archer\x0e\0\x03\x02ÿÿ!
RingArrow_3	There's no better title for you than\n\x0e\0\x03\x02\x01\0Bow-Pull Hunter\x0e\0\x03\x02ÿÿ!
RingArrow_4	There's no better title for you than\n\x0e\0\x03\x02\x01\0Bow-Pull Sharpshooter\x0e\0\x03\x02ÿÿ!
ShoulderPush_1	Your accomplishments mark you as a\n\x0e\0\x03\x02\x01\0Shoulder-Press Driver\x0e\0\x03\x02ÿÿ!
ShoulderPush_2	Your accomplishments mark you as a\n\x0e\0\x03\x02\x01\0Shoulder-Press Powerhouse\x0e\0\x03\x02ÿÿ!
ShoulderPush_3	Your accomplishments mark you as a\n\x0e\0\x03\x02\x01\0Shoulder-Press Bulldozer\x0e\0\x03\x02ÿÿ!
ShoulderPush_4	Your accomplishments mark you as a\n\x0e\0\x03\x02\x01\0Shoulder-Press Freight Train\x0e\0\x03\x02ÿÿ!
UnderPush_1	I hereby crown you \x0e\0\x03\x02\x01\0Front-Press Challenger\x0e\0\x03\x02ÿÿ!
UnderPush_2	I hereby crown you \x0e\0\x03\x02\x01\0Front-Press Contender\x0e\0\x03\x02ÿÿ!
UnderPush_3	I hereby crown you \x0e\0\x03\x02\x01\0Front-Press Victor\x0e\0\x03\x02ÿÿ!
UnderPush_4	I hereby crown you \x0e\0\x03\x02\x01\0Front-Press Champion\x0e\0\x03\x02ÿÿ!
Squat_1	Do you know what this makes you?\nA \x0e\0\x03\x02\x01\0Squat Fighter\x0e\0\x03\x02ÿÿ!
Squat_2	Do you know what this makes you?\nA \x0e\0\x03\x02\x01\0Squat Warrior\x0e\0\x03\x02ÿÿ!
Squat_3	Do you know what this makes you?\nA \x0e\0\x03\x02\x01\0Squat Hero\x0e\0\x03\x02ÿÿ!
Squat_4	Do you know what this makes you?\nA \x0e\0\x03\x02\x01\0Squat Conqueror\x0e\0\x03\x02ÿÿ!
Triceps_1	It might even be an understatement to call\nyou a \x0e\0\x03\x02\x01\0Tricep-Kickback Amateur\x0e\0\x03\x02ÿÿ!
Triceps_2	It might even be an understatement to call\nyou a \x0e\0\x03\x02\x01\0Tricep-Kickback Qualifier\x0e\0\x03\x02ÿÿ!
Triceps_3	It might even be an understatement to call\nyou a \x0e\0\x03\x02\x01\0Tricep-Kickback Medalist\x0e\0\x03\x02ÿÿ!
Triceps_4	It might even be an understatement to call\nyou a \x0e\0\x03\x02\x01\0Tricep-Kickback Pro\x0e\0\x03\x02ÿÿ!
BendOver_1	You've done it. You've become a\n\x0e\0\x03\x02\x01\0Pendulum-Bend Seeker\x0e\0\x03\x02ÿÿ!
BendOver_2	You've done it. You've become a\n\x0e\0\x03\x02\x01\0Pendulum-Bend Initiate\x0e\0\x03\x02ÿÿ!
BendOver_3	You've done it. You've become a\n\x0e\0\x03\x02\x01\0Pendulum-Bend Adept\x0e\0\x03\x02ÿÿ!
BendOver_4	You've done it. You've become a\n\x0e\0\x03\x02\x01\0Pendulum-Bend Savant\x0e\0\x03\x02ÿÿ!
WideSquat_1	I'm honored to bestow the title of\n\x0e\0\x03\x02\x01\0Wide Squatter\x0e\0\x03\x02ÿÿ!
WideSquat_2	I'm honored to bestow the title of\n\x0e\0\x03\x02\x01\0Double Wide Squatter\x0e\0\x03\x02ÿÿ!
WideSquat_3	I'm honored to bestow the title of\n\x0e\0\x03\x02\x01\0Extra Wide Squatter\x0e\0\x03\x02ÿÿ!
WideSquat_4	I'm honored to bestow the title of\n\x0e\0\x03\x02\x01\0Impossibly Wide Squatter\x0e\0\x03\x02ÿÿ!
YogaChair_1	From now on, the world will know you as\na \x0e\0\x03\x02\x01\0Chair-Pose Clerk\x0e\0\x03\x02ÿÿ!
YogaChair_2	From now on, the world will know you as\na \x0e\0\x03\x02\x01\0Chair-Pose Director\x0e\0\x03\x02ÿÿ!
YogaChair_3	From now on, the world will know you as\na \x0e\0\x03\x02\x01\0Chair-Pose Judge\x0e\0\x03\x02ÿÿ!
YogaChair_4	From now on, the world will know you as\n\x0e\0\x03\x02\x01\0Chair-Pose Royalty\x0e\0\x03\x02ÿÿ!
YogaChotsugai_1	I have a new title for you, and it is\n\x0e\0\x03\x02\x01\0Rusty Hinge Poser\x0e\0\x03\x02ÿÿ!
YogaChotsugai_2	I have a new title for you, and it is\n\x0e\0\x03\x02\x01\0Well-Oiled Hinge Poser\x0e\0\x03\x02ÿÿ!
YogaChotsugai_3	I have a new title for you, and it is\n\x0e\0\x03\x02\x01\0Smooth Hinge Poser\x0e\0\x03\x02ÿÿ!
YogaChotsugai_4	I have a new title for you, and it is\n\x0e\0\x03\x02\x01\0Frictionless Hinge Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuOne_1	Would it be an understatement to call you\na \x0e\0\x03\x02\x01\0Peaceful Warrior I Poser\x0e\0\x03\x02ÿÿ?
YogaEiyuuOne_2	Would it be an understatement to call you\na \x0e\0\x03\x02\x01\0Hot-Blooded Warrior I Poser\x0e\0\x03\x02ÿÿ?
YogaEiyuuOne_3	Would it be an understatement to call you\na \x0e\0\x03\x02\x01\0Berserk Warrior I Poser\x0e\0\x03\x02ÿÿ?
YogaEiyuuOne_4	Would it be an understatement to call you\na \x0e\0\x03\x02\x01\0Righteous Warrior I Poser\x0e\0\x03\x02ÿÿ?
YogaEiyuuTwo_1	The best way to describe your prowess is\n\x0e\0\x03\x02\x01\0Ragged Warrior II Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuTwo_2	The best way to describe your prowess is\n\x0e\0\x03\x02\x01\0Vagabond Warrior II Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuTwo_3	The best way to describe your prowess is\n\x0e\0\x03\x02\x01\0Tempered Warrior II Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuTwo_4	The best way to describe your prowess is\n\x0e\0\x03\x02\x01\0Unscathed Warrior II Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuThree_1	I dub thee...\x0e\0\x03\x02\x01\0Private Warrior III Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuThree_2	I dub thee...\x0e\0\x03\x02\x01\0Sergeant Warrior III Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuThree_3	I dub thee...\x0e\0\x03\x02\x01\0Corporal Warrior III Poser\x0e\0\x03\x02ÿÿ!
YogaEiyuuThree_4	I dub thee...\x0e\0\x03\x02\x01\0General Warrior III Poser\x0e\0\x03\x02ÿÿ!
YogaFune_1	Henceforth, you may be known as a\n\x0e\0\x03\x02\x01\0Boat-Pose Swabbie\x0e\0\x03\x02ÿÿ!
YogaFune_2	Henceforth, you may be known as a\n\x0e\0\x03\x02\x01\0Boat-Pose Mate\x0e\0\x03\x02ÿÿ!
YogaFune_3	Henceforth, you may be known as a\n\x0e\0\x03\x02\x01\0Boat-Pose Skipper\x0e\0\x03\x02ÿÿ!
YogaFune_4	Henceforth, you may be known as a\n\x0e\0\x03\x02\x01\0Boat-Pose Admiral\x0e\0\x03\x02ÿÿ!
YogaNejiriTaisoku_1	I've got a new, fitting title for you:\n\x0e\0\x03\x02\x01\0Crescent Roll Poser\x0e\0\x03\x02ÿÿ!
YogaNejiriTaisoku_2	I've got a new, fitting title for you:\n\x0e\0\x03\x02\x01\0Crescent Wrench Poser\x0e\0\x03\x02ÿÿ!
YogaNejiriTaisoku_3	I've got a new, fitting title for you:\n\x0e\0\x03\x02\x01\0Crescent Moon Poser\x0e\0\x03\x02ÿÿ!
YogaNejiriTaisoku_4	I've got a new, fitting title for you:\n\x0e\0\x03\x02\x01\0Crescent Nebula Poser\x0e\0\x03\x02ÿÿ!
YogaOgi_1	I'm excited to grant you the title of\n\x0e\0\x03\x02\x01\0Casual Fan Poser\x0e\0\x03\x02ÿÿ!
YogaOgi_2	I'm excited to grant you the title of\n\x0e\0\x03\x02\x01\0Hardcore Fan Poser\x0e\0\x03\x02ÿÿ!
YogaOgi_3	I'm excited to grant you the title of\n\x0e\0\x03\x02\x01\0Lifelong Fan Poser\x0e\0\x03\x02ÿÿ!
YogaOgi_4	I'm excited to grant you the title of\n\x0e\0\x03\x02\x01\0No. 1 Fan Poser\x0e\0\x03\x02ÿÿ!
YogaOritatami_1	For your efforts, I present the title of \n\x0e\0\x03\x02\x01\0Forward-Fold Beginner\x0e\0\x03\x02ÿÿ!
YogaOritatami_2	For your efforts, I present the title of \n\x0e\0\x03\x02\x01\0Forward-Fold Journeyman\x0e\0\x03\x02ÿÿ!
YogaOritatami_3	For your efforts, I present the title of \n\x0e\0\x03\x02\x01\0Forward-Fold Scholar\x0e\0\x03\x02ÿÿ!
YogaOritatami_4	For your efforts, I present the title of \n\x0e\0\x03\x02\x01\0Forward-Fold Virtuoso\x0e\0\x03\x02ÿÿ!
YogaTachiki_1	You are now worthy of the title\n\x0e\0\x03\x02\x01\0Tree-Pose Seed\x0e\0\x03\x02ÿÿ!
YogaTachiki_2	You are now worthy of the title\n\x0e\0\x03\x02\x01\0Tree-Pose Sapling\x0e\0\x03\x02ÿÿ!
YogaTachiki_3	You are now worthy of the title\n\x0e\0\x03\x02\x01\0Tree-Pose Oak\x0e\0\x03\x02ÿÿ!
YogaTachiki_4	You are now worthy of the title\n\x0e\0\x03\x02\x01\0Tree-Pose Redwood\x0e\0\x03\x02ÿÿ!
ArmRotation_1	Feel free now to call yourself an\n\x0e\0\x03\x02\x01\0Aimless Arm Spinner\x0e\0\x03\x02ÿÿ!
ArmRotation_2	Feel free now to call yourself a\n\x0e\0\x03\x02\x01\0Focused Arm Spinner\x0e\0\x03\x02ÿÿ!
ArmRotation_3	Feel free now to call yourself a\n\x0e\0\x03\x02\x01\0Dedicated Arm Spinner\x0e\0\x03\x02ÿÿ!
ArmRotation_4	Feel free now to call yourself a\n\x0e\0\x03\x02\x01\0Single-Minded Arm Spinner\x0e\0\x03\x02ÿÿ!
BanzaiShakeHip_1	You've done enough to be known as a\n\x0e\0\x03\x02\x01\0Temp Hip Shaker\x0e\0\x03\x02ÿÿ!
BanzaiShakeHip_2	You've done enough to be known as a\n\x0e\0\x03\x02\x01\0Full-Time Hip Shaker\x0e\0\x03\x02ÿÿ!
BanzaiShakeHip_3	You've done enough to be known as a\n\x0e\0\x03\x02\x01\0Managerial Hip Shaker\x0e\0\x03\x02ÿÿ!
BanzaiShakeHip_4	You've done enough to be known as a\n\x0e\0\x03\x02\x01\0VP of Hip Shaking\x0e\0\x03\x02ÿÿ!
KneeCombo_1	It's time to channel your inner\n\x0e\0\x03\x02\x01\0Knee-Lift-Combo Dabbler\x0e\0\x03\x02ÿÿ!
KneeCombo_2	It's time to channel your inner\n\x0e\0\x03\x02\x01\0Knee-Lift-Combo Apprentice\x0e\0\x03\x02ÿÿ!
KneeCombo_3	It's time to channel your inner\n\x0e\0\x03\x02\x01\0Knee-Lift-Combo Artist\x0e\0\x03\x02ÿÿ!
KneeCombo_4	It's time to channel your inner\n\x0e\0\x03\x02\x01\0Knee-Lift-Combo Genius\x0e\0\x03\x02ÿÿ!
KneeUp_1	I think nobody would object to calling you\na \x0e\0\x03\x02\x01\0Knee-Lift Saver\x0e\0\x03\x02ÿÿ!
KneeUp_2	I think nobody would object to calling you\na \x0e\0\x03\x02\x01\0Knee-Lift Banker\x0e\0\x03\x02ÿÿ!
KneeUp_3	I think nobody would object to calling you\na \x0e\0\x03\x02\x01\0Knee-Lift Investor\x0e\0\x03\x02ÿÿ!
KneeUp_4	I think nobody would object to calling you\na \x0e\0\x03\x02\x01\0Knee-Lift Tycoon\x0e\0\x03\x02ÿÿ!
StepUp_1	It's time that the world knows you as a\n\x0e\0\x03\x02\x01\0Busking Stepper\x0e\0\x03\x02ÿÿ!
StepUp_2	It's time that the world knows you as a\n\x0e\0\x03\x02\x01\0Club Stepper\x0e\0\x03\x02ÿÿ!
StepUp_3	It's time that the world knows you as a\n\x0e\0\x03\x02\x01\0Theater Stepper\x0e\0\x03\x02ÿÿ!
StepUp_4	It's time that the world knows you as an\n\x0e\0\x03\x02\x01\0Arena Stepper\x0e\0\x03\x02ÿÿ!
UpDownCombo_1	Are you ready for your new title?\nIt's \x0e\0\x03\x02\x01\0Ring-Raise-Combo Alpha\x0e\0\x03\x02ÿÿ!
UpDownCombo_2	Are you ready for your new title?\nIt's \x0e\0\x03\x02\x01\0Ring-Raise-Combo Gamma\x0e\0\x03\x02ÿÿ!
UpDownCombo_3	Are you ready for your new title?\nIt's \x0e\0\x03\x02\x01\0Ring-Raise-Combo Lambda\x0e\0\x03\x02ÿÿ!
UpDownCombo_4	Are you ready for your new title?\nIt's \x0e\0\x03\x02\x01\0Ring-Raise-Combo Omega\x0e\0\x03\x02ÿÿ!
BataBataLeg_1	Attention world! Meet your new\n\x0e\0\x03\x02\x01\0Halfway-Decent Flutter Kicker\x0e\0\x03\x02ÿÿ!
BataBataLeg_2	Attention world! Meet your new\n\x0e\0\x03\x02\x01\0Above-Average Flutter Kicker\x0e\0\x03\x02ÿÿ!
BataBataLeg_3	Attention world! Meet your new\n\x0e\0\x03\x02\x01\0Pretty Good Flutter Kicker\x0e\0\x03\x02ÿÿ!
BataBataLeg_4	Attention world! Meet your new\n\x0e\0\x03\x02\x01\0Extremely Sweet Flutter Kicker\x0e\0\x03\x02ÿÿ!
MountainClimber_1	Go ahead and call yourself a\n\x0e\0\x03\x02\x01\0Foothill-Class Climber\x0e\0\x03\x02ÿÿ!
MountainClimber_2	Go ahead and call yourself a\n\x0e\0\x03\x02\x01\0Summit-Class Climber\x0e\0\x03\x02ÿÿ!
MountainClimber_3	Go ahead and call yourself a\n\x0e\0\x03\x02\x01\0Denali-Class Climber\x0e\0\x03\x02ÿÿ!
MountainClimber_4	Go ahead and call yourself an\n\x0e\0\x03\x02\x01\0Everest-Class Climber\x0e\0\x03\x02ÿÿ!
RingUpdown_1	I'm delighted to give you the title of\n\x0e\0\x03\x02\x01\0Aware Seated Ring Raiser\x0e\0\x03\x02ÿÿ!
RingUpdown_2	I'm delighted to give you the title of\n\x0e\0\x03\x02\x01\0Informed Seated Ring Raiser\x0e\0\x03\x02ÿÿ!
RingUpdown_3	I'm delighted to give you the title of\n\x0e\0\x03\x02\x01\0Awakened Seated Ring Raiser\x0e\0\x03\x02ÿÿ!
RingUpdown_4	I'm delighted to give you the title of\n\x0e\0\x03\x02\x01\0Enlightened Seated Ring Raiser\x0e\0\x03\x02ÿÿ!
ScissorsLeg_1	You're a pair of \x0e\0\x03\x02\x01\0Safety Leg Scissors\x0e\0\x03\x02ÿÿ,\nand that's no small feat!
ScissorsLeg_2	You're a pair of \x0e\0\x03\x02\x01\0Office Leg Scissors\x0e\0\x03\x02ÿÿ,\nand that's no small feat!
ScissorsLeg_3	You're a pair of \x0e\0\x03\x02\x01\0Sewing Leg Scissors\x0e\0\x03\x02ÿÿ,\nand that's no small feat!
ScissorsLeg_4	You're a pair of \x0e\0\x03\x02\x01\0Razor-Sharp Leg Scissors\x0e\0\x03\x02ÿÿ,\nand that's no small feat!
SeatedTwist_1	It's time you claimed the mantle of\n\x0e\0\x03\x02\x01\0Russian-Twist Intern\x0e\0\x03\x02ÿÿ!
SeatedTwist_2	It's time you claimed the mantle of\n\x0e\0\x03\x02\x01\0Russian-Twist Practitioner\x0e\0\x03\x02ÿÿ!
SeatedTwist_3	It's time you claimed the mantle of\n\x0e\0\x03\x02\x01\0Russian-Twist Doctor\x0e\0\x03\x02ÿÿ!
SeatedTwist_4	It's time you claimed the mantle of\n\x0e\0\x03\x02\x01\0Russian-Twist Surgeon\x0e\0\x03\x02ÿÿ!
SwingTwist_1	That's right, you've won yourself the title\n\x0e\0\x03\x02\x01\0Mighty Standing Twister\x0e\0\x03\x02ÿÿ!
SwingTwist_2	That's right, you've won yourself the title\n\x0e\0\x03\x02\x01\0Amazing Standing Twister\x0e\0\x03\x02ÿÿ!
SwingTwist_3	That's right, you've won yourself the title\n\x0e\0\x03\x02\x01\0Fantastic Standing Twister\x0e\0\x03\x02ÿÿ!
SwingTwist_4	That's right, you've won yourself the title\n\x0e\0\x03\x02\x01\0Incredible Standing Twister\x0e\0\x03\x02ÿÿ!
FlowchartMsg_USen_szs\Battle_AbsInstructor.msbt
FlowchartMsg_USen_szs\Battle_ArmInstructor.msbt
FlowchartMsg_USen_szs\Battle_BalanceInstructor.msbt
FlowchartMsg_USen_szs\Battle_Dragon.msbt
FlowchartMsg_USen_szs\Battle_LegInstructor.msbt
FlowchartMsg_USen_szs\BtlVoice.msbt
BtlVoiceBtlSlowlyBestYell00	Good!
BtlVoiceBtlSlowlyBestYell00_1	Excellent!
BtlVoiceBtlSlowlyBestYell00_2	Well done!
BtlVoiceBtlSlowlyBestYell00_3	Yes! Yes!
BtlVoiceBtlSlowlyBestYell00_4	Good job!
BtlVoiceBtlSlowlyBestYell00_5	Fine work!
BtlVoiceBtlSlowlyBestYell00_6	Oh-Kay!
BtlVoiceBtlSlowlyBestYell00_7	All right!
BtlVoiceBtlSlowlyBestYell00_8	OK!
BtlVoiceBtlSlowlyBestYell00_9	Fantastic!
BtlVoiceBtlSlowlyBestYell00_10	Great!
BtlVoiceBtlSlowlyBestYell00_11	Greeeeaat!
