FlowchartMsg_JPja_szs\ActivityAchievements.msbt
Conjunction00	さらに…!
AchieveComment07	もう言う事はなにもありません
AchieveComment08	ただこの瞬間に\n立ち会えたことを うれしく思います…!
BanzaiTwist_1	あなたはもう…\n\x0e\0\x03\x02\x01\0情熱のバンザイツイスター\x0e\0\x03\x02ÿÿです!
BanzaiTwist_2	あなたはもう…\n\x0e\0\x03\x02\x01\0華麗なるバンザイツイスター\x0e\0\x03\x02ÿÿです!
BanzaiTwist_3	あなたはもう…\n\x0e\0\x03\x02\x01\0究極のバンザイツイスター\x0e\0\x03\x02ÿÿです!
BanzaiTwist_4	あなたはもう…\n\x0e\0\x03\x02\x01\0伝説のバンザイツイスター\x0e\0\x03\x02ÿÿです!
BanzaiMorning_1	\x0e\0\x03\x02\x01\0バンザイモーニングに目覚めし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
BanzaiMorning_2	\x0e\0\x03\x02\x01\0バンザイモーニングに愛されし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
BanzaiMorning_3	\x0e\0\x03\x02\x01\0バンザイモーニングを極めし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
BanzaiMorning_4	\x0e\0\x03\x02\x01\0真のバンザイモーニングを悟りし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
BanzaiSideBend_1	これからは\x0e\0\x03\x02\x01\0バンザイサイドベンド界の魔術師\n\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSideBend_2	これからは\x0e\0\x03\x02\x01\0バンザイサイドベンド界の精鋭\n\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSideBend_3	これからは\x0e\0\x03\x02\x01\0バンザイサイドベンド界の怪物\n\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSideBend_4	これからは\x0e\0\x03\x02\x01\0バンザイサイドベンド界の帝王\n\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSquat_1	これからは\n\x0e\0\x03\x02\x01\0バンザイスクワッター\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSquat_2	これからは\n\x0e\0\x03\x02\x01\0スゴいバンザイスクワッター\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSquat_3	これからは\x0e\0\x03\x02\x01\0イケてるバンザイスクワッター\n\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiSquat_4	これからは\x0e\0\x03\x02\x01\0サイコーのバンザイスクワッター\n\x0e\0\x03\x02ÿÿと呼ばせてください!
ArmTwist_1	あなたはもう…\n\x0e\0\x03\x02\x01\0情熱のアームツイスター\x0e\0\x03\x02ÿÿです!
ArmTwist_2	あなたはもう…\n\x0e\0\x03\x02\x01\0華麗なるアームツイスター\x0e\0\x03\x02ÿÿです!
ArmTwist_3	あなたはもう…\n\x0e\0\x03\x02\x01\0究極のアームツイスター\x0e\0\x03\x02ÿÿです!
ArmTwist_4	あなたはもう…\n\x0e\0\x03\x02\x01\0伝説のアームツイスター\x0e\0\x03\x02ÿÿです!
KneeToChest_1	\x0e\0\x03\x02\x01\0ニートゥーチェストに目覚めし者\n\x0e\0\x03\x02ÿÿあなたを そう呼ばせてください!
KneeToChest_2	\x0e\0\x03\x02\x01\0ニートゥーチェストに愛されし者\n\x0e\0\x03\x02ÿÿあなたを そう呼ばせてください!
KneeToChest_3	\x0e\0\x03\x02\x01\0ニートゥーチェストを極めし者\n\x0e\0\x03\x02ÿÿあなたを そう呼ばせてください!
KneeToChest_4	\x0e\0\x03\x02\x01\0真のニートゥーチェストを悟りし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせて下さい!
LegRaise_1	これからは\n\x0e\0\x03\x02\x01\0噂のレッグレイザー\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
LegRaise_2	これからは\x0e\0\x03\x02\x01\0驚異のレッグレイザー\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
LegRaise_3	これからは\x0e\0\x03\x02\x01\0前人未踏のレッグレイザー\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
LegRaise_4	これからは\x0e\0\x03\x02\x01\0空前絶後のレッグレイザー\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
AshiPaka_1	\x0e\0\x03\x02\x01\0わき目もふらずアシパカパカ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
AshiPaka_2	\x0e\0\x03\x02\x01\0三度の飯よりアシパカパカ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
AshiPaka_3	\x0e\0\x03\x02\x01\0年中無休でアシパカパカ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
AshiPaka_4	\x0e\0\x03\x02\x01\0アシパカ・フォーエバー\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
Plank_1	\x0e\0\x03\x02\x01\0プランクに夢中\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
Plank_2	\x0e\0\x03\x02\x01\0プランク以外愛せない\n\x0e\0\x03\x02ÿÿといっても過言ではありませんね!
Plank_3	\x0e\0\x03\x02\x01\0プランクなしでは生きられない\n\x0e\0\x03\x02ÿÿといっても過言ではありませんね!
Plank_4	\x0e\0\x03\x02\x01\0プランクに人生を捧げた者\n\x0e\0\x03\x02ÿÿといっても過言ではありませんね!
ForwardPush_1	これからは\n\x0e\0\x03\x02\x01\0マエニプッシュ界の魔術師\x0e\0\x03\x02ÿÿと呼ばせてください!
ForwardPush_2	これからは\n\x0e\0\x03\x02\x01\0マエニプッシュ界の精鋭\x0e\0\x03\x02ÿÿと呼ばせてください!
ForwardPush_3	これからは\n\x0e\0\x03\x02\x01\0マエニプッシュ界の怪物\x0e\0\x03\x02ÿÿと呼ばせてください!
ForwardPush_4	これからは\n\x0e\0\x03\x02\x01\0マエニプッシュ界の帝王\x0e\0\x03\x02ÿÿと呼ばせてください!
HipLift_1	これからは\n\x0e\0\x03\x02\x01\0噂のヒップリフター\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
HipLift_2	これからは\n\x0e\0\x03\x02\x01\0驚異のヒップリフター\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
HipLift_3	これからは\x0e\0\x03\x02\x01\0前人未踏のヒップリフター\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
HipLift_4	これからは\x0e\0\x03\x02\x01\0空前絶後のヒップリフター\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
MomodePush_1	\x0e\0\x03\x02\x01\0モモデプッシュに夢中\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
MomodePush_2	\x0e\0\x03\x02\x01\0モモデプッシュ以外愛せない\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
MomodePush_3	\x0e\0\x03\x02\x01\0モモデプッシュなしでは生きられない\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
MomodePush_4	\x0e\0\x03\x02\x01\0モモデプッシュに人生を捧げた者\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
BackPush_1	これからは\x0e\0\x03\x02\x01\0ウシロプッシュ界 期待の星\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
BackPush_2	これからは\x0e\0\x03\x02\x01\0ウシロプッシュ界のアイドル\x0e\0\x03\x02ÿÿ\nと呼ばれることでしょう!
BackPush_3	これからは\x0e\0\x03\x02\x01\0ウシロプッシュ界のスーパーアイドル\x0e\0\x03\x02ÿÿ\nと呼ばれることでしょう!
BackPush_4	これからは\x0e\0\x03\x02\x01\0ウシロプッシュ界のNo.1アイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
BanzaiPush_1	\x0e\0\x03\x02\x01\0趣味はバンザイプッシュ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
BanzaiPush_2	\x0e\0\x03\x02\x01\0バンザイプッシュ 一筋\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
BanzaiPush_3	\x0e\0\x03\x02\x01\0バンザイプッシュ至上主義\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
BanzaiPush_4	\x0e\0\x03\x02\x01\0バンザイプッシュ イズ マイライフ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
RingArrow_1	これからは\n\x0e\0\x03\x02\x01\0リングアロー界の魔術師\x0e\0\x03\x02ÿÿと呼ばせてください!
RingArrow_2	これからは\n\x0e\0\x03\x02\x01\0リングアロー界の精鋭\x0e\0\x03\x02ÿÿと呼ばせてください!
RingArrow_3	これからは\n\x0e\0\x03\x02\x01\0リングアロー界の怪物\x0e\0\x03\x02ÿÿと呼ばせてください!
RingArrow_4	これからは\n\x0e\0\x03\x02\x01\0リングアロー界の帝王\x0e\0\x03\x02ÿÿと呼ばせてください!
ShoulderPush_1	これであなたは\n\x0e\0\x03\x02\x01\0カタニプッシュ戦士\x0e\0\x03\x02ÿÿです!
ShoulderPush_2	これであなたは\n\x0e\0\x03\x02\x01\0カタニプッシュ将軍\x0e\0\x03\x02ÿÿです!
ShoulderPush_3	これであなたは\n\x0e\0\x03\x02\x01\0カタニプッシュ大王\x0e\0\x03\x02ÿÿです!
ShoulderPush_4	これであなたは\n\x0e\0\x03\x02\x01\0カタニプッシュ神\x0e\0\x03\x02ÿÿです!
UnderPush_1	これであなたは\n\x0e\0\x03\x02\x01\0サゲテプッシュ チャレンジャー\x0e\0\x03\x02ÿÿです!
UnderPush_2	これであなたは\n\x0e\0\x03\x02\x01\0サゲテプッシュ マスター\x0e\0\x03\x02ÿÿです!
UnderPush_3	これであなたは\n\x0e\0\x03\x02\x01\0サゲテプッシュ キング\x0e\0\x03\x02ÿÿです!
UnderPush_4	これであなたは\n\x0e\0\x03\x02\x01\0サゲテプッシュ ヒーロー\x0e\0\x03\x02ÿÿです!
Squat_1	これであなたは\n\x0e\0\x03\x02\x01\0スクワット戦士\x0e\0\x03\x02ÿÿです!
Squat_2	これであなたは\n\x0e\0\x03\x02\x01\0スクワット将軍\x0e\0\x03\x02ÿÿです!
Squat_3	これであなたは\n\x0e\0\x03\x02\x01\0スクワット大王\x0e\0\x03\x02ÿÿです!
Squat_4	これであなたは\n\x0e\0\x03\x02\x01\0スクワット神\x0e\0\x03\x02ÿÿです!
Triceps_1	\x0e\0\x03\x02\x01\0趣味はトライセプス\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
Triceps_2	\x0e\0\x03\x02\x01\0トライセプス 一筋\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
Triceps_3	\x0e\0\x03\x02\x01\0トライセプス至上主義\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
Triceps_4	\x0e\0\x03\x02\x01\0トライセプス イズ マイライフ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
BendOver_1	これであなたは\n\x0e\0\x03\x02\x01\0ベントオーバー チャレンジャー\x0e\0\x03\x02ÿÿです!
BendOver_2	これであなたは\n\x0e\0\x03\x02\x01\0ベントオーバー マスター\x0e\0\x03\x02ÿÿです!
BendOver_3	これであなたは\n\x0e\0\x03\x02\x01\0ベントオーバー キング\x0e\0\x03\x02ÿÿです!
BendOver_4	これであなたは\n\x0e\0\x03\x02\x01\0ベントオーバー ヒーロー\x0e\0\x03\x02ÿÿです!
WideSquat_1	これからは\n\x0e\0\x03\x02\x01\0ワイドスクワッター\x0e\0\x03\x02ÿÿと呼ばせてください!
WideSquat_2	これからは\n\x0e\0\x03\x02\x01\0スゴいワイドスクワッター\x0e\0\x03\x02ÿÿと呼ばせてください!
WideSquat_3	これからは\n\x0e\0\x03\x02\x01\0イケてるワイドスクワッター\x0e\0\x03\x02ÿÿと呼ばせてください!
WideSquat_4	これからは\x0e\0\x03\x02\x01\0サイコーのワイドスクワッター\n\x0e\0\x03\x02ÿÿと呼ばせてください!
YogaChair_1	これからは\x0e\0\x03\x02\x01\0椅子のポーズ界 期待の星\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaChair_2	これからは\x0e\0\x03\x02\x01\0椅子のポーズ界のアイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaChair_3	これからは\x0e\0\x03\x02\x01\0椅子のポーズ界のスーパーアイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaChair_4	これからは\x0e\0\x03\x02\x01\0椅子のポーズ界のNo.1アイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaChotsugai_1	これからは\x0e\0\x03\x02\x01\0チョウツガイのポーズ界の魔術師\n\x0e\0\x03\x02ÿÿと呼ばせてください!
YogaChotsugai_2	これからは\x0e\0\x03\x02\x01\0チョウツガイのポーズ界の精鋭\n\x0e\0\x03\x02ÿÿと呼ばせてください!
YogaChotsugai_3	これからは\x0e\0\x03\x02\x01\0チョウツガイのポーズ界の怪物\n\x0e\0\x03\x02ÿÿと呼ばせてください!
YogaChotsugai_4	これからは\x0e\0\x03\x02\x01\0チョウツガイのポーズ界の帝王\n\x0e\0\x03\x02ÿÿと呼ばせてください!
YogaEiyuuOne_1	\x0e\0\x03\x02\x01\0趣味は英雄1のポーズ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaEiyuuOne_2	\x0e\0\x03\x02\x01\0英雄1のポーズ 一筋\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaEiyuuOne_3	\x0e\0\x03\x02\x01\0英雄1のポーズ至上主義\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaEiyuuOne_4	\x0e\0\x03\x02\x01\0英雄1のポーズ イズ マイライフ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaEiyuuTwo_1	これからは\x0e\0\x03\x02\x01\0英雄2のポーズ界 期待の星\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaEiyuuTwo_2	これからは\x0e\0\x03\x02\x01\0英雄2のポーズ界のアイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaEiyuuTwo_3	これからは\x0e\0\x03\x02\x01\0英雄2のポーズ界のスーパーアイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaEiyuuTwo_4	これからは\x0e\0\x03\x02\x01\0英雄2のポーズ界のNo.1アイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
YogaEiyuuThree_1	あなたはもう…\n\x0e\0\x03\x02\x01\0英雄3のポーズ界の有名人\x0e\0\x03\x02ÿÿです!
YogaEiyuuThree_2	あなたはもう…\n\x0e\0\x03\x02\x01\0英雄3のポーズ界の第一人者\x0e\0\x03\x02ÿÿです!
YogaEiyuuThree_3	あなたはもう…\n\x0e\0\x03\x02\x01\0英雄3のポーズ界のカリスマ\x0e\0\x03\x02ÿÿです!
YogaEiyuuThree_4	あなたはもう…\n\x0e\0\x03\x02\x01\0英雄3のポーズ界の神様\x0e\0\x03\x02ÿÿです!
YogaFune_1	これであなたは\n\x0e\0\x03\x02\x01\0舟のポーズ戦士\x0e\0\x03\x02ÿÿです!
YogaFune_2	これであなたは\n\x0e\0\x03\x02\x01\0舟のポーズ将軍\x0e\0\x03\x02ÿÿです!
YogaFune_3	これであなたは\n\x0e\0\x03\x02\x01\0舟のポーズ大王\x0e\0\x03\x02ÿÿです!
YogaFune_4	これであなたは\n\x0e\0\x03\x02\x01\0舟のポーズ神\x0e\0\x03\x02ÿÿです!
YogaNejiriTaisoku_1	\x0e\0\x03\x02\x01\0ねじり体側に夢中\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaNejiriTaisoku_2	\x0e\0\x03\x02\x01\0ねじり体側以外愛せない\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaNejiriTaisoku_3	\x0e\0\x03\x02\x01\0ねじり体側なしでは生きられない\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaNejiriTaisoku_4	\x0e\0\x03\x02\x01\0ねじり体側に人生を捧げた者\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
YogaOgi_1	\x0e\0\x03\x02\x01\0わき目もふらず扇のポーズ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
YogaOgi_2	\x0e\0\x03\x02\x01\0三度の飯より扇のポーズ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
YogaOgi_3	\x0e\0\x03\x02\x01\0年中無休で扇のポーズ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
YogaOgi_4	\x0e\0\x03\x02\x01\0オウギ・フォーエバー\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
YogaOritatami_1	\x0e\0\x03\x02\x01\0折りたたむポーズに目覚めし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
YogaOritatami_2	\x0e\0\x03\x02\x01\0折りたたむポーズに愛されし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
YogaOritatami_3	\x0e\0\x03\x02\x01\0折りたたむポーズを極めし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
YogaOritatami_4	\x0e\0\x03\x02\x01\0真の折りたたむポーズを悟りし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
YogaTachiki_1	あなたはもう…\n\x0e\0\x03\x02\x01\0立木のポーズ界の有名人\x0e\0\x03\x02ÿÿです!
YogaTachiki_2	あなたはもう…\n\x0e\0\x03\x02\x01\0立木のポーズ界の第一人者\x0e\0\x03\x02ÿÿです!
YogaTachiki_3	あなたはもう…\n\x0e\0\x03\x02\x01\0立木のポーズ界のカリスマ\x0e\0\x03\x02ÿÿです!
YogaTachiki_4	あなたはもう…\n\x0e\0\x03\x02\x01\0立木のポーズ界の神様\x0e\0\x03\x02ÿÿです!
ArmRotation_1	\x0e\0\x03\x02\x01\0わき目もふらずグルグルアーム\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
ArmRotation_2	\x0e\0\x03\x02\x01\0三度の飯よりグルグルアーム\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
ArmRotation_3	\x0e\0\x03\x02\x01\0年中無休でグルグルアーム\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
ArmRotation_4	\x0e\0\x03\x02\x01\0グルグル・フォーエバー\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
BanzaiShakeHip_1	これからは\n\x0e\0\x03\x02\x01\0コシフリスト\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiShakeHip_2	これからは\n\x0e\0\x03\x02\x01\0スゴいコシフリスト\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiShakeHip_3	これからは\n\x0e\0\x03\x02\x01\0イケてるコシフリスト\x0e\0\x03\x02ÿÿと呼ばせてください!
BanzaiShakeHip_4	これからは\n\x0e\0\x03\x02\x01\0サイコーのコシフリスト\x0e\0\x03\x02ÿÿと呼ばせてください!
KneeCombo_1	あなたはもう…\n\x0e\0\x03\x02\x01\0モモアゲコンボ界の有名人\x0e\0\x03\x02ÿÿです!
KneeCombo_2	あなたはもう…\n\x0e\0\x03\x02\x01\0モモアゲコンボ界の第一人者\x0e\0\x03\x02ÿÿです!
KneeCombo_3	あなたはもう…\n\x0e\0\x03\x02\x01\0モモアゲコンボ界のカリスマ\x0e\0\x03\x02ÿÿです!
KneeCombo_4	あなたはもう…\n\x0e\0\x03\x02\x01\0モモアゲコンボ界の神様\x0e\0\x03\x02ÿÿです!
KneeUp_1	これであなたは\n\x0e\0\x03\x02\x01\0モモアゲアゲ チャレンジャー\x0e\0\x03\x02ÿÿです!
KneeUp_2	これであなたは\n\x0e\0\x03\x02\x01\0モモアゲアゲ マスター\x0e\0\x03\x02ÿÿです!
KneeUp_3	これであなたは\n\x0e\0\x03\x02\x01\0モモアゲアゲ キング\x0e\0\x03\x02ÿÿです!
KneeUp_4	これであなたは\n\x0e\0\x03\x02\x01\0モモアゲアゲ ヒーロー\x0e\0\x03\x02ÿÿです!
StepUp_1	これからは\n\x0e\0\x03\x02\x01\0噂のステッパー\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
StepUp_2	これからは\n\x0e\0\x03\x02\x01\0驚異のステッパー\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
StepUp_3	これからは\n\x0e\0\x03\x02\x01\0前人未踏のステッパー\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
StepUp_4	これからは\n\x0e\0\x03\x02\x01\0空前絶後のステッパー\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
UpDownCombo_1	\x0e\0\x03\x02\x01\0アゲサゲコンボに目覚めし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
UpDownCombo_2	\x0e\0\x03\x02\x01\0アゲサゲコンボに愛されし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
UpDownCombo_3	\x0e\0\x03\x02\x01\0アゲサゲコンボを極めし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
UpDownCombo_4	\x0e\0\x03\x02\x01\0真のアゲサゲコンボを悟りし者\x0e\0\x03\x02ÿÿ\nあなたを そう呼ばせてください!
BataBataLeg_1	あなたはもう…\n\x0e\0\x03\x02\x01\0バタバタレッグ界の有名人\x0e\0\x03\x02ÿÿです!
BataBataLeg_2	あなたはもう…\n\x0e\0\x03\x02\x01\0バタバタレッグ界の第一人者\x0e\0\x03\x02ÿÿです!
BataBataLeg_3	あなたはもう…\n\x0e\0\x03\x02\x01\0バタバタレッグ界のカリスマ\x0e\0\x03\x02ÿÿです!
BataBataLeg_4	あなたはもう…\n\x0e\0\x03\x02\x01\0バタバタレッグ界の神様\x0e\0\x03\x02ÿÿです!
MountainClimber_1	あなたはもう…\n\x0e\0\x03\x02\x01\0情熱のマウンテンクライマー\x0e\0\x03\x02ÿÿです!
MountainClimber_2	あなたはもう…\n\x0e\0\x03\x02\x01\0華麗なるマウンテンクライマー\x0e\0\x03\x02ÿÿです!
MountainClimber_3	あなたはもう…\n\x0e\0\x03\x02\x01\0究極のマウンテンクライマー\x0e\0\x03\x02ÿÿです!
MountainClimber_4	あなたはもう…\n\x0e\0\x03\x02\x01\0伝説のマウンテンクライマー\x0e\0\x03\x02ÿÿです!
RingUpdown_1	これからは\x0e\0\x03\x02\x01\0リングアゲサゲ界 期待の星\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
RingUpdown_2	これからは\x0e\0\x03\x02\x01\0リングアゲサゲ界のアイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
RingUpdown_3	これからは\x0e\0\x03\x02\x01\0リングアゲサゲ界のスーパーアイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
RingUpdown_4	これからは\x0e\0\x03\x02\x01\0リングアゲサゲ界のNo.1アイドル\n\x0e\0\x03\x02ÿÿと呼ばれることでしょう!
ScissorsLeg_1	\x0e\0\x03\x02\x01\0趣味はハサミレッグ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
ScissorsLeg_2	\x0e\0\x03\x02\x01\0ハサミレッグ 一筋\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
ScissorsLeg_3	\x0e\0\x03\x02\x01\0ハサミレッグ至上主義\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
ScissorsLeg_4	\x0e\0\x03\x02\x01\0ハサミレッグ イズ マイライフ\x0e\0\x03\x02ÿÿ\nといっても過言ではありませんね!
SeatedTwist_1	あなたはもう…\n\x0e\0\x03\x02\x01\0情熱のロシアンツイスター\x0e\0\x03\x02ÿÿです!
SeatedTwist_2	あなたはもう…\n\x0e\0\x03\x02\x01\0華麗なるロシアンツイスター\x0e\0\x03\x02ÿÿです!
SeatedTwist_3	あなたはもう…\n\x0e\0\x03\x02\x01\0究極のロシアンツイスター\x0e\0\x03\x02ÿÿです!
SeatedTwist_4	あなたはもう…\n\x0e\0\x03\x02\x01\0伝説のロシアンツイスター\x0e\0\x03\x02ÿÿです!
SwingTwist_1	\x0e\0\x03\x02\x01\0わき目もふらずスワイショウ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
SwingTwist_2	\x0e\0\x03\x02\x01\0三度の飯よりスワイショウ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
SwingTwist_3	\x0e\0\x03\x02\x01\0年中無休でスワイショウ\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
SwingTwist_4	\x0e\0\x03\x02\x01\0スワイショウ・フォーエバー\x0e\0\x03\x02ÿÿ…\nあなたに この言葉を贈らせてください!
FlowchartMsg_JPja_szs\Battle_AbsInstructor.msbt
FlowchartMsg_JPja_szs\Battle_ArmInstructor.msbt
FlowchartMsg_JPja_szs\Battle_BalanceInstructor.msbt
FlowchartMsg_JPja_szs\Battle_Dragon.msbt
FlowchartMsg_JPja_szs\Battle_LegInstructor.msbt
FlowchartMsg_JPja_szs\BtlVoice.msbt
BtlVoiceBtlSlowlyBestYell00	よし!
BtlVoiceBtlSlowlyBestYell00_1	よーし!
