FlowchartMsg_CNzh_szs\ActivityAchievements.msbt
Conjunction00	此外……！
BanzaiTwist_1	您已经是……\n\x0e\0\x03\x02\x01\0热情的高举双臂扭动者\x0e\0\x03\x02ÿÿ了！
BanzaiTwist_2	您已经是……\n\x0e\0\x03\x02\x01\0华丽的高举双臂扭动者\x0e\0\x03\x02ÿÿ了！
BanzaiTwist_3	您已经是……\n\x0e\0\x03\x02\x01\0究极的高举双臂扭动者\x0e\0\x03\x02ÿÿ了！
BanzaiTwist_4	您已经是……\n\x0e\0\x03\x02\x01\0传说的高举双臂扭动者\x0e\0\x03\x02ÿÿ了！
BanzaiMorning_1	请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂晨式觉醒者\x0e\0\x03\x02ÿÿ！
BanzaiMorning_2	请让我称您为\n\x0e\0\x03\x02\x01\0为高举双臂晨式所爱者\x0e\0\x03\x02ÿÿ！
BanzaiMorning_3	请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂晨式穷极者\x0e\0\x03\x02ÿÿ！
BanzaiMorning_4	请让我称您为\n\x0e\0\x03\x02\x01\0真高举双臂晨式的悟道者\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂侧弯界的魔术师\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂侧弯界的精锐\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂侧弯界的怪物\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂侧弯界的帝王\x0e\0\x03\x02ÿÿ！
BanzaiSquat_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0高举双臂深蹲家\x0e\0\x03\x02ÿÿ！
BanzaiSquat_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0厉害的高举双臂深蹲家\x0e\0\x03\x02ÿÿ！
BanzaiSquat_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0拿手的高举双臂深蹲家\x0e\0\x03\x02ÿÿ！
BanzaiSquat_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0最强的高举双臂深蹲家\x0e\0\x03\x02ÿÿ！
ArmTwist_1	您已经是……\n\x0e\0\x03\x02\x01\0热情的扭动手臂家\x0e\0\x03\x02ÿÿ了！
ArmTwist_2	您已经是……\n\x0e\0\x03\x02\x01\0华丽的扭动手臂家\x0e\0\x03\x02ÿÿ了！
ArmTwist_3	您已经是……\n\x0e\0\x03\x02\x01\0究极的扭动手臂家\x0e\0\x03\x02ÿÿ了！
ArmTwist_4	您已经是……\n\x0e\0\x03\x02\x01\0传说的扭动手臂家\x0e\0\x03\x02ÿÿ了！
KneeToChest_1	请让我称您为\n\x0e\0\x03\x02\x01\0抱膝式觉醒者\x0e\0\x03\x02ÿÿ！
KneeToChest_2	请让我称您为\n\x0e\0\x03\x02\x01\0为抱膝式所爱者\x0e\0\x03\x02ÿÿ！
KneeToChest_3	请让我称您为\n\x0e\0\x03\x02\x01\0抱膝式穷极者\x0e\0\x03\x02ÿÿ！
KneeToChest_4	请让我称您为\n\x0e\0\x03\x02\x01\0真抱膝式悟道者\x0e\0\x03\x02ÿÿ！
LegRaise_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0传闻的提腿者\x0e\0\x03\x02ÿÿ！
LegRaise_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0惊异的提腿者\x0e\0\x03\x02ÿÿ！
LegRaise_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0前人未涉足的提腿者\x0e\0\x03\x02ÿÿ！
LegRaise_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0空前绝后的提腿者\x0e\0\x03\x02ÿÿ！
AshiPaka_1	\x0e\0\x03\x02\x01\0专心致志腿部开合\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
AshiPaka_2	\x0e\0\x03\x02\x01\0少吃一餐也要腿部开合\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
AshiPaka_3	\x0e\0\x03\x02\x01\0全年无休腿部开合\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
AshiPaka_4	\x0e\0\x03\x02\x01\0永恒腿部开合\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
Plank_1	说您是\x0e\0\x03\x02\x01\0痴迷于平板支撑\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
Plank_2	说您是\x0e\0\x03\x02\x01\0平板支撑以外都不爱\n\x0e\0\x03\x02ÿÿ也丝毫不为过！
Plank_3	说您是\x0e\0\x03\x02\x01\0少了平板支撑就活不下去\n\x0e\0\x03\x02ÿÿ也丝毫不为过！
Plank_4	说您是\x0e\0\x03\x02\x01\0为平板支撑奉献人生者\n\x0e\0\x03\x02ÿÿ也丝毫不为过！
ForwardPush_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0往前推压界的魔术师\x0e\0\x03\x02ÿÿ！
ForwardPush_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0往前推压界的精锐\x0e\0\x03\x02ÿÿ！
ForwardPush_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0往前推压界的怪物\x0e\0\x03\x02ÿÿ！
ForwardPush_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0往前推压界的帝王\x0e\0\x03\x02ÿÿ！
HipLift_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0传闻的提臀者\x0e\0\x03\x02ÿÿ！
HipLift_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0惊异的提臀者\x0e\0\x03\x02ÿÿ！
HipLift_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0前人未涉足的提臀者\x0e\0\x03\x02ÿÿ！
HipLift_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0空前绝后的提臀者\x0e\0\x03\x02ÿÿ！
MomodePush_1	说您是\x0e\0\x03\x02\x01\0痴迷于大腿推压\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
MomodePush_2	说您是\x0e\0\x03\x02\x01\0大腿推压以外都不爱\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
MomodePush_3	说您是\x0e\0\x03\x02\x01\0少了大腿推压就活不下去\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
MomodePush_4	说您是\x0e\0\x03\x02\x01\0为大腿推压奉献人生者\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
BackPush_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0背面推压界的期待之星\x0e\0\x03\x02ÿÿ！
BackPush_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0背面推压界的偶像\x0e\0\x03\x02ÿÿ！
BackPush_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0背面推压界的超级偶像\x0e\0\x03\x02ÿÿ！
BackPush_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0背面推压界的偶像No.1\x0e\0\x03\x02ÿÿ！
BanzaiPush_1	说您的\x0e\0\x03\x02\x01\0兴趣是高举双臂推入\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
BanzaiPush_2	说您是\x0e\0\x03\x02\x01\0专心致志高举双臂推入\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
BanzaiPush_3	说您是\x0e\0\x03\x02\x01\0高举双臂推入至上主义\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
BanzaiPush_4	说您是\x0e\0\x03\x02\x01\0高举双臂推入就是我的人生\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
RingArrow_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0圆环箭界的魔术师\x0e\0\x03\x02ÿÿ！
RingArrow_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0圆环箭界的精锐\x0e\0\x03\x02ÿÿ！
RingArrow_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0圆环箭界的怪物\x0e\0\x03\x02ÿÿ！
RingArrow_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0圆环箭界的帝王\x0e\0\x03\x02ÿÿ！
ShoulderPush_1	如此一来\n您就是\x0e\0\x03\x02\x01\0肩部推压战士\x0e\0\x03\x02ÿÿ了！
ShoulderPush_2	如此一来\n您就是\x0e\0\x03\x02\x01\0肩部推压将军\x0e\0\x03\x02ÿÿ了！
ShoulderPush_3	如此一来\n您就是\x0e\0\x03\x02\x01\0肩部推压大王\x0e\0\x03\x02ÿÿ了！
ShoulderPush_4	如此一来\n您就是\x0e\0\x03\x02\x01\0肩部推压之神\x0e\0\x03\x02ÿÿ了！
UnderPush_1	如此一来\n您就是\x0e\0\x03\x02\x01\0向下推压挑战者\x0e\0\x03\x02ÿÿ了！
UnderPush_2	如此一来\n您就是\x0e\0\x03\x02\x01\0向下推压大师\x0e\0\x03\x02ÿÿ了！
UnderPush_3	如此一来\n您就是\x0e\0\x03\x02\x01\0向下推压王者\x0e\0\x03\x02ÿÿ了！
UnderPush_4	如此一来\n您就是\x0e\0\x03\x02\x01\0向下推压英雄\x0e\0\x03\x02ÿÿ了！
Squat_1	如此一来\n您就是\x0e\0\x03\x02\x01\0深蹲战士\x0e\0\x03\x02ÿÿ了！
Squat_2	如此一来\n您就是\x0e\0\x03\x02\x01\0深蹲将军\x0e\0\x03\x02ÿÿ了！
Squat_3	如此一来\n您就是\x0e\0\x03\x02\x01\0深蹲大王\x0e\0\x03\x02ÿÿ了！
Squat_4	如此一来\n您就是\x0e\0\x03\x02\x01\0深蹲之神\x0e\0\x03\x02ÿÿ了！
Triceps_1	说您的\x0e\0\x03\x02\x01\0兴趣是三头肌\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
Triceps_2	说您是\x0e\0\x03\x02\x01\0专心致志三头肌\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
Triceps_3	说您是\x0e\0\x03\x02\x01\0三头肌至上主义\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
Triceps_4	说您是\x0e\0\x03\x02\x01\0三头肌就是我的人生\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
BendOver_1	如此一来\n您就是\x0e\0\x03\x02\x01\0俯身划船挑战者\x0e\0\x03\x02ÿÿ了！
BendOver_2	如此一来\n您就是\x0e\0\x03\x02\x01\0俯身划船大师\x0e\0\x03\x02ÿÿ了！
BendOver_3	如此一来\n您就是\x0e\0\x03\x02\x01\0俯身划船王者\x0e\0\x03\x02ÿÿ了！
BendOver_4	如此一来\n您就是\x0e\0\x03\x02\x01\0俯身划船英雄\x0e\0\x03\x02ÿÿ了！
WideSquat_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0宽深蹲家\x0e\0\x03\x02ÿÿ！
WideSquat_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0厉害的宽深蹲家\x0e\0\x03\x02ÿÿ！
WideSquat_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0拿手的宽深蹲家\x0e\0\x03\x02ÿÿ！
WideSquat_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0最强的宽深蹲家\x0e\0\x03\x02ÿÿ！
YogaChair_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0椅子姿势界的期待之星\x0e\0\x03\x02ÿÿ！
YogaChair_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0椅子姿势界的偶像\x0e\0\x03\x02ÿÿ！
YogaChair_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0椅子姿势界的超级偶像\x0e\0\x03\x02ÿÿ！
YogaChair_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0椅子姿势界的偶像No.1\x0e\0\x03\x02ÿÿ！
YogaChotsugai_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0合页姿势界的魔术师\x0e\0\x03\x02ÿÿ！
YogaChotsugai_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0合页姿势界的精锐\x0e\0\x03\x02ÿÿ！
YogaChotsugai_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0合页姿势界的怪物\x0e\0\x03\x02ÿÿ！
YogaChotsugai_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0合页姿势界的帝王\x0e\0\x03\x02ÿÿ！
YogaEiyuuOne_1	说您的\x0e\0\x03\x02\x01\0兴趣是英雄1的姿势\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaEiyuuOne_2	说您是\x0e\0\x03\x02\x01\0专心致志英雄1的姿势\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaEiyuuOne_3	说您是\x0e\0\x03\x02\x01\0英雄1的姿势至上主义\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaEiyuuOne_4	说您是\x0e\0\x03\x02\x01\0英雄1的姿势就是我的人生\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaEiyuuTwo_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0英雄2的姿势界的期待之星\x0e\0\x03\x02ÿÿ！
YogaEiyuuTwo_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0英雄2的姿势界的偶像\x0e\0\x03\x02ÿÿ！
YogaEiyuuTwo_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0英雄2的姿势界的超级偶像\x0e\0\x03\x02ÿÿ！
YogaEiyuuTwo_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0英雄2的姿势界的偶像No.1\x0e\0\x03\x02ÿÿ！
YogaEiyuuThree_1	您已经是……\n\x0e\0\x03\x02\x01\0英雄3的姿势界的名人\x0e\0\x03\x02ÿÿ了！
YogaEiyuuThree_2	您已经是……\n\x0e\0\x03\x02\x01\0英雄3的姿势界的翘楚\x0e\0\x03\x02ÿÿ了！
YogaEiyuuThree_3	您已经是……\n\x0e\0\x03\x02\x01\0英雄3的姿势界的权威\x0e\0\x03\x02ÿÿ了！
YogaEiyuuThree_4	您已经是……\n\x0e\0\x03\x02\x01\0英雄3的姿势界之神\x0e\0\x03\x02ÿÿ了！
YogaFune_1	如此一来\n您就是\x0e\0\x03\x02\x01\0船式战士\x0e\0\x03\x02ÿÿ了！
YogaFune_2	如此一来\n您就是\x0e\0\x03\x02\x01\0船式将军\x0e\0\x03\x02ÿÿ了！
YogaFune_3	如此一来\n您就是\x0e\0\x03\x02\x01\0船式大王\x0e\0\x03\x02ÿÿ了！
YogaFune_4	如此一来\n您就是\x0e\0\x03\x02\x01\0船式之神\x0e\0\x03\x02ÿÿ了！
YogaNejiriTaisoku_1	说您是\x0e\0\x03\x02\x01\0痴迷于扭转侧角\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaNejiriTaisoku_2	说您是\x0e\0\x03\x02\x01\0扭转侧角以外都不爱\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaNejiriTaisoku_3	说您是\x0e\0\x03\x02\x01\0少了扭转侧角就活不下去\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaNejiriTaisoku_4	说您是\x0e\0\x03\x02\x01\0为扭转侧角奉献人生者\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
YogaOgi_1	\x0e\0\x03\x02\x01\0专心致志扇形姿势\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
YogaOgi_2	\x0e\0\x03\x02\x01\0少吃一餐也要扇形姿势\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
YogaOgi_3	\x0e\0\x03\x02\x01\0全年无休扇形姿势\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
YogaOgi_4	\x0e\0\x03\x02\x01\0永恒扇形姿势\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
YogaOritatami_1	请让我称您为\n\x0e\0\x03\x02\x01\0折叠躯体姿势觉醒者\x0e\0\x03\x02ÿÿ！
YogaOritatami_2	请让我称您为\n\x0e\0\x03\x02\x01\0为折叠躯体姿势所爱者\x0e\0\x03\x02ÿÿ！
YogaOritatami_3	请让我称您为\n\x0e\0\x03\x02\x01\0折叠躯体姿势穷极者\x0e\0\x03\x02ÿÿ！
YogaOritatami_4	请让我称您为\n\x0e\0\x03\x02\x01\0真折叠躯体姿势的悟道者\x0e\0\x03\x02ÿÿ！
YogaTachiki_1	您已经是……\n\x0e\0\x03\x02\x01\0立木姿势界的名人\x0e\0\x03\x02ÿÿ了！
YogaTachiki_2	您已经是……\n\x0e\0\x03\x02\x01\0立木姿势界的翘楚\x0e\0\x03\x02ÿÿ了！
YogaTachiki_3	您已经是……\n\x0e\0\x03\x02\x01\0立木姿势界的权威\x0e\0\x03\x02ÿÿ了！
YogaTachiki_4	您已经是……\n\x0e\0\x03\x02\x01\0立木姿势界之神\x0e\0\x03\x02ÿÿ了！
ArmRotation_1	\x0e\0\x03\x02\x01\0专心致志转转手臂\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
ArmRotation_2	\x0e\0\x03\x02\x01\0少吃一餐也要转转手臂\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
ArmRotation_3	\x0e\0\x03\x02\x01\0全年无休转转手臂\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
ArmRotation_4	\x0e\0\x03\x02\x01\0永恒转转手臂\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
BanzaiShakeHip_1	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0扭腰家\x0e\0\x03\x02ÿÿ！
BanzaiShakeHip_2	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0厉害的扭腰家\x0e\0\x03\x02ÿÿ！
BanzaiShakeHip_3	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0拿手的扭腰家\x0e\0\x03\x02ÿÿ！
BanzaiShakeHip_4	从今以后请让我称您为\n\x0e\0\x03\x02\x01\0最强的扭腰家\x0e\0\x03\x02ÿÿ！
KneeCombo_1	您已经是……\n\x0e\0\x03\x02\x01\0连续抬腿界的名人\x0e\0\x03\x02ÿÿ了！
KneeCombo_2	您已经是……\n\x0e\0\x03\x02\x01\0连续抬腿界的翘楚\x0e\0\x03\x02ÿÿ了！
KneeCombo_3	您已经是……\n\x0e\0\x03\x02\x01\0连续抬腿界的权威\x0e\0\x03\x02ÿÿ了！
KneeCombo_4	您已经是……\n\x0e\0\x03\x02\x01\0连续抬腿界之神\x0e\0\x03\x02ÿÿ了！
KneeUp_1	如此一来\n您就是\x0e\0\x03\x02\x01\0抬抬大腿挑战者\x0e\0\x03\x02ÿÿ了！
KneeUp_2	如此一来\n您就是\x0e\0\x03\x02\x01\0抬抬大腿大师\x0e\0\x03\x02ÿÿ了！
KneeUp_3	如此一来\n您就是\x0e\0\x03\x02\x01\0抬抬大腿王者\x0e\0\x03\x02ÿÿ了！
KneeUp_4	如此一来\n您就是\x0e\0\x03\x02\x01\0抬抬大腿英雄\x0e\0\x03\x02ÿÿ了！
StepUp_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0传闻的踏步家\x0e\0\x03\x02ÿÿ！
StepUp_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0惊异的踏步家\x0e\0\x03\x02ÿÿ！
StepUp_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0前人未涉足的踏步家\x0e\0\x03\x02ÿÿ！
StepUp_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0空前绝后的踏步家\x0e\0\x03\x02ÿÿ！
UpDownCombo_1	请让我称您为\n\x0e\0\x03\x02\x01\0连续抬放觉醒者\x0e\0\x03\x02ÿÿ！
UpDownCombo_2	请让我称您为\n\x0e\0\x03\x02\x01\0为连续抬放所爱者\x0e\0\x03\x02ÿÿ！
UpDownCombo_3	请让我称您为\n\x0e\0\x03\x02\x01\0连续抬放穷极者\x0e\0\x03\x02ÿÿ！
UpDownCombo_4	请让我称您为\n\x0e\0\x03\x02\x01\0真连续抬放的悟道者\x0e\0\x03\x02ÿÿ！
BataBataLeg_1	您已经是……\n\x0e\0\x03\x02\x01\0踢腿界的名人\x0e\0\x03\x02ÿÿ了！
BataBataLeg_2	您已经是……\n\x0e\0\x03\x02\x01\0踢腿界的翘楚\x0e\0\x03\x02ÿÿ了！
BataBataLeg_3	您已经是……\n\x0e\0\x03\x02\x01\0踢腿界的权威\x0e\0\x03\x02ÿÿ了！
BataBataLeg_4	您已经是……\n\x0e\0\x03\x02\x01\0踢腿界之神\x0e\0\x03\x02ÿÿ了！
MountainClimber_1	您已经是……\n\x0e\0\x03\x02\x01\0热情的登山者\x0e\0\x03\x02ÿÿ了！
MountainClimber_2	您已经是……\n\x0e\0\x03\x02\x01\0华丽的登山者\x0e\0\x03\x02ÿÿ了！
MountainClimber_3	您已经是……\n\x0e\0\x03\x02\x01\0究极的登山者\x0e\0\x03\x02ÿÿ了！
MountainClimber_4	您已经是……\n\x0e\0\x03\x02\x01\0传说的登山者\x0e\0\x03\x02ÿÿ了！
RingUpdown_1	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0抬放Ring-Con界的期待之星\x0e\0\x03\x02ÿÿ！
RingUpdown_2	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0抬放Ring-Con界的偶像\x0e\0\x03\x02ÿÿ！
RingUpdown_3	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0抬放Ring-Con界的超级偶像\x0e\0\x03\x02ÿÿ！
RingUpdown_4	从今以后\n您将被人称为\x0e\0\x03\x02\x01\0抬放Ring-Con界的偶像No.1\x0e\0\x03\x02ÿÿ！
ScissorsLeg_1	说您的\x0e\0\x03\x02\x01\0兴趣是剪刀式\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
ScissorsLeg_2	说您是\x0e\0\x03\x02\x01\0专心致志剪刀式\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
ScissorsLeg_3	说您是\x0e\0\x03\x02\x01\0剪刀式至上主义\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
ScissorsLeg_4	说您是\x0e\0\x03\x02\x01\0剪刀式就是我的人生\x0e\0\x03\x02ÿÿ\n也丝毫不为过！
SeatedTwist_1	您已经是……\n\x0e\0\x03\x02\x01\0热情的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SeatedTwist_2	您已经是……\n\x0e\0\x03\x02\x01\0华丽的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SeatedTwist_3	您已经是……\n\x0e\0\x03\x02\x01\0究极的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SeatedTwist_4	您已经是……\n\x0e\0\x03\x02\x01\0传说的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SwingTwist_1	\x0e\0\x03\x02\x01\0专心致志甩手\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
SwingTwist_2	\x0e\0\x03\x02\x01\0少吃一餐也要甩手\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
SwingTwist_3	\x0e\0\x03\x02\x01\0全年无休甩手\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
SwingTwist_4	\x0e\0\x03\x02\x01\0永恒甩手\x0e\0\x03\x02ÿÿ……\n请让我将这句话献给您！
FlowchartMsg_CNzh_szs\Battle_AbsInstructor.msbt
FlowchartMsg_CNzh_szs\Battle_ArmInstructor.msbt
FlowchartMsg_CNzh_szs\Battle_BalanceInstructor.msbt
FlowchartMsg_CNzh_szs\Battle_Dragon.msbt
FlowchartMsg_CNzh_szs\Battle_LegInstructor.msbt
FlowchartMsg_CNzh_szs\BtlVoice.msbt
BtlVoiceBtlSlowlyBestYell00	好！
BtlVoiceBtlSlowlyBestYell00_1	好～！
BtlVoiceBtlSlowlyBestYell00_2	好哎！
BtlVoiceBtlSlowlyBestYell00_3	很好！
BtlVoiceBtlSlowlyBestYell00_4	很好！
BtlVoiceBtlSlowlyBestYell00_5	很～好！
BtlVoiceBtlSlowlyBestYell00_6	O～Kay！
BtlVoiceBtlSlowlyBestYell00_7	Okay！
BtlVoiceBtlSlowlyBestYell00_8	OK
BtlVoiceBtlSlowlyBestYell00_9	很好！
BtlVoiceBtlSlowlyBestYell00_10	很好啊！
BtlVoiceBtlSlowlyBestYell00_11	很～好！
BtlVoiceBtlSlowlyBestYell00_12	很棒。
BtlVoiceBtlSlowlyBestYell00_13	很棒呢！
BtlVoiceBtlSlowlyBestYell00_14	很棒喔！
BtlVoiceSlowlySpurt00_4	好！
BtlVoiceSlowlySpurt00_5	好～！
BtlVoiceSlowlySpurt00_6	好哎！
BtlVoiceSlowlySpurt00_7	很好！
BtlVoiceSlowlySpurt00_8	很好！
BtlVoiceSlowlySpurt00_9	很～好！
BtlVoiceSlowlySpurt00_10	O～Kay！
BtlVoiceSlowlySpurt00_11	Okay！
BtlVoiceSlowlySpurt00_12	OK
BtlVoiceSlowlySpurt00_13	很好！
BtlVoiceSlowlySpurt00_14	很好啊！
BtlVoiceSlowlySpurt00_15	很～好！
BtlVoiceSlowlySpurt00_16	很棒。
BtlVoiceSlowlySpurt00_17	很棒呢！
