FlowchartMsg_TWzh_szs\ActivityAchievements.msbt
Conjunction00	此外……！
AchieveComment08	現在這一瞬間，\n我真的覺得很高興能夠見到你……！
BanzaiTwist_1	你已經……\n是個\x0e\0\x03\x02\x01\0熱情的高舉雙臂扭動者\x0e\0\x03\x02ÿÿ了！
BanzaiTwist_2	你已經……\n是個\x0e\0\x03\x02\x01\0華麗的高舉雙臂扭動者\x0e\0\x03\x02ÿÿ了！
BanzaiTwist_3	你已經……\n是個\x0e\0\x03\x02\x01\0究極的高舉雙臂扭動者\x0e\0\x03\x02ÿÿ了！
BanzaiTwist_4	你已經……\n是個\x0e\0\x03\x02\x01\0傳說的高舉雙臂扭動者\x0e\0\x03\x02ÿÿ了！
BanzaiMorning_1	請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂晨式覺醒者\x0e\0\x03\x02ÿÿ！
BanzaiMorning_2	請讓我稱你為\n\x0e\0\x03\x02\x01\0為高舉雙臂晨式所愛者\x0e\0\x03\x02ÿÿ！
BanzaiMorning_3	請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂晨式窮極者\x0e\0\x03\x02ÿÿ！
BanzaiMorning_4	請讓我稱你為\n\x0e\0\x03\x02\x01\0真高舉雙臂晨式的悟道者\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂側彎界的魔術師\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂側彎界的精銳\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂側彎界的怪物\x0e\0\x03\x02ÿÿ！
BanzaiSideBend_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂側彎界的帝王\x0e\0\x03\x02ÿÿ！
BanzaiSquat_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0高舉雙臂深蹲家\x0e\0\x03\x02ÿÿ！
BanzaiSquat_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0厲害的高舉雙臂深蹲家\x0e\0\x03\x02ÿÿ！
BanzaiSquat_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0拿手的高舉雙臂深蹲家\x0e\0\x03\x02ÿÿ！
BanzaiSquat_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0最強的高舉雙臂深蹲家\x0e\0\x03\x02ÿÿ！
ArmTwist_1	你已經……\n是個\x0e\0\x03\x02\x01\0熱情的扭動手臂家\x0e\0\x03\x02ÿÿ了！
ArmTwist_2	你已經……\n是個\x0e\0\x03\x02\x01\0華麗的扭動手臂家\x0e\0\x03\x02ÿÿ了！
ArmTwist_3	你已經……\n是個\x0e\0\x03\x02\x01\0究極的扭動手臂家\x0e\0\x03\x02ÿÿ了！
ArmTwist_4	你已經……\n是個\x0e\0\x03\x02\x01\0傳說的扭動手臂家\x0e\0\x03\x02ÿÿ了！
KneeToChest_1	請讓我稱你為\n\x0e\0\x03\x02\x01\0抱膝式覺醒者\x0e\0\x03\x02ÿÿ！
KneeToChest_2	請讓我稱你為\n\x0e\0\x03\x02\x01\0為抱膝式所愛者\x0e\0\x03\x02ÿÿ！
KneeToChest_3	請讓我稱你為\n\x0e\0\x03\x02\x01\0抱膝式窮極者\x0e\0\x03\x02ÿÿ！
KneeToChest_4	請讓我稱你為\n\x0e\0\x03\x02\x01\0真抱膝式悟道者\x0e\0\x03\x02ÿÿ！
LegRaise_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0傳聞的提腿者\x0e\0\x03\x02ÿÿ！
LegRaise_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0驚異的提腿者\x0e\0\x03\x02ÿÿ！
LegRaise_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0前人未涉足的提腿者\x0e\0\x03\x02ÿÿ！
LegRaise_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0空前絕後的提腿者\x0e\0\x03\x02ÿÿ！
AshiPaka_1	\x0e\0\x03\x02\x01\0專心致志腿部開合\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
AshiPaka_2	\x0e\0\x03\x02\x01\0少吃一餐也要腿部開合\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
AshiPaka_3	\x0e\0\x03\x02\x01\0全年無休腿部開合\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
AshiPaka_4	\x0e\0\x03\x02\x01\0永恆腿部開合\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
Plank_1	說你是\x0e\0\x03\x02\x01\0癡迷於平板支撐\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
Plank_2	說你是\x0e\0\x03\x02\x01\0平板支撐以外都不愛\n\x0e\0\x03\x02ÿÿ也絲毫不為過！
Plank_3	說你是\x0e\0\x03\x02\x01\0少了平板支撐就活不下去\n\x0e\0\x03\x02ÿÿ也絲毫不為過！
Plank_4	說你是\x0e\0\x03\x02\x01\0為平板支撐奉獻人生者\n\x0e\0\x03\x02ÿÿ也絲毫不為過！
ForwardPush_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0往前推壓界的魔術師\x0e\0\x03\x02ÿÿ！
ForwardPush_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0往前推壓界的精銳\x0e\0\x03\x02ÿÿ！
ForwardPush_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0往前推壓界的怪物\x0e\0\x03\x02ÿÿ！
ForwardPush_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0往前推壓界的帝王\x0e\0\x03\x02ÿÿ！
HipLift_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0傳聞的提臀者\x0e\0\x03\x02ÿÿ！
HipLift_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0驚異的提臀者\x0e\0\x03\x02ÿÿ！
HipLift_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0前人未涉足的提臀者\x0e\0\x03\x02ÿÿ！
HipLift_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0空前絕後的提臀者\x0e\0\x03\x02ÿÿ！
MomodePush_1	說你是\x0e\0\x03\x02\x01\0癡迷於大腿推壓\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
MomodePush_2	說你是\x0e\0\x03\x02\x01\0大腿推壓以外都不愛\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
MomodePush_3	說你是\x0e\0\x03\x02\x01\0少了大腿推壓就活不下去\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
MomodePush_4	說你是\x0e\0\x03\x02\x01\0為大腿推壓奉獻人生者\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
BackPush_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0背面推壓界的期待之星\x0e\0\x03\x02ÿÿ！
BackPush_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0背面推壓界的偶像\x0e\0\x03\x02ÿÿ！
BackPush_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0背面推壓界的超級偶像\x0e\0\x03\x02ÿÿ！
BackPush_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0背面推壓界的偶像No.1\x0e\0\x03\x02ÿÿ！
BanzaiPush_1	說你是\x0e\0\x03\x02\x01\0興趣是高舉雙臂推入\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
BanzaiPush_2	說你是\x0e\0\x03\x02\x01\0專心致志高舉雙臂推入\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
BanzaiPush_3	說你是\x0e\0\x03\x02\x01\0高舉雙臂推入至上主義\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
BanzaiPush_4	說你是\x0e\0\x03\x02\x01\0高舉雙臂推入就是我的人生\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
RingArrow_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0圓環箭界的魔術師\x0e\0\x03\x02ÿÿ！
RingArrow_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0圓環箭界的精銳\x0e\0\x03\x02ÿÿ！
RingArrow_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0圓環箭界的怪物\x0e\0\x03\x02ÿÿ！
RingArrow_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0圓環箭界的帝王\x0e\0\x03\x02ÿÿ！
ShoulderPush_1	如此一來\n你就是\x0e\0\x03\x02\x01\0肩部推壓戰士\x0e\0\x03\x02ÿÿ了！
ShoulderPush_2	如此一來\n你就是\x0e\0\x03\x02\x01\0肩部推壓將軍\x0e\0\x03\x02ÿÿ了！
ShoulderPush_3	如此一來\n你就是\x0e\0\x03\x02\x01\0肩部推壓大王\x0e\0\x03\x02ÿÿ了！
ShoulderPush_4	如此一來\n你就是\x0e\0\x03\x02\x01\0肩部推壓之神\x0e\0\x03\x02ÿÿ了！
UnderPush_1	如此一來\n你就是\x0e\0\x03\x02\x01\0向下推壓挑戰者\x0e\0\x03\x02ÿÿ了！
UnderPush_2	如此一來\n你就是\x0e\0\x03\x02\x01\0向下推壓大師\x0e\0\x03\x02ÿÿ了！
UnderPush_3	如此一來\n你就是\x0e\0\x03\x02\x01\0向下推壓王者\x0e\0\x03\x02ÿÿ了！
UnderPush_4	如此一來\n你就是\x0e\0\x03\x02\x01\0向下推壓英雄\x0e\0\x03\x02ÿÿ了！
Squat_1	如此一來\n你就是\x0e\0\x03\x02\x01\0深蹲戰士\x0e\0\x03\x02ÿÿ了！
Squat_2	如此一來\n你就是\x0e\0\x03\x02\x01\0深蹲將軍\x0e\0\x03\x02ÿÿ了！
Squat_3	如此一來\n你就是\x0e\0\x03\x02\x01\0深蹲大王\x0e\0\x03\x02ÿÿ了！
Squat_4	如此一來\n你就是\x0e\0\x03\x02\x01\0深蹲之神\x0e\0\x03\x02ÿÿ了！
Triceps_1	說你是\x0e\0\x03\x02\x01\0興趣是三頭肌\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
Triceps_2	說你是\x0e\0\x03\x02\x01\0專心致志三頭肌\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
Triceps_3	說你是\x0e\0\x03\x02\x01\0三頭肌至上主義\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
Triceps_4	說你是\x0e\0\x03\x02\x01\0三頭肌就是我的人生\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
BendOver_1	如此一來\n你就是\x0e\0\x03\x02\x01\0俯身划船挑戰者\x0e\0\x03\x02ÿÿ了！
BendOver_2	如此一來\n你就是\x0e\0\x03\x02\x01\0俯身划船大師\x0e\0\x03\x02ÿÿ了！
BendOver_3	如此一來\n你就是\x0e\0\x03\x02\x01\0俯身划船王者\x0e\0\x03\x02ÿÿ了！
BendOver_4	如此一來\n你就是\x0e\0\x03\x02\x01\0俯身划船英雄\x0e\0\x03\x02ÿÿ了！
WideSquat_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0寬深蹲家\x0e\0\x03\x02ÿÿ！
WideSquat_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0厲害的寬深蹲家\x0e\0\x03\x02ÿÿ！
WideSquat_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0拿手的寬深蹲家\x0e\0\x03\x02ÿÿ！
WideSquat_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0最強的寬深蹲家\x0e\0\x03\x02ÿÿ！
YogaChair_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0椅子姿勢界的期待之星\x0e\0\x03\x02ÿÿ！
YogaChair_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0椅子姿勢界的偶像\x0e\0\x03\x02ÿÿ！
YogaChair_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0椅子姿勢界的超級偶像\x0e\0\x03\x02ÿÿ！
YogaChair_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0椅子姿勢界的偶像No.1\x0e\0\x03\x02ÿÿ！
YogaChotsugai_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0合頁姿勢界的魔術師\x0e\0\x03\x02ÿÿ！
YogaChotsugai_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0合頁姿勢界的精銳\x0e\0\x03\x02ÿÿ！
YogaChotsugai_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0合頁姿勢界的怪物\x0e\0\x03\x02ÿÿ！
YogaChotsugai_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0合頁姿勢界的帝王\x0e\0\x03\x02ÿÿ！
YogaEiyuuOne_1	說你是\x0e\0\x03\x02\x01\0興趣是英雄1的姿勢\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaEiyuuOne_2	說你是\x0e\0\x03\x02\x01\0專心致志英雄1的姿勢\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaEiyuuOne_3	說你是\x0e\0\x03\x02\x01\0英雄1的姿勢至上主義\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaEiyuuOne_4	說你是\x0e\0\x03\x02\x01\0英雄1的姿勢就是我的人生\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaEiyuuTwo_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0英雄2的姿勢界的期待之星\x0e\0\x03\x02ÿÿ！
YogaEiyuuTwo_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0英雄2的姿勢界的偶像\x0e\0\x03\x02ÿÿ！
YogaEiyuuTwo_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0英雄2的姿勢界的超級偶像\x0e\0\x03\x02ÿÿ！
YogaEiyuuTwo_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0英雄2的姿勢界的偶像No.1\x0e\0\x03\x02ÿÿ！
YogaEiyuuThree_1	你已經……\n是個\x0e\0\x03\x02\x01\0英雄3的姿勢界的名人\x0e\0\x03\x02ÿÿ了！
YogaEiyuuThree_2	你已經……\n是個\x0e\0\x03\x02\x01\0英雄3的姿勢界的翹楚\x0e\0\x03\x02ÿÿ了！
YogaEiyuuThree_3	你已經……\n是個\x0e\0\x03\x02\x01\0英雄3的姿勢界的權威\x0e\0\x03\x02ÿÿ了！
YogaEiyuuThree_4	你已經……\n是個\x0e\0\x03\x02\x01\0英雄3的姿勢界之神\x0e\0\x03\x02ÿÿ了！
YogaFune_1	如此一來\n你就是\x0e\0\x03\x02\x01\0船式戰士\x0e\0\x03\x02ÿÿ了！
YogaFune_2	如此一來\n你就是\x0e\0\x03\x02\x01\0船式將軍\x0e\0\x03\x02ÿÿ了！
YogaFune_3	如此一來\n你就是\x0e\0\x03\x02\x01\0船式大王\x0e\0\x03\x02ÿÿ了！
YogaFune_4	如此一來\n你就是\x0e\0\x03\x02\x01\0船式之神\x0e\0\x03\x02ÿÿ了！
YogaNejiriTaisoku_1	說你是\x0e\0\x03\x02\x01\0癡迷於扭轉側角\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaNejiriTaisoku_2	說你是\x0e\0\x03\x02\x01\0扭轉側角以外都不愛\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaNejiriTaisoku_3	說你是\x0e\0\x03\x02\x01\0少了扭轉側角就活不下去\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaNejiriTaisoku_4	說你是\x0e\0\x03\x02\x01\0為扭轉側角奉獻人生者\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
YogaOgi_1	\x0e\0\x03\x02\x01\0專心致志扇形姿勢\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
YogaOgi_2	\x0e\0\x03\x02\x01\0少吃一餐也要扇形姿勢\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
YogaOgi_3	\x0e\0\x03\x02\x01\0全年無休扇形姿勢\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
YogaOgi_4	\x0e\0\x03\x02\x01\0永恆扇形姿勢\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
YogaOritatami_1	請讓我稱你為\n\x0e\0\x03\x02\x01\0摺疊軀體姿勢覺醒者\x0e\0\x03\x02ÿÿ！
YogaOritatami_2	請讓我稱你為\n\x0e\0\x03\x02\x01\0為摺疊軀體姿勢所愛者\x0e\0\x03\x02ÿÿ！
YogaOritatami_3	請讓我稱你為\n\x0e\0\x03\x02\x01\0摺疊軀體姿勢窮極者\x0e\0\x03\x02ÿÿ！
YogaOritatami_4	請讓我稱你為\n\x0e\0\x03\x02\x01\0真摺疊軀體姿勢的悟道者\x0e\0\x03\x02ÿÿ！
YogaTachiki_1	你已經……\n是個\x0e\0\x03\x02\x01\0立木姿勢界的名人\x0e\0\x03\x02ÿÿ了！
YogaTachiki_2	你已經……\n是個\x0e\0\x03\x02\x01\0立木姿勢界的翹楚\x0e\0\x03\x02ÿÿ了！
YogaTachiki_3	你已經……\n是個\x0e\0\x03\x02\x01\0立木姿勢界的權威\x0e\0\x03\x02ÿÿ了！
YogaTachiki_4	你已經……\n是個\x0e\0\x03\x02\x01\0立木姿勢界之神\x0e\0\x03\x02ÿÿ了！
ArmRotation_1	\x0e\0\x03\x02\x01\0專心致志轉轉手臂\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
ArmRotation_2	\x0e\0\x03\x02\x01\0少吃一餐也要轉轉手臂\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
ArmRotation_3	\x0e\0\x03\x02\x01\0全年無休轉轉手臂\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
ArmRotation_4	\x0e\0\x03\x02\x01\0永恆轉轉手臂\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
BanzaiShakeHip_1	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0扭腰家\x0e\0\x03\x02ÿÿ！
BanzaiShakeHip_2	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0厲害的扭腰家\x0e\0\x03\x02ÿÿ！
BanzaiShakeHip_3	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0拿手的扭腰家\x0e\0\x03\x02ÿÿ！
BanzaiShakeHip_4	從今以後請讓我稱你為\n\x0e\0\x03\x02\x01\0最強的扭腰家\x0e\0\x03\x02ÿÿ！
KneeCombo_1	你已經……\n是個\x0e\0\x03\x02\x01\0連續抬腿界的名人\x0e\0\x03\x02ÿÿ了！
KneeCombo_2	你已經……\n是個\x0e\0\x03\x02\x01\0連續抬腿界的翹楚\x0e\0\x03\x02ÿÿ了！
KneeCombo_3	你已經……\n是個\x0e\0\x03\x02\x01\0連續抬腿界的權威\x0e\0\x03\x02ÿÿ了！
KneeCombo_4	你已經……\n是個\x0e\0\x03\x02\x01\0連續抬腿界之神\x0e\0\x03\x02ÿÿ了！
KneeUp_1	如此一來\n你就是\x0e\0\x03\x02\x01\0抬抬大腿挑戰者\x0e\0\x03\x02ÿÿ了！
KneeUp_2	如此一來\n你就是\x0e\0\x03\x02\x01\0抬抬大腿大師\x0e\0\x03\x02ÿÿ了！
KneeUp_3	如此一來\n你就是\x0e\0\x03\x02\x01\0抬抬大腿王者\x0e\0\x03\x02ÿÿ了！
KneeUp_4	如此一來\n你就是\x0e\0\x03\x02\x01\0抬抬大腿英雄\x0e\0\x03\x02ÿÿ了！
StepUp_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0傳聞的踏步家\x0e\0\x03\x02ÿÿ！
StepUp_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0驚異的踏步家\x0e\0\x03\x02ÿÿ！
StepUp_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0前人未涉足的踏步家\x0e\0\x03\x02ÿÿ！
StepUp_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0空前絕後的踏步家\x0e\0\x03\x02ÿÿ！
UpDownCombo_1	請讓我稱你為\n\x0e\0\x03\x02\x01\0連續抬放覺醒者\x0e\0\x03\x02ÿÿ！
UpDownCombo_2	請讓我稱你為\n\x0e\0\x03\x02\x01\0為連續抬放所愛者\x0e\0\x03\x02ÿÿ！
UpDownCombo_3	請讓我稱你為\n\x0e\0\x03\x02\x01\0連續抬放窮極者\x0e\0\x03\x02ÿÿ！
UpDownCombo_4	請讓我稱你為\n\x0e\0\x03\x02\x01\0真連續抬放的悟道者\x0e\0\x03\x02ÿÿ！
BataBataLeg_1	你已經……\n是個\x0e\0\x03\x02\x01\0踢腿界的名人\x0e\0\x03\x02ÿÿ了！
BataBataLeg_2	你已經……\n是個\x0e\0\x03\x02\x01\0踢腿界的翹楚\x0e\0\x03\x02ÿÿ了！
BataBataLeg_3	你已經……\n是個\x0e\0\x03\x02\x01\0踢腿界的權威\x0e\0\x03\x02ÿÿ了！
BataBataLeg_4	你已經……\n是個\x0e\0\x03\x02\x01\0踢腿界之神\x0e\0\x03\x02ÿÿ了！
MountainClimber_1	你已經……\n是個\x0e\0\x03\x02\x01\0熱情的登山者\x0e\0\x03\x02ÿÿ了！
MountainClimber_2	你已經……\n是個\x0e\0\x03\x02\x01\0華麗的登山者\x0e\0\x03\x02ÿÿ了！
MountainClimber_3	你已經……\n是個\x0e\0\x03\x02\x01\0究極的登山者\x0e\0\x03\x02ÿÿ了！
MountainClimber_4	你已經……\n是個\x0e\0\x03\x02\x01\0傳說的登山者\x0e\0\x03\x02ÿÿ了！
RingUpdown_1	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0抬放Ring-Con界的期待之星\x0e\0\x03\x02ÿÿ！
RingUpdown_2	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0抬放Ring-Con界的偶像\x0e\0\x03\x02ÿÿ！
RingUpdown_3	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0抬放Ring-Con界的超級偶像\x0e\0\x03\x02ÿÿ！
RingUpdown_4	從今以後\n你將被人稱為\x0e\0\x03\x02\x01\0抬放Ring-Con界的偶像No.1\x0e\0\x03\x02ÿÿ！
ScissorsLeg_1	說你是\x0e\0\x03\x02\x01\0興趣是剪刀式\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
ScissorsLeg_2	說你是\x0e\0\x03\x02\x01\0專心致志剪刀式\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
ScissorsLeg_3	說你是\x0e\0\x03\x02\x01\0剪刀式至上主義\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
ScissorsLeg_4	說你是\x0e\0\x03\x02\x01\0剪刀式就是我的人生\x0e\0\x03\x02ÿÿ\n也絲毫不為過！
SeatedTwist_1	你已經……\n是個\x0e\0\x03\x02\x01\0熱情的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SeatedTwist_2	你已經……\n是個\x0e\0\x03\x02\x01\0華麗的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SeatedTwist_3	你已經……\n是個\x0e\0\x03\x02\x01\0究極的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SeatedTwist_4	你已經……\n是個\x0e\0\x03\x02\x01\0傳說的俄式扭腰者\x0e\0\x03\x02ÿÿ了！
SwingTwist_1	\x0e\0\x03\x02\x01\0專心致志甩手\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
SwingTwist_2	\x0e\0\x03\x02\x01\0少吃一餐也要甩手\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
SwingTwist_3	\x0e\0\x03\x02\x01\0全年無休甩手\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
SwingTwist_4	\x0e\0\x03\x02\x01\0永恆甩手\x0e\0\x03\x02ÿÿ……\n請讓我將這句話獻給你！
FlowchartMsg_TWzh_szs\Battle_AbsInstructor.msbt
FlowchartMsg_TWzh_szs\Battle_ArmInstructor.msbt
FlowchartMsg_TWzh_szs\Battle_BalanceInstructor.msbt
FlowchartMsg_TWzh_szs\Battle_Dragon.msbt
FlowchartMsg_TWzh_szs\Battle_LegInstructor.msbt
FlowchartMsg_TWzh_szs\BtlVoice.msbt
BtlVoiceBtlSlowlyBestYell00	好！
BtlVoiceBtlSlowlyBestYell00_1	好～！
BtlVoiceBtlSlowlyBestYell00_2	好欸！
BtlVoiceBtlSlowlyBestYell00_3	很好！
BtlVoiceBtlSlowlyBestYell00_4	很好！
BtlVoiceBtlSlowlyBestYell00_5	很～好！
BtlVoiceBtlSlowlyBestYell00_6	O～Kay！
BtlVoiceBtlSlowlyBestYell00_7	Okay！
BtlVoiceBtlSlowlyBestYell00_8	OK
BtlVoiceBtlSlowlyBestYell00_9	很好！
BtlVoiceBtlSlowlyBestYell00_10	很好啊！
BtlVoiceBtlSlowlyBestYell00_11	很～好！
BtlVoiceBtlSlowlyBestYell00_12	很棒。
BtlVoiceBtlSlowlyBestYell00_13	很棒呢！
BtlVoiceBtlSlowlyBestYell00_14	很棒喔！
BtlVoiceSlowlySpurt00_4	好！
