bag
SS_bag_000	おこづかい
SS_bag_099	[VAR 0102(0000)]は\n元気を　とりもどした！
SS_bag_100	[VAR 0102(0000)]の　どくは\nきれい　さっぱり　なくなった！
SS_bag_101	[VAR 0102(0000)]の\n体の　しびれが　とれた！
SS_bag_102	[VAR 0102(0000)]の\nやけどが　なおった！
SS_bag_103	[VAR 0102(0000)]の\n体の　こおりが　とけた！
SS_bag_104	[VAR 0102(0000)]は\n目を　覚ました！
SS_bag_105	[VAR 0102(0000)]は\n健康に　なった！
SS_bag_106	[VAR 0102(0000)]は　[VAR 010D(0001)]の\n基礎ポイントが　あがった！
SS_bag_107	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n基礎ポイントが　さがった！
SS_bag_108	[VAR 0102(0000)]は\n最高に　なついている！\c\n[VAR 010D(0001)]の\n基礎ポイントが　さがった！
SS_bag_109	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n基礎ポイントは　もうさがらない！
SS_bag_110	[VAR 0100(0000)]は\n[VAR 0109(0001)]を　使った！
SS_bag_111	まだ前に　使った\nスプレーの　効果が　残ってます！
SS_bag_112	[VAR 0109(0000)]を　持たせた！
SS_bag_113	[VAR 0109(0000)]を　預かって\n[VAR 0109(0001)]を　持たせた！
SS_bag_115	使っても　効果がないよ
SS_bag_346	なかをみる
SS_bag_117	ポケモンが　いませんよ！
SS_bag_118	どの　ポケモンに　使いますか？
SS_bag_119	どの　ポケモンに　持たせますか？
SS_bag_120	タマゴには　持たせられません
SS_bag_121	パワーポイントが　回復した！
SS_bag_122	[VAR 0109(0000)]と\n[VAR 0109(0001)]を　取り替えますか？
SS_bag_123	どの技を　回復する？
SS_bag_124	どの技を　増やす？
SS_bag_125	[VAR 0107(0000)]の\nパワーポイントが　増えた！
SS_bag_126	バッグが　一杯で\n道具を　受け取れません！
SS_bag_128	パワーポイントが　回復した！
SS_bag_130	ひんしの　ポケモンには\n使えません
SS_bag_131	手持ちが　いっぱい　なので\n分離できません
SS_bag_135	[VAR 0107(0000)]
SS_bag_141	おりる
SS_bag_142	ひんしの　ポケモンとは\n合体できません
SS_bag_143	その　ポケモンとは\n合体できません
SS_bag_144	タマゴとは\n合体できません
SS_bag_145	手持ちが　いっぱい　なので\n分離できません
SS_bag_146	[VAR 0101(0000)]は\n別の姿に　変化した！
SS_bag_147	どの　ポケモンと\n合体しますか？
SS_bag_149	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　忘れた……
SS_bag_151	[VAR 0102(0000)]の　特性を\n変えますか？
SS_bag_152	[VAR 0102(0000)]の　特性が\n[VAR 0106(0001)]に　変化した！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_153	こうげき
SS_bag_154	ぼうぎょ
SS_bag_155	とくこう
SS_bag_156	とくぼう
SS_bag_157	すばやさ
SS_bag_158	[VAR 0202(0000)]
SS_bag_159	+[VAR 0202(0000)]
SS_bag_160	HP
SS_bag_161	[VAR 0102(0000)]の　能力を\n変化させますか？
SS_bag_162	[VAR 0109(0000)]の　効果で\n[VAR 0102(0001)]の　能力に\r\n変化が　起きたようだ！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_163	[VAR 0109(0001)]を\nいくつ　使いますか？
SS_bag_165	[VAR 0109(0001)]を\nいくつ　使いますか？
SS_bag_356	タグをみる
SS_bag_357	交換で　もらえるタマ
SS_bag_358	[VAR 0102(0000)]は　[VAR 010D(0001)]の\n基礎ポイントが　あがった！
SS_bag_169	電球
SS_bag_170	電子レンジ
SS_bag_171	洗濯機
SS_bag_172	冷蔵庫
SS_bag_173	扇風機
SS_bag_174	芝刈り機
SS_bag_175	どの　家電を\n注文しますか？
SS_bag_213	とうろく
SS_bag_214	かいじょ
SS_bag_337	博士の　言葉……\n[VAR 0100(0000)]！　こういう　ものには\r\n使いどきが　あるぞ！
SS_bag_338	バッグ
SS_bag_339	ショーポイント
SS_bag_340	登録する　ボタンを\n選択してください
SS_bag_341	登録している　道具を\n入れ替えますか？
SS_bag_342	道具を　登録しました！
SS_bag_343	ひらく
SS_bag_344	タグをみる
SS_bag_345	うめる
SS_bag_347	どこに　登録　しますか？
SS_bag_348	どの　道具を　入れ替えますか？
SS_bag_349	[VAR 0109(0001)]を\n[VAR 0109(0000)]に　入れ替えますか？
SS_bag_350	[VAR 0109(0000)]を　登録しました！\n使うときは　＋ボタンで　呼び出せます。
SS_bag_351	[VAR 0109(0000)]に　入れ替えました！\n使うときは　＋ボタンで　呼び出せます。
SS_bag_352	ここでは　降りられない！
SS_bag_353	ＤＳプレイヤーの　電源を　入れた！
SS_bag_354	ＤＳプレイヤーの　電源を　切った！
SS_bag_355	貯まった　バトルポイント\n[VAR 0203(0000)]ＢＰ
SS_bag_359	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n基礎ポイントが　さがった！
SS_bag_360	[VAR 0102(0000)]は\n最高に　なついている！\c\n[VAR 010D(0001)]の\n基礎ポイントが　さがった！
SS_bag_361	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n基礎ポイントは　もうさがらない！
bag_pocket
SS_bag_pocket_001	かいふく
SS_bag_pocket_002	ボール
SS_bag_pocket_003	せんとうよう
SS_bag_pocket_004	きのみ
SS_bag_pocket_005	どうぐ
SS_bag_pocket_006	わざマシン
SS_bag_pocket_007	おたから
SS_bag_pocket_008	たいせつなもの
SS_bag_pocket_017	かいふくポケット
SS_bag_pocket_018	ボールポケット
SS_bag_pocket_019	きのみポケット
SS_bag_pocket_020	どうぐポケット
SS_bag_pocket_021	わざマシンポケット
SS_bag_pocket_022	おたからポケット
SS_bag_pocket_023	たいせつなものポケット
SS_bag_pocket_024	せんとうようポケット
box
SS_box_000	てもち
SS_box_001	[VAR 0139(0000)]
SS_box_002	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
SS_box_003	[VAR 0102(0000)]
SS_box_004	ボックス
SS_box_005	いちらん
SS_box_006	けんさく
SS_box_007	[VAR 0102(0000)]
SS_box_008	♂
SS_box_009	♀
SS_box_010	Lv.[VAR 0202(0000)]
SS_box_011	[VAR 0202(0000)]
SS_box_012	No.[VAR 0202(0000)]
SS_box_013	[VAR 0202(0000)]
SS_box_016	[VAR 0101(0000)]
SS_box_017	HP
SS_box_018	[VAR 0202(0000)]/[VAR 0202(0001)]
SS_box_021	こうげき
SS_box_022	ぼうぎょ
SS_box_023	とくこう
SS_box_024	とくぼう
SS_box_025	すばやさ
SS_box_026	[VAR 0202(0000)]
SS_box_351	せいかく
SS_box_352	[VAR 0108(0000)]
SS_box_027	とくせい
SS_box_028	[VAR 0106(0000)]
SS_box_029	もちもの
SS_box_030	[VAR 0109(0000)]
SS_box_031	-
SS_box_032	[VAR 0107(0000)]
SS_box_033	ダイマックスレベル
SS_box_034	せいり
SS_box_035	もちもの
SS_box_036	バトル
SS_box_037	つうじょう
SS_box_038	はんい
SS_box_039	べんり
SS_box_042	[VAR 013A(0000)]
SS_box_043	[VAR 0102(0000)]を\nどうしますか？
SS_box_044	いどうする
SS_box_045	つよさをみる
SS_box_046	もちもの
SS_box_047	マーキング
SS_box_048	にがす
SS_box_049	やめる
SS_box_050	えらんだ　ポケモンで\nよろしいでしょうか？
SS_box_052	本当に　逃がしますか？
SS_box_053	はい
SS_box_054	いいえ
SS_box_055	[VAR 0102(0000)]を　逃がしてあげた\nばいばい　[VAR 0102(0000)]
SS_box_056	タマゴを　逃がすことは　できません！
SS_box_057	合体した　[VAR 0101(0000)]は\n逃がせません
SS_box_058	バトルチームに　登録している\nポケモンは　逃がせません
SS_box_059	戦うポケモンが　いなくなります！
SS_box_060	特別な　道具を　持っているので\n逃がせません
SS_box_061	この　ボックスを　どうしますか？
SS_box_062	ジャンプする
SS_box_063	かべがみ
SS_box_064	なまえ
SS_box_066	かべがみ１
SS_box_067	かべがみ２
SS_box_068	かべがみ３
SS_box_069	かべがみ４
SS_box_070	かべがみ５
SS_box_071	かべがみ６
SS_box_072	かべがみ７
SS_box_073	かべがみ８
SS_box_074	かべがみ９
SS_box_075	かべがみ１０
SS_box_076	かべがみ１１
SS_box_077	かべがみ１２
SS_box_078	かべがみ１３
SS_box_079	かべがみ１４
SS_box_080	かべがみ１５
SS_box_081	かべがみ１６
SS_box_082	かべがみ１７
SS_box_083	かべがみ１８
SS_box_084	かべがみ１９
SS_box_085	[VAR 0109(0000)]を　どうしますか？
SS_box_086	いどうする
SS_box_087	バッグへ
SS_box_088	[VAR 0109(0000)]を　バッグにいれた！
SS_box_089	バッグが　一杯です！
SS_box_090	[VAR 0109(0000)]を　預かりますか？
SS_box_091	道具を　持つことが　できます
SS_box_092	もたせる
SS_box_093	タマゴは　道具を　持てません！
SS_box_094	とうろくする
SS_box_095	いどうする
SS_box_096	はずす
SS_box_097	ロックされている　バトルチームの\nポケモンは　移動できません
SS_box_098	バトルチームが　ロックされています\nこのポケモンは　外せません
SS_box_099	バトルチームが　ロックされています\nもちものは　変更できません
SS_box_100	バトルチームが　ロックされているので\nマーキング　できません
SS_box_101	バトルチームが　ロックされています\n登録できません
SS_box_102	チームの　名前を　変えますか？
SS_box_104	条件を　選び　「探す」を　おすと\nしぼりこみを　開始します！
SS_box_105	ポケモン
SS_box_106	タイプ１
SS_box_107	タイプ２
SS_box_108	わざ
SS_box_109	わざマシン
SS_box_110	とくせい
SS_box_111	せいかく
SS_box_112	せいべつ
SS_box_113	もちもの
SS_box_114	マーク
SS_box_115	バトルチーム
SS_box_116	[VAR 0101(0000)]
SS_box_117	[VAR 0103(0000)]
SS_box_118	[VAR 0107(0000)]
SS_box_119	[VAR 0107(0000)]
SS_box_120	[VAR 0106(0000)]
SS_box_121	[VAR 0108(0000)]
SS_box_122	♂
SS_box_123	♀
SS_box_124	せいべつなし
SS_box_126	持っている
SS_box_127	持っていない
SS_box_128	[VAR 0139(0000)]
SS_box_583	－
SS_box_129	ポケモンの　名前の　頭文字を\n選んでください
SS_box_130	ポケモンを　選んでください
SS_box_131	タイプ1を　選んでください
SS_box_132	タイプ2を　選んでください
SS_box_133	技の　名前の　頭文字を\n選んでください
SS_box_134	技を　選んでください
SS_box_135	選んだ　わざマシンを　ポケモンが\n使えるかどうか　調べます
SS_box_136	ポケモンの　特性の\n頭文字を　選んでください
SS_box_137	特性を　選んでください
SS_box_138	ポケモンの　性格を\n選んでください
SS_box_139	ポケモンの　性別を\n選んでください
SS_box_140	もちものを　持っている　ポケモンを\n調べることが　できます
SS_box_141	マークを　つけた　ポケモンを\n調べることが　できます
SS_box_143	選んだ　チームに　登録している\nポケモンを　調べることが　できます
SS_box_144	[VAR 0103(0001)]
SS_box_145	[VAR 0103(0002)]
SS_box_146	[VAR 0106(0000)]
SS_box_147	[VAR 0108(0000)]
SS_box_148	[VAR 0107(0000)]
SS_box_149	バランスよく　成長しやすい。
SS_box_150	攻撃が　成長しやすい。\n防御が　成長しにくい。
SS_box_151	攻撃が　成長しやすい。\n素早さが　成長しにくい。
SS_box_152	攻撃が　成長しやすい。\n特攻が　成長しにくい。
SS_box_153	攻撃が　成長しやすい。\n特防が　成長しにくい。
SS_box_154	防御が　成長しやすい。\n攻撃が　成長しにくい。
SS_box_155	バランスよく　成長しやすい。
SS_box_156	防御が　成長しやすい。\n素早さが　成長しにくい。
SS_box_157	防御が　成長しやすい。\n特攻が　成長しにくい。
SS_box_158	防御が　成長しやすい。\n特防が　成長しにくい。
SS_box_159	素早さが　成長しやすい。\n攻撃が　成長しにくい。
SS_box_160	素早さが　成長しやすい。\n防御が　成長しにくい。
SS_box_161	バランスよく　成長しやすい。
SS_box_162	素早さが　成長しやすい。\n特攻が　成長しにくい。
SS_box_163	素早さが　成長しやすい。\n特防が　成長しにくい。
SS_box_164	特攻が　成長しやすい。\n攻撃が　成長しにくい。
SS_box_165	特攻が　成長しやすい。\n防御が　成長しにくい。
SS_box_166	特攻が　成長しやすい。\n素早さが　成長しにくい。
SS_box_167	バランスよく　成長しやすい。
SS_box_168	特攻が　成長しやすい。\n特防が　成長しにくい。
SS_box_169	特防が　成長しやすい。\n攻撃が　成長しにくい。
SS_box_170	特防が　成長しやすい。\n防御が　成長しにくい。
SS_box_171	特防が　成長しやすい。\n素早さが　成長しにくい。
SS_box_172	特防が　成長しやすい。\n特攻が　成長しにくい。
SS_box_173	バランスよく　成長しやすい。
SS_box_174	こうかんあいて
SS_box_175	[VAR 0100(0000)]
SS_box_176	相手の　返事を　待っています\nしばらく　お待ちください
SS_box_177	交換を　中止しました
SS_box_178	終了が　選ばれました\n交換を　終わりに　します
SS_box_179	相手が　交換を\n中止しました\c\n交換を終了します
SS_box_180	ポケモン交換を\n終了しますか？
SS_box_181	相手の　ポケモンに　問題が\nあるため　交換できません
SS_box_182	自分の　ポケモンに　問題が\nあるため　交換できません
SS_box_183	注意！\nポケモン交換を\nしている　途中で\n通信エラーや\n本体の　電源が　切れて\n通信が　終了すると\nしばらく　ポケモン交換が\nできなくなります
SS_box_184	レポートを　書いています\n電源を　切らないでください
SS_box_185	通信待機中\nしばらく　お待ちください
SS_box_186	交換相手の　リーグカードを\n受け取りますか？
SS_box_187	相手の　[VAR 0102(0000)]と\n[VAR 0102(0001)]を　交換しますか？
SS_box_188	その　タマゴは\n交換に　だせません
SS_box_189	こうかんする
SS_box_190	えらぶ
SS_box_191	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_box_192	[VAR 0102(0000)]
SS_box_582	Lv.[VAR 0202(0000)]
SS_box_193	その　ポケモンは\n交換に　だせません
SS_box_194	交換に　だせる\nポケモンが　いません
SS_box_195	ここでは　タマゴを\n交換に　だせません
SS_box_196	バトルチームに　登録している\nポケモンは　交換に　だせません
SS_box_198	[VAR 0100(0000)]を\nおことわりリストに　追加しますか？
SS_box_199	追加した　人とは　二度と\n通信で　遊べなくなります\r\n本当に　よろしいですか？
SS_box_200	おことわりリストに　登録しました\n交換を　終了します
SS_box_201	すでに　おことわりリストに\n追加されている　人です
SS_box_203	決定
SS_box_204	あいてのつよさをみる
SS_box_404	[VAR 0102(0000)]を　どうしますか？
SS_box_333	[VAR 0201(0000)]
SS_box_584	交換相手\n[VAR 0100(0000)]
SS_box_585	ボールカプセルが　カスタマイズされている\nポケモンは　交換に　だせません
SS_box_586	戦う　ポケモンが　いなくなります！
SS_box_211	タマゴは　選べません
SS_box_212	バトルチームのポケモンは\n選べません
SS_box_587	[VAR 0102(0000)]は　[VAR 0109(0001)]を\n持っていますが　交換しますか？
SS_box_214	手持ちの　ポケモンは\n選べません
SS_box_215	これ以上\n選べません
SS_box_216	ひんしの　ポケモンは\n選べません
SS_box_103	タマゴは　登録できません
SS_box_580	この　ポケモンは　特別なので\nミラクル交換には　だせません！
SS_box_219	戻る
SS_box_220	操作切り替え
SS_box_221	モード切り替え
SS_box_222	ステータス
SS_box_223	探す
SS_box_224	リセット
SS_box_226	全選択
SS_box_227	ジャッジ
SS_box_581	べんり
SS_box_228	まずまずの　能力
SS_box_229	平均以上の　能力
SS_box_230	相当優秀な　能力
SS_box_231	素晴らしい　能力！
SS_box_232	ダメかも
SS_box_233	まあまあ
SS_box_234	かなりいい
SS_box_235	すごくいい
SS_box_236	すばらしい
SS_box_237	さいこう！
SS_box_577	きたえた！
SS_box_369	マーキング
SS_box_588	相手が　交換を\n中止しました
SS_box_589	この　ポケモンは\n選べません
boxname
SS_boxname_001	ボックス１
SS_boxname_002	ボックス２
SS_boxname_003	ボックス３
SS_boxname_004	ボックス４
SS_boxname_005	ボックス５
SS_boxname_006	ボックス６
SS_boxname_007	ボックス７
SS_boxname_008	ボックス８
SS_boxname_009	ボックス９
SS_boxname_010	ボックス１０
SS_boxname_011	ボックス１１
SS_boxname_012	ボックス１２
SS_boxname_013	ボックス１３
SS_boxname_014	ボックス１４
SS_boxname_015	ボックス１５
SS_boxname_016	ボックス１６
SS_boxname_017	ボックス１７
SS_boxname_018	ボックス１８
SS_boxname_019	ボックス１９
SS_boxname_020	ボックス２０
SS_boxname_021	ボックス２１
SS_boxname_022	ボックス２２
SS_boxname_023	ボックス２３
SS_boxname_024	ボックス２４
SS_boxname_025	ボックス２５
SS_boxname_026	ボックス２６
SS_boxname_027	ボックス２７
SS_boxname_028	ボックス２８
SS_boxname_029	ボックス２９
SS_boxname_030	ボックス３０
SS_boxname_031	ボックス３１
SS_boxname_032	ボックス３２
SS_boxname_033	チーム１
SS_boxname_034	チーム２
SS_boxname_035	チーム３
SS_boxname_036	チーム４
SS_boxname_037	チーム５
SS_boxname_038	チーム６
SS_boxname_039	ボックス３３
SS_boxname_040	ボックス３４
SS_boxname_041	ボックス３５
SS_boxname_042	ボックス３６
SS_boxname_043	ボックス３７
SS_boxname_044	ボックス３８
SS_boxname_045	ボックス３９
SS_boxname_046	ボックス４０
btl_app
msg_ui_btl_pokename	[VAR 0102(0000)]
msg_ui_btl_playername	[VAR 0100(0000)]
msg_ui_btl_00	たたかう
msg_ui_btl_01	バッグ
msg_ui_btl_02	ポケモン
msg_ui_btl_04	にげる
msg_ui_btl_05	じょうきょう
msg_ui_btl_06	わざせつめい
msg_ui_btl_07	とじる
msg_ui_raidbtl_lv_00	Lv.
msg_ui_raidbtl_lv_01	[VAR 0202(0000)]
msg_ui_raidbtl_lv_02	???
msg_ui_raidbtl_hp_00	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_btl_pokewaza	[VAR 0107(0000)]
msg_ui_btl_pp_01	[VAR 0201(0000)]
msg_ui_btl_pp_02	/[VAR 0201(0000)]
msg_ui_btl_kouka_00	こうかばつぐん
msg_ui_btl_kouka_01	こうかあり
msg_ui_btl_kouka_02	いまひとつ
msg_ui_btl_kouka_03	こうかなし
msg_ui_btl_kougeki	こうげき
msg_ui_btl_bougyo	ぼうぎょ
msg_ui_btl_tokukou	とくこう
msg_ui_btl_tokubou	とくぼう
msg_ui_btl_subayasa	すばやさ
msg_ui_btl_meichu	めいちゅう
msg_ui_btl_kaihi	かいひ
msg_ui_btl_joutai_00	[VAR 0136(0000)]
msg_ui_btl_joutai_01	[VAR 0200(0000)]
msg_ui_btl_joutai_02	/
msg_ui_btl_joutai_03	[VAR 0200(0000)]
msg_ui_btl_joutai_10	戻る
msg_ui_btl_wazainfo_tokusei	とくせい
msg_ui_btl_wazainfo_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_wazainfo_item	もちもの
msg_ui_btl_wazainfo_itemname	[VAR 0109(0000)]
msg_ui_raidbtl_hp_01	[VAR 0203(0000)]/[VAR 0203(0001)]
msg_ui_raidbtl_fr_pokewaza	[VAR 0107(0000)]
msg_ui_raidbtl_pokename	[VAR 0101(0000)]
msg_ui_btl_command_01	[VAR 0201(0000)]:[VAR 0201(0001)]
msg_ui_btl_lvup_00	[VAR 0202(0000)]
msg_ui_btl_lvup_01	+[VAR 0202(0000)]
msg_ui_btl_lvup_02	HP
msg_ui_btl_lvup_03	こうげき
msg_ui_btl_lvup_04	ぼうぎょ
msg_ui_btl_lvup_05	とくこう
msg_ui_btl_lvup_06	とくぼう
msg_ui_btl_lvup_07	すばやさ
msg_ui_btl_yesno_00	ポケモンを　入れ替える
msg_ui_btl_yesno_01	そのまま　戦う
msg_ui_btl_yesno_02	つぎの　ポケモンを　つかう
msg_ui_btl_yesno_03	にげる
msg_ui_btl_yesno_04	忘れさせる！
msg_ui_btl_yesno_05	忘れさせない
msg_ui_btl_yesno_06	はい
msg_ui_btl_yesno_07	いいえ
msg_ui_btl_hokaku_01	つかまえる
msg_ui_btl_hokaku_02	つかまえない
msg_ui_btl_hokaku_03	つかう
msg_ui_btl_next_01	つぎへ
msg_ui_btl_tokusei	[VAR 0102(0000)]の\n[VAR 0106(0001)]
msg_ui_btl_pokeselect_name	[VAR 0102(0000)]
msg_ui_btl_pokeselect_kouka_00	こうかばつぐん
msg_ui_btl_pokeselect_kouka_01	こうかあり
msg_ui_btl_pokeselect_kouka_02	いまひとつ
msg_ui_btl_pokeselect_kouka_03	こうかなし
msg_ui_btl_pokeselect_playername	[VAR 0100(0000)]
msg_ui_btl_ball_name	[VAR 0109(0000)]
msg_ui_btl_ball_count	×[VAR 0202(0000)]
msg_ui_btl_wazainfo_00	[VAR 0107(0000)]
msg_ui_btl_wazainfo_01	ぶんるい
msg_ui_btl_wazainfo_02	めいちゅう
msg_ui_btl_wazainfo_03	いりょく
msg_ui_btl_wazainfo_04	[VAR 0202(0000)]
msg_ui_btl_wazainfo_05	-
msg_ui_btl_watching_02	あと[VAR 0200(0000)]ターン
str_btr_wait	通信待機中…
msg_ui_btl_SafariCommnadBallMsg	ボール
msg_ui_btl_SafariCommnadEsaMsg	エサ
msg_ui_btl_SafariCommnadDoroMsg	どろ
msg_ui_btl_SafariCommandEscapeMsg	にげる
msg_ui_btl_SafariBallMsg	サファリボール
msg_ui_btl_SafariNokoriMsg	残り　[VAR 0201(0000)]個
msg_ui_btl_08	もどる
msg_ui_btl_total_01	[VAR 0201(0000)]:[VAR 0201(0001)]
btl_attack
ATKMSG_M_000	！
ATKMSG_Y_000	！
ATKMSG_E_000	！
ATKMSG_T_000	！
ATKMSG_M_001	[VAR 0101(0000)]の\nはたく　攻撃！
ATKMSG_Y_001	野生の　[VAR 0101(0000)]の\nはたく　攻撃！
ATKMSG_E_001	相手の　[VAR 0101(0000)]の\nはたく　攻撃！
ATKMSG_T_001	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nはたく　攻撃！
ATKMSG_M_005	[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_Y_005	野生の　[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_E_005	相手の　[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_T_005	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_M_006	[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_Y_006	野生の　[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_E_006	相手の　[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_T_006	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_M_007	[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_Y_007	野生の　[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_E_007	相手の　[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_T_007	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_M_008	[VAR 0101(0000)]の\nれいとうパンチ！
ATKMSG_Y_008	野生の　[VAR 0101(0000)]の\nれいとうパンチ！
ATKMSG_E_008	相手の　[VAR 0101(0000)]の\nれいとうパンチ！
ATKMSG_T_008	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nれいとうパンチ！
ATKMSG_M_009	[VAR 0101(0000)]の\nかみなりパンチ！
ATKMSG_Y_009	野生の　[VAR 0101(0000)]の\nかみなりパンチ！
ATKMSG_E_009	相手の　[VAR 0101(0000)]の\nかみなりパンチ！
ATKMSG_T_009	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nかみなりパンチ！
ATKMSG_M_010	[VAR 0101(0000)]の\nひっかく　攻撃！
ATKMSG_Y_010	野生の　[VAR 0101(0000)]の\nひっかく　攻撃！
ATKMSG_E_010	相手の　[VAR 0101(0000)]の\nひっかく　攻撃！
ATKMSG_T_010	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nひっかく　攻撃！
ATKMSG_M_011	[VAR 0101(0000)]の\nはさむ　攻撃！
ATKMSG_Y_011	野生の　[VAR 0101(0000)]の\nはさむ　攻撃！
ATKMSG_E_011	相手の　[VAR 0101(0000)]の\nはさむ　攻撃！
ATKMSG_T_011	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nはさむ　攻撃！
