bag
SS_bag_000	おこづかい
SS_bag_090	もたせる
SS_bag_096	やめる
SS_bag_098	[VAR 0102(0000)]の　たいりょくが\n[VAR 0202(0001)]　かいふくした！
SS_bag_099	[VAR 0102(0000)]は\nげんきを　とりもどした！
SS_bag_100	[VAR 0102(0000)]の　どくは\nきれい　さっぱり　なくなった！
SS_bag_101	[VAR 0102(0000)]の\nからだの　しびれが　とれた！
SS_bag_102	[VAR 0102(0000)]の\nやけどが　なおった！
SS_bag_103	[VAR 0102(0000)]の\nからだの　こおりが　とけた！
SS_bag_104	[VAR 0102(0000)]は\nめを　さました！
SS_bag_105	[VAR 0102(0000)]は\nけんこうに　なった！
SS_bag_106	[VAR 0102(0000)]は　[VAR 010D(0001)]の\nきそポイントが　あがった！
SS_bag_107	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\nきそポイントが　さがった！
SS_bag_108	[VAR 0102(0000)]は\nさいこうに　なついている！\c\n[VAR 010D(0001)]の\nきそポイントが　さがった！
SS_bag_109	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\nきそポイントは　もうさがらない！
SS_bag_110	[VAR 0100(0000)]は\n[VAR 0109(0001)]を　つかった！
SS_bag_111	まだ　まえに　つかった\nスプレーの　こうかが　のこってます！
SS_bag_112	[VAR 0109(0000)]を　もたせた！
SS_bag_113	[VAR 0109(0000)]を　あずかって\n[VAR 0109(0001)]を　もたせた！
SS_bag_115	つかっても　こうかがないよ
SS_bag_346	なかをみる
SS_bag_117	ポケモンが　いませんよ！
SS_bag_118	どの　ポケモンに　つかいますか？
SS_bag_119	どの　ポケモンに　もたせますか？
SS_bag_120	タマゴには　もたせられません
SS_bag_121	パワーポイントが　かいふくした！
SS_bag_122	[VAR 0109(0000)]と\n[VAR 0109(0001)]を　とりかえますか？
SS_bag_123	どのわざを　かいふくする？
SS_bag_124	どのわざを　ふやす？
SS_bag_125	[VAR 0107(0000)]の\nパワーポイントが　ふえた！
SS_bag_126	バッグが　いっぱいで\nどうぐを　うけとれません！
SS_bag_128	パワーポイントが　かいふくした！
SS_bag_130	ひんしの　ポケモンには\nつかえません
SS_bag_131	てもちが　いっぱい　なので\nぶんり　できません
SS_bag_135	[VAR 0107(0000)]
SS_bag_141	おりる
SS_bag_142	ひんしの　ポケモンとは\nがったい　できません
SS_bag_143	その　ポケモンとは\nがったい　できません
SS_bag_144	タマゴとは\nがったい　できません
SS_bag_145	てもちが　いっぱい　なので\nぶんり　できません
SS_bag_146	[VAR 0101(0000)]は\nべつの　すがたに　へんかした！
SS_bag_147	どの　ポケモンと\nがったい　しますか？
SS_bag_149	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　わすれた……
SS_bag_151	[VAR 0102(0000)]の　とくせいを\nかえますか？
SS_bag_152	[VAR 0102(0000)]の　とくせいが\n[VAR 0106(0001)]に　へんかした！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_153	こうげき
SS_bag_154	ぼうぎょ
SS_bag_155	とくこう
SS_bag_156	とくぼう
SS_bag_157	すばやさ
SS_bag_158	[VAR 0202(0000)]
SS_bag_159	+[VAR 0202(0000)]
SS_bag_160	HP
SS_bag_161	[VAR 0102(0000)]の　のうりょくを\nへんかさせますか？
SS_bag_162	[VAR 0109(0000)]の　こうかで\n[VAR 0102(0001)]の　のうりょくに\r\nへんかが　おきたようだ！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_163	[VAR 0109(0001)]を\nいくつ　つかいますか？
SS_bag_165	[VAR 0109(0001)]を\nいくつ　つかいますか？
SS_bag_356	タグをみる
SS_bag_357	こうかんで　もらえるタマ
SS_bag_358	[VAR 0102(0000)]は　[VAR 010D(0001)]の\nきそポイントが　あがった！
SS_bag_169	でんきゅう
SS_bag_170	でんしレンジ
SS_bag_171	せんたくき
SS_bag_172	れいぞうこ
SS_bag_173	せんぷうき
SS_bag_174	しばかりき
SS_bag_175	どの　かでんを\nちゅうもんしますか？
SS_bag_213	とうろく
SS_bag_214	かいじょ
SS_bag_337	はかせの　ことば……\n[VAR 0100(0000)]！　こういう　ものには\r\nつかいどきが　あるぞ！
SS_bag_338	バッグ
SS_bag_339	ショーポイント
SS_bag_340	とうろくする　ボタンを\nせんたくしてください
SS_bag_341	とうろくしている　どうぐを\nいれかえますか？
SS_bag_342	どうぐを　とうろくしました！
SS_bag_343	ひらく
SS_bag_344	タグをみる
SS_bag_345	うめる
SS_bag_347	どこに　とうろく　しますか？
SS_bag_348	どの　どうぐを　いれかえますか？
SS_bag_349	[VAR 0109(0001)]を\n[VAR 0109(0000)]に　いれかえますか？
SS_bag_350	[VAR 0109(0000)]を　とうろくしました！\nつかうときは　＋ボタンで　よびだせます。
SS_bag_351	[VAR 0109(0000)]に　いれかえました！\nつかうときは　＋ボタンで　よびだせます。
SS_bag_352	ここでは　おりられない！
SS_bag_353	ＤＳプレイヤーの　でんげんを　いれた！
SS_bag_354	ＤＳプレイヤーの　でんげんを　きった！
SS_bag_355	たまった　バトルポイント\n[VAR 0203(0000)]ＢＰ
SS_bag_359	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\nきそポイントが　さがった！
SS_bag_360	[VAR 0102(0000)]は\nさいこうに　なついている！\c\n[VAR 010D(0001)]の\nきそポイントが　さがった！
SS_bag_361	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\nきそポイントは　もうさがらない！
bag_pocket
SS_bag_pocket_001	かいふく
SS_bag_pocket_002	ボール
SS_bag_pocket_003	せんとうよう
SS_bag_pocket_004	きのみ
SS_bag_pocket_005	どうぐ
SS_bag_pocket_006	わざマシン
SS_bag_pocket_007	おたから
SS_bag_pocket_008	たいせつなもの
SS_bag_pocket_017	かいふくポケット
SS_bag_pocket_018	ボールポケット
SS_bag_pocket_019	きのみポケット
SS_bag_pocket_020	どうぐポケット
SS_bag_pocket_021	わざマシンポケット
SS_bag_pocket_022	おたからポケット
SS_bag_pocket_023	たいせつなものポケット
SS_bag_pocket_024	せんとうようポケット
box
SS_box_000	てもち
SS_box_001	[VAR 0139(0000)]
SS_box_002	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
SS_box_003	[VAR 0102(0000)]
SS_box_004	ボックス
SS_box_005	いちらん
SS_box_006	けんさく
SS_box_007	[VAR 0102(0000)]
SS_box_008	♂
SS_box_009	♀
SS_box_010	Lv.[VAR 0202(0000)]
SS_box_011	[VAR 0202(0000)]
SS_box_012	No.[VAR 0202(0000)]
SS_box_013	[VAR 0202(0000)]
SS_box_016	[VAR 0101(0000)]
SS_box_017	HP
SS_box_018	[VAR 0202(0000)]/[VAR 0202(0001)]
SS_box_021	こうげき
SS_box_022	ぼうぎょ
SS_box_023	とくこう
SS_box_024	とくぼう
SS_box_025	すばやさ
SS_box_026	[VAR 0202(0000)]
SS_box_351	せいかく
SS_box_352	[VAR 0108(0000)]
SS_box_027	とくせい
SS_box_028	[VAR 0106(0000)]
SS_box_029	もちもの
SS_box_030	[VAR 0109(0000)]
SS_box_031	-
SS_box_032	[VAR 0107(0000)]
SS_box_033	ダイマックスレベル
SS_box_034	せいり
SS_box_035	もちもの
SS_box_036	バトル
SS_box_037	つうじょう
SS_box_038	はんい
SS_box_039	べんり
SS_box_042	[VAR 013A(0000)]
SS_box_043	[VAR 0102(0000)]を\nどうしますか？
SS_box_044	いどうする
SS_box_045	つよさをみる
SS_box_046	もちもの
SS_box_047	マーキング
SS_box_048	にがす
SS_box_049	やめる
SS_box_050	えらんだ　ポケモンで\nよろしいでしょうか？
SS_box_052	ほんとうに　にがしますか？
SS_box_053	はい
SS_box_054	いいえ
SS_box_055	[VAR 0102(0000)]を　にがしてあげた\nばいばい　[VAR 0102(0000)]
SS_box_056	タマゴを　にがすことは　できません！
SS_box_057	がったいした　[VAR 0101(0000)]は\nにがせません
SS_box_058	バトルチームに　とうろく　している\nポケモンは　にがせません
SS_box_059	たたかうポケモンが　いなくなります！
SS_box_060	とくべつな　どうぐを　もっているので\nにがせません
SS_box_061	この　ボックスを　どうしますか？
SS_box_062	ジャンプする
SS_box_063	かべがみ
SS_box_064	なまえ
SS_box_066	かべがみ１
SS_box_067	かべがみ２
SS_box_068	かべがみ３
SS_box_069	かべがみ４
SS_box_070	かべがみ５
SS_box_071	かべがみ６
SS_box_072	かべがみ７
SS_box_073	かべがみ８
SS_box_074	かべがみ９
SS_box_075	かべがみ１０
SS_box_076	かべがみ１１
SS_box_077	かべがみ１２
SS_box_078	かべがみ１３
SS_box_079	かべがみ１４
SS_box_080	かべがみ１５
SS_box_081	かべがみ１６
SS_box_082	かべがみ１７
SS_box_083	かべがみ１８
SS_box_084	かべがみ１９
SS_box_085	[VAR 0109(0000)]を　どうしますか？
SS_box_086	いどうする
SS_box_087	バッグへ
SS_box_088	[VAR 0109(0000)]を　バッグにいれた！
SS_box_089	バッグが　いっぱいです！
SS_box_090	[VAR 0109(0000)]を　あずかりますか？
SS_box_091	どうぐを　もつことが　できます
SS_box_092	もたせる
SS_box_093	タマゴは　どうぐを　もてません！
SS_box_094	とうろくする
SS_box_095	いどうする
SS_box_096	はずす
SS_box_097	ロックされている　バトルチームの\nポケモンは　いどう　できません
SS_box_098	バトルチームが　ロックされています\nこのポケモンは　はずせません
SS_box_099	バトルチームが　ロックされています\nもちものは　へんこう　できません
SS_box_100	バトルチームが　ロックされているので\nマーキング　できません
SS_box_101	バトルチームが　ロックされています\nとうろく　できません
SS_box_102	チームの　なまえを　かえますか？
SS_box_104	じょうけんを　えらび　「さがす」をおすと\nしぼりこみを　かいし　します！
SS_box_105	ポケモン
SS_box_106	タイプ１
SS_box_107	タイプ２
SS_box_108	わざ
SS_box_109	わざマシン
SS_box_110	とくせい
SS_box_111	せいかく
SS_box_112	せいべつ
SS_box_113	もちもの
SS_box_114	マーク
SS_box_115	バトルチーム
SS_box_116	[VAR 0101(0000)]
SS_box_117	[VAR 0103(0000)]
SS_box_118	[VAR 0107(0000)]
SS_box_119	[VAR 0107(0000)]
SS_box_120	[VAR 0106(0000)]
SS_box_121	[VAR 0108(0000)]
SS_box_122	♂
SS_box_123	♀
SS_box_124	せいべつなし
SS_box_126	もっている
SS_box_127	もっていない
SS_box_128	[VAR 0139(0000)]
SS_box_583	－
SS_box_129	ポケモンの　なまえの　かしらもじを\nえらんでください
SS_box_130	ポケモンを　えらんでください
SS_box_131	タイプ1を　えらんでください
SS_box_132	タイプ2を　えらんでください
SS_box_133	わざの　なまえの　かしらもじを\nえらんでください
SS_box_134	わざを　えらんでください
SS_box_135	えらんだ　わざマシンを　ポケモンが\nつかえるかどうか　しらべます
SS_box_136	ポケモンの　とくせいの\nかしらもじを　えらんでください
SS_box_137	とくせいを　えらんでください
SS_box_138	ポケモンの　せいかくを\nえらんでください
SS_box_139	ポケモンの　せいべつを\nえらんでください
SS_box_140	もちものを　もっている　ポケモンを\nしらべることが　できます
SS_box_141	マークを　つけた　ポケモンを\nしらべることが　できます
SS_box_143	えらんだ　チームに　とうろくしている\nポケモンを　しらべることが　できます
SS_box_144	[VAR 0103(0001)]
SS_box_145	[VAR 0103(0002)]
SS_box_146	[VAR 0106(0000)]
SS_box_147	[VAR 0108(0000)]
SS_box_148	[VAR 0107(0000)]
SS_box_149	バランスよく　せいちょう　しやすい。
SS_box_150	こうげきが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
SS_box_151	こうげきが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
SS_box_152	こうげきが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
SS_box_153	こうげきが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
SS_box_154	ぼうぎょが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
SS_box_155	バランスよく　せいちょう　しやすい。
SS_box_156	ぼうぎょが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
SS_box_157	ぼうぎょが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
SS_box_158	ぼうぎょが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
SS_box_159	すばやさが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
SS_box_160	すばやさが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
SS_box_161	バランスよく　せいちょう　しやすい。
SS_box_162	すばやさが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
SS_box_163	すばやさが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
SS_box_164	とくこうが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
SS_box_165	とくこうが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
SS_box_166	とくこうが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
SS_box_167	バランスよく　せいちょう　しやすい。
SS_box_168	とくこうが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
SS_box_169	とくぼうが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
SS_box_170	とくぼうが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
SS_box_171	とくぼうが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
SS_box_172	とくぼうが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
SS_box_173	バランスよく　せいちょう　しやすい。
SS_box_174	こうかんあいて
SS_box_175	[VAR 0100(0000)]
SS_box_176	あいての　へんじを　まっています\nしばらく　おまちください
SS_box_177	こうかんを　ちゅうししました
SS_box_178	しゅうりょうが　えらばれました\nこうかんを　おわりに　します
SS_box_179	あいてが　こうかんを\nちゅうし　しました\c\nこうかんを　しゅうりょう　します
SS_box_180	ポケモンこうかんを\nしゅうりょう　しますか？
SS_box_181	あいての　ポケモンに　もんだいが\nあるため　こうかん　できません
SS_box_182	じぶんの　ポケモンに　もんだいが\nあるため　こうかん　できません
SS_box_183	ちゅうい！\nポケモンこうかんを\nしている　とちゅうで\nつうしんエラーや\nほんたいの　でんげんが　きれて\nつうしんが　しゅうりょうすると\nしばらく　ポケモンこうかんが\nできなくなります
SS_box_184	レポートを　かいています\nでんげんを　きらないでください
SS_box_185	つうしん　たいきちゅう\nしばらく　おまちください
SS_box_186	こうかんあいての　リーグカードを\nうけとりますか？
SS_box_187	あいての　[VAR 0102(0000)]と\n[VAR 0102(0001)]を　こうかんしますか？
SS_box_188	その　タマゴは\nこうかんに　だせません
SS_box_189	こうかんする
SS_box_190	えらぶ
SS_box_191	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_box_192	[VAR 0102(0000)]
SS_box_582	Lv.[VAR 0202(0000)]
SS_box_193	その　ポケモンは\nこうかんに　だせません
SS_box_194	こうかんに　だせる\nポケモンが　いません
SS_box_195	ここでは　タマゴを\nこうかんに　だせません
SS_box_196	バトルチームに　とうろく　している\nポケモンは　こうかんに　だせません
SS_box_198	[VAR 0100(0000)]を\nおことわりリストに　ついかしますか？
SS_box_199	ついかした　ひととは　にどと\nつうしんで　あそべなくなります\r\nほんとうに　よろしいですか？
SS_box_200	おことわりリストに　とうろくしました\nこうかんを　しゅうりょう　します
SS_box_201	すでに　おことわりリストに\nついかされている　ひとです
SS_box_203	けってい
SS_box_204	あいてのつよさをみる
SS_box_404	[VAR 0102(0000)]を　どうしますか？
SS_box_333	[VAR 0201(0000)]
SS_box_584	こうかんあいて\n[VAR 0100(0000)]
SS_box_585	ボールカプセルが　カスタマイズされている\nポケモンは　こうかんに　だせません
SS_box_586	たたかう　ポケモンが　いなくなります！
SS_box_211	タマゴは　えらべません
SS_box_212	バトルチームのポケモンは\nえらべません
SS_box_587	[VAR 0102(0000)]は　[VAR 0109(0001)]を\nもっていますが　こうかんしますか？
SS_box_214	てもちの　ポケモンは\nえらべません
SS_box_215	これいじょう\nえらべません
SS_box_216	ひんしの　ポケモンは\nえらべません
SS_box_103	タマゴは　とうろく　できません
SS_box_580	この　ポケモンは　とくべつなので\nミラクルこうかんには　だせません！
SS_box_219	もどる
SS_box_220	そうさきりかえ
SS_box_221	モードきりかえ
SS_box_222	ステータス
SS_box_223	さがす
SS_box_224	リセット
SS_box_226	ぜんせんたく
SS_box_227	ジャッジ
SS_box_581	べんり
SS_box_228	まずまずの\nのうりょく
SS_box_229	へいきん　いじょうの\nのうりょく
SS_box_230	そうとうゆうしゅうな\nのうりょく
SS_box_231	すばらしい　のうりょく！
SS_box_232	ダメかも
SS_box_233	まあまあ
SS_box_234	かなりいい
SS_box_235	すごくいい
SS_box_236	すばらしい
SS_box_237	さいこう！
SS_box_577	きたえた！
SS_box_369	マーキング
SS_box_588	あいてが　こうかんを\nちゅうし　しました
SS_box_589	この　ポケモンは\nえらべません
boxname
SS_boxname_001	ボックス１
SS_boxname_002	ボックス２
SS_boxname_003	ボックス３
SS_boxname_004	ボックス４
SS_boxname_005	ボックス５
SS_boxname_006	ボックス６
SS_boxname_007	ボックス７
SS_boxname_008	ボックス８
SS_boxname_009	ボックス９
SS_boxname_010	ボックス１０
SS_boxname_011	ボックス１１
SS_boxname_012	ボックス１２
SS_boxname_013	ボックス１３
SS_boxname_014	ボックス１４
SS_boxname_015	ボックス１５
SS_boxname_016	ボックス１６
SS_boxname_017	ボックス１７
SS_boxname_018	ボックス１８
SS_boxname_019	ボックス１９
SS_boxname_020	ボックス２０
SS_boxname_021	ボックス２１
SS_boxname_022	ボックス２２
SS_boxname_023	ボックス２３
SS_boxname_024	ボックス２４
SS_boxname_025	ボックス２５
SS_boxname_026	ボックス２６
SS_boxname_027	ボックス２７
SS_boxname_028	ボックス２８
SS_boxname_029	ボックス２９
SS_boxname_030	ボックス３０
SS_boxname_031	ボックス３１
SS_boxname_032	ボックス３２
SS_boxname_033	チーム１
SS_boxname_034	チーム２
SS_boxname_035	チーム３
SS_boxname_036	チーム４
SS_boxname_037	チーム５
SS_boxname_038	チーム６
SS_boxname_039	ボックス３３
SS_boxname_040	ボックス３４
SS_boxname_041	ボックス３５
SS_boxname_042	ボックス３６
SS_boxname_043	ボックス３７
SS_boxname_044	ボックス３８
SS_boxname_045	ボックス３９
SS_boxname_046	ボックス４０
btl_app
msg_ui_btl_pokename	[VAR 0102(0000)]
msg_ui_btl_playername	[VAR 0100(0000)]
msg_ui_btl_00	たたかう
msg_ui_btl_01	バッグ
msg_ui_btl_02	ポケモン
msg_ui_btl_04	にげる
msg_ui_btl_05	じょうきょう
msg_ui_btl_06	わざせつめい
msg_ui_btl_07	とじる
msg_ui_raidbtl_lv_00	Lv.
msg_ui_raidbtl_lv_01	[VAR 0202(0000)]
msg_ui_raidbtl_lv_02	???
msg_ui_raidbtl_hp_00	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_btl_pokewaza	[VAR 0107(0000)]
msg_ui_btl_pp_01	[VAR 0201(0000)]
msg_ui_btl_pp_02	/[VAR 0201(0000)]
msg_ui_btl_kouka_00	こうかばつぐん
msg_ui_btl_kouka_01	こうかあり
msg_ui_btl_kouka_02	いまひとつ
msg_ui_btl_kouka_03	こうかなし
msg_ui_btl_kougeki	こうげき
msg_ui_btl_bougyo	ぼうぎょ
msg_ui_btl_tokukou	とくこう
msg_ui_btl_tokubou	とくぼう
msg_ui_btl_subayasa	すばやさ
msg_ui_btl_meichu	めいちゅう
msg_ui_btl_kaihi	かいひ
msg_ui_btl_joutai_00	[VAR 0136(0000)]
msg_ui_btl_joutai_01	[VAR 0200(0000)]
msg_ui_btl_joutai_02	/
msg_ui_btl_joutai_03	[VAR 0200(0000)]
msg_ui_btl_joutai_10	もどる
msg_ui_btl_wazainfo_tokusei	とくせい
msg_ui_btl_wazainfo_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_wazainfo_item	もちもの
msg_ui_btl_wazainfo_itemname	[VAR 0109(0000)]
msg_ui_raidbtl_hp_01	[VAR 0203(0000)]/[VAR 0203(0001)]
msg_ui_raidbtl_fr_pokewaza	[VAR 0107(0000)]
msg_ui_raidbtl_pokename	[VAR 0101(0000)]
msg_ui_btl_command_01	[VAR 0201(0000)]:[VAR 0201(0001)]
msg_ui_btl_lvup_00	[VAR 0202(0000)]
msg_ui_btl_lvup_01	+[VAR 0202(0000)]
msg_ui_btl_lvup_02	HP
msg_ui_btl_lvup_03	こうげき
msg_ui_btl_lvup_04	ぼうぎょ
msg_ui_btl_lvup_05	とくこう
msg_ui_btl_lvup_06	とくぼう
msg_ui_btl_lvup_07	すばやさ
msg_ui_btl_yesno_00	ポケモンを　いれかえる
msg_ui_btl_yesno_01	そのまま　たたかう
msg_ui_btl_yesno_02	つぎの　ポケモンを　つかう
msg_ui_btl_yesno_03	にげる
msg_ui_btl_yesno_04	わすれさせる！
msg_ui_btl_yesno_05	わすれさせない
msg_ui_btl_yesno_06	はい
msg_ui_btl_yesno_07	いいえ
msg_ui_btl_hokaku_01	つかまえる
msg_ui_btl_hokaku_02	つかまえない
msg_ui_btl_hokaku_03	つかう
msg_ui_btl_next_01	つぎへ
msg_ui_btl_tokusei	[VAR 0102(0000)]の\n[VAR 0106(0001)]
msg_ui_btl_pokeselect_name	[VAR 0102(0000)]
msg_ui_btl_pokeselect_kouka_00	こうかばつぐん
msg_ui_btl_pokeselect_kouka_01	こうかあり
msg_ui_btl_pokeselect_kouka_02	いまひとつ
msg_ui_btl_pokeselect_kouka_03	こうかなし
msg_ui_btl_pokeselect_playername	[VAR 0100(0000)]
msg_ui_btl_ball_name	[VAR 0109(0000)]
msg_ui_btl_ball_count	×[VAR 0202(0000)]
msg_ui_btl_wazainfo_00	[VAR 0107(0000)]
msg_ui_btl_wazainfo_01	ぶんるい
msg_ui_btl_wazainfo_02	めいちゅう
msg_ui_btl_wazainfo_03	いりょく
msg_ui_btl_wazainfo_04	[VAR 0202(0000)]
msg_ui_btl_wazainfo_05	-
msg_ui_btl_watching_02	あと[VAR 0200(0000)]ターン
str_btr_wait	つうしんたいきちゅう…
msg_ui_btl_SafariCommnadBallMsg	ボール
msg_ui_btl_SafariCommnadEsaMsg	エサ
msg_ui_btl_SafariCommnadDoroMsg	どろ
msg_ui_btl_SafariCommandEscapeMsg	にげる
msg_ui_btl_SafariBallMsg	サファリボール
msg_ui_btl_SafariNokoriMsg	のこり　[VAR 0201(0000)]こ
msg_ui_btl_08	もどる
msg_ui_btl_total_01	[VAR 0201(0000)]:[VAR 0201(0001)]
btl_attack
ATKMSG_M_000	！
ATKMSG_Y_000	！
ATKMSG_E_000	！
ATKMSG_T_000	！
ATKMSG_M_001	[VAR 0101(0000)]の\nはたく　こうげき！
ATKMSG_Y_001	やせいの　[VAR 0101(0000)]の\nはたく　こうげき！
ATKMSG_E_001	あいての　[VAR 0101(0000)]の\nはたく　こうげき！
ATKMSG_T_001	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nはたく　こうげき！
ATKMSG_M_005	[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_Y_005	やせいの　[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_E_005	あいての　[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_T_005	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nメガトンパンチ！
ATKMSG_M_006	[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_Y_006	やせいの　[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_E_006	あいての　[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_T_006	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nネコにこばん！
ATKMSG_M_007	[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_Y_007	やせいの　[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_E_007	あいての　[VAR 0101(0000)]の\nほのおのパンチ！
ATKMSG_T_007	[VAR 0100(000A)]の　[VAR 0101(0000)]の\nほのおのパンチ！
