bag
SS_bag_000	YOUR MONEY
SS_bag_165	How many [VAR 010A(0001)]\ndo you want to use?
SS_bag_356	 View tag
SS_bag_357	Spheres You’ll Receive
SS_bag_358	[VAR 0102(0000)]’s [VAR 010D(0001)] base points rose!
SS_bag_169	Light bulb
SS_bag_170	Microwave oven
SS_bag_171	Washing machine
SS_bag_172	Refrigerator
SS_bag_173	Electric fan
SS_bag_174	Lawn mower
SS_bag_175	Which appliance would you like to order?
SS_bag_213	Register
SS_bag_214	Deregister
SS_bag_337	Rowan’s words echoed...\n“[VAR 0100(0000)]! There’s a time and place\r\nfor everything! But not now.”
SS_bag_338	BAG
SS_bag_339	Hype Points
SS_bag_340	Please select a button to register.
SS_bag_341	Would you like to change the registered item?
SS_bag_342	The item has been registered!
SS_bag_343	Open
SS_bag_344	View tag
SS_bag_345	Plant
SS_bag_347	Where do you want to register this?
SS_bag_348	Which item would you like to replace?
SS_bag_349	Do you want to replace the [VAR 0109(0001)]\nwith the [VAR 0109(0000)]?
SS_bag_350	You registered the [VAR 0109(0000)]!\nPress the + Button to use it.
SS_bag_351	You replaced the item with\nthe [VAR 0109(0000)].\c\nPress the + Button to use it.
SS_bag_352	You can’t dismount your bike here.
SS_bag_353	You turned DS Sounds on!
SS_bag_354	You turned DS Sounds off!
SS_bag_355	Saved Battle Points: [VAR 0203(0000)] BP
SS_bag_359	[VAR 0102(0000)] became more friendly.\nHowever, its [VAR 010D(0001)] base points fell!
SS_bag_360	[VAR 0102(0000)] adores you!\nHowever, its [VAR 010D(0001)] base points fell!
SS_bag_361	[VAR 0102(0000)] became more friendly.\nIts [VAR 010D(0001)] base points can’t go lower.
bag_pocket
SS_bag_pocket_001	Medicine
SS_bag_pocket_002	Poké Balls
SS_bag_pocket_003	Battle Items
SS_bag_pocket_004	Berries
SS_bag_pocket_005	Other Items
SS_bag_pocket_006	TMs
SS_bag_pocket_007	Treasures
SS_bag_pocket_008	Key Items
SS_bag_pocket_017	Medicine Pocket
SS_bag_pocket_018	Poké Balls Pocket
SS_bag_pocket_019	Berries Pocket
SS_bag_pocket_020	Other Items Pocket
SS_bag_pocket_021	TMs Pocket
SS_bag_pocket_022	Treasures Pocket
SS_bag_pocket_023	Key Items Pocket
SS_bag_pocket_024	Battle Items Pocket
box
SS_box_000	Party
SS_box_001	[VAR 0139(0000)]
SS_box_002	[VAR 0102(0000)] Lv. [VAR 0202(0001)]
SS_box_003	[VAR 0102(0000)]
SS_box_004	Box View
SS_box_005	Box List
SS_box_006	Search
SS_box_007	[VAR 0102(0000)]
SS_box_008	♂
SS_box_009	♀
SS_box_010	Lv. [VAR 0202(0000)]
SS_box_011	[VAR 0202(0000)]
SS_box_012	No. [VAR 0202(0000)]
SS_box_013	[VAR 0202(0000)]
SS_box_016	[VAR 0101(0000)]
SS_box_017	HP
SS_box_018	[VAR 0202(0000)]/[VAR 0202(0001)]
SS_box_021	Attack
SS_box_022	Defense
SS_box_023	Sp. Atk
SS_box_024	Sp. Def
SS_box_025	Speed
SS_box_026	[VAR 0202(0000)]
SS_box_351	Nature
SS_box_352	[VAR 0108(0000)]
SS_box_027	Ability
SS_box_028	[VAR 0106(0000)]
SS_box_029	Held Item
SS_box_030	[VAR 0109(0000)]
SS_box_031	—
SS_box_032	[VAR 0107(0000)]
SS_box_033	Dynamax Level
SS_box_034	Sort Pokémon
SS_box_035	Held Items
SS_box_036	Battle Teams
SS_box_037	Select
SS_box_038	Multiselect
SS_box_039	Quick
SS_box_042	[VAR 013A(0000)]
SS_box_043	What do you want to do with [VAR 1303(-001)][VAR 0102(0000)]?
SS_box_044	Move
SS_box_045	Check summary
SS_box_046	Check held item
SS_box_047	Change markings
SS_box_048	Release
SS_box_049	Cancel
SS_box_050	Are you done?
SS_box_052	Do you really want to release this Pokémon?
SS_box_053	Yes
SS_box_054	No
SS_box_055	[VAR 0102(0000)] was released.\nBye-bye, [VAR 0102(0000)]!
SS_box_056	You can’t release an Egg.
SS_box_057	You can’t release the fused [VAR 0101(0000)].
SS_box_058	You can’t release any Pokémon registered for\nBattle Teams.
SS_box_059	You’ll have no Pokémon left to battle with\nif you do that!
SS_box_060	You can’t release a Pokémon that’s holding such\na precious item!
SS_box_061	What do you want to do with this Box?
SS_box_062	Switch Box
SS_box_063	Change its wallpaper
SS_box_064	Change its name
SS_box_066	Wallpaper 1
SS_box_067	Wallpaper 2
SS_box_068	Wallpaper 3
SS_box_069	Wallpaper 4
SS_box_070	Wallpaper 5
SS_box_071	Wallpaper 6
SS_box_072	Wallpaper 7
SS_box_073	Wallpaper 8
SS_box_074	Wallpaper 9
SS_box_075	Wallpaper 10
SS_box_076	Wallpaper 11
SS_box_077	Wallpaper 12
SS_box_078	Wallpaper 13
SS_box_079	Wallpaper 14
SS_box_080	Wallpaper 15
SS_box_081	Wallpaper 16
SS_box_082	Wallpaper 17
SS_box_083	Wallpaper 18
SS_box_084	Wallpaper 19
SS_box_085	[VAR 0109(0000)] selected.
SS_box_086	Move
SS_box_087	Bag
SS_box_088	You placed [VAR 1303(-001)][VAR 010A(0000)]\nin your Bag.
SS_box_089	Your Bag is full!
SS_box_090	Do you want to take the [VAR 010A(0000)]?
SS_box_091	It can hold an item.
SS_box_092	Give
SS_box_093	An Egg can’t hold an item.
SS_box_094	Register
SS_box_095	Move
SS_box_096	Deregister
SS_box_097	You can’t move any Pokémon in a locked\nBattle Team.
SS_box_098	This Battle Team is locked.\nYou can’t remove this Pokémon.
SS_box_099	This Battle Team is locked.\nItems can’t be given or taken.
SS_box_100	This Battle Team is locked.\nYou can’t mark your Pokémon in the team.
SS_box_101	This Battle Team is locked.\nYou can’t register any Pokémon for the team.
SS_box_102	Do you want to change your team name?
SS_box_104	Choose the conditions, and then press Search\nto turn on the filter.
SS_box_105	Pokémon Species
SS_box_106	Type 1
SS_box_107	Type 2
SS_box_108	Known Move
SS_box_109	Compatible TM
SS_box_110	Ability
SS_box_111	Nature
SS_box_112	Gender
SS_box_113	Held Item
SS_box_114	Markings
SS_box_115	Battle Team
SS_box_116	[VAR 0101(0000)]
SS_box_117	[VAR 0103(0000)]
SS_box_118	[VAR 0107(0000)]
SS_box_119	[VAR 0107(0000)]
SS_box_120	[VAR 0106(0000)]
SS_box_121	[VAR 0108(0000)]
SS_box_122	♂
SS_box_123	♀
SS_box_124	Unknown
SS_box_126	Holding an Item
SS_box_127	Not Holding an Item
SS_box_128	[VAR 0139(0000)]
SS_box_583	—
SS_box_129	Please choose the first letter of the\nPokémon’s name.
SS_box_130	Please choose a Pokémon species.
SS_box_131	Please choose a first type.
SS_box_132	Please choose a second type.
SS_box_133	Please choose the first letter of the move.
SS_box_134	Please choose a move.
SS_box_135	Choose a TM to find Pokémon that can learn\nthe move contained within it.
SS_box_136	Please choose the first letter of an Ability.
SS_box_137	Please choose a Pokémon’s Ability.
SS_box_138	Please choose a Pokémon’s Nature.
SS_box_139	Please choose a Pokémon’s gender.
SS_box_140	Choose to show Pokémon holding items or\nPokémon not holding items.
SS_box_141	Choose a mark to only display Pokémon with\nthat mark.
SS_box_143	Choose a Battle Team to display Pokémon\nregistered to that team.
SS_box_144	[VAR 0103(0001)]
SS_box_145	[VAR 0103(0002)]
SS_box_146	[VAR 0106(0000)]
SS_box_147	[VAR 0108(0000)]
SS_box_148	[VAR 0107(0000)]
SS_box_149	Every stat grows in a balanced way.
SS_box_150	Attack grows faster. Defense grows slower.
SS_box_151	Attack grows faster. Speed grows slower.
SS_box_152	Attack grows faster. Sp. Atk grows slower.
SS_box_153	Attack grows faster. Sp. Def grows slower.
SS_box_154	Defense grows faster. Attack grows slower.
SS_box_155	Every stat grows in a balanced way.
SS_box_156	Defense grows faster. Speed grows slower.
SS_box_157	Defense grows faster. Sp. Atk grows slower.
SS_box_158	Defense grows faster. Sp. Def grows slower.
SS_box_159	Speed grows faster. Attack grows slower.
SS_box_160	Speed grows faster. Defense grows slower.
SS_box_161	Every stat grows in a balanced way.
SS_box_162	Speed grows faster. Sp. Atk grows slower.
SS_box_163	Speed grows faster. Sp. Def grows slower.
SS_box_164	Sp. Atk grows faster. Attack grows slower.
SS_box_165	Sp. Atk grows faster. Defense grows slower.
SS_box_166	Sp. Atk grows faster. Speed grows slower.
SS_box_167	Every stat grows in a balanced way.
SS_box_168	Sp. Atk grows faster. Sp. Def grows slower.
SS_box_169	Sp. Def grows faster. Attack grows slower.
SS_box_170	Sp. Def grows faster. Defense grows slower.
SS_box_171	Sp. Def grows faster. Speed grows slower.
SS_box_172	Sp. Def grows faster. Sp. Atk grows slower.
SS_box_173	Every stat grows in a balanced way.
SS_box_174	Trade Partner
SS_box_175	[VAR 0100(0000)]
SS_box_176	Waiting for the other person’s decision...
SS_box_177	You canceled the trade.
SS_box_178	You chose to quit trading.\nThe trade will now end.
SS_box_179	The communication partner canceled the trade.\nThe trade will end.
SS_box_180	Would you like to quit the Pokémon trade?
SS_box_181	You can’t trade Pokémon because there is a\nproblem with your trade partner’s Pokémon.
SS_box_182	You can’t trade Pokémon because there is a\nproblem with your Pokémon.
SS_box_183	Attention!\nIf a communication error occurs or your system\ngets turned off while you’re trading, you won’t\nbe able to trade Pokémon for a while.
SS_box_184	Saving...\nDon’t turn off the power.
SS_box_185	Communicating... Please stand by.
SS_box_186	Would you like to receive your trade partner’s\nLeague Card?
SS_box_187	Do you want to trade your [VAR 0102(0001)]\nfor your trade partner’s [VAR 0102(0000)]?
SS_box_188	You can’t offer that Egg in trade.
SS_box_189	Trade it
SS_box_190	Select
SS_box_191	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_box_192	[VAR 0102(0000)]
SS_box_582	Lv. [VAR 0202(0000)]
SS_box_193	That Pokémon can’t be traded.
SS_box_194	You don’t have the Pokémon needed for\nthis trade!
SS_box_195	You can’t offer an Egg in trade here.
SS_box_196	You can’t trade a Pokémon that is registered\nfor a Battle Team.
SS_box_198	Would you like to add [VAR 0100(0000)] to your\nblock list?
SS_box_199	You won’t be able to connect again with any\nplayer you add to your block list.\c\nAre you sure you want to block this player?\n(It’s possible to unblock the player again.)
SS_box_200	The other player has been added to your\nblock list. The trade will end.
SS_box_201	You’ve already added this person to your\nblock list.
SS_box_203	 Confirm
SS_box_204	Check other Pokémon
SS_box_404	What do you want to do with [VAR 0102(0000)]?
SS_box_333	[VAR 0201(0000)]
SS_box_584	Trade partner\n[VAR 0100(0000)]
SS_box_585	You can’t offer a Pokémon with a customized\nBall Capsule.
SS_box_586	You’ll have no Pokémon to battle with if you\ndo that!
SS_box_211	You can’t select an Egg.
SS_box_212	You can’t select a Pokémon in a Battle Team.
SS_box_587	[VAR 0102(0000)] has\n[VAR 1305(-001)][VAR 010A(0001)].\c\nWould you still like to trade the Pokémon?
SS_box_214	You can’t select a Pokémon in your party.
SS_box_215	You’ve selected more Pokémon than\nare allowed.
SS_box_216	You can’t select a fainted Pokémon.
SS_box_103	You can’t register an Egg.
SS_box_580	You can’t trade this Pokémon in Wonder Trade,\nbecause this Pokémon is special.
SS_box_219	 Back
SS_box_220	 Change Selection Mode
SS_box_221	 Change Box View
SS_box_222	 View Stats
SS_box_223	 Search
SS_box_224	 Reset
SS_box_226	 Select All
SS_box_227	 Judge
SS_box_581	 Quick
SS_box_228	OK stats
SS_box_229	Good stats
SS_box_230	Great stats!
SS_box_231	Amazing stats!
SS_box_232	No good
SS_box_233	Decent
SS_box_234	Pretty good
SS_box_235	Very good
SS_box_236	Fantastic
SS_box_237	Best!
SS_box_577	Hyper trained!
SS_box_369	 Marking
SS_box_588	The communication partner canceled the trade.
SS_box_589	You can’t select that Pokémon.
boxname
SS_boxname_001	Box 1
SS_boxname_002	Box 2
SS_boxname_003	Box 3
SS_boxname_004	Box 4
SS_boxname_005	Box 5
SS_boxname_006	Box 6
SS_boxname_007	Box 7
SS_boxname_008	Box 8
SS_boxname_009	Box 9
SS_boxname_010	Box 10
SS_boxname_011	Box 11
SS_boxname_012	Box 12
SS_boxname_013	Box 13
SS_boxname_014	Box 14
SS_boxname_015	Box 15
SS_boxname_016	Box 16
SS_boxname_017	Box 17
SS_boxname_018	Box 18
SS_boxname_019	Box 19
SS_boxname_020	Box 20
SS_boxname_021	Box 21
SS_boxname_022	Box 22
SS_boxname_023	Box 23
SS_boxname_024	Box 24
SS_boxname_025	Box 25
SS_boxname_026	Box 26
SS_boxname_027	Box 27
SS_boxname_028	Box 28
SS_boxname_029	Box 29
SS_boxname_030	Box 30
SS_boxname_031	Box 31
SS_boxname_032	Box 32
SS_boxname_033	Team 1
SS_boxname_034	Team 2
SS_boxname_035	Team 3
SS_boxname_036	Team 4
SS_boxname_037	Team 5
SS_boxname_038	Team 6
SS_boxname_039	Box 33
SS_boxname_040	Box 34
SS_boxname_041	Box 35
SS_boxname_042	Box 36
SS_boxname_043	Box 37
SS_boxname_044	Box 38
SS_boxname_045	Box 39
SS_boxname_046	Box 40
btl_app
msg_ui_btl_pokename	[VAR 0102(0000)]
msg_ui_btl_playername	[VAR 0100(0000)]
msg_ui_btl_00	Battle
msg_ui_btl_01	Bag
msg_ui_btl_02	Pokémon
msg_ui_btl_04	Run
msg_ui_btl_05	Status
msg_ui_btl_06	Move Info
msg_ui_btl_07	Close
msg_ui_raidbtl_lv_00	Lv.
msg_ui_raidbtl_lv_01	[VAR 0202(0000)]
msg_ui_raidbtl_lv_02	???
msg_ui_raidbtl_hp_00	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_btl_pokewaza	[VAR 0107(0000)]
msg_ui_btl_pp_01	[VAR 0201(0000)]
msg_ui_btl_pp_02	/[VAR 0201(0000)]
msg_ui_btl_kouka_00	Super effective
msg_ui_btl_kouka_01	Effective
msg_ui_btl_kouka_02	Not very effective
msg_ui_btl_kouka_03	No effect
msg_ui_btl_kougeki	Attack
msg_ui_btl_bougyo	Defense
msg_ui_btl_tokukou	Sp. Atk
msg_ui_btl_tokubou	Sp. Def
msg_ui_btl_subayasa	Speed
msg_ui_btl_meichu	Accuracy
msg_ui_btl_kaihi	Evasiveness
msg_ui_btl_joutai_00	[VAR 0136(0000)]
msg_ui_btl_joutai_01	[VAR 0200(0000)]
msg_ui_btl_joutai_02	/
msg_ui_btl_joutai_03	[VAR 0200(0000)]
msg_ui_btl_joutai_10	 Back
msg_ui_btl_wazainfo_tokusei	Ability
msg_ui_btl_wazainfo_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_wazainfo_item	Held Item
msg_ui_btl_wazainfo_itemname	[VAR 0109(0000)]
msg_ui_raidbtl_hp_01	[VAR 0203(0000)]/[VAR 0203(0001)]
msg_ui_raidbtl_fr_pokewaza	[VAR 0107(0000)]
msg_ui_raidbtl_pokename	[VAR 0101(0000)]
msg_ui_btl_command_01	[VAR 0201(0000)]:[VAR 0201(0001)]
msg_ui_btl_lvup_00	[VAR 0202(0000)]
msg_ui_btl_lvup_01	+[VAR 0202(0000)]
msg_ui_btl_lvup_02	HP
msg_ui_btl_lvup_03	Attack
msg_ui_btl_lvup_04	Defense
msg_ui_btl_lvup_05	Sp. Atk
msg_ui_btl_lvup_06	Sp. Def
msg_ui_btl_lvup_07	Speed
msg_ui_btl_yesno_00	Switch Pokémon
msg_ui_btl_yesno_01	Keep current Pokémon
msg_ui_btl_yesno_02	Use next Pokémon
msg_ui_btl_yesno_03	Run
msg_ui_btl_yesno_04	Forget an old move
msg_ui_btl_yesno_05	Keep old moves
msg_ui_btl_yesno_06	Yes
msg_ui_btl_yesno_07	No
msg_ui_btl_hokaku_01	Catch
msg_ui_btl_hokaku_02	Don’t Catch
msg_ui_btl_hokaku_03	Use
msg_ui_btl_next_01	Next
msg_ui_btl_tokusei	[VAR 0102(0000)]’s\n[VAR 0106(0001)]
msg_ui_btl_pokeselect_name	[VAR 0102(0000)]
msg_ui_btl_pokeselect_kouka_00	Super effective
msg_ui_btl_pokeselect_kouka_01	Effective
msg_ui_btl_pokeselect_kouka_02	Not very effective
msg_ui_btl_pokeselect_kouka_03	No effect
msg_ui_btl_pokeselect_playername	[VAR 0100(0000)]
msg_ui_btl_ball_name	[VAR 0109(0000)]
msg_ui_btl_ball_count	×[VAR 0202(0000)]
msg_ui_btl_wazainfo_00	[VAR 0107(0000)]
msg_ui_btl_wazainfo_01	Category
msg_ui_btl_wazainfo_02	Accuracy
msg_ui_btl_wazainfo_03	Power
msg_ui_btl_wazainfo_04	[VAR 0202(0000)]
msg_ui_btl_wazainfo_05	—
msg_ui_btl_watching_02	[VAR 0200(0000)] more [VAR 1301(-001)]
str_btr_wait	Communicating...
msg_ui_btl_SafariCommnadBallMsg	Ball
msg_ui_btl_SafariCommnadEsaMsg	Bait
msg_ui_btl_SafariCommnadDoroMsg	Mud
msg_ui_btl_SafariCommandEscapeMsg	Run
msg_ui_btl_SafariBallMsg	Safari Balls
msg_ui_btl_SafariNokoriMsg	Remaining: [VAR 0201(0000)]
msg_ui_btl_08	Back
msg_ui_btl_total_01	[VAR 0201(0000)]:[VAR 0201(0001)]
btl_attack
ATKMSG_M_000	!
ATKMSG_Y_000	!
ATKMSG_E_000	!
ATKMSG_T_000	!
ATKMSG_M_001	[VAR 0101(0000)] used Pound!
ATKMSG_Y_001	The wild [VAR 0101(0000)] used Pound!
ATKMSG_E_001	The opposing [VAR 0101(0000)] used Pound!
ATKMSG_T_001	[VAR 0100(000A)]’s [VAR 0101(0000)] used Pound!
ATKMSG_M_005	[VAR 0101(0000)] used Mega Punch!
ATKMSG_Y_005	The wild [VAR 0101(0000)] used Mega Punch!
ATKMSG_E_005	The opposing [VAR 0101(0000)] used Mega Punch!
ATKMSG_T_005	[VAR 0100(000A)]’s [VAR 0101(0000)] used Mega Punch!
ATKMSG_M_006	[VAR 0101(0000)] used Pay Day!
ATKMSG_Y_006	The wild [VAR 0101(0000)] used Pay Day!
ATKMSG_E_006	The opposing [VAR 0101(0000)] used Pay Day!
ATKMSG_T_006	[VAR 0100(000A)]’s [VAR 0101(0000)] used Pay Day!
ATKMSG_M_007	[VAR 0101(0000)] used Fire Punch!
ATKMSG_Y_007	The wild [VAR 0101(0000)] used Fire Punch!
ATKMSG_E_007	The opposing [VAR 0101(0000)] used Fire Punch!
ATKMSG_T_007	[VAR 0100(000A)]’s [VAR 0101(0000)] used Fire Punch!
ATKMSG_M_008	[VAR 0101(0000)] used Ice Punch!
ATKMSG_Y_008	The wild [VAR 0101(0000)] used Ice Punch!
ATKMSG_E_008	The opposing [VAR 0101(0000)] used Ice Punch!
ATKMSG_T_008	[VAR 0100(000A)]’s [VAR 0101(0000)] used Ice Punch!
ATKMSG_M_009	[VAR 0101(0000)] used Thunder Punch!
ATKMSG_Y_009	The wild [VAR 0101(0000)] used Thunder Punch!
ATKMSG_E_009	The opposing [VAR 0101(0000)] used Thunder Punch!
ATKMSG_T_009	[VAR 0100(000A)]’s [VAR 0101(0000)] used Thunder Punch!
ATKMSG_M_010	[VAR 0101(0000)] used Scratch!
ATKMSG_Y_010	The wild [VAR 0101(0000)] used Scratch!
ATKMSG_E_010	The opposing [VAR 0101(0000)] used Scratch!
ATKMSG_T_010	[VAR 0100(000A)]’s [VAR 0101(0000)] used Scratch!
ATKMSG_M_011	[VAR 0101(0000)] used Vise Grip!
ATKMSG_Y_011	The wild [VAR 0101(0000)] used Vise Grip!
ATKMSG_E_011	The opposing [VAR 0101(0000)] used Vise Grip!
ATKMSG_T_011	[VAR 0100(000A)]’s [VAR 0101(0000)] used Vise Grip!
ATKMSG_M_012	[VAR 0101(0000)] used Guillotine!
ATKMSG_Y_012	The wild [VAR 0101(0000)] used Guillotine!
ATKMSG_E_012	The opposing [VAR 0101(0000)] used Guillotine!
ATKMSG_T_012	[VAR 0100(000A)]’s [VAR 0101(0000)] used Guillotine!
ATKMSG_M_014	[VAR 0101(0000)] used Swords Dance!
ATKMSG_Y_014	The wild [VAR 0101(0000)] used Swords Dance!
ATKMSG_E_014	The opposing [VAR 0101(0000)] used Swords Dance!
ATKMSG_T_014	[VAR 0100(000A)]’s [VAR 0101(0000)] used Swords Dance!
ATKMSG_M_015	[VAR 0101(0000)] used Cut!
ATKMSG_Y_015	The wild [VAR 0101(0000)] used Cut!
ATKMSG_E_015	The opposing [VAR 0101(0000)] used Cut!
ATKMSG_T_015	[VAR 0100(000A)]’s [VAR 0101(0000)] used Cut!
ATKMSG_M_016	[VAR 0101(0000)] used Gust!
ATKMSG_Y_016	The wild [VAR 0101(0000)] used Gust!
ATKMSG_E_016	The opposing [VAR 0101(0000)] used Gust!
ATKMSG_T_016	[VAR 0100(000A)]’s [VAR 0101(0000)] used Gust!
ATKMSG_M_017	[VAR 0101(0000)] used Wing Attack!
ATKMSG_Y_017	The wild [VAR 0101(0000)] used Wing Attack!
ATKMSG_E_017	The opposing [VAR 0101(0000)] used Wing Attack!
ATKMSG_T_017	[VAR 0100(000A)]’s [VAR 0101(0000)] used Wing Attack!
ATKMSG_M_018	[VAR 0101(0000)] used Whirlwind!
ATKMSG_Y_018	The wild [VAR 0101(0000)] used Whirlwind!
ATKMSG_E_018	The opposing [VAR 0101(0000)] used Whirlwind!
