bag
SS_bag_000	零用錢
SS_bag_162	因為[VAR 0109(0000)]的效果，\n[VAR 0102(0001)]的能力\r\n似乎產生了變化！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_163	要用幾個[VAR 0109(0001)]？
SS_bag_165	要用幾個[VAR 0109(0001)]？
SS_bag_356	查看標籤
SS_bag_357	可交換到的玉
SS_bag_358	[VAR 0102(0000)]的[VAR 010D(0001)]\n基礎點數上升了！
SS_bag_169	燈泡
SS_bag_170	微波爐
SS_bag_171	洗衣機
SS_bag_172	冰箱
SS_bag_173	電風扇
SS_bag_174	割草機
SS_bag_175	要訂購哪種電器呢？
SS_bag_213	登錄
SS_bag_214	解除
SS_bag_337	博士說過……\n[VAR 0100(0000)]！這種東西\r\n是要看場合來使用的啊！
SS_bag_338	包包
SS_bag_339	華麗點數
SS_bag_340	請選擇要登錄的按鍵。
SS_bag_341	要替換已登錄的道具嗎？
SS_bag_342	已登錄道具！
SS_bag_343	打開
SS_bag_344	查看標籤
SS_bag_345	種植
SS_bag_347	要登錄到哪裡？
SS_bag_348	要替換哪個道具？
SS_bag_349	要把[VAR 0109(0001)]\n替換成[VAR 0109(0000)]嗎？
SS_bag_350	已登錄[VAR 0109(0000)]！\n要使用時可用＋鍵叫出。
SS_bag_351	已替換成[VAR 0109(0000)]！\n要使用時可用＋鍵叫出。
SS_bag_352	這裡不能下自行車！
SS_bag_353	啟動了ＤＳ播放器！
SS_bag_354	關閉了ＤＳ播放器！
SS_bag_355	累積的對戰點數\n[VAR 0203(0000)]ＢＰ
SS_bag_359	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數下降了！
SS_bag_360	和[VAR 0102(0000)]變得無比親密了！\c\n[VAR 010D(0001)]的基礎點數下降了！
SS_bag_361	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數\n已經不能再降低了！
bag_pocket
SS_bag_pocket_001	回復
SS_bag_pocket_002	精靈球
SS_bag_pocket_003	戰鬥道具
SS_bag_pocket_004	樹果
SS_bag_pocket_005	道具
SS_bag_pocket_006	招式學習器
SS_bag_pocket_007	寶物
SS_bag_pocket_008	重要物品
SS_bag_pocket_017	回復口袋
SS_bag_pocket_018	精靈球口袋
SS_bag_pocket_019	樹果口袋
SS_bag_pocket_020	道具口袋
SS_bag_pocket_021	招式學習器口袋
SS_bag_pocket_022	寶物口袋
SS_bag_pocket_023	重要物品口袋
SS_bag_pocket_024	戰鬥道具口袋
box
SS_box_000	同行
SS_box_001	[VAR 0139(0000)]
SS_box_002	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
SS_box_003	[VAR 0102(0000)]
SS_box_004	盒子
SS_box_005	一覽
SS_box_006	搜尋
SS_box_007	[VAR 0102(0000)]
SS_box_008	♂
SS_box_009	♀
SS_box_010	Lv.[VAR 0202(0000)]
SS_box_011	[VAR 0202(0000)]
SS_box_012	No.[VAR 0202(0000)]
SS_box_013	[VAR 0202(0000)]
SS_box_016	[VAR 0101(0000)]
SS_box_017	HP
SS_box_018	[VAR 0202(0000)]/[VAR 0202(0001)]
SS_box_021	攻擊
SS_box_022	防禦
SS_box_023	特攻
SS_box_024	特防
SS_box_025	速度
SS_box_026	[VAR 0202(0000)]
SS_box_351	性格
SS_box_352	[VAR 0108(0000)]
SS_box_027	特性
SS_box_028	[VAR 0106(0000)]
SS_box_029	持有物
SS_box_030	[VAR 0109(0000)]
SS_box_031	-
SS_box_032	[VAR 0107(0000)]
SS_box_033	極巨化等級
SS_box_034	整理
SS_box_035	持有物
SS_box_036	對戰
SS_box_037	一般
SS_box_038	範圍
SS_box_039	便利
SS_box_042	[VAR 013A(0000)]
SS_box_043	要對[VAR 0102(0000)]做什麼？
SS_box_044	移動
SS_box_045	查看能力
SS_box_046	持有物
SS_box_047	標記
SS_box_048	放生
SS_box_049	取消
SS_box_050	確定要用所選擇的\n寶可夢嗎？
SS_box_052	真的要放生嗎？
SS_box_053	是
SS_box_054	否
SS_box_055	已將[VAR 0102(0000)]放生了。\n再見，[VAR 0102(0000)]。
SS_box_056	蛋無法放生！
SS_box_057	不能放生已合體的[VAR 0101(0000)]。
SS_box_058	不能放生登錄在\n對戰隊伍的寶可夢。
SS_box_059	這樣就沒有可戰鬥的寶可夢了！
SS_box_060	因為攜帶著特別的道具，\n所以無法放生。
SS_box_061	要對這個盒子做什麼？
SS_box_062	切換
SS_box_063	壁紙
SS_box_064	名字
SS_box_066	壁紙１
SS_box_067	壁紙２
SS_box_068	壁紙３
SS_box_069	壁紙４
SS_box_070	壁紙５
SS_box_071	壁紙６
SS_box_072	壁紙７
SS_box_073	壁紙８
SS_box_074	壁紙９
SS_box_075	壁紙１０
SS_box_076	壁紙１１
SS_box_077	壁紙１２
SS_box_078	壁紙１３
SS_box_079	壁紙１４
SS_box_080	壁紙１５
SS_box_081	壁紙１６
SS_box_082	壁紙１７
SS_box_083	壁紙１８
SS_box_084	壁紙１９
SS_box_085	要拿[VAR 0109(0000)]做什麼？
SS_box_086	移動
SS_box_087	放回包包
SS_box_088	將[VAR 0109(0000)]放回包包裡了！
SS_box_089	包包已滿！
SS_box_090	要收回[VAR 0109(0000)]嗎？
SS_box_091	可以攜帶道具。
SS_box_092	攜帶
SS_box_093	蛋無法攜帶道具！
SS_box_094	登錄
SS_box_095	移動
SS_box_096	移除
SS_box_097	無法移動已鎖定的\n對戰隊伍裡的寶可夢。
SS_box_098	對戰隊伍已鎖定，無法移除此寶可夢。
SS_box_099	對戰隊伍已鎖定，無法更換持有物。
SS_box_100	對戰隊伍已鎖定，無法進行標記。
SS_box_101	對戰隊伍已鎖定，無法進行登錄。
SS_box_102	要更改隊伍的名字嗎？
SS_box_104	選擇條件後按「搜尋」就會開始進行篩選！
SS_box_105	寶可夢
SS_box_106	屬性１
SS_box_107	屬性２
SS_box_108	招式
SS_box_109	招式學習器
SS_box_110	特性
SS_box_111	性格
SS_box_112	性別
SS_box_113	持有物
SS_box_114	標記
SS_box_115	對戰隊伍
SS_box_116	[VAR 0101(0000)]
SS_box_117	[VAR 0103(0000)]
SS_box_118	[VAR 0107(0000)]
SS_box_119	[VAR 0107(0000)]
SS_box_120	[VAR 0106(0000)]
SS_box_121	[VAR 0108(0000)]
SS_box_122	♂
SS_box_123	♀
SS_box_124	無性別
SS_box_126	攜帶
SS_box_127	未攜帶
SS_box_128	[VAR 0139(0000)]
SS_box_583	－
SS_box_129	請選擇寶可夢名字\n第一個字的筆畫。
SS_box_130	請選擇寶可夢。
SS_box_131	請選擇屬性１。
SS_box_132	請選擇屬性２。
SS_box_133	請選擇招式名稱\n第一個字的筆畫。
SS_box_134	請選擇招式。
SS_box_135	搜尋能夠使用所選擇之\n招式學習器的寶可夢。
SS_box_136	請選擇寶可夢特性名稱\n第一個字的筆畫。
SS_box_137	請選擇特性。
SS_box_138	請選擇寶可夢的性格。
SS_box_139	請選擇寶可夢的性別。
SS_box_140	搜尋攜帶或未攜帶持有物的寶可夢。
SS_box_141	搜尋有特定標記的寶可夢。
SS_box_143	搜尋已登錄到所選隊伍的寶可夢。
SS_box_144	[VAR 0103(0001)]
SS_box_145	[VAR 0103(0002)]
SS_box_146	[VAR 0106(0000)]
SS_box_147	[VAR 0108(0000)]
SS_box_148	[VAR 0107(0000)]
SS_box_149	能力容易均衡地成長。
SS_box_150	攻擊容易成長。\n防禦不易成長。
SS_box_151	攻擊容易成長。\n速度不易成長。
SS_box_152	攻擊容易成長。\n特攻不易成長。
SS_box_153	攻擊容易成長。\n特防不易成長。
SS_box_154	防禦容易成長。\n攻擊不易成長。
SS_box_155	能力容易均衡地成長。
SS_box_156	防禦容易成長。\n速度不易成長。
SS_box_157	防禦容易成長。\n特攻不易成長。
SS_box_158	防禦容易成長。\n特防不易成長。
SS_box_159	速度容易成長。\n攻擊不易成長。
SS_box_160	速度容易成長。\n防禦不易成長。
SS_box_161	能力容易均衡地成長。
SS_box_162	速度容易成長。\n特攻不易成長。
SS_box_163	速度容易成長。\n特防不易成長。
SS_box_164	特攻容易成長。\n攻擊不易成長。
SS_box_165	特攻容易成長。\n防禦不易成長。
SS_box_166	特攻容易成長。\n速度不易成長。
SS_box_167	能力容易均衡地成長。
SS_box_168	特攻容易成長。\n特防不易成長。
SS_box_169	特防容易成長。\n攻擊不易成長。
SS_box_170	特防容易成長。\n防禦不易成長。
SS_box_171	特防容易成長。\n速度不易成長。
SS_box_172	特防容易成長。\n特攻不易成長。
SS_box_173	能力容易均衡地成長。
SS_box_174	交換對象
SS_box_175	[VAR 0100(0000)]
SS_box_176	正在等待對方回應……\n請稍候片刻。
SS_box_177	已中止交換。
SS_box_178	已選擇結束。\n即將結束交換。
SS_box_179	對方已中止交換。\c\n將結束交換。
SS_box_180	要結束寶可夢交換嗎？
SS_box_181	由於對方的寶可夢有問題，\n因此無法交換。
SS_box_182	自己的寶可夢出現問題，\n因此無法進行交換。
SS_box_183	請注意！\n在進行寶可夢交換的過程中，\n若出現連線錯誤\n或主機電源關閉等情形，\n將暫時無法進行寶可夢交換。
SS_box_184	正在寫入紀錄……\n請勿關閉電源。
SS_box_185	正在等待連線……\n請稍候片刻。
SS_box_186	要接收交換對象的聯盟卡嗎？
SS_box_187	要用[VAR 0102(0001)]\n交換對方的[VAR 0102(0000)]嗎？
SS_box_188	那顆蛋不能用來交換。
SS_box_189	交換
SS_box_190	選擇
SS_box_191	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_box_192	[VAR 0102(0000)]
SS_box_582	Lv.[VAR 0202(0000)]
SS_box_193	這隻寶可夢不能用來交換。
SS_box_194	沒有可以用來交換的寶可夢。
SS_box_195	在這裡蛋不能用來交換。
SS_box_196	登錄在對戰隊伍的寶可夢\n不能用來交換。
SS_box_198	要將[VAR 0100(0000)]\n加入黑名單嗎？
SS_box_199	如果加入到黑名單，\n就無法再透過連線和對方一起玩。\r\n確定要繼續嗎？
SS_box_200	已登錄到黑名單。\n將結束交換。
SS_box_201	該玩家已在黑名單裡。
SS_box_203	確定
SS_box_204	查看對方的能力
SS_box_404	要對[VAR 0102(0000)]做什麼？
SS_box_333	[VAR 0201(0000)]
SS_box_584	交換對象\n[VAR 0100(0000)]
SS_box_585	球殼上有裝飾的寶可夢\n不能用來交換。
SS_box_586	這樣就沒有可戰鬥的寶可夢了！
SS_box_211	無法選擇蛋。
SS_box_212	無法選擇對戰隊伍裡的寶可夢。
SS_box_587	[VAR 0102(0000)]攜帶著[VAR 0109(0001)]。\n確定要交換嗎？
SS_box_214	無法選擇同行寶可夢。
SS_box_215	無法再選擇更多。
SS_box_216	無法選擇瀕死的寶可夢。
SS_box_103	蛋無法登錄到隊伍。
SS_box_580	這是特殊的寶可夢，\n無法用來進行奇跡交換！
SS_box_219	返回
SS_box_220	切換操作
SS_box_221	切換模式
SS_box_222	能力
SS_box_223	搜尋
SS_box_224	重置
SS_box_226	全選
SS_box_227	評定
SS_box_581	便利
SS_box_228	還算可以的能力
SS_box_229	中等偏上的能力
SS_box_230	相當優秀的能力
SS_box_231	了不起的能力！
SS_box_232	不怎麼樣
SS_box_233	普普通通
SS_box_234	相當好
SS_box_235	非常好
SS_box_236	了不起
SS_box_237	太完美了！
SS_box_577	完成鍛鍊了！
SS_box_369	標記
SS_box_588	對方已中止交換。
SS_box_589	無法選擇這隻寶可夢。
boxname
SS_boxname_001	盒子１
SS_boxname_002	盒子２
SS_boxname_003	盒子３
SS_boxname_004	盒子４
SS_boxname_005	盒子５
SS_boxname_006	盒子６
SS_boxname_007	盒子７
SS_boxname_008	盒子８
SS_boxname_009	盒子９
SS_boxname_010	盒子１０
SS_boxname_011	盒子１１
SS_boxname_012	盒子１２
SS_boxname_013	盒子１３
SS_boxname_014	盒子１４
SS_boxname_015	盒子１５
SS_boxname_016	盒子１６
SS_boxname_017	盒子１７
SS_boxname_018	盒子１８
SS_boxname_019	盒子１９
SS_boxname_020	盒子２０
SS_boxname_021	盒子２１
SS_boxname_022	盒子２２
SS_boxname_023	盒子２３
SS_boxname_024	盒子２４
SS_boxname_025	盒子２５
SS_boxname_026	盒子２６
SS_boxname_027	盒子２７
SS_boxname_028	盒子２８
SS_boxname_029	盒子２９
SS_boxname_030	盒子３０
SS_boxname_031	盒子３１
SS_boxname_032	盒子３２
SS_boxname_033	隊伍１
SS_boxname_034	隊伍２
SS_boxname_035	隊伍３
SS_boxname_036	隊伍４
SS_boxname_037	隊伍５
SS_boxname_038	隊伍６
SS_boxname_039	盒子３３
SS_boxname_040	盒子３４
SS_boxname_041	盒子３５
SS_boxname_042	盒子３６
SS_boxname_043	盒子３７
SS_boxname_044	盒子３８
SS_boxname_045	盒子３９
SS_boxname_046	盒子４０
btl_app
msg_ui_btl_pokename	[VAR 0102(0000)]
msg_ui_btl_playername	[VAR 0100(0000)]
msg_ui_btl_00	戰鬥
msg_ui_btl_01	包包
msg_ui_btl_02	寶可夢
msg_ui_btl_04	逃走
msg_ui_btl_05	狀況
msg_ui_btl_06	招式說明
msg_ui_btl_07	關閉
msg_ui_raidbtl_lv_00	Lv.
msg_ui_raidbtl_lv_01	[VAR 0202(0000)]
msg_ui_raidbtl_lv_02	???
msg_ui_raidbtl_hp_00	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_btl_pokewaza	[VAR 0107(0000)]
msg_ui_btl_pp_01	[VAR 0201(0000)]
msg_ui_btl_pp_02	/[VAR 0201(0000)]
msg_ui_btl_kouka_00	效果絕佳
msg_ui_btl_kouka_01	有效果
msg_ui_btl_kouka_02	效果不好
msg_ui_btl_kouka_03	沒有效果
msg_ui_btl_kougeki	攻擊
msg_ui_btl_bougyo	防禦
msg_ui_btl_tokukou	特攻
msg_ui_btl_tokubou	特防
msg_ui_btl_subayasa	速度
msg_ui_btl_meichu	命中
msg_ui_btl_kaihi	閃避
msg_ui_btl_joutai_00	[VAR 0136(0000)]
msg_ui_btl_joutai_01	[VAR 0200(0000)]
msg_ui_btl_joutai_02	/
msg_ui_btl_joutai_03	[VAR 0200(0000)]
msg_ui_btl_joutai_10	返回
msg_ui_btl_wazainfo_tokusei	特性
msg_ui_btl_wazainfo_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_wazainfo_item	持有物
msg_ui_btl_wazainfo_itemname	[VAR 0109(0000)]
msg_ui_raidbtl_hp_01	[VAR 0203(0000)]/[VAR 0203(0001)]
msg_ui_raidbtl_fr_pokewaza	[VAR 0107(0000)]
msg_ui_raidbtl_pokename	[VAR 0101(0000)]
msg_ui_btl_command_01	[VAR 0201(0000)]:[VAR 0201(0001)]
msg_ui_btl_lvup_00	[VAR 0202(0000)]
msg_ui_btl_lvup_01	+[VAR 0202(0000)]
msg_ui_btl_lvup_02	HP
msg_ui_btl_lvup_03	攻擊
msg_ui_btl_lvup_04	防禦
msg_ui_btl_lvup_05	特攻
msg_ui_btl_lvup_06	特防
msg_ui_btl_lvup_07	速度
msg_ui_btl_yesno_00	替換寶可夢
msg_ui_btl_yesno_01	繼續戰鬥
msg_ui_btl_yesno_02	使用下一隻寶可夢
msg_ui_btl_yesno_03	逃走
msg_ui_btl_yesno_04	忘記！
msg_ui_btl_yesno_05	不忘記
msg_ui_btl_yesno_06	是
msg_ui_btl_yesno_07	否
msg_ui_btl_hokaku_01	捕捉
msg_ui_btl_hokaku_02	不捕捉
msg_ui_btl_hokaku_03	使用
msg_ui_btl_next_01	下一步
msg_ui_btl_tokusei	[VAR 0102(0000)]的\n[VAR 0106(0001)]
msg_ui_btl_pokeselect_name	[VAR 0102(0000)]
msg_ui_btl_pokeselect_kouka_00	效果絕佳
msg_ui_btl_pokeselect_kouka_01	有效果
msg_ui_btl_pokeselect_kouka_02	效果不好
msg_ui_btl_pokeselect_kouka_03	沒有效果
msg_ui_btl_pokeselect_playername	[VAR 0100(0000)]
msg_ui_btl_ball_name	[VAR 0109(0000)]
msg_ui_btl_ball_count	×[VAR 0202(0000)]
msg_ui_btl_wazainfo_00	[VAR 0107(0000)]
msg_ui_btl_wazainfo_01	分類
msg_ui_btl_wazainfo_02	命中
msg_ui_btl_wazainfo_03	威力
msg_ui_btl_wazainfo_04	[VAR 0202(0000)]
msg_ui_btl_wazainfo_05	-
msg_ui_btl_watching_02	還有[VAR 0200(0000)]回合
str_btr_wait	正在等待連線……
msg_ui_btl_SafariCommnadBallMsg	球
msg_ui_btl_SafariCommnadEsaMsg	誘餌
msg_ui_btl_SafariCommnadDoroMsg	泥巴
msg_ui_btl_SafariCommandEscapeMsg	逃走
msg_ui_btl_SafariBallMsg	狩獵球
msg_ui_btl_SafariNokoriMsg	剩下[VAR 0201(0000)]個
msg_ui_btl_08	返回
msg_ui_btl_total_01	[VAR 0201(0000)]:[VAR 0201(0001)]
btl_attack
ATKMSG_M_000	！
ATKMSG_Y_000	！
ATKMSG_E_000	！
ATKMSG_T_000	！
ATKMSG_M_001	[VAR 0101(0000)]使出了\n拍擊！
ATKMSG_Y_001	野生的[VAR 0101(0000)]使出了\n拍擊！
ATKMSG_E_001	對手的[VAR 0101(0000)]使出了\n拍擊！
ATKMSG_T_001	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n拍擊！
ATKMSG_M_005	[VAR 0101(0000)]使出了\n百萬噸重拳！
ATKMSG_Y_005	野生的[VAR 0101(0000)]使出了\n百萬噸重拳！
ATKMSG_E_005	對手的[VAR 0101(0000)]使出了\n百萬噸重拳！
ATKMSG_T_005	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n百萬噸重拳！
ATKMSG_M_006	[VAR 0101(0000)]使出了\n聚寶功！
ATKMSG_Y_006	野生的[VAR 0101(0000)]使出了\n聚寶功！
ATKMSG_E_006	對手的[VAR 0101(0000)]使出了\n聚寶功！
ATKMSG_T_006	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n聚寶功！
ATKMSG_M_007	[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_Y_007	野生的[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_E_007	對手的[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_T_007	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_M_008	[VAR 0101(0000)]使出了\n冰凍拳！
ATKMSG_Y_008	野生的[VAR 0101(0000)]使出了\n冰凍拳！
ATKMSG_E_008	對手的[VAR 0101(0000)]使出了\n冰凍拳！
ATKMSG_T_008	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n冰凍拳！
ATKMSG_M_009	[VAR 0101(0000)]使出了\n雷電拳！
ATKMSG_Y_009	野生的[VAR 0101(0000)]使出了\n雷電拳！
ATKMSG_E_009	對手的[VAR 0101(0000)]使出了\n雷電拳！
ATKMSG_T_009	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n雷電拳！
ATKMSG_M_010	[VAR 0101(0000)]使出了\n抓！
ATKMSG_Y_010	野生的[VAR 0101(0000)]使出了\n抓！
ATKMSG_E_010	對手的[VAR 0101(0000)]使出了\n抓！
ATKMSG_T_010	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n抓！
ATKMSG_M_011	[VAR 0101(0000)]使出了\n夾住！
ATKMSG_Y_011	野生的[VAR 0101(0000)]使出了\n夾住！
ATKMSG_E_011	對手的[VAR 0101(0000)]使出了\n夾住！
ATKMSG_T_011	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n夾住！
ATKMSG_M_012	[VAR 0101(0000)]使出了\n斷頭鉗！
ATKMSG_Y_012	野生的[VAR 0101(0000)]使出了\n斷頭鉗！
ATKMSG_E_012	對手的[VAR 0101(0000)]使出了\n斷頭鉗！
ATKMSG_T_012	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n斷頭鉗！
ATKMSG_M_014	[VAR 0101(0000)]使出了\n劍舞！
ATKMSG_Y_014	野生的[VAR 0101(0000)]使出了\n劍舞！
ATKMSG_E_014	對手的[VAR 0101(0000)]使出了\n劍舞！
ATKMSG_T_014	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n劍舞！
ATKMSG_M_015	[VAR 0101(0000)]使出了\n居合斬！
ATKMSG_Y_015	野生的[VAR 0101(0000)]使出了\n居合斬！
ATKMSG_E_015	對手的[VAR 0101(0000)]使出了\n居合斬！
ATKMSG_T_015	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n居合斬！
ATKMSG_M_016	[VAR 0101(0000)]使出了\n起風！
ATKMSG_Y_016	野生的[VAR 0101(0000)]使出了\n起風！
ATKMSG_E_016	對手的[VAR 0101(0000)]使出了\n起風！
ATKMSG_T_016	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n起風！
ATKMSG_M_017	[VAR 0101(0000)]使出了\n翅膀攻擊！
ATKMSG_Y_017	野生的[VAR 0101(0000)]使出了\n翅膀攻擊！
ATKMSG_E_017	對手的[VAR 0101(0000)]使出了\n翅膀攻擊！
ATKMSG_T_017	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n翅膀攻擊！
ATKMSG_M_018	[VAR 0101(0000)]使出了\n吹飛！
ATKMSG_Y_018	野生的[VAR 0101(0000)]使出了\n吹飛！
ATKMSG_E_018	對手的[VAR 0101(0000)]使出了\n吹飛！
