bag
SS_bag_000	零花钱
SS_bag_356	查看标签
SS_bag_357	交换可获得的玉
SS_bag_358	[VAR 0102(0000)][VAR 010D(0001)]的\n基础点数上升了！
SS_bag_169	灯泡
SS_bag_170	微波炉
SS_bag_171	洗衣机
SS_bag_172	冰箱
SS_bag_173	电风扇
SS_bag_174	割草机
SS_bag_175	要购买哪种家电呢？
SS_bag_213	登录
SS_bag_214	解除
SS_bag_337	博士说过……\n[VAR 0100(0000)]！这种东西\r\n是要看场合来用的啊！
SS_bag_338	包包
SS_bag_339	华丽点数
SS_bag_340	请选择登录的按键。
SS_bag_341	要替换已登录的道具吗？
SS_bag_342	道具登录完毕！
SS_bag_343	打开
SS_bag_344	查看标签
SS_bag_345	种植
SS_bag_347	要登录到哪里？
SS_bag_348	要替换哪个道具？
SS_bag_349	要把[VAR 0109(0001)]\n替换成[VAR 0109(0000)]吗？
SS_bag_350	[VAR 0109(0000)]登录完毕！\n要使用时按下＋键。
SS_bag_351	已替换成[VAR 0109(0000)]！\n要使用时按下＋键。
SS_bag_352	这里无法下车！
SS_bag_353	启动了ＤＳ播放器！
SS_bag_354	关闭了ＤＳ播放器！
SS_bag_355	积累的对战点数\n[VAR 0203(0000)]ＢＰ
SS_bag_359	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数降低了！
SS_bag_360	[VAR 0102(0000)]\n和你的亲密度已经最高了！\c\n[VAR 010D(0001)]的基础点数降低了！
SS_bag_361	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数不再降低！
bag_pocket
SS_bag_pocket_001	回复
SS_bag_pocket_002	精灵球
SS_bag_pocket_003	战斗道具
SS_bag_pocket_004	树果
SS_bag_pocket_005	道具
SS_bag_pocket_006	招式学习器
SS_bag_pocket_007	宝物
SS_bag_pocket_008	重要物品
SS_bag_pocket_017	回复口袋
SS_bag_pocket_018	精灵球口袋
SS_bag_pocket_019	树果口袋
SS_bag_pocket_020	道具口袋
SS_bag_pocket_021	招式学习器口袋
SS_bag_pocket_022	宝物口袋
SS_bag_pocket_023	重要物品口袋
SS_bag_pocket_024	战斗道具口袋
box
SS_box_000	同行
SS_box_001	[VAR 0139(0000)]
SS_box_002	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
SS_box_003	[VAR 0102(0000)]
SS_box_004	盒子
SS_box_005	一览
SS_box_006	搜寻
SS_box_007	[VAR 0102(0000)]
SS_box_008	♂
SS_box_009	♀
SS_box_010	Lv.[VAR 0202(0000)]
SS_box_011	[VAR 0202(0000)]
SS_box_012	No.[VAR 0202(0000)]
SS_box_013	[VAR 0202(0000)]
SS_box_016	[VAR 0101(0000)]
SS_box_017	HP
SS_box_018	[VAR 0202(0000)]/[VAR 0202(0001)]
SS_box_021	攻击
SS_box_022	防御
SS_box_023	特攻
SS_box_024	特防
SS_box_025	速度
SS_box_026	[VAR 0202(0000)]
SS_box_351	性格
SS_box_352	[VAR 0108(0000)]
SS_box_027	特性
SS_box_028	[VAR 0106(0000)]
SS_box_029	持有物
SS_box_030	[VAR 0109(0000)]
SS_box_031	-
SS_box_032	[VAR 0107(0000)]
SS_box_033	极巨化等级
SS_box_034	整理
SS_box_035	持有物
SS_box_036	对战
SS_box_037	一般
SS_box_038	范围
SS_box_039	便利
SS_box_042	[VAR 013A(0000)]
SS_box_043	要拿[VAR 0102(0000)]\n怎么办？
SS_box_044	移动
SS_box_045	查看能力
SS_box_046	持有物
SS_box_047	标记
SS_box_048	放生
SS_box_049	取消
SS_box_050	确定要用\n所选的宝可梦吗？
SS_box_052	真的要放生吗？
SS_box_053	是
SS_box_054	否
SS_box_055	已将[VAR 0102(0000)]放生了。\n再见，[VAR 0102(0000)]！
SS_box_056	无法将蛋放生！
SS_box_057	合体后的[VAR 0101(0000)]不能放生。
SS_box_058	添加到对战队伍的\n宝可梦不能放生。
SS_box_059	这样就没有可以战斗的宝可梦了！
SS_box_060	因为携带特别的道具，\n所以无法放生。
SS_box_061	要拿这个盒子做什么？
SS_box_062	跳转
SS_box_063	壁纸
SS_box_064	名字
SS_box_066	壁纸１
SS_box_067	壁纸２
SS_box_068	壁纸３
SS_box_069	壁纸４
SS_box_070	壁纸５
SS_box_071	壁纸６
SS_box_072	壁纸７
SS_box_073	壁纸８
SS_box_074	壁纸９
SS_box_075	壁纸１０
SS_box_076	壁纸１１
SS_box_077	壁纸１２
SS_box_078	壁纸１３
SS_box_079	壁纸１４
SS_box_080	壁纸１５
SS_box_081	壁纸１６
SS_box_082	壁纸１７
SS_box_083	壁纸１８
SS_box_084	壁纸１９
SS_box_085	要拿[VAR 0109(0000)]做什么？
SS_box_086	移动
SS_box_087	放回包包
SS_box_088	将[VAR 0109(0000)]放进包包里了！
SS_box_089	包包已满！
SS_box_090	要收回[VAR 0109(0000)]吗？
SS_box_091	可以携带道具。
SS_box_092	携带
SS_box_093	蛋无法携带道具！
SS_box_094	添加
SS_box_095	移动
SS_box_096	移除
SS_box_097	被锁的对战队伍里的\n宝可梦是无法移动的。
SS_box_098	对战队伍被锁，不能移除此宝可梦。
SS_box_099	对战队伍被锁，无法更换持有物。
SS_box_100	因为对战队伍被锁，\n所以无法进行标记。
SS_box_101	对战队伍被锁，无法添加。
SS_box_102	要更改队伍的名字吗？
SS_box_104	选择条件后按“搜索”，就会开始筛选！
SS_box_105	宝可梦
SS_box_106	属性１
SS_box_107	属性２
SS_box_108	招式
SS_box_109	招式学习器
SS_box_110	特性
SS_box_111	性格
SS_box_112	性别
SS_box_113	持有物
SS_box_114	标记
SS_box_115	对战队伍
SS_box_116	[VAR 0101(0000)]
SS_box_117	[VAR 0103(0000)]
SS_box_118	[VAR 0107(0000)]
SS_box_119	[VAR 0107(0000)]
SS_box_120	[VAR 0106(0000)]
SS_box_121	[VAR 0108(0000)]
SS_box_122	♂
SS_box_123	♀
SS_box_124	性别无
SS_box_126	携带
SS_box_127	不携带
SS_box_128	[VAR 0139(0000)]
SS_box_583	－
SS_box_129	请选择宝可梦名字的首字母。
SS_box_130	请选择宝可梦。
SS_box_131	请选择属性1。
SS_box_132	请选择属性2。
SS_box_133	请选择招式名字的首字母。
SS_box_134	请选择招式。
SS_box_135	查一查所选的招式学习器\n能用在哪一只宝可梦上。
SS_box_136	请选择宝可梦特性的首字母。
SS_box_137	请选择特性。
SS_box_138	请选择宝可梦的性格。
SS_box_139	请选择宝可梦的性别。
SS_box_140	可以查到携带持有物的宝可梦。
SS_box_141	可以查到有标记的宝可梦。
SS_box_143	可以查到添加到所选队伍里的宝可梦。
SS_box_144	[VAR 0103(0001)]
SS_box_145	[VAR 0103(0002)]
SS_box_146	[VAR 0106(0000)]
SS_box_147	[VAR 0108(0000)]
SS_box_148	[VAR 0107(0000)]
SS_box_149	比较容易均衡地增长。
SS_box_150	攻击增长容易。\n防御增长困难。
SS_box_151	攻击增长容易。\n速度增长困难。
SS_box_152	攻击增长容易。\n特攻增长困难。
SS_box_153	攻击增长容易。\n特防增长困难。
SS_box_154	防御增长容易。\n攻击增长困难。
SS_box_155	比较容易均衡地增长。
SS_box_156	防御增长容易。\n速度增长困难。
SS_box_157	防御增长容易。\n特攻增长困难。
SS_box_158	防御增长容易。\n特防增长困难。
SS_box_159	速度增长容易。\n攻击增长困难。
SS_box_160	速度增长容易。\n防御增长困难。
SS_box_161	比较容易均衡地增长。
SS_box_162	速度增长容易。\n特攻增长困难。
SS_box_163	速度增长容易。\n特防增长困难。
SS_box_164	特攻增长容易。\n攻击增长困难。
SS_box_165	特攻增长容易。\n防御增长困难。
SS_box_166	特攻增长容易。\n速度增长困难。
SS_box_167	比较容易均衡地增长。
SS_box_168	特攻增长容易。\n特防增长困难。
SS_box_169	特防增长容易。\n攻击增长困难。
SS_box_170	特防增长容易。\n防御增长困难。
SS_box_171	特防增长容易。\n速度增长困难。
SS_box_172	特防增长容易。\n特攻增长困难。
SS_box_173	比较容易均衡地增长。
SS_box_174	交换对象
SS_box_175	[VAR 0100(0000)]
SS_box_176	正在等待对方的回复……\n请稍等片刻。
SS_box_177	已中止交换。
SS_box_178	选择了结束。\n即将结束交换。
SS_box_179	对方已中止交换。\c\n交换结束。
SS_box_180	要结束宝可梦交换吗？
SS_box_181	由于对方的宝可梦有问题，\n因此无法交换。
SS_box_182	由于自己的宝可梦有问题，\n因此无法交换。
SS_box_183	注意！\n在交换宝可梦的过程中，\n如果因连接错误\n或主机电源被切断等原因\n导致连接结束，\n会有一段时间无法交换宝可梦。
SS_box_184	正在写入记录……\n请勿切断电源。
SS_box_185	正在等待连接……\n请稍等片刻。
SS_box_186	要接收交换对象的\n联盟卡吗？
SS_box_187	要用[VAR 0102(0001)]\n交换对方的[VAR 0102(0000)]吗？
SS_box_188	那颗蛋是不能用来交换的。
SS_box_189	交换
SS_box_190	选择
SS_box_191	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_box_192	[VAR 0102(0000)]
SS_box_582	Lv.[VAR 0202(0000)]
SS_box_193	那只宝可梦不能用来交换。
SS_box_194	没有可以用来交换的宝可梦。
SS_box_195	在这里蛋是不能用来交换的。
SS_box_196	添加到对战队伍的\n宝可梦是不能用来交换的。
SS_box_198	要将[VAR 0100(0000)]添加到黑名单吗？
SS_box_199	添加到黑名单后，\n将无法再和该玩家连接。\r\n确定要添加吗？
SS_box_200	已添加到黑名单。\n交换结束。
SS_box_201	该玩家已在黑名单中。
SS_box_203	确定
SS_box_204	查看对方能力
SS_box_404	要拿[VAR 0102(0000)]怎么办？
SS_box_333	[VAR 0201(0000)]
SS_box_584	交换对象\n[VAR 0100(0000)]
SS_box_585	个性定制球壳里的\n宝可梦无法用于交换。
SS_box_586	这样就没有可以战斗的宝可梦了！
SS_box_211	无法选择蛋。
SS_box_212	无法选择对战队伍里的宝可梦。
SS_box_587	[VAR 0102(0000)]携带着[VAR 0109(0001)]，\n确定要交换吗？
SS_box_214	无法选择同行的宝可梦。
SS_box_215	选择的数量已超出限制。
SS_box_216	无法选择昏厥的宝可梦。
SS_box_103	蛋无法添加。
SS_box_580	这只宝可梦是特殊宝可梦，\n无法参与奇迹交换！
SS_box_219	返回
SS_box_220	切换操作
SS_box_221	切换模式
SS_box_222	能力
SS_box_223	搜索
SS_box_224	重置
SS_box_226	全选
SS_box_227	评定
SS_box_581	便利
SS_box_228	还算可以的能力
SS_box_229	中等偏上的能力
SS_box_230	相当优秀的能力
SS_box_231	了不起的能力！
SS_box_232	也许不行
SS_box_233	一般般
SS_box_234	相当好
SS_box_235	非常好
SS_box_236	了不起
SS_box_237	太完美了！
SS_box_577	锻炼了！
SS_box_369	标记
SS_box_588	对方已中止交换。
SS_box_589	无法选择这只宝可梦。
boxname
SS_boxname_001	盒子１
SS_boxname_002	盒子２
SS_boxname_003	盒子３
SS_boxname_004	盒子４
SS_boxname_005	盒子５
SS_boxname_006	盒子６
SS_boxname_007	盒子７
SS_boxname_008	盒子８
SS_boxname_009	盒子９
SS_boxname_010	盒子１０
SS_boxname_011	盒子１１
SS_boxname_012	盒子１２
SS_boxname_013	盒子１３
SS_boxname_014	盒子１４
SS_boxname_015	盒子１５
SS_boxname_016	盒子１６
SS_boxname_017	盒子１７
SS_boxname_018	盒子１８
SS_boxname_019	盒子１９
SS_boxname_020	盒子２０
SS_boxname_021	盒子２１
SS_boxname_022	盒子２２
SS_boxname_023	盒子２３
SS_boxname_024	盒子２４
SS_boxname_025	盒子２５
SS_boxname_026	盒子２６
SS_boxname_027	盒子２７
SS_boxname_028	盒子２８
SS_boxname_029	盒子２９
SS_boxname_030	盒子３０
SS_boxname_031	盒子３１
SS_boxname_032	盒子３２
SS_boxname_033	队伍１
SS_boxname_034	队伍２
SS_boxname_035	队伍３
SS_boxname_036	队伍４
SS_boxname_037	队伍５
SS_boxname_038	队伍６
SS_boxname_039	盒子３３
SS_boxname_040	盒子３４
SS_boxname_041	盒子３５
SS_boxname_042	盒子３６
SS_boxname_043	盒子３７
SS_boxname_044	盒子３８
SS_boxname_045	盒子３９
SS_boxname_046	盒子４０
btl_app
msg_ui_btl_pokename	[VAR 0102(0000)]
msg_ui_btl_playername	[VAR 0100(0000)]
msg_ui_btl_00	战斗
msg_ui_btl_01	包包
msg_ui_btl_02	宝可梦
msg_ui_btl_04	逃走
msg_ui_btl_05	状况
msg_ui_btl_06	招式说明
msg_ui_btl_07	关闭
msg_ui_raidbtl_lv_00	Lv.
msg_ui_raidbtl_lv_01	[VAR 0202(0000)]
msg_ui_raidbtl_lv_02	???
msg_ui_raidbtl_hp_00	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_btl_pokewaza	[VAR 0107(0000)]
msg_ui_btl_pp_01	[VAR 0201(0000)]
msg_ui_btl_pp_02	/[VAR 0201(0000)]
msg_ui_btl_kouka_00	效果绝佳
msg_ui_btl_kouka_01	有效果
msg_ui_btl_kouka_02	效果不好
msg_ui_btl_kouka_03	没有效果
msg_ui_btl_kougeki	攻击
msg_ui_btl_bougyo	防御
msg_ui_btl_tokukou	特攻
msg_ui_btl_tokubou	特防
msg_ui_btl_subayasa	速度
msg_ui_btl_meichu	命中
msg_ui_btl_kaihi	闪避
msg_ui_btl_joutai_00	[VAR 0136(0000)]
msg_ui_btl_joutai_01	[VAR 0200(0000)]
msg_ui_btl_joutai_02	/
msg_ui_btl_joutai_03	[VAR 0200(0000)]
msg_ui_btl_joutai_10	返回
msg_ui_btl_wazainfo_tokusei	特性
msg_ui_btl_wazainfo_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_wazainfo_item	持有物
msg_ui_btl_wazainfo_itemname	[VAR 0109(0000)]
msg_ui_raidbtl_hp_01	[VAR 0203(0000)]/[VAR 0203(0001)]
msg_ui_raidbtl_fr_pokewaza	[VAR 0107(0000)]
msg_ui_raidbtl_pokename	[VAR 0101(0000)]
msg_ui_btl_command_01	[VAR 0201(0000)]:[VAR 0201(0001)]
msg_ui_btl_lvup_00	[VAR 0202(0000)]
msg_ui_btl_lvup_01	+[VAR 0202(0000)]
msg_ui_btl_lvup_02	HP
msg_ui_btl_lvup_03	攻击
msg_ui_btl_lvup_04	防御
msg_ui_btl_lvup_05	特攻
msg_ui_btl_lvup_06	特防
msg_ui_btl_lvup_07	速度
msg_ui_btl_yesno_00	替换宝可梦
msg_ui_btl_yesno_01	继续战斗
msg_ui_btl_yesno_02	使用下只宝可梦
msg_ui_btl_yesno_03	逃走
msg_ui_btl_yesno_04	忘记！
msg_ui_btl_yesno_05	不忘记
msg_ui_btl_yesno_06	是
msg_ui_btl_yesno_07	否
msg_ui_btl_hokaku_01	捕捉
msg_ui_btl_hokaku_02	不捕捉
msg_ui_btl_hokaku_03	使用
msg_ui_btl_next_01	下一步
msg_ui_btl_tokusei	[VAR 0102(0000)]的\n[VAR 0106(0001)]
msg_ui_btl_pokeselect_name	[VAR 0102(0000)]
msg_ui_btl_pokeselect_kouka_00	效果绝佳
msg_ui_btl_pokeselect_kouka_01	有效果
msg_ui_btl_pokeselect_kouka_02	效果不好
msg_ui_btl_pokeselect_kouka_03	没有效果
msg_ui_btl_pokeselect_playername	[VAR 0100(0000)]
msg_ui_btl_ball_name	[VAR 0109(0000)]
msg_ui_btl_ball_count	×[VAR 0202(0000)]
msg_ui_btl_wazainfo_00	[VAR 0107(0000)]
msg_ui_btl_wazainfo_01	分类
msg_ui_btl_wazainfo_02	命中
msg_ui_btl_wazainfo_03	威力
msg_ui_btl_wazainfo_04	[VAR 0202(0000)]
msg_ui_btl_wazainfo_05	-
msg_ui_btl_watching_02	还有[VAR 0200(0000)]回合
str_btr_wait	正在等待连接……
msg_ui_btl_SafariCommnadBallMsg	球
msg_ui_btl_SafariCommnadEsaMsg	诱饵
msg_ui_btl_SafariCommnadDoroMsg	泥巴
msg_ui_btl_SafariCommandEscapeMsg	逃走
msg_ui_btl_SafariBallMsg	狩猎球
msg_ui_btl_SafariNokoriMsg	剩余 [VAR 0201(0000)]个
msg_ui_btl_08	返回
msg_ui_btl_total_01	[VAR 0201(0000)]:[VAR 0201(0001)]
btl_attack
ATKMSG_M_000	！
ATKMSG_Y_000	！
ATKMSG_E_000	！
ATKMSG_T_000	！
ATKMSG_M_001	[VAR 0101(0000)]使出了\n拍击！
ATKMSG_Y_001	野生的[VAR 0101(0000)]使出了\n拍击！
ATKMSG_E_001	对手的[VAR 0101(0000)]使出了\n拍击！
ATKMSG_T_001	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n拍击！
ATKMSG_M_005	[VAR 0101(0000)]使出了\n百万吨重拳！
ATKMSG_Y_005	野生的[VAR 0101(0000)]使出了\n百万吨重拳！
ATKMSG_E_005	对手的[VAR 0101(0000)]使出了\n百万吨重拳！
ATKMSG_T_005	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n百万吨重拳！
ATKMSG_M_006	[VAR 0101(0000)]使出了\n聚宝功！
ATKMSG_Y_006	野生的[VAR 0101(0000)]使出了\n聚宝功！
ATKMSG_E_006	对手的[VAR 0101(0000)]使出了\n聚宝功！
ATKMSG_T_006	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n聚宝功！
ATKMSG_M_007	[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_Y_007	野生的[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_E_007	对手的[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_T_007	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n火焰拳！
ATKMSG_M_008	[VAR 0101(0000)]使出了\n冰冻拳！
ATKMSG_Y_008	野生的[VAR 0101(0000)]使出了\n冰冻拳！
ATKMSG_E_008	对手的[VAR 0101(0000)]使出了\n冰冻拳！
ATKMSG_T_008	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n冰冻拳！
ATKMSG_M_009	[VAR 0101(0000)]使出了\n雷电拳！
ATKMSG_Y_009	野生的[VAR 0101(0000)]使出了\n雷电拳！
ATKMSG_E_009	对手的[VAR 0101(0000)]使出了\n雷电拳！
ATKMSG_T_009	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n雷电拳！
ATKMSG_M_010	[VAR 0101(0000)]使出了\n抓！
ATKMSG_Y_010	野生的[VAR 0101(0000)]使出了\n抓！
ATKMSG_E_010	对手的[VAR 0101(0000)]使出了\n抓！
ATKMSG_T_010	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n抓！
ATKMSG_M_011	[VAR 0101(0000)]使出了\n夹住！
ATKMSG_Y_011	野生的[VAR 0101(0000)]使出了\n夹住！
ATKMSG_E_011	对手的[VAR 0101(0000)]使出了\n夹住！
ATKMSG_T_011	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n夹住！
ATKMSG_M_012	[VAR 0101(0000)]使出了\n极落钳！
ATKMSG_Y_012	野生的[VAR 0101(0000)]使出了\n极落钳！
ATKMSG_E_012	对手的[VAR 0101(0000)]使出了\n极落钳！
ATKMSG_T_012	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n极落钳！
ATKMSG_M_014	[VAR 0101(0000)]使出了\n剑舞！
ATKMSG_Y_014	野生的[VAR 0101(0000)]使出了\n剑舞！
ATKMSG_E_014	对手的[VAR 0101(0000)]使出了\n剑舞！
ATKMSG_T_014	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n剑舞！
ATKMSG_M_015	[VAR 0101(0000)]使出了\n居合劈！
ATKMSG_Y_015	野生的[VAR 0101(0000)]使出了\n居合劈！
ATKMSG_E_015	对手的[VAR 0101(0000)]使出了\n居合劈！
ATKMSG_T_015	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n居合劈！
ATKMSG_M_016	[VAR 0101(0000)]使出了\n起风！
ATKMSG_Y_016	野生的[VAR 0101(0000)]使出了\n起风！
ATKMSG_E_016	对手的[VAR 0101(0000)]使出了\n起风！
ATKMSG_T_016	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n起风！
ATKMSG_M_017	[VAR 0101(0000)]使出了\n翅膀攻击！
ATKMSG_Y_017	野生的[VAR 0101(0000)]使出了\n翅膀攻击！
ATKMSG_E_017	对手的[VAR 0101(0000)]使出了\n翅膀攻击！
ATKMSG_T_017	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n翅膀攻击！
ATKMSG_M_018	[VAR 0101(0000)]使出了\n吹飞！
ATKMSG_Y_018	野生的[VAR 0101(0000)]使出了\n吹飞！
ATKMSG_E_018	对手的[VAR 0101(0000)]使出了\n吹飞！
ATKMSG_T_018	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n吹飞！
ATKMSG_M_019	[VAR 0101(0000)]使出了\n飞翔！
ATKMSG_Y_019	野生的[VAR 0101(0000)]使出了\n飞翔！
ATKMSG_E_019	对手的[VAR 0101(0000)]使出了\n飞翔！
ATKMSG_T_019	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n飞翔！
ATKMSG_M_020	[VAR 0101(0000)]使出了\n绑紧！
ATKMSG_Y_020	野生的[VAR 0101(0000)]使出了\n绑紧！
ATKMSG_E_020	对手的[VAR 0101(0000)]使出了\n绑紧！
