msg_bgm+zh_tw.msbt
bgm_arrange	改編
bgm_author_0019	擔任編曲者：Ryo Nagamatsu〔永松 亮〕
bgm_copyright_0019	作曲者：Nintendo\r\n編曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0020	Brinstar Depths
bgm_author_0020	擔任編曲者：Yasushi Asada〔浅田 靖〕
bgm_copyright_0020	作曲者：Nintendo\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0021	Vs. Ridley
bgm_author_0021	擔任編曲者：Yusuke Takahama〔高濱 祐輔〕
bgm_copyright_0021	作曲者：Nintendo\r\n編曲者：TARGET ENTERTAINMENT INC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0022	Vs. Parasite Queen
bgm_author_0022	編曲者：Motoi Sakuraba〔桜庭 統〕
bgm_copyright_0022	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0023	F-ZERO Medley
bgm_author_0023	擔任編曲者：Takenobu Mitsuyoshi〔光吉 猛修〕\r\n擔任作詞者：Takenobu Mitsuyoshi〔光吉 猛修〕\r\n演唱：Takenobu Mitsuyoshi〔光吉 猛修〕
bgm_copyright_0023	作曲者：Nintendo\r\n編曲者：SEGA Interactive Co., Ltd.\r\nComposition, arrangement, lyrics, translation,\r\nand vocals Copyright Nintendo
bgm_title_0024	Big Blue
bgm_author_0024	擔任編曲者：Takeshi Kuramochi〔倉持 武志〕
bgm_copyright_0024	作曲者：Nintendo\r\n編曲者：INSPION Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0025	Sand Ocean
bgm_author_0025	編曲者：Hirokazu Tanaka. ex
bgm_copyright_0025	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0026	Main Theme - Yoshi's New Island
bgm_author_0026	編曲者：Shota Kageyama〔景山 将太〕
bgm_copyright_0026	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0027	Staff Credits - Kirby's Dream Land
bgm_author_0027	擔任編曲者：MASAKI（ZUNTATA）
bgm_copyright_0027	作曲者：HAL Laboratory, Inc.\r\n編曲者：TAITO CORPORATION\r\nComposition Copyright HAL Laboratory, Inc. / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0028	City Trial
bgm_author_0028	編曲者：Noriyuki Iwadare〔岩垂 徳行〕
bgm_copyright_0028	作曲者：HAL Laboratory, Inc.\r\nComposition Copyright HAL Laboratory, Inc. / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0029	Battle! (Steven)
bgm_author_0029	擔任編曲者：Soshi Abe〔阿部 壮志〕
bgm_copyright_0029	作曲者：GAME FREAK inc.\r\n編曲者：Nintendo\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0030	Battle! (Lorekeeper Zinnia)
bgm_author_0030	編曲者：Shota Kageyama〔景山 将太〕
bgm_copyright_0030	作曲者：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0031	Battle! (Wild Pokémon) - Pokémon Sun / Pokémon Moon
bgm_author_0031	編曲者：Hiroyuki Kawada〔川田 宏行〕
bgm_copyright_0031	作曲者：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0032	Battle! (Trainer) - Pokémon Sun / Pokémon Moon
bgm_author_0032	擔任編曲者：Yasushi Asada〔浅田 靖〕
bgm_copyright_0032	作曲者：GAME FREAK inc.\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0033	Battle! (Island Kahuna)
bgm_author_0033	擔任編曲者：Yasuaki Iwata〔岩田 恭明〕
bgm_copyright_0033	作曲者：GAME FREAK inc.\r\n編曲者：Nintendo\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0034	Battle! (Gladion)
bgm_author_0034	編曲者：Manami Kiyota〔清田 愛未〕
bgm_copyright_0034	作曲者：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0035	Battle! (Elite Four) / Battle! (Solgaleo/Lunala)
bgm_author_0035	擔任編曲者：Akihiro Honda〔本田 晃弘〕
bgm_copyright_0035	作曲者：GAME FREAK inc.\r\n編曲者：Cygames, Inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0036	The Battle at the Summit!
bgm_author_0036	編曲者：Shota Kageyama〔景山 将太〕
bgm_copyright_0036	作曲者：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0037	Magicant
bgm_author_0037	編曲者：Motoi Sakuraba〔桜庭 統〕
bgm_copyright_0037	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0038	Fourside
bgm_author_0038	編曲者：Motoi Sakuraba〔桜庭 統〕
bgm_copyright_0038	作曲者：Keiichi Suzuki〔鈴木 慶一〕/ Nintendo\r\nComposition Copyright Keiichi Suzuki / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0039	Fire Emblem Theme {size[5000]}(Heroic Origins){size[6400]}
bgm_author_0039	擔任編曲者：Hideki Sakamoto〔坂本 英城〕
bgm_copyright_0039	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0040	Under This Banner
bgm_author_0040	擔任編曲者：Takeshi Kuramochi〔倉持 武志〕
bgm_copyright_0040	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0041	Advance
bgm_author_0041	擔任編曲者：Takeshi Kuramochi〔倉持 武志〕
bgm_copyright_0041	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0042	Edge of Adversity
bgm_author_0042	編曲者：Yuka Tsujiyoko〔辻横 由佳〕
bgm_copyright_0042	作曲者：INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0043	Beyond Distant Skies - Roy's Departure
bgm_author_0043	擔任編曲者：Takeshi Kuramochi〔倉持 武志〕
bgm_copyright_0043	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0044	Prelude (Ablaze)
bgm_author_0044	擔任編曲者：Tetsuya Shibata〔柴田 徹也〕
bgm_copyright_0044	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：Unique Note Co., Ltd.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0045	Destiny (Ablaze)
bgm_author_0045	擔任編曲者：Akihiro Honda〔本田 晃弘〕
bgm_copyright_0045	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：Cygames, Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0046	Id (Purpose)
bgm_author_0046	擔任編曲者：Takeshi Kuramochi〔倉持 武志〕
bgm_copyright_0046	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0047	Lost in Thoughts All Alone
bgm_author_0047	擔任編曲者：Masato Kouda〔甲田 雅人〕
bgm_copyright_0047	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：designwave co.,ltd\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0048	Gear Up For...
bgm_author_0048	擔任編曲者：Hiroki Morishita〔森下 弘生〕
bgm_copyright_0048	作曲者：INTELLIGENT SYSTEMS\r\n編曲者：INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0049	Main Theme - Pikmin
bgm_author_0049	擔任編曲者：Hideki Sakamoto〔坂本 英城〕
bgm_copyright_0049	作曲者：Nintendo\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0050	Garden of Hope
bgm_author_0050	擔任編曲者：Yoshino Aoki〔青木 佳乃〕
bgm_copyright_0050	作曲者：Nintendo\r\n編曲者：Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0051	Title Theme - Animal Crossing: Wild World
bgm_author_0051	編曲者：Maki Kirioka〔桐岡 麻季〕
bgm_copyright_0051	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0052	Title Theme - Animal Crossing
bgm_author_0052	編曲者：ACE（TOMOri Kudo / CHiCO）\r\n　　　　〔ACE（工藤ともり / CHiCO）〕
bgm_copyright_0052	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0053	Title Theme - Animal Crossing: Happy Home Designer
bgm_author_0053	擔任編曲者：Kazumi Totaka〔戸高 一生〕
bgm_copyright_0053	作曲者：Nintendo\r\n編曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0054	Main Menu - Wii Fit
bgm_author_0054	編曲者：Kumi Tanioka〔谷岡 久美〕
bgm_copyright_0054	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0055	Training Menu - Wii Fit U
bgm_author_0055	擔任編曲者：Hiroki Morishita〔森下 弘生〕
bgm_copyright_0055	作曲者：Nintendo / GANBARION Co., Ltd.\r\n編曲者：INTELLIGENT SYSTEMS\r\nComposition and arrangement Copyright Nintendo
bgm_title_0056	Splattack!
bgm_author_0056	擔任編曲者：Shohei Tsuchiya（ZUNTATA）\r\n　　　　　　〔土屋 昇平（ZUNTATA）〕
bgm_copyright_0056	作曲者：Nintendo\r\n編曲者：TAITO CORPORATION\r\nComposition and arrangement Copyright Nintendo
bgm_title_0057	Seaskape
bgm_author_0057	編曲者：Hirokazu Tanaka. ex
bgm_copyright_0057	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0058	Now or Never!
bgm_author_0058	擔任編曲者：Yuzo Koshiro〔古代 祐三〕
bgm_copyright_0058	作曲者：Nintendo\r\n編曲者：Ancient-corp.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0059	Bomb Rush Blush
bgm_author_0059	擔任編曲者：Tomoya Ohtani〔大谷 智哉〕
bgm_copyright_0059	作曲者：Nintendo\r\n編曲者：SEGA Games Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0060	Theme of Solid Snake
bgm_author_0060	擔任編曲者：Masami Ueda〔上田 雅美〕
bgm_copyright_0060	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：PlatinumGames Inc.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0061	Snake Eater
bgm_author_0061	擔任編曲者：Nobuko Toda〔戸田 信子〕
bgm_copyright_0061	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：FILM SCORE LLC\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0062	Guts Man Stage
bgm_author_0062	編曲者：ACE（TOMOri Kudo / CHiCO）\r\n　　　　〔ACE（工藤ともり / CHiCO）〕
bgm_copyright_0062	作曲者：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0063	Ice Man Stage
bgm_author_0063	擔任編曲者：Yasushi Asada〔浅田 靖〕
bgm_copyright_0063	作曲者：CAPCOM CO., LTD.\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0064	Bomb Man Stage
bgm_author_0064	擔任編曲者：Nobuko Toda〔戸田 信子〕
bgm_copyright_0064	作曲者：CAPCOM CO., LTD.\r\n編曲者：FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0065	Fire Man Stage
bgm_author_0065	擔任編曲者：Nobuko Toda〔戸田 信子〕
bgm_copyright_0065	作曲者：CAPCOM CO., LTD.\r\n編曲者：FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0066	Metal Man Stage
bgm_author_0066	擔任編曲者：Yusuke Takahama〔高濱 祐輔〕
bgm_copyright_0066	作曲者：CAPCOM CO., LTD.\r\n編曲者：TARGET ENTERTAINMENT INC.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0067	Crash Man Stage
bgm_author_0067	擔任編曲者：Nobuko Toda〔戸田 信子〕
bgm_copyright_0067	作曲者：CAPCOM CO., LTD.\r\n編曲者：FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0068	Flash Man Stage
bgm_author_0068	擔任編曲者：Keiichi Okabe〔岡部 啓一〕
bgm_copyright_0068	作曲者：CAPCOM CO., LTD.\r\n編曲者：MONACA\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0069	Wood Man Stage
bgm_author_0069	編曲者：Motoi Sakuraba〔桜庭 統〕
bgm_copyright_0069	作曲者：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0070	Hard Man Stage
bgm_author_0070	編曲者：Shota Kageyama〔景山 将太〕
bgm_copyright_0070	作曲者：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0071	Top Man Stage
bgm_author_0071	編曲者：Noriyuki Iwadare〔岩垂 徳行〕
bgm_copyright_0071	作曲者：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0072	Snake Man Stage
bgm_author_0072	擔任編曲者：Hideki Sakamoto〔坂本 英城〕
bgm_copyright_0072	作曲者：CAPCOM CO., LTD.\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0073	Mega Man 4 Medley
bgm_author_0073	擔任編曲者：Jun Senoue〔瀬上 純〕
bgm_copyright_0073	作曲者：CAPCOM CO., LTD.\r\n編曲者：SEGA Games Co., Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0074	Gravity Man Stage
bgm_author_0074	擔任編曲者：Yumi Takahashi〔高橋 優海〕
bgm_copyright_0074	作曲者：CAPCOM CO., LTD.\r\n編曲者：Nintendo\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0075	Napalm Man Stage
bgm_author_0075	擔任編曲者：Naoto Kubo〔久保 直人〕
bgm_copyright_0075	作曲者：CAPCOM CO., LTD.\r\n編曲者：Nintendo\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0076	Dark Man Stage
bgm_author_0076	擔任編曲者：Hiroki Morishita〔森下 弘生〕
bgm_copyright_0076	作曲者：CAPCOM CO., LTD.\r\n編曲者：INTELLIGENT SYSTEMS\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0077	We're Robots (Dr. Wily Stage 2)
bgm_author_0077	擔任編曲者：Yu Shimoda（ZUNTATA）\r\n　　　　　　〔下田 祐（ZUNTATA）〕
bgm_copyright_0077	作曲者：Inti Creates CO., Ltd.\r\n編曲者：TAITO CORPORATION\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0078	Opening Stage
bgm_author_0078	擔任編曲者：Yusuke Takahama〔高濱 祐輔〕
bgm_copyright_0078	作曲者：CAPCOM CO., LTD.\r\n編曲者：TARGET ENTERTAINMENT INC.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0079	Galaga Medley
bgm_author_0079	擔任編曲者：Yusuke Takahama〔高濱 祐輔〕
bgm_copyright_0079	作曲者：BANDAI NAMCO Entertainment Inc.\r\n編曲者：TARGET ENTERTAINMENT INC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0080	Mappy Medley
bgm_author_0080	擔任編曲者：Masafumi Takada〔高田 雅史〕
bgm_copyright_0080	作曲者：BANDAI NAMCO Entertainment Inc.\r\n編曲者：Sound Prestige LLC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0081	Area 1 - Dragon Spirit
bgm_author_0081	編曲者：Maki Kirioka〔桐岡 麻季〕
bgm_copyright_0081	作曲者：BANDAI NAMCO Entertainment Inc.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0082	Guile Stage
bgm_author_0082	擔任編曲者：Yuzo Koshiro〔古代 祐三〕
bgm_copyright_0082	作曲者：CAPCOM CO., LTD.\r\n編曲者：Ancient-corp.\r\nComposition and arrangement Copyright CAPCOM U.S.A., INC.
bgm_title_0083	Vega Stage
bgm_author_0083	擔任編曲者：Yoko Shimomura〔下村 陽子〕
bgm_copyright_0083	作曲者：CAPCOM CO., LTD.\r\n編曲者：Midiplex Co., Ltd.\r\nComposition and arrangement Copyright CAPCOM U.S.A., INC.
bgm_title_0084	Vampire Killer
bgm_author_0084	擔任編曲者：Shinji Ushiroda〔後田 信二〕
bgm_copyright_0084	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：Nintendo\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0085	Starker / Wicked Child
bgm_author_0085	擔任編曲者：Hideki Sakamoto〔坂本 英城〕
bgm_copyright_0085	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0086	Out of Time
bgm_author_0086	擔任編曲者：Yasushi Asada〔浅田 靖〕
bgm_copyright_0086	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0087	Bloody Tears / Monster Dance
bgm_author_0087	擔任編曲者：Michiko Naruke〔なるけ みちこ〕
bgm_copyright_0087	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：Naru2 Co.,Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0088	Cross Your Heart
bgm_author_0088	擔任編曲者：Takeshi Kuramochi〔倉持 武志〕
bgm_copyright_0088	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：INSPION Inc.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0089	Beginning
bgm_author_0089	編曲者：Kenji Ito〔伊藤 賢治〕
bgm_copyright_0089	作曲者：Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0090	Aquarius
bgm_author_0090	擔任編曲者：Yoshito Sekigawa〔関河 義人〕
bgm_copyright_0090	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：INTELLIGENT SYSTEMS\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0091	Divine Bloodlines
bgm_author_0091	擔任編曲者：Yasushi Asada〔浅田 靖〕
bgm_copyright_0091	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：noisycroak Co.,Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0092	Iron-Blue Intention
bgm_author_0092	編曲者：Manami Kiyota〔清田 愛未〕
bgm_copyright_0092	作曲者：Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0093	Dance of Gold
bgm_author_0093	擔任編曲者：Masami Ueda〔上田 雅美〕
bgm_copyright_0093	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：PlatinumGames Inc.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0094	Lost Painting
bgm_author_0094	擔任編曲者：Tetsuya Shibata〔柴田 徹也〕
bgm_copyright_0094	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：Unique Note Co., Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0095	Awake
bgm_author_0095	擔任編曲者：Yoshito Sekigawa〔関河 義人〕
bgm_copyright_0095	作曲者：Konami Digital Entertainment Co., Ltd.\r\n編曲者：INTELLIGENT SYSTEMS\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0096	Lament of Innocence
bgm_author_0096	編曲者：ACE（TOMOri Kudo / CHiCO）\r\n　　　　〔ACE（工藤ともり / CHiCO）〕
bgm_copyright_0096	作曲者：Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright\r\nKonami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0097	Duck Hunt Medley
bgm_author_0097	編曲者：Maki Kirioka〔桐岡 麻季〕
bgm_copyright_0097	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0098	Wrecking Crew Medley
bgm_author_0098	擔任編曲者：Tetsuya Shibata〔柴田 徹也〕
bgm_copyright_0098	作曲者：Nintendo\r\n編曲者：Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0099	Yuyuki Medley
bgm_author_0099	編曲者：Yuka Tsujiyoko〔辻横 由佳〕
bgm_copyright_0099	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0100	Light Plane
bgm_author_0100	編曲者：Noriyuki Iwadare〔岩垂 徳行〕
bgm_copyright_0100	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0101	Electroplankton
bgm_author_0101	編曲者：Noriyuki Iwadare〔岩垂 徳行〕
