msg_bgm+us_en.msbt
bgm_arrange	Remix
bgm_copyright_0023	Composition: Nintendo\r\nArrangement: SEGA Interactive Co., Ltd.\r\nComposition, arrangement, lyrics, translation, and vocals Copyright Nintendo
bgm_title_0024	Big Blue
bgm_author_0024	Arrangement Supervisor: Takeshi Kuramochi
bgm_copyright_0024	Composition: Nintendo\r\nArrangement: INSPION Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0025	Sand Ocean
bgm_author_0025	Arrangement: Hirokazu Tanaka. ex
bgm_copyright_0025	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0026	Main Theme - Yoshi's New Island
bgm_author_0026	Arrangement: Shota Kageyama
bgm_copyright_0026	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0027	Staff Credits - Kirby's Dream Land
bgm_author_0027	Arrangement Supervisor: MASAKI (ZUNTATA)
bgm_copyright_0027	Composition: HAL Laboratory, Inc.\r\nArrangement: TAITO CORPORATION\r\nComposition Copyright HAL Laboratory, Inc. / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0028	City Trial
bgm_author_0028	Arrangement: Noriyuki Iwadare
bgm_copyright_0028	Composition: HAL Laboratory, Inc.\r\nComposition Copyright HAL Laboratory, Inc. / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0029	Battle! (Steven)
bgm_author_0029	Arrangement Supervisor: Soshi Abe
bgm_copyright_0029	Composition: GAME FREAK inc.\r\nArrangement: Nintendo\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0030	Battle! (Lorekeeper Zinnia)
bgm_author_0030	Arrangement: Shota Kageyama
bgm_copyright_0030	Composition: GAME FREAK inc. \r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0031	Battle! (Wild Pokémon) - Pokémon Sun / Pokémon Moon
bgm_author_0031	Arrangement: Hiroyuki Kawada
bgm_copyright_0031	Composition: GAME FREAK inc. \r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0032	Battle! (Trainer) - Pokémon Sun / Pokémon Moon
bgm_author_0032	Arrangement Supervisor: Yasushi Asada
bgm_copyright_0032	Composition: GAME FREAK inc.\r\nArrangement: noisycroak Co.,Ltd.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0033	Battle! (Island Kahuna)
bgm_author_0033	Arrangement Supervisor: Yasuaki Iwata
bgm_copyright_0033	Composition: GAME FREAK inc.\r\nArrangement: Nintendo\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0034	Battle! (Gladion)
bgm_author_0034	Arrangement: Manami Kiyota
bgm_copyright_0034	Composition: GAME FREAK inc. \r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0035	Battle! (Elite Four) / Battle! (Solgaleo/Lunala)
bgm_author_0035	Arrangement Supervisor: Akihiro Honda
bgm_copyright_0035	Composition: GAME FREAK inc.\r\nArrangement: Cygames, Inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0036	The Battle at the Summit!
bgm_author_0036	Arrangement: Shota Kageyama
bgm_copyright_0036	Composition: GAME FREAK inc. \r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0037	Magicant
bgm_author_0037	Arrangement: Motoi Sakuraba
bgm_copyright_0037	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0038	Fourside
bgm_author_0038	Arrangement: Motoi Sakuraba
bgm_copyright_0038	Composition: Keiichi Suzuki / Nintendo\r\nComposition Copyright Keiichi Suzuki / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0039	Fire Emblem Theme {size[5000]}(Heroic Origins){size[6400]}
bgm_author_0039	Arrangement Supervisor: Hideki Sakamoto
bgm_copyright_0039	Composition: INTELLIGENT SYSTEMS\r\nArrangement: noisycroak Co.,Ltd.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0040	Under This Banner
bgm_author_0040	Arrangement Supervisor: Takeshi Kuramochi
bgm_copyright_0040	Composition: INTELLIGENT SYSTEMS\r\nArrangement: INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0041	Advance
bgm_author_0041	Arrangement Supervisor: Takeshi Kuramochi
bgm_copyright_0041	Composition: INTELLIGENT SYSTEMS\r\nArrangement: INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0042	Edge of Adversity
bgm_author_0042	Arrangement: Yuka Tsujiyoko
bgm_copyright_0042	Composition: INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0043	Beyond Distant Skies - Roy's Departure
bgm_author_0043	Arrangement Supervisor: Takeshi Kuramochi
bgm_copyright_0043	Composition: INTELLIGENT SYSTEMS\r\nArrangement: INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0044	Prelude (Ablaze)
bgm_author_0044	Arrangement Supervisor: Tetsuya Shibata
bgm_copyright_0044	Composition: INTELLIGENT SYSTEMS\r\nArrangement: Unique Note Co., Ltd.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0045	Destiny (Ablaze)
bgm_author_0045	Arrangement Supervisor: Akihiro Honda
bgm_copyright_0045	Composition: INTELLIGENT SYSTEMS\r\nArrangement: Cygames, Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0046	Id (Purpose)
bgm_author_0046	Arrangement Supervisor: Takeshi Kuramochi
bgm_copyright_0046	Composition: INTELLIGENT SYSTEMS\r\nArrangement: INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0047	Lost in Thoughts All Alone
bgm_author_0047	Arrangement Supervisor: Masato Kouda
bgm_copyright_0047	Composition: INTELLIGENT SYSTEMS\r\nArrangement: designwave co.,ltd\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0048	Gear Up For...
bgm_author_0048	Arrangement Supervisor: Hiroki Morishita
bgm_copyright_0048	Composition: INTELLIGENT SYSTEMS\r\nArrangement: INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0049	Main Theme - Pikmin
bgm_author_0049	Arrangement Supervisor: Hideki Sakamoto
bgm_copyright_0049	Composition: Nintendo\r\nArrangement: noisycroak Co.,Ltd. \r\nComposition and arrangement Copyright Nintendo
bgm_title_0050	Garden of Hope
bgm_author_0050	Arrangement Supervisor: Yoshino Aoki
bgm_copyright_0050	Composition: Nintendo\r\nArrangement: Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0051	Title Theme - Animal Crossing: Wild World
bgm_author_0051	Arrangement: Maki Kirioka
bgm_copyright_0051	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0052	Title Theme - Animal Crossing
bgm_author_0052	Arrangement: ACE (TOMOri Kudo / CHiCO)
bgm_copyright_0052	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0053	Title Theme - Animal Crossing: Happy Home Designer
bgm_author_0053	Arrangement Supervisor: Kazumi Totaka
bgm_copyright_0053	Composition: Nintendo\r\nArrangement: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0054	Main Menu - Wii Fit
bgm_author_0054	Arrangement: Kumi Tanioka
bgm_copyright_0054	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0055	Training Menu - Wii Fit U
bgm_author_0055	Arrangement Supervisor: Hiroki Morishita
bgm_copyright_0055	Composition: Nintendo / GANBARION Co., Ltd.\r\nArrangement: INTELLIGENT SYSTEMS\r\nComposition and arrangement Copyright Nintendo
bgm_title_0056	Splattack!
bgm_author_0056	Arrangement Supervisor: Shohei Tsuchiya (ZUNTATA)
bgm_copyright_0056	Composition: Nintendo\r\nArrangement: TAITO CORPORATION\r\nComposition and arrangement Copyright Nintendo
bgm_title_0057	Seaskape
bgm_author_0057	Arrangement: Hirokazu Tanaka. ex
bgm_copyright_0057	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0058	Now or Never!
bgm_author_0058	Arrangement Supervisor: Yuzo Koshiro
bgm_copyright_0058	Composition: Nintendo\r\nArrangement: Ancient-corp.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0059	Bomb Rush Blush
bgm_author_0059	Arrangement Supervisor: Tomoya Ohtani
bgm_copyright_0059	Composition: Nintendo\r\nArrangement: SEGA Games Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0060	Theme of Solid Snake
bgm_author_0060	Arrangement Supervisor: Masami Ueda
bgm_copyright_0060	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: PlatinumGames Inc.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0061	Snake Eater
bgm_author_0061	Arrangement Supervisor: Nobuko Toda
bgm_copyright_0061	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: FILM SCORE LLC\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0062	Guts Man Stage
bgm_author_0062	Arrangement: ACE (TOMOri Kudo / CHiCO)
bgm_copyright_0062	Composition: CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0063	Ice Man Stage
bgm_author_0063	Arrangement Supervisor: Yasushi Asada
bgm_copyright_0063	Composition: CAPCOM CO., LTD.\r\nArrangement: noisycroak Co.,Ltd. \r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0064	Bomb Man Stage
bgm_author_0064	Arrangement Supervisor: Nobuko Toda
bgm_copyright_0064	Composition: CAPCOM CO., LTD.\r\nArrangement: FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0065	Fire Man Stage
bgm_author_0065	Arrangement Supervisor: Nobuko Toda
bgm_copyright_0065	Composition: CAPCOM CO., LTD.\r\nArrangement: FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0066	Metal Man Stage
bgm_author_0066	Arrangement Supervisor: Yusuke Takahama
bgm_copyright_0066	Composition: CAPCOM CO., LTD.\r\nArrangement: TARGET ENTERTAINMENT INC.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0067	Crash Man Stage
bgm_author_0067	Arrangement Supervisor: Nobuko Toda
bgm_copyright_0067	Composition: CAPCOM CO., LTD.\r\nArrangement: FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0068	Flash Man Stage
bgm_author_0068	Arrangement Supervisor: Keiichi Okabe
bgm_copyright_0068	Composition: CAPCOM CO., LTD.\r\nArrangement: MONACA\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0069	Wood Man Stage
bgm_author_0069	Arrangement: Motoi Sakuraba
bgm_copyright_0069	Composition: CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0070	Hard Man Stage
bgm_author_0070	Arrangement: Shota Kageyama
bgm_copyright_0070	Composition: CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0071	Top Man Stage
bgm_author_0071	Arrangement: Noriyuki Iwadare
bgm_copyright_0071	Composition: CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0072	Snake Man Stage
bgm_author_0072	Arrangement Supervisor: Hideki Sakamoto
bgm_copyright_0072	Composition: CAPCOM CO., LTD.\r\nArrangement: noisycroak Co.,Ltd. \r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0073	Mega Man 4 Medley
bgm_author_0073	Arrangement Supervisor: Jun Senoue
bgm_copyright_0073	Composition: CAPCOM CO., LTD.\r\nArrangement: SEGA Games Co., Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0074	Gravity Man Stage
bgm_author_0074	Arrangement Supervisor: Yumi Takahashi
bgm_copyright_0074	Composition: CAPCOM CO., LTD.\r\nArrangement: Nintendo\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0075	Napalm Man Stage
bgm_author_0075	Arrangement Supervisor: Naoto Kubo
bgm_copyright_0075	Composition: CAPCOM CO., LTD.\r\nArrangement: Nintendo\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0076	Dark Man Stage
bgm_author_0076	Arrangement Supervisor: Hiroki Morishita
bgm_copyright_0076	Composition: CAPCOM CO., LTD.\r\nArrangement: INTELLIGENT SYSTEMS\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0077	We're Robots (Dr. Wily Stage 2)
bgm_author_0077	Arrangement Supervisor: Yu Shimoda (ZUNTATA)
bgm_copyright_0077	Composition: Inti Creates Co., Ltd.\r\nArrangement: TAITO CORPORATION\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0078	Opening Stage
bgm_author_0078	Arrangement Supervisor: Yusuke Takahama
bgm_copyright_0078	Composition: CAPCOM CO., LTD.\r\nArrangement: TARGET ENTERTAINMENT INC.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0079	Galaga Medley
bgm_author_0079	Arrangement Supervisor: Yusuke Takahama
bgm_copyright_0079	Composition: BANDAI NAMCO Entertainment Inc.\r\nArrangement: TARGET ENTERTAINMENT INC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0080	Mappy Medley
bgm_author_0080	Arrangement Supervisor: Masafumi Takada
bgm_copyright_0080	Composition: BANDAI NAMCO Entertainment Inc.\r\nArrangement: Sound Prestige LLC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0081	Area 1 - Dragon Spirit
bgm_author_0081	Arrangement: Maki Kirioka
bgm_copyright_0081	Composition: BANDAI NAMCO Entertainment Inc.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0082	Guile Stage
bgm_author_0082	Arrangement Supervisor: Yuzo Koshiro
bgm_copyright_0082	Composition: CAPCOM CO., LTD.\r\nArrangement: Ancient-corp.\r\nComposition and arrangement Copyright CAPCOM U.S.A., INC.
bgm_title_0083	Vega Stage
bgm_author_0083	Arrangement Supervisor: Yoko Shimomura
bgm_copyright_0083	Composition: CAPCOM CO., LTD.\r\nArrangement: Midiplex Co., Ltd.\r\nComposition and arrangement Copyright CAPCOM U.S.A., INC.
bgm_title_0084	Vampire Killer
bgm_author_0084	Arrangement Supervisor: Shinji Ushiroda
bgm_copyright_0084	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: Nintendo\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0085	Starker / Wicked Child
bgm_author_0085	Arrangement Supervisor: Hideki Sakamoto
bgm_copyright_0085	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: noisycroak Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0086	Out of Time
bgm_author_0086	Arrangement Supervisor: Yasushi Asada
bgm_copyright_0086	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: noisycroak Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0087	Bloody Tears / Monster Dance
bgm_author_0087	Arrangement Supervisor: Michiko Naruke
bgm_copyright_0087	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: Naru2 Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0088	Cross Your Heart
bgm_author_0088	Arrangement Supervisor: Takeshi Kuramochi
bgm_copyright_0088	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: INSPION Inc.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0089	Beginning
bgm_author_0089	Arrangement: Kenji Ito
bgm_copyright_0089	Composition: Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0090	Aquarius
bgm_author_0090	Arrangement Supervisor: Yoshito Sekigawa
bgm_copyright_0090	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: INTELLIGENT SYSTEMS\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0091	Divine Bloodlines
bgm_author_0091	Arrangement Supervisor: Yasushi Asada
bgm_copyright_0091	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: noisycroak Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0092	Iron-Blue Intention
bgm_author_0092	Arrangement: Manami Kiyota
bgm_copyright_0092	Composition: Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0093	Dance of Gold
bgm_author_0093	Arrangement Supervisor: Masami Ueda
bgm_copyright_0093	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: PlatinumGames Inc.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0094	Lost Painting
bgm_author_0094	Arrangement Supervisor: Tetsuya Shibata
bgm_copyright_0094	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: Unique Note Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0095	Awake
bgm_author_0095	Arrangement Supervisor: Yoshito Sekigawa
bgm_copyright_0095	Composition: Konami Digital Entertainment Co., Ltd.\r\nArrangement: INTELLIGENT SYSTEMS\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0096	Lament of Innocence
bgm_author_0096	Arrangement: ACE (TOMOri Kudo / CHiCO)
bgm_copyright_0096	Composition: Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0097	Duck Hunt Medley
bgm_author_0097	Arrangement: Maki Kirioka
bgm_copyright_0097	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0098	Wrecking Crew Medley
bgm_author_0098	Arrangement Supervisor: Tetsuya Shibata
bgm_copyright_0098	Composition: Nintendo\r\nArrangement: Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0099	Yūyūki Medley
bgm_author_0099	Arrangement: Yuka Tsujiyoko
bgm_copyright_0099	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0100	Light Plane
bgm_author_0100	Arrangement: Noriyuki Iwadare
bgm_copyright_0100	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0101	Electroplankton
bgm_author_0101	Arrangement: Noriyuki Iwadare
bgm_copyright_0101	Composition: Nintendo\r\nComposition Copyright Toshio Iwai / Nintendo\r\nArrangement Copyright Nintendo\r\n
bgm_title_0102	Bathtime Theme
bgm_author_0102	Arrangement: Maki Kirioka
bgm_copyright_0102	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0103	Afternoon on the Island
bgm_author_0103	Arrangement Supervisor: Masafumi Takada
bgm_copyright_0103	Composition: Nintendo\r\nArrangement: Sound Prestige LLC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0104	Find Mii / Find Mii II Medley
bgm_author_0104	Arrangement Supervisor: Ryo Nagamatsu
bgm_copyright_0104	Composition: Nintendo\r\nArrangement: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0105	Title Theme - Wii Sports
bgm_author_0105	Arrangement Supervisor: Keiki Kobayashi
bgm_copyright_0105	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0106	Title Theme - Wii Sports Club
bgm_author_0106	Arrangement Supervisor: Nobuko Toda
bgm_copyright_0106	Composition: TRI-CRESCENDO Inc. / Nintendo\r\nArrangement: FILM SCORE LLC\r\nComposition and arrangement Copyright Nintendo
bgm_title_0107	Trouble Brewing II
bgm_author_0107	Arrangement Supervisor: Yoshito Sekigawa
bgm_copyright_0107	Composition: INTELLIGENT SYSTEMS\r\nArrangement: INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0108	Noisy Notebook
bgm_author_0108	Arrangement: Maki Kirioka
bgm_copyright_0108	Composition: Calum Bowen\r\nComposition and arrangement Copyright Nintendo
bgm_title_0109	How to Play - Super Smash Bros. Melee
bgm_author_0109	Arrangement: Motoi Sakuraba
bgm_copyright_0109	Composition: HAL Laboratory, Inc.\r\nComposition Copyright Nintendo / HAL Laboratory, Inc.\r\nArrangement Copyright Nintendo
bgm_title_0120	Menu
bgm_title_0121	Battlefield
bgm_title_0122	Final Destination
bgm_title_0131	Title Theme - The Legend of Zelda
bgm_author_0131	Arrangement Supervisor: Shogo Sakai
