msg_bgm+zh_cn.msbt
bgm_arrange	改编
bgm_copyright_0058	作曲：Nintendo\r\n编曲：Ancient-corp.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0059	Bomb Rush Blush
bgm_author_0059	编曲负责人：Tomoya Ohtani [大谷 智哉]
bgm_copyright_0059	作曲：Nintendo\r\n编曲：SEGA Games Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0060	Theme of Solid Snake
bgm_author_0060	编曲负责人：Masami Ueda [上田 雅美]
bgm_copyright_0060	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：PlatinumGames Inc.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0061	Snake Eater
bgm_author_0061	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_0061	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0062	Guts Man Stage
bgm_author_0062	编曲：ACE（TOMOri Kudo / CHiCO） [ACE（工藤ともり / CHiCO）]
bgm_copyright_0062	作曲：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0063	Ice Man Stage
bgm_author_0063	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_0063	作曲：CAPCOM CO., LTD.\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0064	Bomb Man Stage
bgm_author_0064	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_0064	作曲：CAPCOM CO., LTD.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0065	Fire Man Stage
bgm_author_0065	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_0065	作曲：CAPCOM CO., LTD.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0066	Metal Man Stage
bgm_author_0066	编曲负责人：Yusuke Takahama [高濱 祐輔]
bgm_copyright_0066	作曲：CAPCOM CO., LTD.\r\n编曲：TARGET ENTERTAINMENT INC.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0067	Crash Man Stage
bgm_author_0067	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_0067	作曲：CAPCOM CO., LTD.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0068	Flash Man Stage
bgm_author_0068	编曲负责人：Keiichi Okabe [岡部 啓一]
bgm_copyright_0068	作曲：CAPCOM CO., LTD.\r\n编曲：MONACA\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0069	Wood Man Stage
bgm_author_0069	编曲：Motoi Sakuraba [桜庭 統]
bgm_copyright_0069	作曲：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0070	Hard Man Stage
bgm_author_0070	编曲：Shota Kageyama [景山 将太]
bgm_copyright_0070	作曲：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0071	Top Man Stage
bgm_author_0071	编曲：Noriyuki Iwadare [岩垂 徳行]
bgm_copyright_0071	作曲：CAPCOM CO., LTD.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0072	Snake Man Stage
bgm_author_0072	编曲负责人：Hideki Sakamoto [坂本 英城]
bgm_copyright_0072	作曲：CAPCOM CO., LTD.\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0073	Mega Man 4 Medley
bgm_author_0073	编曲负责人：Jun Senoue [瀬上 純]
bgm_copyright_0073	作曲：CAPCOM CO., LTD.\r\n编曲：SEGA Games Co., Ltd.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0074	Gravity Man Stage
bgm_author_0074	编曲负责人：Yumi Takahashi [高橋 優海]
bgm_copyright_0074	作曲：CAPCOM CO., LTD.\r\n编曲：Nintendo\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0075	Napalm Man Stage
bgm_author_0075	编曲负责人：Naoto Kubo [久保 直人]
bgm_copyright_0075	作曲：CAPCOM CO., LTD.\r\n编曲：Nintendo\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0076	Dark Man Stage
bgm_author_0076	编曲负责人：Hiroki Morishita [森下 弘生]
bgm_copyright_0076	作曲：CAPCOM CO., LTD.\r\n编曲：INTELLIGENT SYSTEMS\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0077	We're Robots (Dr. Wily Stage 2)
bgm_author_0077	编曲负责人：Yu Shimoda (ZUNTATA) [下田 祐 (ZUNTATA)]
bgm_copyright_0077	作曲：Inti Creates Co., Ltd.\r\n编曲：TAITO CORPORATION\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0078	Opening Stage
bgm_author_0078	编曲负责人：Yusuke Takahama [高濱 祐輔]
bgm_copyright_0078	作曲：CAPCOM CO., LTD.\r\n编曲：TARGET ENTERTAINMENT INC.\r\nComposition Copyright CAPCOM CO., LTD.\r\nArrangement Copyright Nintendo
bgm_title_0079	Galaga Medley
bgm_author_0079	编曲负责人：Yusuke Takahama [高濱 祐輔]
bgm_copyright_0079	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：TARGET ENTERTAINMENT INC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0080	Mappy Medley
bgm_author_0080	编曲负责人：Masafumi Takada [高田 雅史]
bgm_copyright_0080	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：Sound Prestige LLC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0081	Area 1 - Dragon Spirit
bgm_author_0081	编曲：Maki Kirioka [桐岡 麻季]
bgm_copyright_0081	作曲：BANDAI NAMCO Entertainment Inc.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_0082	Guile Stage
bgm_author_0082	编曲负责人：Yuzo Koshiro [古代 祐三]
bgm_copyright_0082	作曲：CAPCOM CO., LTD.\r\n编曲：Ancient-corp.\r\nComposition and arrangement Copyright CAPCOM U.S.A., INC.
bgm_title_0083	Vega Stage
bgm_author_0083	编曲负责人：Yoko Shimomura [下村 陽子]
bgm_copyright_0083	作曲：CAPCOM CO., LTD.\r\n编曲：Midiplex Co., Ltd.\r\nComposition and arrangement Copyright CAPCOM U.S.A., INC.
bgm_title_0084	Vampire Killer
bgm_author_0084	编曲负责人：Shinji Ushiroda [後田 信二]
bgm_copyright_0084	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：Nintendo\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0085	Starker / Wicked Child
bgm_author_0085	编曲负责人：Hideki Sakamoto [坂本 英城]
bgm_copyright_0085	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0086	Out of Time
bgm_author_0086	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_0086	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0087	Bloody Tears / Monster Dance
bgm_author_0087	编曲负责人：Michiko Naruke [なるけ みちこ]
bgm_copyright_0087	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：Naru2 Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0088	Cross Your Heart
bgm_author_0088	编曲负责人：Takeshi Kuramochi [倉持 武志]
bgm_copyright_0088	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：INSPION Inc.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0089	Beginning
bgm_author_0089	编曲：Kenji Ito [伊藤 賢治]
bgm_copyright_0089	作曲：Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0090	Aquarius
bgm_author_0090	编曲负责人：Yoshito Sekigawa [関河 義人]
bgm_copyright_0090	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：INTELLIGENT SYSTEMS\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0091	Divine Bloodlines
bgm_author_0091	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_0091	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0092	Iron-Blue Intention
bgm_author_0092	编曲：Manami Kiyota [清田 愛未]
bgm_copyright_0092	作曲：Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0093	Dance of Gold
bgm_author_0093	编曲负责人：Masami Ueda [上田 雅美]
bgm_copyright_0093	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：PlatinumGames Inc.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0094	Lost Painting
bgm_author_0094	编曲负责人：Tetsuya Shibata [柴田 徹也]
bgm_copyright_0094	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：Unique Note Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0095	Awake
bgm_author_0095	编曲负责人：Yoshito Sekigawa [関河 義人]
bgm_copyright_0095	作曲：Konami Digital Entertainment Co., Ltd.\r\n编曲：INTELLIGENT SYSTEMS\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0096	Lament of Innocence
bgm_author_0096	编曲：ACE（TOMOri Kudo / CHiCO） [ACE（工藤ともり / CHiCO）]
bgm_copyright_0096	作曲：Konami Digital Entertainment Co., Ltd.\r\nComposition Copyright Konami Digital Entertainment Co., Ltd.\r\nArrangement Copyright Nintendo
bgm_title_0097	Duck Hunt Medley
bgm_author_0097	编曲：Maki Kirioka [桐岡 麻季]
bgm_copyright_0097	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0098	Wrecking Crew Medley
bgm_author_0098	编曲负责人：Tetsuya Shibata [柴田 徹也]
bgm_copyright_0098	作曲：Nintendo\r\n编曲：Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0099	Yuyuki Medley
bgm_author_0099	编曲：Yuka Tsujiyoko [辻横 由佳]
bgm_copyright_0099	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0100	Light Plane
bgm_author_0100	编曲：Noriyuki Iwadare [岩垂 徳行]
bgm_copyright_0100	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0101	Electroplankton
bgm_author_0101	编曲：Noriyuki Iwadare [岩垂 徳行]
bgm_copyright_0101	作曲：Nintendo\r\nComposition Copyright Toshio Iwai / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0102	Bathtime Theme
bgm_author_0102	编曲：Maki Kirioka [桐岡 麻季]
bgm_copyright_0102	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0103	Afternoon on the Island
bgm_author_0103	编曲负责人：Masafumi Takada [高田 雅史]
bgm_copyright_0103	作曲：Nintendo\r\n编曲：Sound Prestige LLC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0104	Find Mii / Find Mii II Medley
bgm_author_0104	编曲负责人：Ryo Nagamatsu [永松 亮]
bgm_copyright_0104	作曲：Nintendo\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0105	Title Theme - Wii Sports
bgm_author_0105	编曲负责人：Keiki Kobayashi [小林 啓樹]
bgm_copyright_0105	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0106	Title Theme - Wii Sports Club
bgm_author_0106	编曲负责人：Nobuko Toda [戸田 信子]
