msg_bgm+jp_ja.msbt
bgm_arrange	アレンジ
bgm_copyright_0025	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0026	ヨッシー New アイランド : メインテーマ
bgm_author_0026	編曲者：景山 将太
bgm_copyright_0026	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0027	星のカービィ : STAFF ROLL
bgm_author_0027	編曲担当：MASAKI (ZUNTATA)
bgm_copyright_0027	作曲者：(株)ハル研究所\r\n編曲者：(株)タイトー\r\nこの楽曲の作曲に係る著作権は\r\n(株)ハル研究所及び任天堂(株)に帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0028	シティトライアル
bgm_author_0028	編曲者：岩垂 徳行
bgm_copyright_0028	作曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、\r\n(株)ハル研究所及び任天堂(株)に帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0029	決戦！ダイゴ
bgm_author_0029	編曲担当：阿部 壮志
bgm_copyright_0029	作曲者：(株)ゲームフリーク\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0030	戦闘！伝承者ヒガナ
bgm_author_0030	編曲者：景山 将太
bgm_copyright_0030	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0031	戦闘！野生ポケモン {size[5000]}(ポケットモンスター サン・ムーン){size[6400]}
bgm_author_0031	編曲者：川田 宏行
bgm_copyright_0031	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0032	戦闘！トレーナー {size[5000]}(ポケットモンスター サン・ムーン){size[6400]}
bgm_author_0032	編曲担当：浅田 靖
bgm_copyright_0032	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ノイジークローク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0033	戦闘！しまキング・しまクイーン
bgm_author_0033	編曲担当：岩田 恭明
bgm_copyright_0033	作曲者：(株)ゲームフリーク\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0034	戦闘！グラジオ
bgm_author_0034	編曲者：清田 愛未
bgm_copyright_0034	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0035	戦闘！四天王 / 戦闘！ソルガレオ・ルナアーラ
bgm_author_0035	編曲担当：本田 晃弘
bgm_copyright_0035	作曲者：(株)ゲームフリーク\r\n編曲者：(株) Cygames\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0036	頂上決戦！
bgm_author_0036	編曲者：景山 将太
bgm_copyright_0036	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0037	マジカント
bgm_author_0037	編曲者：桜庭 統
bgm_copyright_0037	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0038	フォーサイド
bgm_author_0038	編曲者：桜庭 統
bgm_copyright_0038	作曲者：鈴木 慶一・任天堂(株)\r\nこの楽曲の作曲に係る著作権は、\r\n鈴木 慶一及び任天堂(株)に帰属します。\r\n編曲に係る著作権は任天堂(株)に帰属します。
bgm_title_0039	ファイアーエムブレムのテーマ {size[5000]}(Ver,Heroes){size[6400]}
bgm_author_0039	編曲担当：坂本 英城
bgm_copyright_0039	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0040	この旗の下に
bgm_author_0040	編曲担当：倉持 武志
bgm_copyright_0040	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株) INSPION\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0041	進撃
bgm_author_0041	編曲担当：倉持 武志
bgm_copyright_0041	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株) INSPION\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0042	失意の果て
bgm_author_0042	編曲者：辻横 由佳
bgm_copyright_0042	作曲者：(株)インテリジェントシステムズ\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0043	あの空の向こうに (ロイの旅立ち)
bgm_author_0043	編曲担当：倉持 武志
bgm_copyright_0043	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株) INSPION\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0044	序幕～炎
bgm_author_0044	編曲担当：柴田 徹也
bgm_copyright_0044	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株)ユニークノート\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0045	宿命～炎
bgm_author_0045	編曲担当：本田 晃弘
bgm_copyright_0045	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株) Cygames\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0046	「Ｉ」～為
bgm_author_0046	編曲担当：倉持 武志
bgm_copyright_0046	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株) INSPION\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0047	if～ひとり思う～
bgm_author_0047	編曲担当：甲田 雅人
bgm_copyright_0047	作曲者：(株)インテリジェントシステムズ\r\n編曲者：デザインウェーブ(株)\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0048	ギアアップフォー
bgm_author_0048	編曲担当：森下 弘生
bgm_copyright_0048	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株)インテリジェントシステムズ\r\nこの楽曲の作曲に係る著作権は、\r\n任天堂(株)及び(株)インテリジェントシステムズに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0049	ピクミン : メインテーマ
bgm_author_0049	編曲担当：坂本 英城
bgm_copyright_0049	作曲者：任天堂(株)\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0050	再会の花園
bgm_author_0050	編曲担当：青木 佳乃
bgm_copyright_0050	作曲者：任天堂(株)\r\n編曲者：(株)ユニークノート\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0051	おいでよ どうぶつの森 : タイトル
bgm_author_0051	編曲者：桐岡 麻季
bgm_copyright_0051	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0052	どうぶつの森 : タイトル
bgm_author_0052	編曲者：ACE (工藤ともり / CHiCO)
bgm_copyright_0052	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0053	どうぶつの森 ハッピーホームデザイナー : タイトル
bgm_author_0053	編曲担当：戸高 一生
bgm_copyright_0053	作曲者：任天堂(株)\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0054	Wii Fit : メインメニュー
bgm_author_0054	編曲者：谷岡 久美
bgm_copyright_0054	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0055	トレーニングメニュー {size[5000]}(Wii Fit U){size[6400]}
bgm_author_0055	編曲担当：森下 弘生
bgm_copyright_0055	作曲者：任天堂(株)・(株)ガンバリオン\r\n編曲者：(株)インテリジェントシステムズ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0056	Splattack!
bgm_author_0056	編曲担当：土屋 昇平 (ZUNTATA)
bgm_copyright_0056	作曲者：任天堂(株)\r\n編曲者：(株)タイトー\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0057	Seaskape
bgm_author_0057	編曲者：Hirokazu Tanaka. ex
bgm_copyright_0057	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0058	Now or Never!
bgm_author_0058	編曲担当：古代 祐三
bgm_copyright_0058	作曲者：任天堂(株)\r\n編曲者：(株)エインシャント\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0059	トキメキ☆ボムラッシュ
bgm_author_0059	編曲担当：大谷 智哉
bgm_copyright_0059	作曲者：任天堂(株)\r\n編曲者：(株)セガゲームス\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0060	THEME OF SOLID SNAKE
bgm_author_0060	編曲担当：上田 雅美
bgm_copyright_0060	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：プラチナゲームズ(株)\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は任天堂(株)に帰属します。
bgm_title_0061	Snake Eater
bgm_author_0061	編曲担当：戸田 信子
bgm_copyright_0061	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：FILM SCORE LLC\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は任天堂(株)に帰属します。
bgm_title_0062	GUTSMAN STAGE
bgm_author_0062	編曲者：ACE (工藤ともり / CHiCO)
bgm_copyright_0062	作曲者：(株)カプコン\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0063	ICEMAN STAGE
bgm_author_0063	編曲担当：浅田 靖
bgm_copyright_0063	作曲者：(株)カプコン\r\n編曲者：(株)ノイジークローク\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0064	BOMBMAN STAGE
bgm_author_0064	編曲担当：戸田 信子
bgm_copyright_0064	作曲者：(株)カプコン\r\n編曲者：FILM SCORE LLC\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0065	FIREMAN STAGE
bgm_author_0065	編曲担当：戸田 信子
bgm_copyright_0065	作曲者：(株)カプコン\r\n編曲者：FILM SCORE LLC\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0066	METALMAN STAGE
bgm_author_0066	編曲担当：高濱 祐輔
bgm_copyright_0066	作曲者：(株)カプコン\r\n編曲者：(有)ターゲット・エンタテインメント\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0067	CRASHMAN STAGE
bgm_author_0067	編曲担当：戸田 信子
bgm_copyright_0067	作曲者：(株)カプコン\r\n編曲者：FILM SCORE LLC\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0068	FLASHMAN STAGE
bgm_author_0068	編曲担当：岡部 啓一
bgm_copyright_0068	作曲者：(株)カプコン\r\n編曲者：MONACA\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0069	WOODMAN STAGE
bgm_author_0069	編曲者：桜庭 統
bgm_copyright_0069	作曲者：(株)カプコン\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0070	HARDMAN STAGE
bgm_author_0070	編曲者：景山 将太
bgm_copyright_0070	作曲者：(株)カプコン\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0071	TOPMAN STAGE
bgm_author_0071	編曲者：岩垂 徳行
bgm_copyright_0071	作曲者：(株)カプコン\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0072	SNAKEMAN STAGE
bgm_author_0072	編曲担当：坂本 英城
bgm_copyright_0072	作曲者：(株)カプコン\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0073	ロックマン4 メドレー
bgm_author_0073	編曲担当：瀬上 純
bgm_copyright_0073	作曲者：(株)カプコン\r\n編曲者：(株)セガゲームス\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0074	GRAVITYMAN STAGE
bgm_author_0074	編曲担当：高橋 優海
bgm_copyright_0074	作曲者：(株)カプコン\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0075	NAPALMMAN STAGE
bgm_author_0075	編曲担当：久保 直人
bgm_copyright_0075	作曲者：(株)カプコン\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0076	DARKMAN STAGE
bgm_author_0076	編曲担当：森下 弘生
bgm_copyright_0076	作曲者：(株)カプコン\r\n編曲者：(株)インテリジェントシステムズ\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0077	We're The Robots {size[5000]}(Dr. Wily Stage 2){size[6400]}
bgm_author_0077	編曲担当：下田 祐 (ZUNTATA)
bgm_copyright_0077	作曲者：(株)インティ・クリエイツ\r\n編曲者：(株)タイトー\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0078	OPENING STAGE
bgm_author_0078	編曲担当：高濱 祐輔
bgm_copyright_0078	作曲者：(株)カプコン\r\n編曲者：(有)ターゲット・エンタテインメント\r\nこの楽曲の作曲に係る著作権は、(株)カプコンに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0079	ギャラガ メドレー
bgm_author_0079	編曲担当：高濱 祐輔
bgm_copyright_0079	作曲者：(株)バンダイナムコエンターテインメント\r\n編曲者：(有)ターゲット・エンタテインメント\r\nこの楽曲の作曲に係る著作権は、\r\n(株)バンダイナムコエンターテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0080	マッピー メドレー
bgm_author_0080	編曲担当：高田 雅史
bgm_copyright_0080	作曲者：(株)バンダイナムコエンターテインメント\r\n編曲者：サウンドプレステージ(同)\r\nこの楽曲の作曲に係る著作権は、\r\n(株)バンダイナムコエンターテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0081	エリア1 {size[5000]}(ドラゴンスピリット){size[6400]}
bgm_author_0081	編曲者：桐岡 麻季
bgm_copyright_0081	作曲者：(株)バンダイナムコエンターテインメント\r\nこの楽曲の作曲に係る著作権は、\r\n(株)バンダイナムコエンターテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0082	Guile Stage
bgm_author_0082	編曲担当：古代 祐三
bgm_copyright_0082	作曲者：(株)カプコン\r\n編曲者：(株)エインシャント\r\nこの楽曲の作曲及び編曲に係る著作権は、\r\nCapcom U.S.A., Inc.に帰属します。
bgm_title_0083	Balrog Stage
bgm_author_0083	編曲担当：下村 陽子
bgm_copyright_0083	作曲者：(株)カプコン\r\n編曲者：midiplex\r\nこの楽曲の作曲及び編曲に係る著作権は、\r\nCapcom U.S.A., Inc.に帰属します。
bgm_title_0084	Vampire Killer
bgm_author_0084	編曲担当：後田 信二
bgm_copyright_0084	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0085	Starker / Wicked Child
bgm_author_0085	編曲担当：坂本 英城
bgm_copyright_0085	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0086	Out of Time
bgm_author_0086	編曲担当：浅田 靖
bgm_copyright_0086	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0087	Bloody Tears / Monster Dance
bgm_author_0087	編曲担当：なるけ みちこ
bgm_copyright_0087	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：(有)なるなる社中　\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0088	十字架を胸に
bgm_author_0088	編曲担当：倉持 武志
bgm_copyright_0088	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：(株) INSPION\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0089	Beginning
bgm_author_0089	編曲者：伊藤 賢治
bgm_copyright_0089	作曲者：(株)コナミデジタルエンタテインメント\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0090	Aquarius
bgm_author_0090	編曲担当：関河 義人
bgm_copyright_0090	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：(株)インテリジェントシステムズ\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0091	乾坤の血族
bgm_author_0091	編曲担当：浅田 靖
bgm_copyright_0091	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0092	Iron-Blue Intention
bgm_author_0092	編曲者：清田 愛未
bgm_copyright_0092	作曲者：(株)コナミデジタルエンタテインメント\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0093	黄金の舞曲
bgm_author_0093	編曲担当：上田 雅美
bgm_copyright_0093	作曲者：(株)コナミデジタルエンタテインメント\r\n編曲者：プラチナゲームズ(株)\r\nこの楽曲の作曲に係る著作権は、\r\n(株)コナミデジタルエンタテインメントに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0094	失われた彩画
bgm_author_0094	編曲担当：柴田 徹也
