aaa.msbt
pro_00	Mail call!{b}
stg7_aji_ele_1_01	{[010d|0100000003000000b400000028000000]}First Floor\nSublevel One\nSublevel Two\nCancel
stg7_aji_ele_1_02	{[010d|0200000003000000b400000028000000]}First Floor\nSublevel One\nSublevel Two\nCancel
stg7_aji_ele_2_00	{[010d|0000000003000000b400000028000000]}Sublevel Two\nSublevel Three\nSublevel Four\nCancel
stg7_aji_ele_2_01	{[010d|0100000003000000b400000028000000]}Sublevel Two\nSublevel Three\nSublevel Four\nCancel
stg7_aji_ele_2_02	{[010d|0200000003000000b400000028000000]}Sublevel Two\nSublevel Three\nSublevel Four\nCancel
stg7_aji_00_00	Gears Under Repair{b}
stg7_aji_03_01_kur	It looks like something will fit in\nthat indentation.
stg7_aji_03_01_nok	I guess something is supposed to fit\nin that indentation...right?
stg7_aji_03_01_win	Well, well! It seems like something\nmight fit in that indentation...
stg7_aji_03_01_yos	Looks like something is supposed to\nfit in that indentation!
stg7_aji_03_01_viv	Hmmm...{[0100|64000000]} I think something is supposed\nto fit in that indentation...
stg7_aji_03_01_bom	Aha!{[0100|64000000]} I'd wager something is meant to\nfit in that indentation...
stg7_aji_03_01_chu	Something is supposed to fit in that\nindentation.{[0100|fa000000]} I can just tell.
stg7_aji_03_02_kur	The gears are turning.
stg7_aji_03_02_nok	The gears are turning.
stg7_aji_03_02_win	The gears are turning.
stg7_aji_03_02_yos	The gears are turning.
stg7_aji_03_02_viv	The gears are turning.
stg7_aji_03_02_bom	The gears are turning.
stg7_aji_03_02_chu	The gears are turning.
stg7_aji_00_01	The crane will move left for as long\nas you hold down {color[a1f199ff]}{color[ffffffcc]}.{b}{[0004]}Then the crane will move backward\nfor as long as you hold down {color[92d7ffff]}{color[ffffffcc]}.{b}{[0004]}Use the crane well to get the\nstuff you want!{b}
stg7_aji_03_03	{[0203]}Stop?{[0101]}
stg7_aji_03_04	{[010d|00000000010000009600000028000000]}Yes.\nNo.
stg7_aji_01	Who are you, huh?{b}{[0004]}You came here to get the\nElevator Key so you can access\nthe computer room?{b}{[0004]}Yeah, I thought so.{[0100|fa000000]} Well then, you're\ngonna have to beat me to get it!{b}{[0004]}And if you lose, your life is MINE!{[0100|fa000000]}\nYou hear me? {[0100|fa000000]}MINE!{[0100|fa000000]} So, what\ndo you say?{[0101]}
stg7_aji_87	What?!{[0100|fa000000]} What was that?!{[0100|fa000000]} NOW you\nwant to try?{[0101]}
stg7_aji_02	{[010d|0000000001000000be00000028000000]}Challenge this chump!\nBail out.
stg7_aji_03	{[010d|00000000010000009600000028000000]}Yes.\nNo.
stg7_aji_04	You gutless little WORMS!{[0100|fa000000]} Get out of\nmy sight!{b}
stg7_aji_05	Mmmm hmmm hoo ha ha!{[0100|fa000000]}\nYou're MINE now!{b}
stg7_aji_78	And here we goooooo, folks!{[0100|fa000000]} The main\nevent!{[0100|fa000000]} The 66th Trivia Quiz-Off! {[0100|fa000000]}YAY!{b}{[0101]}
stg7_aji_79	If you get five correct answers to\nthe following questions, then you\nwin, win, WIN!{b}{[0004]}But if you get just three wrong\nanswers, you're toast!{[0100|fa000000]} You don't\nwanna be toast, folks!{b}{[0101]}
stg7_aji_06	{[0101]}Well, what're we waiting for, huh?{[0100|fa000000]}\nHeeeeeeeeeeere we go!{[0100|fa000000]}\nQuestion number one:{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_80	Exactly what's hidden here?
stg7_aji_07	{[010d|00000000ffffffff0401000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_07_1	Security Key
stg7_aji_07_2	Monkey
stg7_aji_07_3	Elevator Key
stg7_aji_07_4	Pretty Lucky
stg7_aji_08	{[0101]}Now, question number two!{b}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_81	What's the name of the girl in\nPetalburg who's waiting patiently\nfor Koops's return?
stg7_aji_09	{[010d|00000000ffffffffaa00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_09_1	Petuni
stg7_aji_09_2	Marilyn
stg7_aji_09_3	Flavio
stg7_aji_09_4	Koopie Koo
stg7_aji_10	{[0101]}Now, question three!{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_82	Goomba, Lava Bubble, Buzzy\nBeetle, and Boo.{[0100|fa000000]} How many\nfeet do they have? {[0100|fa000000]}Total!
stg7_aji_11	{[010d|00000000ffffffff8700000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_11_1	4 Feet
stg7_aji_11_2	6 Feet
stg7_aji_11_3	8 Feet
stg7_aji_11_4	Defeat
stg7_aji_12	{[0101]}We're on to question four!{b}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_83	It's elementary...{[0100|fa000000]}for non-idiots!{[0100|fa000000]}\nWhere was the one, the only,\nDiamond Star?
stg7_aji_13	{[010d|00000000ffffffff4a01000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_13_1	Glitzville's Arena
stg7_aji_13_2	Cortez's Ship
stg7_aji_13_3	Hooktail's Belly
stg7_aji_13_4	Poshley Sanctum
stg7_aji_14	{[0101]}And now, question five!{b}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_84	What was the name of the very first\nchampion of the Glitz Pit?
stg7_aji_15	{[010d|00000000ffffffff0901000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_15_1	Prince Mush
stg7_aji_15_2	Prince Macho
stg7_aji_15_3	Prince Marsh
stg7_aji_15_4	Prince Matthew
stg7_aji_16	{[0101]}Now for question six!{b}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_85	What did Francesca and Frankie from\nRogueport lose on Keelhaul Key?
stg7_aji_17	{[010d|00000000ffffffff9b00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_17_1	Necklace
stg7_aji_17_2	Bracelet
stg7_aji_17_3	Ring
stg7_aji_17_4	Bling
stg7_aji_18	{[0101]}Heeere's our last question!{b}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_86	What number question is this?
stg7_aji_19	{[010d|00000000ffffffff9600000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_19_1	Question Four
stg7_aji_19_2	Question Five
stg7_aji_19_3	Question Six
stg7_aji_19_4	Question Seven
stg7_aji_20	"{[030e|0000000000000000]}"...{[0004]}You suuuuuuure about that?{[0101]}
stg7_aji_21	{[0300|0000000000000000]}{[0101]}
stg7_aji_22	YAAAAAAAAAAAAAAAARGH!{[0100|fa000000]}\nYou're correct!{[0100|fa000000]} Crud!{b}{[0004]}But that was an easy one...{[0100|fa000000]}\nYou won't do so well on the\nnext one, I GUARANTEE that!{b}{[0004]}Here we go, sucker!{b}
stg7_aji_23	GWAAAAAAAAAAAAAARGH!{[0100|fa000000]}\nYou're correct, you jerk!{b}{[0004]}You've already gotten FOUR correct?{[0100|fa000000]}\nYou're KIDDING me!{b}{[0004]}Well, fine!{[0100|fa000000]} I'm gonna toss an\nextra-hard one your way!{[0100|fa000000]}\nYou happy now, sucker?{b}
stg7_aji_24	NOOOOOOOOOOOOOOOOOOO!{[0100|fa000000]}\nC-{[0100|64000000]}correct!{b}{[0004]}That's five correct answers!{[0100|fa000000]}\nCrud! {[0100|fa000000]}You win!{b}
stg7_aji_25	I'm so mad right now, I can hardly see\nstraight!{[0100|fa000000]} I lose!{[0100|fa000000]} I LOOOOOOOOOSE!{b}{[0004]}Fine! {[0100|fa000000]}But I really hate you!{[0100|fa000000]}\nTake this, you bum!{b}
stg7_aji_26	{[0101]}MMMMM HMMMM HOO HA HA!{[0100|fa000000]}\nWrong, wrong, WRONG!{[0100|fa000000]}{[0101]} You're\ndumber than dumb!{b}{[0004]}Remember, three strikes and\nyou're out, loser!{b}{[0004]}Mmmm hmmm hoo ha ha!{[0100|fa000000]}\nHere's the next one!{b}
stg7_aji_27	Oh, you're so very FOOLISH!{[0100|fa000000]}\nSo wrong it hurts me!{b}{[0004]}One more slip, and you're done for,\njunior nerd!{[0100|fa000000]} Just one more!{b}{[0004]}{[0101]}Mmmm hmmm hoo ha ha!{[0101]}{b}{[0004]}Here we go!{b}
stg7_aji_28	{[0101]}MMMMM HMMMM HOO HA HA!{[0100|fa000000]}\n{[0101]}WROOOOOOOOOOOOOOOONG!{b}{[0004]}You got three wrong answers!{b}
stg7_aji_29	Mmmm hmmm hoo ha ha!{[0100|fa000000]} Time for the\npunishment round, Mr. Wrong!{b}
stg7_aji_30	Win this fight and I'll give you the\nElevator Key anyway...{[0100|fa000000]}but what\nare the chances?{b}{[0004]}Listen, you HAVE no chance, but do\nyour best, 'cause it amuses me!{[0100|fa000000]}\nMmm hoo ha!{b}
stg7_aji_31	No...{[0100|fa000000]} NOOOOOOOOOOOOOO!{[0100|fa000000]}\nYou beat my cute little underlings!{[0100|fa000000]}\nHow COULD you?{b}{[0004]}GRAAAAAAAAAAAAARGH!{b}{[0004]}Jerk!{[0100|fa000000]} Just take this and go!{[0100|fa000000]}\nAnd if you ever wonder, know\nthat I HAAAAAAAAATE YOU!{b}
stg7_aji_32	PBBBBTHBTH!{b}
stg7_aji_32_01	Keep the work space orderly!{b}
stg7_aji_32_02	I have some stuff to do, so I'm not\ncoming in to work tomorrow, and\nthat's that.{b}
stg7_aji_32_03	Notice: new seminar! Topic: "Galloping\nToward an Era of Risk-Free Potions"{b}\nParticipation is NOT voluntary.{b}
stg7_aji_32_04	When leaving the lab, always do your\nall-point inspection in the loudest\nvoice possible!{b}
stg7_aji_33	Today's code is [014029].\nDo NOT forget it!{b}
stg7_aji_33_01	How to turn on the power:\n...[Left, Right, Middle]...\nDo NOT forget!{b}
stg7_aji_40_kur	Ooo, Princess Peach might be\nbehind that door!{[0101]}{b}
stg7_aji_40_nok	Maybe Princess Peach is waiting just\nbeyond that door...{[0101]}{b}
stg7_aji_40_win	Princess Peach could be just\nbeyond that door!{[0101]}{b}
stg7_aji_40_yos	There's no way Princess Peach isn't\nbeyond that door, right?{[0101]}{b}
stg7_aji_40_viv	Princess Peach might be waiting right\nbehind that door...{[0101]}{b}
stg7_aji_40_bom	Princess Peach might be trapped just\nbeyond that door!{[0101]}{b}
stg7_aji_40_chu	Princess Peach could be hidden just\nbeyond that door...{[0101]}{b}
stg7_aji_36	{[0307|00004040]}Buh!{[0100|fa000000]} Buh!{[0100|fa000000]} Buh huh huh!{b}
stg7_aji_37	I've been waiting for you!{[0100|fa000000]}\nOh, MAN, have I been waiting!{[0100|fa000000]}\nAnd I HAAAAAAAATE waiting!{b}
stg7_aji_37_01_kur	You again!{b}{[0004]}You've been waiting, huh?{[0100|fa000000]} Well,\nso what?{[0100|fa000000]} What's that supposed\nto mean?{b}
stg7_aji_37_01_nok	You!{b}{[0004]}You've been...{[0100|fa000000]}um...{[0100|fa000000]}waiting?{[0100|fa000000]}\nWhat does that mean?{b}
stg7_aji_37_01_win	You!{b}{[0004]}You've been waiting, you say?{[0100|fa000000]}\nAnd WHAT does that mean?{b}
stg7_aji_37_01_yos	It's you!{b}{[0004]}You've been waiting, huh?{[0100|fa000000]} What the\nheck is THAT supposed to mean?{b}
stg7_aji_37_01_viv	Crump!{b}{[0004]}You've been waiting for us?{[0100|fa000000]}\nWhat does THAT mean?{b}
stg7_aji_37_01_bom	You!{b}{[0004]}You've been waiting, you say?{[0100|fa000000]}\nWhatever do you mean by THAT,\nyou boor?{b}
stg7_aji_37_01_chu	You!{b}{[0004]}Been waiting, have you?{[0100|fa000000]} And what\ndoes THAT mean?{b}
stg7_aji_37_02	Buh huh! {[0100|fa000000]}I'll TELL you what it\nmeans!{[0100|fa000000]} I used the Crystal Star\nto lure you here...{b}{[0004]}So that I could take all of YOUR\nCrystal Stars! {[0100|fa000000]}How brilliant is\nTHAT, huh?{b}{[0004]}And wanna know the best part?{[0100|fa000000]}\nYour little Peachy princess isn't\neven here anymore!{b}
stg7_aji_38_kur	So Peach totally isn't here!{b}{[0004]}Where did you take her, you\nhuge weasel?!{b}
stg7_aji_38_nok	So Peach isn't here!{b}{[0004]}Where did you take her, you fiend?!{b}
stg7_aji_38_win	So Peach isn't here!{b}{[0004]}Where did you take her, you\nvile thing?!{b}
stg7_aji_38_yos	So Peach isn't here!{b}{[0004]}Where did you take her,\nyou scumbag?!{b}
stg7_aji_38_viv	So Peach isn't here!{b}{[0004]}Where did you take her, Crump?!{b}
stg7_aji_38_bom	So Peach isn't here!{b}{[0004]}Where did you take her, you\nhurly-burler?!{b}
stg7_aji_38_chu	So Peach isn't here!{b}{[0004]}Where did you take her, you\nawful man?!{b}
stg7_aji_39	{[0101]}{[030a|01000000]}BUH! {[0100|fa000000]}BUH!{[0100|fa000000]} BUH! {[0100|fa000000]}BUH!{[0100|fa000000]} BUH!{[030a|00000000]}\n{[0101]}Like I'd tell you the plan!{[0100|fa000000]}\nThat's novice-villain style!{b}{[0004]}No, I won't be doing anything like\nthat. {[0100|fa000000]}Sorry, really, guys...{[0100|fa000000]} So...{[0100|fa000000]}\nReady for showtime?{b}{[0004]}You guys are gonna be the perfect\nworkout for...{[0100|fa000000]}Magnus von Grapple 2.0!{b}
stg7_aji_41	I hope you're up to the challenge...{[0100|fa000000]}\nbecause this thing is raw\nhorsepower, kiddies!{b}
stg7_aji_41_00	Buh! {[0100|fa000000]}Buh!{[0100|fa000000]} Buh huh huh!{b}{[0004]}Yeah, last version was buggy, so we\nmade improvements...{[0100|fa000000]} One...{[0100|fa000000]}two...{[0100|fa000000]}\na DOZEN!{b}{[0004]}Get ready for a whole new way\nto experience pain, you\njunior-varsity losers!{b}
stg7_aji_41_01_kur	Oh, please! {[0100|fa000000]}As if we're not going\nto totally whip you!{[0100|fa000000]} For like, the\ntenth time!{b}
stg7_aji_41_01_nok	YOU'RE the one who's going to be\nhurting!{[0100|fa000000]} No matter how many times\nwe do this!{b}
stg7_aji_41_01_win	Oh, you foolish, foolish man.{[0100|fa000000]} My dear,\nyou KNOW we're just going to beat\nyou again!{b}
stg7_aji_41_01_yos	Aw, man, you know we're just\ngonna spank you again!{[0100|fa000000]} You're\nout of your tree!{b}
stg7_aji_41_01_viv	You're the one who's going to suffer,\nCrump!{[0100|fa000000]} No matter how many times\nwe do this!{b}
stg7_aji_41_01_bom	I say, old boy, I rather think\nYOU'RE going to be the one\ndoing the suffering!{b}
stg7_aji_41_01_chu	Don't kid yourself, dearie!{b}
stg7_aji_41_02	Here it comes, suckers!{b}{[0004]}{[0307|00004040]}Magnus Drill Attack!{b}
stg7_aji_41_03	Buh huh huh!{b}{[0004]}Time to unleash some of the sweet\nspecial features on this bad boy!{b}{[0004]}Oh man, this is gonna be so good...{b}
stg7_aji_41_04	Buh huh huh...{[0100|fa000000]}uh, crud.{[0100|fa000000]} You guys\nshould be little puddles of nothing\nby now...{b}{[0004]}Oh well.{[0100|fa000000]} I've still got some tricks\nup my sleeve!{b}
stg7_aji_41_05	{size[9600]}{[0203]}{[0200]}Buh! {[0100|fa000000]}Buh!{[0100|fa000000]} Buh huh huh!\x0f\x02\0{b}{[0004]}{[0203]}{[0100|fa000000]}{size[6400]}{size[c800]}{[0200]}EAT THIS!\x0f\x02\0{b}{size[6400]}
stg7_aji_41_06	Hurrfff... {[0100|fa000000]}*haaaack*...{b}{[0004]}No... {[0100|fa000000]}How...{[0100|fa000000]} What?{b}{[0004]}My sweet powered-up robot is on\nthe ropes! {[0100|fa000000]}This is wrong!{b}
stg7_aji_41_07	{[0203]}{[0307|00004040]}{[0200]}{size[fa00]}BLAAARGH!{size[6400]}\x0f\x02\0{b}
stg7_aji_42	{[0203]}{[0309|01000000]}{[0307|00004040]}{[0200]}{size[9600]}GROOOOOOODUUUUUUS!{size[6400]}\x0f\x02\0{[0100|ee020000]}
stg7_aji_42_01_kur	Mario!{b}
stg7_aji_42_01_nok	Mario!{b}
stg7_aji_42_01_win	Mario!{b}
stg7_aji_42_01_yos	Gonzales!{b}
stg7_aji_42_01_viv	Mario!{b}
stg7_aji_42_01_bom	Mario!{b}
stg7_aji_42_01_chu	Mario!{b}
stg7_aji_42_02	You got a Crystal Star!{b}{[0004]}Your Star Power is now eight!\nAnd Mario learned the special\nmove Supernova!{b}
stg7_aji_42_03	The last Crystal Star had been\nhidden in the X-Naut hideout\non the moon...{b}{[0004]}But by the time Mario recovered\nit, Peach had already been\ntaken away...{b}{[0004]}Where could Peach be now?{b}{[0004]}And what of the elusive Grodus?{[0100|2c010000]}\nPerhaps he holds the key to the\nremaining puzzle...{b}{[0004]}Mario finally has all seven\nCrystal Stars...{b}{[0004]}Where will they lead him next?{b}
stg7_aji_58	{[0309|01000000]}Thank you...{[0100|ee020000]}for...{[0100|fa000000]}me...{b}
stg7_aji_46_kur	Where ARE we?{b}
stg7_aji_46_nok	Ummm... {[0100|fa000000]}Where are we?{b}
stg7_aji_46_win	Oh my, where are we?{b}
stg7_aji_46_yos	Where the heck are we?{b}
stg7_aji_46_viv	Where are we?{b}
stg7_aji_46_bom	Where are we now, hm?{b}
stg7_aji_46_chu	Where are we now?{b}
stg7_aji_47	You...{[0100|fa000000]}are Mario...{[0100|fa000000]}are...{[0100|fa000000]}you not?{b}
stg7_aji_48	It...{[0100|fa000000]}is pleasant to meet you...{b}{[0004]}I...{[0100|fa000000]}am the main computer of this\nfortress...{[0100|fa000000]} I am TEC.{b}{[0004]}I must tell you{[0100|fa000000]} something...{[0100|fa000000]} That is\nwhy...{[0100|fa000000]}I brought you to this place...{b}{[0004]}Princess {[0100|fa000000]}P...{[0100|fa000000]}Peach..............................{b}
stg7_aji_49	I{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}am so s{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}sorry.{b}{[0004]}Most of my data was er{[0309|01000000]}...{[0309|00000000]}\nerased{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}and my main power\nunit was shut{[0309|01000000]}...{[0309|00000000]}down.{b}{[0004]}Now running {[0100|fa000000]}on backup power\nwith{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}only cached memory{[0309|01000000]}...{[0309|00000000]}{[0100|fa000000]}\ntrying to stay{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}operational.{b}
stg7_aji_50	M{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]} Mario{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]} You know that Peach\nis not here, do you not?{b}
stg7_aji_51	Please save{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}Peach{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}\nPlease{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}please{[0309|01000000]}...{b}{[0004]}{[0309|00000000]}Princess Peach{[0309|01000000]}...{[0309|00000000]}is{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}with Grodus{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}\nheading to the{[0309|01000000]}...{[0100|fa000000]}{[0309|00000000]}Palace of Shadow{[0309|01000000]}...{[0101]}{b}{[0004]}{[0309|00000000]}I had to{[0309|01000000]}...{[0309|00000000]}tell you{[0100|fa000000]} that{[0309|01000000]}...{b}
stg7_aji_52	{[0309|01000000]}But...{[0100|fa000000]}backup...{[0100|fa000000]}power...{[0100|fa000000]}failing...{b}{[0004]}Mario...{[0100|fa000000]} Use...the teleporter room...{[0100|fa000000]}\nto get back {[0100|fa000000]}to...Rogueport.{b}{[0004]}Teleporter room is...{[0100|fa000000]}on...sublevel...{[0100|fa000000]}\ntwo...of the fortress...{[0100|fa000000]} I will release...{[0100|fa000000]}\nthe room lock.{b}{[0101]}
stg7_aji_53_kur	Peach is in the Palace of Shadow?{b}
stg7_aji_53_nok	Princess Peach is in the\nPalace of Shadow?{b}
stg7_aji_53_win	Peach is in the Palace of Shadow?{b}
stg7_aji_53_yos	The princess is in the\nPalace of Shadow?{b}
stg7_aji_53_viv	Princess Peach is in the\nPalace of Shadow?{b}
stg7_aji_53_bom	Peach is in the Palace of Shadow?{b}
stg7_aji_53_chu	Peach is in the Palace of Shadow?{b}
stg7_aji_54	{[0309|01000000]}Please hurry...{[0100|fa000000]} There is barely\nenough...{[0100|fa000000]}power left...{[0100|fa000000]}to activate\nthe teleporter...{b}{[0004]}.........................................................{b}{[0004]}{[0101]}I will...{[0100|f4010000]}cease all AI functions...{[0100|fa000000]}to send\npower to...{[0100|fa000000]}the teleporter...{[0100|fa000000]}for you.{b}
stg7_aji_55_kur	But...what'll happen to you?{b}
stg7_aji_55_nok	But...what'll happen to you?{b}
stg7_aji_55_win	But...what will happen to you?{b}
stg7_aji_55_yos	But...what'll happen to you?{b}
stg7_aji_55_viv	But...what'll happen to you?{b}
stg7_aji_55_bom	But...what will happen to you?{b}
stg7_aji_55_chu	But...what'll happen to you?{b}
