aaa.msbt
pro_00	有您的信～
stg7_aji_01	你是谁？{[0004]}想必你是为去地下４层的\n电梯钥匙卡而来的吧。{[0004]}想拿钥匙卡的话，\n就和本大爷一决胜负，并赢过本大爷吧！{[0004]}当然，如果你输了，\n可要当心小命不保。{[0100|fa000000]}\n好了，你要怎么办！？{[0101]}
stg7_aji_87	什么！？{[0100|fa000000]}\n你真的要和本大爷一决胜负吗？{[0101]}
stg7_aji_02	{[010d|0000000001000000be00000028000000]}一决胜负\n放弃
stg7_aji_03	{[010d|00000000010000009600000028000000]}是\n否
stg7_aji_04	哼，没骨气！{[0100|fa000000]}\n滚回家去吧！
stg7_aji_05	哼！{[0100|fa000000]}\n想逃也没门了！
stg7_aji_78	要开始了——！{[0100|fa000000]}\n大家翘首以盼的{[0100|fa000000]}\n第６６届紧张刺激问答大赛～！{b}{[0101]}
stg7_aji_79	接下来本大爷会开始提问，\n你只要答对５道题就能获胜！{[0004]}但要是答错３道题，\n你们就会大难临头。{b}{[0101]}
stg7_aji_06	{[0101]}那么，事不宜迟，第１题！{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_80	藏在这个房间里的是？
stg7_aji_07	{[010d|00000000ffffffff0401000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_07_1	安保装置钥匙卡
stg7_aji_07_2	饭卡
stg7_aji_07_3	电梯钥匙卡
stg7_aji_07_4	偶尔幸运徽章
stg7_aji_08	{[0101]}下面是第２题。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_81	在花花村等待慢慢太郎归来的\n女朋友叫什么名字？
stg7_aji_09	{[010d|00000000ffffffffaa00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_09_1	普尼珂
stg7_aji_09_2	魔里琳
stg7_aji_09_3	马可
stg7_aji_09_4	慢慢琳
stg7_aji_10	{[0101]}接下来是第３题。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_82	栗宝宝、火焰泡泡、钢盔龟、害羞幽灵，\n全部加起来有几条腿？
stg7_aji_11	{[010d|00000000ffffffff8700000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_11_1	４条
stg7_aji_11_2	６条
stg7_aji_11_3	８条
stg7_aji_11_4	井井有条
stg7_aji_12	{[0101]}还早着呢，听第４题。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_83	本大爷就直接问了！{[0100|fa000000]}\n钻石之星在哪里？
stg7_aji_13	{[010d|00000000ffffffff4a01000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_13_1	乌龙街斗技场
stg7_aji_13_2	海盗王科尔特斯的船里
stg7_aji_13_3	轰巴巴的肚子里
stg7_aji_13_4	比亮丽神殿
stg7_aji_14	{[0101]}好了，第５题。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_84	乌龙街斗技场的\n初代冠军名字是？
stg7_aji_15	{[010d|00000000ffffffff0901000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_15_1	蘑力王子
stg7_aji_15_2	口蘑王子
stg7_aji_15_3	松蘑王子
stg7_aji_15_4	蘑菇王子
stg7_aji_16	{[0101]}听好，这是第６题。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_85	住在恶棍镇的蒙妮和彼顿\n在无人岛弄丢了什么？
stg7_aji_17	{[010d|00000000ffffffff9b00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_17_1	项圈
stg7_aji_17_2	手镯
stg7_aji_17_3	戒指
stg7_aji_17_4	脚环
stg7_aji_18	{[0101]}这就是最后一题了。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_86	那么，这是第几题？
stg7_aji_19	{[010d|00000000ffffffff9600000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_19_1	第４题
stg7_aji_19_2	第５题
stg7_aji_19_3	第６题
stg7_aji_19_4	第７题
stg7_aji_20	“{[030e|0000000000000000]}”，\n你真的要选这个吗？{[0101]}
stg7_aji_21	{[0300|0000000000000000]}{[0101]}
stg7_aji_22	呜啊啊啊……{[0100|fa000000]}\n答对了！！{[0004]}看来本大爷出的题有点简单了。{[0100|fa000000]}\n不过接下来可没这么简单。{[0004]}好了，下一题！！
stg7_aji_23	呜啊啊啊……{[0100|fa000000]}\n答对了！！{[0004]}你已经答对４道题了！？{[0004]}接下来本大爷要出一道难于上青天的问题，\n等着瞧吧！
stg7_aji_24	呜啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！{[0100|fa000000]}\n答……{[0100|64000000]}答对了！{[0004]}这下你就答对５道题了！{[0100|fa000000]}\n是你赢了！！
stg7_aji_25	可恶！{[0100|fa000000]}\n本大爷居然会输！{[0004]}没办法，{[0100|fa000000]}\n这个就给你吧！
stg7_aji_26	{[0101]}哼哈哈！！{[0100|fa000000]}\n答错了。{[0100|fa000000]}{[0101]}\n你这蠢货！{[0004]}答错３次，\n就会有恐怖的事情发生哦。{[0004]}哼哈哈……{[0100|fa000000]}\n好了，下一题！
stg7_aji_27	你这笨蛋！{[0100|fa000000]}\n答错了！！{[0004]}再答错１次，\n就会发生恐怖的事情哦！{[0100|fa000000]}\n只剩１次机会了哦～～{[0004]}{[0101]}哼哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！{[0101]}{b}{[0004]}好了，下一题！
stg7_aji_28	{[0101]}哼呵呵呵呵呵呵呵呵！{[0100|fa000000]}{[0101]}\n答错了！{[0004]}总算答错３道题了。
stg7_aji_29	哼哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！{[0100|fa000000]}\n是时候开始惩罚游戏了！
stg7_aji_30	如果你赢了这帮家伙，\n本大爷可以破例把电梯钥匙卡给你。{[0100|fa000000]}\n不过肯定没戏的啦。{[0004]}你就好好努力吧。{[0100|fa000000]}\n哼哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！
stg7_aji_31	怎怎怎……怎么会！{[0100|fa000000]}\n本大爷可爱的小弟们\n居然被你打倒了！！{[0004]}呜啊——！！{[0004]}可恶！{[0100|fa000000]}\n这个给你！
stg7_aji_32	哼！
stg7_aji_32_01	注意卫生，保持清洁！
stg7_aji_32_02	明天有事，请假一天。
stg7_aji_32_03	研讨会举办通知。\n主题：“零风险药物”。\n请各位踊跃参加。
stg7_aji_32_04	离开研究室时，\n需大声进行安全指认呼唤！
stg7_aji_33	本月密码为\n“０１４０２９”。\n“林幺是林二舅”，用谐音记住吧！
stg7_aji_33_01	务必牢记启动方法：\n先“左”后“右”再“中间”！
stg7_aji_40_kur	碧姬公主说不定\n就在那扇门的另一边！{[0101]}{b}
stg7_aji_40_nok	碧姬公主说不定\n就在那扇门的另一边！{[0101]}{b}
stg7_aji_40_win	碧姬说不定\n就在那扇门的另一边哟！{[0101]}{b}
stg7_aji_40_yos	碧姬公主说不定\n就在那扇门的另一边！{[0101]}{b}
stg7_aji_40_viv	碧姬公主说不定\n就在那扇门的另一边呢……{[0101]}{b}
stg7_aji_40_bom	碧姬公主说不定\n就在那扇门的另一边！{[0101]}{b}
stg7_aji_40_chu	碧姬公主说不定\n就在那扇门的另一边呢！{[0101]}{b}
stg7_aji_36	{[0307|00004040]}耶嘿嘿嘿嘿！！
stg7_aji_37	我正等你呢！{[0100|fa000000]}\n不如说，都快等得不耐烦了！
stg7_aji_37_01_kur	啊……那家伙是！！{[0004]}他说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思！？
stg7_aji_37_01_nok	啊……那家伙是！！{[0004]}他说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思！？
stg7_aji_37_01_win	啊……那家伙是！！{[0004]}他说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思哟！？
stg7_aji_37_01_yos	啊……那家伙是！！{[0004]}他说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思！？
stg7_aji_37_01_viv	艾……艾克斯达！！{[0004]}你说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思！？
stg7_aji_37_01_bom	啊……那家伙是！！{[0004]}他说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思！？
stg7_aji_37_01_chu	啊……那家伙是！！{[0004]}他说正在等我们{[0100|64000000]}……{[0100|fa000000]}\n到底是什么意思！？
stg7_aji_37_02	耶嘿！！{[0100|fa000000]}\n用这颗星之石\n把你们引到这里……{[0004]}然后我再把你们\n身上的星之石一网打尽！{[0004]}另外，你们要找的\n碧姬公主已经不在这里了！
stg7_aji_38_kur	碧姬公主不在这里！？{[0004]}你们到底把她带到哪里去了！
stg7_aji_38_nok	碧姬公主不在这里！？{[0004]}你们到底把她带到哪里去了！
stg7_aji_38_win	碧姬不在这里呀！？{[0004]}你们到底把她带到哪里去了哟！
stg7_aji_38_yos	碧姬公主不在这里！？{[0004]}你们到底把她带到哪里去了！
stg7_aji_38_viv	你们到底把她带到哪里去了！
stg7_aji_38_bom	碧姬公主不在这里！？{[0004]}你们到底把她带到哪里去了！
stg7_aji_38_chu	碧姬公主不在这里！？{[0004]}你们到底把她带到哪里去了！
stg7_aji_39	{[0101]}{[030a|01000000]}笨～蛋～{[030a|00000000]}\n我怎么可能告诉你们。{b}{[0101]}{[0004]}好了，{[0100|fa000000]}\n好戏要开场了！{[0004]}就用Ｘ军团机器人２号\n送你们上路吧！！
stg7_aji_41	好了，准备好受死吧！{[0100|fa000000]}\n给你们见识一下这无穷的力量！！
stg7_aji_41_00	耶嘿嘿嘿！！{[0004]}这台Ｘ军团机器人２号\n可跟以前大不一样了哦！{[0004]}好好瞧瞧\n这大幅提升的实力！
stg7_aji_41_01_kur	不管来几次都一样！{[0100|fa000000]}\n我们会轻松把你击败！
stg7_aji_41_01_nok	不管来几次都一样！{[0100|fa000000]}\n我们会把你击败的！
stg7_aji_41_01_win	不管来几次都一样哟！{[0100|fa000000]}\n看我把你整个吹飞哟！
stg7_aji_41_01_yos	哼！{[0100|fa000000]}\n看我一口把你吞掉！
stg7_aji_41_01_viv	哼！{[0100|fa000000]}\n看我一下子把你收拾掉！
stg7_aji_41_01_bom	哼！{[0100|fa000000]}\n能做得到就尽管试试吧！
stg7_aji_41_01_chu	你不是我们的对手！
stg7_aji_41_02	接招吧！{[0004]}{[0307|00004040]}Ｘ钻头攻击！！
stg7_aji_41_03	耶嘿嘿嘿！{[0004]}是时候让你们见识一下\n这家伙的必杀技了！{[0004]}我按。
stg7_aji_41_04	唔耶！{[0100|fa000000]}\n没想到这台Ｘ军团机器人２号\n居然落了下风……{[0004]}既然如此，就让你们见识一下\n压箱底的必杀技！！
stg7_aji_41_05	{[0203]}{[0200]}{size[9600]}哇哈哈哈！！{size[6400]}\x0f\x02\0{[0004]}{[0203]}{[0100|fa000000]}{[0200]}{size[c800]}尝尝这招～！！{size[6400]}\x0f\x02\0
stg7_aji_41_06	噫噫噫。{[0004]}怎……怎么会这样……{[0004]}已经得到大幅强化的\nＸ军团机器人２号好像\n陷入了巨大的危机！！
stg7_aji_41_07	{[0203]}{[0307|00004040]}{[0200]}{size[fa00]}耶嘿～！！{size[6400]}\x0f\x02\0
stg7_aji_42	{[0203]}{[0309|01000000]}{[0307|00004040]}{[0200]}{size[9600]}艾克斯戈夫大人～～～！！！！{size[6400]}\x0f\x02\0{[0100|ee020000]}
stg7_aji_42_01_kur	马力欧！
stg7_aji_42_01_nok	马力欧！
stg7_aji_42_01_win	马力欧！
stg7_aji_42_01_yos	冈萨雷兹！
stg7_aji_42_01_viv	马力欧！
stg7_aji_42_01_bom	马力欧！
stg7_aji_42_01_chu	马力欧！
stg7_aji_42_02	获得了星之石！{[0004]}星之力量提升为“８”！\n此外，马力欧学会了\n特殊招式“星星斩击”！！
stg7_aji_42_03	最后１颗星之石\n位于Ｘ军团的根据地，\n在遥远的月亮上。{[0004]}但马力欧抵达\n星之石的所在地时，\n碧姬公主已经又被带走了……{[0004]}碧姬公主究竟\n被带去了何方？{[0004]}艾克斯戈夫也不见踪影。{[0100|2c010000]}\n他的手中应该握有\n解开一切谜团的钥匙。{[0004]}而马力欧也终于\n集齐了７颗星之石……{[0004]}星之石究竟会将故事\n导向何方呢……？
stg7_aji_58	{[0309|01000000]}传 达 一 声{[0100|fa000000]} … …{[0100|fa000000]}\n“谢谢你”。
stg7_aji_46_kur	这里是……？
stg7_aji_46_nok	这里是……？
stg7_aji_46_win	这里是……？
stg7_aji_46_yos	这里是……？
stg7_aji_46_viv	这里是……？
stg7_aji_46_bom	这里是……？
stg7_aji_46_chu	这里是……？
stg7_aji_47	你 是 马 力 欧 对 吧 。
stg7_aji_48	初 … … 次 见 面 … …{[0004]}我 是 … …{[0100|64000000]} 这 个 根 据 地 的\n主 电 脑 … …{[0100|fa000000]}\n“ 提 克 ” 。{[0004]}我 有 话{[0100|64000000]} 要 告 诉 你 ，\n才 引 导 你 … … 来 到 这 里 … …{[0004]}碧 … …{[0100|fa000000]} 碧 姬 … … 公 主 … …\n… … … …
stg7_aji_49	十{[0309|01000000]} … …{[0100|fa000000]}\n{[0309|00000000]}十 分 抱{[0309|01000000]} … …{[0100|64000000]}{[0309|00000000]} 歉 。{[0004]}大 部 分 数 据 已{[0309|01000000]} … …{[0309|00000000]} 被 销 毁 。{[0100|64000000]}\n电 源 也 被 切{[0309|01000000]} … …{[0309|00000000]} 断 了 。{[0004]}我 在 依 靠 已 备 份 的{[0100|64000000]} 部 分 数 据\n和 备 用{[0100|64000000]} 电 源{[0309|01000000]} … …{[0309|00000000]} 勉 强 运 作{[0309|01000000]} … …
stg7_aji_50	马{[0309|01000000]} … …{[0100|fa000000]}{[0309|00000000]} 马 力 欧{[0309|01000000]} … …{[0100|fa000000]}\n{[0309|00000000]}你 已 经 知 道 碧 姬 公 主\n不 在 这 里 了 吧{[0309|01000000]} … …
stg7_aji_51	请 救 救{[0309|01000000]} … …{[0100|fa000000]}\n{[0309|00000000]}碧 姬{[0309|01000000]} … …{[0309|00000000]} 公 主 。{[0004]}碧 姬 公 主{[0309|01000000]} … …{[0309|00000000]} 被{[0309|01000000]} … …{[0100|fa000000]}\n{[0309|00000000]}艾 克 斯 戈 夫 大 人 带 去 了 黑 暗 宫 殿{[0309|01000000]} … …{[0101]}{b}{[0004]}{[0309|00000000]}我 想{[0309|01000000]} … …{[0309|00000000]} 告 诉 你 的{[0100|fa000000]}\n就 是 这 件 事{[0309|01000000]} … …
stg7_aji_52	{[0309|01000000]}我 要 … …{[0100|fa000000]}\n没 … …{[0100|64000000]} 电 … … 了 … …{[0004]}马 力 欧 … …{[0100|fa000000]}\n请 立 即 … … 使 用 传 送 装 置 ，{[0100|64000000]}\n返 回{[0100|64000000]} … … 恶 棍 镇 。{[0004]}传 送 装 置 … …{[0100|fa000000]}\n在 地 下 ２ 层 的 … …{[0100|64000000]} 房 间 里 ，{[0100|fa000000]}\n我 已 将 … … 房 门 解 锁 。{b}{[0101]}
stg7_aji_53_kur	碧姬公主在黑暗宫殿……？
stg7_aji_53_nok	碧姬公主在黑暗宫殿……？
stg7_aji_53_win	碧姬在黑暗宫殿……？
stg7_aji_53_yos	碧姬公主在黑暗宫殿……？
stg7_aji_53_viv	碧姬公主在黑暗宫殿……？
stg7_aji_53_bom	碧姬公主在黑暗宫殿……？
stg7_aji_53_chu	碧姬公主在黑暗宫殿……？
stg7_aji_54	{[0309|01000000]}请 抓 紧 时 间 … …{[0100|fa000000]}\n电 量 已 经 … …{[0100|64000000]} 不 足 以\n启 动 传 送 装 置 … … 了 … …{[0004]}… … … …{[0004]}{[0101]}接 下 来 … …{[0100|f4010000]}\n我 会 将 我 的 … … 所 有 电 量 … …\n输 送 给 … … 传 送 装 … …{[0100|64000000]} 置 。
stg7_aji_55_kur	那你会怎么样？
stg7_aji_55_nok	那你会怎么样！？
stg7_aji_55_win	那你会怎么样呀！？
stg7_aji_55_yos	那你会怎么样！？
stg7_aji_55_viv	那你会怎么样呢！？
stg7_aji_55_bom	那你会怎么样！？
stg7_aji_55_chu	那你会怎么样呢！？
stg7_aji_56	{[0309|01000000]}电 量 归 零 后 … …{[0100|64000000]}\n… … 我 … …{[0004]}我 将 会 消 失 ，\n不 复{[0100|64000000]} 存 在 。{[0101]}{b}{[0004]}但 … … 是 ， 只 要 碧 姬 公 主\n… … 能 够 得 救 … …{[0100|64000000]} 我 怎 样 都 好 。{[0004]}{[0101]}因 为 我 在 和 碧 姬 公 主 相 遇 后 … …{[0100|fa000000]}\n知 道 了{[0100|64000000]} 何 为 … … “ 爱 情 ” … …
stg7_aji_57	{[0309|01000000]}请 不 必 … … 顾 虑 我 。{[0100|fa000000]}\n… … 我 是 一 台 电 脑 … …{[0100|fa000000]}\n只 是 … … 一 台 机 器 … …{[0100|64000000]} 罢 了 … …{[0004]}但 是 ， 马 力 欧 … …{[0100|fa000000]}\n请 将 碧 姬 公 主{[0100|64000000]} 拯 救 出 来 … …{[0100|fa000000]}\n… … 拜 托 … …{[0100|64000000]} 你 了 。{[0004]}然 后 ，{[0100|64000000]} 请 向 碧 姬 公 主 … …
stg7_aji_59_kur	{[0100|2c010000]}……我们知道了，提克。
stg7_aji_59_nok	{[0100|2c010000]}……我们知道了，提克。
stg7_aji_59_win	{[0100|2c010000]}……我们知道了哟，提克。
stg7_aji_59_yos	{[0100|2c010000]}……我们知道了，提克。
stg7_aji_59_viv	{[0100|2c010000]}……我们知道了，提克。
stg7_aji_59_bom	{[0100|2c010000]}……我们知道了，提克。
stg7_aji_59_chu	{[0100|2c010000]}……我们知道了，提克。
stg7_aji_60	{[0309|01000000]}好 了 … …{[0100|fa000000]}\n请 尽 快 赶 往\n地 下 ２ 层 的{[0100|64000000]} 传 送 … … 装 置 。{[0004]}马 力 欧 … …{[0100|fa000000]}\n请 将 碧 姬 公 主 … …
stg7_aji_62_kur	马力欧！{[0100|fa000000]}\n为了提克，\n我们也一定要救出碧姬公主！{[0101]}{b}
stg7_aji_62_nok	马力欧！{[0100|fa000000]}\n为了提克，\n我们也一定要救出碧姬公主！{[0101]}{b}
stg7_aji_62_win	马力欧！{[0100|fa000000]}\n为了提克，\n我们也一定要救出碧姬哟！{[0101]}{b}
stg7_aji_62_yos	冈萨雷兹！{[0100|fa000000]}\n为了提克，\n也一定要救出碧姬公主！{[0101]}{b}
stg7_aji_62_viv	马力欧！{[0100|fa000000]}\n为了提克，\n我们也一定要救出碧姬公主！{[0101]}{b}
stg7_aji_62_bom	马力欧！{[0100|fa000000]}\n为了提克，\n也一定要救出碧姬公主！{[0101]}{b}
stg7_aji_62_chu	马力欧！{[0100|fa000000]}\n为了提克，\n我们也一定要救出碧姬公主呀！{[0101]}{b}
stg7_aji_tec_00	马 力 欧 … …{[0100|2c010000]}\n很 高 兴 能 再 见 到 你 。{[0004]}其 实 在 你 离 开 后 ，\n为 防 止 设 施 遭 到 滥 用 ，\n我 把 这 里 炸 毁 了 。{[0004]}当 时 我 和 设 施\n全 都 灰 飞 烟 灭 。{[0004]}{[0100|2c010000]}… … 但 是 某 一 天 ， 我 忽 然 醒 来 ，\n发 现 一 切 都 恢 复 了 原 样 。{[0100|2c010000]}\n没 错 ，{[0100|64000000]} 一 切 。{[0004]}我 完 全 不 清 楚 个 中 缘 由 。{[0110]}{[0100|ee020000]}\x0f\x01\x10\n但 是 … …{[0100|2c010000]}{b}{[0004]}{[0100|fa000000]}在 我 恢 复 意 识 前 一 刻 ，\n仿 佛 看 到 了 耀 眼 的 光 芒 ，\n还 听 到 了 碧 姬 公 主 的 声 音 … …
stg7_aji_tec_01	碧 姬 公 主 还 好 吗 ？{[0100|2c010000]}\n只 要 她 能 得 到 幸 福 ，\n我 也 就 幸 福 了 。{[0004]}我 会 在 这 里 为 你 和 碧 姬 公 主 ，{[0100|2c010000]}\n以 及 全 世 界 所 有 人 的 幸 福 祈 祷 。
stg7_aji_43_kur	总算集齐７颗星之石了！{[0004]}这下就能打开千年之门了。{[0004]}不过……
stg7_aji_43_nok	总算集齐７颗星之石了！{[0004]}这下就能打开千年之门了。{[0004]}不过……
stg7_aji_43_win	总算集齐７颗星之石了呢！{[0004]}这下就能打开千年之门了哟。{[0004]}不过……
