aaa.msbt
pro_00	有信喔～
stg7_aji_01	你要做什麼？{[0004]}你來這裡是想拿\n通往地下4樓的電梯鑰匙卡吧。{[0004]}如果是這樣，那就和本大爺一決勝負，\n並且贏過本大爺吧！{[0004]}當然，要是你輸掉了，\n本大爺可不保證你的生命安全。{[0100|fa000000]}\n說吧，你打算怎麼辦！？{[0101]}
stg7_aji_87	什麼！？{[0100|fa000000]}\n你還是想和本大爺一決勝負嗎？{[0101]}
stg7_aji_02	{[010d|0000000001000000be00000028000000]}一決勝負\n放棄
stg7_aji_03	{[010d|00000000010000009600000028000000]}是\n不是
stg7_aji_04	哼，膽小鬼！{[0100|fa000000]}\n那就滾吧！
stg7_aji_05	哼！{[0100|fa000000]}\n你想逃也逃不掉了！
stg7_aji_78	終於要開始啦～！{[0100|fa000000]}\n讓大家久等了！{[0100|fa000000]}\n第66屆緊張刺激問答大賽～！{b}{[0101]}
stg7_aji_79	在接下來的問題中，\n只要答對5題就算你獲勝！{[0004]}但若是答錯3題，\n將有恐怖的災難降臨喔！{b}{[0101]}
stg7_aji_06	{[0101]}那麼馬上進入第1題！{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_80	請問藏在這個房間裡的東西是什麼？
stg7_aji_07	{[010d|00000000ffffffff0401000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_07_1	保全裝置鑰匙卡
stg7_aji_07_2	生日賀卡
stg7_aji_07_3	電梯鑰匙卡
stg7_aji_07_4	偶爾幸運徽章
stg7_aji_08	{[0101]}接下來是第2題。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_81	請問在花花村等著慢慢太郎回去的\n女朋友叫什麼名字？
stg7_aji_09	{[010d|00000000ffffffffaa00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_09_1	普尼珂
stg7_aji_09_2	魔里琳
stg7_aji_09_3	馬可
stg7_aji_09_4	慢慢琳
stg7_aji_10	{[0101]}再來是第3題。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_82	栗寶寶、火焰泡泡、鋼盔龜、害羞幽靈，\n全部加起來有幾條腿？
stg7_aji_11	{[010d|00000000ffffffff8700000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_11_1	4條
stg7_aji_11_2	6條
stg7_aji_11_3	8條
stg7_aji_11_4	麵條
stg7_aji_12	{[0101]}還早呢，接著是第4題。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_83	一句話！{[0100|fa000000]}\n鑽石之星在哪裡？
stg7_aji_13	{[010d|00000000ffffffff4a01000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_13_1	烏龍街的鬥技場
stg7_aji_13_2	海盜王科爾特斯的船上
stg7_aji_13_3	轟巴巴的肚子裡
stg7_aji_13_4	比亮麗神殿
stg7_aji_14	{[0101]}好了，第5題。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_84	烏龍街鬥技場的初代冠軍叫什麼名字？
stg7_aji_15	{[010d|00000000ffffffff0901000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_15_1	蘑力王子
stg7_aji_15_2	腕力王子
stg7_aji_15_3	蕈菇王子
stg7_aji_15_4	蘑菇王子
stg7_aji_16	{[0101]}那麼接著是第6題。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_85	住在惡棍鎮的蒙妮與彼頓，\n在無人島弄丟了什麼東西？
stg7_aji_17	{[010d|00000000ffffffff9b00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_17_1	頸圈
stg7_aji_17_2	手鐲
stg7_aji_17_3	戒指
stg7_aji_17_4	呼拉圈
stg7_aji_18	{[0101]}這是最後一題。{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_86	請問現在是第幾題？
stg7_aji_19	{[010d|00000000ffffffff9600000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_19_1	第4題
stg7_aji_19_2	第5題
stg7_aji_19_3	第6題
stg7_aji_19_4	第7題
stg7_aji_20	「{[030e|0000000000000000]}」，\n你真的要選這個答案嗎？{[0101]}
stg7_aji_21	{[0300|0000000000000000]}{[0101]}
stg7_aji_22	唔啊啊啊……{[0100|fa000000]}\n你答對了！！{[0004]}看來這問題太簡單了。{[0100|fa000000]}\n接下來不會輕易讓你答對。{[0004]}好，下一題！！
stg7_aji_23	唔啊啊啊……{[0100|fa000000]}\n你答對了！！{[0004]}你已經答對4題了嗎！？{[0004]}接下來我會出超難的問題，\n做好心理準備吧！
stg7_aji_24	唔啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！{[0100|fa000000]}\n答……{[0100|64000000]}答對了！{[0004]}這樣就答對5題了！{[0100|fa000000]}\n是你贏啦！
stg7_aji_25	可惡！{[0100|fa000000]}\n本大爺竟然輸了！{[0004]}沒辦法，{[0100|fa000000]}\n這個就給你吧！
stg7_aji_26	{[0101]}哇哈哈！！{[0100|fa000000]}\n答錯了。{[0100|fa000000]}{[0101]}\n你這笨蛋！{[0004]}只要答錯3次，\n就會遇到可怕的事情喔！{[0004]}哇哈哈……{[0100|fa000000]}\n好，下一題！
stg7_aji_27	答錯啦！{[0100|fa000000]}\n你這個笨蛋！！{[0004]}只要再答錯1次，\n就會發生可怕的事喔！{[0100|fa000000]}\n只剩1次機會囉～～！{[0004]}{[0101]}哇哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！{[0101]}{b}{[0004]}那麼要出下一題啦！
stg7_aji_28	{[0101]}喔呵呵呵呵呵呵呵呵！{[0100|fa000000]}{[0101]}\n答錯啦！{[0004]}你終於答錯3題了。
stg7_aji_29	哇哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！{[0100|fa000000]}\n懲罰遊戲的時間到啦！
stg7_aji_30	如果你能贏過這幫傢伙，\n本大爺可以破例把電梯鑰匙卡給你。{[0100|fa000000]}\n不過你肯定辦不到啦。{[0004]}好好加油吧。{[0100|fa000000]}\n哇哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！
stg7_aji_31	怎怎怎……怎麼會！{[0100|fa000000]}\n本大爺可愛的部下們\n竟然被打倒了！！{[0004]}唔啊——————————————！！{[0004]}真是的！{[0100|fa000000]}\n這個就給你吧！
stg7_aji_32	哼！
stg7_aji_32_01	保持環境整潔！
stg7_aji_32_02	我明天有事要請假來著。
stg7_aji_32_03	研討會舉辦通知\n主題：「零風險藥物」\n請各位踴躍參加。
stg7_aji_32_04	離開研究室時，\n記得大聲執行指認呼喚應答！
stg7_aji_33	這個月的號碼是「014029」，\n「冷一次冷很久」，用諧音來記吧！
stg7_aji_33_01	開啟電源的方法為\n「左」「右」「中間」，\n千萬別忘記！
stg7_aji_40_kur	碧姬公主有可能就在這扇門後面喔！{[0101]}{b}
stg7_aji_40_nok	碧姬公主有可能就在這扇門後面！{[0101]}{b}
stg7_aji_40_win	碧姬可能就在這扇門後面唷！{[0101]}{b}
stg7_aji_40_yos	搞不好碧姬公主就在這扇門後面！{[0101]}{b}
stg7_aji_40_viv	碧姬公主有可能就在這扇門後面……{[0101]}{b}
stg7_aji_40_bom	碧姬公主或許就在這扇門後面！{[0101]}{b}
stg7_aji_40_chu	碧姬公主有可能就在這扇門後面喔！{[0101]}{b}
stg7_aji_36	{[0307|00004040]}耶——嘿嘿嘿嘿——！！
stg7_aji_37	老夫等你們很久囉——！{[0100|fa000000]}\n等到都不耐煩囉——！
stg7_aji_37_01_kur	啊……是那傢伙！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n到底是怎麼回事！？
stg7_aji_37_01_nok	啊……是那傢伙！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n究竟是怎麼回事！？
stg7_aji_37_01_win	啊……是那傢伙！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n到底是怎麼一回事呀！？
stg7_aji_37_01_yos	啊……是那傢伙！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n到底是什麼意思啊！？
stg7_aji_37_01_viv	艾……艾克斯達！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n到底是怎麼回事！？
stg7_aji_37_01_bom	啊……是那傢伙！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n究竟是怎麼回事！？
stg7_aji_37_01_chu	啊……是那傢伙！！{[0004]}居然說等我們……{[0100|64000000]}這……{[0100|fa000000]}\n到底是怎麼回事呢！？
stg7_aji_37_02	耶嘿！！{[0100|fa000000]}\n老夫的戰術就是用這顆星之石\n引誘你過來這裡……{[0004]}然後把你身上的星之石全部搶走！{[0004]}而且你要找的碧姬公主早就不在這裡了！
stg7_aji_38_kur	碧姬公主不在這裡！？{[0004]}你們到底帶他去了哪裡！
stg7_aji_38_nok	碧姬公主不在這裡！？{[0004]}你們究竟把他帶去哪裡了！
stg7_aji_38_win	碧姬不在這裡呀！？{[0004]}你們到底帶他去哪裡了嘛！
stg7_aji_38_yos	碧姬公主不在這裡！？{[0004]}你們到底帶他去哪了！
stg7_aji_38_viv	你們到底帶他去哪裡了！
stg7_aji_38_bom	碧姬公主不在這裡！？{[0004]}你們到底帶他去了哪裡！
stg7_aji_38_chu	碧姬公主不在這裡！？{[0004]}你們究竟帶他去了哪裡呢？
stg7_aji_39	{[0101]}{[030a|01000000]}呆～瓜～{[030a|00000000]}\n才不告訴你們。{b}{[0101]}{[0004]}好了，{[0100|fa000000]}\n表演時間要開始了！{[0004]}老夫要在這裡用X軍團機器人2號\n把你們全部揍扁！！
stg7_aji_41	好了，做好心理準備吧！{[0100|fa000000]}\n讓你們見識一下多到滿出來的力量！！
stg7_aji_41_00	耶嘿嘿嘿！！{[0004]}這台X軍團機器人2號\n跟之前那台相比可是大大大不相同喔！{[0004]}好好見識它強化後的模樣吧！
stg7_aji_41_01_kur	來幾次都一樣！{[0100|fa000000]}\n你就快點被我們打倒吧！
stg7_aji_41_01_nok	來幾次都一樣！{[0100|fa000000]}\n我們會迅速打倒你！
stg7_aji_41_01_win	來幾次都一樣唷！{[0100|fa000000]}\n你等著被我吹跑吧！
stg7_aji_41_01_yos	哼！{[0100|fa000000]}\n像你這種傢伙，我一口就把你吞了！
stg7_aji_41_01_viv	哼！{[0100|fa000000]}\n以你的程度，我們三兩下就搞定了！
stg7_aji_41_01_bom	哼！{[0100|fa000000]}\n有本事就放馬過來！
stg7_aji_41_01_chu	你根本不配當我們的對手！
stg7_aji_41_02	上啊！{[0004]}{[0307|00004040]}X軍團鑽頭攻擊！！
stg7_aji_41_03	耶嘿嘿嘿！{[0004]}是時候讓你們見識這傢伙的必殺招式了！！{[0004]}看老夫輕輕一按。
stg7_aji_41_04	嗚耶！{[0100|fa000000]}\n這台X軍團機器人2號居然占下風……{[0004]}既然如此，就讓你們見識一下\n它隱藏的必殺招式吧！！
stg7_aji_41_05	{[0203]}{[0200]}{size[9600]}哇哈哈哈——！！{size[6400]}\x0f\x02\0{[0004]}{[0203]}{[0100|fa000000]}{[0200]}{size[c800]}接招吧～！{size[6400]}\x0f\x02\0
stg7_aji_41_06	噫噫噫。{[0004]}怎……怎麼會這樣……{[0004]}X軍團機器人2號都強化成這樣了，\n卻面臨千鈞一髮的險境！！
stg7_aji_41_07	{[0203]}{[0307|00004040]}{[0200]}{size[fa00]}耶嘿～！！{size[6400]}\x0f\x02\0
stg7_aji_42	{[0203]}{[0309|01000000]}{[0307|00004040]}{[0200]}{size[9600]}艾克斯戈夫大人～～～！！！！{size[6400]}\x0f\x02\0{[0100|ee020000]}
stg7_aji_42_01_kur	瑪利歐！
stg7_aji_42_01_nok	瑪利歐！
stg7_aji_42_01_win	瑪利歐！
stg7_aji_42_01_yos	岡薩雷茲！
stg7_aji_42_01_viv	瑪利歐！
stg7_aji_42_01_bom	瑪利歐！
stg7_aji_42_01_chu	瑪利歐！
stg7_aji_42_02	獲得星之石了！{[0004]}星之力量提升為「8」！\n另外，瑪利歐學會特殊招式\n「星星斬擊」了！！
stg7_aji_42_03	最後一顆星之石的位置，\n就在位於遙遠月亮上的X軍團的根據地。{[0004]}然而，當瑪利歐找到星之石時，\n碧姬公主早已再次被帶走……{[0004]}碧姬公主究竟消失到哪裡去了？{[0004]}艾克斯戈夫至今尚未現身，{[0100|2c010000]}\n恐怕一切關鍵都掌握在他的手中。{[0004]}而瑪利歐終於集齊7顆星之石……{[0004]}究竟，星之石會將故事帶領到何方呢……？
stg7_aji_58	{[0309|01000000]}請 幫 我 … … {[0100|fa000000]}向 他 說 聲 … …{[0100|fa000000]}\n「謝謝」。
stg7_aji_46_kur	這裡是……？
stg7_aji_46_nok	這裡是……？
stg7_aji_46_win	這裡是……？
stg7_aji_46_yos	這裡是……？
stg7_aji_46_viv	這裡是……？
stg7_aji_46_bom	這裡是……？
stg7_aji_46_chu	這裡是……？
stg7_aji_47	你 就 是 瑪 利 歐 吧 。
stg7_aji_48	你 … … 你 好 … …{[0004]}我 … … {[0100|64000000]}是 這 個 基 地 的 主 控 電 腦 … …{[0100|fa000000]}\n我 叫 「 提 克 」 。{[0004]}我 有 話 想 {[0100|64000000]}對 你 說 ，\n所 以 請 你 … … 來 到 這 裡 … …{[0004]}碧 、 {[0100|fa000000]}碧 姬 … … 公 主 … …\n………………
stg7_aji_49	實 {[0309|01000000]}… …{[0100|fa000000]}\n{[0309|00000000]}實 在 很 {[0309|01000000]}… …{[0100|64000000]}{[0309|00000000]} 抱 歉 。{[0004]}我 的 資 料 幾 乎 都 被 {[0309|01000000]}… …{[0309|00000000]} 刪 除 了 ，{[0100|64000000]}\n電 源 也 被 {[0309|01000000]}… …{[0309|00000000]} 切 斷 了 。{[0004]}我 現 在 是 以 備 份 的 {[0100|64000000]}一 部 分 資 料\n和 備 用 {[0100|64000000]}電 源 {[0309|01000000]}… …{[0309|00000000]} 才 得 以 勉 強 運 作 {[0309|01000000]}… …
stg7_aji_50	瑪 {[0309|01000000]}… …{[0100|fa000000]}{[0309|00000000]} 瑪 利 歐 {[0309|01000000]}… …{[0100|fa000000]}\n{[0309|00000000]}你 已 經 知 道 碧 姬 公 主\n不 在 這 裡 了 吧 {[0309|01000000]}… …
stg7_aji_51	請 你 {[0309|01000000]}… …{[0100|fa000000]}\n{[0309|00000000]}拯 救 {[0309|01000000]}… …{[0309|00000000]} 碧 姬 公 主 。{[0004]}碧 姬 公 主 {[0309|01000000]}… …{[0309|00000000]} 被 {[0309|01000000]}… …{[0100|fa000000]}\n{[0309|00000000]}艾 克 斯 戈 夫 大 人 帶 去 黑 暗 宮 殿 了 {[0309|01000000]}… …{[0101]}{b}{[0004]}{[0309|00000000]}我 {[0309|01000000]}… …{[0309|00000000]} 想 對 你 說 的{[0100|fa000000]}\n就 是 這 件 事 {[0309|01000000]}… …
stg7_aji_52	{[0309|01000000]}我 的 … …{[0100|fa000000]}\n電 力 … …{[0100|64000000]} 快 要 … … 沒 了 … …{[0004]}瑪 利 歐 … …{[0100|fa000000]}\n快 點 … … 使 用 傳 送 裝 置{[0100|64000000]}\n回 到 … …{[0100|64000000]} 惡 棍 鎮 。{[0004]}傳 送 裝 置 就 在 … …{[0100|fa000000]}\n地 下 ２ 樓 的 房 間 … …{[0100|64000000]} 裡 面 。{[0100|fa000000]}\n我 已 經 … … 把 房 門 解 鎖 了 。{b}{[0101]}
stg7_aji_53_kur	碧姬公主被帶去黑暗宮殿了……？
stg7_aji_53_nok	碧姬公主被帶去黑暗宮殿了……？
stg7_aji_53_win	碧姬被帶去黑暗宮殿了……？
stg7_aji_53_yos	碧姬公主被帶去黑暗宮殿了……？
stg7_aji_53_viv	碧姬公主被帶去黑暗宮殿了……？
stg7_aji_53_bom	碧姬公主被帶去黑暗宮殿了……？
stg7_aji_53_chu	碧姬公主被帶去黑暗宮殿了……？
stg7_aji_54	{[0309|01000000]}請 快 一 點 … …{[0100|fa000000]}\n電 力 已 經 … …{[0100|64000000]} 不 足 以\n啟 動 傳 送 裝 置 … … 了 … …{[0004]}……………………{[0004]}{[0101]}我 現 在 … …{[0100|f4010000]}\n就 把 我 所 有 … … 的 電 力\n都 輸 送 … … 給 傳 送 裝 … …{[0100|64000000]} 置。
stg7_aji_55_kur	那你呢？
stg7_aji_55_nok	那你沒有關係嗎！？
stg7_aji_55_win	那你會變怎樣呀！？
stg7_aji_55_yos	那你會不會怎麼樣啊！？
stg7_aji_55_viv	那你會不會怎麼樣！？
stg7_aji_55_bom	你不會有事嗎！？
stg7_aji_55_chu	那你不會有事嗎！？
stg7_aji_56	{[0309|01000000]}一 旦 沒 有 電 力 … …{[0100|64000000]}\n… … 我 … …{[0004]}我 就 會 {[0100|64000000]}消 失 不 見 。{[0101]}{b}{[0004]}但 … … 是 ， 只 要 能\n… … 拯 救 碧 姬 公 主 … …{[0100|64000000]} 這 不 算 什 麼 。{[0004]}{[0101]}因 為 我 與 碧 姬 公 主 相 遇 … …{[0100|fa000000]}\n並 了 解 到 {[0100|64000000]}何 謂 … … 「 戀 愛 」 … …
stg7_aji_57	{[0309|01000000]}請 不 用 … … 在 意 我 。{[0100|fa000000]}\n… … 我 是 一 台 電 腦 … …{[0100|fa000000]}\n不 過 … … 是 個 機 器 … …{[0100|64000000]} 罷 了 … …{[0004]}但 是 ， 瑪 利 歐 … …{[0100|fa000000]}\n請 你 務 必 {[0100|64000000]}拯 救 碧 姬 公 主 … …{[0100|fa000000]}\n… … 拜 託 … …{[0100|64000000]} 你 了 。 {[0004]}並 請 你 {[0100|64000000]}告 訴 碧 姬 公 主 … …
stg7_aji_59_kur	{[0100|2c010000]}提克……我知道了。
stg7_aji_59_nok	{[0100|2c010000]}提克……我知道了。
stg7_aji_59_win	{[0100|2c010000]}提克……我明白了。
stg7_aji_59_yos	{[0100|2c010000]}提克……我了解了。
stg7_aji_59_viv	{[0100|2c010000]}提克……人家知道了。
stg7_aji_59_bom	{[0100|2c010000]}提克……老夫明白了。
stg7_aji_59_chu	{[0100|2c010000]}提克……我知道了。
stg7_aji_60	{[0309|01000000]}好 了 … …{[0100|fa000000]}\n請 快 去 地 下 ２ 樓 的 {[0100|64000000]}傳 送 … … 裝 置 吧 。{[0004]}瑪 利 歐 … …{[0100|fa000000]}\n碧 姬 公 主 就 … …
stg7_aji_62_kur	瑪利歐！{[0100|fa000000]}\n我們一定要拯救碧姬公主！\n這也是為了提克。{[0101]}{b}
stg7_aji_62_nok	瑪利歐！{[0100|fa000000]}\n我們一定要拯救碧姬公主！\n這也是為了提克。{[0101]}{b}
stg7_aji_62_win	瑪利歐！{[0100|fa000000]}\n我們一定要拯救碧姬唷！\n這也是為了提克嘛。{[0101]}{b}
stg7_aji_62_yos	岡薩雷茲！{[0100|fa000000]}\n我們一定要拯救碧姬公主啊！\n這也是為了提克。{[0101]}{b}
stg7_aji_62_viv	瑪利歐！{[0100|fa000000]}\n我們一定要拯救碧姬公主喔！\n這也是為了提克。{[0101]}{b}
stg7_aji_62_bom	瑪利歐！{[0100|fa000000]}\n一定要拯救碧姬公主！\n這也是為了提克。{[0101]}{b}
stg7_aji_62_chu	瑪利歐！{[0100|fa000000]}\n我們一定要拯救碧姬公主！\n這也是為了提克喔。{[0101]}{b}
