aaa.msbt
pro_00	ゆうびんで～す
stg7_aji_45_03_viv	おかしいわ・・・{[0100|fa000000]}\nこれじゃ　かえれないわね{[0004]}とりあえず　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみましょう
stg7_aji_45_03_bom	おかしい・・・{[0100|fa000000]}\nこれでは　かえれないぞ{[0004]}とにかく　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみるとしよう
stg7_aji_45_03_chu	おかしいですわ・・・{[0100|fa000000]}\nこれでは　かえれませんわね{[0004]}とりあえず　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみましょう
stg7_aji_65	{[0203]}エレベーターキーを　{r2[い]}入{/r2}れてください
stg7_aji_66	{[0203]}{r2[い]}行{/r2}き{r2[さき]}先{/r2}を　きめてください{[0101]}
stg7_aji_67	{[0203]}セキュリティキーを　{r2[い]}入{/r2}れてください
stg7_aji_68	{[0203]}パスワードを　{r2[にゅうりょく]}入力{/r2}してください
stg7_aji_69	{[0203]}パスワードが　ちがいます
stg7_aji_70	{[0203]}パスワード　にんしょう
stg7_aji_password	０１４０２９
stg7_aji_73	パスワードは　すでに\nにんしょう　されています
stg7_aji_71	{[0203]}トビラは　ロックされています
stg7_aji_77_kur	セキュリティキーが　いるみたいね
stg7_aji_77_nok	セキュリティキーが　いるみたいですね
stg7_aji_77_win	セキュリティキーが　いるみたいねン
stg7_aji_77_yos	セキュリティキーが　いるみたいだな
stg7_aji_77_viv	セキュリティキーが　いるみたいね
stg7_aji_77_bom	セキュリティキーが　いるみたいだな
stg7_aji_77_chu	セキュリティキーが　いるみたいですわ
stg7_aji_67_01	{[0203]}セキュリティキーが　ちがいます
stg7_aji_74	{[0203]}セキュリティキーが　{r2[はい]}入{/r2}っています
stg7_aji_75	{[0203]}げんざい　{r2[しよう]}使用{/r2}できません
stg7_aji_67_02	{[0203]}トビラは　ロックされています
stg7_aji_76_kur	はんのう　しないわね
stg7_aji_76_nok	はんのう　しませんね
stg7_aji_76_win	はんのう　しないわねン
stg7_aji_76_yos	はんのう　しないな
stg7_aji_76_viv	はんのう　しないわね
stg7_aji_76_bom	はんのう　しないな
stg7_aji_76_chu	はんのう　いたしませんね
stg7_aji_ele_1_00	{[010d|0000000003000000b400000028000000]}１{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}１{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}２{r2[かい]}階{/r2}\nやめる
stg7_aji_ele_1_01	{[010d|0100000003000000b400000028000000]}１{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}１{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}２{r2[かい]}階{/r2}\nやめる
stg7_aji_ele_1_02	{[010d|0200000003000000b400000028000000]}１{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}１{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}２{r2[かい]}階{/r2}\nやめる
stg7_aji_ele_2_00	{[010d|0000000003000000b400000028000000]}{r2[ちか]}地下{/r2}２{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}３{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}４{r2[かい]}階{/r2}\nやめる
stg7_aji_ele_2_01	{[010d|0100000003000000b400000028000000]}{r2[ちか]}地下{/r2}２{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}３{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}４{r2[かい]}階{/r2}\nやめる
stg7_aji_ele_2_02	{[010d|0200000003000000b400000028000000]}{r2[ちか]}地下{/r2}２{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}３{r2[かい]}階{/r2}\n{r2[ちか]}地下{/r2}４{r2[かい]}階{/r2}\nやめる
stg7_aji_00_00	しゅうりちゅうにつき\nはぐるまを　はずしています
stg7_aji_03_01_kur	なにかが　はまりそうな\nくぼみが　あるわね
stg7_aji_03_01_nok	なにかが　はまりそうな\nくぼみが　ありますね
stg7_aji_03_01_win	なにかが　はまりそうな\nくぼみが　あるわねン
stg7_aji_03_01_yos	なにかが　はまりそうな\nくぼみが　あるぞ
stg7_aji_03_01_viv	なにかが　はまりそうな\nくぼみが　あるわね
stg7_aji_03_01_bom	なにかが　はまりそうな\nくぼみが　あるぞ
stg7_aji_03_01_chu	なにかが　はまりそうな\nくぼみが　ありますわ
stg7_aji_03_02_kur	はぐるまが　{r2[まわ]}回{/r2}っているわ
stg7_aji_03_02_nok	はぐるまが　{r2[まわ]}回{/r2}っていますね
stg7_aji_03_02_win	はぐるまが　{r2[まわ]}回{/r2}っているわン
stg7_aji_03_02_yos	はぐるまが　{r2[まわ]}回{/r2}っているぜ
stg7_aji_03_02_viv	はぐるまが　{r2[まわ]}回{/r2}っているわ
stg7_aji_03_02_bom	はぐるまが　{r2[まわ]}回{/r2}っているぞ
stg7_aji_03_02_chu	はぐるまが　{r2[まわ]}回{/r2}っていますわ
stg7_aji_00_01	{color[a1f199ff]}{color[ffffffcc]}を　おしている{r2[あいだ]}間{/r2}は\nクレーンが　{r2[ひだり]}左{/r2}へ　{r2[うご]}動{/r2}きます{[0004]}そのあと　{color[92d7ffff]}{color[ffffffcc]}を　おしている{r2[あいだ]}間{/r2}は\nクレーンが　おくへ　{r2[うご]}動{/r2}きます{[0004]}クレーンを　うまく　そうさして\nほしいものを　ゲットしよう！
stg7_aji_03_03	{[0203]}やめますか？{[0101]}
stg7_aji_03_04	{[010d|00000000010000009600000028000000]}は　い\nいいえ
stg7_aji_01	なんだ　オマエは？{[0004]}さては　{r2[ちか]}地下{/r2}４{r2[かい]}階{/r2}に　{r2[い]}行{/r2}くための\nエレベーターキーを　とりに　きたのだな{[0004]}もし　そうなら\nオレサマと　{r2[しょうぶ]}勝負{/r2}して　{r2[か]}勝{/r2}つことだ！{[0004]}もちろん　オマエが　{r2[ま]}負{/r2}けたら\nいのちの　ほしょうは　しかねるがな{[0100|fa000000]}\nさあ　どうする！？{[0101]}
stg7_aji_87	なんだ！？{[0100|fa000000]}\nやはり　オレサマと\n{r2[しょうぶ]}勝負{/r2}したいというのか？{[0101]}
stg7_aji_02	{[010d|0000000001000000be00000028000000]}{r2[しょうぶ]}勝負{/r2}する\nやめる
stg7_aji_03	{[010d|00000000010000009600000028000000]}は　い\nいいえ
stg7_aji_04	フン　こしぬけめ！{[0100|fa000000]}\nならば　かえるがよい！
stg7_aji_05	フン！{[0100|fa000000]}\nもう　にげられんぞ！
stg7_aji_78	やってまいりましたー！{[0100|fa000000]}\nみなさん　おまちかね！{[0100|fa000000]}\nだい６６{r2[かい]}回{/r2}　ドキドキクイズたいかい～！{b}{[0101]}
stg7_aji_79	これから{r2[だ]}出{/r2}す　もんだいに\n５{r2[もん]}問{/r2}　せいかいすれば\nオマエの　{r2[か]}勝{/r2}ちだ！{[0004]}しかし　３{r2[もん]}問{/r2}　まちがえたら\nおそろしい　わざわいが　ふりかかるぞ{b}{[0101]}
stg7_aji_06	{[0101]}では　さっそく　だい１{r2[もん]}問{/r2}！{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_80	この{r2[へや]}部屋{/r2}に　かくされているモノは\nなんだ？
stg7_aji_07	{[010d|00000000ffffffff0401000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_07_1	セキュリティキー
stg7_aji_07_2	モンキー
stg7_aji_07_3	エレベーターキー
stg7_aji_07_4	タマーニラッキー
stg7_aji_08	{[0101]}つづいて　だい２{r2[もん]}問{/r2}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_81	ハナハナ{r2[むら]}村{/r2}で　ノコタロウの　かえりを\nまっている　カノジョの　{r2[なまえ]}名前{/r2}は？
stg7_aji_09	{[010d|00000000ffffffffaa00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_09_1	プニコ
stg7_aji_09_2	マリリン
stg7_aji_09_3	マルコ
stg7_aji_09_4	ノコリン
stg7_aji_10	{[0101]}では　だい３{r2[もん]}問{/r2}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_82	クリボー　バブル　メット　テレサ\n{r2[ぜんぶ]}全部{/r2}　{r2[あ]}合{/r2}わせて　あしの{r2[かず]}数{/r2}は　いくつ？
stg7_aji_11	{[010d|00000000ffffffff8700000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_11_1	４　{r2[ほん]}本{/r2}
stg7_aji_11_2	６　{r2[ぽん]}本{/r2}
stg7_aji_11_3	８　{r2[ぽん]}本{/r2}
stg7_aji_11_4	{r2[に]}日{/r2}　{r2[ほん]}本{/r2}
stg7_aji_12	{[0101]}まだまだ　これから　だい４{r2[もん]}問{/r2}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_83	ズバリ！{[0100|fa000000]}\nダイヤモンドスターは　どこに　あった？
stg7_aji_13	{[010d|00000000ffffffff4a01000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_13_1	ウーロン{r2[がい]}街{/r2}のとうぎ{r2[じょう]}場{/r2}
stg7_aji_13_2	{r2[かいぞくおう]}海賊王{/r2}コルテスの{r2[ふね]}船{/r2}の{r2[なか]}中{/r2}
stg7_aji_13_3	ゴンババのおなかの{r2[なか]}中{/r2}
stg7_aji_13_4	ピカリー{r2[しんでん]}神殿{/r2}
stg7_aji_14	{[0101]}さあ　だい５{r2[もん]}問{/r2}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_84	ウーロン{r2[がい]}街{/r2}の　とうぎ{r2[じょう]}場{/r2}の\n{r2[しょだい]}初代{/r2}　チャンピオンの{r2[なまえ]}名前{/r2}は？
stg7_aji_15	{[010d|00000000ffffffff0901000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_15_1	プリンス・マッシュ
stg7_aji_15_2	プリンス・マッチョ
stg7_aji_15_3	プリンス・マーシュ
stg7_aji_15_4	プリンス・マシュー
stg7_aji_16	{[0101]}さてさて　だい６{r2[もん]}問{/r2}{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_85	ゴロツキタウンにすむ\nモニーと　ピートンが　{r2[むじんとう]}無人島{/r2}で\nなくした{r2[もの]}物{/r2}は　なに？
stg7_aji_17	{[010d|00000000ffffffff9b00000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_17_1	くびわ
stg7_aji_17_2	うでわ
stg7_aji_17_3	ゆびわ
stg7_aji_17_4	はにわ
stg7_aji_18	{[0101]}これが　さいごの　もんだいです{[0004]}{[0300|0000000000000000]}{b}{[0101]}
stg7_aji_86	さて　いま　{r2[なんもん]}何問{/r2}{r2[め]}目{/r2}？
stg7_aji_19	{[010d|00000000ffffffff9600000050000000]}{[0300|0000000000000000]}\n{[0300|0100000000000000]}\n{[0300|0200000000000000]}\n{[0300|0300000000000000]}
stg7_aji_19_1	４{r2[もん]}問{/r2}{r2[め]}目{/r2}
stg7_aji_19_2	５{r2[もん]}問{/r2}{r2[め]}目{/r2}
stg7_aji_19_3	６{r2[もん]}問{/r2}{r2[め]}目{/r2}
stg7_aji_19_4	７{r2[もん]}問{/r2}{r2[め]}目{/r2}
stg7_aji_20	「{[030e|0000000000000000]}」\n{r2[ほんとう]}本当{/r2}に　それで　いいのかな？{[0101]}
stg7_aji_21	{[0300|0000000000000000]}{[0101]}
stg7_aji_22	グガガガっ・・・{[0100|fa000000]}\nせいかいだっ！！{[0004]}もんだいが　かんたんだったようだな{[0100|fa000000]}\nしかし　これからは　そうは　いかぬぞ{[0004]}よし　つぎっ！！
stg7_aji_23	グガガガっ・・・{[0100|fa000000]}\nせいかいだっ！！{[0004]}もう　４{r2[もん]}問{/r2}も\nせいかいしてるのかっ！？{[0004]}つぎは　とびきり　むずかしい\nもんだいに　してやるから　かくごしろ！
stg7_aji_24	グガガガガガガガガガガガガガガガっ！{[0100|fa000000]}\nせ・・・　{[0100|64000000]}せいかいだっ！{[0004]}これで　５{r2[もん]}問{/r2}　せいかい{[0100|fa000000]}\nオマエの　{r2[か]}勝{/r2}ちだ！
stg7_aji_25	くそう！{[0100|fa000000]}\nオレサマが　{r2[ま]}負{/r2}けてしまうとは！{[0004]}しかたがない{[0100|fa000000]}\nこれを　くれてやるわ！
stg7_aji_26	{[0101]}グガガッ！！{[0100|fa000000]}\nハズレだっ{[0100|fa000000]}{[0101]}\nおろかものめ！{[0004]}３{r2[かい]}回{/r2}　まちがえたら\nおそろしい{r2[め]}目{/r2}に　あうぞ{[0004]}グッハッハ・・・{[0100|fa000000]}\nさあ　つぎだ！
stg7_aji_27	バカめっ！{[0100|fa000000]}\nハズレだっ！！{[0004]}あと１{r2[かい]}回{/r2}　まちがえたら\nおそろしいことが　おこるぞ{[0100|fa000000]}\nあと　たったの　１{r2[かい]}回{/r2}だぞォ～～{[0004]}{[0101]}グガハハハハハハハハハハハハハハハハ！{[0101]}{b}{[0004]}では　つぎに　いくぞ！
stg7_aji_28	{[0101]}グーッフッフッフッフッフッフッフッフ！{[0100|fa000000]}{[0101]}\nハズレだっ！{[0004]}とうとう　３{r2[もん]}問{/r2}　まちがえてしまったな
stg7_aji_29	グガハハハハハハハハハハハハハハハハ！{[0100|fa000000]}\nばつゲームの　{r2[じかん]}時間{/r2}だ！
stg7_aji_30	もし　コイツらに　{r2[か]}勝{/r2}つことが　できたら\nとくべつに　エレベーターキーを　やろう{[0100|fa000000]}\nまあ　ムリに　きまってるがな{[0004]}せいぜい　がんばるが　よいわ{[0100|fa000000]}\nグガハハハハハハハハハハハハハハハハ！
stg7_aji_31	ままま・・・　まさかっ！{[0100|fa000000]}\nオレサマの　かわいい　{r2[こぶん]}子分{/r2}たちが\nやられてしまうとはっ！！{[0004]}グガーーーーーーーーーーーーーーッ！！{[0004]}ええい！{[0100|fa000000]}\nこれを　くれてやるわ！
stg7_aji_32	ふんっ！
stg7_aji_32_01	みの{r2[まわ]}回{/r2}りを　せいけつに　しましょう！
stg7_aji_32_02	あしたは　{r2[ようじ]}用事{/r2}があるので　{r2[やす]}休{/r2}むのである
stg7_aji_32_03	セミナーかいさいの　おしらせ\nテーマ：『リスクのない　クスリとは』\nみなさん　ふるって　ごさんかください
stg7_aji_32_04	けんきゅう{r2[しつ]}室{/r2}を　{r2[で]}出{/r2}るときは\n{r2[おお]}大{/r2}きな{r2[こえ]}声{/r2}で　ゆびさし　てんけん！
stg7_aji_33	{r2[こんげつ]}今月{/r2}の{r2[ばんごう]}番号{/r2}は\n『０　１　４　０　２　９』\n『おいしー　おにく』と　おぼえよう！
stg7_aji_33_01	でんげんの　{r2[い]}入{/r2}れ{r2[かた]}方{/r2}\n『{r2[ひだり]}左{/r2}』　『{r2[みぎ]}右{/r2}』　『まん{r2[なか]}中{/r2}』\nゼッタイ　わすれないように！
stg7_aji_40_kur	その　トビラの　むこうに\nピーチ{r2[ひめ]}姫{/r2}が　いるのかも　しれないわ！{[0101]}{b}
stg7_aji_40_nok	その　トビラの　むこうに\nピーチ{r2[ひめ]}姫{/r2}が　いるのかも　しれません！{[0101]}{b}
stg7_aji_40_win	その　トビラの　むこうに\nピーチちゃんが　いるのかも　しれないわン！{[0101]}{b}
stg7_aji_40_yos	その　トビラの　むこうに\nピーチ{r2[ひめ]}姫{/r2}が　いるのかも　しれないな！{[0101]}{b}
stg7_aji_40_viv	その　トビラの　むこうに\nピーチ{r2[ひめ]}姫{/r2}が　いるのかも　しれないわ・・・{[0101]}{b}
stg7_aji_40_bom	その　トビラの　むこうに\nピーチ{r2[ひめ]}姫{/r2}が　いるのかも　しれない！{[0101]}{b}
stg7_aji_40_chu	その　トビラの　むこうに\nピーチ{r2[ひめ]}姫{/r2}が　いるのかも　しれませんわ！{[0101]}{b}
stg7_aji_36	{[0307|00004040]}げーっへっへっへっへーっ！！
stg7_aji_37	まっておったぞー！{[0100|fa000000]}\nっていうか　まちくたびれたぞー！
stg7_aji_37_01_kur	あ・・・　アイツは！！{[0004]}まっておった・・・　{[0100|64000000]}って{[0100|fa000000]}\nいったい　どういうこと！？
stg7_aji_37_01_nok	あ・・・　アイツは！！{[0004]}まっておった・・・　{[0100|64000000]}って{[0100|fa000000]}\nいったい　どういうことですか！？
stg7_aji_37_01_win	あ・・・　アイツはン！！{[0004]}まっておった・・・　{[0100|64000000]}って{[0100|fa000000]}\nいったい　どういうことなのン！？
stg7_aji_37_01_yos	あ・・・　アイツは！！{[0004]}まっておった・・・　{[0100|64000000]}って{[0100|fa000000]}\nいったい　どういうことだ！？
stg7_aji_37_01_viv	ペ・・・　ペケダー！！{[0004]}まっておった・・・　{[0100|64000000]}って{[0100|fa000000]}\nいったい　どういうこと！？
stg7_aji_37_01_bom	あ・・・　アイツは！！{[0004]}まっておった・・・　{[0100|64000000]}とは{[0100|fa000000]}\nいったい　どういうことだ！？
stg7_aji_37_01_chu	あ・・・　アイツは！！{[0004]}まっておった・・・　{[0100|64000000]}とは{[0100|fa000000]}\nいったい　どういうことですの！？
stg7_aji_37_02	げへっ！！{[0100|fa000000]}\nこのスターストーンで\nオマエを　ここに　おびきよせ・・・{[0004]}オマエの　スターストーンを\nまとめて　いただく　さくせんなのだ！{[0004]}それに　おさがしの　ピーチ{r2[ひめ]}姫{/r2}は\nもう　ここに　おらんわ！
stg7_aji_38_kur	ピーチ{r2[ひめ]}姫{/r2}は　ここに　いない！？{[0004]}いったい　どこに　つれて{r2[い]}行{/r2}ったのよ！
stg7_aji_38_nok	ピーチ{r2[ひめ]}姫{/r2}は　ここに　いない！？{[0004]}いったい　どこに　つれて{r2[い]}行{/r2}ったのですか！
stg7_aji_38_win	ピーチちゃんは　ここに　いないのン！？{[0004]}いったい　どこに　つれて{r2[い]}行{/r2}ったのよン！
stg7_aji_38_yos	ピーチ{r2[ひめ]}姫{/r2}は　ここに　いない！？{[0004]}いったい　どこに　つれて{r2[い]}行{/r2}った！
stg7_aji_38_viv	いったい　どこに　つれて{r2[い]}行{/r2}ったの！
stg7_aji_38_bom	ピーチ{r2[ひめ]}姫{/r2}は　ここに　いない！？{[0004]}いったい　どこに　つれて{r2[い]}行{/r2}った！
stg7_aji_38_chu	ピーチ{r2[ひめ]}姫{/r2}は　ここに　いない！？{[0004]}いったい　どこに　つれて{r2[い]}行{/r2}きましたの？
stg7_aji_39	{[0101]}{[030a|01000000]}あ～ほ～{[030a|00000000]}\nおまえらなどには　おしえぬわ{b}{[0101]}{[0004]}さあ　さあ{[0100|fa000000]}\nショータイムの　はじまりだ！{[0004]}ここで　おまえらを\nバッテンダー・マーク２で\nバッキバキに　やっつけてやるわい！！
stg7_aji_41	さあ　かくごするが　よい！{[0100|fa000000]}\nあふれ{r2[で]}出{/r2}るパワーを　{r2[み]}見{/r2}せてやるぞっ！！
stg7_aji_41_00	げへへへっ！！{[0004]}この　バッテンダー・マーク２は\nこの{r2[まえ]}前{/r2}とは　ひとあじも　ふたあじも\nひゃくあじも　ちがうぞ！{[0004]}この　パワーアップっぷりを\nとくと　{r2[み]}見{/r2}せてくれる！
stg7_aji_41_01_kur	{r2[なんかい]}何回{/r2}　やったって　おなじよ！{[0100|fa000000]}\nサッサと　やっつけさせてもらうわ！
stg7_aji_41_01_nok	なんど　やっても　おなじです！{[0100|fa000000]}\nやっつけさせてもらいます！
stg7_aji_41_01_win	{r2[なんかい]}何回{/r2}　やっても　おなじよン！{[0100|fa000000]}\nアナタなんか　ふっ{r2[と]}飛{/r2}ばしてあげるわン！
stg7_aji_41_01_yos	ふんっ！{[0100|fa000000]}\nおまえなんか　{r2[ひとくち]}一口{/r2}で　のみこんでやる！
stg7_aji_41_01_viv	ふんっ！{[0100|fa000000]}\nあなたなんか　サクっと\nしまつして　あげるわ！
stg7_aji_41_01_bom	ふんっ！{[0100|fa000000]}\nやれるものなら　やってみろ！
stg7_aji_41_01_chu	あなたなど　{r2[あいて]}相手{/r2}では　ありませんわ！
stg7_aji_41_02	いくぞ！{[0004]}{[0307|00004040]}バッテン・ドリルゥ・アターック！！
stg7_aji_41_03	げへへへぇ！{[0004]}そろそろ　コイツの　ひっさつ{r2[わざ]}技{/r2}を\n{r2[み]}見{/r2}せてやるときだな！！{[0004]}それ　ポチッとな
stg7_aji_41_04	ぐげぇっ！{[0100|fa000000]}\nこの　バッテンダー・マーク２が\nおされるとは・・・{[0004]}こうなったら　とっておきの\nひっさつ{r2[わざ]}技{/r2}を　{r2[み]}見{/r2}せてくれよう！！
stg7_aji_41_05	{[0203]}{[0200]}{size[9600]}グワッハッハッハーッ！！{size[6400]}\x0f\x02\0{[0004]}{[0203]}{[0100|fa000000]}{[0200]}{size[c800]}それっ　くらえ～っ！{size[6400]}\x0f\x02\0
stg7_aji_41_06	げげげっ{[0004]}そ・・・　そんな・・・{[0004]}これほど　パワーアップした\nバッテンダー・マーク２が\nかなーり　ピンチじょうたいかもっ！！
stg7_aji_41_07	{[0203]}{[0307|00004040]}{[0200]}{size[fa00]}げへぇ～っ！！{size[6400]}\x0f\x02\0
stg7_aji_42	{[0203]}{[0309|01000000]}{[0307|00004040]}{[0200]}{size[9600]}バツガルフさま～～～っ！！！！{size[6400]}\x0f\x02\0{[0100|ee020000]}
stg7_aji_42_01_kur	マリオ！
stg7_aji_42_01_nok	マリオさん！
stg7_aji_42_01_win	マリオちゃん！
stg7_aji_42_01_yos	ゴンザレス！
stg7_aji_42_01_viv	マリオ！
stg7_aji_42_01_bom	マリオ！
stg7_aji_42_01_chu	マリオ！
stg7_aji_42_02	スターストーンを　ゲットした！{[0004]}スターパワーが　『８』になった！\nさらに　マリオは　スペシャル{r2[わざ]}技{/r2}\n『ズバットスター』を　おぼえた！！
stg7_aji_42_03	さいごの　スターストーンの　ありかは\nはるかなる　{r2[つき]}月{/r2}にある\nメガバッテンのアジトでした{[0004]}しかし　マリオが　スターストーンに\nたどりついたとき　すでに　ピーチ{r2[ひめ]}姫{/r2}は\nふたたび　つれさられた{r2[あと]}後{/r2}・・・{[0004]}はたして　ピーチ{r2[ひめ]}姫{/r2}は\nどこに　きえたのでしょうか？{[0004]}すがたを　{r2[み]}見{/r2}せなかった　バツガルフ{[0100|2c010000]}\nおそらく　カレが　すべての　カギを\nにぎっているはずです{[0004]}そして　ついに　マリオの{r2[て]}手{/r2}に\nあつまった　７つの　スターストーン・・・{[0004]}はたして　スターストーンは　ものがたりを\nどこへ　みちびくのでしょうか・・・？
stg7_aji_58	{[0309|01000000]}『ありがとう』・・・{[0100|fa000000]}ト・・・{[0100|fa000000]}\n{r2[ツタ]}伝{/r2}エテクダサイ
stg7_aji_46_kur	ここは・・・？
stg7_aji_46_nok	ここは・・・？
stg7_aji_46_win	ここは・・・？
stg7_aji_46_yos	ここは・・・？
stg7_aji_46_viv	ここは・・・？
stg7_aji_46_bom	ここは・・・？
