0.msbt
ActionScore_AvoidKouraB	躲避刺刺龟壳！
ActionScore_StrikeItem54	庞大炸弹兵 HIT！
ActionScore_StrikeItem54P	庞大炸弹兵+ HIT！
ActionScore_StrikeItem6	刺刺龟壳 HIT！
ActionScore_StrikeItem6P	刺刺龟壳 HIT！
ActionScore_StrikeItem7	闪电 HIT！
ActionScore_StrikeItem7P	闪电 HIT！
ActionScore_UseItem17	冲刺圆环
ActionScore_UseItem17P	冲刺圆环+
ActionScore_UseItem18	肥皂泡
ActionScore_UseItem18P	肥皂泡+
ActionScore_UseItem4	冲刺蘑菇
ActionScore_UseItem41	爱心
ActionScore_UseItem41P	爱心+
ActionScore_UseItem4P	冲刺蘑菇
BtnCamera00_00000	180°
BtnHatenaBox00_00000	剩余
DLRaceGuide_AutoItem	自动道具
DLRaceGuide_DriftLV1	保持倾斜，就能自动漂移。
DLRaceGuide_Fever	连续发射道具！
DLRaceGuide_Glide	向下滑动为上升，\r\n向上滑动为下降。
DLRaceGuide_HasItem	通过上下滑动分别投掷。
DLRaceGuide_JumpAction	自动做出跳跃动作！
DLRaceGuide_KinokoShortCut	使用冲刺蘑菇提高速度！
DLRaceGuide_ManualDrift	通过左右滑动调整方向盘。
DLRaceGuide_MiniTurbo	利用解除漂移来迷你加速！
DLRaceGuide_TouchUpperDiaplay	推荐点触屏幕下方。
HundleButton_Drift	漂移
HundleButton_Steer	方向盘
NumberOfSuperWin_0	1胜!
NumberOfSuperWin_1	2连胜!!
NumberOfSuperWin_2	3连胜!!!
NumberOfSuperWin_Keep1	保持1胜！
NumberOfSuperWin_Keep2	保持2连胜！
OneHundredRaceRank_001	1st
OneHundredRaceRank_002	2nd
OneHundredRaceRank_003	3rd
OneHundredRaceRank_004	4th
OneHundredRaceRank_005	5th
OneHundredRaceRank_006	6th
OneHundredRaceRank_007	7th
OneHundredRaceRank_008	8th
OneHundredRaceRank_009	9th
OneHundredRaceRank_010	10th
OneHundredRaceRank_011	11th
OneHundredRaceRank_012	12th
OneHundredRaceRank_013	13th
OneHundredRaceRank_014	14th
OneHundredRaceRank_015	15th
OneHundredRaceRank_016	16th
OneHundredRaceRank_017	17th
OneHundredRaceRank_018	18th
OneHundredRaceRank_019	19th
OneHundredRaceRank_020	20th
OneHundredRaceRank_021	21st
OneHundredRaceRank_022	22nd
OneHundredRaceRank_023	23rd
OneHundredRaceRank_024	24th
OneHundredRaceRank_025	25th
OneHundredRaceRank_026	26th
OneHundredRaceRank_027	27th
OneHundredRaceRank_028	28th
OneHundredRaceRank_029	29th
OneHundredRaceRank_030	30th
OneHundredRaceRank_031	31st
OneHundredRaceRank_032	32nd
OneHundredRaceRank_033	33rd
OneHundredRaceRank_034	34th
OneHundredRaceRank_035	35th
OneHundredRaceRank_036	36th
OneHundredRaceRank_037	37th
OneHundredRaceRank_038	38th
OneHundredRaceRank_039	39th
OneHundredRaceRank_040	40th
OneHundredRaceRank_041	41st
OneHundredRaceRank_042	42nd
OneHundredRaceRank_043	43rd
OneHundredRaceRank_044	44th
OneHundredRaceRank_045	45th
OneHundredRaceRank_046	46th
OneHundredRaceRank_047	47th
OneHundredRaceRank_048	48th
OneHundredRaceRank_049	49th
OneHundredRaceRank_050	50th
OneHundredRaceRank_051	51st
OneHundredRaceRank_052	52nd
OneHundredRaceRank_053	53rd
OneHundredRaceRank_054	54th
OneHundredRaceRank_055	55th
OneHundredRaceRank_056	56th
OneHundredRaceRank_057	57th
OneHundredRaceRank_058	58th
OneHundredRaceRank_059	59th
OneHundredRaceRank_060	60th
OneHundredRaceRank_061	61st
OneHundredRaceRank_062	62nd
OneHundredRaceRank_063	63rd
OneHundredRaceRank_064	64th
OneHundredRaceRank_065	65th
OneHundredRaceRank_066	66th
OneHundredRaceRank_067	67th
OneHundredRaceRank_068	68th
OneHundredRaceRank_069	69th
OneHundredRaceRank_070	70th
OneHundredRaceRank_071	71st
OneHundredRaceRank_072	72nd
OneHundredRaceRank_073	73rd
OneHundredRaceRank_074	74th
OneHundredRaceRank_075	75th
OneHundredRaceRank_076	76th
OneHundredRaceRank_077	77th
OneHundredRaceRank_078	78th
OneHundredRaceRank_079	79th
OneHundredRaceRank_080	80th
OneHundredRaceRank_081	81st
OneHundredRaceRank_082	82nd
OneHundredRaceRank_083	83rd
OneHundredRaceRank_084	84th
OneHundredRaceRank_085	85th
OneHundredRaceRank_086	86th
OneHundredRaceRank_087	87th
OneHundredRaceRank_088	88th
OneHundredRaceRank_089	89th
OneHundredRaceRank_090	90th
OneHundredRaceRank_091	91st
OneHundredRaceRank_092	92nd
OneHundredRaceRank_093	93rd
OneHundredRaceRank_094	94th
OneHundredRaceRank_095	95th
OneHundredRaceRank_096	96th
OneHundredRaceRank_097	97th
OneHundredRaceRank_098	98th
OneHundredRaceRank_099	99th
OneHundredRaceRank_100	100th
PauseWindow00_00000	比赛时的画面
PauseWindow00_00001	重新开始
PauseWindow00_00002	放弃
PostEffectType_DOF	轻度散景
PostEffectType_DOF2	重度散景
PostEffectType_Fancy	插画
PostEffectType_Fisheye	鱼眼镜头
PostEffectType_GrayScale	黑白
PostEffectType_None	滤镜 无
PostEffectType_RadialBlur	模糊
PostEffectType_Sepia	怀旧
PostEffectType_Toon	漫画
PvpEntryWinCount_1	已获1胜
PvpEntryWinCount_2	已获2连胜
PvPForceFinish_AllGoal	已得出排名。
PvPForceFinish_TimeDifference	与第1名相差20秒。
PvPRaceNumBelt_1	第1场比赛
PvPRaceNumBelt_10	第10场比赛
PvPRaceNumBelt_11	第11场比赛
PvPRaceNumBelt_2	第2场比赛
PvPRaceNumBelt_3	第3场比赛
PvPRaceNumBelt_4	第4场比赛
PvPRaceNumBelt_5	第5场比赛
PvPRaceNumBelt_6	第6场比赛
PvPRaceNumBelt_7	第7场比赛
PvPRaceNumBelt_8	第8场比赛
PvPRaceNumBelt_9	第9场比赛
PvPRaceNumBelt_Battle_1	第1场对战
PvPRaceNumBelt_Battle_10	第10场对战
PvPRaceNumBelt_Battle_11	第11场对战
PvPRaceNumBelt_Battle_2	第2场对战
PvPRaceNumBelt_Battle_3	第3场对战
PvPRaceNumBelt_Battle_4	第4场对战
PvPRaceNumBelt_Battle_5	第5场对战
PvPRaceNumBelt_Battle_6	第6场对战
PvPRaceNumBelt_Battle_7	第7场对战
PvPRaceNumBelt_Battle_8	第8场对战
PvPRaceNumBelt_Battle_9	第9场对战
PvPRaceNumBelt_Battle_Final	最终对战
PvPRaceNumBelt_Final	最终比赛
PvpResultWinCount_1	1胜！
PvpResultWinCount_2	2连胜!!
PvpResultWinCount_3	3连胜!!!
PvpResultWinCount_Keep1	保持1胜！
PvpResultWinCount_Keep2	保持2连胜！
RaceHudBody01_00000	可以更改操作方法或结束比赛。
TourEndingParade_BananaHitCount	使用香蕉皮击中对手的次数
TourEndingParade_BattleUdemaeRateDeveloped	对战的实力提升了！
TourEndingParade_FirstGoalCourseCount	获得第1名的次数
TourEndingParade_HighestScore	单场比赛的最高得分
TourEndingParade_KouraHitCount	使用龟壳击中对手的次数
TourEndingParade_MakeEnemyCrashCount	让劲敌失控的次数
TourEndingParade_MaxComboCount	最多连击数
TourEndingParade_MostFirstGoalCourse	获得第1名次数最多的赛道
TourEndingParade_MostUsedCourse	参跑次数最多的赛道
TourEndingParade_MostUsedDriverFirstGoalCount	选择频率最高的角色获得第1名的次数
TourEndingParade_SeasonClearedMissionCount	挑战达成数
TourEndingParade_SeasonPlayTotalSec	游玩时间
TourEndingParade_SeasonRankPoint	获得的崇高之星
TourEndingParade_TotalCoinNum	获得的金币
TourEndingParade_TotalScore	巡回赛总得分
TourEndingParade_UdemaeRateAtSeasonStarted	实力提升了！
TourEndingParade_UdemaeRateDeveloped	比赛的实力提升了！
TourEndingParade_UserRankAtSeasonStarted	赛车手级别提升了！
ViewModeBtnBalloon_GoResult	点触进入下一画面
ViewModeBtnBalloon_Off	试着从各种角度环视吧！
1.msbt
BackKeyDisabled	不可使用返回键。
CannotUnlockScore	已处于开放状态。
CantAddMii	无法再添加更多的Mii。
CantAgreeAppEula	请先{color[ffdc00ff]}勾选{color[000000ff]}所有项目，再选择同意。
CantChangeRegion	将应用Nintendo Account的设置。
CantCheckRankingDetail	可以在联赛2以上中确认。
CantRefreshNominatedProducts	每日仅限替换1次。
CantResetTreasureBox	该水管{color[ffdc00ff]}无法重置{color[000000ff]}。
CantSendGreetCoin	每日仅限发送1次。
CantSeparateChange	纵向时无法更改。
CantUseTicketDriver	没有可以使用票券的角色。
CantUseTicketMachine	没有可以使用票券的车辆。
CantUseTicketWing	没有可以使用票券的滑翔翼。
DisableMainMenuTreasureBox	收集崇高之星吧！
DisablePremiumSeasonPass	已在其他设备上购买过，\r\n或OS设置了限制购买。
DisableSpecialOffer	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
DisableTourPass	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
DisableTreasureBox	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
EventShopSoldOut	已交换。
ExistInNominatedProduct	查看一下{color[ffdc00ff]}商店{color[000000ff]}！
ExistInPremiumSeasonPassMember	游玩巡回赛来获得{color[ffdc00ff]}黄金礼物{color[000000ff]}！
ExistInPremiumSeasonPassNonMember	购买{color[ffdc00ff]}黄金通行证{color[000000ff]}来获得黄金礼物！
ExistInSpecialOffer	查看一下{color[ffdc00ff]}商店{color[000000ff]}中的“特殊优惠”！
ExistInTreasure	正在{color[ffdc00ff]}水管{color[000000ff]}中被列为精选！
FriendMax	无法在添加更多的好友。
LeagueShopSoldOut	已交换。
LobbyMatchNotOpenBattle	请等待对战开放。
LockedCc100	{color[ffdc00ff]}赛车手级别2{color[000000ff]}时将开启！
LockedCc150	{color[ffdc00ff]}赛车手级别3{color[000000ff]}时将开启！
LockedCc200	使用{color[ffdc00ff]}黄金通行证{color[000000ff]}开启！
LockedCc200_demonstrate	体验版中无法使用。
MenuButton_Open1Course	{color[ffdc00ff]}通过1条赛道{color[000000ff]}后开启！
MenuButton_Open1Cup	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
MenuButton_Open5Cup	{color[ffdc00ff]}完成5个杯赛{color[000000ff]}后开启！
MenuHud_CoinShop_Disable	现在无法确认。
MenuHud_CoinShop_Disable_demonstrate	体验版中无法使用。
MenuHud_CoinShop_NotOpen	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
MenuHud_SeasonReward_Disable	现在无法确认。
MenuHud_SeasonReward_NotOpen	完成1个杯赛后开启。
MenuHud_StaminaShop_Disable	现在无法确认。
MenuHud_StaminaShop_NotOpen	完成1个杯赛后开启。
MenuHud_UserRank_Disable	现在无法确认。
MenuHud_UserRank_Disable_demonstrate	体验版中无法使用。
MenuHud_VirtualCurrencyShop_Disable	现在无法确认。
MenuHud_VirtualCurrencyShop_Disable_demonstrate	体验版中无法使用。
MenuHud_VirtualCurrencyShop_NotOpen	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
NoCourseRecord	没有记录。
NominatedProductMax	无法继续交换了。
NominatedProductSoldOut	已交换。
NonInnerCharging	由于发生错误无法获取价格，\r\n或OS设置了限制购买。
NoPresent	没有可接收的礼物。
Obtained	已购买。
PickUpShopNominatedProductAllRefreshed	每日限替换3次。
PickUpShopNominatedProductNotExistCandidate	没有可替换的物品。
ProfileNotOpenCupScore	{color[ffdc00ff]}完成3个杯赛{color[000000ff]}后开启！
ProfileNotOpenProfile	未能获取玩家信息。
PromoteCourseByLevelUp	{color[ffdc00ff]}等级提升{color[000000ff]}后赛道升级！
PvPCannotChangeJoinAcceptType	无法中途更改会合方法。
PvPFriendInviteAlreadySent	已邀请。
PvPLobbyIsFull	房间已满员。
PvPNeedMore2Persons	必须有2人以上的成员。
PvPPleaseSelectInviteFriend	请选择好友。
PvPSendFriendRequest	已申请好友。
PvPTooManyFriends	无法再添加更多的好友。
PvPTreasureMaxPurchased	已发射完巡回赛的所有水管。
RankingCupNotOpen	杯赛没有开启。
ReceivedGreetCoin1	已领取问候金币！
ScorePointMax	无法继续强化。
SeasonRewardObtained	已购买。
SeasonRewardPremiumOnly	购买{color[ffdc00ff]}黄金通行证{color[000000ff]}后可以获得更多礼物！
SentGreetCoin	已发送{color[ffdc00ff]}问候金币{color[000000ff]}。
ShopTutorialCoinRushDisable	现在无法确认。
SkillLevelMax	无法继续强化。
SoldOut_Item	已交换。
SoldOut_RealCurrency	已购买。
SoldOut_VirtualCurrency	已交换。
SubMenuButton_Challenge	{color[ffdc00ff]}完成7个杯赛{color[000000ff]}后开启！
SubMenuButton_DriverList	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_FriendList	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_MachineList	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_Multiplay	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_News	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_Ranking	{color[ffdc00ff]}排行榜开放{color[000000ff]}后开启！
SubMenuButton_RankingCupCount	{color[ffdc00ff]}完成3个杯赛{color[000000ff]}后开启！
SubMenuButton_Shop	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_StaminaShop	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_StockWappenList	{color[ffdc00ff]}完成7个杯赛{color[000000ff]}后开启！
SubMenuButton_TicketList	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
SubMenuButton_TourGift	请等待下次巡回赛开幕。
SubMenuButton_WingList	{color[ffdc00ff]}完成1个杯赛{color[000000ff]}后开启！
TeamModeStoicDisable	2队以上时可以更改。
TotalPointChallengeRewardObtained	已获取。
TourPassSoldOut	已经购买过了。
TreasureBoxNotEnough	水管中的物品过少。
TreasureBoxSoldOut	已发射完全部的水管。
TreasureBoxTimeOut	请等待下次巡回赛开幕。
UnlockedLeagueShop	{color[ffdc00ff]}联赛提升{color[000000ff]}后开启！
UnlockedNominatedProduct	{color[ffdc00ff]}赛车手级别提升{color[000000ff]}后开启！
UnOpenedCharacter	未持有。
UnopenedCourse	通过上一个赛道后开启。
UnOpenedParts	未持有。
UserRankMax	赛车手级别已达上限。
WappenEquipped	已经佩戴好了。
WappenNotStock	请从菜单中的{color[ffdc00ff]}礼物{color[000000ff]}\r\n领取别针徽章。
10.msbt
FestivalCoinBonus_TeamWinBonus	队伍胜利奖励
ResultEventRaceBase01_00002	获得的金币数
ResultEventRaceBase01_00003	每天通过比赛最多可以获得300枚金币。\r\n{color[ffdc00ff]}如持有黄金通行证，则每天最多可以获得600枚！{color[000000ff]}
ResultEventRaceBase01_00004	每天通过比赛最多可以获得600枚金币。\r\n通过金币冲冲冲可以获得更多的金币。
ResultEventRaceBase01_Miss	MISS...
ResultNewRecord00_00000	新纪录
ResultRankRaceBase01_00000	终点分数
ResultRankRaceBase01_00001	动作分数
ResultRankRaceBase01_00002	基本分数
ResultRankRaceBase01_00003	分数奖励
ResultRankRaceBase01_00005	至今为止的最佳分数：
ResultRankRaceBase01_00006	巡回赛最佳分数：
ResultRankRaceBase01_00007	分数嘉奖
ResultRankRaceBase01_00008	当在非常擅长的赛道上且为等级2以上时，\r\n可以获得“分数嘉奖”。
ResultRankRaceBase01_00009	终点分数
ResultRankRaceBase01_00029	查看记录
ResultRankRaceBase01_00032	获得的金币数
ResultRankRacePoint00_00000	已达到1天内可成长的上限。\r\n购买黄金通行证，可以继续强化！
ResultRankRacePoint00_00002	距离获得上限还有：
ResultRankRacePoint00_00003	根据cc和排名来增加计量表。\r\n计量表全满后分数便会提升！
ResultRankRacePoint00_00004	已达到1天内可成长的上限。
ResultRankRacePoint00_00005	根据排名来增加计量表。\r\n计量表全满后分数便会提升！
11.msbt
AutoMode_0	{color[ff5000ff]}点触{color[000000ff]}角色，\r\n使其朝向屏幕！
AutoMode_1	使用{color[ff5000ff]}口哨按键{color[000000ff]}\r\n来变换各种队形吧！
AutoMode_2	想要更换聚焦角色时\r\n就点触{color[ff5000ff]}箭头按键{color[000000ff]}！
AutoMode_3	启用{color[ff5000ff]}陀螺仪按键{color[000000ff]}，\r\n试着转动设备看看！
AutoMode_4	使用自动模式游玩\r\n也可以获得\r\n{color[ff5000ff]}崇高之星和金币{color[000000ff]}！
BossKoopa_0	以{color[ff5000ff]}第1名{color[000000ff]}完成比赛！
BossKoopa_1	注意撞到{color[ff5000ff]}巨大的敌人{color[000000ff]}后\r\n便会失控……！
BossKoopa_2	{color[ff5000ff]}cc越高{color[000000ff]}，\r\n对手也就越强！
BossKoopa_0_demonstrate	以{color[ff5000ff]}第1名{color[000000ff]}完成比赛！
BossKoopa_1_demonstrate	注意撞到{color[ff5000ff]}巨大的敌人{color[000000ff]}后\r\n便会失控……！
BossKoopa_2_demonstrate	{color[ff5000ff]}cc越高{color[000000ff]}，\r\n对手也就越强！
ComboAttack_0	为了不让连击断开，\r\n{color[ff5000ff]}连续做出跳跃动作{color[000000ff]}！
ComboAttack_1	连击快要断开时，\r\n使用{color[ff5000ff]}冲刺蘑菇{color[000000ff]}！
ComboAttack_2	{color[ff5000ff]}经过一段时间后{color[000000ff]}，\r\n连击将无法衔接……！
CountBeatKuribo_0	使用{color[ff5000ff]}冲撞\r\n{color[000000ff]}也能击飞栗宝宝！
CountBeatKuribo_1	利用{color[ff5000ff]}爆炸{color[000000ff]}就能将\r\n栗宝宝一网打尽！
CountBeatKuribo_2	使用{color[ff5000ff]}道具{color[000000ff]}\r\n打倒栗宝宝吧！
