0.msbt
ActionScore_AvoidKouraB	Spiny Shell dodged!
ActionScore_HitObjDurationEastereggBig	Hoppity!
ActionScore_HitObjDurationKadomatsu	Happy New Year!
ActionScore_HitObjDurationPumpkin	Trick or treat!
ActionScore_HitObjDurationPumpkinBig	Trick or treat!
ActionScore_HitObjDurationPumpkinFixed	Trick or treat!
ActionScore_HitObjDurationTreeX	Happy Holidays!
ActionScore_HitObjFireBall	Ball of Fire
ActionScore_HitObjFishBone	Fish Bone
ActionScore_HitObjFloat	Floaty
ActionScore_HitObjFuzzy	Fuzzy
ActionScore_HitObjGoat	Goat
ActionScore_HitObjHanachan	Wiggler
ActionScore_HitObjHeyhoCarpetGreen	Flying Shy Guy
ActionScore_HitObjHeyhoCarpetRed	Flying Shy Guy
ActionScore_HitObjHeyhoCarpetYellow	Flying Shy Guy
ActionScore_HitObjHeyhoExplorerLightBlue	Exploring Shy Guy
ActionScore_HitObjHeyhoExplorerRed	Exploring Shy Guy
ActionScore_HitObjHeyhoExplorerYellow	Exploring Shy Guy
ActionScore_HitObjHeyhoMobnm	Shy Guy (Ninja)
ActionScore_HitObjHeyhoMobnmAerial	Shy Guy (Ninja)
ActionScore_HitObjHeyhoSkateBlue	Skating Shy Guy
ActionScore_HitObjHeyhoSkateRed	Skating Shy Guy
ActionScore_HitObjHeyhoSnowBoard	Snowboarding Shy Guy
ActionScore_HitObjHulaHoop	Hoop
ActionScore_HitObjInkSphere	Ink
ActionScore_HitObjIronBall	Metal ball
ActionScore_HitObjJellyfish	Jellybeam
ActionScore_HitObjKakiwariBush	Wooden cutout
ActionScore_HitObjKakiwariKuribo	Wooden cutout
ActionScore_HitObjKakiwariPackunFlower	Wooden cutout
ActionScore_HitObjKakiwariTeresa	Wooden cutout
ActionScore_HitObjKiller	Banzai Bill
ActionScore_HitObjKuribo	Goomba
ActionScore_HitObjKuriboFloatToy	Toy Goomba
ActionScore_HitObjLeafRed	Leaf pile
ActionScore_HitObjPackunFlower	Piranha Plant
ActionScore_HitObjPackunFlowerFire	Fire Piranha Plant
ActionScore_HitObjPackunFlowerHone	Bone Piranha Plant
ActionScore_HitObjPackunFlowerInk	Inky Piranha Plant
ActionScore_HitObjPackunSmall	Piranha Plant
ActionScore_HitObjPenguin	Penguin
ActionScore_HitObjPillarIce	Icicle
ActionScore_HitObjPillarStone	Boulder
ActionScore_HitObjPoo	Rocky Wrench
ActionScore_HitObjPotGreen	Jar
ActionScore_HitObjPotSnake	Snake jar
ActionScore_HitObjPukupuku	Cheep Cheep
ActionScore_HitObjPukupukuBeach	Cheep Cheep
ActionScore_HitObjPukupukuMecha	Mecha Cheep
ActionScore_HitObjPylonBlue	Traffic cone
ActionScore_HitObjPylonRed	Traffic cone
ActionScore_HitObjPylonYellow	Traffic cone
ActionScore_HitObjRock	Rolling rock
ActionScore_HitObjRockVolcano	Lava Ball
ActionScore_HitObjSanbo	Pokey
ActionScore_HitObjShellFish	Clampy
ActionScore_HitObjSnowBall	Snowball
ActionScore_HitObjSnowman	Snowperson
ActionScore_HitObjSoccerBall	Soccer Ball
ActionScore_HitObjSpiderweb	Spider Web
ActionScore_HitObjStarRing	Star Ring
ActionScore_HitObjStartGate3dsnbc	Gate Spin!
ActionScore_HitObjStartGate3dsrrm	Gate Spin
ActionScore_HitObjStartGateAerial	Gate Spin!
ActionScore_HitObjStartGateCmn	Gate Spin!
ActionScore_HitObjStartGateMobnm	Gate Spin!
ActionScore_HitObjStartGateMobor2	Gate Spin!
ActionScore_HitObjStartGateMobt	Gate Spin!
ActionScore_HitObjStartGateSimple	Gate Spin!
ActionScore_HitObjStartGateSimpleAerial	Gate Spin!
ActionScore_HitObjTableGcdc	Table
ActionScore_HitObjTrainMoba	Train
ActionScore_HitObjTrainMobhc	Train
ActionScore_HitObjTrainMobs	Train
ActionScore_HitObjTrainN64	Train
ActionScore_HitObjTramMoba	Train
ActionScore_HitObjWanwan	Chain Chomp
ActionScore_HitObjWanwanRolling	Chain Chomp
ActionScore_InterimRankBonus1	1st place!
ActionScore_InterimRankBonus2	2nd place!
ActionScore_InterimRankBonus3	3rd place!
ActionScore_InterimRankBonus4	4th place!
ActionScore_InterimRankBonus5	5th place!
ActionScore_InterimRankBonus6	6th place!
ActionScore_InterimRankBonus7	7th place!
ActionScore_InterimRankBonus8	8th place!
ActionScore_JumpAction	Jump Boost
ActionScore_JumpHalfPipe1	Half-pipe
ActionScore_JumpHalfPipe2	Special trick
ActionScore_JumpHalfPipeLongDash	Super half-pipe
ActionScore_MiniTurbo1	Mini-Turbo
ActionScore_MiniTurbo2	Super Mini-Turbo
ActionScore_MiniTurbo3	Ultra Mini-Turbo
ActionScore_PressEnemy	Smash
ActionScore_Revenge	Payback
ActionScore_RocketStart1	Rocket Start
ActionScore_RocketStart2	Rocket Start
ActionScore_RocketStart3	Rocket Start
ActionScore_RocketStart4	Rocket Start
ActionScore_RocketStart5	Rocket Start
ActionScore_SlipStream	Slipstream
ActionScore_StrikeFever	Frenzy strike!
ActionScore_StrikeItem1	Green Shell accuracy
ActionScore_StrikeItem10	Bob-omb accuracy
ActionScore_StrikeItem10P	Bob-omb accuracy
ActionScore_StrikeItem11	Blooper deployed
ActionScore_StrikeItem11P	Blooper deployed
ActionScore_StrikeItem12	Bullet Bill accuracy
ActionScore_StrikeItem12P	Bullet Bill accuracy
ActionScore_StrikeItem13	Fireball accuracy
ActionScore_StrikeItem13P	Fireball accuracy
ActionScore_StrikeItem14	Ice ball accuracy
ActionScore_StrikeItem14P	Ice ball accuracy
ActionScore_StrikeItem15	Hammer accuracy
ActionScore_StrikeItem15P	Hammer accuracy
ActionScore_StrikeItem16	Bullet Bill accuracy
ActionScore_StrikeItem16P	Bullet Bill accuracy
ActionScore_StrikeItem17	Dash Ring
ActionScore_StrikeItem17P	Dash Ring+
ActionScore_StrikeItem19	Bowser's Shell accuracy
ActionScore_StrikeItem19P	Bowser's Shell+ accuracy
ActionScore_StrikeItem1P	Green Shell accuracy
ActionScore_StrikeItem2	Red Shell accuracy
ActionScore_StrikeItem20	Giant Banana accuracy
ActionScore_StrikeItem20P	Giant Banana+ accuracy
ActionScore_StrikeItem21	Yoshi's Egg accuracy
ActionScore_StrikeItem21P	Yoshi's Egg+ accuracy
ActionScore_StrikeItem22	Super Bell accuracy
ActionScore_StrikeItem22P	Super Bell+ accuracy
ActionScore_StrikeItem23	Birdo's Egg accuracy
ActionScore_StrikeItem23P	Birdo's Egg+ accuracy
ActionScore_StrikeItem27	Boomerang accuracy
ActionScore_StrikeItem27P	Boomerang accuracy
ActionScore_StrikeItem28	Hammer accuracy
ActionScore_StrikeItem28P	Hammer accuracy
ActionScore_StrikeItem29	Super Horn accuracy
ActionScore_StrikeItem29P	Super Horn accuracy
ActionScore_StrikeItem3	Banana accuracy
ActionScore_StrikeItem31	Capsule accuracy
ActionScore_StrikeItem31P	Capsule+ accuracy
ActionScore_StrikeItem36	Super Leaf accuracy
ActionScore_StrikeItem36P	Super Leaf+ accuracy
ActionScore_StrikeItem3P	Banana accuracy
ActionScore_StrikeItem41	Heart accuracy
ActionScore_StrikeItem41P	Heart+ accuracy
ActionScore_StrikeItem48	Mega Mushroom strike!
ActionScore_StrikeItem5	Super Star strike!
ActionScore_StrikeItem54	Giga Bob-omb accuracy
ActionScore_StrikeItem54P	Giga Bob-omb+ accuracy
ActionScore_StrikeItem6	Spiny Shell accuracy
ActionScore_StrikeItem6P	Spiny Shell accuracy
ActionScore_StrikeItem7	Lightning accuracy
ActionScore_StrikeItem7P	Lightning accuracy
ActionScore_UseItem17	Dash Ring
ActionScore_UseItem17P	Dash Ring+
ActionScore_UseItem18	Bubble
ActionScore_UseItem18P	Bubble+
ActionScore_UseItem4	Mushroom
ActionScore_UseItem41	Heart
ActionScore_UseItem41P	Heart+
ActionScore_UseItem4P	Mushroom
BtnCamera00_00000	180°
BtnHatenaBox00_00000	Remaining: 
DLRaceGuide_AutoItem	Auto-item!
DLRaceGuide_DriftLV1	Turn continuously to drift.
DLRaceGuide_Fever	Rapid-fire items!
DLRaceGuide_Glide	Slide your finger down to\r\nascend and up to descend.
DLRaceGuide_HasItem	Throw items forward or backward\r\nby swiping up or down.
DLRaceGuide_JumpAction	Jump Boosts are performed\r\nautomatically.
DLRaceGuide_KinokoShortCut	Using a Mushroom will give you a\r\ntemporary speed boost.
DLRaceGuide_ManualDrift	Steer by sliding left or right.
DLRaceGuide_MiniTurbo	Release your drift to\r\nperform a Mini-Turbo.
DLRaceGuide_TouchUpperDiaplay	We recommend using the bottom of the\r\nscreen when controlling your kart.
HundleButton_Drift	Drift
HundleButton_Steer	Steer
NumberOfSuperWin_0	1st Win!
NumberOfSuperWin_1	2nd Win!!
NumberOfSuperWin_2	3rd Win!!!
NumberOfSuperWin_Keep1	1st Win Saved!
NumberOfSuperWin_Keep2	2nd Win Saved!
OneHundredRaceRank_001	1st
OneHundredRaceRank_002	2nd
OneHundredRaceRank_003	3rd
OneHundredRaceRank_004	4th
OneHundredRaceRank_005	5th
OneHundredRaceRank_006	6th
OneHundredRaceRank_007	7th
OneHundredRaceRank_008	8th
OneHundredRaceRank_009	9th
OneHundredRaceRank_010	10th
OneHundredRaceRank_011	11th
OneHundredRaceRank_012	12th
OneHundredRaceRank_013	13th
OneHundredRaceRank_014	14th
OneHundredRaceRank_015	15th
OneHundredRaceRank_016	16th
OneHundredRaceRank_017	17th
OneHundredRaceRank_018	18th
OneHundredRaceRank_019	19th
OneHundredRaceRank_020	20th
OneHundredRaceRank_021	21st
OneHundredRaceRank_022	22nd
OneHundredRaceRank_023	23rd
OneHundredRaceRank_024	24th
OneHundredRaceRank_025	25th
OneHundredRaceRank_026	26th
OneHundredRaceRank_027	27th
OneHundredRaceRank_028	28th
OneHundredRaceRank_029	29th
OneHundredRaceRank_030	30th
OneHundredRaceRank_031	31st
OneHundredRaceRank_032	32nd
OneHundredRaceRank_033	33rd
OneHundredRaceRank_034	34th
OneHundredRaceRank_035	35th
OneHundredRaceRank_036	36th
OneHundredRaceRank_037	37th
OneHundredRaceRank_038	38th
OneHundredRaceRank_039	39th
OneHundredRaceRank_040	40th
OneHundredRaceRank_041	41st
OneHundredRaceRank_042	42nd
OneHundredRaceRank_043	43rd
OneHundredRaceRank_044	44th
OneHundredRaceRank_045	45th
OneHundredRaceRank_046	46th
OneHundredRaceRank_047	47th
OneHundredRaceRank_048	48th
OneHundredRaceRank_049	49th
OneHundredRaceRank_050	50th
OneHundredRaceRank_051	51st
OneHundredRaceRank_052	52nd
OneHundredRaceRank_053	53rd
OneHundredRaceRank_054	54th
OneHundredRaceRank_055	55th
OneHundredRaceRank_056	56th
OneHundredRaceRank_057	57th
OneHundredRaceRank_058	58th
OneHundredRaceRank_059	59th
OneHundredRaceRank_060	60th
OneHundredRaceRank_061	61st
OneHundredRaceRank_062	62nd
OneHundredRaceRank_063	63rd
OneHundredRaceRank_064	64th
OneHundredRaceRank_065	65th
OneHundredRaceRank_066	66th
OneHundredRaceRank_067	67th
OneHundredRaceRank_068	68th
OneHundredRaceRank_069	69th
OneHundredRaceRank_070	70th
OneHundredRaceRank_071	71st
OneHundredRaceRank_072	72nd
OneHundredRaceRank_073	73rd
OneHundredRaceRank_074	74th
OneHundredRaceRank_075	75th
OneHundredRaceRank_076	76th
OneHundredRaceRank_077	77th
OneHundredRaceRank_078	78th
OneHundredRaceRank_079	79th
OneHundredRaceRank_080	80th
OneHundredRaceRank_081	81st
OneHundredRaceRank_082	82nd
OneHundredRaceRank_083	83rd
OneHundredRaceRank_084	84th
OneHundredRaceRank_085	85th
OneHundredRaceRank_086	86th
OneHundredRaceRank_087	87th
OneHundredRaceRank_088	88th
OneHundredRaceRank_089	89th
OneHundredRaceRank_090	90th
OneHundredRaceRank_091	91st
OneHundredRaceRank_092	92nd
OneHundredRaceRank_093	93rd
OneHundredRaceRank_094	94th
OneHundredRaceRank_095	95th
OneHundredRaceRank_096	96th
OneHundredRaceRank_097	97th
OneHundredRaceRank_098	98th
OneHundredRaceRank_099	99th
OneHundredRaceRank_100	100th
PauseWindow00_00000	Race Screen
PauseWindow00_00001	Restart
PauseWindow00_00002	Quit
PostEffectType_DOF	Blur
PostEffectType_DOF2	Blur x2
PostEffectType_Fancy	Pop Art
PostEffectType_Fisheye	Fish-Eye Lens
PostEffectType_GrayScale	Black and White
PostEffectType_None	No Filter
PostEffectType_RadialBlur	Smear
PostEffectType_Sepia	Sepia
PostEffectType_Toon	Cartoon
PvpEntryWinCount_1	1-Win Streak
PvpEntryWinCount_2	2-Win Streak
PvPForceFinish_AllGoal	The results are in!
PvPForceFinish_TimeDifference	The player who finished\r\n1st has a 20-second lead.
PvPRaceNumBelt_1	1st Race
PvPRaceNumBelt_10	10th Race
PvPRaceNumBelt_11	11th Race
PvPRaceNumBelt_2	2nd Race
PvPRaceNumBelt_3	3rd Race
PvPRaceNumBelt_4	4th Race
PvPRaceNumBelt_5	5th Race
PvPRaceNumBelt_6	6th Race
PvPRaceNumBelt_7	7th Race
PvPRaceNumBelt_8	8th Race
PvPRaceNumBelt_9	9th Race
PvPRaceNumBelt_Battle_1	1st Battle
PvPRaceNumBelt_Battle_10	10th Battle
PvPRaceNumBelt_Battle_11	11th Battle
PvPRaceNumBelt_Battle_2	2nd Battle
PvPRaceNumBelt_Battle_3	3rd Battle
PvPRaceNumBelt_Battle_4	4th Battle
PvPRaceNumBelt_Battle_5	5th Battle
PvPRaceNumBelt_Battle_6	6th Battle
PvPRaceNumBelt_Battle_7	7th Battle
PvPRaceNumBelt_Battle_8	8th Battle
PvPRaceNumBelt_Battle_9	9th Battle
PvPRaceNumBelt_Battle_Final	Final Battle
PvPRaceNumBelt_Final	Final Race
PvpResultWinCount_1	1st win!
PvpResultWinCount_2	2nd win!
PvpResultWinCount_3	3rd win!
PvpResultWinCount_Keep1	1st Win Saved!
PvpResultWinCount_Keep2	2nd Win Saved!
RaceHudBody01_00000	You can change controls and end the race.
TourEndingParade_BananaHitCount	Banana hits landed: 
TourEndingParade_BattleUdemaeRateDeveloped	Battle grade increased!
TourEndingParade_FirstGoalCourseCount	1st-place finishes: 
TourEndingParade_HighestScore	Highest race score: 
TourEndingParade_KouraHitCount	Shell hits landed: 
TourEndingParade_MakeEnemyCrashCount	Rival crashes: 
TourEndingParade_MaxComboCount	Highest combo count: 
TourEndingParade_MostFirstGoalCourse	Course with most 1st-place wins: 
TourEndingParade_MostUsedCourse	Most-played course: 
TourEndingParade_MostUsedDriverFirstGoalCount	Wins with most-used driver: 
TourEndingParade_SeasonClearedMissionCount	Challenges completed: 
TourEndingParade_SeasonPlayTotalSec	Play time: 
TourEndingParade_SeasonRankPoint	Grand Stars obtained: 
TourEndingParade_TotalCoinNum	Coins collected: 
TourEndingParade_TotalScore	Total tour points: 
TourEndingParade_UdemaeRateAtSeasonStarted	Multiplayer grade increased!
TourEndingParade_UdemaeRateDeveloped	Race grade increased!
TourEndingParade_UserRankAtSeasonStarted	Player level increased!
ViewModeBtnBalloon_GoResult	Tap to continue.
ViewModeBtnBalloon_Off	Check out different angles!
1.msbt
BackKeyDisabled	The Back button cannot be used here.
CannotUnlockScore	Cannot be raised any further.
CantAddMii	Cannot add any more Mii characters.
CantAgreeAppEula	{color[ffdc00ff]}Check {color[000000ff]}all of the items, then select Agree.
CantChangeRegion	The setting from your Nintendo\r\nAccount will be applied.
CantCheckRankingDetail	Reach tier 2 to check.
CantRefreshNominatedProducts	You can change the lineup once per day.
CantResetTreasureBox	This pipe {color[ffdc00ff]}cannot be reset{color[000000ff]}.
CantSendGreetCoin	You can send only once per day.
CantSeparateChange	Cannot be changed in portrait mode.
CantUseTicketDriver	There are no drivers that\r\nyou can use tickets on.
CantUseTicketMachine	There are no karts that\r\nyou can use tickets on.
CantUseTicketWing	There are no gliders that\r\nyou can use tickets on.
DisableMainMenuTreasureBox	Collect some Grand Stars!
DisablePremiumSeasonPass	Already purchased on another device,\r\nor purchases restricted by OS settings.
DisableSpecialOffer	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
DisableTourPass	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
DisableTreasureBox	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
EventShopSoldOut	Already exchanged.
ExistInNominatedProduct	Check out the {color[ffdc00ff]}Shop{color[000000ff]}!
ExistInPremiumSeasonPassMember	You can get {color[ffdc00ff]}Gold Gifts {color[000000ff]}by\r\nplaying through the tour!
ExistInPremiumSeasonPassNonMember	You'll get Gold Gifts with a {color[ffdc00ff]}Gold Pass{color[000000ff]} subscription!
ExistInSpecialOffer	Check out the special offers in the {color[ffdc00ff]}Shop{color[000000ff]}!
ExistInTreasure	Featured in the {color[ffdc00ff]}pipe {color[000000ff]}spotlight!
FriendMax	You cannot add any more friends.
LeagueShopSoldOut	Already exchanged.
LobbyMatchNotOpenBattle	Battles aren't available yet.
LockedCc100	Unlocked at {color[ffdc00ff]}player level 2{color[000000ff]}.
LockedCc150	Unlocked at {color[ffdc00ff]}player level 3{color[000000ff]}.
LockedCc200	Unlocked with the {color[ffdc00ff]}Gold Pass{color[000000ff]}.
LockedCc200_demonstrate	Unavailable in the demo version.
MenuButton_Open1Course	Unlocked when you {color[ffdc00ff]}clear one course{color[000000ff]}.
MenuButton_Open1Cup	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
MenuButton_Open5Cup	Unlocked when you {color[ffdc00ff]}clear five cups{color[000000ff]}.
MenuHud_CoinShop_Disable	Cannot open right now.
MenuHud_CoinShop_Disable_demonstrate	Unavailable in the demo version.
MenuHud_CoinShop_NotOpen	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
MenuHud_SeasonReward_Disable	Cannot open right now.
MenuHud_SeasonReward_NotOpen	Clear one course to unlock.
MenuHud_StaminaShop_Disable	Cannot open right now.
MenuHud_StaminaShop_NotOpen	Clear one cup to unlock.
MenuHud_UserRank_Disable	Currently unavailable.
MenuHud_UserRank_Disable_demonstrate	Unavailable in the demo version.
MenuHud_VirtualCurrencyShop_Disable	Cannot open right now.
MenuHud_VirtualCurrencyShop_Disable_demonstrate	Unavailable in the demo version.
MenuHud_VirtualCurrencyShop_NotOpen	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
NoCourseRecord	No current record.
NominatedProductMax	You have the maximum amount.
NominatedProductSoldOut	Already exchanged.
NonInnerCharging	Prices cannot be obtained due to an error,\r\nor purchases are restricted by OS settings.
NoPresent	No gifts to receive.
Obtained	Already obtained.
PickUpShopNominatedProductAllRefreshed	Can only be changed up to three times per day.
PickUpShopNominatedProductNotExistCandidate	There is nothing to change the lineup to.
ProfileNotOpenCupScore	Unlocked after {color[ffdc00ff]}clearing three cups{color[000000ff]}.
ProfileNotOpenProfile	Could not retrieve player information.
PromoteCourseByLevelUp	Upgrade by {color[ffdc00ff]}leveling up{color[000000ff]}!
PvPCannotChangeJoinAcceptType	The join method can't be\r\nchanged at this time.
PvPFriendInviteAlreadySent	Already invited.
PvPLobbyIsFull	The room is full.
PvPNeedMore2Persons	At least two players are required.
PvPPleaseSelectInviteFriend	Choose at least one friend.
PvPSendFriendRequest	Friend request sent.
PvPTooManyFriends	You cannot add any more friends.
PvPTreasureMaxPurchased	Everything has been fired from this tour's pipe.
RankingCupNotOpen	The cup is not open.
ReceivedGreetCoin1	Received Greeting Coins!
ScorePointMax	This can't be improved any further.
SeasonRewardObtained	You got this already!
SeasonRewardPremiumOnly	You can get more gifts with the {color[ffdc00ff]}Gold Pass{color[000000ff]}!
SentGreetCoin	{color[ffdc00ff]}Greeting Coins{color[000000ff]} sent!
ShopTutorialCoinRushDisable	Cannot open right now.
SkillLevelMax	This can't be improved any further.
SoldOut_Item	Already exchanged.
SoldOut_RealCurrency	Purchased.
SoldOut_VirtualCurrency	Already exchanged.
SubMenuButton_Challenge	Unlocked when you {color[ffdc00ff]}clear seven cups{color[000000ff]}.
SubMenuButton_DriverList	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_FriendList	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_MachineList	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_Multiplay	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_News	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_Ranking	Unlocked when {color[ffdc00ff]}ranking is available{color[000000ff]}.
SubMenuButton_RankingCupCount	Unlocked when you {color[ffdc00ff]}clear three cups{color[000000ff]}.
SubMenuButton_Shop	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_StaminaShop	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_StockWappenList	Unlocked when you {color[ffdc00ff]}clear seven cups{color[000000ff]}.
SubMenuButton_TicketList	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
SubMenuButton_TourGift	Please wait until the next tour.
SubMenuButton_WingList	Unlocked when you {color[ffdc00ff]}clear one cup{color[000000ff]}.
TeamModeStoicDisable	You can change this if there\r\nare two or more teams.
TotalPointChallengeRewardObtained	Already obtained.
TourPassSoldOut	You've already purchased this.
TreasureBoxNotEnough	This pipe's contents are running low.
TreasureBoxSoldOut	Everything has been fired from this pipe.
TreasureBoxTimeOut	Please wait until the next tour.
UnlockedLeagueShop	Unlock this by {color[ffdc00ff]}raising {color[000000ff]}your {color[ffdc00ff]}tier{color[000000ff]}.
UnlockedNominatedProduct	Unlocked when your {color[ffdc00ff]}player level increases{color[000000ff]}.
UnOpenedCharacter	You don't have this yet.
UnopenedCourse	Clear the previous course to unlock.
UnOpenedParts	You don't have this yet.
UserRankMax	Your player level is at the max!
WappenEquipped	Already equipped.
WappenNotStock	You can get this badge from\r\nthe {color[ffdc00ff]}Gifts {color[000000ff]}section of the menu.
10.msbt
FestivalCoinBonus_TeamWinBonus	Team Victory Bonus
ResultEventRaceBase01_00002	Coins Collected:
ResultEventRaceBase01_00003	You can collect up to 300 coins daily.\r\n{color[ffdc00ff]}This increases to 600 with the Gold Pass!{color[000000ff]}
ResultEventRaceBase01_00004	You can collect up to 600 coins daily from\r\nraces, and even more from Coin Rush!
ResultEventRaceBase01_Miss	NICE TRY!
ResultNewRecord00_00000	New Record
ResultRankRaceBase01_00000	Position Points
ResultRankRaceBase01_00001	Bonus Points
ResultRankRaceBase01_00002	Base Points
ResultRankRaceBase01_00003	Point Bonus
ResultRankRaceBase01_00005	Lifetime Best:
ResultRankRaceBase01_00006	Tour Best: 
ResultRankRaceBase01_00007	Bonus-points boost
ResultRankRaceBase01_00008	A bonus-points boost will be added when\r\nracing at level 2 or above on a favorite course.
ResultRankRaceBase01_00009	Position Points
ResultRankRaceBase01_00029	Actions Performed
ResultRankRaceBase01_00032	Coins Collected:
ResultRankRacePoint00_00000	You've reached today's limit. Gold Pass\r\nsubscribers have a higher daily limit!
ResultRankRacePoint00_00002	Amount of EXP until limit: 
ResultRankRacePoint00_00003	The gauge will increase depending on\r\nthe cc and your position. Once it fills,\r\nyou will receive more position points.
ResultRankRacePoint00_00004	You've reached today's limit.
ResultRankRacePoint00_00005	The gauge will increase depending on\r\nyour position. Once it fills, you will receive\r\nmore position points.
11.msbt
AutoMode_0	{color[ff5000ff]}Tap {color[000000ff]}a driver and they'll\r\nturn to face you!
AutoMode_1	Tap the {color[ff5000ff]}whistle button{color[000000ff]}\r\nto change formations!
AutoMode_2	Tap on the {color[ff5000ff]}arrow buttons{color[000000ff]} to\r\nlook at a different driver!
AutoMode_3	Tap the {color[ff5000ff]}gyro button{color[000000ff]} to look\r\naround by moving your device!
AutoMode_4	You can collect {color[ff5000ff]}Grand Stars{color[000000ff]}\r\nand {color[ff5000ff]}Coins{color[000000ff]} even in auto mode!
BossKoopa_0	{color[ff5000ff]}Get 1st place {color[000000ff]}to clear!
BossKoopa_1	Be extra careful around {color[ff5000ff]}giant\r\nopponents{color[000000ff]}, OK? If you bump\r\ninto one, you'll crash!
BossKoopa_2	No resting on your laurels,\r\ndrivers... Your opponents\r\nwill be tougher to beat at\r\n{color[ff5000ff]}higher cc's{color[000000ff]}!
BossKoopa_0_demonstrate	{color[ff5000ff]}Get 1st place {color[000000ff]}to clear!
BossKoopa_1_demonstrate	Be extra careful around {color[ff5000ff]}giant\r\nopponents{color[000000ff]}, OK? If you bump\r\ninto one, you'll crash!
BossKoopa_2_demonstrate	No resting on your laurels,\r\ndrivers... Your opponents\r\nwill be tougher to beat at\r\n{color[ff5000ff]}higher cc's{color[000000ff]}!
ComboAttack_0	{color[ff5000ff]}Keep busting out those Jump\r\nBoosts {color[000000ff]}to keep your combo\r\nstreak going!
