0.msbt
ActionScore_AvoidKouraB	避開刺刺龜殼！
PostEffectType_GrayScale	黑白
PostEffectType_None	無濾鏡
PostEffectType_RadialBlur	模糊
PostEffectType_Sepia	懷舊
PostEffectType_Toon	漫畫風
PvpEntryWinCount_1	已獲1勝
PvpEntryWinCount_2	已獲2連勝
PvPForceFinish_AllGoal	名次已確定。
PvPForceFinish_TimeDifference	與第1名的玩家相差20秒。
PvPRaceNumBelt_1	第1場比賽
PvPRaceNumBelt_10	第10場比賽
PvPRaceNumBelt_11	第11場比賽
PvPRaceNumBelt_2	第2場比賽
PvPRaceNumBelt_3	第3場比賽
PvPRaceNumBelt_4	第4場比賽
PvPRaceNumBelt_5	第5場比賽
PvPRaceNumBelt_6	第6場比賽
PvPRaceNumBelt_7	第7場比賽
PvPRaceNumBelt_8	第8場比賽
PvPRaceNumBelt_9	第9場比賽
PvPRaceNumBelt_Battle_1	第1場對戰
PvPRaceNumBelt_Battle_10	第10場對戰
PvPRaceNumBelt_Battle_11	第11場對戰
PvPRaceNumBelt_Battle_2	第2場對戰
PvPRaceNumBelt_Battle_3	第3場對戰
PvPRaceNumBelt_Battle_4	第4場對戰
PvPRaceNumBelt_Battle_5	第5場對戰
PvPRaceNumBelt_Battle_6	第6場對戰
PvPRaceNumBelt_Battle_7	第7場對戰
PvPRaceNumBelt_Battle_8	第8場對戰
PvPRaceNumBelt_Battle_9	第9場對戰
PvPRaceNumBelt_Battle_Final	最終決戰
PvPRaceNumBelt_Final	最終決賽
PvpResultWinCount_1	第1勝！
PvpResultWinCount_2	2連勝!!
PvpResultWinCount_3	3連勝!!!
PvpResultWinCount_Keep1	保持1勝！
PvpResultWinCount_Keep2	保持2連勝！
RaceHudBody01_00000	可以更改操作方法或結束比賽。
TourEndingParade_BananaHitCount	用香蕉皮擊中對手的次數
TourEndingParade_BattleUdemaeRateDeveloped	對戰的實力提升了！
TourEndingParade_FirstGoalCourseCount	取得第1名的次數
TourEndingParade_HighestScore	單場比賽中的最高分數
TourEndingParade_KouraHitCount	用龜殼擊中對手的次數
TourEndingParade_MakeEnemyCrashCount	讓勁敵失控的次數
TourEndingParade_MaxComboCount	最多連段數量
TourEndingParade_MostFirstGoalCourse	最常取得第1名的賽道
TourEndingParade_MostUsedCourse	最常參賽的賽道
TourEndingParade_MostUsedDriverFirstGoalCount	最常參賽的角色取得第1名的次數
TourEndingParade_SeasonClearedMissionCount	達成的挑戰數
TourEndingParade_SeasonPlayTotalSec	遊玩時間
TourEndingParade_SeasonRankPoint	已獲得的崇高之星
TourEndingParade_TotalCoinNum	已獲得的金幣
TourEndingParade_TotalScore	巡迴賽合計分數
TourEndingParade_UdemaeRateAtSeasonStarted	實力提升了！
TourEndingParade_UdemaeRateDeveloped	比賽的實力提升了！
TourEndingParade_UserRankAtSeasonStarted	賽車手級別提升了！
ViewModeBtnBalloon_GoResult	點觸以進行下一步。
ViewModeBtnBalloon_Off	試著用各種角度環顧吧！
1.msbt
BackKeyDisabled	無法使用返回鍵
CannotUnlockScore	已處於解鎖狀態。
CantAddMii	已無法再繼續添加Mii。
CantChangeRegion	將反映Nintendo Account的設定。
CantCheckRankingDetail	自聯賽2之後便可確認。
CantRefreshNominatedProducts	1天只能更換1次。
CantResetTreasureBox	該水管{color[ffdc00ff]}無法重置。{color[000000ff]}
CantSendGreetCoin	1天最多只能發送1次。
CantSeparateChange	縱向顯示時無法進行更改。
CantUseTicketDriver	沒有可使用票券的角色。
CantUseTicketMachine	沒有可使用票券的車輛。
CantUseTicketWing	沒有可使用票券的滑翔翼。
DisableMainMenuTreasureBox	收集崇高之星吧！
DisablePremiumSeasonPass	已在其他裝置上購買完畢，\r\n或被OS設定為限制購買。
DisableSpecialOffer	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
DisableTourPass	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
DisableTreasureBox	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
EventShopSoldOut	交換完畢。
ExistInNominatedProduct	查看{color[ffdc00ff]}商店{color[000000ff]}的內容吧！
ExistInPremiumSeasonPassMember	推進巡迴賽，透過{color[ffdc00ff]}黃金禮物{color[000000ff]}獲取！
ExistInPremiumSeasonPassNonMember	透過{color[ffdc00ff]}黃金通行證{color[000000ff]}獲取黃金禮物吧！
ExistInSpecialOffer	查看{color[ffdc00ff]}商店{color[000000ff]}的「特殊優惠」！
ExistInTreasure	現正於{color[ffdc00ff]}水管{color[000000ff]}精選中！
FriendMax	無法繼續新增好友了。
LeagueShopSoldOut	交換完畢。
LobbyMatchNotOpenBattle	請等待對戰開放。
LockedCc100	{color[ffdc00ff]}賽車手級別2{color[000000ff]}後開放！
LockedCc150	{color[ffdc00ff]}賽車手級別3{color[000000ff]}後開放！
LockedCc200	使用{color[ffdc00ff]}黃金通行證{color[000000ff]}開放！
LockedCc200_demonstrate	體驗版中無法使用。
MenuButton_Open1Course	{color[ffdc00ff]}完成1個賽道{color[000000ff]}後開放！
MenuButton_Open1Cup	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
MenuButton_Open5Cup	{color[ffdc00ff]}完成5個盃賽{color[000000ff]}後開放！
MenuHud_CoinShop_Disable	現在無法確認。
MenuHud_CoinShop_Disable_demonstrate	體驗版中無法使用。
MenuHud_CoinShop_NotOpen	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
MenuHud_SeasonReward_Disable	現在無法確認。
MenuHud_SeasonReward_NotOpen	完成1個賽道後開放。
MenuHud_StaminaShop_Disable	現在無法確認。
MenuHud_StaminaShop_NotOpen	完成1個盃賽後開放。
MenuHud_UserRank_Disable	現在無法確認。
MenuHud_UserRank_Disable_demonstrate	體驗版中無法使用。
MenuHud_VirtualCurrencyShop_Disable	現在無法確認。
MenuHud_VirtualCurrencyShop_Disable_demonstrate	體驗版中無法使用。
MenuHud_VirtualCurrencyShop_NotOpen	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
NoCourseRecord	沒有紀錄。
NominatedProductMax	無法繼續交換了。
NominatedProductSoldOut	交換完畢。
NonInnerCharging	因發生錯誤而無法取得價格，\r\n或被OS設定為限制購買。
NoPresent	沒有可領取的禮物。
Obtained	取得完畢。
PickUpShopNominatedProductAllRefreshed	1天只能更換3次。
PickUpShopNominatedProductAlreadyRefreshed	1天只能更換1次。
PickUpShopNominatedProductNotExistCandidate	沒有可以更換的內容。
ProfileNotOpenCupScore	{color[ffdc00ff]}完成3個盃賽{color[000000ff]}後開放！
ProfileNotOpenProfile	無法取得玩家資訊。
PromoteCourseByLevelUp	在{color[ffdc00ff]}等級提升{color[000000ff]}後將進行升級！
PvPCannotChangeJoinAcceptType	無法中途更改會合方法。
PvPFriendInviteAlreadySent	已邀請完畢。
PvPLobbyIsFull	大廳人數已滿。
PvPNeedMore2Persons	需要有2位以上成員。
PvPPleaseSelectInviteFriend	請選擇好友。
PvPSendFriendRequest	已發出好友申請。
PvPTooManyFriends	無法繼續新增好友了。
PvPTreasureMaxPurchased	已發射所有巡迴賽的水管了。
RankingCupNotOpen	盃賽沒有開放。
ReceivedGreetCoin1	已領取問候金幣！
ScorePointMax	無法繼續強化了。
SeasonRewardObtained	取得完畢。
SeasonRewardPremiumOnly	使用{color[ffdc00ff]}黃金通行證{color[000000ff]}獲取更多禮物！
SentGreetCoin	已經發送{color[ffdc00ff]}問候金幣{color[000000ff]}了。
ShopTutorialCoinRushDisable	現在無法確認。
SkillLevelMax	無法繼續強化了。
SoldOut_Item	交換完畢。
SoldOut_RealCurrency	購買完畢。
SoldOut_VirtualCurrency	交換完畢。
SubMenuButton_Challenge	{color[ffdc00ff]}完成7個盃賽{color[000000ff]}後開放！
SubMenuButton_DriverList	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_FriendList	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_MachineList	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_Multiplay	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_News	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_Ranking	{color[ffdc00ff]}排行榜開幕{color[000000ff]}後開放！
SubMenuButton_RankingCupCount	{color[ffdc00ff]}完成3個盃賽{color[000000ff]}後開放！
SubMenuButton_Shop	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_StaminaShop	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_StockWappenList	{color[ffdc00ff]}完成7個盃賽{color[000000ff]}後開放！
SubMenuButton_TicketList	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
SubMenuButton_TourGift	請等待下個巡迴賽開幕。
SubMenuButton_WingList	{color[ffdc00ff]}完成1個盃賽{color[000000ff]}後開放！
TeamModeStoicDisable	當有2隊以上的隊伍時可進行更改。
TotalPointChallengeRewardObtained	取得完畢。
TourPassSoldOut	已經購買完畢了。
TreasureBoxNotEnough	水管裡的物品太少了。
TreasureBoxSoldOut	已經發射所有水管裡的物品。
TreasureBoxTimeOut	請等待下個巡迴賽開幕。
UnlockedLeagueShop	{color[ffdc00ff]}聯賽升格{color[000000ff]}後開放！
UnlockedNominatedProduct	{color[ffdc00ff]}賽車手級別提升{color[000000ff]}後開放！
UnOpenedCharacter	尚未持有。
UnopenedCourse	完成上一個賽道後開放。
UnOpenedParts	尚未持有。
UserRankMax	賽車手級別已達上限。
WappenEquipped	已佩戴。
WappenNotStock	請從選單的{color[ffdc00ff]}禮物{color[000000ff]}\r\n領取別針徽章。
10.msbt
FestivalCoinBonus_TeamWinBonus	隊伍勝利獎勵
ResultEventRaceBase01_00002	收集的金幣數
ResultEventRaceBase01_00003	在比賽中可以獲得的金幣1天最多300枚。\r\n{color[ffdc00ff]}如果持有黃金通行證，1天最多可獲得600枚金幣！{color[000000ff]}
ResultEventRaceBase01_00004	在比賽中可以獲得的金幣1天最多600枚。\r\n在金幣衝衝衝中的話，則可以獲得更多金幣。
ResultEventRaceBase01_Miss	MISS...
ResultNewRecord00_00000	New Record
ResultRankRaceBase01_00000	終點分數
ResultRankRaceBase01_00001	動作分數
ResultRankRaceBase01_00002	基本分數
ResultRankRaceBase01_00003	分數獎勵
ResultRankRaceBase01_00005	至今為止的最佳得分: 
ResultRankRaceBase01_00006	巡迴賽最佳得分: 
ResultRankRaceBase01_00007	分數嘉獎
ResultRankRaceBase01_00008	如果在非常擅長的賽道且等級在2以上時，\r\n會獲得分數嘉獎。
ResultRankRaceBase01_00009	終點分數
ResultRankRaceBase01_00029	查看紀錄
ResultRankRaceBase01_00032	收集的金幣數
ResultRankRacePoint00_00000	已到達1天的上限。\r\n如果持有黃金通行證，就能繼續提升能力！
ResultRankRacePoint00_00002	距離取得上限還有：
ResultRankRacePoint00_00003	根據cc和名次來增加計量表，\r\n計量表全滿的話，分數提升！
ResultRankRacePoint00_00004	已到達1天的上限。
ResultRankRacePoint00_00005	根據名次來增加計量表，\r\n計量表全滿的話，分數提升！
11.msbt
AutoMode_0	{color[ff5000ff]}點觸{color[000000ff]}角色後，\r\n角色就會面向玩家喔！
AutoMode_1	使用{color[ff5000ff]}口哨按鍵{color[000000ff]}\r\n來變換各種陣型吧！
AutoMode_2	想切換關注中的角色時\r\n請點觸{color[ff5000ff]}箭頭按鍵{color[000000ff]}！
AutoMode_3	開啟了{color[ff5000ff]}陀螺儀按鍵{color[000000ff]}後，\r\n試著移動整個裝置來查看周遭吧！
AutoMode_4	用自動模式進行比賽\r\n也可以獲得\r\n{color[ff5000ff]}崇高之星和金幣{color[000000ff]}喔！
BossKoopa_0	以{color[ff5000ff]}第1名{color[000000ff]}過關！
BossKoopa_1	撞到{color[ff5000ff]}巨大的對手{color[000000ff]}便會失控，\r\n請千萬小心……！
BossKoopa_2	{color[ff5000ff]}cc越高{color[000000ff]}，對手也會更強！\r\n
BossKoopa_0_demonstrate	以{color[ff5000ff]}第1名{color[000000ff]}過關！
BossKoopa_1_demonstrate	撞到{color[ff5000ff]}巨大的對手{color[000000ff]}便會失控，\r\n請千萬小心……！
BossKoopa_2_demonstrate	{color[ff5000ff]}cc越高{color[000000ff]}，對手也會更強！\r\n
ComboAttack_0	使出{color[ff5000ff]}連續跳躍動作{color[000000ff]}，\r\n讓連段不中斷！
ComboAttack_1	連段快要中斷的時候\r\n就使用{color[ff5000ff]}衝刺蘑菇{color[000000ff]}！
ComboAttack_2	{color[ff5000ff]}經過一段時間後{color[000000ff]}，\r\n就無法持續連段……！
CountBeatKuribo_0	即使是用{color[ff5000ff]}衝撞{color[000000ff]}，\r\n也可以擊飛栗寶寶！
CountBeatKuribo_1	捲入{color[ff5000ff]}爆炸{color[000000ff]}的話，\r\n可以一口氣打倒栗寶寶！
CountBeatKuribo_2	使用{color[ff5000ff]}道具{color[000000ff]}，\r\n打倒栗寶寶吧！
CountBeatKuribo_0_demonstrate	使用{color[ff5000ff]}道具{color[000000ff]}，\r\n打倒栗寶寶吧！
CountBeatKuribo_1_demonstrate	即使是用{color[ff5000ff]}衝撞{color[000000ff]}，\r\n也可以擊飛栗寶寶！
CountBeatKuribo_2_demonstrate	捲入{color[ff5000ff]}爆炸{color[000000ff]}的話，\r\n可以一口氣打倒栗寶寶！
