0.msbt
ActionScore_AvoidKouraB	トゲゾーかいひ！
PvpResultWinCount_3	3連勝!!!
PvpResultWinCount_Keep1	1勝キープ！
PvpResultWinCount_Keep2	2連勝キープ！
RaceHudBody01_00000	操作方法の変更やレースの終了ができます
TourEndingParade_BananaHitCount	バナナをあてた回数
TourEndingParade_BattleUdemaeRateDeveloped	バトルのウデマエが上がった！
TourEndingParade_FirstGoalCourseCount	1位になった回数
TourEndingParade_HighestScore	１レースの最高スコア
TourEndingParade_KouraHitCount	こうらをあてた回数
TourEndingParade_MakeEnemyCrashCount	ライバルをクラッシュさせた回数
TourEndingParade_MaxComboCount	最大コンボ数
TourEndingParade_MostFirstGoalCourse	1位になったことが最も多いコース
TourEndingParade_MostUsedCourse	一番走ったコース
TourEndingParade_MostUsedDriverFirstGoalCount	一番走ったキャラで1位になった回数
TourEndingParade_SeasonClearedMissionCount	達成したチャレンジ数
TourEndingParade_SeasonPlayTotalSec	プレイ時間
TourEndingParade_SeasonRankPoint	獲得したグランドスター
TourEndingParade_TotalCoinNum	獲得したコイン
TourEndingParade_TotalScore	ツアー合計ポイント
TourEndingParade_UdemaeRateAtSeasonStarted	ウデマエが上がった！
TourEndingParade_UdemaeRateDeveloped	レースのウデマエが上がった！
TourEndingParade_UserRankAtSeasonStarted	ドライバーランクが上がった！
ViewModeBtnBalloon_GoResult	タッチで 次に進みます
ViewModeBtnBalloon_Off	いろんなアングルで みまわしてみよう！
1.msbt
BackKeyDisabled	バックキーは使えません
CannotUnlockScore	すでにアンロックされています
CantAddMii	これ以上 Miiを追加できません
CantChangeRegion	ニンテンドーアカウントの設定が\r\n反映されます
CantCheckRankingDetail	リーグ2以降で 確認できます
CantRefreshNominatedProducts	入れかえは 1日1回までです
CantResetTreasureBox	このドカンは {color[ffdc00ff]}リセットできません{color[000000ff]}
CantSendGreetCoin	おくれるのは1日に1回までです
CantSeparateChange	タテのときは変更できません
CantUseTicketDriver	チケットを使えるキャラがいません
CantUseTicketMachine	チケットを使えるマシンがありません
CantUseTicketWing	チケットを使えるグライダーがありません
DisableMainMenuTreasureBox	グランドスターをあつめよう！
DisablePremiumSeasonPass	別の端末で すでに購入済みか\r\nOSの設定で購入制限されています
DisableSpecialOffer	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
DisableTourPass	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
DisableTreasureBox	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
EventShopSoldOut	交換済みです
ExistInNominatedProduct	{color[ffdc00ff]}ショップ{color[000000ff]}をチェックしてみよう！
ExistInPremiumSeasonPassMember	ツアーをすすめて {color[ffdc00ff]}ゴールドギフト{color[000000ff]}からゲット！
ExistInPremiumSeasonPassNonMember	{color[ffdc00ff]}ゴールドパス{color[000000ff]}で ゴールドギフトをゲットしよう！
ExistInSpecialOffer	{color[ffdc00ff]}ショップ{color[000000ff]}の「スペシャルオファー」をチェック！
ExistInTreasure	{color[ffdc00ff]}ドカン{color[000000ff]}でピックアップされています！
FriendMax	これ以上 フレンドを追加できません
LeagueShopSoldOut	交換済みです
LobbyMatchNotOpenBattle	バトル開催まで しばらくお待ちください
LockedCc100	{color[ffdc00ff]}ドライバーランク2{color[000000ff]}でオープン！
LockedCc150	{color[ffdc00ff]}ドライバーランク3{color[000000ff]}でオープン！
LockedCc200	{color[ffdc00ff]}ゴールドパス{color[000000ff]}でオープン！
LockedCc200_demonstrate	体験版では 利用できません
MenuButton_Open1Course	{color[ffdc00ff]}1コースクリア{color[000000ff]}でオープン！
MenuButton_Open1Cup	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
MenuButton_Open5Cup	{color[ffdc00ff]}5カップクリア{color[000000ff]}でオープン！
MenuHud_CoinShop_Disable	今は確認できません
MenuHud_CoinShop_Disable_demonstrate	体験版では 利用できません
MenuHud_CoinShop_NotOpen	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
MenuHud_SeasonReward_Disable	今は確認できません
MenuHud_SeasonReward_NotOpen	1コースクリアするとオープンします
MenuHud_StaminaShop_Disable	今は確認できません
MenuHud_StaminaShop_NotOpen	1カップクリアするとオープンします
MenuHud_UserRank_Disable	今は確認できません
MenuHud_UserRank_Disable_demonstrate	体験版では 利用できません
MenuHud_VirtualCurrencyShop_Disable	今は確認できません
MenuHud_VirtualCurrencyShop_Disable_demonstrate	体験版では 利用できません
MenuHud_VirtualCurrencyShop_NotOpen	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
NoCourseRecord	記録がありません
NominatedProductMax	これ以上交換できません
NominatedProductSoldOut	交換済みです
NonInnerCharging	エラーで価格が 取得できないか\r\nOSの設定で購入制限されています
NoPresent	受け取れるプレゼントは ありません
Obtained	取得済みです
PickUpShopNominatedProductAllRefreshed	入れかえは 1日3回までです
PickUpShopNominatedProductAlreadyRefreshed	入れかえは 1日1回までです
PickUpShopNominatedProductNotExistCandidate	入れかえるものが ありません
ProfileNotOpenCupScore	{color[ffdc00ff]}3カップクリア{color[000000ff]}でオープン！
ProfileNotOpenProfile	プレイヤー情報を取得できませんでした
PromoteCourseByLevelUp	{color[ffdc00ff]}レベルアップ{color[000000ff]}でアップグレード！
PvPCannotChangeJoinAcceptType	合流方法は 途中で変更できません
PvPFriendInviteAlreadySent	おさそい済みです
PvPLobbyIsFull	ロビーが満員です
PvPNeedMore2Persons	2人以上のメンバーが 必要です
PvPPleaseSelectInviteFriend	フレンドをえらんでください
PvPSendFriendRequest	フレンド申請しました
PvPTooManyFriends	これ以上 フレンドを追加できません
PvPTreasureMaxPurchased	ツアーのドカンを 全て打ち上げました
RankingCupNotOpen	カップがオープンしていません
ReceivedGreetCoin1	あいさつコインを うけとりました！
ScorePointMax	これ以上 強化できません
SeasonRewardObtained	取得済みです
SeasonRewardPremiumOnly	{color[ffdc00ff]}ゴールドパス{color[000000ff]}で さらにギフトをゲット！
SentGreetCoin	{color[ffdc00ff]}あいさつコイン{color[000000ff]}をおくりました
ShopTutorialCoinRushDisable	今は確認できません
SkillLevelMax	これ以上 強化できません
SoldOut_Item	交換済みです
SoldOut_RealCurrency	購入済みです
SoldOut_VirtualCurrency	購入済みです
SubMenuButton_Challenge	{color[ffdc00ff]}7カップクリア{color[000000ff]}でオープン！
SubMenuButton_DriverList	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_FriendList	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_MachineList	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_Multiplay	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_News	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_Ranking	{color[ffdc00ff]}ランキング開催{color[000000ff]}でオープン！
SubMenuButton_RankingCupCount	{color[ffdc00ff]}3カップクリア{color[000000ff]}でオープン！
SubMenuButton_Shop	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_StaminaShop	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_StockWappenList	{color[ffdc00ff]}7カップクリア{color[000000ff]}でオープン！
SubMenuButton_TicketList	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
SubMenuButton_TourGift	つぎのツアーまで お待ちください
SubMenuButton_WingList	{color[ffdc00ff]}1カップクリア{color[000000ff]}でオープン！
TeamModeStoicDisable	2チーム以上のとき 変更できます
TotalPointChallengeRewardObtained	取得済みです
TourPassSoldOut	すでに購入済みです
TreasureBoxNotEnough	ドカンの中身が 少なくなってます
TreasureBoxSoldOut	ドカンをすべて 打ち上げました
TreasureBoxTimeOut	つぎのツアーまで お待ちください
UnlockedLeagueShop	{color[ffdc00ff]}リーグ昇格{color[000000ff]}でオープン！
UnlockedNominatedProduct	{color[ffdc00ff]}ドライバーランクアップ{color[000000ff]}でオープン！
UnOpenedCharacter	まだ 持っていません
UnopenedCourse	前のコースクリアで オープン
UnOpenedParts	まだ 持っていません
UserRankMax	ドライバーランクは最大です
WappenEquipped	すでに みにつけています
WappenNotStock	メニューの{color[ffdc00ff]}プレゼント{color[000000ff]}から\r\nピンバッジを受け取ってください
10.msbt
FestivalCoinBonus_TeamWinBonus	チーム勝利ボーナス
ResultEventRaceBase01_00002	あつめたコイン
ResultEventRaceBase01_00003	レースでゲットできるのは 1日300コインまで\r\n{color[ffdc00ff]}ゴールドパスなら 1日600コインまでゲット！{color[000000ff]}
ResultEventRaceBase01_00004	レースでゲットできるのは 1日600コインまで\r\nコインラッシュなら さらにコインをゲットできます
ResultEventRaceBase01_Miss	MISS...
ResultNewRecord00_00000	New Record
ResultRankRaceBase01_00000	ゴールポイント
ResultRankRaceBase01_00001	アクションポイント
ResultRankRaceBase01_00002	ベースポイント
ResultRankRaceBase01_00003	ポイントボーナス
ResultRankRaceBase01_00005	これまでのベスト: 
ResultRankRaceBase01_00006	ツアーベスト: 
ResultRankRaceBase01_00007	ポイントブースト
ResultRankRaceBase01_00008	とても得意なコースでレベル2以上の時\r\nポイントブーストが加算されます
ResultRankRaceBase01_00009	ゴールポイント
ResultRankRaceBase01_00029	きろくをみる
ResultRankRaceBase01_00032	あつめたコイン
ResultRankRacePoint00_00000	1日の上限に達しました\r\nゴールドパスで さらにパワーアップできます！
ResultRankRacePoint00_00002	取得上限まで：
ResultRankRacePoint00_00003	ccと順位に応じて ゲージが増加\r\nゲージ満タンで ポイントアップ！
ResultRankRacePoint00_00004	1日の上限に達しました
ResultRankRacePoint00_00005	順位に応じて ゲージが増加\r\nゲージ満タンで ポイントアップ！
11.msbt
AutoMode_0	キャラを{color[ff5000ff]}タッチ{color[000000ff]}すると\r\nこちらを 向いてくれます！
AutoMode_1	{color[ff5000ff]}ホイッスルボタン{color[000000ff]}で色々な\r\nフォーメーションに変えてみよう！
AutoMode_2	注目キャラを 変えたいときは\r\n{color[ff5000ff]}やじるしボタン{color[000000ff]}をタッチ！
AutoMode_3	{color[ff5000ff]}ジャイロボタン{color[000000ff]}をオンにしたら\r\n端末ごとまわして 見てみよう！
AutoMode_4	オートモードで走っても\r\n{color[ff5000ff]}グランドスターやコイン{color[000000ff]}を\r\nゲットできます！
BossKoopa_0	{color[ff5000ff]}1位ゴール{color[000000ff]}でクリアです！
BossKoopa_1	{color[ff5000ff]}巨大な相手{color[000000ff]}に当たると\r\nクラッシュするので要注意...！
BossKoopa_2	{color[ff5000ff]}cc が高い{color[000000ff]}ほど\r\n相手が強くなっていくようです！
BossKoopa_0_demonstrate	{color[ff5000ff]}1位ゴール{color[000000ff]}でクリアです！
BossKoopa_1_demonstrate	{color[ff5000ff]}巨大な相手{color[000000ff]}に当たると\r\nクラッシュするので要注意...！
BossKoopa_2_demonstrate	{color[ff5000ff]}cc が高い{color[000000ff]}ほど\r\n相手が強くなっていくようです！
ComboAttack_0	コンボが きれないように\r\n{color[ff5000ff]}連続ジャンプアクション{color[000000ff]}！
ComboAttack_1	コンボが きれそうなときは\r\n{color[ff5000ff]}ダッシュキノコ{color[000000ff]}！
ComboAttack_2	{color[ff5000ff]}時間がたつと {color[000000ff]}コンボは\r\nとぎれてしまいます...！
CountBeatKuribo_0	{color[ff5000ff]}体あたり{color[000000ff]}でも\r\nクリボーを ふきとばせます！
CountBeatKuribo_1	{color[ff5000ff]}バクハツ{color[000000ff]}に まきこめば\r\nクリボーをいっきに たおせます！
CountBeatKuribo_2	{color[ff5000ff]}アイテム{color[000000ff]}をつかって\r\nクリボーを たおしましょう！
CountBeatKuribo_0_demonstrate	{color[ff5000ff]}アイテム{color[000000ff]}をつかって\r\nクリボーを たおしましょう！
