CheckSaveData.msbt
CreateFile	正在创建{c[dc000d]}保存数据{c[000000]}，\n请稍等片刻。
HammerN1	带有湛蓝宝石\n不可思议力量的头盔。\n能够提升\n好友陨石的威力。
HammerN2	寄宿着\n纯白猛虎之力的头盔。\n不只能保护头部，\n也能够提高复活速度。
HammerN3	上头镶有七色石，\n是顶色彩缤纷\n且令人啧啧称奇的头盔。\n更容易取得碎片。
HammerN4	仿造拥有魔力的独眼\n所打造的头盔。\n在幽绿盔体上闪烁的金色眼眸\n看起来威慑力十足。
HammerN5	犹如百花齐开般\n华丽的头巾。\n只要戴上它，脸上\n就会出现白色的胡子。
HammerN6	以深海底部\n找到的罕见金属\n打造而成的头盔。\n能够增强各种能力。
HammerN7	据说是让世界堕入恐怖漩涡的\n黑暗之王的头盔。\n复仇的怒火所带来的力量\n增加了黑暗力量。
HammerN8	仿造一心只想复仇的\n大王的面具所打造的头盔。\n当大王认真起来想拿出全力时，\n就会穿戴的决胜防具。
HammerN9	据说世界面临危机时\n便会出现的梦幻防具。\n犹如照亮黑夜的一缕希望之光，\n是这世上最强的战帽。
BeamA0	初出茅庐的魔法师\n所装备的帽子。\n做工相当简单。
BeamB0	独当一面的魔法师\n所装备的帽子。\n做工也非常适合长途旅行。
BeamB1	织入了护身魔法的帽子。\n使用了优质丝线。
BeamC0	寄宿着自然之力的帽子。\n拥有柔软的质地及芬芳的香气。\n能够增强治愈能力。
BeamC1	犹如璀璨夜空的帽子。\n藉由星之力\n增强好友陨石的威力。
BeamD0	远古魔法师的帽子。\n藉由黄金之力，\n能够增强\n各种战斗能力。
BeamE0	寄宿着神之力的\n传说防具。\n额头部的宝石\n施有强力的守护魔法。
BeamFn0	依照无名画作中\n所绘的帽子制成。\n传说戴着这顶帽子的魔女，\n曾将整个世界变成绘画。
BeamFn1	来自异世界的旅人\n所穿戴的防具。\n戴上这顶连嘴巴都遮住的帽子，\n好像就会忍不住想要说谎。
BeamJk0	随处可见的平凡少女\n准备前往秘密战斗时的发型。\n用亮晶晶★粉红色\n来点缀得可爱一点吧！
BeamN0	受王宫雇用的魔法师\n所穿戴的风帽。\n蓝色丝绸的触感\n也相当舒适。
BeamN1	拥有湛蓝宝石\n不可思议力量的帽子。\n能提高蓄力速度。
BeamN2	仿造纯白的兔子\n所制成的魔法风帽。\n上头有着兔耳般的花纹。
BeamN3	这是一顶装饰有\n世上罕见的七彩玫瑰，\n能够增强魔力的帽子。\n造型非常梦幻。
BeamN4	能够操控时间的魔法帽子。\n据说拥有能够在时空中旅行的能力。
BeamN5	与充满勇气与关怀，\n脸上常驻笑容的你\n非常相配的魔法假发！\n用亮晶晶★头饰变美丽！
BeamN6	以深海底部\n找到的罕见金属\n所制成的帽子。\n能够增强各种能力。
BeamN7	虽然是杂货店的纪念品，\n但却值得信赖的魔法帽子。\n装备后身心都会变得洁白无暇，\n再也不会撒谎……可能吧。
BeamN8	据说是最终BOSS的魔噜酷\n很爱使用的魔法帽子。\n魔噜酷曾经向银河祈求，\n希望能将星球据为己有。
BeamN9	据说世界面临危机时\n便会出现的梦幻防具。\n犹如照亮黑夜的一缕希望之光，\n是这世上最强的帽子。
DoctorA0	初出茅庐的学士\n所装备的头巾。\n性能没有多好。
DoctorB0	独当一面的学士所使用的头巾。\n白色的面纱就是\n学成独立的治疗师的证明。
DoctorB1	与小型圆框眼镜成套的\n神圣治疗师冠帽。\n能够加快复活速度。
DoctorC0	充满上古海水的冠帽。\n神秘的水之力\n能够增强回复力。
DoctorC1	异国术士的冠帽。\n上面贴着一张灵符，\n能够加快复活速度。
DoctorD0	引领人们走向正道的学士\n所使用的黄金冠帽。\n能够增强各种战斗能力。
DoctorE0	寄宿着神之力的传说防具。\n随着面纱飘荡，\n穿戴者能够优雅地\n闪过强力攻击。
DoctorFn0	仿造过去一同冒险的朋友外型\n所制作的帽子。\n如果你觉得看上去好像在动，\n那一定是眼睛的错觉。
DoctorFn1	模仿银发亲信的发型\n所制作的帽子。\n因为还附带眼镜，\n给人感觉更聪明了。
DoctorJk0	仿造优秀科学家的脑袋\n所打造的防具。\n不过那颗脑袋\n其实只是个普通的玩具。
DoctorN0	王国的学士钟爱的冠帽。\n魅力十足的红色眼镜，\n让防守变得更加坚固。
DoctorN1	使用了不可思议的\n湛蓝宝石的头巾。\n提高了回复效果，\n擅长治愈的防具。
DoctorN2	仿造纯白的猫头鹰\n所制成的头巾。\n特征是和烧瓶成套的\n猫头鹰的脸庞。
DoctorN3	以散发彩虹光芒的\n罕见丝线所织成的冠帽。\n同时还配有\n七彩缤纷的眼镜。
DoctorN4	青草花纹的漂亮头巾\n搭配上成套的金框眼镜，\n可以协助进行咒文咏唱。
DoctorN5	这是一副充满爱的眼镜，\n只要戴上就会\n想要结识许多朋友。\n头顶的爱心是力量的来源。
DoctorN6	以深海底部\n找到的罕见金属\n所制成的冠帽。\n可以增强各种能力。
DoctorN7	将悲哀的魔法师黑暗的一面\n具象化而成的帽子。\n与昔日主人的身形\n有那么几分相似。
DoctorN8	源于美丽女王的优雅面具。\n据说在她变成这副样貌前，\n长得很像她的亲信。
DoctorN9	据说世界面临危机时\n便会出现的梦幻防具。\n犹如照亮黑夜的一缕希望之光，\n是这世上最强的面纱。
MelonMenu.msbt
BackBtnText	返回
ChallengingQuest	试炼探索
BossRankText2	高：
BossRankText2nc	高：
BossRankText5	{c[ffde00]}鬼{c[000000]}：
BossRankText5nc	鬼：
BossRankText6	{c[ff6400]}神{c[000000]}：
BossRankText6nc	神：
BossRankText7	{c[bf00ff]}超{c[000000]}：
BossRankText7nc	超：
BossRankText8	{c[ff0000]}极超{c[000000]}：
BossRankText8nc	极超：
BossCardRankText2	高级别
BossCardRankText5	鬼级别
BossCardRankText6	神级别
BossCardRankText7	超级别
BossCardRankText8	极超级别
BestScoreText	最高分数
BossNameTextGigantedge	庞大刃
BossNameTextMisterfrosty	冰霜先生
BossNameTextWhispyflowers	风语大树
BossNameTextVolgerom	火山蛙
BossNameTextLandia	龙帝亚
BossNameTextLandiaEx	龙帝亚EX
BossNameTextLandiaAnother	异次元龙帝亚
BossNameTextGranWaddledee	大型\x0e\x17\0\0・\x0f\x17\0枪瓦豆鲁迪
BossNameTextGranKabu	大型\x0e\x17\0\0・\x0f\x17\0石像怪
BossNameTextGranKabuQBoard	双重 大型队伍
BossNameTextGranHothead	大型\x0e\x17\0\0・\x0f\x17\0炽热头
BossNameTextGranHotheadQBoard	三重 大型队伍
BossNameTextTaranza	塔狼蛛
BossNameTextMaskedBlackDedede	D大王\x0e\x17\0\0・\x0f\x17\0意向
BossNameTextMaskedBlackDededeQBoard	最终决战
BossNameTextMaskedBlackDededeQBoardAprExtremeDemon	真 最终决战
BossNameTextZankibble	弯刀骑士老大
BossNameTextKracko	独眼云
BossNameTextLowper	大洛啪
BossNameTextBlocky	大块头
BossNameTextBonkers	锤星猩
BossNameTextIcedragon	冰龙
BossNameTextKingsdoo	瓦豆鲁笃老大
BossNameTextPoisonboros	毒波洛斯
BossNameTextTelepatris	传送帕托利斯
BossNameTextSusie	异次元苏姿
BossNameTextHelmehorn	盔角虫
BossNameTextSparkbonkers	电火花锤星猩
BossNameTextTeam01	队伍\x0e\x17\0\0・\x0f\x17\0起始
BossNameTextBlazeedge	炎刃
BossNameTextNightmare	异次元梦魇
BossNameTextTeam02	队伍\x0e\x17\0\0・\x0f\x17\0坚若磐石
BossNameTextWaterfrosty	泳将先生
BossNameTextTeam03	队伍\x0e\x17\0\0・\x0f\x17\0一刀两半
BossNameTextIcezankibble	冻霜弯刀骑士老大
