CheckSaveData.msbt
CreateFile	正在建立{c[dc000d]}儲存資料{c[000000]}，\n請稍候片刻。
SwordN8	依照據說無人知曉\n從何處飛來的極樂蝴蝶的模樣\n所鍛造的利劍。\n傳說此劍甚至能使出巨大斬閃。
SwordN9	拯救了王國的勇者們\n秘密繼承的夢幻武器。\n據說只有在世界面臨危機時才會出現，\n是這世上最強的利劍。
HammerA0	初出茅廬的重戰士\n所裝備的木槌，\n就算是新手也能輕易掌握。
HammerB0	獨當一面的重戰士\n所裝備的錘子。\n能拿起它就代表學成出師了。
HammerB1	貼著野獸的毛皮，\n風格狂野的錘子。\n能夠提升好友隕石的威力。
HammerC0	利用遠古生物的骨頭\n打造而成的錘子。\n能夠加快蓄力速度。
HammerC1	裝飾著水藍寶石，\n有如巨大獨眼的錘矛。\n能夠加快蓄力速度。
HammerD0	遠古英雄曾經揮舞的黃金錘。\n能夠增強各種戰鬥能力。
HammerE0	寄宿著神之力的\n傳說武器。\n據說只要那白金的錘頭一揮，\n就能輕易粉碎大地。
HammerFn0	似乎是潛伏在地底深處的\n魔人的部分身軀。\n會給任何敵人\n一記強力的右鉤拳。
HammerFn1	鏡之國的邪惡之心的錘子。\n在金色的鏡中國度裡，\n流傳著拯救危機的\n4名英雄的故事。
HammerJk0	據說能夠招來福氣的小槌。\n只要一揮，寶藏就會蜂擁而來……\n雖然辦不到這種事情，\n但能夠增加取得的碎片。
HammerN0	備受王國的錘子使用者喜愛，\n歷史悠久的武器。\n雖然用了輕盈的素材，\n卻能揮出沉重的打擊。
HammerN1	帶有湛藍寶石\n不可思議力量的錘子。\n會讓持有者的力量湧現，\n使出強力一擊。
HammerN2	寄宿著\n純白猛虎之力的錘子。\n不只能夠增加攻擊力，\n也能提高復活速度。
HammerN3	以七色石打造而成，\n是把色彩繽紛，\n令人嘖嘖稱奇的錘子。\n更容易取得碎片。
HammerN4	仿造擁有魔力的獨眼\n所製成的錘子。\n只要一瞪就能讓對方\n動彈不得……的話就厲害了！
HammerN5	有如百花齊開般\n華麗的槌子。\n這把武器擁有旺盛的生命力，\n只要揮舞就能讓花朵盛放。
HammerN6	以深海底部\n找到的罕見金屬\n打造而成的錘子。\n能夠增強各種能力。
HammerN7	據說是讓世界墮入恐怖漩渦的\n黑暗之王的邪惡之錘。\n扭曲的黑鏡之力\n會增加持有者的力量。
HammerN8	據說是大王\n曾經揮舞的巨錘。\n大王似乎是為了戰勝宿敵，\n才使用這把武器。
HammerN9	拯救了王國的勇者們\n秘密繼承的夢幻武器。\n據說只有在世界面臨危機時才會出現，\n是這世上最強的錘子。
BeamA0	初出茅廬的魔法師\n所裝備的法杖。\n用樸素的木材打造而成。
BeamB0	獨當一面的魔法師\n所使用的法杖。\n鑲著能增強魔法力量的石頭。
BeamB1	使用閃耀紫色光芒的\n高品質魔石\n注入魔力的法杖。
BeamC0	法杖上裝飾著\n永不枯萎的玫瑰。\n擁有治癒的力量。
BeamC1	蘊含宇宙奧秘的法杖。\n藉由星之力\n增強好友隕石的威力。
BeamD0	蘊含遠古英雄強大魔力的法杖。\n能夠增強各種戰鬥能力。
BeamE0	寄宿著神之力的傳說武器。\n這把杖所施展的魔法\n據說能夠停止\n任何對手的時間。
BeamFn0	依照曾由繪畫魔女持有的\n魔法畫筆所製成。\n這畫筆所畫出的彩虹，\n將成為引導英雄的道路。
BeamFn1	仿造來自遠方的旅人──\n魔法洛亞製成的法杖。\n想必他現在也在世上某處\n與遨翔天際的飛船旅行吧。
BeamJk0	魔法少女用可愛姿勢\n揮舞的漂亮法杖。\n星光★閃耀\n轉轉圈圈鈴！
BeamN0	受王宮雇用的魔法師\n所使用的法杖。\n碩大的紅寶石\n能夠增強使用者的魔力。
BeamN1	擁有湛藍寶石\n不可思議力量的法杖。\n不只能提高攻擊力，\n也能提高蓄力速度。
BeamN2	以純白的兔子為形象\n所打造的魔法之杖。\n能夠增強各種能力。
BeamN3	在最前端飾有\n世上罕見的七彩玫瑰，\n是把能夠增強魔力的法杖。\n擁有七彩繽紛的外表。
BeamN4	能夠操控時間的魔法之杖。\n據說擁有在時空中旅行的能力。
BeamN5	和美麗的魔法公主\n十分相配的華麗法杖。\n亮晶晶★鑽石\n既高雅又珍貴！
BeamN6	以深海底部\n找到的罕見金屬\n打造而成的法杖。\n能夠增強各種能力。
BeamN7	雖然是雜貨店祈求生意興隆\n所打造的紀念品，\n但其實是把擁有隱藏力量，\n不為人知的強力法杖。
BeamN8	以想要將星球據為己有的小丑\n為形象打造的法杖。\n只要握著這把法杖，\n就會有點想要惡作劇喔！
BeamN9	拯救了王國的勇者們\n秘密繼承的夢幻武器。\n據說只有在世界面臨危機時才會出現，\n是這世上最強的法杖。
DoctorA0	初出茅廬的學士\n都會裝備的\n平凡燒瓶。
DoctorB0	獨當一面的學士使用的燒瓶。\n既輕便又耐用，\n因此受到許多人喜愛。
DoctorB1	裝有聖水的燒瓶。\n能夠縮短復活的咒文\n所需要的詠唱時間。
DoctorC0	擁有大海治癒力量的玻璃瓶。\n裝滿了寄宿著\n生命之力的水。
DoctorC1	異國術士所使用的玻璃瓶。\n能夠加快復活速度。
DoctorD0	曾經治癒遠古英雄的黃金玻璃瓶。\n能夠增強各種戰鬥能力。
DoctorE0	寄宿著神之力的\n傳說武器。\n從瓶中湧出的秘藥，\n能夠治癒各種疾病與傷口。
DoctorFn0	以某位神秘少女為形象\n所打造的燒瓶。\n愛情的力量\n能夠增強各種能力。
DoctorFn1	仿造傀儡魔法師\n所打造的玻璃瓶。\n據說他的心意，\n從未傳達給侍奉之主。
DoctorJk0	裝滿了\n危險液體的燒瓶。\n有流言指出\n是由某間企業生產的。
DoctorN0	王國學士很愛使用的燒瓶。\n不但擁有治癒的力量，\n也能夠提升攻擊力。
DoctorN1	注入湛藍寶石\n不可思議力量的燒瓶。\n提高了回復效果，\n擅長治癒的武器。
DoctorN2	仿造純白的貓頭鷹\n所打造的燒瓶。\n如果仔細觀察，\n就能發現繪有貓頭鷹的臉。
DoctorN3	以散發彩虹光芒的\n罕見玻璃\n打造而成的燒瓶。\n可以提高各種能力。
DoctorN4	大量吸收了\n森林所含有的翠綠能量，\n玻璃製的四角瓶。
DoctorN5	這個燒瓶內裝滿了\n能夠讓任何人\n對使用者著迷的液體。\n或許可以交到許多朋友？
DoctorN6	以深海底部\n找到的罕見金屬\n打造而成的燒瓶。\n可以增強各種能力。
DoctorN7	仿造從黑鏡誕生的\n另一名傀儡魔法師\n所打造的玻璃瓶。\n有著耀眼奪目的金髮。
DoctorN8	仿造曾經支配天空之民的女王\n所打造的玻璃瓶。\n其對美麗的執著\n因為某面鏡子而加速。
DoctorN9	拯救了王國的勇者們\n秘密繼承的夢幻武器。\n據說只有在世界面臨危機時才會出現。\n世上最強的玻璃瓶。
MelonEquipCommon.msbt
LevelText1	DX
LevelText2	SDX
UpBaseEquipNameText	\x0e\x02\x06\0\x0e\x02\x07\0
ButtonText	\x0e\x02\x06\0\x0e\x02\x07\0
LoHeaderRarityText	稀有
UpBaseRarityText	稀有
UpFunction01	復活速度
UpFunction02	蓄力速度
UpFunction03	取得素材
MelonEquipHat.msbt
SwordA0	新手之兜帽
SwordB0	劍士之兜帽
SwordB1	疾風之兜帽
SwordC0	獨角獸帽盔
SwordC1	緋紅帽盔
SwordD0	黃金帽盔
SwordE0	白金英雄帽盔
SwordFn0	闇物質魔裝
SwordFn1	龍帝翁帽盔
SwordJk0	魚頭帽
SwordN0	騎士帽盔
SwordN1	青金之兜帽
SwordN2	白鷹之兜帽
SwordN3	驚奇非凡帽盔
SwordN4	蒼炎之兜帽
SwordN5	南洋魚頭帽
SwordN6	深淵金屬帽盔
SwordN7	異次元龍帝翁帽盔
SwordN8	極樂之鱗羽冥蝶
SwordN9	星光帽盔
HammerA0	新手之頭盔
HammerB0	重戰士之頭盔
HammerB1	獸頭盔
HammerC0	恐龍頭盔
HammerC1	獨眼巨人頭盔
HammerD0	黃金戰帽
HammerE0	白金重戰帽
HammerFn0	哇姆霸姆面罩
HammerFn1	闇意向鏡冑
HammerJk0	幸福頭巾
HammerN0	英勇頭盔
HammerN1	青金之頭盔
HammerN2	白虎之頭盔
HammerN3	驚奇非凡頭盔
HammerN4	凝視者頭盔
HammerN5	花開頭巾
HammerN6	深淵金屬頭盔
HammerN7	D狂冑‧意向 復仇
HammerN8	逆襲之面罩‧改
HammerN9	星光戰帽
BeamA0	新手之帽子
BeamB0	魔法師之帽子
BeamB1	巫師帽
BeamC0	玫瑰帽
BeamC1	星空之帽子
BeamD0	黃金帽
BeamE0	白金魔法帽
BeamFn0	繪畫墮落錫安帽
BeamFn1	魔法洛亞帽
BeamJk0	魔法少女造型
BeamN0	術師風帽
BeamN1	青金之帽子
BeamN2	白兔之風帽
BeamN3	驚奇非凡帽
BeamN4	克洛諾斯帽
BeamN5	皇女造型
BeamN6	深淵金屬帽
BeamN7	店主魔法洛亞帽
BeamN8	魔嚕酷之帽子
BeamN9	星光帽
DoctorA0	新手之頭巾
DoctorB0	學士之頭巾
DoctorB1	聖徒冠帽
DoctorC0	海水冠帽
DoctorC1	薩滿冠帽
DoctorD0	黃金冠帽
DoctorE0	白金治癒面紗
DoctorFn0	啾啾頭巾
DoctorFn1	塔狼蛛帽
DoctorJk0	瘋狂腦殼
DoctorN0	醫生冠帽
DoctorN1	青金之頭巾
DoctorN2	白貓頭鷹之頭巾
DoctorN3	驚奇非凡冠帽
DoctorN4	治癒師之頭巾
DoctorN5	魅惑眼鏡
DoctorN6	深淵金屬冠帽
DoctorN7	闇塔狼蛛帽
DoctorN8	塞昆托霓雅裝飾面罩
DoctorN9	星光治癒面紗
MelonEquipHatDescription.msbt
SwordA0	初出茅廬的劍士\n所裝備的兜帽。\n不要太期待它的防禦能力。
SwordB0	獨當一面的劍士所使用的兜帽。\n隨風飄揚的赤紅帽飾\n會給予穿戴者勇氣。
SwordB1	以飛羽為形象\n打造而成的輕巧兜帽。\n能夠加快蓄力速度。
SwordC0	聖獸的帽盔。\n能夠提高蓄力速度\n與好友隕石的威力。
SwordC1	代表著紅蓮鬥志的帽盔。\n有如烈焰騰空般\n守護穿戴者。
SwordD0	遠古英雄的帽盔。\n閃爍著金黃色的光輝，\n能夠增強戰鬥方面的\n各種能力。
SwordE0	寄宿著神之力的\n傳說防具。\n白金色的護甲上\n從來沒有留下過傷痕。
SwordFn0	仿造獨眼魔劍士\n所打造的防具。\n看似頭髮的物體\n似乎其實是身體的一部分。
SwordFn1	寄宿著四頭龍之力的帽盔。\n據說龍帝亞守護著\n某個古代文明的遺產。
SwordJk0	以一種躲在其他生物體內的魚為形象\n所打造的防具。\n……這該不會是真正的魚吧？
SwordN0	被允許戰鬥的劍士\n才能夠擁有的帽盔。\n火紅的顏色\n非常受到強者們喜愛。
SwordN1	以湛藍寶石之力\n提高防禦力的\n劍士用兜帽。\n藍色的光澤非常美麗。
SwordN2	以純白老鷹之羽為形象\n打造而成的兜帽。\n能夠加快蓄力速度。
SwordN3	獨角獸帽盔\n變成更加時髦的模樣！\n更容易取得碎片，\n而且還很可愛！
SwordN4	仿造藍色火焰所打造的兜帽。\n搖曳的火焰沉靜堅定地\n守護穿戴者。
SwordN5	有如魚一般的防具。\n一開始可能會嚇一跳，\n但應該很快就會發現它的優點。
SwordN6	以深海底部\n找到的罕見金屬\n打造而成的帽盔。\n能夠增強各種能力。
SwordN7	仿造另一頭龍帝亞\n所打造的帽盔。\n受到不祥之冠的影響，\n力量失去控制。
SwordN8	模仿黃泉騎士所打造的防具。\n據說是呼應銀河最強戰士\n傾盡生命的吶喊\n而降臨於世。
SwordN9	據說只有在世界面臨危機時\n才會出現的夢幻防具。\n有如照亮黑夜的一縷希望之光，\n是這世上最強的帽盔。
HammerA0	初出茅廬的重戰士\n所裝備的頭盔。\n作工有點不可靠。
HammerB0	獨當一面的重戰士所使用的頭盔。\n雖然沒有特殊的力量，\n但性能已經足以應付戰鬥。
HammerB1	使用了觸感優良的毛皮\n所製成的堅韌頭盔。\n能夠提升好友隕石的威力。
HammerC0	利用遠古生物的骨頭\n打造而成的頭盔。\n能夠加快蓄力速度。
HammerC1	將水藍寶石裝飾得\n有如獨眼的頭盔。\n能夠加快蓄力速度。
HammerD0	為勇猛重戰士\n所打造的黃金戰帽。\n能夠增強各種戰鬥能力。
HammerE0	寄宿著神之力的\n傳說防具。\n據說白金色的大角\n能夠彈開任何攻擊。
HammerFn0	仿造哇姆霸姆岩石的臉孔\n打造而成的防具。\n雖然和本人相比小了很多，\n但其震撼力已十分足夠。
HammerFn1	過去企圖支配鏡之國的人\n所裝備的裝甲。\n據說那邪惡的心思\n被一把利劍所打碎。
HammerJk0	非常適合配上滿面微笑的招福頭巾。\n只要戴著它，\n臉上就會出現\n和頭巾相襯的鬍子。
HammerN0	備受王國的錘子使用者喜愛，\n歷史悠久的頭盔。\n兩隻尖角與額上的寶石\n是勇氣與決意的證明。
HammerN1	帶有湛藍寶石\n不可思議力量的頭盔。\n能夠提升好友隕石的威力。
HammerN2	寄宿著純白猛虎之力的頭盔。\n不只能保護頭部，\n也能夠提高復活速度。
HammerN3	上頭鑲有七色石，\n是頂色彩繽紛且令人嘖嘖稱奇的頭盔。\n更容易取得碎片。
HammerN4	仿造擁有魔力的獨眼\n所打造的頭盔。\n在深綠外殼上閃爍的金色眼眸\n看起來威嚇力十足。
HammerN5	有如百花齊開般華麗的頭巾。\n只要戴著它，\n臉上就會出現\n白色的鬍子。
HammerN6	以深海底部\n找到的罕見金屬\n打造而成的頭盔。\n能夠增強各種能力。
HammerN7	據說是讓世界墮入恐怖漩渦的\n黑暗之王的頭盔。\n復仇的怒火所帶來的力量\n增加了黑暗力量。
HammerN8	仿造一心只想復仇的大王的面具\n所打造的頭盔。\n當大王認真想決一勝負時，\n所使用的防具。
HammerN9	據說只有在世界面臨危機時\n才會出現的夢幻防具。\n有如照亮黑夜的一縷希望之光，\n是這世上最強的戰帽。
BeamA0	初出茅廬的魔法師\n所裝備的帽子。\n作工相當簡單。
BeamB0	獨當一面的魔法師\n所裝備的帽子。\n作工也非常適合長途旅行。
BeamB1	使用了優質線材，\n織入護身魔法的帽子。
BeamC0	寄宿著自然之力的帽子。\n擁有柔軟的質地及芬芳的香氣。\n能夠增強治癒能力。
BeamC1	有如璀璨夜空的帽子。\n藉由星之力\n增強好友隕石的威力。
BeamD0	遠古魔法師的帽子。\n藉由黃金之力，\n能夠增強\n各種戰鬥能力。
BeamE0	寄宿著神之力的\n傳說防具。\n額上的寶石\n施有強力的守護魔法。
BeamFn0	依照不知名繪畫上的帽子所製成。\n據說過去戴著這帽子的那位魔女，\n曾將整個世界變成繪畫。
BeamFn1	來自異世界的旅人所穿戴的防具。\n一戴上連嘴巴都能遮住的這頂帽子，\n可能就會開始想要說謊。
BeamJk0	隨處可見的平凡少女\n準備前往秘密戰鬥時的髮型。\n用亮晶晶★粉紅色\n來點綴得可愛一點吧！
BeamN0	受王宮雇用的魔法師\n所戴的風帽。\n藍色絲綢的觸感也相當舒適。
BeamN1	擁有湛藍寶石\n不可思議力量的帽子。\n能夠提高蓄力速度。
BeamN2	仿造純白的兔子\n所製成的魔法風帽。\n上頭有著兔耳般的圖樣。
BeamN3	裝飾著世上罕見的七彩玫瑰，\n能夠增強魔力的帽子。\n擁有花俏的外表。
BeamN4	能夠操控時間的魔法帽子。\n據說擁有在時空中旅行的能力。
BeamN5	與充滿勇氣與同理心，\n從來不會忘記笑容的你\n非常搭配的魔法假髮！\n用亮晶晶★頭飾變美麗！
BeamN6	以深海底部\n找到的罕見金屬\n所製成的帽子。\n能夠增強各種能力。
BeamN7	雖然是雜貨店的紀念品，\n但卻值得信賴的魔法帽子。\n裝備以後，身心都會變得潔白無暇，\n再也不會撒謊……可能吧。
BeamN8	據說是最終BOSS的小丑\n很愛使用的魔法帽子。\n小丑曾經向銀河祈求，\n希望能將星球據為己有。
BeamN9	據說只有在世界面臨危機時\n才會出現的夢幻防具。\n有如照亮黑夜的一縷希望之光，\n是這世上最強的帽子。
DoctorA0	初出茅廬的學士\n所裝備的頭巾。\n性能並不好。
DoctorB0	獨當一面的學士所使用的頭巾。\n白色的面紗就是\n學成獨立的治療師的證明。
DoctorB1	與小型圓框眼鏡成套的\n神聖治療師冠帽。\n能夠加快復活速度。
DoctorC0	充滿上古海水的冠帽。\n神秘的水之力\n能夠增強回復力。
DoctorC1	異國術士的冠帽。\n上面貼著一張靈符，\n能夠加快復活速度。
DoctorD0	引領人們走向正道的學士\n所使用的黃金冠帽。\n能夠增強各種戰鬥能力。
DoctorE0	寄宿著神之力的傳說防具。\n隨著面紗飄盪，\n穿戴者能夠優雅地閃過強力攻擊。
DoctorFn0	仿造過去一同冒險的朋友外型\n所製作的帽子。\n如果你覺得看起來好像在動，\n那一定是眼睛的錯覺。
DoctorFn1	模仿銀髮親信髮型的帽子。\n因為戴著眼鏡的關係，\n感覺看起來更聰明了。
DoctorJk0	仿造優秀科學家的腦袋\n所打造的防具。\n不過那顆腦袋\n其實只是個普通的玩具。
DoctorN0	王國的學士很愛使用的冠帽。\n以紅色眼鏡來鞏固防守\n兼具魅力的一項防具。
DoctorN1	使用了湛藍寶石的頭巾。\n提高了回復效果，\n擅長治癒的防具。
DoctorN2	仿造純白的貓頭鷹\n所製成的頭巾。\n特徵是和燒瓶成套的\n貓頭鷹的臉龐。
DoctorN3	以散發彩虹光芒的罕見絲線\n所織成的冠帽。\n和七彩繽紛的眼鏡成套。
DoctorN4	草紋的美麗頭巾\n與成套的金框眼鏡，\n可以協助完成詠唱咒文的職責。
DoctorN5	這是一副充滿愛的眼鏡，\n只要戴上就會想認識許多朋友。\n頭頂的愛心是力量的來源。
DoctorN6	以深海底部\n找到的罕見金屬\n所製成的冠帽。\n可以增強各種能力。
DoctorN7	將可憐的魔法師黑暗的一面\n具象化而成的帽子。\n與過去的主人的樣貌\n有點相似。
DoctorN8	以美麗女王相關素材\n所打造的優雅面具。\n在她變成現在的樣貌前，\n據說與她的親信十分雷同。
DoctorN9	據說只有在世界面臨危機時\n才會出現的夢幻防具。\n有如照亮黑夜的一縷希望之光，\n是這世上最強的面紗。
MelonMenu.msbt
BackBtnText	返回
ChallengingQuest	試煉探索
BossRankText2	高：
BossRankText2nc	高：
BossRankText5	{c[ffde00]}鬼{c[000000]}：
BossRankText5nc	鬼：
BossRankText6	{c[ff6400]}神{c[000000]}：
BossRankText6nc	神：
BossRankText7	{c[bf00ff]}超{c[000000]}：
BossRankText7nc	超：
BossRankText8	{c[ff0000]}極超{c[000000]}：
BossRankText8nc	極超：
BossCardRankText2	高級別
BossCardRankText5	鬼級別
BossCardRankText6	神級別
BossCardRankText7	超級別
BossCardRankText8	極超級別
BestScoreText	最高分數
BossNameTextGigantedge	龐大刃
BossNameTextMisterfrosty	冰霜先生
BossNameTextWhispyflowers	風語大樹
BossNameTextVolgerom	火山蛙
BossNameTextLandia	龍帝亞
BossNameTextLandiaEx	龍帝亞EX
BossNameTextLandiaAnother	異次元龍帝亞
BossNameTextGranWaddledee	大型‧槍瓦豆魯迪
BossNameTextGranKabu	大型‧石像怪
BossNameTextGranKabuQBoard	雙重 大型隊伍
BossNameTextGranHothead	大型‧熾熱頭
BossNameTextGranHotheadQBoard	三重 大型隊伍
BossNameTextTaranza	塔狼蛛
BossNameTextMaskedBlackDedede	D大王‧意向
BossNameTextMaskedBlackDededeQBoard	最終決戰
BossNameTextMaskedBlackDededeQBoardAprExtremeDemon	真 最終決戰
BossNameTextZankibble	彎刀騎士老大
BossNameTextKracko	獨眼雲
BossNameTextLowper	大洛啪
BossNameTextBlocky	大塊頭
BossNameTextBonkers	錘星猩
BossNameTextIcedragon	冰龍
BossNameTextKingsdoo	瓦豆魯篤老大
BossNameTextPoisonboros	毒波洛斯
BossNameTextTelepatris	傳送帕托利斯
BossNameTextSusie	異次元蘇姿
BossNameTextHelmehorn	盔角蟲
BossNameTextSparkbonkers	電火花錘星猩
BossNameTextTeam01	隊伍‧起始
BossNameTextBlazeedge	炎刃
BossNameTextNightmare	異次元夢魘
