CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	亲爱的……\n艾多……！艾多娜……
C07_EV3020_00020_LUKA	不要……不要啊！
C07_EV3020_00030_GIRL	太好了……放心吧。
C07_EV3020_00040_GIRL	我已经解决敌人了。
C07_EV3020_00050_GIRL	你没受伤吧？站得起来吗？
C07_EV3020_00070_LUKA	别过来！
C07_EV3020_00080_LUKA	该死……怎么回事……头痛得要裂开了……
C07_EV3020_00090_LUKA	又是……那个声音……！
C07_EV3020_00100_GIRL	声音……？
C07_EV3020_00110_LUKA	它告诉我……让我看清真相……！
C07_EV3020_00120_LUKA	真相……真相只有一个！
C07_EV3020_00130_GIRL	路卡……？
C07_EV3020_00140_GIRL	怎么会……！？
C07_EV3020_00150_GIRL	骗人……这不可能……
C07_EV3030_00010_GIRL	不好，我的眼睛……！
C07_EV3040_00010_BAYO	大灰狼，\n原来你在这里欺负小红帽啊……
C07_EV3040_00020_GIRL	等一下！！
C07_EV3040_00030_BAYO	小猫咪，你要干什么？
C07_EV3040_00040_GIRL	不行！\n他、他的真实身份是……
C07_EV3040_00050_BAYO	该不会……？
C07_EV3040_00060_GIRL	可能是逐渐消失的多重宇宙\n对剩下的世界产生了影响。
C07_EV3040_00070_GIRL	所以他才会变成那样……
C07_EV3040_00080_GIRL	等一下！
C07_EV3040_00090_GIRL	只要去阿尔法宇宙打败那个辛裘拉利提，\n应该还有救！
C07_EV3040_00100_BAYO	指望不上了。\n而且你看……
C07_EV3040_00105_BAYO	我们才收集了三个。
C07_EV3040_00110_GIRL	交给我吧！
C07_EV3040_00120_BAYO	交给你？开玩笑吧。
C07_EV3040_00130_GIRL	求你了！
C07_EV3040_00140_GIRL	只有你才能找到混沌的齿轮啊！
C07_EV3040_00150_GIRL	而且他……
C07_EV3040_00160_BAYO	“他”怎么了？
C07_EV3040_00170_GIRL	他……
