CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	カカア…\nエド…！ エドナ…
C01_EV1045_00010_RODN	ちょっと待ちな\nこいつを渡すのを忘れてたぜ
C01_EV1045_00020_RODN	デーモンスレイブを使いこなすお前なら、こいつを扱えるはずだ\nかわいがってやってくれよ？
C01_EV1045_00040_BAYO	いい感じよ
C01_EVa122_00050_BAYO	へえ…乱暴に扱うと ご機嫌を損ねちゃうのね
C01_EVa122_00060_BAYO	それじゃ 私がやさしく遊んであげるわ
CHAPTER/chapter01_ta
C01_TA0001_00010_BAYO	みんな お出迎えありがとう\n玄関はここでよかったかしら？
C01_TA0002_00010_BAYO	足手まといにはならないでね キティ
C01_TA0002_00020_GIRL	キ…キティって呼ぶのはやめろ！\nこんなやつら 私一人で大丈夫だ！！
C01_TA0003_00010_GIRL	何これ？
C01_TA0003_00020_BAYO	魔力に反応して開く箱のようなものよ\nこの島に魔女がいたというのは本当のようね
C01_TA0004_00010_BAYO	あの蜃気楼のように見えるのは…
C01_TA0004_00020_GIRL	ああ きっと次元を超えた先にある 他の並行世界だ
C01_TA0004_00030_GIRL	この島を造った人々は ここで他の世界の様子を\n観測していたのかもしれないな…
C01_TA0012_00010_BAYO	これは…\n月の光に似た波動を感じる
C01_TA0014_00010_BAYO	さしずめ魔力の泉ってところかしら\n…なかなか面白そうな島ね
C01_TA0015_00010_BAYO	そろそろ アンタも暴れたい頃よね！
C01_TA0020_00010_GIRL	行き止まり…？\nでも 妙な壁だな
C01_TA0020_00010_BAYO	魔力のこもったノックで開くのよ\n壁の囁きも聴こえないようじゃ 魔女失格ね
C01_TA0021_00010_BAYO	今度は何のアトラクションかしら？
C01_TA0021_00020_GIRL	これはまさか…\nマルチバースを移動するための装置か？
C01_TA0021_00030_GIRL	ちょっと ベヨネッタ\nあんまり勝手なことしないでよ
C01_TA0023_00010_BAYO	あら もう手遅れみたいよ
C01_TA0023_00020_GIRL	ベヨネッタ！！
C01_TA0023_00030_BAYO	暫くお別れのようね 無事を祈るわ
C01_TA0025_00010_NARR	
C01_TA0025_00020_NARR	
C01_TA0026_00010_NARR	
C01_TA0026_00020_NARR	
C01_TA0026_00030_NARR	
C01_TA0026_00040_NARR	
C01_TA0026_00050_NARR	
C01_TA0026_00060_NARR	
C01_TA0026_00070_NARR	
C01_TA0040_00010_BAYO	ここは…地面が脆くなっているようね
C01_TA0041_00010_SDF3	おーい 誰かいないか
C01_TA0041_00020_SDF3	おーい 居たら返事してくれ～
C01_TA0041_00030_SDF3	くそ せめて人が通れる穴でもあけられれば\nこいつらを連れて出られるのに…
C01_TA0042_00010_SDF3	助かった\nそれにしてもあなたは一体…
C01_TA0050_00010_SDF4	こちら本部 下水施設に取り残され交戦中の\n隊員がいるとの連絡あり
C01_TA0050_00020_SDF4	付近で行動可能なものは至急援護に向かわれたし
C01_TA0050_00030_SDF4	繰り返す
C01_TA0050_00040_SDF4	下水施設に取り残され、交戦中の隊員がいるとの\n連絡あり
C01_TA0050_00050_SDF4	彼らとの連絡は不通\n付近で行動可能なものは至急応援に向かわれたし
C01_TA0060_00010_SDF5	ＨＱ ＨＱ 応答願う こちら【なみぐも】
C01_TA0060_00020_SDF5	現在負傷者を抱え下水施設にて身動きが\n取れない状態でいる
C01_TA0060_00030_SDF5	至急応援求む 至急応援求む
C01_TA0070_00010_SDF6	ＨＱ こちら代々木方面を警戒中の【むらくも】\n対象を追う人影を2体確認
C01_TA0070_00020_SDF6	両者ともその動きは人のものではなく\n同時に巨大な怪物の影を見たとの証言もあり
C01_TA0070_00030_SDF6	新手の可能性も考えられる 注意されたし\n送れ
C01_TA0070_00030_SDF7	本部 新宿方面上空に巨大な飛翔体を確認\n北東に向かって転身中
C01_TA0070_00050_SDF7	…ウソだろ…そんな\n都庁が消失…？！
C01_TA0070_00060_SDF7	どうしたらいいんだ\n本部 至急指示を 本部…
CHAPTER/chapter02_ev
C02_EV1050_00010_BET1	ジャンヌ…
C02_EV1050_00020_BET1	ジャンヌ………ジャンヌ…
C02_EV1050_00030_BET1	ジャーーーンヌ！
C02_EV1055_00010_BAYO	何 今のは…
C02_EV1055_00020_PHAN	なんだ このチビは？
C02_EV1055_00030_PHAN	大きな闘気を感じたが…\nただの人間か！
C02_EV1055_00040_BAYO	なぁに 化け物さん
C02_EV1055_00050_BAYO	筋肉以外にも　ちゃんと中身は\n詰まってるの？
C02_EV1055_00060_PHAN	ほざいたな虫ケラ！\n踏みつぶしてやるわ！
C02_EV1055_00070_PHAN	フン 可愛げのないその態度 言いぐさ…\nやはり主と同じものを感じる
C02_EV1055_00080_PHAN	良かろう ここで会ったのも他生の縁\nしばし共に……行ってやる
C02_EVa145_00010_PHAN	我が主が呼んでいる…\nさらばだ 人間
C02_EVa145_00020_BAYO	あなたの乗り心地 悪くなかったわ\nまた 会いましょう
C02_EV1060_00010_BAYO	あら あんたは少し骨がありそうね
C02_EV1060_00020_BAYO	お名前はなんていうの？
C02_EV1060_00030_BAYO	私 犬のしつけは得意なのよ
C02_EV1060_00040_BAYO	色々芸を仕込んであげるから おいでワン子ちゃん
C02_EV1070_00010_BAYO	誰がご主人様か分かった？
C02_EV1070_00020_BAYO	それじゃあ そこにお座りしてなさい
C02_EV1070_00030_BAYO	…ちょっと厳しすぎたかしら？
CHAPTER/chapter02_ta
C02_TA0090_00010_BAYO	髪が痛みそうだけど…ここを進むしかなさそうね
C02_TA0100_00010_BAYO	あのタンクの水が使えそうね\n…でも 私が行くのは御免だわ
C02_TA0015_00010_NARR	……くそっ……\nタリャー……うわっ……
C02_TA0015_00020_BAYO	この声は…！？
C02_TA0015_00030_NARR	
C02_TA0015_00040_NARR	イッテテ…助かったよ チェシャ
C02_TA0015_00050_NARR	あれはなんだ…？\nチェシャ 行ってみよう！
C02_TA0015_00060_BAYO	賑やかだこと\n…とりあえず無事のようね キティ
C02_TA0140_00010_BAYO	あんたみたいに暴れまわる悪い子は\n彼にきつく縛り上げてもらおうかしら
C02_TA0050_00010_BAYO	あなた 思ったより素敵な乗り心地じゃない
C02_TA0060_00010_BAYO	まぁ 素敵な眺めにしてくれるわね
C02_TA0093_00010_BAYO	天使 悪魔 人間…どの気配とも違うわね\nあんた一体 どこの誰？
CHAPTER/chapter03_ev
C03_EV1080_00010_LUKA	運命を信じるかい？
C03_EV1080_00020_BAYO	ルカ！？
C03_EV1080_00030_LUKA	僕らの出会いは運命だ 誰にも邪魔することは出来ない
C03_EV1080_00040_LUKA	ったく…こいつら ほんとしつこいんだよ
C03_EV1080_00050_LUKA	丁度いい、片付けといてくれないか？
C03_EV1080_00060_LUKA	頼んだぜ！セレシータ！！
C03_EV1080_00070_BAYO	ちょっと…！？
C03_EV1080_00080_BAYO	はぁ…あの行動力には恐れ入るわ
C03_EV1100_00010_BAYO	あれは…！？
C03_EV1100_00020_BET1	用があるのは あんたたちの親玉の方よ
C03_EV1100_00030_BET1	だから 邪魔しないでちょうだい！
C03_EV1100_00035_PHAN	しばし……暇をもらうぞ
C03_EV1100_00040_BET1	ジャックポット！
C03_EV1100_00050_BET1	わかりやすくて助かったわ\nもしかして、わたしにいじめられたいの？
C03_EVa1a3_00005_BET1	グッドタイミング！
C03_EVa1a3_00010_PHAN	待たせたな 主よ！
C03_EVa1a3_00020_BET1	あんただけは絶対に許さない…！
C03_EVa1a3_00030_BOS1	何を言おうと無意味だ\nこの世界が…そしてキミが 滅ぶ運命からは逃れられない
C03_EV1110_00020_BOS1	滅びの事象が 確定し…再生へと更に加速する
C03_EV1110_00030_BOS1	「アーク・イヴ」よ キミの消滅は\n我がアルファ・バースの礎となり －
C03_EV1110_00040_BOS1	永遠に 世界を支え続けるだろう
C03_EV1110_00060_BAYO	あんたの想い たしかに預かったわ…！
C03_EV1110_00070_BAYO	仇はとらせてもらうわ\nジャンヌの分も必ず…
C03_EV1110_00080_BOS1	あぁ…あの小娘にそそのかされたのかい？\nアーク……イヴ……オリジン
C03_EV1110_00090_BOS1	あの島を見事に発見し 境界を 超えてきたようだね。
C03_EV1110_00100_BAYO	何をぶつぶつ言ってるの\nあんたね？ シンギュラリティとかいう色男さんは
C03_EV1110_00110_BOS1	キミが そうだと思うならね
C03_EV1110_00120_BAYO	じゃあ決まりね\nあんたを地獄にブチ込んでやるわ！
C03_EV1110_00130_BAYO	ドゥー・オ・イアー・ベヨネッタ
C03_EV1110_00140_BAYO	ニラー・ダ・コンシェラー・オッド・アナナエル
C03_EV1110_00150_BAYO	イパミス・ノンク・ファフェン・ニース
C03_EV1110_00160_BAYO	アーヴァヴァーゴー・テリオー・ヴラン
C03_EV1120_00010_BAYO	魔界の連中のお口に合うか分からないけど\n頑張って満足させてあげてね
C03_EV1120_00020_BOS1	これはただの依代に過ぎない………欲しければ自由にしてくれ
C03_EV1120_00030_BOS1	アーク・イヴが死んだ今…この世界はすぐに…崩れ去る
C03_EV1120_00035_BOS1	次に会う時を楽しみにしているよ\nアーク・イヴ・オリジン
C03_EV1120_00040_BAYO	それはどうかしら
C03_EV1120_00050_BAYO	…さて あの子は無事でいるかしら？
CHAPTER/chapter03_ta
C03_TA0010_00010_BAYO	さて あのお魚さんはどこへ行ったのかしら？
C03_TA0035_00010_BAYO	私のことをセレシータと呼ぶなんて\nあれは間違いなく私の世界のルカ
C03_TA0035_00020_BAYO	トゥーレに居たのも きっと彼ね…
C03_TA0035_00030_BAYO	それにしても どうしてこんなところに？
C03_TA0040_00010_BAYO	あら やだ あなたそんな芸当もできたのね
C03_TA0065_00010_BET1	逃がさないわよ
C03_TA0085_00010_BET1	そんなにのんびり泳いで 逃げられると思ってるの？
C03_TA0087_00010_BET1	追いかけっこにも飽きてきたわね\nそろそろ楽にしてあげるわ
C03_TA0090_00010_BET1	さあ、もう逃げられないわよ\nたっぷりお仕置きしてあげる
C03_TA0095_00010_BET1	私から逃げようとしても無駄よ\nお気に入りのオモチャは手放さない主義なの！
C03_TA0110_00010_BET1	私を飲み込みたいなら 瓦礫よりも\nキャビアの洪水にして頂戴
CHAPTER/chapter04_ev
C04_EV2020_00010_BAYO	…うかうかしていられないわね
C04_EVa200_00010_BOS2	ここの時間軸は キミのいた世界とまったく同じ
C04_EVa200_00020_BOS2	文明の進化の度合が大きく異なってはいるが\n同様の世界を私は2千飛んで43個確認している
C04_EVa200_00030_BAYO	ご親切にどうも
C04_EVa200_00040_BOS2	そういえば君は 500年の時間旅行を経験済みだったね
C04_EVa200_00050_BAYO	そうね あの退屈な旅より楽しませてもらえそうかしら？
C04_EVa200_00060_BAYO	よほど優秀な知将に仕えているのね\nあなた達の覚悟、絶対無駄にはしないわ！
C04_EV2040_00010_BET2	恐れるな！\n今は立ち止まっている時ではない！
C04_EV2040_00020_BET2	敵の大将はこの先に居る\nここはこいつに任せて先に進むわよ
C04_EV2040_00030_BET2	ついてきなさい！！
C04_EV2045_00010_BAYO	大したものね アンタの主は\nそうね…私にその代わりが務まるかしら？
C04_EVa20a_00020_BAYO	そのドジっぷり…どうも誰かを思い出すのよね
C04_EVa20a_00030_GIRL	暗いよ…
C04_EVa20a_00040_GIRL	狭いよ…
C04_EVa20a_00050_GIRL	怖いよ！！
C04_EVa20a_00060_GIRL	や やぁ ベヨネッタ 無事だったんだね\nちょうど邪魔者を ―
C04_EVa242_00010_GIRL	ほらほら！
C04_EVa242_00020_GIRL	イェーイ！
C04_EVa242_00030_GIRL	やったぜ！
C04_EV2050_00010_GIRL	…そんなことより
C04_EV2050_00020_GIRL	マルチバースの挾間に飛ばされたんじゃないかって\n心配してたんだぜ
C04_EV2050_00030_GIRL	なぁ 私を助けたつもりかも知れないけど、\nあれは別にピンチってわけでもなくて 何ていうか…
C04_EV2050_00040_GIRL	…ちょっと反撃の機会を伺ってたというか\nどのタイミングで一発食らわしたらキマるかなって
C04_EV2050_00050_BAYO	心配なのはあんたの方よ
C04_EV2050_00060_BAYO	レッスン１\n油断は大敵よ 覚えておきなさい キティ
C04_EV2050_00070_GIRL	そ その呼び方はやめろって言っただろ！
C04_EV2050_00080_GIRL	それで…あれは手に入ったのか？
C04_EV2050_00095_GIRL	ちょ ちょっととと！？
C04_EV2050_00090_GIRL	フッ…「混沌の歯車」 本当にあったのか
C04_EV2050_00100_GIRL	仮説が正しければ この「混沌の歯車」を５つ集め\nシグルズ博士の協力が得られれば アルファ・バースに…
C04_EV2050_00105_GIRL	って…ちょっ…
C04_EV2050_00110_BAYO	そんなに大層なものなのかどうか知らないけど、\n取りあえず私が預かっておくわ
C04_EV2050_00120_BAYO	あんたじゃきっと 危なっかしいものね キティ
C04_EV2050_00130_GIRL	うー 何度も同じこと言わせるな
C04_EV2050_00140_GIRL	私の名前はヴィオラ！\nV・I・O・L・fucking A ヴィオラだ！
C04_EV2050_00160_LUKA	ご立腹だな お嬢さん
C04_EV2050_00170_LUKA	だが そいつに名前を呼んでもらうのは\n一人前になってからだぜ
CHAPTER/chapter04_ta
C04_TA0001_00010_BAYO	さて あの子はどこに居るのかしら？
C04_TA0001_00020_BAYO	泣いてなきゃ いいけど…
C04_TA0005_00010_BAYO	あら、私の魔力じゃ不満ってわけ？
C04_TA0007_00010_BAYO	さぁ 今度はどんな世界へ招待してくれたのかしら？
C04_TA0020_00010_BAYO	あなた達じゃ危険よ\n代わりに私が相手しておいてあげる
C04_TA0035_00010_BAYO	悪趣味なデカブツね
C04_TA0040_00010_BAYO	何か聞こえるわね\n何の音かしら？
C04_TA0050_00010_GIRL	デカけりゃいいってもんじゃねぇ！\nお前なんか私一人でぶっ潰してやる！
C04_TA0090_00010_BAYO	ねぇ、さっきのは何？\nもしかして あなた―
C04_TA0090_00020_GIRL	…え？
C04_TA0090_00030_GIRL	か 勘違いしないでよ\n私は暗いのも狭いのも 全っ然平気ですけど何か！？
C04_TA0090_00040_GIRL	そんなことより 今は戦いに集中しなよ！
C04_TA0070_00010_CSL1	
C04_TA0080_00010_CSL2	
C04_TA0090_00010_CSL3	
C04_TA0100_00010_CSL4	
C04_TA0120_00110_BAYO	素直にやられていた方が良かったって\n後悔させてあげる
C04_TA0140_00010_BAYO	あんたたち 根を通じて繋がってるってわけね
C04_TA0150_00010_BAYO	みんな一度に踏み潰されても 元気でいられるかしら？
CHAPTER/chapter05_ev
C05_EV2055_00010_GIRL	ルカ…？
C05_EV2055_00020_LUKA	そう 俺の名はL・U・K・A…
C05_EV2055_00030_LUKA	おや 自己紹介はもう済ませてたかな？\nお転婆なお嬢さん
C05_EV2055_00040_GIRL	え？えーっと いや…
C05_EV2055_00045_LUKA	純血の証…？
C05_EV2055_00050_LUKA	君は…
C05_EV2055_00060_LUKA	さて 俺は行くぜ\nあの声の正体を…
C05_EV2055_00070_LUKA	じゃあな お嬢さんたち。
C05_EV2055_00070_BAYO	キティ\nあんた あの男についていてくれないかしら
C05_EV2055_00080_GIRL	え！？ 私が？ 一人で？
C05_EV2055_00090_BAYO	レッスン２
C05_EV2055_00100_BAYO	人のために戦うってことも覚えといたほうがいいわ\nあの男なんて教材にピッタリよ
C05_EV2055_00110_BAYO	それに…
C05_EV2055_00120_GIRL	それに？
C05_EV2055_00130_BAYO	ともかくあとは……頼んだわよ
C05_EV2055_00140_GIRL	ちょ ちょっと！
C05_EVa226_00010_GIRL	えっ ちょっ まっ そ そ そんな！？嘘だろ！！
C05_EVa227_00010_GIRL	はぁ 熱いし 濡れるし もう、サイアク！
C05_EVa227_00020_GIRL	いけない…\nルカ はぁ 早く探さなきゃ！
C05_EVa227_00030_GIRL	邪魔をするな！！
C05_EV2060_00010_GIRL	ルカ…？ そこにいるの？
C05_EV2060_00030_GIRL	なんだ 今のは…！？
C05_EV2060_00040_GIRL	邪魔するんじゃない！\n畜生…かかってきな！
C05_EVa228_00005_GIRL	サヨナラ
C05_EVa228_00010_GIRL	はぁ ヤバっ やっと追いつけたと思ったのに…くっ
CHAPTER/chapter05_ta
C05_TA0110_00005_GIRL	クソッ なんてひどいありさまだ
C05_TA0110_00010_GIRL	シンギュラリティめ…！
C05_TA0110_00020_GIRL	ルカは 大丈夫だよな…
C05_TA0120_00010_GIRL	ルカ 待ってくれ！
C05_TA0130_00010_GIRL	なぁ お願いだから待ってくれよ！
C05_TA0140_00010_GIRL	おーい 待てって言ってるだろ！\nダメだ まるで聞こえてない…
C05_TA0150_00010_ENZ2	うわっとと
C05_TA0150_00020_ENZ2	おい どこ見てやがる\n気をつけろ！！
C05_TA0150_00030_ENZ2	なんだ 挨拶もなしか！
C05_TA0150_00040_ENZ2	まったく今時の若い奴ときたら…
C05_TA0160_00010_GIRL	まったく…この調子じゃ いつか溶岩に落ちて\nまる焦げになっちまうぜ　
C05_TA0200_00010_GIRL	ヤバいヤバい 着替え持ってきてないのに！
C05_TA0201_00010_GIRL	どどど どうしよう！
C05_TA0203_00010_GIRL	うわぁ！ あちちちち！
CHAPTER/chapter06_ev
C06_EVa2a0_00010_BAYO	助かったわ
C06_EVa2a0_00020_BET2	この子が世話になったみたいね\nさぁ行くわよ
C06_EV2070_00020_BOS2	楔の力は私の物になった\nじきにこの世界も定められた運命を辿る
C06_EV2070_00030_BOS2	この体も もう必要はないが ―
C06_EV2070_00040_BOS2	捨てる前に遊んであげよう\n君は まだ先の予定だったんだがね さっ いくよ
C06_EV2070_00050_BAYO	ドゥー・オ・イアー・ベヨネッタ
C06_EV2070_00060_BAYO	ニラー・ダ・コンシェラー・オッド・アナナエル
C06_EV2070_00070_BAYO	ターブス・セ・バーバロン・ゾナック・シャオフィー・バルザーグ
C06_EV2070_00075_BAYO	ファ・フェン・ニース
C06_EV2070_00080_BAYO	遊んであげよう？
C06_EV2070_00090_BAYO	この前より遊びごたえがあるといいけど
C06_EV2080_00010_BAYO	良かったわね\nあんたみたいなのでも 魔界じゃおやつくらいにはなるそうよ
C06_EV2080_00020_BOS2	楽しかったよ アーク・イヴ・オリジン\n今回はここでお別れだ
C06_EV2080_00030_BOS2	いずれ正式に会うことになる\nだから君が 急いで私を探す必要などない
C06_EV2080_00040_BOS2	そう言って大人しくしている君ではないだろうがね\nでは いずれまた
C06_EV2080_00050_BAYO	あれは…？
CHAPTER/chapter06_ta
C06_TA0011_00010_BAYO	これは…武将の像？\n私の像がひとつくらいあってもいいんじゃない？
C06_TA0012_00010_BAYO	許可もなく突っ込んでくるなんて\n行儀が悪いわね
C06_TA0050_00010_BAYO	あらあら…余程この先に行かせたくないようね
C06_TA0052_00010_BAYO	綺麗な塔が傷物になっちゃったわね\n…この際 有効利用させてもらってもいいかしら？
C06_TA0060_00020_BAYO	火口に近づいてきたようね\n…まさか 歯車はあそこに？
C06_TA0070_00010_BAYO	あら 自分からわざわざ来てくれたのね\n手間が省けて助かったわ
C06_TA0080_00010_BAYO	そんな熱いお風呂に入って平気なの？\n私とは好みが合わないわ
C06_TA0090_00010_BAYO	そういえば 熱いお風呂が好きな子が\nこっちにも一人いたわね
C06_TA0095_00010_NARR	アーク・イヴよ 恐れるな\n死はひとつの通過点に過ぎない
C06_TA0095_00020_NARR	君にとっても この世界にとっても ね
C06_TA0095_00030_NARR	死ぬのはあんたよ\nこの世界は 何があっても守る！
C06_TA0100_00010_BAYO	ありったけの弾をブチ込んであげるわ！
C06_TA0110_00010_BET2	準備は整った\nさぁ こいつをお見舞いしてやろう！！
CHAPTER/chapter07_ev
C07_EV3000_00020_GIRL	イッテテ…うっ、クソ…
C07_EV3000_00030_GIRL	こんなところ…ベヨネッタに見られたら 何を言われるか…
C07_EV3000_00040_GIRL	さっきのオオカミ野郎か？
C07_EV3000_00050_GIRL	ルカを早く見つけないと…！
C07_EV3010_00020_GIRL	クソっ！\n私に恨みでもあるのかよ この砂漠は！
C07_EV3010_00030_GIRL	はぁ それより ここはどこなんだ？
C07_EV3010_00040_GIRL	…おい ウソだろ！？\nチェシャ あいつどこへ行っちまったんだよ！
C07_EVa302_00020_GIRL	いってて ちっ……くしょう！
C07_EVa302_00030_GIRL	も もう………ダメ…… 無理…
C07_EVa302_00040_GIRL	こんなところで死んでたまるか！
C07_EVa302_00050_GIRL	チェシャ！？
C07_EVa302_00060_GIRL	来い！
C07_EVa305_00010_GIRL	まったく…世話が焼けるヤツ…だぜ…
C07_EVa306_00020_GIRL	死ぬかと……思ったぜ…
C07_EVa306_00040_GIRL	ありがと チェシャ
C07_EVa306_00050_GIRL	オッケー 力が湧いてきた\n待ってろよ、ルカ！
C07_EVa304_00010_GIRL	ルカ！？
C07_EV3020_00010_GIRL	ルカ！ 大丈夫か！？
C07_EV3020_00020_LUKA	やめろ…やめてくれ…！
C07_EV3020_00030_GIRL	よかった…安心しろ
