bag.dat
msg_ui_bag_okodukai_00	盘缠
msg_ui_bag_use_msg_29	[VAR 0107(0000)]的ＰＰ增加了！\c
msg_ui_bag_use_msg_30	包包已满，不能接收道具了！\c
msg_ui_bag_use_msg_32	ＰＰ回复了！\c
msg_ui_bag_use_msg_39	不能用于昏厥的宝可梦。\c
msg_ui_bag_use_msg_43	同行的宝可梦已满，无法分离。\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_use_union_msg_00	无法与昏厥的宝可梦合体。\c
msg_ui_bag_use_union_msg_01	无法与那只宝可梦合体。\c
msg_ui_bag_use_union_msg_02	无法与蛋合体。\c
msg_ui_bag_use_union_msg_03	同行的宝可梦已满，无法分离。\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]变成其他样子了！\c
msg_ui_bag_use_union_msg_05	要和哪只宝可梦合体呢？
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]\n忘记了[VAR 0107(0001)]……\c
msg_ui_bag_use_special_msg_00	要改变[VAR 0102(0000)]的特性吗？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]的特性\n变成了[VAR 0106(0001)]！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	攻击
msg_ui_bag_lvup_01	防御
msg_ui_bag_lvup_02	特攻
msg_ui_bag_lvup_03	特防
msg_ui_bag_lvup_04	速度
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	要改变[VAR 0102(0000)]的能力吗？
msg_ui_bag_use_msg_49	因[VAR 0109(0000)]的效果，\n[VAR 0102(0001)]的能力\r\n似乎发生了变化！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	要使用多少个[VAR 0109(0001)]？
msg_ui_bag_use_msg_51	极巨化等级\n提高了[VAR 0201(0000)]级！\c
msg_ui_bag_use_msg_52	要使用多少个[VAR 0109(0001)]？
msg_ui_bag_use_msg_53	包包打开时，\n无法骑自行车。\c
msg_ui_bag_use_msg_54	包包打开时，\n无法钓鱼。\c
msg_ui_bag_use_msg_55	无法在包包中\n使用宝可梦盒！\c
msg_ui_bag_use_msg_56	灯泡
msg_ui_bag_use_msg_57	微波炉
msg_ui_bag_use_msg_58	洗衣机
msg_ui_bag_use_msg_59	冰箱
msg_ui_bag_use_msg_60	电风扇
msg_ui_bag_use_msg_61	割草机
msg_ui_bag_use_msg_62	要购买哪种家电呢？
msg_ui_bag_use_msg_63	旷野地带的巨巢中，\n出现了[VAR 0101(0000)]！\c
msg_ui_bag_use_msg_64	巨巢中\n已经有宝可梦出现了。\c
msg_ui_bag_use_msg_65	n/a
msg_ui_bag_use_msg_66	n/a
msg_ui_bag_use_msg_67	n/a
msg_ui_bag_use_msg_68	n/a
msg_ui_bag_use_msg_69	……哦！？\n[VAR 0102(0000)]的样子……！
msg_ui_bag_use_msg_70	继续守望
msg_ui_bag_use_msg_71	取消
msg_ui_bag_use_msg_72	必须取得胜利！\c
msg_ui_bag_use_msg_73	查看能力
msg_ui_bag_use_msg_74	进化
msg_ui_bag_esc_msg_00	真的要放生吗？
msg_ui_bag_esc_msg_01	已将[VAR 0102(0000)]放生了。\n再见，[VAR 0102(0000)]。\c
msg_ui_bag_esc_msg_02	无法将蛋放生！\c
msg_ui_bag_esc_msg_03	这样就没有可以战斗的宝可梦了！\c
msg_ui_bag_dump_02	要丢弃多少个\n[VAR 0109(0000)]呢？
msg_ui_bag_dump_04	丢弃
msg_ui_bag_dump_03	查看能力
msg_ui_bag_optionbar_00	选择
msg_ui_bag_optionbar_01	替换
msg_ui_bag_optionbar_02	返回
msg_ui_bag_optionbar_03	分１个
msg_ui_bag_optionbar_04	放置
msg_ui_bag_optionbar_05	取消
msg_ui_bag_use_msg_75	[VAR 0102(0000)]\n获得了经验值！\c
msg_ui_bag_use_msg_76	[VAR 0102(0000)]\n等级提升了！\c
msg_ui_bag_use_msg_77	[VAR 0102(0000)]\n能够进化了！\c
msg_ui_bag_use_msg_78	[VAR 0102(0000)]灵光一闪\n想到新的招式了！\c
msg_ui_bag_use_msg_79	确定要继续吗？
msg_ui_bag_use_msg_80	要锻炼哪项能力呢？
msg_ui_bag_use_msg_81	已锻炼至极致！\c
msg_ui_bag_use_msg_82	[VAR 0102(0000)]的[VAR 010D(0001)]的\n奋斗等级提升了！\c
msg_ui_bag_use_msg_83	无法用这个道具来锻炼！\c
msg_ui_bag_use_msg_84	现在无法使用。\c
msg_ui_bag_use_msg_85	变得不容易\n被宝可梦发现了！\c
msg_ui_bag_use_msg_86	放牧场已满，\n现在无法捉住宝可梦！\c
msg_ui_bag_use_msg_87	之前使用的喷雾效果还留着！\c
msg_ui_bag_waza_01	[VAR 0201(0000)]
msg_ui_bag_waza_02	/
msg_ui_bag_waza_03	[VAR 0201(0000)]
msg_ui_bag_use_msg_88	要精通哪个招式？
msg_ui_bag_use_msg_89	[VAR 0102(0000)]\n精通了招式！\c
msg_ui_bag_glv_00	奋斗等级
msg_ui_bag_glv_01	[VAR 0201(0000)]
msg_ui_bag_check	调查
msg_ui_bag_use_msg_90	现在无法进化。\c
msg_ui_bag_senyou_menu_leave	取消
msg_ui_bag_expup	+[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_91	[VAR 0102(0000)]的\n冻伤痊愈了！\c
msg_ui_bag_use_msg_92	[VAR 0102(0000)]的\n睡意消失了！\c
msg_ui_bag_next_exp	[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_93	必须取得胜利！\c
msg_ui_bag_use_msg_94	已整理好腰包！\c
msg_ui_bag_use_msg_89_s	[VAR 0102(0000)]\n精通了招式！\c
msg_ui_bag_use_msg_78_s	[VAR 0102(0000)]灵光一闪\n想到新的招式了！\c
box.dat
msg_ui_box_top_00	[~ 0]
msg_ui_box_popup_00	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
msg_ui_box_popup_01	[VAR 0102(0000)]
msg_ui_box_top_box_00	[~ 3]
msg_ui_box_top_box_01	一览
msg_ui_box_top_find	搜寻
msg_ui_box_find_01	搜寻
msg_ui_box_pokename	[VAR 0102(0000)]
msg_ui_box_male	♂
msg_ui_box_female	♀
msg_ui_box_lv_00	Lv.[VAR 0202(0000)]
msg_ui_box_lv_01	[VAR 0202(0000)]
msg_ui_box_pokedex_00	No.[VAR 0202(0000)]
msg_ui_box_pokedex_01	[VAR 0202(0000)]
msg_ui_box_pokedex_no	－
msg_ui_box_pokedex_question	？？？
msg_ui_box_pokerace_00	[VAR 0101(0000)]
msg_ui_status_parent_00	[~ 17]
msg_ui_status_parent_01	[~ 18]
msg_ui_box_parent_01	初训家
msg_ui_box_parent_02	[VAR 0100(0000)]
msg_ui_box_hp_00	ＨＰ
msg_ui_box_hp_01	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_box_hp_02	[~ 23]
msg_ui_box_hp_03	[~ 24]
msg_ui_box_atk	攻击
msg_ui_box_def	防御
msg_ui_box_spatk	特攻
msg_ui_box_spdef	特防
msg_ui_box_agi	速度
msg_ui_box_status	[VAR 0202(0000)]
msg_ui_box_status_00	[VAR 0201(0000)]
msg_ui_box_tokusei_00	特性
msg_ui_box_tokusei_01	[VAR 0106(0000)]
msg_ui_box_item_00	持有物
msg_ui_box_item_01	[VAR 0109(0000)]
msg_ui_box_noitem	-
msg_ui_box_waza_00	[VAR 0107(0000)]
msg_ui_x_00	整理
msg_ui_x_01	持有物
msg_ui_x_02	[~ 40]
msg_ui_y_00	一般
msg_ui_y_01	范围
msg_ui_y_02	便利
msg_ui_box_range	[~ 44]
msg_ui_box_top_02	[VAR 01C0(0000)]
msg_ui_box_context_00	要拿[VAR 0102(0000)]\n怎么办？
msg_ui_box_context_01	移动
msg_ui_box_context_02	查看能力
msg_ui_box_context_03	持有物
msg_ui_box_context_04	标记
msg_ui_box_context_05	[~ 51]
msg_ui_box_context_06	取消
msg_ui_box_context_07	确定要用\n所选的宝可梦吗？
msg_ui_box_context_08	[~ 54]
msg_ui_box_marking	[~ 55]
msg_ui_box_esc_00	真的要放生吗？
msg_ui_box_esc_01	是
msg_ui_box_esc_02	否
msg_ui_box_esc_03	[~ 59]
msg_ui_box_esc_04	无法将蛋放生！\c
msg_ui_box_esc_05	[~ 61]
msg_ui_box_esc_06	[~ 62]
msg_ui_box_esc_07	这样就没有可以战斗的宝可梦了！\c
msg_ui_box_esc_08	[~ 64]
msg_ui_box_esc_09	没有找到符合条件的宝可梦。\c
msg_ui_box_esc_10	无法将此宝可梦放生。\c
msg_ui_box_change_00	[~ 67]
msg_ui_box_change_01	[~ 68]
msg_ui_box_change_02	[~ 69]
msg_ui_box_change_03	[~ 70]
msg_ui_box_wallpaper_00	[~ 71]
msg_ui_box_wallpaper_01	[~ 72]
msg_ui_box_wallpaper_02	[~ 73]
msg_ui_box_wallpaper_03	[~ 74]
msg_ui_box_wallpaper_04	[~ 75]
msg_ui_box_wallpaper_05	[~ 76]
msg_ui_box_wallpaper_06	[~ 77]
msg_ui_box_wallpaper_07	[~ 78]
msg_ui_box_wallpaper_08	[~ 79]
msg_ui_box_wallpaper_09	[~ 80]
msg_ui_box_wallpaper_10	[~ 81]
msg_ui_box_wallpaper_11	[~ 82]
msg_ui_box_wallpaper_12	[~ 83]
msg_ui_box_wallpaper_13	[~ 84]
msg_ui_box_wallpaper_14	[~ 85]
msg_ui_box_wallpaper_15	[~ 86]
msg_ui_box_wallpaper_16	[~ 87]
msg_ui_box_wallpaper_17	[~ 88]
msg_ui_box_wallpaper_18	[~ 89]
msg_ui_box_wallpaper_19	[~ 90]
msg_ui_box_item_bag_00	[~ 91]
msg_ui_box_item_move	[~ 92]
msg_ui_box_item_bag_01	[~ 93]
msg_ui_box_item_bag_02	[~ 94]
msg_ui_box_item_bag_03	[~ 95]
msg_ui_box_item_03	[~ 96]
msg_ui_box_item_04	[~ 97]
msg_ui_box_item_05	[~ 98]
msg_ui_box_item_06	[~ 99]
msg_ui_box_btlteam_00	[~ 100]
msg_ui_box_btlteam_01	[~ 101]
msg_ui_box_btlteam_02	[~ 102]
msg_ui_box_btlteam_03	[~ 103]
msg_ui_box_btlteam_04	[~ 104]
msg_ui_box_btlteam_05	[~ 105]
msg_ui_box_btlteam_06	[~ 106]
msg_ui_box_btlteam_07	[~ 107]
msg_ui_box_btlteam_08	[~ 108]
msg_ui_box_btlteam_09	[~ 109]
msg_ui_box_search_00	选择条件后按“搜寻”，就会开始筛选！
msg_ui_box_search_01	宝可梦
msg_ui_box_search_02	属性１
msg_ui_box_search_03	属性２
msg_ui_box_search_04	招式
msg_ui_box_search_05	[~ 115]
msg_ui_box_search_06	特性
msg_ui_box_search_07	性格
msg_ui_box_search_08	性别
msg_ui_box_search_09	持有物
msg_ui_box_search_10	标记
msg_ui_box_search_11	[~ 121]
msg_ui_box_search_12	[VAR 0101(0000)]
msg_ui_box_search_13	[VAR 0103(0000)]
msg_ui_box_search_14	[VAR 0107(0000)]
msg_ui_box_search_15	[~ 125]
msg_ui_box_search_16	[VAR 0106(0000)]
msg_ui_box_search_17	[VAR 0108(0000)]
msg_ui_box_search_18	♂
msg_ui_box_search_19	♀
msg_ui_box_search_20	性别无
msg_ui_box_search_22	携带
msg_ui_box_search_23	不携带
msg_ui_box_search_24	[~ 133]
msg_ui_box_search_25	请选择宝可梦名字的首字母。
msg_ui_box_search_26	请选择宝可梦。
msg_ui_box_search_27	请选择属性1。
msg_ui_box_search_28	请选择属性2。
msg_ui_box_search_29	请选择招式名字的首字母。
msg_ui_box_search_30	请选择招式。
msg_ui_box_search_31	[~ 140]
msg_ui_box_search_32	请选择宝可梦特性的首字母。
msg_ui_box_search_33	请选择特性。
msg_ui_box_search_34	请选择宝可梦的性格。
msg_ui_box_search_35	请选择宝可梦的性别。
msg_ui_box_search_36	可以查到携带持有物的宝可梦。
msg_ui_box_search_37	可以查到有标记的宝可梦。
msg_ui_box_search_38	[~ 147]
msg_ui_box_search_39	[~ 148]
msg_ui_box_search_40	[VAR 0103(0001)]
msg_ui_box_search_41	[VAR 0103(0002)]
msg_ui_box_search_42	[VAR 0106(0000)]
msg_ui_box_search_43	[VAR 0108(0000)]
msg_ui_box_search_44	[VAR 0107(0000)]
msg_box_seikaku_00	比较容易均衡地增长。
msg_box_seikaku_01	攻击增长容易。\n防御增长困难。
msg_box_seikaku_02	攻击增长容易。\n速度增长困难。
msg_box_seikaku_03	攻击增长容易。\n特攻增长困难。
msg_box_seikaku_04	攻击增长容易。\n特防增长困难。
msg_box_seikaku_05	防御增长容易。\n攻击增长困难。
msg_box_seikaku_06	比较容易均衡地增长。
msg_box_seikaku_07	防御增长容易。\n速度增长困难。
msg_box_seikaku_08	防御增长容易。\n特攻增长困难。
msg_box_seikaku_09	防御增长容易。\n特防增长困难。
msg_box_seikaku_10	速度增长容易。\n攻击增长困难。
msg_box_seikaku_11	速度增长容易。\n防御增长困难。
msg_box_seikaku_12	比较容易均衡地增长。
msg_box_seikaku_13	速度增长容易。\n特攻增长困难。
msg_box_seikaku_14	速度增长容易。\n特防增长困难。
msg_box_seikaku_15	特攻增长容易。\n攻击增长困难。
msg_box_seikaku_16	特攻增长容易。\n防御增长困难。
msg_box_seikaku_17	特攻增长容易。\n速度增长困难。
msg_box_seikaku_18	比较容易均衡地增长。
msg_box_seikaku_19	特攻增长容易。\n特防增长困难。
msg_box_seikaku_20	特防增长容易。\n攻击增长困难。
msg_box_seikaku_21	特防增长容易。\n防御增长困难。
msg_box_seikaku_22	特防增长容易。\n速度增长困难。
msg_box_seikaku_23	特防增长容易。\n特攻增长困难。
msg_box_seikaku_24	比较容易均衡地增长。
msg_ui_box_trdplayer_00	交换对象
msg_ui_box_trdplayer_01	[VAR 0100(0000)]
msg_ui_box_p2ptrd	确定要进行宝可梦的交换吗？
msg_ui_box_p2ptrd_00	正在等待对方的回复……\n请稍等片刻。
msg_ui_box_p2ptrd_01	已中止交换。\c
msg_ui_box_p2ptrd_02	对方选择了结束。\n即将结束交换。\c
msg_ui_box_p2ptrd_03	对方已中止交换。\c\n交换结束。\c
msg_ui_box_p2ptrd_04	要结束宝可梦交换吗？
msg_ui_box_p2ptrd_05	由于对方的宝可梦有问题，\n因此无法交换。\c
msg_ui_box_p2ptrd_06	由于自己的宝可梦有问题，\n因此无法交换。\c
msg_ui_box_p2ptrd_07	注意！\n在交换宝可梦的过程中，\n如果因连接错误\n或主机电源被切断等原因\n导致连接结束，\n会有一段时间无法交换宝可梦。
msg_ui_box_p2ptrd_08	正在写入记录……\n请勿切断电源。
msg_ui_box_p2ptrd_09	正在等待连接……\n请稍等片刻。
msg_ui_box_p2ptrd_10	要接收交换对象的\n联盟卡吗？
msg_ui_box_p2ptrd_11	要用[VAR 0101(0001)]\n交换对方的[VAR 0101(0000)]吗？
msg_ui_box_p2ptrd_12	那个蛋是不能用来交换的。\c
msg_ui_box_trd_00	交换
msg_ui_box_trd_01	[~ 196]
msg_ui_box_trd_02	查看对方的宝可梦
msg_ui_box_trd_03	查看自己的宝可梦
msg_ui_box_select	选择
msg_ui_box_select_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_box_list_pokename	[VAR 0102(0000)]
msg_ui_box_npctrd_00	那只宝可梦不能用来交换。\c
msg_ui_box_npctrd_01	没有可以用来交换的宝可梦。\c
msg_ui_box_npctrd_02	蛋是不能用来交换的。\c
msg_ui_box_npctrd_03	[~ 205]
msg_ui_box_npctrd_04	[~ 206]
msg_ui_box_bl_00	[~ 207]
msg_ui_box_bl_01	[~ 208]
msg_ui_box_bl_02	[~ 209]
msg_ui_box_bl_03	[~ 210]
msg_ui_box_bl_04	[~ 211]
msg_ui_box_option_00	确定
msg_ui_box_live_comm_00	查看对方能力
msg_ui_box_select_error_00	无法选择蛋。\c
msg_ui_box_select_error_03	无法选择同行的宝可梦。\c
msg_ui_box_select_error_04	选择的数量已超出限制。\c
msg_ui_box_select_error_05	无法选择昏厥的宝可梦。\c
msg_ui_box_option_02	返回
msg_ui_box_option_03	切换操作
msg_ui_box_option_04	切换模式
msg_ui_box_option_05	能力
msg_ui_box_option_06	搜寻
msg_ui_box_option_07	重置
msg_ui_box_option_09	全选
msg_ui_box_option_10	评定
msg_ui_box_option_11	取消
msg_ui_box_option_12	替换
msg_ui_box_option_13	更改名字
msg_ui_box_option_14	放生
msg_ui_box_option_15	选择
msg_ui_box_option_16	移除
msg_ui_box_option_17	不放生
msg_ui_box_option_18	下一步
msg_ui_box_option_19	一并放生
msg_ui_box_pokesend_01	要放生已选择的宝可梦吗？
msg_ui_box_pokesend_03	即将放生稀有宝可梦。\n真的可以吗？
msg_ui_box_pokesend_02	已将宝可梦放生了。\n再见，保重哦！\c
msg_ui_box_pokesend_10	[~ 238]
msg_ui_box_pokesend_11	[~ 239]
msg_ui_box_pokesend_12	[~ 240]
msg_ui_box_pokesend_13	[~ 241]
msg_ui_box_pokesend_20	[~ 242]
msg_ui_box_pokesend_30	请选择要放生的宝可梦。
msg_ui_box_judge_00	还算可以的能力
msg_ui_box_judge_01	中等偏上的能力
msg_ui_box_judge_02	相当优秀的能力
msg_ui_box_judge_03	了不起的能力！
msg_ui_box_judge_04	也许不行
msg_ui_box_judge_05	一般般
msg_ui_box_judge_06	相当好
msg_ui_box_judge_07	非常好
msg_ui_box_judge_08	了不起
msg_ui_box_judge_09	最棒
msg_judge_03_01	锻炼了！
msg_ui_box_waza_denju_01	[~ 255]
cmp.dat
cmp_sel_01	宝可梦
cmp_sel_02	购物
cmp_sel_03	休息
cmp_sel_04	返回
cmp_sel_05	[~ 4]
cmp_sel_06	一会儿
cmp_text_01	要在帐篷里\n休息一段时间吗？
ret_text_00	要休息多久呢？
recovery_text_01	[VAR 0102(0000)]在休息后\n恢复了活力！
recovery_text_02	[VAR 0102(0000)]它们在休息后，\n全都恢复了活力！
cmp_cmn_001	要去调查的话，可不要疏于准备哦。
cmp_cmn_002	要带哪只宝可梦走呢？
cmp_cmn_003	要买些什么吗？
cmp_cmn_004	要是杂货店的晓白能进新商品就好了。\n这样一来我就有更多东西可以卖了……\c\n哎呀，你要带去调查的宝可梦\n还有道具，都准备好了吗？
hud.dat
msg_ui_hud_field_01	玩家操作指南
msg_ui_hud_capture_01	[VAR 0109(0000)]
msg_ui_hud_capture_02	[VAR 0203(0000,0000)]
msg_ui_hud_01_01	[VAR 0201(0000)]
msg_ui_hud_guide_ride_00_jump	跳跃
msg_ui_hud_guide_ride_00_dash	冲刺
msg_ui_hud_guide_ride_01_jump	[~ 6]
msg_ui_hud_guide_ride_01_wall_jump	跳跃
msg_ui_hud_guide_ride_01_get_off	放手
msg_ui_hud_guide_ride_02_jump	跳跃
msg_ui_hud_guide_ride_02_dash	冲刺
msg_ui_hud_guide_ride_02_throw	[~ 11]
msg_ui_hud_guide_ride_02_gaze	冲刺
msg_ui_hud_guide_ride_03_swoop	急降
msg_ui_hud_guide_ride_04_dig	挖宝
msg_ui_hud_guide_ride_04_jump	[~ 15]
msg_ui_hud_guide_sousa_dummy	
		[~ 17]
msg_ui_hud_guide_sousa_00	移动
msg_ui_hud_guide_sousa_01	调查／对话
msg_ui_hud_guide_sousa_02	蹲下／站起
msg_ui_hud_guide_sousa_03	阿尔宙斯手机
msg_ui_hud_guide_sousa_04	投掷准备／投掷
msg_ui_hud_guide_sousa_05	操作镜头
msg_ui_hud_guide_sousa_06	重置镜头
msg_ui_hud_guide_sousa_07	按住按键来注视
msg_ui_hud_guide_sousa_08	切换分类
msg_ui_hud_guide_sousa_09	闪避
msg_ui_hud_guide_sousa_10	蹲下／站起
msg_ui_hud_guide_sousa_11	切换投掷内容
msg_ui_hud_guide_sousa_12	查看地图
msg_ui_hud_guide_sousa_13	按住按键来准备投掷
msg_ui_hud_guide_sousa_14	放开按键来投掷
msg_ui_hud_guide_sousa_15	冲刺
msg_ui_hud_guide_sousa_16	宝可骑行
msg_ui_hud_guide_sousa_17	切换坐骑宝可梦
msg_ui_hud_guide_dex_01	查看图鉴
map.dat
msg_ui_map_cap_02	n/a
msg_ui_map_cap_03	n/a
msg_ui_map_01_01	n/a
msg_ui_map_01_02	n/a
msg_ui_map_01_03	[VAR 0202(0000)]
msg_ui_map_01_04	[VAR 01D7(0000)]
msg_ui_map_01_05	委托人
msg_ui_map_01_06	[VAR 01D8(0000)]
msg_ui_map_01_07	
msg_ui_map_01_08	目的
msg_ui_map_01_09	
msg_ui_map_01_10	n/a
msg_ui_map_01_11	n/a
msg_ui_map_01_12	n/a
msg_ui_map_01_13	[VAR 0105(0000)]
