bag.dat
msg_ui_bag_okodukai_00	所持金
msg_ui_bag_use_msg_22	どの　ポケモンに　使いますか？
msg_ui_bag_use_msg_23	どの　ポケモンに　持たせますか？
msg_ui_bag_use_msg_24	タマゴには　持たせられません\c
msg_ui_bag_use_msg_25	パワーポイントが回復した！\c
msg_ui_bag_use_msg_26	[VAR 0109(0000)]と\n[VAR 0109(0001)]を　取り替えますか？
msg_ui_bag_use_msg_27	どの技を回復する？
msg_ui_bag_use_msg_28	どの技を　増やす？
msg_ui_bag_use_msg_29	[VAR 0107(0000)]の\nパワーポイントが　増えた！\c
msg_ui_bag_use_msg_30	ポーチが　一杯で\n道具を受け取れません！\c
msg_ui_bag_use_msg_32	パワーポイントが回復した！\c
msg_ui_bag_use_msg_39	ひんしの　ポケモンには使えません\c
msg_ui_bag_use_msg_43	手持ちが　いっぱいなので\n分離できません\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_use_union_msg_00	ひんしの　ポケモンとは\n合体できません\c
msg_ui_bag_use_union_msg_01	その　ポケモンとは\n合体できません\c
msg_ui_bag_use_union_msg_02	タマゴとは\n合体できません\c
msg_ui_bag_use_union_msg_03	手持ちが　いっぱい　なので\n分離できません\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]は\n別の姿に　変化した！\c
msg_ui_bag_use_union_msg_05	どの　ポケモンと\n合体しますか？
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　忘れた……\c
msg_ui_bag_use_special_msg_00	[VAR 0102(0000)]の　特性を\n変えますか？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]の　特性が\n[VAR 0106(0001)]に　変化した！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	こうげき
msg_ui_bag_lvup_01	ぼうぎょ
msg_ui_bag_lvup_02	とくこう
msg_ui_bag_lvup_03	とくぼう
msg_ui_bag_lvup_04	すばやさ
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	[VAR 0102(0000)]の　能力を\n変化させますか？
msg_ui_bag_use_msg_49	[VAR 0109(0000)]の　効果で\n[VAR 0102(0001)]の　能力に\r\n変化が　起きたようだ！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	[VAR 0109(0001)]を\nいくつ　使いますか？
msg_ui_bag_use_msg_51	ダイマックスレベルが\n[VAR 0201(0000)]　あがった！\c
msg_ui_bag_use_msg_52	[VAR 0109(0001)]を\nいくつ使いますか？
msg_ui_bag_use_msg_53	バッグからは\nじてんしゃには　乗れません\c
msg_ui_bag_use_msg_54	バッグからは\nつりは　できません\c
msg_ui_bag_use_msg_55	バッグからは\nポケモンボックスを　使えません！\c
msg_ui_bag_use_msg_56	電球
msg_ui_bag_use_msg_57	電子レンジ
msg_ui_bag_use_msg_58	洗濯機
msg_ui_bag_use_msg_59	冷蔵庫
msg_ui_bag_use_msg_60	扇風機
msg_ui_bag_use_msg_61	芝刈り機
msg_ui_bag_use_msg_62	どの　家電を\n注文しますか？
msg_ui_bag_use_msg_63	ワイルドエリアの　ダイ巣穴に\n[VAR 0101(0000)]が　出現した！\c
msg_ui_bag_use_msg_64	すでに　ダイ巣穴に\nポケモンが　現れている\c
msg_ui_bag_use_msg_65	n/a
msg_ui_bag_use_msg_66	n/a
msg_ui_bag_use_msg_67	n/a
msg_ui_bag_use_msg_68	n/a
msg_ui_bag_use_msg_69	……おや！？\n[VAR 0102(0000)]の様子が……！
msg_ui_bag_use_msg_70	そのまま見守る
msg_ui_bag_use_msg_71	キャンセル
msg_ui_bag_use_msg_72	勝利するしかない！\c
msg_ui_bag_use_msg_73	つよさをみる
msg_ui_bag_use_msg_74	進化
msg_ui_bag_esc_msg_00	本当に逃がしますか？
msg_ui_bag_esc_msg_01	[VAR 0102(0000)]を逃がしてあげた\nばいばい　[VAR 0102(0000)]\c
msg_ui_bag_esc_msg_02	タマゴを逃がすことは　できません！\c
msg_ui_bag_esc_msg_03	戦うポケモンが　いなくなります！\c
msg_ui_bag_dump_02	[VAR 0109(0000)]を\nいくつ捨てますか？
msg_ui_bag_dump_04	捨てる
msg_ui_bag_dump_03	つよさをみる
msg_ui_bag_optionbar_00	選ぶ
msg_ui_bag_optionbar_01	いれかえ
msg_ui_bag_optionbar_02	戻る
msg_ui_bag_optionbar_03	１つわける
msg_ui_bag_optionbar_04	おく
msg_ui_bag_optionbar_05	キャンセル
msg_ui_bag_use_msg_75	[VAR 0102(0000)]は\n経験値を　もらった！\c
msg_ui_bag_use_msg_76	[VAR 0102(0000)]は\nレベルが　あがった！\c
msg_ui_bag_use_msg_77	[VAR 0102(0000)]は\n進化できるように　なった！\c
msg_ui_bag_use_msg_78	[VAR 0102(0000)]は\n新しい技を　ひらめいた！\c
msg_ui_bag_use_msg_79	本当に　よろしいですか？
msg_ui_bag_use_msg_80	どの能力を鍛えますか？
msg_ui_bag_use_msg_81	最大まで鍛えられている！\c
msg_ui_bag_use_msg_82	[VAR 0102(0000)]は　[VAR 010D(0001)]の\nがんばレベルが　あがった！\c
msg_ui_bag_use_msg_83	この道具では鍛えられません！\c
msg_ui_bag_use_msg_84	いまは使えません\c
msg_ui_bag_use_msg_85	ポケモンに\n気づかれにくくなった！\c
msg_ui_bag_use_msg_86	放牧場がいっぱいで\nいまはポケモンを捕まえられない！\c
msg_ui_bag_use_msg_87	まだ前に使った\nスプレーの効果が残ってます！\c
msg_ui_bag_waza_01	[VAR 0201(0000)]
msg_ui_bag_waza_02	/
msg_ui_bag_waza_03	[VAR 0201(0000)]
msg_ui_bag_use_msg_88	どの技を　皆伝する？
msg_ui_bag_use_msg_89	[VAR 0102(0000)]は\n技を　皆伝した！\c
msg_ui_bag_glv_00	がんばレベル
msg_ui_bag_glv_01	[VAR 0201(0000)]
msg_ui_bag_check	調べる
msg_ui_bag_use_msg_90	いまは進化できません\c
msg_ui_bag_senyou_menu_leave	やめる
msg_ui_bag_expup	+[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_91	[VAR 0102(0000)]の\nしもやけが治った！\c
msg_ui_bag_use_msg_92	[VAR 0102(0000)]の\nねむけが覚めた！\c
msg_ui_bag_next_exp	[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_93	勝利するしかない！\c
msg_ui_bag_use_msg_94	ポーチを整理しました！\c
msg_ui_bag_use_msg_89_s	[VAR 0102(0000)]は\n技を　皆伝した！\c
msg_ui_bag_use_msg_78_s	[VAR 0102(0000)]は\n新しい技を　ひらめいた！\c
box.dat
msg_ui_box_top_00	[~ 0]
msg_ui_box_popup_00	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
msg_ui_box_popup_01	[VAR 0102(0000)]
msg_ui_box_top_box_00	[~ 3]
msg_ui_box_top_box_01	一覧
msg_ui_box_top_find	探す
msg_ui_box_find_01	探す
msg_ui_box_pokename	[VAR 0102(0000)]
msg_ui_box_male	♂
msg_ui_box_female	♀
msg_ui_box_lv_00	Lv.[VAR 0202(0000)]
msg_ui_box_lv_01	[VAR 0202(0000)]
msg_ui_box_pokedex_00	No.[VAR 0202(0000)]
msg_ui_box_pokedex_01	[VAR 0202(0000)]
msg_ui_box_pokedex_no	－
msg_ui_box_pokedex_question	？？？
msg_ui_box_pokerace_00	[VAR 0101(0000)]
msg_ui_status_parent_00	[~ 17]
msg_ui_status_parent_01	[~ 18]
msg_ui_box_parent_01	親
msg_ui_box_parent_02	[VAR 0100(0000)]
msg_ui_box_hp_00	ＨＰ
msg_ui_box_hp_01	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_box_hp_02	[~ 23]
msg_ui_box_hp_03	[~ 24]
msg_ui_box_atk	こうげき
msg_ui_box_def	ぼうぎょ
msg_ui_box_spatk	とくこう
msg_ui_box_spdef	とくぼう
msg_ui_box_agi	すばやさ
msg_ui_box_status	[VAR 0202(0000)]
msg_ui_box_status_00	[VAR 0201(0000)]
msg_ui_box_tokusei_00	とくせい
msg_ui_box_tokusei_01	[VAR 0106(0000)]
msg_ui_box_item_00	もちもの
msg_ui_box_item_01	[VAR 0109(0000)]
msg_ui_box_noitem	-
msg_ui_box_waza_00	[VAR 0107(0000)]
msg_ui_x_00	せいり
msg_ui_x_01	もちもの
msg_ui_x_02	[~ 40]
msg_ui_y_00	つうじょう
msg_ui_y_01	はんい
msg_ui_y_02	べんり
msg_ui_box_range	[~ 44]
msg_ui_box_top_02	[VAR 01C0(0000)]
msg_ui_box_context_00	[VAR 0102(0000)]を\nどうしますか？
msg_ui_box_context_01	いどうする
msg_ui_box_context_02	つよさをみる
msg_ui_box_context_03	もちもの
msg_ui_box_context_04	マーキング
msg_ui_box_context_05	[~ 51]
msg_ui_box_context_06	やめる
msg_ui_box_context_07	えらんだ　ポケモンで\nよろしいでしょうか？
msg_ui_box_context_08	[~ 54]
msg_ui_box_marking	[~ 55]
msg_ui_box_esc_00	本当に逃がしますか？
msg_ui_box_esc_01	はい
msg_ui_box_esc_02	いいえ
msg_ui_box_esc_03	[~ 59]
msg_ui_box_esc_04	タマゴを　逃がすことは　できません！\c
msg_ui_box_esc_05	[~ 61]
msg_ui_box_esc_06	[~ 62]
msg_ui_box_esc_07	戦うポケモンが　いなくなります！\c
msg_ui_box_esc_08	[~ 64]
msg_ui_box_esc_09	条件にあう\nポケモンが　みつかりません\c
msg_ui_box_esc_10	そのポケモンは　逃がせません\c
msg_ui_box_change_00	[~ 67]
msg_ui_box_change_01	[~ 68]
msg_ui_box_change_02	[~ 69]
msg_ui_box_change_03	[~ 70]
msg_ui_box_wallpaper_00	[~ 71]
msg_ui_box_wallpaper_01	[~ 72]
msg_ui_box_wallpaper_02	[~ 73]
msg_ui_box_wallpaper_03	[~ 74]
msg_ui_box_wallpaper_04	[~ 75]
msg_ui_box_wallpaper_05	[~ 76]
msg_ui_box_wallpaper_06	[~ 77]
msg_ui_box_wallpaper_07	[~ 78]
msg_ui_box_wallpaper_08	[~ 79]
msg_ui_box_wallpaper_09	[~ 80]
msg_ui_box_wallpaper_10	[~ 81]
msg_ui_box_wallpaper_11	[~ 82]
msg_ui_box_wallpaper_12	[~ 83]
msg_ui_box_wallpaper_13	[~ 84]
msg_ui_box_wallpaper_14	[~ 85]
msg_ui_box_wallpaper_15	[~ 86]
msg_ui_box_wallpaper_16	[~ 87]
msg_ui_box_wallpaper_17	[~ 88]
msg_ui_box_wallpaper_18	[~ 89]
msg_ui_box_wallpaper_19	[~ 90]
msg_ui_box_item_bag_00	[~ 91]
msg_ui_box_item_move	[~ 92]
msg_ui_box_item_bag_01	[~ 93]
msg_ui_box_item_bag_02	[~ 94]
msg_ui_box_item_bag_03	[~ 95]
msg_ui_box_item_03	[~ 96]
msg_ui_box_item_04	[~ 97]
msg_ui_box_item_05	[~ 98]
msg_ui_box_item_06	[~ 99]
msg_ui_box_btlteam_00	[~ 100]
msg_ui_box_btlteam_01	[~ 101]
msg_ui_box_btlteam_02	[~ 102]
msg_ui_box_btlteam_03	[~ 103]
msg_ui_box_btlteam_04	[~ 104]
msg_ui_box_btlteam_05	[~ 105]
msg_ui_box_btlteam_06	[~ 106]
msg_ui_box_btlteam_07	[~ 107]
msg_ui_box_btlteam_08	[~ 108]
msg_ui_box_btlteam_09	[~ 109]
msg_ui_box_search_00	条件を　選び　「探す」を　おすと\nしぼりこみを　開始します！
msg_ui_box_search_01	ポケモン
msg_ui_box_search_02	タイプ１
msg_ui_box_search_03	タイプ２
msg_ui_box_search_04	わざ
msg_ui_box_search_05	[~ 115]
msg_ui_box_search_06	とくせい
msg_ui_box_search_07	せいかく
msg_ui_box_search_08	せいべつ
msg_ui_box_search_09	もちもの
msg_ui_box_search_10	マーク
msg_ui_box_search_11	[~ 121]
msg_ui_box_search_12	[VAR 0101(0000)]
msg_ui_box_search_13	[VAR 0103(0000)]
msg_ui_box_search_14	[VAR 0107(0000)]
msg_ui_box_search_15	[~ 125]
msg_ui_box_search_16	[VAR 0106(0000)]
msg_ui_box_search_17	[VAR 0108(0000)]
msg_ui_box_search_18	♂
msg_ui_box_search_19	♀
msg_ui_box_search_20	せいべつなし
msg_ui_box_search_22	持っている
msg_ui_box_search_23	持っていない
msg_ui_box_search_24	[~ 133]
msg_ui_box_search_25	ポケモンの　名前を\n頭文字で　選んでください
msg_ui_box_search_26	ポケモンを　選んでください
msg_ui_box_search_27	タイプ1を　選んでください
msg_ui_box_search_28	タイプ2を　選んでください
msg_ui_box_search_29	技の　名前の\n頭文字を　選んでください
msg_ui_box_search_30	技を　選んでください
msg_ui_box_search_31	[~ 140]
msg_ui_box_search_32	ポケモンの　特性の\n頭文字を　選んでください
msg_ui_box_search_33	特性を　選んでください
msg_ui_box_search_34	ポケモンの\n性格を　選んでください
msg_ui_box_search_35	ポケモンの\n性別を　選んでください
msg_ui_box_search_36	もちものを　持っている　ポケモンを\n調べることが　できます
msg_ui_box_search_37	マークを　つけた　ポケモンを\n調べることが　できます
msg_ui_box_search_38	[~ 147]
msg_ui_box_search_39	[~ 148]
msg_ui_box_search_40	[VAR 0103(0001)]
msg_ui_box_search_41	[VAR 0103(0002)]
msg_ui_box_search_42	[VAR 0106(0000)]
msg_ui_box_search_43	[VAR 0108(0000)]
msg_ui_box_search_44	[VAR 0107(0000)]
msg_box_seikaku_00	バランスよく　成長しやすい。
msg_box_seikaku_01	攻撃が　成長しやすい。\n防御が　成長しにくい。
msg_box_seikaku_02	攻撃が　成長しやすい。\n素早さが　成長しにくい。
msg_box_seikaku_03	攻撃が　成長しやすい。\n特攻が　成長しにくい。
msg_box_seikaku_04	攻撃が　成長しやすい。\n特防が　成長しにくい。
msg_box_seikaku_05	防御が　成長しやすい。\n攻撃が　成長しにくい。
msg_box_seikaku_06	バランスよく　成長しやすい。
msg_box_seikaku_07	防御が　成長しやすい。\n素早さが　成長しにくい。
msg_box_seikaku_08	防御が　成長しやすい。\n特攻が　成長しにくい。
msg_box_seikaku_09	防御が　成長しやすい。\n特防が　成長しにくい。
msg_box_seikaku_10	素早さが　成長しやすい。\n攻撃が　成長しにくい。
msg_box_seikaku_11	素早さが　成長しやすい。\n防御が　成長しにくい。
msg_box_seikaku_12	バランスよく　成長しやすい。
msg_box_seikaku_13	素早さが　成長しやすい。\n特攻が　成長しにくい。
msg_box_seikaku_14	素早さが　成長しやすい。\n特防が　成長しにくい。
msg_box_seikaku_15	特攻が　成長しやすい。\n攻撃が　成長しにくい。
msg_box_seikaku_16	特攻が　成長しやすい。\n防御が　成長しにくい。
msg_box_seikaku_17	特攻が　成長しやすい。\n素早さが　成長しにくい。
msg_box_seikaku_18	バランスよく　成長しやすい。
msg_box_seikaku_19	特攻が　成長しやすい。\n特防が　成長しにくい。
msg_box_seikaku_20	特防が　成長しやすい。\n攻撃が　成長しにくい。
msg_box_seikaku_21	特防が　成長しやすい。\n防御が　成長しにくい。
msg_box_seikaku_22	特防が　成長しやすい。\n素早さが　成長しにくい。
msg_box_seikaku_23	特防が　成長しやすい。\n特攻が　成長しにくい。
msg_box_seikaku_24	バランスよく　成長しやすい。
msg_ui_box_trdplayer_00	交換相手
msg_ui_box_trdplayer_01	[VAR 0100(0000)]
msg_ui_box_p2ptrd	ポケモンの交換をします\nよろしいですか？
msg_ui_box_p2ptrd_00	相手の　返事を　待っています\nしばらく　お待ちください
msg_ui_box_p2ptrd_01	交換を　中止しました\c
msg_ui_box_p2ptrd_02	終了が　選ばれました\n交換を　終わりに　します\c
msg_ui_box_p2ptrd_03	相手が　交換を\n中止しました\c\n交換を終了します\c
msg_ui_box_p2ptrd_04	ポケモン交換を\n終了しますか？
msg_ui_box_p2ptrd_05	相手の　ポケモンに　問題が\nあるため　交換できません\c
msg_ui_box_p2ptrd_06	自分の　ポケモンに　問題が\nあるため　交換できません\c
msg_ui_box_p2ptrd_07	注意！\nポケモン交換を\nしている　途中で\n通信エラーや\n本体の　電源が　切れて\n通信が　終了すると\nしばらく　ポケモン交換が\nできなくなります
msg_ui_box_p2ptrd_08	レポートを　書いています\n電源を　切らないでください
msg_ui_box_p2ptrd_09	通信待機中\nしばらく　お待ちください
msg_ui_box_p2ptrd_10	交換相手の　リーグカードを\n受け取りますか？
msg_ui_box_p2ptrd_11	相手の　[VAR 0101(0000)]と\n[VAR 0101(0001)]を　交換しますか？
msg_ui_box_p2ptrd_12	その　タマゴは\n交換に　だせません\c
msg_ui_box_trd_00	交換する
msg_ui_box_trd_01	[~ 196]
msg_ui_box_trd_02	相手のポケモンをみる
msg_ui_box_trd_03	自分のポケモンをみる
msg_ui_box_select	えらぶ
msg_ui_box_select_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_box_list_pokename	[VAR 0102(0000)]
msg_ui_box_npctrd_00	その　ポケモンは\n交換に　だせません\c
msg_ui_box_npctrd_01	交換に　だせる\nポケモンが　いません\c
msg_ui_box_npctrd_02	タマゴは\n交換に　だせません\c
msg_ui_box_npctrd_03	[~ 205]
msg_ui_box_npctrd_04	[~ 206]
msg_ui_box_bl_00	[~ 207]
msg_ui_box_bl_01	[~ 208]
msg_ui_box_bl_02	[~ 209]
msg_ui_box_bl_03	[~ 210]
msg_ui_box_bl_04	[~ 211]
msg_ui_box_option_00	決定
msg_ui_box_live_comm_00	相手の強さをみる
msg_ui_box_select_error_00	タマゴは選べません\c
msg_ui_box_select_error_03	手持ちのポケモンは選べません\c
msg_ui_box_select_error_04	これ以上　選べません\c
msg_ui_box_select_error_05	ひんしのポケモンは選べません\c
msg_ui_box_option_02	戻る
msg_ui_box_option_03	操作切り替え
msg_ui_box_option_04	モード切り替え
msg_ui_box_option_05	ステータス
msg_ui_box_option_06	探す
msg_ui_box_option_07	リセット
msg_ui_box_option_09	全選択
msg_ui_box_option_10	ジャッジ
msg_ui_box_option_11	やめる
msg_ui_box_option_12	いれかえ
msg_ui_box_option_13	名前を変える
msg_ui_box_option_14	逃がす
msg_ui_box_option_15	選ぶ
msg_ui_box_option_16	外す
msg_ui_box_option_17	逃がすのをやめる
msg_ui_box_option_18	次へ
msg_ui_box_option_19	まとめて逃がす
msg_ui_box_pokesend_01	選んでいるポケモンを逃がしますか？
msg_ui_box_pokesend_03	珍しいポケモンを逃がしますが\n本当によろしいですか？
msg_ui_box_pokesend_02	ポケモンを逃がしてあげた\nバイバイ　元気でね！\c
msg_ui_box_pokesend_10	[~ 238]
msg_ui_box_pokesend_11	[~ 239]
msg_ui_box_pokesend_12	[~ 240]
msg_ui_box_pokesend_13	[~ 241]
msg_ui_box_pokesend_20	[~ 242]
msg_ui_box_pokesend_30	逃がすポケモンを選んでください
msg_ui_box_judge_00	まずまずの　能力
msg_ui_box_judge_01	平均以上の　能力
msg_ui_box_judge_02	相当優秀な　能力
msg_ui_box_judge_03	素晴らしい　能力！
msg_ui_box_judge_04	ダメかも
msg_ui_box_judge_05	まあまあ
msg_ui_box_judge_06	かなりいい
msg_ui_box_judge_07	すごくいい
msg_ui_box_judge_08	すばらしい
msg_ui_box_judge_09	さいこう
msg_judge_03_01	きたえた！
msg_ui_box_waza_denju_01	[~ 255]
cmp.dat
cmp_sel_01	ポケモン
cmp_sel_02	買い物
cmp_sel_03	休む
cmp_sel_04	もどる
cmp_sel_05	[~ 4]
cmp_sel_06	少しだけ
cmp_text_01	テントで[VAR FF01(0001,0002,4F11,3084,3059)]休んで\n[VAR FF01(0002,0003,6642,9593,3058,304B,3093)]時間を[VAR FF01(0001,0001,904E,3059)]過ごしますか？
ret_text_00	どれだけ[VAR FF01(0001,0002,4F11,3084,3059)]休みますか？
recovery_text_01	[VAR 0102(0000)]は　[VAR FF01(0001,0002,4F11,3084,3059)]休んで\n[VAR FF01(0002,0003,5143,6C17,3052,3093,304D)]元気になった！
recovery_text_02	[VAR 0102(0000)]たちは　[VAR FF01(0001,0002,4F11,3084,3059)]休んで\nみんな[VAR FF01(0002,0003,5143,6C17,3052,3093,304D)]元気になった！
cmp_cmn_001	[VAR FF01(0002,0004,8ABF,67FB,3061,3087,3046,3055)]調査にいくなら[VAR FF01(0002,0004,6E96,5099,3058,3085,3093,3073)]準備は[VAR FF01(0001,0003,6020,304A,3053,305F)]怠るなよ
cmp_cmn_002	どのポケモンを[VAR FF01(0001,0001,9023,3064)]連れていくんだ？
cmp_cmn_003	なにか[VAR FF01(0001,0001,8CB7,304B)]買っていくか？
