bag.dat
msg_ui_bag_okodukai_00	しょじきん
msg_ui_bag_use_msg_20	はかせの　ことば……\n[VAR 0100(0000)]　こういった　ものには\r\nつかいどきが　ありますよ\c
msg_ui_bag_use_msg_21	ポケモンが　いませんよ！\c
msg_ui_bag_use_msg_22	どの　ポケモンに　つかいますか？
msg_ui_bag_use_msg_23	どの　ポケモンに　もたせますか？
msg_ui_bag_use_msg_24	タマゴには　もたせられません\c
msg_ui_bag_use_msg_25	パワーポイントが　かいふくした！\c
msg_ui_bag_use_msg_26	[VAR 0109(0000)]と\n[VAR 0109(0001)]を　とりかえますか？
msg_ui_bag_use_msg_27	どのわざを　かいふくする？
msg_ui_bag_use_msg_28	どのわざを　ふやす？
msg_ui_bag_use_msg_29	[VAR 0107(0000)]の\nパワーポイントが　ふえた！\c
msg_ui_bag_use_msg_30	バッグが　いっぱいで\nどうぐを　うけとれません！\c
msg_ui_bag_use_msg_32	パワーポイントが　かいふくした！\c
msg_ui_bag_use_msg_39	ひんしの　ポケモンには\nつかえません\c
msg_ui_bag_use_msg_43	てもちが　いっぱい　なので\nぶんり　できません\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_use_union_msg_00	ひんしの　ポケモンとは\nがったい　できません\c
msg_ui_bag_use_union_msg_01	その　ポケモンとは\nがったい　できません\c
msg_ui_bag_use_union_msg_02	タマゴとは\nがったい　できません\c
msg_ui_bag_use_union_msg_03	てもちが　いっぱい　なので\nぶんり　できません\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]は\nべつの　すがたに　へんかした！\c
msg_ui_bag_use_union_msg_05	どの　ポケモンと\nがったい　しますか？
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　わすれた……\c
msg_ui_bag_use_special_msg_00	[VAR 0102(0000)]の　とくせいを\nかえますか？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]の　とくせいが\n[VAR 0106(0001)]に　へんかした！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	こうげき
msg_ui_bag_lvup_01	ぼうぎょ
msg_ui_bag_lvup_02	とくこう
msg_ui_bag_lvup_03	とくぼう
msg_ui_bag_lvup_04	すばやさ
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	[VAR 0102(0000)]の　のうりょくを\nへんかさせますか？
msg_ui_bag_use_msg_49	[VAR 0109(0000)]の　こうかで\n[VAR 0102(0001)]の　のうりょくに\r\nへんかが　おきたようだ！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	[VAR 0109(0001)]を\nいくつ　つかいますか？
msg_ui_bag_use_msg_51	ダイマックスレベルが\n[VAR 0201(0000)]　あがった！\c
msg_ui_bag_use_msg_52	[VAR 0109(0001)]を\nいくつ　つかいますか？
msg_ui_bag_use_msg_53	バッグからは\nじてんしゃには　のれません\c
msg_ui_bag_use_msg_54	バッグからは\nつりは　できません\c
msg_ui_bag_use_msg_55	バッグからは\nポケモンボックスを　つかえません！\c
msg_ui_bag_use_msg_56	でんきゅう
msg_ui_bag_use_msg_57	でんしレンジ
msg_ui_bag_use_msg_58	せんたくき
msg_ui_bag_use_msg_59	れいぞうこ
msg_ui_bag_use_msg_60	せんぷうき
msg_ui_bag_use_msg_61	しばかりき
msg_ui_bag_use_msg_62	どの　かでんを\nちゅうもんしますか？
msg_ui_bag_use_msg_63	ワイルドエリアの　ダイすあなに\n[VAR 0101(0000)]が　しゅつげんした！\c
msg_ui_bag_use_msg_64	すでに　ダイすあなに\nポケモンが　あらわれている\c
msg_ui_bag_use_msg_65	いくつ　お供えしますか？
msg_ui_bag_use_msg_66	[VAR 0202(0000)]%
msg_ui_bag_use_msg_67	祈りは　十分に\n届いているようだ\c
msg_ui_bag_use_msg_68	トレーナーゲージが　足りないので\n道具を使えません\c
msg_ui_bag_use_msg_69	……おや！？\n[VAR 0102(0000)]の　ようすが……！
msg_ui_bag_use_msg_70	そのままみまもる
msg_ui_bag_use_msg_71	キャンセル
msg_ui_bag_use_msg_72	やめておこう\nひとのものを　とったら　どろぼうだ\c
msg_ui_bag_use_msg_73	つよさをみる
msg_ui_bag_use_msg_74	ようすをみる
msg_ui_bag_esc_msg_00	ほんとうに　にがしますか？
msg_ui_bag_esc_msg_01	[VAR 0102(0000)]を　にがしてあげた\nばいばい　[VAR 0102(0000)]\c
msg_ui_bag_esc_msg_02	タマゴを　にがすことは　できません！\c
msg_ui_bag_esc_msg_03	たたかうポケモンが　いなくなります！\c
msg_ui_bag_dump_02	[VAR 0109(0000)]を\nいくつ　すてますか？
msg_ui_bag_dump_04	すてる
msg_ui_bag_dump_03	つよさをみる
msg_ui_bag_optionbar_00	えらぶ
msg_ui_bag_optionbar_01	いれかえ
msg_ui_bag_optionbar_02	もどる
msg_ui_bag_optionbar_03	１つわける
msg_ui_bag_optionbar_04	おく
msg_ui_bag_optionbar_05	キャンセル
msg_ui_bag_use_msg_75	[VAR 0102(0000)]は\nけいけんちを　もらった！\c
msg_ui_bag_use_msg_76	[VAR 0102(0000)]は\nレベルが　あがった！\c
msg_ui_bag_use_msg_77	[VAR 0102(0000)]は\nしんか　できるように　なった！\c
msg_ui_bag_use_msg_78	[VAR 0102(0000)]は\nあたらしいわざを　ひらめいた！\c
msg_ui_bag_use_msg_79	ほんとうに　よろしいですか？
msg_ui_bag_use_msg_80	どの　のうりょくを　きたえますか？
msg_ui_bag_use_msg_81	さいだいまで　きたえられている！\c
msg_ui_bag_use_msg_82	[VAR 0102(0000)]は　[VAR 010D(0001)]の\nがんばレベルが　あがった！\c
msg_ui_bag_use_msg_83	このどうぐでは　きたえられません！\c
msg_ui_bag_use_msg_84	いまは　つかえません\c
msg_ui_bag_use_msg_85	よわい　ポケモンが\nちかよらなく　なった！\c
msg_ui_bag_use_msg_86	ぼくじょうがいっぱいで\nいまはポケモンをつかまえられない！\c
msg_ui_bag_use_msg_87	まだ　まえに　つかった\nせんこうの　こうかが　のこってます！\c
msg_ui_bag_waza_01	[VAR 0201(0000)]
msg_ui_bag_waza_02	/
msg_ui_bag_waza_03	[VAR 0201(0000)]
msg_ui_bag_use_msg_88	どのわざを　かいでんする？
msg_ui_bag_use_msg_89	[VAR 0102(0000)]は\nわざを　かいでんした！\c
msg_ui_bag_glv_00	がんばレベル
msg_ui_bag_glv_01	[VAR 0201(0000)]
msg_ui_bag_check	しらべる
msg_ui_bag_use_msg_90	いまは　できません\c
msg_ui_bag_senyou_menu_leave	やめる
msg_ui_bag_expup	+[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_91	[VAR 0102(0000)]の\nしもやけが　なおった！\c
msg_ui_bag_use_msg_92	[VAR 0102(0000)]の\nねむけが　さめた！\c
msg_ui_bag_next_exp	[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_93	とても投げるスキのある\n相手では　ない……！\c
msg_ui_bag_use_msg_94	ポーチを整理しました！\c
msg_ui_bag_use_msg_89_s	[VAR 0102(0000)]は\n技を　皆伝した！\c
msg_ui_bag_use_msg_78_s	[VAR 0102(0000)]は\n新しい技を　ひらめいた！\c
box.dat
msg_ui_box_top_00	[~ 0]
msg_ui_box_popup_00	[VAR 0102(0000)]Lv.[VAR 0202(0001)]
msg_ui_box_popup_01	[VAR 0102(0000)]
msg_ui_box_top_box_00	[~ 3]
msg_ui_box_top_box_01	いちらん
msg_ui_box_top_find	さがす
msg_ui_box_find_01	さがす
msg_ui_box_pokename	[VAR 0102(0000)]
msg_ui_box_male	♂
msg_ui_box_female	♀
msg_ui_box_lv_00	Lv.[VAR 0202(0000)]
msg_ui_box_lv_01	[VAR 0202(0000)]
msg_ui_box_pokedex_00	No.[VAR 0202(0000)]
msg_ui_box_pokedex_01	[VAR 0202(0000)]
msg_ui_box_pokedex_no	－
msg_ui_box_pokedex_question	？？？
msg_ui_box_pokerace_00	[VAR 0101(0000)]
msg_ui_status_parent_00	[~ 17]
msg_ui_status_parent_01	[~ 18]
msg_ui_box_parent_01	おや
msg_ui_box_parent_02	[VAR 0100(0000)]
msg_ui_box_hp_00	ＨＰ
msg_ui_box_hp_01	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_box_hp_02	[~ 23]
msg_ui_box_hp_03	[~ 24]
msg_ui_box_atk	こうげき
msg_ui_box_def	ぼうぎょ
msg_ui_box_spatk	とくこう
msg_ui_box_spdef	とくぼう
msg_ui_box_agi	すばやさ
msg_ui_box_status	[VAR 0202(0000)]
msg_ui_box_status_00	[VAR 0201(0000)]
msg_ui_box_tokusei_00	とくせい
msg_ui_box_tokusei_01	[VAR 0106(0000)]
msg_ui_box_item_00	もちもの
msg_ui_box_item_01	[VAR 0109(0000)]
msg_ui_box_noitem	-
msg_ui_box_waza_00	[VAR 0107(0000)]
msg_ui_x_00	せいり
msg_ui_x_01	もちもの
msg_ui_x_02	[~ 40]
msg_ui_y_00	つうじょう
msg_ui_y_01	はんい
msg_ui_y_02	べんり
msg_ui_box_range	[~ 44]
msg_ui_box_top_02	[VAR 01C0(0000)]
msg_ui_box_context_00	[VAR 0102(0000)]を\nどうしますか？
msg_ui_box_context_01	いどうする
msg_ui_box_context_02	つよさをみる
msg_ui_box_context_03	もちもの
msg_ui_box_context_04	マーキング
msg_ui_box_context_05	[~ 51]
msg_ui_box_context_06	やめる
msg_ui_box_context_07	えらんだ　ポケモンで\nよろしいでしょうか？
msg_ui_box_context_08	[~ 54]
msg_ui_box_marking	[~ 55]
msg_ui_box_esc_00	ほんとうに　にがしますか？
msg_ui_box_esc_01	はい
msg_ui_box_esc_02	いいえ
msg_ui_box_esc_03	[~ 59]
msg_ui_box_esc_04	タマゴを　にがすことは　できません！\c
msg_ui_box_esc_05	[~ 61]
msg_ui_box_esc_06	[~ 62]
msg_ui_box_esc_07	たたかうポケモンが　いなくなります！\c
msg_ui_box_esc_08	[~ 64]
msg_ui_box_esc_09	じょうけんに　あう　ポケモンが\nみつかりません\c
msg_ui_box_esc_10	そのポケモンは　逃がせません\c
msg_ui_box_change_00	[~ 67]
msg_ui_box_change_01	[~ 68]
msg_ui_box_change_02	[~ 69]
msg_ui_box_change_03	[~ 70]
msg_ui_box_wallpaper_00	[~ 71]
msg_ui_box_wallpaper_01	[~ 72]
msg_ui_box_wallpaper_02	[~ 73]
msg_ui_box_wallpaper_03	[~ 74]
msg_ui_box_wallpaper_04	[~ 75]
msg_ui_box_wallpaper_05	[~ 76]
msg_ui_box_wallpaper_06	[~ 77]
msg_ui_box_wallpaper_07	[~ 78]
msg_ui_box_wallpaper_08	[~ 79]
msg_ui_box_wallpaper_09	[~ 80]
msg_ui_box_wallpaper_10	[~ 81]
msg_ui_box_wallpaper_11	[~ 82]
msg_ui_box_wallpaper_12	[~ 83]
msg_ui_box_wallpaper_13	[~ 84]
msg_ui_box_wallpaper_14	[~ 85]
msg_ui_box_wallpaper_15	[~ 86]
msg_ui_box_wallpaper_16	[~ 87]
msg_ui_box_wallpaper_17	[~ 88]
msg_ui_box_wallpaper_18	[~ 89]
msg_ui_box_wallpaper_19	[~ 90]
msg_ui_box_item_bag_00	[~ 91]
msg_ui_box_item_move	[~ 92]
msg_ui_box_item_bag_01	[~ 93]
msg_ui_box_item_bag_02	[~ 94]
msg_ui_box_item_bag_03	[~ 95]
msg_ui_box_item_03	[~ 96]
msg_ui_box_item_04	[~ 97]
msg_ui_box_item_05	[~ 98]
msg_ui_box_item_06	[~ 99]
msg_ui_box_btlteam_00	[~ 100]
msg_ui_box_btlteam_01	[~ 101]
msg_ui_box_btlteam_02	[~ 102]
msg_ui_box_btlteam_03	[~ 103]
msg_ui_box_btlteam_04	[~ 104]
msg_ui_box_btlteam_05	[~ 105]
msg_ui_box_btlteam_06	[~ 106]
msg_ui_box_btlteam_07	[~ 107]
msg_ui_box_btlteam_08	[~ 108]
msg_ui_box_btlteam_09	[~ 109]
msg_ui_box_search_00	じょうけんを　えらび　「さがす」をおすと\nしぼりこみを　かいし　します！
msg_ui_box_search_01	ポケモン
msg_ui_box_search_02	タイプ１
msg_ui_box_search_03	タイプ２
msg_ui_box_search_04	わざ
msg_ui_box_search_05	[~ 115]
msg_ui_box_search_06	とくせい
msg_ui_box_search_07	せいかく
msg_ui_box_search_08	せいべつ
msg_ui_box_search_09	もちもの
msg_ui_box_search_10	マーク
msg_ui_box_search_11	[~ 121]
msg_ui_box_search_12	[VAR 0101(0000)]
msg_ui_box_search_13	[VAR 0103(0000)]
msg_ui_box_search_14	[VAR 0107(0000)]
msg_ui_box_search_15	[~ 125]
msg_ui_box_search_16	[VAR 0106(0000)]
msg_ui_box_search_17	[VAR 0108(0000)]
msg_ui_box_search_18	♂
msg_ui_box_search_19	♀
msg_ui_box_search_20	せいべつなし
msg_ui_box_search_22	もっている
msg_ui_box_search_23	もっていない
msg_ui_box_search_24	[~ 133]
msg_ui_box_search_25	ポケモンの　なまえを\nかしらもじで　えらんでください
msg_ui_box_search_26	ポケモンを　えらんでください
msg_ui_box_search_27	タイプ1を　えらんでください
msg_ui_box_search_28	タイプ2を　えらんでください
msg_ui_box_search_29	わざの　なまえの\nかしらもじを　えらんでください
msg_ui_box_search_30	わざを　えらんでください
msg_ui_box_search_31	[~ 140]
msg_ui_box_search_32	ポケモンの　とくせいの\nかしらもじを　えらんでください
msg_ui_box_search_33	とくせいを　えらんでください
msg_ui_box_search_34	ポケモンの\nせいかくを　えらんでください
msg_ui_box_search_35	ポケモンの\nせいべつを　えらんでください
msg_ui_box_search_36	もちものを　もっている　ポケモンを\nしらべることが　できます
msg_ui_box_search_37	マークを　つけた　ポケモンを\nしらべることが　できます
msg_ui_box_search_38	[~ 147]
msg_ui_box_search_39	[~ 148]
msg_ui_box_search_40	[VAR 0103(0001)]
msg_ui_box_search_41	[VAR 0103(0002)]
msg_ui_box_search_42	[VAR 0106(0000)]
msg_ui_box_search_43	[VAR 0108(0000)]
msg_ui_box_search_44	[VAR 0107(0000)]
msg_box_seikaku_00	バランスよく　せいちょう　しやすい。
msg_box_seikaku_01	こうげきが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
msg_box_seikaku_02	こうげきが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
msg_box_seikaku_03	こうげきが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
msg_box_seikaku_04	こうげきが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
msg_box_seikaku_05	ぼうぎょが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
msg_box_seikaku_06	バランスよく　せいちょう　しやすい。
msg_box_seikaku_07	ぼうぎょが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
msg_box_seikaku_08	ぼうぎょが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
msg_box_seikaku_09	ぼうぎょが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
msg_box_seikaku_10	すばやさが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
msg_box_seikaku_11	すばやさが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
msg_box_seikaku_12	バランスよく　せいちょう　しやすい。
msg_box_seikaku_13	すばやさが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
msg_box_seikaku_14	すばやさが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
msg_box_seikaku_15	とくこうが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
msg_box_seikaku_16	とくこうが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
msg_box_seikaku_17	とくこうが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
msg_box_seikaku_18	バランスよく　せいちょう　しやすい。
msg_box_seikaku_19	とくこうが　せいちょう　しやすい。\nとくぼうが　せいちょう　しにくい。
msg_box_seikaku_20	とくぼうが　せいちょう　しやすい。\nこうげきが　せいちょう　しにくい。
msg_box_seikaku_21	とくぼうが　せいちょう　しやすい。\nぼうぎょが　せいちょう　しにくい。
msg_box_seikaku_22	とくぼうが　せいちょう　しやすい。\nすばやさが　せいちょう　しにくい。
msg_box_seikaku_23	とくぼうが　せいちょう　しやすい。\nとくこうが　せいちょう　しにくい。
msg_box_seikaku_24	バランスよく　せいちょう　しやすい。
msg_ui_box_trdplayer_00	こうかんあいて
msg_ui_box_trdplayer_01	[VAR 0100(0000)]
msg_ui_box_p2ptrd	ポケモンの　こうかんを　します\nよろしいですか？
msg_ui_box_p2ptrd_00	あいての　へんじを　まっています\nしばらく　おまちください
msg_ui_box_p2ptrd_01	こうかんを　ちゅうししました\c
msg_ui_box_p2ptrd_02	しゅうりょうが　えらばれました\nこうかんを　おわりに　します\c
msg_ui_box_p2ptrd_03	あいてが　こうかんを\nちゅうし　しました\c\nこうかんを　しゅうりょう　します\c
msg_ui_box_p2ptrd_04	ポケモンこうかんを\nしゅうりょう　しますか？
msg_ui_box_p2ptrd_05	あいての　ポケモンに　もんだいが\nあるため　こうかん　できません\c
msg_ui_box_p2ptrd_06	じぶんの　ポケモンに　もんだいが\nあるため　こうかん　できません\c
msg_ui_box_p2ptrd_07	ちゅうい！\nポケモンこうかんを\nしている　とちゅうで\nつうしんエラーや\nほんたいの　でんげんが　きれて\nつうしんが　しゅうりょうすると\nしばらく　ポケモンこうかんが\nできなくなります
msg_ui_box_p2ptrd_08	レポートを　かいています\nでんげんを　きらないでください
msg_ui_box_p2ptrd_09	つうしん　たいきちゅう\nしばらく　おまちください
msg_ui_box_p2ptrd_10	こうかんあいての　リーグカードを\nうけとりますか？
msg_ui_box_p2ptrd_11	あいての　[VAR 0101(0000)]と\n[VAR 0101(0001)]を　こうかんしますか？
msg_ui_box_p2ptrd_12	その　タマゴは\nこうかんに　だせません\c
msg_ui_box_trd_00	こうかんする
msg_ui_box_trd_01	[~ 196]
msg_ui_box_trd_02	あいての　ポケモンを　みる
msg_ui_box_trd_03	じぶんの　ポケモンを　みる
msg_ui_box_select	えらぶ
msg_ui_box_select_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_box_list_pokename	[VAR 0102(0000)]
msg_ui_box_npctrd_00	その　ポケモンは\nこうかんに　だせません\c
msg_ui_box_npctrd_01	こうかんに　だせる\nポケモンが　いません\c
msg_ui_box_npctrd_02	タマゴは\nこうかんに　だせません\c
msg_ui_box_npctrd_03	[~ 205]
msg_ui_box_npctrd_04	[~ 206]
msg_ui_box_bl_00	[~ 207]
msg_ui_box_bl_01	[~ 208]
msg_ui_box_bl_02	[~ 209]
msg_ui_box_bl_03	[~ 210]
msg_ui_box_bl_04	[~ 211]
msg_ui_box_option_00	けってい
msg_ui_box_live_comm_00	あいてのつよさをみる
msg_ui_box_select_error_00	タマゴは　えらべません\c
msg_ui_box_select_error_03	てもちの　ポケモンは\nえらべません\c
msg_ui_box_select_error_04	これいじょう\nえらべません\c
msg_ui_box_select_error_05	ひんしの　ポケモンは\nえらべません\c
msg_ui_box_option_02	もどる
msg_ui_box_option_03	そうさきりかえ
msg_ui_box_option_04	モードきりかえ
msg_ui_box_option_05	ステータス
msg_ui_box_option_06	さがす
msg_ui_box_option_07	リセット
msg_ui_box_option_09	ぜんせんたく
msg_ui_box_option_10	ジャッジ
msg_ui_box_option_11	やめる
msg_ui_box_option_12	いれかえ
msg_ui_box_option_13	なまえをかえる
msg_ui_box_option_14	にがす
msg_ui_box_option_15	えらぶ
msg_ui_box_option_16	はずす
msg_ui_box_option_17	にがすのをやめる
msg_ui_box_option_18	つぎへ
msg_ui_box_option_19	まとめてにがす
msg_ui_box_pokesend_01	えらんでいる　ポケモンを\nにがしますか？
msg_ui_box_pokesend_03	めずらしい　ポケモンを　にがしますが\nほんとうに　よろしいですか？
msg_ui_box_pokesend_02	ポケモンをにがしてあげた\nバイバイまたね！\c
msg_ui_box_pokesend_10	[~ 238]
msg_ui_box_pokesend_11	[~ 239]
msg_ui_box_pokesend_12	[~ 240]
msg_ui_box_pokesend_13	[~ 241]
msg_ui_box_pokesend_20	[~ 242]
msg_ui_box_pokesend_30	にがすポケモンを　えらんで　ください
msg_ui_box_judge_00	まずまずの\nのうりょく
msg_ui_box_judge_01	へいきん　いじょうの\nのうりょく
msg_ui_box_judge_02	そうとうゆうしゅうな\nのうりょく
msg_ui_box_judge_03	すばらしい　のうりょく！
msg_ui_box_judge_04	ダメかも
msg_ui_box_judge_05	まあまあ
msg_ui_box_judge_06	かなりいい
msg_ui_box_judge_07	すごくいい
msg_ui_box_judge_08	すばらしい
msg_ui_box_judge_09	さいこう
msg_judge_03_01	きたえた！
