bag.dat
msg_ui_bag_okodukai_00	Money
msg_ui_bag_use_msg_08	[VAR 0102(0000)] woke up!\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)] became healthy!\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)]’s [VAR 010D(0001)] base points rose!\c
msg_ui_bag_use_msg_11	[VAR 0102(0000)] became more friendly.\nHowever, its [VAR 010D(0001)] base points fell!\c
msg_ui_bag_use_msg_12	[VAR 0102(0000)] adores you!\nHowever, its [VAR 010D(0001)] base points fell!\c
msg_ui_bag_use_msg_13	[VAR 0102(0000)] became more friendly.\nIts [VAR 010D(0001)] base points can’t go lower.\c
msg_ui_bag_use_msg_14	You used [VAR 1302(0001,0000)][VAR 0109(0001)].\c
msg_ui_bag_use_msg_15	You can’t use that now because the last Repel\nyou used is still in effect.\c
msg_ui_bag_use_msg_16	Your Pokémon is now holding\nthe [VAR 0109(0000)]!\c
msg_ui_bag_use_msg_17	You took the Pokémon’s [VAR 0109(0000)]\nand gave it the [VAR 0109(0001)].\c
msg_ui_bag_use_msg_19	That item won’t have any effect.\c
msg_ui_bag_use_msg_20	You seem to hear the professor’s voice echoing\nin your head...\c\n“Goodness, no, [VAR 0100(0000)]!\nThis is neither the time nor the place for that!”\c
msg_ui_bag_use_msg_21	You have no Pokémon!\c
msg_ui_bag_use_msg_22	Which Pokémon will you use it on?
msg_ui_bag_use_msg_23	Which Pokémon do you want to give this item to?
msg_ui_bag_use_msg_24	Eggs can’t hold items.\c
msg_ui_bag_use_msg_25	PP was restored!\c
msg_ui_bag_use_msg_26	Do you want to swap its [VAR 0109(0000)]\nfor the [VAR 0109(0001)]?
msg_ui_bag_use_msg_27	Which move’s PP do you want to restore?
msg_ui_bag_use_msg_28	Which move’s PP do you want to boost?
msg_ui_bag_use_msg_29	[VAR 0107(0000)]’s PP increased.\c
msg_ui_bag_use_msg_30	You can’t receive the item because your satchel\nis full.\c
msg_ui_bag_use_msg_32	PP was restored!\c
msg_ui_bag_use_msg_39	This can’t be used on a fainted Pokémon.\c
msg_ui_bag_use_msg_43	You can’t separate the Pokémon now.\nThere’s not enough room in your party.\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_use_union_msg_00	It can’t be fused with a Pokémon that has fainted.\c
msg_ui_bag_use_union_msg_01	It can’t be fused with that Pokémon.\c
msg_ui_bag_use_union_msg_02	It can’t be fused with an Egg.\c
msg_ui_bag_use_union_msg_03	You can’t separate the Pokémon now.\nThere’s not enough room in your party.\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)] transformed!\c
msg_ui_bag_use_union_msg_05	Which Pokémon do you want to fuse this\nPokémon with?
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)] forgot\n[VAR 0107(0001)]...\c
msg_ui_bag_use_special_msg_00	Do you want to change\n[VAR 0102(0000)]’s Ability?
msg_ui_bag_use_special_msg_01	[VAR BE05(0005)][VAR BE05(0001)][VAR 0102(0000)]’s Ability changed!\nIts Ability is now [VAR 0106(0001)]!\c
msg_ui_bag_lvup_00	Attack
msg_ui_bag_lvup_01	Defense
msg_ui_bag_lvup_02	Sp. Atk
msg_ui_bag_lvup_03	Sp. Def
msg_ui_bag_lvup_04	Speed
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	It might affect [VAR 0102(0000)]’s stats.\nAre you sure you want to use it?
msg_ui_bag_use_msg_49	[VAR 0102(0001)]’s stats may have changed due\nto the effects of the [VAR 0109(0000)]![VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	[VAR BD06(0000)]How many [VAR 1001][VAR 010A(0001)]\ndo you\r\nwant to use?
msg_ui_bag_use_msg_51	Its Dynamax Level increased by [VAR 0201(0000)]!\c
msg_ui_bag_use_msg_52	[VAR BD06(0000)]How many [VAR 1001][VAR 010A(0001)]\ndo you\r\nwant to use?
msg_ui_bag_use_msg_53	You can’t ride a bicycle from your Bag.\c
msg_ui_bag_use_msg_54	You can’t fish from your Bag.\c
msg_ui_bag_use_msg_55	You can’t use your Pokémon Boxes from\nyour Bag.\c
msg_ui_bag_use_msg_56	Light bulb
msg_ui_bag_use_msg_57	Microwave oven
msg_ui_bag_use_msg_58	Washing machine
msg_ui_bag_use_msg_59	Refrigerator
msg_ui_bag_use_msg_60	Electric fan
msg_ui_bag_use_msg_61	Lawn mower
msg_ui_bag_use_msg_62	Which appliance would you like to order?
msg_ui_bag_use_msg_63	[VAR 0101(0000)] appeared in the\nWatchtower Lair in the Wild Area!\c
msg_ui_bag_use_msg_64	A Pokémon has already appeared\nin the Watchtower Lair.\c
msg_ui_bag_use_msg_65	n/a
msg_ui_bag_use_msg_66	n/a
msg_ui_bag_use_msg_67	n/a
msg_ui_bag_use_msg_68	n/a
msg_ui_bag_use_msg_69	[VAR 0102(0000)] is ready to evolve!
msg_ui_bag_use_msg_70	Do it!
msg_ui_bag_use_msg_71	Not now
msg_ui_bag_use_msg_72	There’s no choice but to win this battle!\c
msg_ui_bag_use_msg_73	Check summary
msg_ui_bag_use_msg_74	Evolve
msg_ui_bag_esc_msg_00	Do you really want to let it go?
msg_ui_bag_esc_msg_01	You let [VAR 0102(0000)] go...\nFarewell, [VAR 0102(0000)].\c
msg_ui_bag_esc_msg_02	You can’t release an Egg!\c
msg_ui_bag_esc_msg_03	You’d have no Pokémon left to battle with!\c
msg_ui_bag_dump_02	[VAR BD06(0000)]How many [VAR 1001][VAR 010A(0000)]\ndo you want\r\nto discard?
msg_ui_bag_dump_04	Discard
msg_ui_bag_dump_03	Check summary
msg_ui_bag_optionbar_00	Select
msg_ui_bag_optionbar_01	Grab
msg_ui_bag_optionbar_02	Back
msg_ui_bag_optionbar_03	Separate one
msg_ui_bag_optionbar_04	Place
msg_ui_bag_optionbar_05	Cancel
msg_ui_bag_use_msg_75	[VAR 0102(0000)] gained Exp. Points!\c
msg_ui_bag_use_msg_76	[VAR 0102(0000)] leveled up!\c
msg_ui_bag_use_msg_77	[VAR 0102(0000)] can now evolve!\c
msg_ui_bag_use_msg_78	[VAR 0102(0000)] got ideas for some new moves!\c
msg_ui_bag_use_msg_79	Are you certain?
msg_ui_bag_use_msg_80	Which stat would you like to improve?
msg_ui_bag_use_msg_81	It’s been trained to the max!\c
msg_ui_bag_use_msg_82	[VAR BD06(0000)][VAR 0102(0000)]’s [VAR 010D(0001)] gained\nan effort level!\c
msg_ui_bag_use_msg_83	You can’t use this item for training that stat!\c
msg_ui_bag_use_msg_84	Now’s not the time for that.\c
msg_ui_bag_use_msg_85	Wild Pokémon will be less likely to notice you\nfor a time!\c
msg_ui_bag_use_msg_86	The pastures are full, so you can’t catch any\nmore Pokémon right now!\c
msg_ui_bag_use_msg_87	The last Repel you used is still in effect!\c
msg_ui_bag_waza_01	[VAR 0201(0000)]
msg_ui_bag_waza_02	/
msg_ui_bag_waza_03	[VAR 0201(0000)]
msg_ui_bag_use_msg_88	Which move should be mastered?
msg_ui_bag_use_msg_89	[VAR 0102(0000)] mastered multiple moves!\c
msg_ui_bag_glv_00	Effort level
msg_ui_bag_glv_01	[VAR 0201(0000)]
msg_ui_bag_check	Read text
msg_ui_bag_use_msg_90	It can’t evolve right now.\c
msg_ui_bag_senyou_menu_leave	Quit
msg_ui_bag_expup	+[VAR 0206(0000,002C)]
msg_ui_bag_use_msg_91	[VAR 0102(0000)]’s frostbite was healed!\c
msg_ui_bag_use_msg_92	[VAR 0102(0000)] fought off its drowsiness!\c
msg_ui_bag_next_exp	[VAR 0206(0000,002C)]
msg_ui_bag_use_msg_93	There’s no choice but to win this battle!\c
msg_ui_bag_use_msg_94	You sorted the items in your satchel!\c
msg_ui_bag_use_msg_89_s	[VAR 0102(0000)] mastered one of its moves!\c
msg_ui_bag_use_msg_78_s	[VAR 0102(0000)] got the idea for a new move!\c
box.dat
msg_ui_box_top_00	[~ 0]
msg_ui_box_popup_00	[VAR 0102(0000)] (Lv. [VAR 0202(0001)])
msg_ui_box_popup_01	[VAR 0102(0000)]
msg_ui_box_top_box_00	[~ 3]
msg_ui_box_top_box_01	All Pastures
msg_ui_box_top_find	Search
msg_ui_box_find_01	Search
msg_ui_box_pokename	[VAR 0102(0000)]
msg_ui_box_male	♂
msg_ui_box_female	♀
msg_ui_box_lv_00	Lv. [VAR 0202(0000)]
msg_ui_box_lv_01	[VAR 0202(0000)]
msg_ui_box_pokedex_00	No. [VAR 0202(0000)]
msg_ui_box_pokedex_01	[VAR 0202(0000)]
msg_ui_box_pokedex_no	—
msg_ui_box_pokedex_question	???
msg_ui_box_pokerace_00	[VAR 0101(0000)]
msg_ui_status_parent_00	[~ 17]
msg_ui_status_parent_01	[~ 18]
msg_ui_box_parent_01	Original Partner
msg_ui_box_parent_02	[VAR 0100(0000)]
msg_ui_box_hp_00	HP
msg_ui_box_hp_01	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_box_hp_02	[~ 23]
msg_ui_box_hp_03	[~ 24]
msg_ui_box_atk	Attack
msg_ui_box_def	Defense
msg_ui_box_spatk	Sp. Atk
msg_ui_box_spdef	Sp. Def
msg_ui_box_agi	Speed
msg_ui_box_status	[VAR 0202(0000)]
msg_ui_box_status_00	[VAR 0201(0000)]
msg_ui_box_tokusei_00	Ability
msg_ui_box_tokusei_01	[VAR 0106(0000)]
msg_ui_box_item_00	Held Item
msg_ui_box_item_01	[VAR 1000][VAR 0109(0000)]
msg_ui_box_noitem	—
msg_ui_box_waza_00	[VAR 0107(0000)]
msg_ui_x_00	Sort Pokémon
msg_ui_x_01	Held Items
msg_ui_x_02	[~ 40]
msg_ui_y_00	Select
msg_ui_y_01	Multiselect
msg_ui_y_02	Move
msg_ui_box_range	[~ 44]
msg_ui_box_top_02	[VAR 01C0(0000)]
msg_ui_box_context_00	What do you want to do with [VAR 1300(0000,0000)][VAR 0102(0000)]?
msg_ui_box_context_01	Move
msg_ui_box_context_02	Check summary
msg_ui_box_context_03	Check held item
msg_ui_box_context_04	Change markings
msg_ui_box_context_05	[~ 51]
msg_ui_box_context_06	Cancel
msg_ui_box_context_07	Are you done?
msg_ui_box_context_08	[~ 54]
msg_ui_box_marking	[~ 55]
msg_ui_box_esc_00	Do you really wish to release this Pokémon?
msg_ui_box_esc_01	Yes
msg_ui_box_esc_02	No
msg_ui_box_esc_03	[~ 59]
msg_ui_box_esc_04	You can’t release an Egg.\c
msg_ui_box_esc_05	[~ 61]
msg_ui_box_esc_06	[~ 62]
msg_ui_box_esc_07	You’ll have no Pokémon left to battle with\nif you do that!\c
msg_ui_box_esc_08	[~ 64]
msg_ui_box_esc_09	You don’t have the desired Pokémon.\c
msg_ui_box_esc_10	You can’t afford to let that Pokémon go!\c
msg_ui_box_change_00	[~ 67]
msg_ui_box_change_01	[~ 68]
msg_ui_box_change_02	[~ 69]
msg_ui_box_change_03	[~ 70]
msg_ui_box_wallpaper_00	[~ 71]
msg_ui_box_wallpaper_01	[~ 72]
msg_ui_box_wallpaper_02	[~ 73]
msg_ui_box_wallpaper_03	[~ 74]
msg_ui_box_wallpaper_04	[~ 75]
msg_ui_box_wallpaper_05	[~ 76]
msg_ui_box_wallpaper_06	[~ 77]
msg_ui_box_wallpaper_07	[~ 78]
msg_ui_box_wallpaper_08	[~ 79]
msg_ui_box_wallpaper_09	[~ 80]
msg_ui_box_wallpaper_10	[~ 81]
msg_ui_box_wallpaper_11	[~ 82]
msg_ui_box_wallpaper_12	[~ 83]
msg_ui_box_wallpaper_13	[~ 84]
msg_ui_box_wallpaper_14	[~ 85]
msg_ui_box_wallpaper_15	[~ 86]
msg_ui_box_wallpaper_16	[~ 87]
msg_ui_box_wallpaper_17	[~ 88]
msg_ui_box_wallpaper_18	[~ 89]
msg_ui_box_wallpaper_19	[~ 90]
msg_ui_box_item_bag_00	[~ 91]
msg_ui_box_item_move	[~ 92]
msg_ui_box_item_bag_01	[~ 93]
msg_ui_box_item_bag_02	[~ 94]
msg_ui_box_item_bag_03	[~ 95]
msg_ui_box_item_03	[~ 96]
msg_ui_box_item_04	[~ 97]
msg_ui_box_item_05	[~ 98]
msg_ui_box_item_06	[~ 99]
msg_ui_box_btlteam_00	[~ 100]
msg_ui_box_btlteam_01	[~ 101]
msg_ui_box_btlteam_02	[~ 102]
msg_ui_box_btlteam_03	[~ 103]
msg_ui_box_btlteam_04	[~ 104]
msg_ui_box_btlteam_05	[~ 105]
msg_ui_box_btlteam_06	[~ 106]
msg_ui_box_btlteam_07	[~ 107]
msg_ui_box_btlteam_08	[~ 108]
msg_ui_box_btlteam_09	[~ 109]
msg_ui_box_search_00	Set your search conditions, then select Search to\nfind any Pokémon that match them.
msg_ui_box_search_01	Pokémon Species
msg_ui_box_search_02	Type 1
msg_ui_box_search_03	Type 2
msg_ui_box_search_04	Known Move
msg_ui_box_search_05	[~ 115]
msg_ui_box_search_06	Ability
msg_ui_box_search_07	Nature
msg_ui_box_search_08	Gender
msg_ui_box_search_09	Held Item
msg_ui_box_search_10	Markings
msg_ui_box_search_11	[~ 121]
msg_ui_box_search_12	[VAR 0101(0000)]
msg_ui_box_search_13	[VAR 0103(0000)]
msg_ui_box_search_14	[VAR 0107(0000)]
msg_ui_box_search_15	[~ 125]
msg_ui_box_search_16	[VAR 0106(0000)]
msg_ui_box_search_17	[VAR 0108(0000)]
msg_ui_box_search_18	♂
msg_ui_box_search_19	♀
msg_ui_box_search_20	Unknown
msg_ui_box_search_22	Holding an Item
msg_ui_box_search_23	Not Holding an Item
msg_ui_box_search_24	[~ 133]
msg_ui_box_search_25	Select the first letter in the name of the\nPokémon species you’re looking for.
msg_ui_box_search_26	Select the Pokémon species you’d like to search\nfor from the list below.
msg_ui_box_search_27	Select a type from the list below to search for\nPokémon that have that type.
msg_ui_box_search_28	Select a type from the list below to search for\nPokémon that have that type.
msg_ui_box_search_29	Select the first letter in the name of the\nPokémon move you’re looking for.
msg_ui_box_search_30	Select the Pokémon move you’d like to search\nfor from the list below.
msg_ui_box_search_31	[~ 140]
msg_ui_box_search_32	Please choose the first letter of an Ability.
msg_ui_box_search_33	Please choose a Pokémon Ability.
msg_ui_box_search_34	Select a Nature from the list below to find\nPokémon with that Nature.
msg_ui_box_search_35	Select an option below to find Pokémon of\na certain gender or gender-unknown Pokémon.
msg_ui_box_search_36	Choose to show Pokémon holding items or\nPokémon not holding items.
msg_ui_box_search_37	Select markings from the list to find Pokémon\nwith those markings.
msg_ui_box_search_38	[~ 147]
msg_ui_box_search_39	[~ 148]
msg_ui_box_search_40	[VAR 0103(0001)]
msg_ui_box_search_41	[VAR 0103(0002)]
msg_ui_box_search_42	[VAR 0106(0000)]
msg_ui_box_search_43	[VAR 0108(0000)]
msg_ui_box_search_44	[VAR 0107(0000)]
msg_box_seikaku_00	With this Nature, every stat grows in a balanced way.
msg_box_seikaku_01	With this Nature, the Attack stat grows stronger.\nHowever, the Defense stat suffers.
msg_box_seikaku_02	With this Nature, the Attack stat grows stronger.\nHowever, the Speed stat suffers.
msg_box_seikaku_03	With this Nature, the Attack stat grows stronger.\nHowever, the Sp. Atk stat suffers.
msg_box_seikaku_04	With this Nature, the Attack stat grows stronger.\nHowever, the Sp. Def stat suffers.
msg_box_seikaku_05	With this Nature, the Defense stat grows stronger.\nHowever, the Attack stat suffers.
msg_box_seikaku_06	With this Nature, every stat grows in a balanced way.
msg_box_seikaku_07	With this Nature, the Defense stat grows stronger.\nHowever, the Speed stat suffers.
msg_box_seikaku_08	With this Nature, the Defense stat grows stronger.\nHowever, the Sp. Atk stat suffers.
msg_box_seikaku_09	With this Nature, the Defense stat grows stronger.\nHowever, the Sp. Def stat suffers.
msg_box_seikaku_10	With this Nature, the Speed stat grows stronger.\nHowever, the Attack stat suffers.
msg_box_seikaku_11	With this Nature, the Speed stat grows stronger.\nHowever, the Defense stat suffers.
msg_box_seikaku_12	With this Nature, every stat grows in a balanced way.
msg_box_seikaku_13	With this Nature, the Speed stat grows stronger.\nHowever, the Sp. Atk stat suffers.
msg_box_seikaku_14	With this Nature, the Speed stat grows stronger.\nHowever, the Sp. Def stat suffers.
msg_box_seikaku_15	With this Nature, the Sp. Atk stat grows stronger.\nHowever, the Attack stat suffers.
msg_box_seikaku_16	With this Nature, the Sp. Atk stat grows stronger.\nHowever, the Defense stat suffers.
msg_box_seikaku_17	With this Nature, the Sp. Atk stat grows stronger.\nHowever, the Speed stat suffers.
msg_box_seikaku_18	With this Nature, every stat grows in a balanced way.
msg_box_seikaku_19	With this Nature, the Sp. Atk stat grows stronger.\nHowever, the Sp. Def stat suffers.
msg_box_seikaku_20	With this Nature, the Sp. Def stat grows stronger.\nHowever, the Attack stat suffers.
msg_box_seikaku_21	With this Nature, the Sp. Def stat grows stronger.\nHowever, the Defense stat suffers.
msg_box_seikaku_22	With this Nature, the Sp. Def stat grows stronger.\nHowever, the Speed stat suffers.
msg_box_seikaku_23	With this Nature, the Sp. Def stat grows stronger.\nHowever, the Sp. Atk stat suffers.
msg_box_seikaku_24	With this Nature, every stat grows in a balanced way.
msg_ui_box_trdplayer_00	Trade Partner
msg_ui_box_trdplayer_01	[VAR 0100(0000)]
msg_ui_box_p2ptrd	Your Pokémon will be traded away.\nAre you certain you wish to proceed?
msg_ui_box_p2ptrd_00	Waiting for your trade partner’s decision...
msg_ui_box_p2ptrd_01	You canceled the trade.\c
msg_ui_box_p2ptrd_02	Your trade partner chose not to continue trading.\c
msg_ui_box_p2ptrd_03	Your trade partner chose to cancel the trade.\c
msg_ui_box_p2ptrd_04	Would you like to quit trading Pokémon?
msg_ui_box_p2ptrd_05	This trade can’t be completed because there is a\nproblem with your trade partner’s Pokémon.\c
msg_ui_box_p2ptrd_06	This trade can’t be completed because there is a\nproblem with your Pokémon.\c
msg_ui_box_p2ptrd_07	Attention!\nIf a communication error occurs or your system\ngets turned off while you’re trading, you won’t\nbe able to trade Pokémon for a while.
msg_ui_box_p2ptrd_08	Saving...\nDon’t turn off the power.
msg_ui_box_p2ptrd_09	Communicating. Please stand by...
msg_ui_box_p2ptrd_10	Would you like to receive your trade partner’s\nLeague Card?
msg_ui_box_p2ptrd_11	Do you want to trade your [VAR 0101(0001)] for\nyour trade partner’s [VAR 0101(0000)]?
msg_ui_box_p2ptrd_12	You can’t offer that Egg in trade.\c
msg_ui_box_trd_00	Trade it
msg_ui_box_trd_01	[~ 196]
msg_ui_box_trd_02	Check trade partner’s Pokémon
msg_ui_box_trd_03	Check your Pokémon
msg_ui_box_select	Select
msg_ui_box_select_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_box_list_pokename	[VAR 0102(0000)]
msg_ui_box_npctrd_00	That Pokémon can’t be traded.\c
msg_ui_box_npctrd_01	You don’t have the Pokémon needed for\nthis trade!\c
msg_ui_box_npctrd_02	You can’t offer an Egg in trade.\c
msg_ui_box_npctrd_03	[~ 205]
msg_ui_box_npctrd_04	[~ 206]
msg_ui_box_bl_00	[~ 207]
msg_ui_box_bl_01	[~ 208]
msg_ui_box_bl_02	[~ 209]
msg_ui_box_bl_03	[~ 210]
msg_ui_box_bl_04	[~ 211]
msg_ui_box_option_00	 Confirm
msg_ui_box_live_comm_00	Check the other Pokémon’s summary
msg_ui_box_select_error_00	You can’t select an Egg.\c
msg_ui_box_select_error_03	You can’t select a Pokémon in your party.\c
msg_ui_box_select_error_04	You’ve selected more Pokémon than\nare allowed.\c
msg_ui_box_select_error_05	You can’t select a fainted Pokémon.\c
msg_ui_box_option_02	Back
msg_ui_box_option_03	Change Selection Mode
msg_ui_box_option_04	Change Box View
msg_ui_box_option_05	View Stats
msg_ui_box_option_06	Search
msg_ui_box_option_07	Reset
msg_ui_box_option_09	Select All
msg_ui_box_option_10	Judge
msg_ui_box_option_11	Quit
msg_ui_box_option_12	Swap
msg_ui_box_option_13	Change Name
msg_ui_box_option_14	Release
msg_ui_box_option_15	Select
msg_ui_box_option_16	Deselect
msg_ui_box_option_17	Cancel
msg_ui_box_option_18	Next
msg_ui_box_option_19	Release Multiple
msg_ui_box_pokesend_01	Do you wish to release the Pokémon\nyou’ve selected?
msg_ui_box_pokesend_03	You’ll be releasing a very rare specimen.\nAre you sure you wish to proceed?
msg_ui_box_pokesend_02	You let the Pokémon go. Farewell, and take care!\c
msg_ui_box_pokesend_10	[~ 238]
msg_ui_box_pokesend_11	[~ 239]
msg_ui_box_pokesend_12	[~ 240]
msg_ui_box_pokesend_13	[~ 241]
msg_ui_box_pokesend_20	[~ 242]
msg_ui_box_pokesend_30	Select the Pokémon you want to release.
msg_ui_box_judge_00	OK stats
msg_ui_box_judge_01	Good stats
msg_ui_box_judge_02	Great stats!
msg_ui_box_judge_03	Amazing stats!
msg_ui_box_judge_04	No good
msg_ui_box_judge_05	Decent
msg_ui_box_judge_06	Pretty good
msg_ui_box_judge_07	Very good
msg_ui_box_judge_08	Fantastic
msg_ui_box_judge_09	Best
msg_judge_03_01	Hyper trained!
msg_ui_box_waza_denju_01	[~ 255]
cmp.dat
cmp_sel_01	I want to see my Pokémon
cmp_sel_02	I’d like to do some shopping
cmp_sel_03	I could use a rest
cmp_sel_04	I’m good for now
cmp_sel_05	[~ 4]
cmp_sel_06	Just a little while
cmp_text_01	Need a rest in the tent? You can take as little or\nas much time as you like.
ret_text_00	How long would you like to rest?
recovery_text_01	[VAR BD06(0000)][VAR 0102(0000)] rested and is happy and\nhealthy again!
recovery_text_02	Your party Pokémon rested and are all happy and\nhealthy again!
cmp_cmn_001	If you’re heading out into the wilds, best be\nwell prepared.
cmp_cmn_002	Which Pokémon will you bring with you?
cmp_cmn_003	What would you like to buy?
cmp_cmn_004	If Choy at the general store could just get some\ndifferent goods in stock, I’d have more to sell...\c\nOh—don’t mind me. Have you got your Pokémon\nteam and your items all ready for your excursion?
hud.dat
msg_ui_hud_field_01	Game Controls
msg_ui_hud_capture_01	[VAR 0109(0000)]
msg_ui_hud_capture_02	[VAR 0203(0000,002C)]
msg_ui_hud_01_01	[VAR 0201(0000)]
msg_ui_hud_guide_ride_00_jump	Jump
msg_ui_hud_guide_ride_00_dash	Dash
msg_ui_hud_guide_ride_01_jump	[~ 6]
msg_ui_hud_guide_ride_01_wall_jump	Jump
msg_ui_hud_guide_ride_01_get_off	Let Go
