amulet.dat
msg_amulet_001	我正在向守護祝慶村的\n御護石表達感謝。[VAR 0114(005D)]
msg_arceus_016	要讓下一個對手中毒嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_017	要讓下一個對手麻痺嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_018	要讓下一個對手打瞌睡嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_019	要讓下一個對手凍傷嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_020	要讓下一個對手灼傷嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_021	可以用寶可夢的ＨＰ作為代價，\n增加下次能獲得的點數。\c\n要以哪隻寶可夢的ＨＰ作為代價呢？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_022	那隻寶可夢現在很虛弱，\n因此無法選擇。
msg_arceus_023	那隻寶可夢已陷入瀕死，\n因此無法選擇。
msg_arceus_025	那隻寶可夢\n已經排在最前面了。
msg_arceus_024	那隻寶可夢的ＨＰ\n是全滿的。
msg_arceus_026	願望實現了！
msg_arceus_099	藉由這次的勝利，\n[VAR 1100(00FF,0101)]你妳獲得了[VAR 0202(0000)]點的點數。\c\n在夢天連戰中勝利時，\n將能得到點數。\c\n使用得到的點數許願，\n就能在戰鬥前獲得各種效果。
msg_arceus_100	突破了第[VAR 0202(0000)]次的對戰。\n[VAR 1100(00FF,0101)]你妳獲得了[VAR 0203(0001,0000)]點。
msg_arceus_100_2	真是出色。\c\n請深入了解寶可夢，\n與寶可夢相伴同行，\c\n挑戰自己的極限，\n藉此拓展[VAR 1100(00FF,0101)]你妳的世界吧。
msg_arceus_100_3	只要[VAR 1100(00FF,0101)]你妳願意，\n挑戰就會繼續。
msg_arceus_100_5	[VAR 1100(00FF,0101)]你妳再次超越我了呢。\c\n只要[VAR 1100(00FF,0101)]你妳持續不斷地挑戰，\n不論幾次，我都樂意奉陪。
msg_arceus_101	很遺憾，\n但[VAR 1100(00FF,0101)]你妳的挑戰到此為止了。\c\n這次[VAR 1100(00FF,0101)]你妳獲得了[VAR 0202(0000)]次勝利。\n那麼，我們後會有期……
msg_arceus_101_nowin	很遺憾，\n但[VAR 1100(00FF,0101)]你妳的挑戰到此為止了。\r\n那麼，我們後會有期……
msg_arceus_102	有東西擺在眼前……
msg_arceus_list_000	一般
msg_arceus_list_001	火
msg_arceus_list_002	水
msg_arceus_list_003	電
msg_arceus_list_004	草
msg_arceus_list_005	冰
msg_arceus_list_006	格鬥
msg_arceus_list_007	毒
msg_arceus_list_008	地面
msg_arceus_list_009	飛行
msg_arceus_list_010	超能力
msg_arceus_list_011	蟲
msg_arceus_list_012	岩石
msg_arceus_list_013	幽靈
msg_arceus_list_014	龍
msg_arceus_list_015	惡
msg_arceus_list_016	鋼
msg_arceus_list_017	妖精
msg_arceus_list_018	以攻擊為傲
msg_arceus_list_019	以速度為傲
msg_arceus_list_020	以防禦為傲
msg_arceus_list_021	雄性
msg_arceus_list_022	雌性
msg_arceus_list_023	未來之初
msg_arceus_list_024	洗翠之初
msg_arceus_list_025	幼小
msg_arceus_list_026	夜行性
msg_arceus_list_027	獨眼
msg_arceus_list_028	龐大壯碩
msg_arceus_list_029	攀登之爪
msg_arceus_list_030	機關
msg_arceus_list_031	時空
msg_arceus_list_032	奇形怪狀
msg_arceus_list_033	粗暴叛逆
msg_arceus_list_034	湖泊
msg_arceus_list_035	南國雪山
msg_arceus_list_036	矛盾
msg_arceus_list_037	鐮斧
msg_arceus_list_038	封印
msg_arceus_list_039	新月
msg_arceus_list_040	神奧
msg_arceus_list_041	起源
msg_arceus_list_042	化身
msg_arceus_list_043	靈獸
msg_arceus_list_044	[~ 89]
msg_arceus_list_045	[~ 90]
msg_arceus_list_046	[~ 91]
msg_arceus_list_047	[~ 92]
msg_arceus_list_wish_001	回復ＨＰ
msg_arceus_list_wish_002	[~ 94]
msg_arceus_list_wish_003	[~ 95]
msg_arceus_list_wish_004	回復ＰＰ
msg_arceus_list_wish_005	重新選擇對手
msg_arceus_list_wish_006	替換排在最前面的寶可夢
msg_arceus_list_wish_007	讓對手中毒
msg_arceus_list_wish_008	讓對手麻痺
msg_arceus_list_wish_009	讓對手打瞌睡
msg_arceus_list_wish_010	讓對手凍傷
msg_arceus_list_wish_011	讓對手灼傷
msg_arceus_list_wish_012	以ＨＰ為代價使點數倍增
msg_arceus_list_wish_name	[VAR 0102(0000)]
msg_arceus_list_wish_name_hp	[VAR 0102(0000)]　[VAR 0202(0001)]/[VAR 0202(0002)]
msg_arceus_start_event_001	[~ 107]
msg_arceus_start_event_002	[~ 108]
msg_arceus_start_event_003	聽見了有誰在呼喚的聲音……\n要回應呼喚嗎？
bag_expansion.dat
msg_bag_001_00	只要學會整理術，\n就能在腰包裡放更多的道具。\r\n如何，要不要來學個整理術啊？[VAR 0114(009D)]
msg_bag_001_01	[VAR 1100(00FF,0101)]你妳想不想學整理術啊？\n肯付錢的話我就教[VAR 1100(00FF,0101)]你妳。[VAR 0114(009D)]
msg_bag_001_02	要是[VAR 1100(00FF,0101)]你妳想把更多道具放進腰包裡，\n我可以教[VAR 1100(00FF,0101)]你妳更高招的整理術喔。[VAR 0114(009D)]
msg_bag_001_10	[~ 3]
msg_bag_001_11	嘿，[VAR 1100(00FF,0101)]你妳已經把整理術學透徹了。\n我沒有東西能教[VAR 1100(00FF,0101)]你妳啦！\c\n好了，接下來我就去研究\n能夠無限放進任何東西的包包吧。[VAR 0114(009D)]
msg_bag_sel_000	教教我！
msg_bag_sel_001	下次再說
msg_bag_002_00	真是個好心態！\n學費就收[VAR 1100(00FF,0101)]你妳[VAR 0205(0000,0000)]吧！[VAR 0114(009D)]
msg_bag_sel_010	請教我吧
msg_bag_sel_011	還是算了
msg_bag_003	成交！那麼，\n把[VAR 1100(00FF,0101)]你妳的耳朵湊過來一下吧。[VAR 0114(009D)]
msg_bag_004	[VAR 1100(00FF,0101)]你妳看！只要懂得整理，\n就可以放進很多道具吧。[VAR 0114(009D)]
msg_bag_006	能不能再多撿１個道具，\n可能會決定[VAR 1100(00FF,0101)]你妳能不能撿回一條命喔。[VAR 0114(009D)]
msg_bag_007	如果[VAR 1100(00FF,0101)]你妳的錢不夠，\n我可不能教[VAR 1100(00FF,0101)]你妳整理術。[VAR 0114(009D)]
msg_bag_008	要是想學整理術了，就再來找我吧。\n在那之前，[VAR 1100(00FF,0101)]你妳可別掛掉啊。[VAR 0114(009D)]
msg_bag_009	[VAR 0100(0000)]能夠多收\n１種道具到腰包了！
bandit.dat
msg_bandit_1_1	[VAR 1100(00FF,0101)]你妳站住。[VAR 0114(0022)]
msg_bandit_1_2	就算看到了我，\n[VAR 1100(00FF,0101)]你妳似乎也是處變不驚呢。[VAR 0114(0022)]
msg_bandit_1_3	我大意了……！[VAR 0114(0022)]
msg_bandit_1_4_1	[VAR 1100(00FF,0101)]你妳明明是在調查還這麼大意，\n難怪會被我發現！[VAR 0114(0022)]
msg_bandit_1_4_2	而且不但沒逃走，還往我這邊來，\n看來[VAR 1100(00FF,0101)]你妳膽子挺大的。[VAR 0114(0022)]
msg_bandit_1_4_3	沒想到我竟然會讓人\n從背後接近。[VAR 0114(0022)]
msg_bandit_1_5	遇見野賊三姐妹長女的阿松我，\n[VAR 1100(00FF,0101)]你妳要怪，就怪自己的命不好吧。[VAR 0114(0022)]
msg_bandit_1_6_1	哦！[VAR 1100(00FF,0101)]你妳挺厲害的嘛。[VAR 0114(0022)]
msg_bandit_1_6_2	剛剛那不過是小試身手，\n下次再相遇時，我絕不會手下留情的。[VAR 0114(0022)]
msg_bandit_1_7_1	哎呀哎呀，\n[VAR 1100(00FF,0101)]你妳就這麼點本事嗎？[VAR 0114(0022)]
msg_bandit_1_7_2	[VAR 1100(00FF,0101)]你妳的道具我就收下了。\c\n可別怪我啊。為了活下去，\n我們也是很拼命的。[VAR 0114(0022)]
msg_bandit_2_1	[VAR 1100(00FF,0101)]你妳等一下。[VAR 0114(0023)]
msg_bandit_2_2	[VAR 1100(00FF,0101)]你妳明明就注意到了人家，\n卻連逃也不逃？[VAR 0114(0023)]
msg_bandit_2_3	人家居然沒注意到[VAR 1100(00FF,0101)]你妳！？[VAR 0114(0023)]
msg_bandit_2_4_1	竟然完全沒注意到人家。\n[VAR 1100(00FF,0101)]你妳這個樣子能做好調查嗎？[VAR 0114(0023)]
msg_bandit_2_4_2	讓我來摧毀[VAR 1100(00FF,0101)]你妳那份淡定吧。[VAR 0114(0023)]
msg_bandit_2_4_3	才怪呢！人家是故意露出破綻\n把[VAR 1100(00FF,0101)]你妳引過來的！是真的喔！[VAR 0114(0023)]
msg_bandit_2_5	[VAR 1100(00FF,0101)]你妳就好好領教野賊三姐妹的\n次女阿竹有多可怕吧。[VAR 0114(0023)]
msg_bandit_2_6_1	唔……！\n人家居然又輸了……！[VAR 0114(0023)]
msg_bandit_2_6_2	[VAR 1100(00FF,0101)]你妳啊……銀河隊那種地方\n很器重[VAR 1100(00FF,0101)]你妳嗎？[VAR 0114(0023)]
msg_bandit_2_7_1	已經玩完了嗎？\n這種程度根本稱不上是戰鬥。[VAR 0114(0023)]
msg_bandit_2_7_2	以人家的實力，這是理所當然的結果。\n來，把[VAR 1100(00FF,0101)]你妳那些無趣的寶物交出來吧。[VAR 0114(0023)]
msg_bandit_3_1	[VAR 1100(00FF,0101)]你妳這傢伙是要去哪裡？[VAR 0114(0024)]
msg_bandit_3_2	[VAR 1100(00FF,0101)]你妳以為對手是我就能打贏？\n乖乖逃走的話，多少還可愛些呢。[VAR 0114(0024)]
msg_bandit_3_3	我居然沒感受到殺氣！？[VAR 0114(0024)]
msg_bandit_3_4_1	[VAR 1100(00FF,0101)]你妳那裝模作樣在調查的樣子，\n我大老遠就看到了。[VAR 0114(0024)]
msg_bandit_3_4_2	既然[VAR 1100(00FF,0101)]你妳不打算拔腿就跑，\n那麼就為自己的從容後悔吧！[VAR 0114(0024)]
msg_bandit_3_4_3	從背後過來簡直是卑鄙無恥！\n看我讓[VAR 1100(00FF,0101)]你妳吃不完兜著走！[VAR 0114(0024)]
msg_bandit_3_5	來吧，毒骷蛙！\n毒遍對手全身吧！[VAR 0114(0024)]
msg_bandit_3_6_1	我輸了？\n明明有毒骷蛙，我卻輸了？[VAR 0114(0024)]
msg_bandit_3_6_2	[VAR 1100(00FF,0101)]你妳這傢伙……\n可惡、可惡、可惡、太可惡了！！[VAR 0114(0024)]
msg_bandit_3_7_1	收拾[VAR 1100(00FF,0101)]你妳還真是輕～輕鬆鬆啊。\n[VAR 1100(00FF,0101)]你妳就拿挫折感當棉被，快快睡覺去吧。\r\n啊，太不甘心了，睡不著是吧！[VAR 0114(0024)]
msg_bandit_3_7_2	只要有我和毒骷蛙在，\n我們野賊三姐妹遲早有一天\r\n會揚名天下的。\c\n所以從[VAR 1100(00FF,0101)]你妳那裡收下的道具，\n我會代替[VAR 1100(00FF,0101)]你妳好好使用啦。[VAR 0114(0024)]
msg_bandit_result_item	好像有什麼東西掉落在地上……
battle_portal.dat
msg_battle_portal_talk_01	[VAR 0100(0000)]，\n看了您的出色表現後，\r\n我產生了一個願望。\c\n我想推廣寶可夢對戰，\n讓這個世界也能了解它的樂趣！[VAR 0114(0015)]
msg_battle_portal_talk_02	而最有效的方式，就是讓大家\n欣賞到精彩的寶可夢對戰！[VAR 0114(0015)]
msg_battle_portal_talk_03	來，您想找誰呢？\n請選擇您要對戰的對手。[VAR 0114(0015)]
msg_battle_portal_list_01	保薰
msg_battle_portal_list_02	卓希
msg_battle_portal_list_03	貝里菈
msg_battle_portal_list_04	明耀
msg_battle_portal_list_05	小照
msg_battle_portal_list_06	馬加木
msg_battle_portal_list_07	石月
msg_battle_portal_list_08	北尚
msg_battle_portal_list_11	特訓北尚
msg_battle_portal_list_12	阿米
msg_battle_portal_list_13	山葵
msg_battle_portal_list_14	傳介
msg_battle_portal_list_15	頭目馴化師
msg_battle_portal_list_09	退出
msg_battle_portal_list_10	下一頁
msg_battle_portal_talk_04	[VAR 0100(0000)]，\n請您稍候片刻。[VAR 0114(0015)]
msg_battle_portal_talk_05	若是您還沒決定好目的地，\n那麼不乘車也是理所當然的。\r\n歡迎您下次再來！[VAR 0114(0015)]
msg_battle_portal_talk_06	嗚嗚……雖然我渾身發抖，\n但能與[VAR 1100(00FF,0101)]你妳這位高手交戰，我非常榮幸。[VAR 0114(00DA)]
msg_battle_portal_talk_07	比起勝敗，更重要的是\n要和寶可夢默契十足地戰鬥。\r\n我從[VAR 1100(00FF,0101)]你妳這位高手身上學到了！[VAR 0114(00DA)]
msg_battle_portal_talk_08	光用看的就能感受到\n你們傳說中的強大實力了！[VAR 0114(00DB)]
msg_battle_portal_talk_09	你們……\n應該還會變得更強吧？\r\n我也必須精進自己才行！[VAR 0114(00DB)]
msg_battle_portal_talk_10	嘿！是我貝里菈。\n應該不用寒暄問候了吧。[VAR 0114(001B)]
msg_battle_portal_talk_11	那個得由我說明迅疾和剛猛的新人，\n現在是洗翠的英雄了啊……！[VAR 0114(001B)]
msg_battle_portal_talk_12	讓寶可夢對戰\n也是調查的一環吧！[VAR 0114(0006)]
msg_battle_portal_talk_13	雖然對戰也很不錯，但要是能不對戰\n就和強大的寶可夢心意相通也很棒。\r\n為此，我們要更加努力去調查是吧。[VAR 0114(0006)]
msg_battle_portal_talk_14	好！\n我會全力應戰的！[VAR 0114(0007)]
msg_battle_portal_talk_15	謝謝[VAR 1100(00FF,0101)]你妳與我交手！\c\n我好像稍微能和皮卡丘牠們\n互相了解了……\r\n對戰或許是一種好方法呢。[VAR 0114(0007)]
msg_battle_portal_talk_16	唔嗯！現在我穿上了\n從伽勒爾傳來的鎧甲！\c\n就表示我要拿出真本事的呀！[VAR 0114(0009)]
msg_battle_portal_talk_17	[VAR 1100(00FF,0101)]你妳的對戰方式……\n就像是把身為調查組組員的工作成果\r\n都淬鍊吸收了。[VAR 1100(00FF,0101)]你妳繼續精進吧。[VAR 0114(0009)]
msg_battle_portal_talk_18	勝負的輸贏輕如鴻毛。\n我等忍者的戰鬥終究會消逝，\r\n[VAR 1100(00FF,0101)]你妳趁現在深深地烙印在腦海裡吧！[VAR 0114(000E)]
msg_battle_portal_talk_19	好了，\n我該去準備做芋餅囉。\c\n差不多該推出新菜單了，\n不然大家就要吃膩啦……[VAR 0114(000E)]
msg_battle_portal_talk_20	那麼……\c\n就讓我們遵守規則，\n安全駕駛！\c\n目標是贏得勝利！\n出發前進！[VAR 0114(0015)]
msg_battle_portal_talk_21	在我不經意的瞬間，\n總是會有些詞彙就這麼脫口而出……\r\n而那些詞彙會帶給我莫名的力量。\c\n先不論這件事，\n希望下次有機會與您再次交手。[VAR 0114(0015)]
msg_battle_portal_talk_22	勝利之後會有什麼，\n只有獲勝後才會知道。\c\n因此這次我也會\n拿出全力與您交手。\c\n那麼，出發前進～！！[VAR 0114(0015)]
msg_battle_portal_talk_23	請您繼續不斷精進，\n以更高的境界為目的地，\r\n全力奔馳前進！！[VAR 0114(0015)]
msg_battle_portal_talk_24	說到要激發出搭檔的力量，\n這在金剛隊或銀河隊都是一樣的。\c\n來，我們來場火熱又有趣的對戰，\n讓寶可夢開心一下吧！[VAR 0114(000F)]
msg_battle_portal_talk_25	透過對戰，\n我好像更能了解搭檔寶可夢，\r\n也更能了解[VAR 1100(00FF,0101)]你妳這個人。\c\n要是能用這樣的方式\n去了解野生寶可夢的心就好了。[VAR 0114(000F)]
msg_battle_portal_talk_26	[VAR 0100(0000)]，告訴我[VAR 1100(00FF,0101)]你妳有多強！\n告訴我！告訴我！[VAR 0114(0018)]
msg_battle_portal_talk_27	真是開心！\n下次也拜託[VAR 1100(00FF,0101)]你妳喔！！[VAR 0114(0018)]
msg_battle_portal_talk_28	守衛的工作是一旦落敗就會失去一切的。\n我要用這樣的氣魄，與[VAR 1100(00FF,0101)]你妳一決勝負。[VAR 0114(0030)]
msg_battle_portal_talk_29	我會活用剛才的對戰經驗，\n今後也不斷精進。\r\n除了大牙狸以外，保證正門滴水不漏！[VAR 0114(0030)]
msg_battle_portal_talk_30	在學自金剛隊和珍珠隊的\n戰鬥方式中，\c\n我還加上了自己的創意。\n我會用它帶您前往未知的領域。\c\n那麼，出發前進～！！[VAR 0114(0015)]
msg_battle_portal_talk_31	頭目的尺寸……\n就像是表現出了洗翠地區的規模，\r\n真是令人喜愛！\c\n我要一邊與各式各樣的寶可夢相處，\n一邊尋找自己該歸屬的地方！[VAR 0114(0015)]
msg_battle_portal_ex_list_0	寶可夢對戰
msg_battle_portal_ex_list_1	連勝道
msg_battle_portal_ex_list_2	隻身道
msg_battle_portal_ex_list_3	替換寶可夢
msg_battle_portal_ex_list_4	聽說明
msg_battle_portal_ex_list_5	挑戰
msg_battle_portal_ex_list_6	查看紀錄
msg_battle_portal_ex_talk_00	我受到馬加木之託，\n準備了新形式的對戰。\c\n歡迎您盡情來大展身手！[VAR 0114(0015)]
msg_battle_portal_ex_talk_01	您要挑戰哪一個？[VAR 0114(0015)]
msg_battle_portal_ex_list_chain_0	銀河隊
msg_battle_portal_ex_list_chain_1	金剛隊
msg_battle_portal_ex_list_chain_2	珍珠隊
msg_battle_portal_ex_chain_init_00	[VAR 1100(00FF,0101)]你妳能一連戰勝我們３人嗎？\n使出[VAR 1100(00FF,0101)]你妳和寶可夢的全力吧！[VAR 0114(0009)]
msg_battle_portal_ex_chain_init_01	[VAR 1100(00FF,0101)]你妳能一連戰勝經過鍛鍊的我們３人嗎？\n使出[VAR 1100(00FF,0101)]你妳和寶可夢的全力吧！[VAR 0114(0009)]
msg_battle_portal_ex_chain_init_10	我們會同時派出各自的搭檔來，\n但對[VAR 1100(00FF,0101)]你妳來說，應該不成問題吧！[VAR 0114(000A)]
msg_battle_portal_ex_chain_init_11	就算是[VAR 1100(00FF,0101)]你妳和[VAR 1100(00FF,0101)]你妳精銳的寶可夢，\n也沒辦法同時對付多隻寶可夢吧？[VAR 0114(000A)]
msg_battle_portal_ex_chain_init_20	我們要以眾擊寡，與情同手足的\n眾多寶可夢們一起挑戰[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳。[VAR 0114(000B)]
msg_battle_portal_ex_chain_init_21	數大就是強！我們會把寶可夢一次派出，\n迎戰[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳的。[VAR 0114(000B)]
msg_battle_portal_ex_chain_00	警衛組組長，貝里菈，\n前來領教！！[VAR 0114(001B)]
msg_battle_portal_ex_chain_01	我不打沒有勝算的對戰。\n但為了讓馬加木能輕鬆點，\r\n在下就拿出真本事來吧。[VAR 0114(000E)]
msg_battle_portal_ex_chain_02	從[VAR 1100(00FF,0101)]你妳的強大中，我學到許多。\n我希望能以勝利，來作為我學成的證明。\c\n唔嗯！和我銀河隊隊長馬加木，\n一決勝負吧！！[VAR 0114(0009)]
msg_battle_portal_ex_chain_10	我是金剛隊的場長火夏！\n我很強！超強！爆強！[VAR 0114(0012)]
msg_battle_portal_ex_chain_11	是剛石哥千請萬請，所以我才來的。\c\n要不然[VAR 1100(00FF,0101)]你妳哪有榮幸享受到\n和木春我過招的體驗呢？[VAR 0114(0016)]
msg_battle_portal_ex_chain_12	寶可夢本來就是我們的搭檔。\n要是能透過與你們的對戰而了解到\r\n寶可夢的可能性，我們就所向無敵了！[VAR 0114(000A)]
msg_battle_portal_ex_chain_20	自從[VAR 1100(00FF,0101)]你妳鎮撫了劈斧螳螂後，\n我就一直在分析銀河隊的對戰方式呢。[VAR 0114(0010)]
msg_battle_portal_ex_chain_21	廢話不多說了。\n快派出寶可夢來！[VAR 0114(0017)]
msg_battle_portal_ex_chain_22	[VAR 0100(0000)]，我啊，\n常常會和寶可夢促膝長談喔。\c\n因為我相信只要能和寶可夢心意相通，\n就能走到天涯海角。[VAR 0114(000B)]
msg_battle_portal_ex_chain_win_00	能闖過連勝道，真是了不起啊！\n不過以[VAR 1100(00FF,0101)]你妳的實力，這也是理所當然的吧。\c\n謝謝[VAR 1100(00FF,0101)]你妳讓我們領教了\n寶可夢是多麼可靠的存在。\r\n希望下次能再和[VAR 1100(00FF,0101)]你妳過招！[VAR 0114(0009)]
msg_battle_portal_ex_chain_win_01	真不愧是[VAR 1100(00FF,0101)]你妳啊！\c\n可是，該怎麼說才好……\n好像是請[VAR 1100(00FF,0101)]你妳鍛鍊了金剛隊似的。\c\n為了能讓[VAR 1100(00FF,0101)]你妳打得有收穫，\n下次我們會卯足全力跟[VAR 1100(00FF,0101)]你妳對戰的！[VAR 0114(000A)]
msg_battle_portal_ex_chain_win_02	[VAR 0100(0000)]！\n恭喜[VAR 1100(00FF,0101)]你妳突破了連勝道！\c\n透過連勝道可以嚐到\n和寶可夢一起克服困難的滋味，\r\n也許可以將它推廣到洗翠全地呢！[VAR 0114(000B)]
msg_battle_portal_ex_chain_lose_00	雖然沒能打贏，\n但[VAR 1100(00FF,0101)]你妳和寶可夢的實力仍然健在。\c\n應該說我打從心底佩服\n[VAR 1100(00FF,0101)]你妳前來挑戰的那份勇氣！[VAR 0114(0009)]
msg_battle_portal_ex_chain_lose_01	連[VAR 1100(00FF,0101)]你妳這麼厲害的人\n也無法連勝我們金剛隊啊……\c\n開玩笑！我才不會這麼想！\n[VAR 1100(00FF,0101)]你妳和[VAR 1100(00FF,0101)]你妳的寶可夢，實力絕對不只這樣吧！[VAR 0114(000A)]
msg_battle_portal_ex_chain_lose_02	看來只要使出我們珍珠隊的全力，\n就有辦法勝過[VAR 1100(00FF,0101)]你妳呢……\c\n但是以眾擊寡並不值得誇耀，\n得要能發揮每隻寶可夢的實力才是！[VAR 0114(000B)]
msg_battle_portal_ex_talk_02	歡迎與各隊分別選出的３名優秀成員\n連續對戰。您要挑戰哪一隊呢？[VAR 0114(0015)]
msg_battle_portal_ex_talk_12	歡迎與銀河隊選出的３名優秀成員\n連續對戰。您要挑戰嗎？[VAR 0114(0015)]
