LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
IslandEdit_TutorialFloor_06	請按 {color[0000]}{color[ffff]} 結束島嶼建設。
IslandEdit_TutorialObjGauge_01	島上的物件好多，感覺樂趣十足！
IslandEdit_TutorialObjGauge_02	可以隨意將物件設置於島上，\n直到這條計量表全滿為止。{[0004]}看來還有很多空間可以設置……\n\n照這個步調繼續促進\n{[021b|00cd]}發展吧。
UGCEditor_UgcFinish	不更改臉部彩繪並返回。\n\n確定嗎？
UGCEditor_UgcEditCancel	放棄製作{[0208|00cd]}\n並返回。\n\n確定嗎？
UGCEditor_UgcReEditCancel	如果放棄編輯，\n將恢復為編輯前的樣子。\n\n確定嗎？
UGCEditor_UgcEditCancel_Cancel	不行！
UGCEditor_UgcEditCancel_OK	OK
UGCEditor_SaveSuspendData	是否要暫時儲存製作中的\n「{[0208|00cd]}」？
UGCEditor_SaveSuspendData_Cancel	不儲存
UGCEditor_SaveSuspendData_OK	儲存
UGCEditor_UgcNoDraw	沒有任何設計，無法儲存。
UGCEditor_UgcNoDraw_OK	OK
UGCEditor_UgcFeatureEdit_00	如果放棄編輯，\n此更改將不會套用。\n\n確定嗎？
UGCEditor_UgcFeatureEdit_Cancel	不行！
UGCEditor_UgcFeatureEdit_OK	OK
UGCEditor_UgcMax	無法製作更多\n「{color[0000]}{[0208|00cd]}{color[ffff]}」。\n\n從「製作的物品一覽」刪除後，\n就可以繼續製作。
UGCEditor_UgcMax_OK	OK
MiiEditor_ExitConfirm_00	放棄製作Mii並返回。\n\n確定嗎？
MiiEditor_ExitConfirm_00_Continue	不行！
MiiEditor_ExitConfirm_00_OK	OK
MiiEditor_ExitConfirm_01	是否要暫時儲存製作中的Mii？\n\n※稍後可繼續製作。
MiiEditor_ExitConfirm_01_Discard	不儲存
MiiEditor_ExitConfirm_01_Save	儲存
MiiEditor_ExitConfirmEasy_00	放棄製作Mii並返回最初的畫面。\n\n確定嗎？
MiiEditor_ExitConfirmEasy_00_Continue	不行！
MiiEditor_ExitConfirmEasy_00_OK	OK
MiiEditor_ChangeNormalEditor	要切換至「{color[0000]}依部位製作{color[ffff]}」來調整嗎？\n（無法切換回「{color[0000]}依提問製作{color[ffff]}」。）\n\n確定嗎？
MiiEditor_ChangeNormalEditor_Cancel	不行！
MiiEditor_ChangeNormalEditor_OK	OK
UGCEditor_AtelierUgcDelete_00	確定要刪除嗎？\n\n{size[4b00]}※刪除之後，至今購買的物品都會從島上消失。{size[6400]}
UGCEditor_AtelierUgcDelete_01	確定要刪除嗎？\n\n{size[4b00]}※刪除之後，至今購買的物品都會從島上消失。\n※已鎖定的相關Mii新聞也可能會消失。{size[6400]}
UGCEditor_AtelierUgcDelete_02	確定要刪除嗎？\n\n{size[4b00]}※刪除之後，原先鋪設的地方將會變成草地。{size[6400]}
UGCEditor_AtelierUgcDelete_Cancel	不行！
UGCEditor_AtelierUgcDelete_OK	刪除
UGCEditor_AtelierUgcDelete_Finish	刪除完畢。
UGCEditor_AtelierUgcDelete_Finish_OK	OK
UGCEditor_AtelierUgcDelete_House	有Mii的家目前設定為此外觀，\n無法刪除。
UGCEditor_AtelierUgcDelete_House_OK	OK
UGCEditor_ContinueUgcDelete_00	刪除後真的會消失。\n\n確定嗎？
UGCEditor_ContinueUgcDelete_Cancel	不行！
UGCEditor_ContinueUgcDelete_OK	OK
MiiEditor_BloodRelation_ExitConfirm	放棄更改關係並返回。\n\n確定嗎？
MiiEditor_BloodRelation_ExitConfirm_Cancel	不行！
MiiEditor_BloodRelation_ExitConfirm_OK	OK
MiiEditor_Profile_ExitConfirm	放棄更改Mii並返回。\n\n確定嗎？
MiiEditor_Profile_ExitConfirm_Cancel	不行！
MiiEditor_Profile_ExitConfirm_OK	OK
MiiEditor_ProfileCancel_ExitConfirm	放棄更改設定並返回。\n\n確定嗎？
MiiEditor_ProfileCancel_ExitConfirm_Cancel	不行！
MiiEditor_ProfileCancel_ExitConfirm_OK	OK
MiiEditor_LostLove	此設定會影響戀愛關係。\n更改後與{[c800|0502000d]}相關的\n單戀 / 戀人 / 婚姻關係將會解除。\n\n確定要更改嗎？
MiiEditor_LostLove_Cancel	不行！
MiiEditor_LostLove_OK	更改
MiiEditor_PartnerOther	所選擇的Mii已設定\n現實世界中的配偶。\n\n要覆蓋原本的設定嗎？
MiiEditor_PartnerOther_Cancel	退出
MiiEditor_PartnerOther_OK	覆蓋
MiiEditor_Delete_Confirm_00	移除Mii需要支付\n{color[0000]}{[640e|000100cd]}{color[ffff]}的搬家費。\n\n確定嗎？
MiiEditor_Delete_Confirm_01	移除後無法再見到{[c800|0502000d]}，\n真的要移除嗎？\n{size[4b00]}※Mii的持有物品將會消失。\n※已出演的Mii新聞即使進行保護也可能會消失。{size[6400]}
MiiEditor_Delete_Decision	{[c800|0502000d]}\n搬去其他地方了……
MiiEditor_Delete_NoMoney	金錢不足
MiiEditor_Delete_Confirm_Cancel	不行！
MiiEditor_Delete_Confirm_Delete	移除
MiiEditor_Delete_Confirm_OK	OK
MiiEditor_Delete_Childcare	養育孩子期間無法移除。
MiiEditor_Delete_Childcare_OK	OK
MiiEditor_ChangeCancel_Trouble	目前無法更改。\n\n請解決Mii的煩惱後再次嘗試。
MiiEditor_ChangeCancel_Trouble_OK	OK
MiiEditor_ChangeCancel_BolldRelation	{[c800|0502000d]}與{[c800|0602000d]}\n已經是{[0214|01cd]}，所以無法更改。
MiiEditor_ChangeCancel_BolldRelation_OK	OK
MiiEditor_ChangeCancel_Childcare	養育孩子期間無法變更。
MiiEditor_ChangeCancel_Childcare_OK	OK
MiiEditor_FacePaintDelete_00	刪除這位Mii的臉部彩繪。\n\n確定嗎？
MiiEditor_FacePaintDelete_Cancel	不行！
MiiEditor_FacePaintDelete_OK	刪除
MiiEditor_FacePaintCopy_00	這位Mii的臉部彩繪將被覆蓋。\n\n確定嗎？
MiiEditor_FacePaintCopy_Cancel	不行！
MiiEditor_FacePaintCopy_OK	OK
MiiEditor_NoGrown_00	因為有設定年齡，無法更改。
MiiEditor_NoGrown_OK	OK
MiiEditor_NoGrownSpray_00	使用小孩噴霧的期間無法更改。\n\n請使用大人噴霧使其恢復為大人。
MiiEditor_NoGrownSpray_01	使用大人噴霧的期間無法更改。\n\n請使用小孩噴霧使其恢復為小孩。
MiiEditor_EasyCompareReset_00	重置已更改的項目，\n使臉部恢復為更改前的樣子。\n\n確定嗎？
MiiEditor_EasyCompareReset_Cancel	不行！
MiiEditor_EasyCompareReset_OK	OK
MiiEditor_ContinueUgcDelete_00	刪除後真的會消失。\n\n確定嗎？
MiiEditor_ContinueUgcDelete_Cancel	不行！
MiiEditor_ContinueUgcDelete_OK	OK
MiiEditor_PartsTutorial_00	那麼趕快來試做看看吧！
MiiEditor_Child_00	將{[c800|0502000d]}登錄為居民之前\n可以進行編輯。
MiiEditor_Child_OK	OK
IslandWord_Delete_00	選擇中的「話語」將被刪除。\n\n確定嗎？
IslandWord_Delete_Cancel_00	不行！
IslandWord_Delete_OK_00	OK
ChildGrowth_Full_00	若要讓{[021a|0000]}入住，\n得先讓島上的某位居民搬離。{[0004]}請由選單的「居民列表」\n選擇欲移除的Mii使其搬離。
ChildGrowth_Bye_00	前往島外生活後\n將不會再回到這座島嶼。\n\n確定嗎？
ChildGrowth_Bye_OK_00	OK
ChildGrowth_Bye_Cancel_00	不行！
ChildGrowth_Call_00	嗯？似乎有人在叫你。
GroupName_ExitConfirm	放棄更改稱呼並返回。\n\n確定嗎？
GroupName_ExitConfirm_Cancel	不行！
GroupName_ExitConfirm_OK	OK
Option_ExitConfirm	放棄更改設定並返回。\n\n確定嗎？
Option_ExitConfirm_Cancel	不行！
Option_ExitConfirm_OK	OK
SetAllMii_Waiting	Mii們正在集合……
Swap_ExitConfirm	放棄更改Mii的位置並返回。\n\n確定嗎？
Swap_ExitConfirm_Cancel	不行！
Swap_ExitConfirm_OK	OK
Expression_AllMii	正在更改Mii的表情……
Expression_ExitConfirm	放棄更改表情並返回。\n\n確定嗎？
Expression_ExitConfirm_Cancel	不行！
Expression_ExitConfirm_OK	OK
SelectAll_Explain	是否要一次選擇多位Mii？\n\n※將依序填補空位。
SelectAll_Explain_Cancel	退出
SelectAll_Explain_OK	OK
SelectAll_ExitConfirm	放棄目前已選擇的Mii們。\n\n確定嗎？
SelectAll_ExitConfirm_Cancel	不行！
SelectAll_ExitConfirm_OK	OK
PhotoSaveError_StorageFull	無法正確儲存照片。\n\n請確認主機儲存記憶體的可用空間。
PhotoSaveError_StorageFull_Plural	無法正確儲存照片。\n\n請確認主機儲存記憶體的可用空間。
PhotoSaveError_FileCountLimit	無法正確儲存照片。\n\n請確認相簿的儲存數量。
PhotoSaveError_FileCountLimit_Plural	無法正確儲存照片。\n\n請確認相簿的儲存數量。
PhotoSaveError_Others	無法正確儲存照片。\n\n請確認相簿的儲存數量\n以及主機儲存記憶體的可用空間。
PhotoSaveError_Others_Plural	無法正確儲存照片。\n\n請確認相簿的儲存數量\n以及主機儲存記憶體的可用空間。
PhotoSaveError_OK	OK
PhotoStudio_CompleteNotice	照相館的所有背景都已追加完畢！\n\n今後也請盡情享受拍攝照片的樂趣。
LocalNetwork_TopEnd	將結束鄰近主機通訊。\n\n確定嗎？
LocalNetwork_TopEnd_Cancel	不行！
LocalNetwork_TopEnd_OK	OK
LocalNetwork_TopError	發生通訊錯誤。
LocalNetwork_TopError_OK	OK
LocalNetwork_TopConnection	已連接至{color[0000]}{[0209|00cd]}{color[ffff]}。
LocalNetwork_TopConnection_OK	OK
LocalNetwork_TopDisconnection_00	將結束通訊。\n\n確定嗎？
LocalNetwork_TopDisconnection_00_Cancel	不行！
LocalNetwork_TopDisconnection_00_OK	OK
LocalNetwork_TopDisconnection_01	已結束通訊。
LocalNetwork_TopDisconnection_01_OK	OK
LocalNetwork_MiiOther	無法傳送從他人那邊獲得的東西，\n或是包含有此要素的內容。
LocalNetwork_MiiOther_OK	OK
LocalNetwork_MiiSend	要傳送這位Mii嗎？\n\n※Mii不會因為傳送而消失。
LocalNetwork_MiiSend_Cancel	退出
LocalNetwork_MiiSend_OK	傳送
LocalNetwork_MiiRemoveOtherUgc	包含了別人製作的內容。\n將會移除臉部彩繪和衣服後再進行傳送。
LocalNetwork_MiiRemoveOtherUgc_OK	OK
LocalNetwork_MiiMax	島上的居民人數已滿，\n無法接收。
LocalNetwork_MiiMax_OK	OK
LocalNetwork_UgcOther	無法傳送他人製作的物品，\n或是任何包含他人製作內容的物品。
LocalNetwork_UgcOther_OK	OK
LocalNetwork_UgcNgAtelier	物品工坊尚未開幕，無法接收。
LocalNetwork_UgcNgAtelier_OK	OK
LocalNetwork_UgcSend	是否要傳送\n{color[0000]}{[021e|0000]}{color[ffff]}？\n\n※傳送的是「設計圖的複本」，\n物品本身不會從持有物或物品工坊中消失。
LocalNetwork_UgcSend_Cancel	退出
LocalNetwork_UgcSend_OK	傳送
LocalNetwork_UgcMax	「{color[0000]}{[0208|00cd]}{color[ffff]}」\n數量已達上限，無法接收。
LocalNetwork_UgcMax_OK	OK
LocalNetwork_UgcMax_MiiFailure	「{color[0000]}{[0208|00cd]}{color[ffff]}」\n數量已達上限，無法接收Mii。
LocalNetwork_UgcMax_MiiFailure_OK	OK
LocalNetwork_NgWord	由於文字中包含無法顯示的字串或數字，\n有可能無法將完整內容傳送給對方。\n\n仍要繼續傳送嗎？
LocalNetwork_NgWord_Cancel	退出
LocalNetwork_NgWord_OK	傳送
LocalNetwork_SendFailure_00	對方拒絕接收……
LocalNetwork_SendFailure_00_OK	OK
LocalNetwork_SendFailure_01	已拒絕接收。
LocalNetwork_SendFailure_01_OK	OK
LocalNetwork_SendSuccessMii_00	已傳送{[c800|0502000d]}
LocalNetwork_SendSuccessMii_00_OK	OK
LocalNetwork_SendSuccessMii_01	已接收{[c800|0502000d]}
LocalNetwork_SendSuccessUgc_00	已傳送\n「{[021e|0000]}設計圖」
LocalNetwork_SendSuccessUgc_00_OK	OK
LocalNetwork_SendSuccessUgc_01	已接收\n「{[021e|0000]}設計圖」
LocalNetwork_Sending	傳送中……
LocalNetwork_Receiving	接收中……
LocalNetwork_ThirdPersonWarning_00	The Mii you received didn't have\nthird-person pronouns set, so they've\nbeen automatically adjusted based\non the Mii's gender setting. This may\nmean the pronouns need adjustment.{[0004]}The following third-person pronouns\nare applied by default:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\n居民列表 and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_01	The Mii you received didn't have\nthird-person pronouns set, so they've\nbeen automatically adjusted based\non the Mii's gender setting. This may\nmean the pronouns need adjustment.{[0004]}The following third-person pronouns\nare applied by default:\nMale: he/him\nFemale: she/her\nNonbinary: he/him{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\n居民列表 and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_02	The Mii you received used they/them\nthird-person pronouns in English.\nHowever, corresponding terms are not\navailable in your set language.{[0004]}The third-person pronouns for the Mii\nyou received will be replaced with\nhe/him pronouns instead.{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\n居民列表 and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_OK	OK
LocalNetwork_LanguageWarning	由於連線對象使用的是不同語言，\n因此接收到的Mii的名字以及物品名稱\n將無法正常顯示。\n\n請重新設定。
LocalNetwork_LanguageWarning_OK	OK
LocalNetwork_FirstReceiveMii	（注意）\n透過鄰近主機通訊獲得的Mii\n無法傳送給其他人。
LocalNetwork_FirstReceiveMii_OK	OK
LocalNetwork_FirstReceiveUgc	（注意）\n透過鄰近主機通訊獲得的「物品設計圖」\n無法傳送給其他人。
LocalNetwork_FirstReceiveUgc_OK	OK
LocalNetwork_FirstReceiveItem	收到的物品可以在商店購買。
LocalNetwork_FirstReceiveItem_OK	OK
LocalNetwork_MiiCopy	參考這位Mii來製作的話，\n將無法透過鄰近主機通訊傳送給他人。\n\n確定要繼續嗎？
LocalNetwork_MiiCopy_Cancel	退出
LocalNetwork_MiiCopy_OK	OK
LocalNetwork_UgcCopy	使用這個基底的話，\n將無法透過鄰近主機通訊傳送給他人。\n\n確定要繼續嗎？
LocalNetwork_UgcCopy_Cancel	退出
LocalNetwork_UgcCopy_OK	OK
LocalNetwork_StampCopy	使用這個圖章的話，\n將無法透過鄰近主機通訊傳送給他人。\n\n確定要繼續嗎？
LocalNetwork_StampCopy_Cancel	退出
LocalNetwork_StampCopy_OK	OK
LocalNetwork_EnterCheck_00	已在家長監護設定中\n限制「與其他用戶自由溝通」功能，\n故無法進行通訊。
LocalNetwork_EnterCheck_01	為了使所有玩家都能愉快地享受遊戲，\n請勿分享下列內容。\n敏感內容／侵害他人權利之內容／\n令人感到不適的內容{[0004]}請避免讓其他玩家擁有不佳的遊玩體驗，\n以同理心一同打造優質的遊戲環境。
LocalNetwork_EnterCheck_02	ATTENTION\nThe Community Guidelines apply to\nin-game behavior and shared\ncontent and can be found on\nNintendo's website.{[0004]}Please be considerate to your fellow\nplayers.
LocalNetwork_EnterCheck_03	由於島嶼名稱中包含無法顯示的字串或數字，\n有可能無法將完整內容傳送給對方。\n\n仍要開始進行鄰近主機通訊嗎？
LocalNetwork_EnterCheck_03_OK	開始
LocalNetwork_EnterCheck_03_NG	退出
LocalNetwork_EnterCheck_04	進行鄰近主機通訊前將會先儲存。\n\n確定嗎？
LocalNetwork_EnterCheck_04_OK	OK
LocalNetwork_EnterCheck_04_NG	退出
LocalNetwork_EnterCheck_05	儲存完畢。\n\n將開始進行鄰近主機通訊。
Ugc_Max	無法繼續追加。
BootChangeLanguage_A00	Your language setting has changed to\none that uses third-person pronouns.{[0004]}As the previous language did not use\nthird-person pronouns, pronouns have\nbeen automatically assigned based on\neach Mii's gender setting. This may\nmean some Miis need adjustments.{[0004]}The following third-person pronouns\nhave been applied based on gender:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nany Miis before continuing to play the\ngame, please select the Mii from\n居民列表 and set their pronouns\nto the appropriate option.
BootChangeLanguage_A01	Your language setting has changed to\none that uses third-person pronouns.{[0004]}As the previous language did not use\nthird-person pronouns, pronouns have\nbeen automatically assigned based on\neach Mii's gender setting. This may\nmean some Miis need adjustments.{[0004]}The following third-person pronouns\nhave been applied based on gender:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nany Miis before continuing to play the\ngame, please select the Mii from\n居民列表 and set their pronouns\nto the appropriate option.
BootDifferentFont	由於語言改變，無法正確顯示\n您在軟體內輸入的字詞。\n（包含Mii的名字或物品名稱等等）\n請重新設定。{[0004]}※若改回原先的語言，字詞也將恢復原先設定。
BootCheckPenalty_00	主機設定的時間\n和上次遊玩時不同。{[0004]}若在此狀況下開始遊戲，\n可能會造成遊戲軟體內的時間改變，\n或出現店內商品暫時不會更換的情況。{[0004]}確定要開始遊戲嗎？
BootCheckPenalty_00_OK	是
BootCheckPenalty_00_NG	否
BootCheckPenalty_00_Next	OK
BootCheckPenalty_01	請按下，\n在HOME選單中的「設定」\n調整為正確的時間。
OnlySpaceInput	請輸入空格以外的文字。
OnlySpaceInput_OK	OK
LongMainInput	輸入的「唸法」文字過長，\n無法登錄。\n\n輸入文字可按照目前的內容登錄，\n但需要縮短「唸法」。
LongMainInput_OK	OK
LongReadInput	「唸法」過長。\n\n需要縮短「唸法」。
LongReadInput_OK	OK
CantReadMainInput	無法朗讀輸入文字。\n\n輸入文字可按照目前的內容登錄，\n但請輸入「唸法」。
CantReadMainInput_OK	OK
CantReadHowToCallInput	無法依照「唸法」朗讀。\n\n請輸入可以朗讀的文字。
CantReadHowToCallInput_OK	OK
SaveDataSpaceCheck	主機的可用空間已滿。\n\n請透過下列任意方式清理空間。\n・刪除之前製作的物品。\n・至主機設定的「資料管理」中清理資料。
SaveDataSpaceCheck_OK	OK
LocakNetwork_SaveDataSpaceCheck	主機的可用空間已滿，\n無法接收物品。\n請透過下列任意方式清理空間。\n・刪除之前製作的物品。\n・至主機設定的「資料管理」中清理資料。
LocakNetwork_SaveDataSpaceCheck_OK	OK
LocakNetwork_SaveDataSpaceCheck_SendMii	主機的可用空間已滿，\n無法接收穿在Mii身上的部分服裝。\n請透過下列任意方式清理空間。\n・刪除之前製作的物品。\n・至主機設定的「資料管理」中清理資料。
LocakNetwork_SaveDataSpaceCheck_SendMii_OK	OK
LocakNetwork_SaveDataSpaceCheck_SendMiiFailure	無法接收Mii……
LocakNetwork_SaveDataSpaceCheck_SendMiiFailure_OK	OK
SaveDataWriteError	資料損壞，\n已中斷儲存。\n\n請按下返回HOME選單，\n並結束遊戲軟體。
SaveDataReadError	儲存資料已損壞，\n無法開始遊戲。\n\n請按下返回HOME選單，\n並結束遊戲軟體。
LocalNetwork_MiiClothNgAtelier	尚未開設物品工坊，\n無法接收服裝。
LocalNetwork_MiiClothNgAtelier_OK	OK
TroubleFriend_UgcWord	請教導Mii\n該跟對方聊些什麼吧。\n\n教一些開心的話語應該很不錯。
ImportTrialSave_00	找到了《Tomodachi Life 朋友收集 夢想生活》\n{color[0000]}體驗版的儲存資料{color[ffff]}。{[0004]}是否要繼承體驗版的儲存資料？\n\n{color[0000]}一旦開始遊玩軟體，\n便無法繼承體驗版的儲存資料。{color[ffff]}
ImportTrialSave_00_OK	繼承
ImportTrialSave_00_NG	不繼承
ImportTrialSave_01	將繼承體驗版的儲存資料。\n\n請問是否確定？
ImportTrialSave_01_OK	繼承
ImportTrialSave_01_NG	返回
ImportTrialSave_02	若直接開始遊玩軟體，\n將無法繼承體驗版儲存資料。\n請問是否確定？\n{color[0000]}刪除正式版的儲存資料\n便可再繼承體驗版儲存資料。{color[ffff]}
ImportTrialSave_02_OK	不繼承
ImportTrialSave_02_NG	返回
ImportTrialSave_03	正在複製儲存資料……
ImportTrialSave_04	已繼承體驗版的儲存資料。
ImportTrialSave_04_OK	OK
ImportTrialSave_05	《Tomodachi Life 朋友收集 夢想生活》\n{color[0000]}體驗版儲存資料{color[ffff]}已損壞。\n\n將以不繼承儲存資料的狀態\n開始遊戲軟體。
ImportTrialSave_05_OK	OK
LayoutMsg\Common_FadeWipe_00.msbt
MiiMove	去找{[c800|0502000d]}……
Into_MapObject	進入{[0218|0000]}……
Into_MiiHouse	進入住家……
GetOut_MapObject	離開{[0218|0000]}……
GetOut_MiiHouse	離開住家……
LayoutMsg\Common_Footer_00.msbt
Guide_PickUp_LongPressA	長按抓起
Guide_OutHome	帶出房屋
Reduce	刪減數量
Sort_Arrival	依到貨時間排序
Sort_PriceHighToLow	依價格高至低排序
Sort_PriceLowToHigh	依價格低至高排序
Sort_Dictionary	依名稱排序
Sort_Genre	依類別排序
Sort_StyleUtoF	
Sort_StyleFtoU	
Sort_StockNumDec	依持有數量排序
Sort_RecentObtained	依獲得時間排序
Sort_RecentCreated	依編輯時間排序
PresentAsCoordinate	成套贈送
TopsIn	上身服裝紮入
TopsOut	上身服裝不紮入
Accident_Drop	放開
Accident_MoveUpDown	上下移動
Accident_LongPressA_Charge	長按蓄力
Accident_ReleaseA_Poke	放開戳一下
Accident_Stroke	搓揉
Bungee_Push	推一把
SpinningTop_MiiL	旋轉{[c800|0502000d]}
SpinningTop_MiiR	旋轉{[c800|0602000d]}
RemoveMii	移除
SwapMii	交換位置
SelectAll	選取多位Mii
Camera	鏡頭操作
FinishCheck	結束查看
FerrisWheelCamera	鏡頭操作
ResidentList_ManualSort	更改排序
ResidentList_DecidePos	移動至此
