LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
Fountain_RenovationNew_01	You can now wish for new interior sets to\nbe added to {[c900|00000a00]}T&C {[060a|0a007200650068006e006f00]}Reno\x0f\x06\n home supply.
Fountain_RenovationNew_02	And when a wish for a new set is\ngranted, you'll get one as a gift!
Fountain_Building	You can use wishes at the wishing\nfountain to unlock new items sold\nat the {[c900|00000a00]}Quik Build amenities.{[0004]}You also receive one of that new item\nas a bonus gift when you grant a wish!
Fountain_Laying	You can use wishes at the wishing\nfountain to unlock new types of\nlandscaping that you can use with\nthe Island Builder.
Fountain_Atelier	You can use wishes at the wishing\nfountain to unlock new types of\ncreations that you can craft at\nthe {[c900|00000a00]}Palette House workshop.
IslandEdit_Reset_00	This will undo the changes you've\nmade to your island.\n\nAre you sure?
IslandEdit_Reset_01	Undoing changes...
IslandEdit_Reset_02	Undone!
IslandEdit_TutorialObject_01	You can place buildings and objects\nwherever you like using {color[0000]}Island Builder{color[ffff]}.
IslandEdit_TutorialObject_01_Next	Next
IslandEdit_TutorialObject_02	Try pressing {color[0000]}Build{color[ffff]}, and then\nselect {color[0000]}bench{color[ffff]}.
IslandEdit_TutorialObject_03_2	Let's start with the {color[0000]}bench{color[ffff]} for now.
IslandEdit_TutorialObject_04	Place the bench anywhere you like\nwithin the {color[0000]}highlighted area{color[ffff]}.
IslandEdit_TutorialObject_05	You can move it later, but please\nplace the bench in the {color[0000]}highlighted\narea{color[ffff]} for now.
IslandEdit_TutorialObject_06	Looking good!\n\nYou can always reposition or move the\nbench later if you like.
IslandEdit_TutorialObject_08	Now, please press {color[0000]} {color[ffff]}to exit\nIsland Builder.
IslandEdit_TutorialFloor_02	Let's start with some {color[0000]}grass{color[ffff]}.\n\nYou can come back to Island Builder\nlater and work with different types\nof landscaping.
IslandEdit_TutorialFloor_03	Since this is your first time, a location\nhas already been chosen for you.\n\nPlease {color[0000]}fill in the highlighted area{color[ffff]} with\ngrass to connect the land.
IslandEdit_TutorialFloor_04	Perfect!\n\nThe land is connected now.
IslandEdit_TutorialFloor_06	Now, please press {color[0000]} {color[ffff]}to exit\nIsland Builder.
IslandEdit_TutorialObjGauge_01	Your island is really coming along now...\nIt seems you've taken full advantage of\nplacing objects to make the place\nyour own!
IslandEdit_TutorialObjGauge_02	Of course, it looks like you have even\nmore room to get creative. You can\ncontinue placing objects until this\ngauge fills up.{[0004]}Wow, you've still got plenty of space to\ndecorate. Keep up the good work, and\nmake {[021b|00cd]}\nfeel like home for your Miis!
UGCEditor_UgcFinish	You'll return without changing\nthe face paint.\n\nIs that OK?
UGCEditor_UgcEditCancel	If you stop now, you'll be returned to\nthe menu without completing your\n{[0208|00cd]}.\n\nIs that OK?
UGCEditor_UgcReEditCancel	Any changes you've made will be\nlost if you stop editing now.\nAre you sure you want to stop?
UGCEditor_UgcEditCancel_Cancel	Don't Stop
UGCEditor_UgcEditCancel_OK	Stop
UGCEditor_SaveSuspendData	Do you want to temporarily save\nprogress on your {[0208|00cd]}?
UGCEditor_SaveSuspendData_Cancel	Don't Save
UGCEditor_SaveSuspendData_OK	Save
UGCEditor_UgcNoDraw	The canvas is blank.\nThis won't be saved.
UGCEditor_UgcNoDraw_OK	OK
UGCEditor_UgcFeatureEdit_00	Any changes will not be reflected if\nyou stop editing.\n\nAre you sure you want to stop?
UGCEditor_UgcFeatureEdit_Cancel	Don't Stop
UGCEditor_UgcFeatureEdit_OK	Stop
UGCEditor_UgcMax	You can't make any more creations of\nthe {color[0000]}{[0208|00cd]} {color[ffff]}type.\nTo make a new one, you must first\nremove an existing one from your\nlist of creations.
UGCEditor_UgcMax_OK	OK
MiiEditor_ExitConfirm_00	Exit without finalizing the Mii?
MiiEditor_ExitConfirm_00_Continue	Don't Exit
MiiEditor_ExitConfirm_00_OK	Exit
MiiEditor_ExitConfirm_01	Do you want to temporarily save the\nMii you're working on so you can\ncontinue editing it later?
MiiEditor_ExitConfirm_01_Discard	Don't Save
MiiEditor_ExitConfirm_01_Save	Save
MiiEditor_ExitConfirmEasy_00	Start over without finalizing this Mii?
MiiEditor_ExitConfirmEasy_00_Continue	Never Mind
MiiEditor_ExitConfirmEasy_00_OK	Start Over
MiiEditor_ChangeNormalEditor	Do you want to switch modes and go to\nthe "{color[0000]}From scratch{color[ffff]}" method to adjust the\nfeatures in more detail?\n(You will not be able to return to the\n"{color[0000]}Get help{color[ffff]}" creation method.)
MiiEditor_ChangeNormalEditor_Cancel	Don't Switch
MiiEditor_ChangeNormalEditor_OK	Switch
UGCEditor_AtelierUgcDelete_00	Are you sure you want to delete this?\n\n{size[4b00]}If you delete this creation, any existing copies of\nit that have been purchased will also be removed.{size[6400]}
UGCEditor_AtelierUgcDelete_01	Are you sure you want to delete this?\n\n{size[4b00]}If you delete this creation, any existing copies of\nit that have been purchased will also be removed,\nalong with any related Mii News stories.{size[6400]}
UGCEditor_AtelierUgcDelete_02	Are you sure you want to delete this?\n\n{size[4b00]}If you delete this landscaping, any spots where\nit's being used will be replaced with grass.{size[6400]}
UGCEditor_AtelierUgcDelete_Cancel	Don't Delete
UGCEditor_AtelierUgcDelete_OK	Delete
UGCEditor_AtelierUgcDelete_Finish	Your creation has been deleted.
UGCEditor_AtelierUgcDelete_Finish_OK	OK
UGCEditor_AtelierUgcDelete_House	This can't be deleted right now\nas it is in use on a Mii's house.
UGCEditor_AtelierUgcDelete_House_OK	OK
UGCEditor_ContinueUgcDelete_00	Are you sure you want to delete this?
UGCEditor_ContinueUgcDelete_Cancel	Don't Delete
UGCEditor_ContinueUgcDelete_OK	Delete
MiiEditor_BloodRelation_ExitConfirm	Are you sure you want to quit without\nchanging this relationship setting?
MiiEditor_BloodRelation_ExitConfirm_Cancel	Don't Quit
MiiEditor_BloodRelation_ExitConfirm_OK	Quit
MiiEditor_Profile_ExitConfirm	Any changes you made will be lost.\n\nAre you sure you want to proceed?
MiiEditor_Profile_ExitConfirm_Cancel	Don't Proceed
MiiEditor_Profile_ExitConfirm_OK	Proceed
MiiEditor_ProfileCancel_ExitConfirm	Any changes you made will be lost.\n\nAre you sure you want to proceed?
MiiEditor_ProfileCancel_ExitConfirm_Cancel	Don't Proceed
MiiEditor_ProfileCancel_ExitConfirm_OK	Proceed
MiiEditor_LostLove	This will remove crush, sweetheart,\nand marriage relationships involving\n{[c800|0502000d]}.\nAre you sure you want to proceed?
MiiEditor_LostLove_Cancel	Don't Proceed
MiiEditor_LostLove_OK	Proceed
MiiEditor_PartnerOther	The Mii you selected is already set as\nthe real-world partner of a different Mii.\n\nDo you want to overwrite that setting?
MiiEditor_PartnerOther_Cancel	Cancel
MiiEditor_PartnerOther_OK	Overwrite
MiiEditor_Delete_Confirm_00	It will cost {color[0000]}{[640e|000100cd]} {color[ffff]}in moving\nfees to remove this Mii.\n\nAre you sure you want to proceed?
MiiEditor_Delete_Confirm_01	You will no longer be able to see\n{[c800|0502000d]}. Are you really sure\nyou want to remove {[c812|05020d0d]}?\n{size[4b00]}All of {[c812|05010d0d]} belongings will be deleted, and Mii News\nstories they were in may be removed even if locked.{size[6400]}
MiiEditor_Delete_Decision	{[c903]}{[c800|0502000d]} moved away...
MiiEditor_Delete_NoMoney	You can't afford this.
MiiEditor_Delete_Confirm_Cancel	Cancel
MiiEditor_Delete_Confirm_Delete	Remove
MiiEditor_Delete_Confirm_OK	OK
MiiEditor_Delete_Childcare	The Mii can't be removed\nwhile they are raising a kid.
MiiEditor_Delete_Childcare_OK	OK
MiiEditor_ChangeCancel_Trouble	You can't change this setting right now.\n\nYou can try again after you solve the\nMii's problems.
MiiEditor_ChangeCancel_Trouble_OK	OK
MiiEditor_ChangeCancel_BolldRelation	This setting cannot be changed\nsince {[c800|0502000d]} and\n{[c800|0602000d]} are already\n{[0214|01cd]}.
MiiEditor_ChangeCancel_BolldRelation_OK	OK
MiiEditor_ChangeCancel_Childcare	This setting can't be changed\nwhile the Mii is raising a kid.
MiiEditor_ChangeCancel_Childcare_OK	OK
MiiEditor_FacePaintDelete_00	Delete this Mii's face paint?
MiiEditor_FacePaintDelete_Cancel	Don't Delete
MiiEditor_FacePaintDelete_OK	Delete
MiiEditor_FacePaintCopy_00	This will overwrite the face paint that\nthis Mii already has. Are you sure?
MiiEditor_FacePaintCopy_Cancel	Cancel
MiiEditor_FacePaintCopy_OK	Overwrite
MiiEditor_NoGrown_00	This setting can't be changed\nbecause the Mii's age has been set.
MiiEditor_NoGrown_OK	OK
MiiEditor_NoGrownSpray_00	This can't be changed while\nthe Kid-o-matic is applied.\n\nPlease use an Age-o-matic to revert\nthis Mii back into a grown-up first.
MiiEditor_NoGrownSpray_01	This can't be changed while\nthe Age-o-matic is applied.\n\nPlease use a Kid-o-matic to revert\nthis Mii back into a kid first.
MiiEditor_EasyCompareReset_00	This will reset the Mii's face to how it\nappeared before changes were made.\n\nIs that OK?
MiiEditor_EasyCompareReset_Cancel	Don't Reset
MiiEditor_EasyCompareReset_OK	Reset
MiiEditor_ContinueUgcDelete_00	Are you sure you want to delete this?
MiiEditor_ContinueUgcDelete_Cancel	Don't Delete
MiiEditor_ContinueUgcDelete_OK	Delete
MiiEditor_PartsTutorial_00	Well, that's everything for now.\nFeel free to start creating!
MiiEditor_Child_00	You can edit {[c800|0502000d]} before\nadding {[c812|05020d0d]} as a resident.
MiiEditor_Child_OK	OK
IslandWord_Delete_00	Any lingo selected will be deleted.\n\nAre you sure?
IslandWord_Delete_Cancel_00	Don't Delete
IslandWord_Delete_OK_00	Delete
ChildGrowth_Full_00	In order to add {[021a|0000]} as a\nresident, someone living on the\nisland will need to move away.{[0004]}Please go to Residents in the Menu\nand select a Mii to move away.
ChildGrowth_Bye_00	Once the kid starts living elsewhere,\nthey won't return to this island.\n\nIs that OK?
ChildGrowth_Bye_OK_00	Yes
ChildGrowth_Bye_Cancel_00	No
ChildGrowth_Call_00	Oh! It looks like someone wants to\ntalk with you.
GroupName_ExitConfirm	Are you sure you want to go back\nwithout changing the nickname?
GroupName_ExitConfirm_Cancel	Change
GroupName_ExitConfirm_OK	Don't Change
Option_ExitConfirm	Are you sure you want to go back\nwithout changing any settings?
Option_ExitConfirm_Cancel	Change
Option_ExitConfirm_OK	Don't Change
SetAllMii_Waiting	Everyone is gathering together...
Swap_ExitConfirm	Are you sure you want to go back\nwithout swapping any positions?
Swap_ExitConfirm_Cancel	Swap
Swap_ExitConfirm_OK	Don't Swap
Expression_AllMii	Changing expressions...
Expression_ExitConfirm	Are you sure you want to go back\nwithout changing any expressions?
Expression_ExitConfirm_Cancel	Change
Expression_ExitConfirm_OK	Don't Change
SelectAll_Explain	Would you like to select a batch of Miis?\n\nAny open slots will be filled in order.
SelectAll_Explain_Cancel	Don't Select
SelectAll_Explain_OK	Select
SelectAll_ExitConfirm	Are you sure you want to discard\nyour selection?
SelectAll_ExitConfirm_Cancel	Don't Discard
SelectAll_ExitConfirm_OK	Discard
PhotoSaveError_StorageFull	The photo couldn't be saved.\n\nPlease make sure you have enough\nspace in system memory.
PhotoSaveError_StorageFull_Plural	The photos couldn't be saved.\n\nPlease make sure you have enough\nspace in system memory.
PhotoSaveError_FileCountLimit	The photo couldn't be saved.\n\nPlease make sure you have enough\nroom in the album.
PhotoSaveError_FileCountLimit_Plural	The photos couldn't be saved.\n\nPlease make sure you have enough\nroom in the album.
PhotoSaveError_Others	The photo couldn't be saved.\n\nPlease make sure you have enough\nroom in the album and enough space\nin system memory.
PhotoSaveError_Others_Plural	The photos couldn't be saved.\n\nPlease make sure you have enough\nroom in the album and enough space\nin system memory.
PhotoSaveError_OK	OK
PhotoStudio_CompleteNotice	You've now unlocked all of the\nFoto-Tomo photography backdrops.\n\nCongrats, and enjoy your future\nphoto shoots!
LocalNetwork_TopEnd	This will end your local play session.\n\nAre you sure?
LocalNetwork_TopEnd_Cancel	Don't End
LocalNetwork_TopEnd_OK	End
LocalNetwork_TopError	A communication error has occurred.
LocalNetwork_TopError_OK	OK
LocalNetwork_TopConnection	Connected with {color[0000]}{[0209|00cd]}{color[ffff]}.
LocalNetwork_TopConnection_OK	OK
LocalNetwork_TopDisconnection_00	This will end your connection.\n\nAre you sure?
LocalNetwork_TopDisconnection_00_Cancel	Don't End
LocalNetwork_TopDisconnection_00_OK	End
LocalNetwork_TopDisconnection_01	Connection ended.
LocalNetwork_TopDisconnection_01_OK	OK
LocalNetwork_MiiOther	You can't send content you received\nfrom someone else or content that uses\nelements received from someone else.
LocalNetwork_MiiOther_OK	OK
LocalNetwork_MiiSend	Do you want to send this Mii?\n\nSending a Mii doesn't remove it\nfrom your island.
LocalNetwork_MiiSend_Cancel	Don't Send
LocalNetwork_MiiSend_OK	Send
LocalNetwork_MiiRemoveOtherUgc	Elements that have been designed by\nothers, such as clothing or face paint,\nwill be removed when sending the Mii.
LocalNetwork_MiiRemoveOtherUgc_OK	OK
LocalNetwork_MiiMax	There's no room on your island for\nany additional Miis right now.
LocalNetwork_MiiMax_OK	OK
LocalNetwork_UgcOther	You can't send an item made by\nanother person or one that contains\ncontent made by another person.
LocalNetwork_UgcOther_OK	OK
LocalNetwork_UgcNgAtelier	You can't receive this content until\nthe {[c900|00000a00]}Palette House workshop is open.
LocalNetwork_UgcNgAtelier_OK	OK
LocalNetwork_UgcSend	Do you want to send\n"{color[0000]}{[021e|0000]}{color[ffff]}"?\nSending a blueprint copy will not\nremove the item from a Mii's belongings\nor from the {[c900|00000a00]}Palette House workshop.
LocalNetwork_UgcSend_Cancel	Don't Send
LocalNetwork_UgcSend_OK	Send
LocalNetwork_UgcMax	You can't receive any more {color[0000]}{[0208|00cd]} {color[ffff]}since you're at the limit already.
LocalNetwork_UgcMax_OK	OK
LocalNetwork_UgcMax_MiiFailure	You can't receive this Mii because\nyou already have the maximum number\nof {color[0000]}{[0208|00cd]}{color[ffff]}.
LocalNetwork_UgcMax_MiiFailure_OK	OK
LocalNetwork_NgWord	There's a chance the other player can't\nreceive this content because it contains\nnumbers or text that may be subject to\ndisplay restrictions. Do you still want\nto try sending anyway?
LocalNetwork_NgWord_Cancel	Don't Send
LocalNetwork_NgWord_OK	Send
LocalNetwork_SendFailure_00	The content you sent wasn't received...
LocalNetwork_SendFailure_00_OK	OK
LocalNetwork_SendFailure_01	You didn't receive what was sent.
LocalNetwork_SendFailure_01_OK	OK
LocalNetwork_SendSuccessMii_00	You sent {[c800|0502000d]}.
LocalNetwork_SendSuccessMii_00_OK	OK
LocalNetwork_SendSuccessMii_01	You received {[c800|0502000d]}.
LocalNetwork_SendSuccessUgc_00	You sent a blueprint for\n"{[021e|0000]}."
LocalNetwork_SendSuccessUgc_00_OK	OK
LocalNetwork_SendSuccessUgc_01	You received a blueprint for\n"{[021e|0000]}."
LocalNetwork_Sending	Sending...
LocalNetwork_Receiving	Receiving...
LocalNetwork_ThirdPersonWarning_00	The Mii you received didn't have\nthird-person pronouns set, so they've\nbeen automatically adjusted based\non the Mii's gender setting. This may\nmean the pronouns need adjustment.{[0004]}The following third-person pronouns\nare applied by default:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\nResidents and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_01	The Mii you received didn't have\nthird-person pronouns set, so they've\nbeen automatically adjusted based\non the Mii's gender setting. This may\nmean the pronouns need adjustment.{[0004]}The following third-person pronouns\nare applied by default:\nMale: he/him\nFemale: she/her\nNonbinary: he/him{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\nResidents and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_02	The Mii you received used they/them\nthird-person pronouns in English.\nHowever, corresponding terms are not\navailable in your set language.{[0004]}The third-person pronouns for the Mii\nyou received will be replaced with\nhe/him pronouns instead.{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\nResidents and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_OK	OK
LocalNetwork_LanguageWarning	Some text, like the names of Miis or\nitems, may not display as intended when\nreceiving Miis or blueprints from those\nplaying in a different language.\nPlease adjust the text as necessary.
LocalNetwork_LanguageWarning_OK	OK
LocalNetwork_FirstReceiveMii	Note: You can't share Miis received\nvia local play with other people.
LocalNetwork_FirstReceiveMii_OK	OK
LocalNetwork_FirstReceiveUgc	Note: You can't share an item\nblueprint received via local play\nwith other people.
LocalNetwork_FirstReceiveUgc_OK	OK
LocalNetwork_FirstReceiveItem	After receiving an item, it will become\navailable for purchase in the relevant\nisland shop.
LocalNetwork_FirstReceiveItem_OK	OK
LocalNetwork_MiiCopy	If you create a Mii based on this one,\nyou will not be able to send it via local\nplay. Is that OK?
LocalNetwork_MiiCopy_Cancel	No
LocalNetwork_MiiCopy_OK	Yes
LocalNetwork_UgcCopy	If you create an item using this base,\nyou will not be able to send it via local\nplay. Is that OK?
LocalNetwork_UgcCopy_Cancel	No
LocalNetwork_UgcCopy_OK	Yes
LocalNetwork_StampCopy	If you create something using this\nstamp, you will not be able to send it\nvia local play. Is that OK?
LocalNetwork_StampCopy_Cancel	No
LocalNetwork_StampCopy_OK	Yes
LocalNetwork_EnterCheck_00	You can't connect with others\nbecause Communicating with Others\nis restricted under Parental Controls\non your system.
LocalNetwork_EnterCheck_01	So that everyone can have fun playing,\nplease do not share any content that\ninfringes on others' rights, or content\nthat may make others uncomfortable.{[0004]}Please do not act in a way that may\nmake other players uncomfortable. We\nask that you play with consideration for\nother players.
LocalNetwork_EnterCheck_02	ATTENTION\nThe Community Guidelines apply\nto in-game behavior and shared\ncontent and can be found on\nNintendo's website.{[0004]}Please be considerate to\nyour fellow players.
LocalNetwork_EnterCheck_03	It's possible that you will not be able\nto share content because your island\nname contains numbers and/or text\nthat is subject to display restrictions.\nBegin local play anyway?
LocalNetwork_EnterCheck_03_OK	Begin
LocalNetwork_EnterCheck_03_NG	Don't Begin
LocalNetwork_EnterCheck_04	The game will be saved before starting\nthe local play session.\n\nContinue with saving?
LocalNetwork_EnterCheck_04_OK	Save
LocalNetwork_EnterCheck_04_NG	Don't Save
LocalNetwork_EnterCheck_05	Your game has been saved.\n\nNow starting local play session.
Ugc_Max	You can't add any more.
BootChangeLanguage_A00	Your language setting has changed to\none that uses third-person pronouns.{[0004]}As the previous language did not use\nthird-person pronouns, pronouns have\nbeen automatically assigned based on\neach Mii's gender setting. This may\nmean some Miis need adjustments.{[0004]}The following third-person pronouns\nhave been applied based on gender:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nany Miis before continuing to play the\ngame, please select the Mii from\nResidents and set their pronouns\nto the appropriate option.
BootChangeLanguage_A01	Your language setting has changed to\none that uses third-person pronouns.{[0004]}As the previous language did not use\nthird-person pronouns, pronouns have\nbeen automatically assigned based on\neach Mii's gender setting. This may\nmean some Miis need adjustments.{[0004]}The following third-person pronouns\nhave been applied based on gender:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nany Miis before continuing to play the\ngame, please select the Mii from\nResidents and set their pronouns\nto the appropriate option.
BootDifferentFont	Your language setting has changed, so\nsome text that you've entered—such\nas the names of Miis or items—may not\ndisplay as intended.{[0004]}Please adjust the text as necessary.\nIt will revert back if you change your\nlanguage setting back to the previous\nlanguage you were using.
BootCheckPenalty_00	Your system time has changed since\nthe last time you played.{[0004]}If you start the game as is, the in-game\ntime may change, or the items offered in\nshops may not change for a little while.{[0004]}Do you want to start the game with\nthe current time setting?
BootCheckPenalty_00_OK	Start
BootCheckPenalty_00_NG	Don't Start
BootCheckPenalty_00_Next	OK
BootCheckPenalty_01	Press  to open the HOME Menu,\nthen go to System Settings\nto change the date or time.
OnlySpaceInput	Please enter something other\nthan a blank space.
OnlySpaceInput_OK	OK
LongMainInput	The pronunciation entered is too long,\nso it can't be saved. The text itself can\nbe saved as is, but the pronunciation\nwill need to be shortened.
LongMainInput_OK	OK
LongReadInput	The pronunciation is too long.\nIt will need to be shortened.
LongReadInput_OK	OK
CantReadMainInput	The text you entered can't be\nread. It can be saved as is, but\nplease enter a pronunciation for it.
CantReadMainInput_OK	OK
CantReadHowToCallInput	The pronunciation can't be read.\nPlease enter a pronunciation using\ncharacters that can be read.
CantReadHowToCallInput_OK	OK
SaveDataSpaceCheck	The storage space on your system is\ncurrently full. Please free up space by\neither deleting previous creations or\nfree up data under Data Management\nin System Settings.
SaveDataSpaceCheck_OK	OK
LocakNetwork_SaveDataSpaceCheck	There isn't enough space on your\nsystem to receive items. Please free\nup space by either deleting previous\ncreations or free up data under Data\nManagement in System Settings.
LocakNetwork_SaveDataSpaceCheck_OK	OK
LocakNetwork_SaveDataSpaceCheck_SendMii	There isn't enough space on the system\nto receive part of the Mii's clothing.\nPlease free up space by deleting\nprevious creations or free up data under\nData Management in System Settings.
LocakNetwork_SaveDataSpaceCheck_SendMii_OK	OK
LocakNetwork_SaveDataSpaceCheck_SendMiiFailure	The Mii couldn't be received.
LocakNetwork_SaveDataSpaceCheck_SendMiiFailure_OK	OK
SaveDataWriteError	Some data has been corrupted.\nYour game couldn't be saved.\n\nPlease press  to return to the\nHOME Menu and close the game.
SaveDataReadError	Your save data is corrupted.\nCouldn't start the game.\n\nPlease press  to return to the\nHOME Menu and close the game.
LocalNetwork_MiiClothNgAtelier	You can't receive the content that was\nsent because the studio workshop\nisn't open yet.
LocalNetwork_MiiClothNgAtelier_OK	OK
TroubleFriend_UgcWord	OK, why don't you give them\nsomething to talk about.\n\nWhat would be a fun topic?
ImportTrialSave_00	{color[0000]}Save data from the demo version{color[ffff]} of\nTomodachi Life: Living the Dream\nhas been detected.{[0004]}Would you like to transfer the save\ndata from the demo version? {color[0000]}If you\nbegin playing without transferring\ndata, you will no longer be able to\naccess data from the demo version.{color[ffff]}
ImportTrialSave_00_OK	Transfer Data
ImportTrialSave_00_NG	Don't Transfer
ImportTrialSave_01	Save data from the demo version\nwill now be transferred.\n\nAre you sure?
ImportTrialSave_01_OK	Transfer Data
ImportTrialSave_01_NG	Back
ImportTrialSave_02	If you continue playing, you will not be\nable to transfer any save data from\nthe demo version. Is that OK?\n{color[0000]}(Deleting retail version save data would\nallow demo data to be transferred.){color[ffff]}
ImportTrialSave_02_OK	Don't Transfer
ImportTrialSave_02_NG	Back
ImportTrialSave_03	Copying save data...
ImportTrialSave_04	Save data from the demo version\nhas been transferred.
ImportTrialSave_04_OK	OK
ImportTrialSave_05	The {color[0000]}save data from the demo version\n{color[ffff]}of Tomodachi Life: Living the Dream\nis corrupted.\nThe game will now start without\ntransferring the save data.
ImportTrialSave_05_OK	OK
LayoutMsg\Common_FadeWipe_00.msbt
MiiMove	Dropping in on {[c800|0502000d]}...
Into_MapObject	Heading inside...
Into_MiiHouse	Heading inside...
GetOut_MapObject	Heading outside...
GetOut_MiiHouse	Heading outside...
LayoutMsg\Common_Footer_00.msbt
Guide_PickUp_LongPressA	Hold to grab
Guide_OutHome	Take outside
Reduce	Put one back
Sort_Arrival	Sort: newest first
Sort_PriceHighToLow	Sort: highest price
Sort_PriceLowToHigh	Sort: lowest price
Sort_Dictionary	Sort: name
Sort_Genre	Sort: type
Sort_StyleUtoF	Sort: 
Sort_StyleFtoU	Sort: 
Sort_StockNumDec	Sort: number owned
Sort_RecentObtained	Sort: when acquired
Sort_RecentCreated	Sort: newest first
PresentAsCoordinate	Create and give outfit
TopsIn	Tuck in top
TopsOut	Untuck top
Accident_Drop	Drop
Accident_MoveUpDown	Move up or down
Accident_LongPressA_Charge	Hold to charge
