Glossary\BgmName.msbt
M64_01	"It's a Me, Mario!"
MSS_55	Hot Tub Intrusion (Movie)
MSS_56	Epilogue (Movie)
MSS_57	Staff Credits
MSS_58	Have a Relaxing Vacation!
SMG_01	Overture
SMG_02	The Star Festival
SMG_03	Attack of the Airships
SMG_04	Catastrophe
SMG_05	Peach’s Castle Stolen
SMG_06	Enter the Galaxy
SMG_07	Egg Planet
SMG_08	Rosalina in the Observatory 1
SMG_09	The Honeyhive
SMG_10	Space Junk Road
SMG_11	Battlerock Galaxy
SMG_12	Beach Bowl Galaxy
SMG_13	Rosalina in the Observatory 2
SMG_14	Enter Bowser Jr.!
SMG_15	Waltz of the Boos
SMG_16	Buoy Base Galaxy
SMG_17	Gusty Garden Galaxy
SMG_18	Rosalina in the Observatory 3
SMG_19	King Bowser
SMG_20	Melty Molten Galaxy
SMG_21	The Galaxy Reactor
SMG_22	Final Battle with Bowser
SMG_23	Daybreak - A New Dawn
SMG_24	Birth
SMG_25	Super Mario Galaxy
SMG_26	Purple Comet
SMG_27	Blue Sky Athletic
SMG_28	Super Mario 2007
SMG_29	File Select
SMG_30	Luma
SMG_31	Gateway Galaxy
SMG_32	Stolen Grand Star
SMG_33	To the Observatory Grounds 1
SMG_34	Observation Dome
SMG_35	Course Select
SMG_36	Dino Piranha
SMG_37	A Chance to Grab a Star!
SMG_38	A Tense Moment
SMG_39	Big Bad Bugaboom
SMG_40	King Kaliente
SMG_41	The Toad Brigade
SMG_42	Airship Armada
SMG_43	Aquatic Race
SMG_44	Space Fantasy
SMG_45	Megaleg
SMG_46	To the Observatory Grounds 2
SMG_47	Space Athletic
SMG_48	Speedy Comet
SMG_49	Beach Bowl Galaxy - Undersea
SMG_50	Interlude
SMG_51	Bowser’s Stronghold Appears
SMG_52	The Fiery Stronghold
SMG_53	The Big Staircase
SMG_54	Bowser Appears
SMG_55	Star Ball
SMG_56	The Library
SMG_57	Buoy Base Galaxy - Undersea
SMG_58	Rainbow Mario
SMG_59	Chase the Bunnies!
SMG_60	Help!
SMG_61	Major Burrows
SMG_62	Pipe Interior
SMG_63	Cosmic Comet
SMG_64	Drip Drop Galaxy
SMG_65	Kingfin
SMG_66	Boo Race
SMG_67	Ice Mountain
SMG_68	Ice Mario
SMG_69	Lava Path
SMG_70	Fire Mario
SMG_71	Dusty Dune Galaxy
SMG_72	Heavy Metal Mecha-Bowser
SMG_73	A-wa-wa-wa!
SMG_74	Deep Dark Galaxy
SMG_75	Kamella
SMG_76	Star Ball 2
SMG_77	Sad Girl
SMG_78	Flying Mario
SMG_79	Star Child
SMG_80	A Wish
SMG_81	Family
Glossary\Language.msbt
Language_00	日本語
Language_01	English (US)
Language_02	Fran\xe7ais (France)
Language_03	Deutsch
Language_04	Italiano
Language_05	Espa\xf1ol (Espa\xf1a)
Language_07	한국어
Language_12	English (UK/Australia)
Language_13	Fran\xe7ais (Canada)
Language_14	Espa\xf1ol (Latinoam\xe9rica)
Glossary\TitleName.msbt
Title_Mario64	超级马力欧64
Title_MarioSunshine	超级马力欧阳光
Title_MarioGalaxy	超级马力欧银河
LayoutMsg\DialogKeyButton.msbt
T_Text_00	{s[140]}将取消“关闭画面播放”。{s[100]}\n\n※按\x0e\x01\x04\x02\0\xcd解除“关闭画面播放”\n并进入自动休眠。
L_Key-T_Key	\x0e\x01\x04\x02\0\xcd
LayoutMsg\DialogTwoButton.msbt
T_Text_00	{s[140]}要开启“关闭画面播放”吗？{s[100]}\n\n手机玩家可使用的功能，可以在关闭画面后播放音乐。\n\n想要取消“关闭画面播放”时请按\x0e\x01\x04\x02\x0f\xcd。\n\n※开启“关闭画面播放”时，不会自动休眠。
L_BtnNo-T_Contents	取消
L_BtnYes-T_Contents	开启
LayoutMsg\LauncherBg.msbt
T_Overview_00	收到桃花公主来信的马力欧来到城堡后，\n发现那里静得出奇。进入城堡后，\n不知从哪里传来了酷霸王的笑声。\n在以画中世界为舞台的游戏里，\n为了救出被抓走的桃花公主而展开冒险。\n这是与NINTENDO 64主机同时发售的\n超级马力欧系列首次的3D动作游戏。\n作为可通过3D摇杆来操控的划时代游戏，\n它对今后的超级马力欧系列产生了巨大的影响。
T_Overview_01	来德尔皮克岛（ドルピック島）观光的马力欧等人\n不幸被冤枉成了乱涂乱画的犯人。\n在答应要让岛屿重新恢复干净之后，\n为了证明自己的清白以及夺回因涂鸦而失去的\n太阳的力量“太阳之力（シャイン）”，\n马力欧等人开始追捕真正的犯人。\n活用NINTENDO GAMECUBE性能刻画出的美丽水面，\n以及背着“水泵（ポンプ）”喷水的动作是该游戏的显著特征。
T_Overview_02	在百年一度庆祝星尘恩惠的“星尘祭（星くず祭）”之夜，\n酷霸王突然出现并将桃花公主与城堡一起掳走。\n飞向宇宙深处的马力欧遇到了星星之子“琪琪”\n与神秘女性“罗莎塔”。\n游戏的特征是运用了Wii手柄的光标（ポインター）操作，\n以及挥动操作所带来的独特操作感。\n另外，本作是一款以重力为主题，\n可以体验多角度落下的新感觉动作游戏。
T_Overview_03	于NINTENDO 64登场后，\n乐器的音乐变得比以往更加真实。\n游戏特征是配合3D空间中的移动场所，\n会十分贴合地编排不同的乐曲。
T_Overview_04	以德尔皮克镇（ドルピックタウン）为中心，\n各种关卡的变奏曲目十分丰富。\n冒牌马力欧（ニセマリオ）的主题曲改编自\nFamily Computer版的超级马力欧地下BGM。\n（这是全乐曲首次推出原声带）
T_Overview_05	超级马力欧系列首次采用管弦乐。\n音乐上在保持一贯的乐观开朗风格的基础上，\n添加了能体现宇宙这个冒险舞台宏伟特性的要素。\n（本作品是任天堂俱乐部原创的2张CD版本）
T_Language_00	\x0e\x01\x04\x02\x0f\xcd 从5种语言中选择\n\x0e\x0b\0\x1a\x10\0L\0a\0n\0g\0u\0a\0g\0e\0\x02\00\0\x02\00\0
T_Language_01	\x0e\x01\x04\x02\x0f\xcd 从7种语言中选择\n\x0e\x0b\0\x1a\x10\0L\0a\0n\0g\0u\0a\0g\0e\0\x02\00\0\x02\00\0
T_Language_02	\x0e\x01\x04\x02\x0f\xcd 从10种语言中选择\n\x0e\x0b\0F\x10\0L\0a\0n\0g\0u\0a\0g\0e\0.\0G\0l\0o\0s\0s\0a\0r\0y\0/\0L\0a\0n\0g\0u\0a\0g\0e\0.\0m\0s\0t\0x\0t\0\x02\00\0
T_GameTitleName_00	超级马力欧64
T_GameTitleName_01	超级马力欧阳光
T_GameTitleName_02	超级马力欧银河
T_GameTitleName_03	超级马力欧64\n原声带
T_GameTitleName_04	超级马力欧阳光\n原声带
T_GameTitleName_05	超级马力欧银河\n原声带
T_ReleaseDate_00	6月23日发售　NINTENDO64
T_ReleaseDate_01	7月19日发售　NINTENDO GAMECUBE
T_ReleaseDate_02	11月1日发售　Wii
T_MusicTitle_00	\x0e\x0b\x01\x18\x0e\0B\0g\0m\0N\0a\0m\0e\0\x02\00\0\x02\00\0
T_MusicGameTitle_00	/ \x0e\x0b\x02\x1c\x12\0T\0i\0t\0l\0e\0N\0a\0m\0e\0\0\0\0\0\0\0\0\0
T_Detail_03	全36首/49:52
T_Detail_04	全58首/1:11:01
T_Detail_05	全81首/2:07:03
LayoutMsg\LauncherLanguage.msbt
Language_00	日本語
Language_01	English (US)
Language_02	Fran\xe7ais (France)
Language_03	Deutsch
Language_04	Italiano
Language_05	Espa\xf1ol (Espa\xf1a)
Language_07	한국어
Language_12	English (UK/Australia)
Language_13	Fran\xe7ais (Canada)
Language_14	Espa\xf1ol (Latinoam\xe9rica)
LayoutMsg\LauncherLoading.msbt
TxtLoading	正在读取……
TxtPlayGuide	操作困难或想要\n中断游戏时，\n请按\x0e\x01\x04\x02\x0f\xcd。
LayoutMsg\LauncherSave.msbt
TxtSave	正在保存……
LayoutMsg\LauncherSoundPlayer.msbt
L_SlideElement_00-T_Contents_00	\x0e\x0b\x01\x18\x0e\0B\0g\0m\0N\0a\0m\0e\0\x02\00\0\x02\00\0
L_SlideElement_00-T_Number_00	\x0e\n\0\x16\x12\0S\0o\0n\0g\0O\0r\0d\0e\0r\0\x02\xcd
T_MonitorOff	\x0e\x01\x04\x02\x0f\xcd关闭画面播放
LayoutMsg\TestLauncherBgForDebug.msbt
LayoutMsg\Title.msbt
T_Active_00	按\x0e\x01\x04\x02\0\xcd
