Glossary\BgmName.msbt
M64_01	「マリオだよ」
T_Overview_01	ドルピック島へ観光に訪れたマリオ達は、島を汚す\n落書き犯の濡れ衣を着せられてしまう。\n島をキレイにする約束をしたマリオ達は\n自身の潔白の証明と落書きによって失われた太陽の力\n「シャイン」を取り戻すため、真犯人を追うことに。\nニンテンドーゲームキューブの性能を活かして表現される\n美しい水の描写と、背中に背負った「ポンプ」を\n駆使したアクションが特徴。\n
T_Overview_02	百年に一度、星くずの恵みを祝う「星くず祭」の夜。突如\n現れたクッパによりピーチ姫は城ごとさらわれてしまう。\n宇宙のかなたへと飛ばされたマリオは、星の子「チコ」と\n謎めいた女性「ロゼッタ」と出会う。\nWiiのコントローラを活かしたポインター操作や、\n振り操作を使った独自の操作感が特徴。\n重力をテーマに、多方向への落下が体験できる\n新感覚の3Dアクションゲーム。
T_Overview_03	NINTENDO64の登場により、従来に比べ\nよりリアルな楽器の音色表現が可能になった。\n3D空間を移動する場所に合わせ、滑らかに\n曲のアレンジが変化していく仕組みが特徴的。
T_Overview_04	ドルピックタウンを中心に、\n色々なコース曲のバリエーションが豊富。\nニセマリオのテーマは、ファミリーコンピュータ版\nスーパーマリオの地下BGMのアレンジ曲を使用している。\n（全曲の音源化は初となります）
T_Overview_05	スーパーマリオシリーズ初のオーケストラ音楽を採用。\n前向きで明るい音楽性はそのままに、\n冒険の舞台である宇宙の雄大さを盛り込んでいる。\n（本作はクラブニンテンドーオリジナルの\nCD2枚組バージョンです）
T_Language_00	\x0e\x01\x04\x02\x0f\xcd 5言語から選択\n\x0e\x0b\0\x1a\x10\0L\0a\0n\0g\0u\0a\0g\0e\0\x02\00\0\x02\00\0
T_Language_01	\x0e\x01\x04\x02\x0f\xcd 7言語から選択\n\x0e\x0b\0\x1a\x10\0L\0a\0n\0g\0u\0a\0g\0e\0\x02\00\0\x02\00\0
T_Language_02	\x0e\x01\x04\x02\x0f\xcd 10言語から選択\n\x0e\x0b\0F\x10\0L\0a\0n\0g\0u\0a\0g\0e\0.\0G\0l\0o\0s\0s\0a\0r\0y\0/\0L\0a\0n\0g\0u\0a\0g\0e\0.\0m\0s\0t\0x\0t\0\x02\00\0
T_GameTitleName_00	スーパーマリオ64
T_GameTitleName_01	スーパーマリオサンシャイン
T_GameTitleName_02	スーパーマリオギャラクシー
T_GameTitleName_03	スーパーマリオ64\nオリジナルサウンドトラック
T_GameTitleName_04	スーパーマリオサンシャイン\nオリジナルサウンドトラック
T_GameTitleName_05	スーパーマリオギャラクシー\nオリジナルサウンドトラック
T_ReleaseDate_00	6月23日発売　NINTENDO64
T_ReleaseDate_01	7月19日発売　ニンテンドーゲームキューブ
T_ReleaseDate_02	11月1日発売　Wii
T_MusicTitle_00	\x0e\x0b\x01\x18\x0e\0B\0g\0m\0N\0a\0m\0e\0\x02\00\0\x02\00\0
T_MusicGameTitle_00	/ \x0e\x0b\x02\x1c\x12\0T\0i\0t\0l\0e\0N\0a\0m\0e\0\0\0\0\0\0\0\0\0
T_Detail_03	全36曲/49:52
T_Detail_04	全58曲/1:11:01
T_Detail_05	全81曲/2:07:03
LayoutMsg\LauncherLanguage.msbt
Language_00	日本語
Language_01	English (US)
Language_02	Fran\xe7ais (France)
Language_03	Deutsch
Language_04	Italiano
Language_05	Espa\xf1ol (Espa\xf1a)
Language_07	한국어
Language_12	English (UK/Australia)
Language_13	Fran\xe7ais (Canada)
Language_14	Espa\xf1ol (Latinoam\xe9rica)
LayoutMsg\LauncherLoading.msbt
TxtLoading	ロードしています…
TxtPlayGuide	操作に困った時や、\nゲームを中断する時は\n \x0e\x01\x04\x02\x0f\xcd をおしてください
LayoutMsg\LauncherSave.msbt
TxtSave	セーブしています…
LayoutMsg\LauncherSoundPlayer.msbt
L_SlideElement_00-T_Contents_00	\x0e\x0b\x01\x18\x0e\0B\0g\0m\0N\0a\0m\0e\0\x02\00\0\x02\00\0
L_SlideElement_00-T_Number_00	\x0e\n\0\x16\x12\0S\0o\0n\0g\0O\0r\0d\0e\0r\0\x02\xcd
T_MonitorOff	\x0e\x01\x04\x02\x0f\xcd 画面オフ再生
LayoutMsg\TestLauncherBgForDebug.msbt
LayoutMsg\Title.msbt
T_Active_00	Press \x0e\x01\x04\x02\0\xcd
