Glossary\BgmName.msbt
M64_01	"It's a Me, Mario!"
MSS_55	Hot Tub Intrusion (Movie)
MSS_56	Epilogue (Movie)
MSS_57	Staff Credits
MSS_58	Have a Relaxing Vacation!
SMG_01	Overture
SMG_02	The Star Festival
SMG_03	Attack of the Airships
SMG_04	Catastrophe
SMG_05	Peach’s Castle Stolen
SMG_06	Enter the Galaxy
SMG_07	Egg Planet
SMG_08	Rosalina in the Observatory 1
SMG_09	The Honeyhive
SMG_10	Space Junk Road
SMG_11	Battlerock Galaxy
SMG_12	Beach Bowl Galaxy
SMG_13	Rosalina in the Observatory 2
SMG_14	Enter Bowser Jr.!
SMG_15	Waltz of the Boos
SMG_16	Buoy Base Galaxy
SMG_17	Gusty Garden Galaxy
SMG_18	Rosalina in the Observatory 3
SMG_19	King Bowser
SMG_20	Melty Molten Galaxy
SMG_21	The Galaxy Reactor
SMG_22	Final Battle with Bowser
SMG_23	Daybreak - A New Dawn
SMG_24	Birth
SMG_25	Super Mario Galaxy
SMG_26	Purple Comet
SMG_27	Blue Sky Athletic
SMG_28	Super Mario 2007
SMG_29	File Select
SMG_30	Luma
SMG_31	Gateway Galaxy
SMG_32	Stolen Grand Star
SMG_33	To the Observatory Grounds 1
SMG_34	Observation Dome
SMG_35	Course Select
SMG_36	Dino Piranha
SMG_37	A Chance to Grab a Star!
SMG_38	A Tense Moment
SMG_39	Big Bad Bugaboom
SMG_40	King Kaliente
SMG_41	The Toad Brigade
SMG_42	Airship Armada
SMG_43	Aquatic Race
SMG_44	Space Fantasy
SMG_45	Megaleg
SMG_46	To the Observatory Grounds 2
SMG_47	Space Athletic
SMG_48	Speedy Comet
SMG_49	Beach Bowl Galaxy - Undersea
SMG_50	Interlude
SMG_51	Bowser’s Stronghold Appears
SMG_52	The Fiery Stronghold
SMG_53	The Big Staircase
SMG_54	Bowser Appears
SMG_55	Star Ball
SMG_56	The Library
SMG_57	Buoy Base Galaxy - Undersea
SMG_58	Rainbow Mario
SMG_59	Chase the Bunnies!
SMG_60	Help!
SMG_61	Major Burrows
SMG_62	Pipe Interior
SMG_63	Cosmic Comet
SMG_64	Drip Drop Galaxy
SMG_65	Kingfin
SMG_66	Boo Race
SMG_67	Ice Mountain
SMG_68	Ice Mario
SMG_69	Lava Path
SMG_70	Fire Mario
SMG_71	Dusty Dune Galaxy
SMG_72	Heavy Metal Mecha-Bowser
SMG_73	A-wa-wa-wa!
SMG_74	Deep Dark Galaxy
SMG_75	Kamella
SMG_76	Star Ball 2
SMG_77	Sad Girl
SMG_78	Flying Mario
SMG_79	Star Child
SMG_80	A Wish
SMG_81	Family
Glossary\Language.msbt
Language_00	日本語
Language_01	English (US)
Language_02	Fran\xe7ais (France)
Language_03	Deutsch
Language_04	Italiano
Language_05	Espa\xf1ol (Espa\xf1a)
Language_07	한국어
Language_12	English (UK/Australia)
Language_13	Fran\xe7ais (Canada)
Language_14	Espa\xf1ol (Latinoam\xe9rica)
Glossary\TitleName.msbt
Title_Mario64	Super Mario 64
Title_MarioSunshine	Super Mario Sunshine
Title_MarioGalaxy	Super Mario Galaxy
LayoutMsg\DialogKeyButton.msbt
T_Text_00	{s[140]}Exiting music-player mode.{s[100]}\n\nPress \x0e\x01\x04\x02\0\xcd to exit music-player mode.\nThe system will then be able to\nenter sleep mode automatically.
L_Key-T_Key	\x0e\x01\x04\x02\0\xcd
LayoutMsg\DialogTwoButton.msbt
T_Text_00	{s[140]}Play music with the screen off?{s[100]}\n\nNote that the system will not go\ninto sleep mode while playing\nmusic with the screen off.\n\nTo turn the screen on and exit\nmusic-player mode, press \x0e\x01\x04\x02\x0f\xcd.
L_BtnNo-T_Contents	No
L_BtnYes-T_Contents	Yes
LayoutMsg\LauncherBg.msbt
T_Overview_00	Princess Peach has invited Mario to her castle to\nenjoy some cake! On his arrival, he's greeted by an\neerie silence...until Bowser's laughter echoes through\nthe halls. Thus begins an adventure to rescue the\nprincess by exploring the magical worlds within the\ncastle's many enchanted paintings.\nThis first 3D action game in the Super Mario series\nlaunched alongside the Nintendo 64 system. The\nintroduction of the analog Control Stick set a new\nstandard for later games in the series.
T_Overview_01	Mario and friends have arrived on Isle Delfino, ready\nto enjoy a relaxing vacation. Instead, they find that\nsomeone has polluted the island with icky, goop-like\ngraffiti! Framed for this terrible crime, Mario must\nclean the island, find the true culprit, and reclaim the\nShine Sprites—Delfino's sunny energy source—that\nhave hidden themselves to escape the mess.\nUsing the power of the Nintendo GameCube system,\nthis game offered dazzling water effects and a slick\nset of moves for Mario through his new tool, FLUDD.
T_Overview_02	It's the night of the Star Festival, and Star Bits are\nfalling from the sky! As everyone celebrates, Bowser\nsuddenly appears and lifts the castle—and Princess\nPeach—into space, leaving Mario stranded in orbit!\nIt's here that Mario meets a curious star child, Luma,\nand a mysterious woman in blue...\nThis game introduced new ways to control Mario,\nlike pointing and shaking the Wii Remote, as he\nexplores miniature planets with fun forms of gravity.
T_Overview_03	The Nintendo 64 system gave this Mario adventure\na more realistic instrumental sound than any prior\ngame in the Super Mario series. This soundtrack\nenhanced player experiences with arrangements\nthat smoothly transitioned between each 3D space.
T_Overview_04	Enjoy the bouncy, tropical sounds of Isle Delfino,\nreleased here for the first time! The ever-catchy\nDelfino Plaza theme boasts a bounty of variations.\nSome classic Mario melodies also turn up—like the\nunderground music from Super Mario Bros.,\nnewly arranged here as Shadow Mario's theme!
T_Overview_05	This soundtrack marks the first use of a full orchestra\nin the Super Mario series. The bright, bittersweet,\nand inspiring sounds of this score work to capture\nthe majesty of space exploration. These tracks were\noriginally released in Japan as a two-disc Club\nNintendo exclusive.
T_Language_00	\x0e\x01\x04\x02\x0f\xcd Choose from 5 languages\n\x0e\x0b\0\x1a\x10\0L\0a\0n\0g\0u\0a\0g\0e\0\x02\00\0\x02\00\0
T_Language_01	\x0e\x01\x04\x02\x0f\xcd Choose from 7 languages\n\x0e\x0b\0\x1a\x10\0L\0a\0n\0g\0u\0a\0g\0e\0\x02\00\0\x02\00\0
T_Language_02	\x0e\x01\x04\x02\x0f\xcd Choose from 10 languages\n\x0e\x0b\0F\x10\0L\0a\0n\0g\0u\0a\0g\0e\0.\0G\0l\0o\0s\0s\0a\0r\0y\0/\0L\0a\0n\0g\0u\0a\0g\0e\0.\0m\0s\0t\0x\0t\0\x02\00\0
T_GameTitleName_00	Super Mario 64
T_GameTitleName_01	Super Mario Sunshine
T_GameTitleName_02	Super Mario Galaxy
T_GameTitleName_03	Super Mario 64\nOriginal Soundtrack
T_GameTitleName_04	Super Mario Sunshine\nOriginal Soundtrack
T_GameTitleName_05	Super Mario Galaxy\nOriginal Soundtrack
T_ReleaseDate_00	Released Sept. 29 / Nintendo 64
T_ReleaseDate_01	Released Aug. 26 / Nintendo GameCube
T_ReleaseDate_02	Released Nov. 12 / Wii
T_MusicTitle_00	\x0e\x0b\x01\x18\x0e\0B\0g\0m\0N\0a\0m\0e\0\x02\00\0\x02\00\0
T_MusicGameTitle_00	/ \x0e\x0b\x02\x1c\x12\0T\0i\0t\0l\0e\0N\0a\0m\0e\0\0\0\0\0\0\0\0\0
T_Detail_03	36 tracks / 49:52
T_Detail_04	58 tracks / 1:11:01
T_Detail_05	81 tracks / 2:07:03
LayoutMsg\LauncherLanguage.msbt
Language_00	日本語
Language_01	English (US)
Language_02	Fran\xe7ais (France)
Language_03	Deutsch
Language_04	Italiano
Language_05	Espa\xf1ol (Espa\xf1a)
Language_07	한국어
Language_12	English (UK/Australia)
Language_13	Fran\xe7ais (Canada)
Language_14	Espa\xf1ol (Latinoam\xe9rica)
LayoutMsg\LauncherLoading.msbt
TxtLoading	Loading...
TxtPlayGuide	To check the controls\nor suspend the game,\npress \x0e\x01\x04\x02\x0f\xcd.
LayoutMsg\LauncherSave.msbt
TxtSave	Saving...
LayoutMsg\LauncherSoundPlayer.msbt
L_SlideElement_00-T_Contents_00	\x0e\x0b\x01\x18\x0e\0B\0g\0m\0N\0a\0m\0e\0\x02\00\0\x02\00\0
L_SlideElement_00-T_Number_00	\x0e\n\0\x16\x12\0S\0o\0n\0g\0O\0r\0d\0e\0r\0\x02\xcd
T_MonitorOff	\x0e\x01\x04\x02\x0f\xcd Music-player mode
LayoutMsg\TestLauncherBgForDebug.msbt
LayoutMsg\Title.msbt
T_Active_00	Press \x0e\x01\x04\x02\0\xcd
